"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"12","4","    Wood product manufacturing","KP3210",8111,8158,8450,8329,8548,8429,8345,8671,8863,8982,8854,8959,9334,8851,8497,8308,8032,8328,8321,8181,8429,8479,8468,8504,8286,8315,8586,8720,8421,8863,8956,8848,9003,9096,9329,9975,10152,9421,9087,9092,8558,8707,8520,8223,7774,7348,6998,6393,5532,5521,5543,5586,5846,6020,5761,5895,5837,5868,5901,5925,6043
"13","5","    Nonmetallic mineral product manufacturing","KP3270",8337,8539,8642,8617,8841,9079,8990,9127,9137,9011,9134,9296,9178,9187,9209,8927,8811,8915,8847,8680,8701,8927,8857,8611,8667,8808,9141,8911,8826,9080,9206,9327,9352,9462,9570,9959,10216,9841,9615,9485,9606,9625,9281,9010,8575,8454,8137,7300,6471,6121,6362,6183,6250,6532,6502,6364,6534,6504,6573,6799,6599
"14","6","    Primary metal manufacturing","KP3310",17258,17309,17492,17762,18278,17907,17698,17380,17454,17388,17736,17803,17538,17089,16813,16268,15810,15532,15550,15197,15320,15847,15826,15519,15212,14842,14991,15546,16055,16085,16891,16739,16806,16498,17152,17489,17210,16912,16894,16118,16563,16346,16307,17489,17540,16666,16058,14491,12353,11426,12546,13444,13903,14383,15327,15565,16114,16628,17942,20465,20539
"15","7","    Fabricated metal product manufacturing","KP3320",23063,23632,23963,24166,24406,24511,24570,24613,24557,24621,24629,25104,25473,25837,25453,25047,24505,24570,23445,22845,22836,23248,23349,23126,22993,22778,22831,22994,22632,22668,22899,23158,23560,23839,24109,25099,25779,25593,25168,24982,25412,26050,25865,25599,25613,25529,24373,22342,20057,18763,19060,19291,19517,20170,20215,20534,20771,20737,20888,21336,21623
"16","8","    Machinery manufacturing","KP3330",24314,24886,25618,26340,26272,26268,25522,25382,24641,24958,25357,26103,25978,26593,26681,26202,25634,24184,23356,22432,22089,22762,23040,23045,22515,23043,22715,22717,22405,23195,23755,24374,24729,24773,25225,26302,26102,26551,26439,26426,25499,27420,27529,27068,27178,26710,26262,24930,21749,20454,20093,20964,21681,22873,23059,23765,24100,24478,25740,25758,25902
"17","9","    Computer and electronic product manufacturing","KP3340",24092,25439,26730,26707,26964,27354,27856,29117,29536,30888,32073,31876,33085,35067,36061,36434,34940,30779,28865,28230,27646,27086,26331,25314,26302,26843,27822,29129,29036,29399,29786,30256,30653,30770,31007,31768,33422,33052,33160,32549,32448,33515,33430,34278,34573,33809,33042,31138,28177,27274,28325,28632,29621,29571,31269,31346,30922,31137,31053,30858,30573
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",9635,9820,9958,10257,10346,10173,10296,10370,10403,10473,10661,10601,11085,11147,10989,11098,11027,10588,9613,9194,9143,9330,9019,9115,8945,8821,8847,9142,8983,9049,9215,9205,9271,9173,9411,9531,9455,9460,9272,9214,9528,9625,9533,9561,9578,9599,9519,8638,7732,7452,7340,7438,7434,7648,7697,7901,7833,7762,7772,7791,7894
"19","11","    Transportation equipment manufacturing","KP3360",47941,48946,51588,51893,52129,51343,51690,58143,59414,58801,58709,58427,57201,57261,53890,51868,50788,52422,51188,52418,53722,55078,56156,54912,56132,55480,56526,56916,57707,55482,53962,54673,55675,56705,57000,60345,58607,58172,55959,57830,58727,61060,61797,58122,56780,54740,51291,44392,40654,38557,42104,44726,45139,46639,52745,50220,51944,51071,54787,53028,55346
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",34069,33540,36040,36435,35970,35207,35133,39898,41647,41319,41421,41563,41453,40361,38062,36370,35132,36371,34776,36163,37548,39909,41019,39876,41297,40888,41734,42154,42673,40916,39531,40690,41156,41066,41943,42961,42756,42726,40109,41536,41255,42919,42594,39128,37532,34914,32038,27673,23401,21699,25275,27566,28318,30804,36151,34570,36694,36138,39632,37944,39025
"21","13","      Other transportation equipment manufacturing","KP3OT0",13910,15708,15732,15608,16429,16441,16920,18582,17954,17650,17427,16946,15712,17043,15951,15654,15869,16255,16700,16484,16356,15210,15147,15068,14830,14585,14780,14743,15014,14553,14431,13965,14515,15646,15062,17376,15864,15465,15826,16273,17408,18078,19081,18818,19032,19520,18904,16410,16806,16386,16455,16829,16532,15686,16565,15641,15347,15037,15376,15247,16427
"22","14","    Furniture and related product manufacturing","KP3370",6083,5974,6032,6213,6473,6374,6583,6576,6764,6715,6690,6632,6611,6914,6882,6782,6675,6436,6422,6372,6571,6744,6758,6872,6696,6485,6698,6631,6636,6750,6808,6802,6966,7035,6953,7141,7245,7173,6920,6774,6757,6766,6816,6753,6410,6360,6047,5352,4652,4431,4399,4265,4271,4331,4299,4359,4496,4490,4425,4406,4473
"23","15","    Miscellaneous durable goods manufacturing","KP3390",9106,9269,9241,9434,9675,9683,9689,9766,9995,9858,9821,10014,9882,10424,10599,10619,10511,10351,10296,10019,10590,10974,11144,11177,11047,10966,11153,11410,11103,11006,10889,11667,11916,11920,11818,11962,12077,12322,12489,12341,11917,11717,11841,12016,11936,12163,11755,11287,10926,10769,10938,10941,11177,11183,11223,11181,11414,11345,11417,11484,11626
"24","16","  Nondurable goods manufacturing industries","KP30N0",180972,183092,184998,186270,187264,185405,184830,183970,185510,184725,185614,187463,186341,188312,186840,185376,184472,179233,180652,182325,183164,183626,182518,183208,180705,180868,183949,182309,181463,184820,187447,189108,191789,194790,194838,191227,194595,195444,193364,188211,192556,189440,189255,196097,191858,188165,178093,172203,170498,166564,168312,173182,173208,169840,171525,174712,176090,170501,172145,174592,173135
"25","17","    Food manufacturing","KP3110",39153,39611,39794,40142,41750,40985,40925,41050,41365,41392,41389,41520,41204,41770,42015,41757,42666,41491,41433,42114,42770,42301,42608,43668,43201,43627,44371,42773,41881,42032,43821,44325,44175,44495,44551,44377,44810,44933,44442,44451,43996,44232,44861,45152,44205,45034,44382,44267,44921,44622,44442,44316,44915,44260,43881,43714,44425,44470,44066,44253,43820
"26","18","    Beverage and tobacco product manufacturing","KP3120",11352,11316,11590,11897,11734,11700,11602,11048,10798,10682,10463,10435,10494,10644,10506,10620,10519,10672,10739,10272,9531,9153,9037,8844,9314,9700,9778,9588,9518,9866,9975,9919,9676,10495,10686,10475,10173,10348,10215,10190,10094,10509,10480,10188,9621,9834,9710,9388,9125,9203,9111,8957,8709,9009,9502,9264,9167,9694,9541,9570,9432
"27","19","    Textile mills","KP3130",4971,4768,4714,4738,4985,4679,4631,4567,4666,4632,4533,4595,4531,4479,4396,4241,4156,3931,3790,3761,3847,4015,4051,3963,3912,3697,3660,3645,3521,3464,3518,3588,3695,3656,3425,3357,3292,3135,3072,2983,3023,2939,2833,2733,2582,2511,2450,2172,1940,1930,2001,2120,2154,2147,2124,2103,2100,2003,1982,1966,1989
"28","20","    Textile product mills","KP3140",2766,2773,2838,2895,2838,2784,2787,2834,2884,2935,2988,3030,3109,3067,2986,2842,2863,2808,2864,2772,2830,2927,2794,2776,2674,2665,2724,2909,2976,2865,2881,2895,2958,2875,2951,2900,2842,2749,2642,2550,2468,2388,2313,2292,2233,2258,2125,1876,1733,1624,1637,1662,1698,1689,1645,1654,1667,1652,1632,1662,1677
"29","21","    Apparel manufacturing","KP3150",5557,5658,5801,5807,5564,5481,5413,5235,5323,5232,5124,5043,5137,4986,4942,4862,4930,4625,4450,4062,3808,3531,3377,3263,3259,3264,3287,3076,2859,2747,2671,2648,2644,2638,2563,2636,2550,2646,2479,2453,2346,2142,2029,1957,1851,1779,1703,1501,1371,1255,1192,1224,1208,1235,1232,1247,1262,1274,1297,1341,1324
"30","22","    Leather and allied product manufacturing","KP3160",1001,986,960,954,975,924,882,898,851,852,878,907,825,871,852,880,874,819,683,685,554,510,483,494,493,488,491,492,465,492,504,481,533,548,503,486,503,494,495,488,514,481,460,419,354,510,473,405,371,357,364,380,405,413,427,444,441,442,424,423,429
"31","23","    Paper manufacturing","KP3220",14410,14519,14470,14785,14654,14718,14631,14650,14912,14493,14895,15061,14994,14544,14354,14294,14025,13324,13861,13633,13469,13739,14122,13966,13927,13567,13300,13245,13622,13603,13537,13288,13712,13652,13206,13489,13729,13637,13275,13337,13102,13303,13338,13264,13111,12879,12643,11777,11387,11341,11490,11668,11792,11594,11606,11461,11431,11196,11062,11063,10935
"32","24","    Printing and related support activities","KP3230",8986,9037,9043,9102,9109,9063,9160,9153,9231,9086,9160,9202,9129,9343,9215,9031,9112,8816,8631,8424,8301,8208,8309,8362,8191,8076,7847,7877,7836,7965,7976,8012,8171,8079,8084,7996,8070,8228,8091,8057,8124,8122,8124,8206,7946,7831,7423,7046,6698,6370,6335,6249,6301,6502,6349,6296,6373,6265,6184,6060,5989
"33","25","    Petroleum and coal product manufacturing","KP3240",32945,34799,36396,34691,34095,35098,35293,34586,35062,34591,35209,36123,34571,35013,34471,34648,33730,33741,34467,38054,39193,36520,35653,34582,31205,34508,34590,35013,35000,37114,36894,36991,39040,41309,40628,37277,39563,39585,39072,36623,40329,35421,35252,40814,40861,38018,34376,36256,39010,35219,35828,38841,37179,34184,34592,37245,37675,33561,35776,37559,36884
"34","26","    Chemical manufacturing","KP3250",43103,43339,43398,43831,43779,43069,42564,42424,42620,42951,43259,43674,43973,44875,44866,44560,44103,42405,42290,43084,43891,46247,45547,46367,46611,44636,46826,47034,47284,48315,49017,50246,50375,50549,51478,51421,52135,52769,52756,50852,52072,53791,53795,53970,52104,51473,48393,43471,41322,41484,42237,43555,44521,44806,46089,46523,46637,46552,45711,45379,45267
"35","27","    Plastics and rubber product manufacturing","KP3260",14843,15005,15313,15742,15591,15581,15799,16017,16358,16304,16401,16831,16753,17188,16640,16217,15802,15305,16323,16001,16134,16456,16205,16184,16315,16006,16324,16229,16166,16418,16451,16458,16669,16481,16711,17015,16904,16912,16826,16449,16554,16711,16297,16310,15763,15701,14989,13615,12470,12291,12707,13057,13375,13490,13462,13659,13686,13493,13575,13836,14083
"36","28","Merchant wholesale industries","KP42W0",205704,208492,211734,213384,219349,222963,226227,230223,234910,241087,244960,250324,251217,255236,257771,258620,258329,254794,256416,256162,258795,264391,265790,265073,265622,265995,269791,273642,278859,284095,286028,289915,294058,295898,298755,304809,309669,309891,312626,314035,316311,322228,319870,318903,316892,319461,309878,298821,285393,280631,284526,285287,286949,297528,302075,300015,301432,305454,309536,311132,313809
"37","29","  Durable goods merchant wholesale industries","KP42WD0",90894,93001,95229,96709,99855,101882,103202,104519,108854,112381,115356,119084,120562,121872,122745,122733,122618,120287,120037,118654,120531,123058,124275,122429,122692,123962,126255,129392,133370,138997,139447,142311,144151,145687,148009,153740,156906,156408,158518,161453,162154,163242,162826,164093,164045,165280,159169,145278,131586,127740,131318,134708,137347,142995,146100,148325,152196,153281,159439,161665,164348
"38","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",14076,14254,14118,14137,14729,15146,15488,15551,16543,17234,17809,18290,18093,18175,18207,18420,18808,19356,19327,19800,20263,20844,21781,21426,21085,21502,21760,22459,22574,23730,23446,23355,23634,23801,24985,25697,26676,26689,27342,28861,28486,28138,28479,28019,27318,26723,24552,20957,18431,18778,20871,21939,22259,23008,23699,23546,24847,23683,26256,28265,29784
"39","31","    Furniture and home furnishings wholesalers","KP42120",3702,3595,3690,3842,3895,3897,3950,4006,4099,4187,4365,4470,4621,4774,4806,4804,4784,4650,4632,4683,4747,4863,4756,4669,4777,4781,4892,4858,4948,5034,5127,4993,4969,5070,5106,5194,5310,5314,5360,5413,5383,5379,5108,5025,4953,4840,4690,4085,3745,3555,3555,3482,3683,3759,3630,3642,3543,3496,3537,3498,3557
"40","32","    Lumber and other construction materials wholesalers","KP42130",7129,7211,7284,7203,7364,7527,7840,7996,7957,8247,8229,8491,8342,8228,8131,8184,8331,8412,8455,8728,9169,9106,8851,8864,9272,9422,10154,10373,10516,11065,10936,10946,11593,11399,11762,12450,12908,11916,11627,11388,11257,11186,10499,10180,9965,10128,9445,8346,7616,7487,7388,6948,6907,7579,7118,7051,6976,7488,7605,7861,8270
"41","33","    Professional and commercial equipment wholesalers","KP42140",8050,8597,9007,9713,10495,11159,11853,12387,13482,14400,15150,15924,15929,15967,16219,16190,16923,17370,17402,17375,18142,18868,19787,19904,20077,20291,20329,21009,22158,22601,23160,23885,24359,25211,26368,27146,28116,28416,29132,30372,31216,32205,32953,33857,34333,34705,35026,33539,31994,32770,33498,35677,36054,37306,37514,37986,39067,39163,40136,39881,40324
"42","34","      Computers and software wholesalers","KP42430",2417,2700,2974,3297,3701,4204,4452,4659,5406,5868,6437,6887,6981,6983,7094,7135,7523,7590,7726,7798,8078,8529,9351,9224,9306,9493,9447,9999,10766,11133,11407,12008,12738,13333,14081,14215,14814,15165,15841,16961,17458,18615,19308,20443,20871,21686,22260,21170,19902,20870,22131,24903,25041,26570,26768,27189,28439,28860,29705,29459,29737
"43","35","      Other professional and commercial equipment wholesalers","KP424X0",8455,8513,8313,8613,8782,8381,8946,9320,9176,9538,9359,9544,9364,9429,9583,9456,9749,10249,10049,9888,10420,10637,10544,10870,10970,10973,11079,11151,11483,11530,11817,11913,11625,11880,12291,12920,13284,13248,13326,13522,13877,13853,13984,13937,14042,13800,13681,13187,12749,12759,12573,12628,12838,12921,12969,13089,13206,13054,13313,13257,13429
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",9990,10283,10369,10530,10361,10287,10458,10489,10980,10599,10401,11025,11455,11084,11013,11212,10697,10740,10666,10211,9989,10311,10089,9588,9199,9324,9565,9778,10550,10980,11030,10994,11089,11254,11222,11945,11631,11462,11328,11655,11608,11123,10634,10779,10522,9557,9337,10326,8536,7183,6754,6828,6974,7200,7652,7735,7631,7321,7679,8324,8387
"45","37","    Electrical goods wholesalers","KP42160",14052,14421,14877,14677,14982,15294,15319,15544,15964,16691,17532,18716,19563,20218,20847,20604,19955,18112,17735,17957,17853,18139,17914,17807,18056,18128,18623,19327,19933,21472,21284,21316,21667,22227,22137,22668,23292,23543,24651,25462,25878,25605,26114,27143,26438,27465,26766,24323,22892,22484,22822,24197,24461,25766,26685,26737,27279,28115,27817,28493,28011
"46","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",5807,5923,5998,6064,6147,6179,6216,6268,6391,6428,6460,6450,6627,6757,6665,6660,6482,6156,6236,6432,6561,6436,6393,6225,6349,6372,6448,6496,6600,6806,6736,6805,6871,6765,6814,7334,7331,7535,7204,7048,6975,7131,7106,7019,6785,6682,6338,5850,5493,5160,5215,5150,5315,5546,5570,5568,5693,5695,5700,5800,5946
"47","39","    Machinery, equipment, and supplies wholesalers","KP42180",20576,20987,21545,21854,22977,23233,22799,22655,22795,23105,23285,23227,23520,23777,23939,23754,23728,22859,22797,21285,20665,21247,20696,20302,20263,20708,21132,20862,21751,22347,22602,23661,23342,24080,24020,24939,25242,25334,25436,25123,25131,25228,25719,26222,26587,27459,26235,24955,21296,20250,19934,19438,20235,21101,22627,23826,23934,24952,25894,26881,27275
"48","40","    Miscellaneous durable goods wholesalers","KP42190",14055,13886,14334,14104,13819,13551,13141,13125,13765,14054,14253,14444,14544,14959,14803,14867,14389,13908,14072,13112,13884,13893,14365,13781,13656,13479,13484,14308,14422,15051,15180,16394,16651,15882,15584,16349,16433,16282,16599,16442,16595,17672,16937,16710,17827,18688,18018,13996,13270,12368,13738,14073,14379,14785,14544,15034,16088,16276,17435,15614,15761
"49","41","  Nondurable goods merchant wholesale industries","KP42WN0",117399,117786,118525,118415,121098,122542,124564,127465,126967,129394,129919,131214,130394,133277,135037,135998,135807,134719,136776,138144,138787,141880,141966,143292,143560,142544,143991,144583,145719,145125,146638,147602,149909,150193,150720,151111,152818,153511,154168,152756,154282,158979,157130,155159,153448,154763,150990,152286,151846,150767,151191,148913,148213,153180,154737,151033,149308,152008,150984,150721,151073
"50","42","    Paper and paper products wholesalers","KP42210",6583,6542,6512,6408,6408,6577,6643,6868,6941,7093,7086,6981,6957,6659,6713,6753,6772,6782,6683,6610,6564,6699,6712,6619,6681,6581,6634,6819,7018,7164,7031,7144,7146,7095,7448,7515,7399,7215,6921,6901,7062,7093,7057,6993,6788,6850,6562,6084,5868,6082,6195,6269,6251,5929,5892,5904,5894,5894,5825,5892,5869
"51","43","    Drugs and druggists' sundries wholesalers","KP42220",10542,10983,11378,11441,12201,11706,12133,12726,13483,14266,14525,15011,15312,16191,16719,17354,18102,18566,19816,21124,21914,22366,22192,22891,23367,24211,24881,24945,24780,25249,25961,26336,27264,27483,27375,27863,28065,28398,28080,27992,27956,27881,27619,28102,28129,27976,27910,27103,27472,27218,27384,27445,26984,27099,27768,27489,28684,29335,29451,29505,29132
"52","44","    Apparel, piece goods, and notions wholesalers","KP42230",6865,6903,7087,6976,7328,7055,6996,7177,7364,7494,7480,7555,7769,8076,7980,8144,8027,8192,8130,8482,8617,8959,9134,8820,8735,8556,8776,8936,9097,9008,8949,9077,9221,9590,9226,9627,9662,9624,9718,10018,9952,10084,10122,9993,9704,9896,9965,8745,8855,8598,8699,8797,9064,9419,9414,9421,9137,9024,8832,8943,8933
"53","45","    Grocery and related products wholesalers","KP42240",31525,31619,31391,31075,32056,32450,32764,32706,32585,33252,33833,34689,34846,35200,35375,35528,34822,34684,34401,34361,34267,35218,35962,36294,36518,36729,36618,35223,35615,34605,35192,34941,35069,35560,36298,36121,36392,36384,36829,36937,37673,38164,38362,38208,37539,37295,36706,36566,37047,36293,35874,35291,35288,36136,37102,36284,35883,37405,37615,38077,38614
"54","46","    Farm product raw material wholesalers","KP42250",9198,8877,8868,9592,8860,8536,8941,9344,9073,9439,9584,9573,9007,9480,10189,9290,9700,9407,9126,8754,8936,9311,8377,8882,8897,8635,8806,9145,8849,8595,9090,9876,9669,9921,9912,10101,10541,10788,10387,8473,9049,9819,10338,9361,9247,9129,9209,10395,9779,9802,10115,11273,11503,10164,9537,10365,9498,9075,7868,8534,8312
"55","47","    Chemical and allied products wholesalers","KP42260",6035,6259,6383,6244,6300,6255,6321,6487,6370,6572,6577,6615,6504,6681,6704,6860,6738,6721,6912,7018,7220,7403,7333,7098,6996,7015,6985,7063,7040,7035,7075,7087,7330,7543,7438,7127,6864,6782,6769,6877,7126,7027,7047,7254,6961,6950,6741,6818,5903,5768,5778,5869,5999,6099,6174,6152,6116,5854,5890,6195,6173
"56","48","    Petroleum and petroleum products wholesalers","KP42270",26197,26810,28067,26893,28653,31553,33194,34178,33872,31540,30023,28327,26684,27854,29100,29737,29784,28919,29667,30749,30252,31386,31065,31701,30803,29963,29361,30199,31082,30789,29545,28929,29574,28987,29351,28842,29604,29939,30805,31177,31341,33761,32033,30703,31775,33284,31538,33736,33240,33446,33519,30916,29640,34202,35514,32188,31814,33412,34129,32015,32080
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",5530,5542,5792,5886,5813,5917,6138,6182,6274,6415,6540,6712,6633,6675,6697,6791,6807,6770,6763,6877,7064,7109,7132,7105,7208,7141,7420,7360,7163,7334,7389,7540,7474,7597,7549,7513,7700,7810,8086,8245,8136,8280,8365,8457,8118,8206,8314,8075,8096,7923,7964,7634,7888,7994,7850,7935,8004,8030,8162,8059,8137
"58","50","    Miscellaneous nondurable goods wholesalers","KP42290",15681,15501,14865,14816,15302,16031,15626,16186,15151,15685,15756,16330,16750,16811,16276,16430,15900,15264,16046,15275,14780,14480,14993,14871,15026,14192,14595,15153,15558,15833,16451,16557,17162,16377,16109,16456,16568,16537,16464,16272,15964,16547,15956,16537,15157,14743,14178,13689,14650,14777,14780,14373,14832,15076,14588,14373,13949,13697,13581,14110,14583
"59","51","Retail trade industries","KP440",225104,224859,230202,231720,235144,241393,241091,248717,254267,256987,260693,265500,269480,267792,269582,270367,271223,273219,272415,285440,282061,281963,285399,286122,286957,293613,300194,301553,303897,304749,309208,313719,316328,321646,322459,322425,331462,330882,331845,336389,338011,336864,338647,337896,332620,331002,321585,309912,308825,305949,308063,307981,311318,317467,319247,326349,329218,329009,330560,337769,341038
"60","52","  Motor vehicle and parts dealers","KP4410",57068,56087,58282,58315,58716,61787,59465,63045,64411,66132,68016,68439,71513,68657,68710,67303,68034,68849,67520,75882,69760,69155,72320,70522,71250,73206,75684,75243,75214,74404,76632,77574,76360,78060,78485,74056,77549,76727,77494,77869,78049,78002,78359,76957,74472,71056,66183,58252,57848,57331,60193,57961,58025,60966,62119,64849,66278,64490,64722,68112,68718
"61","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",8391,8652,8915,9118,9378,9464,9792,10091,10321,10690,11164,11476,11929,12065,12135,12007,12234,12302,12573,13109,13533,13657,13666,14019,13942,14650,15352,15889,16179,16650,17237,17621,18075,18442,19041,19499,20204,20387,20807,21197,21567,21592,22026,22539,22047,22454,21667,20746,20465,19765,20019,20606,21379,21795,22115,22314,22768,22994,23421,24324,24708
"62","54","  Building material and garden equipment and supplies dealers","KP4440",16809,16978,17338,17671,18006,18543,18863,19770,20082,20004,20041,21023,21649,21069,21362,21659,22268,22772,22345,22780,23295,23730,23671,23785,23942,24671,25370,25470,25672,26144,26369,27203,27653,28295,28387,29151,30828,29405,28914,28897,28737,28114,27966,27627,27012,27137,26850,25122,24199,23811,23300,22780,22798,23737,23288,24125,23417,23993,24307,24950,25611
"63","55","  Food and beverage stores","KP4450",42179,42043,42253,42225,42036,42149,42303,42436,42542,42792,42860,43242,42403,42959,42699,42983,42906,43061,43067,43306,42925,42264,42329,42563,42788,42499,42716,42267,42637,42504,42641,42846,43326,43305,43525,43742,43830,44226,44246,44867,44687,44380,44394,44617,44209,43944,43452,42826,42426,42564,42678,42966,43260,42967,42999,43469,43742,43838,43644,43474,43750
"64","56","  Clothing and clothing accessories stores","KP4480",10749,10590,11051,11266,11590,11851,11810,12131,12586,12858,12930,13071,13232,13637,13873,13929,13687,13785,13702,14017,14428,14475,14425,14987,14995,15451,15867,16100,16557,16367,16516,16939,17245,17716,17589,18301,18578,18625,18896,19194,19357,19447,19655,19551,19353,19605,19065,18014,17825,17564,17800,17831,18233,18427,18523,19099,19111,19371,19148,19216,19608
"65","57","  General merchandise stores","KP4520",28441,28351,29151,29375,30017,30545,30686,31420,32597,32779,33329,33955,34170,34728,35306,35871,36049,36492,37048,37963,38327,38689,38685,39556,40116,40844,42074,42227,42991,43153,43793,44750,45538,46478,46994,47902,48437,48766,49072,49932,50757,50923,51761,52124,52092,53151,52598,52252,52425,52202,52608,53658,54848,55021,55522,56519,56781,57543,57814,58317,58792
