"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98"
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1012.9,1014.9,1019.7,1016.4,1017.5,1019.3,1013,1008.7,1006.7,999.8,998.8,1001.2,999.6,999.9,1000.1,996.8,1002.1,1003.4,995.5,1000.9,1008.7,1023.1,1034.5,1029.8,1017.7,1017.1,1019,1031.3,1044.4,1045.5,1058,1066.3,1070.7,1072.6,1071.5,1076.8,1076.9,1079.5,1078.3,1083,1086.8,1093,1108.1,1116,1114.7,1115.4,1112.9,1125.5,1154.8,1170.5,1170.4,1166.1,1156.2,1156.5,1158.3,1160.8,1163.6,1176.2,1180.4,1192.1,1196.5,1195.4,1203.4,1200.4,1198.7,1202.9,1201,1201.7,1210.2,1211.7,1222.6,1220.2,1216,1215.9,1221.2,1211.3,1212.4,1214.6,1217.4,1221.1,1214.6,1211.4,1205.9
"12","4","    Manufacturing","N552RC1",748.4,746.5,746.2,731.2,718.5,708.1,704.8,690.1,683.9,678.2,675.1,674.1,673.7,674.5,680.1,680.3,683.2,685.7,679.1,674.8,672.7,667.3,666.5,667.6,665.2,666.7,665.7,661.6,665.8,666.2,659.2,662.2,667.2,677.7,686.8,682.1,670.3,668.5,667,676.2,684.6,683.4,694.2,699.6,701.3,700.3,697.3,700.5,699.5,696.9,694,697.3,699.7,700.8,707.9,711.6,708.6,711.9,707.7,712.5,728.2,736.1,734.7,732.4,724.8,724,726,726.8,726.9,734.7,735.9,744,745.3,745.9,748.1,745.5,742,744.4,742.9,741.6,745.6,745.6,754,751,747.9,747.2,750,744.5,744.9,745.6,746.3,744.5,740,738.6,735.6
"13","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3084,3087.5,3098.2,3101.8,3103.7,3118.5,3102.8,3110.8,3115.6,3108.9,3108.6,3110.1,3111.8,3128,3142.1,3158.4,3184.6,3196.4,3212.3,3227.3,3237,3255.3,3279.1,3272.7,3295.8,3315.9,3322.4,3343.9,3377,3384.6,3415.5,3433.4,3460.5,3486.9,3485.6,3504.3,3502.7,3504.1,3505.9,3534.2,3544.7,3570.7,3613.6,3623.5,3646.4,3662.8,3682.8,3709.4,3757.6,3776.9,3785.9,3805.4,3777.9,3796.8,3824.4,3837.2,3870.2,3902.4,3932,3978,4010,4038.1,4058.7,4037.6,4036.3,4051.7,4068.6,4086.1,4123.2,4132.8,4155.2,4177.7,4173.6,4187,4211,4189.8,4194.9,4200.9,4207.6,4220.8,4213.6,4215.5,4212.3
"14","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.5,842.4,841.9,845.1,848.4,846.1,845.6,846.5,841.1,842,842.9,845.7,850.1,852.7,851,854,854.6,855.1,859.8,861.9,871.6,874.6,868.5,874.6,878.6,879.3,887.9,893.4,895.8,902.2,905.1,912.1,918.3,916.6,919.3,921.3,921.1,920.3,928.2,929.2,934.7,945.4,946.4,947.1,949.6,954.3,960.8,971,976.5,977.7,984,974.4,978.8,986.2,986.9,991.3,998.6,1004.5,1010.5,1014.4,1018.8,1029.3,1032,1036.2,1041.2,1033.6,1032.3,1039.9,1042.8,1047.2,1054.9,1049.8,1047.4,1053.9,1047.9,1047.1,1050.3,1048.9,1049.1,1044.3,1036.7,1032.6
"15","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2246.3,2250.1,2255.8,2259.9,2258.7,2270.1,2256.8,2265.2,2269.1,2267.8,2266.5,2267.2,2266,2277.9,2289.4,2307.4,2330.6,2341.8,2357.1,2367.5,2375,2383.7,2404.4,2404.3,2421.1,2437.3,2443.2,2456.1,2483.6,2488.8,2513.3,2528.3,2548.5,2568.6,2569.1,2585,2581.4,2583,2585.6,2606,2615.5,2636,2668.1,2677.1,2699.3,2713.2,2728.5,2748.6,2786.7,2800.4,2808.2,2821.4,2803.4,2818,2838.2,2850.3,2878.9,2903.7,2927.5,2967.5,2995.7,3019.3,3029.4,3005.6,3000.1,3010.5,3034.9,3053.9,3083.3,3090,3108,3122.8,3123.8,3139.6,3157.1,3141.9,3147.8,3150.6,3158.7,3171.7,3169.3,3178.7,3179.6
"16","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,852.2,855.9,858.1,860.1,864.6,866.3,866.3,870.1,871.4,873.6,875.1,877.4,889.8,894.5,897.2,899.7,903.5,910.2,907.2,907.5,906.5,910.1,912,914.7,927.4,930.9,936.4,944.2,940.8,941.8,944.2,946.7,948.2,950.9,952.6,953.2,968.7,971,972.1,973.5,974.4,974.2,980.7,984.5,989.2,990.4,993.7,996.8,1005.2,1008.1,1009.9,1011.7,1013.4,1014.5,1022.2,1028.7,1037.1,1039.3,1041.8,1044.5,1056.7,1060.3,1062.8,1065.7,1068.1,1070.6,1074.5,1081.2,1086.6,1089.4,1091.6,1095.1,1105.7,1110.1,1113.4,1118.1,1123.6,1128.4,1134.3,1138.6,1142.1,1148,1151.5
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
