"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","  Nondurable goods","B004RG3",12.815,12.139,10.382,8.879,8.822,9.745,10.101,10.131,10.486,9.969,9.803,9.892,10.729,12.491,13.958,14.744,15.373,16.772,18.939,20.06,19.401,19.482,21.099,21.331,21.235,21.303,21.174,21.468,22.1,22.633,22.765,23.089,23.227,23.412,23.683,23.986,24.423,25.232,25.83,26.82,28.062,29.446,30.359,31.373,33.838,38.702,41.735,43.346,45.911,48.985,54.148,60.449,65.13,66.955,68.386,70.004,71.543,71.273,73.731,76.206,79.842,84.226,86.779,88.105,88.973,89.605,90.629,92.567,93.835,93.821,96.173,100,101.531,102.089,104.145,107.617,111.53
"12","5","  Services","B005RG3",9.23,8.997,8.421,7.65,7.136,6.985,7.082,7.224,7.493,7.564,7.571,7.621,7.817,8.221,8.632,9.032,9.328,9.763,10.359,10.939,11.246,11.561,12.082,12.563,13.186,13.578,13.894,14.275,14.687,15.076,15.485,15.887,16.173,16.466,16.701,17.016,17.334,17.81,18.349,19.128,20.106,21.175,22.34,23.304,24.381,26.345,28.595,30.603,32.933,35.464,38.316,42.332,46.746,50.528,53.799,56.68,59.295,62.04,64.299,67.493,70.708,74.197,77.497,80.684,83.345,85.748,88.32,90.844,93.305,95.319,97.393,100,103.257,106.018,109.379,112.863,116.529
"13","6","Gross private domestic investment","B006RG3",17.736,16.977,15.51,12.939,11.734,11.689,11.502,11.621,12.504,12.102,12.008,12.303,13.206,14.618,15.2,15.661,16.076,17.631,20.967,22.705,22.989,23.458,25.578,26.043,26.082,26.266,26.647,28.211,29.162,29.214,29.474,29.619,29.538,29.558,29.467,29.634,30.107,30.726,31.538,32.714,34.264,35.713,37.493,39.062,41.172,45.263,50.847,53.654,57.677,62.381,68.027,74.424,81.278,85.455,85.237,85.845,86.72,88.599,90.289,92.354,94.559,96.379,97.749,97.395,98.521,99.813,100.941,100.52,100.157,99.035,98.972,100,101.013,101.64,103.191,106.645,110.284
"14","7","  Fixed investment","B007RG3",12.507,11.997,11.095,9.798,9.631,10.117,10.168,10.271,11.161,11.315,11.255,11.537,12.39,13.584,14.177,14.655,15.118,16.7,19.611,21.286,21.701,22.182,24.097,24.686,24.89,25.079,25.488,26.989,27.926,27.997,28.262,28.414,28.325,28.346,28.267,28.44,28.926,29.536,30.364,31.582,33.14,34.565,36.306,37.865,39.958,43.89,49.384,52.244,56.342,61.101,66.642,72.887,79.67,84.047,83.912,84.399,85.457,87.501,89.118,91.431,93.641,95.542,96.96,96.67,97.805,99.133,100.292,100.028,99.785,98.861,98.888,100,101.023,101.66,103.313,106.811,110.542
"15","8","    Nonresidential","B008RG3",15.539,14.812,13.789,12.475,12.253,12.686,12.822,12.806,13.878,13.989,13.841,14.156,15.088,16.677,17.215,17.562,18.011,19.924,23.175,25.172,25.755,26.281,28.805,29.457,29.72,30.007,30.413,32.81,34.485,34.659,35.114,35.275,35.076,35.087,35.088,35.268,35.672,36.206,37.129,38.431,40.018,41.908,43.88,45.367,47.115,51.658,58.763,62.018,66.258,70.695,76.44,83.198,91.245,96.295,95.432,95.195,95.936,97.566,98.435,100.625,102.731,104.695,106.314,105.411,105.487,106.008,106.239,105.011,103.696,101.421,100.057,100,99.683,99.513,99.591,100.834,103.428
"16","9","      Structures","B009RG3",6.419,6.078,5.56,4.819,4.861,4.882,5.115,5.112,5.808,5.701,5.64,5.726,6.129,6.836,7.43,7.594,7.932,8.885,10.766,11.981,11.939,12.085,13.48,13.838,14.107,13.936,14.214,15.431,16.092,15.835,15.923,15.904,15.81,15.941,16.085,16.316,16.791,17.398,17.943,18.835,20.074,21.39,23.04,24.704,26.619,30.295,33.911,35.571,38.651,42.382,47.313,51.74,58.88,63.566,61.939,62.468,63.94,65.168,66.199,69.016,71.707,74.015,75.355,75.33,77.602,80.388,83.879,86.045,89.381,93.474,96.257,100,105.403,110.03,113.872,120.951,134.647
"17","10","      Equipment and software","B010RG3",23.012,22.09,20.938,19.748,18.973,20.043,19.866,19.835,20.97,21.475,21.249,21.818,23.205,25.521,25.655,26.148,26.589,29.107,32.974,35.35,36.714,37.635,40.834,41.662,41.76,42.765,43.166,46.376,49.005,49.968,50.882,51.305,51.025,50.774,50.495,50.474,50.52,50.654,51.776,53.167,54.645,56.657,58.34,59.044,60.047,64.474,74.001,78.355,83.011,87.391,92.932,100.868,108.077,112.293,112.53,111.547,111.413,113.178,113.796,115.216,116.657,118.168,119.854,118.444,117.243,116.572,115.224,112.451,109.12,104.259,101.366,100,97.708,95.956,94.912,94.503,94.134
"18","11","    Residential","B011RG3",6.765,6.619,5.991,4.883,4.816,5.346,5.27,5.527,6.064,6.254,6.297,6.485,7.084,7.612,8.238,9.038,9.648,10.552,12.638,13.699,13.881,14.224,15.243,15.662,15.774,15.837,16.166,16.578,16.622,16.58,16.63,16.743,16.769,16.795,16.663,16.796,17.272,17.899,18.521,19.504,20.853,21.526,22.775,24.158,26.297,29.011,31.706,33.743,37.147,41.696,46.374,51.394,55.587,58.564,59.908,61.63,63.219,65.868,68.561,70.928,73.211,74.93,75.912,76.836,79.941,82.754,85.769,87.61,89.843,92.239,95.78,100,104.633,107.24,112.372,120.618,126.714
"19","12","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  Exports","B020RG3",17.011,15.401,12.118,10.51,10.509,12.186,12.496,12.917,13.775,13.139,12.962,14.059,15.35,18.547,20.288,22.851,22.663,21.904,25.434,26.79,25.192,24.532,27.718,27.886,27.808,27.43,27.665,28.59,29.674,29.373,29.433,29.846,30.3,30.375,30.307,30.556,31.529,32.481,33.725,34.461,35.627,36.993,38.358,40.146,45.425,55.965,61.682,63.707,66.302,70.342,78.808,86.801,93.217,93.645,94.015,94.887,91.983,90.639,92.874,97.687,99.31,99.982,101.313,100.892,100.898,102.033,104.376,102.988,101.232,98.905,98.313,100,99.624,99.273,101.429,105.151,108.949
"22","15","    Goods","B253RG3",20.374,18.226,13.989,12.061,12.619,14.761,15.123,15.487,16.414,15.186,14.852,15.927,17.069,20.782,22.912,26.238,26.136,24.803,29.512,31.413,29.103,28.137,32.257,32.115,31.789,31.337,31.633,32.834,33.902,33.531,33.857,34.084,34.732,34.461,34.35,34.583,35.787,37.009,38.56,39.157,40.373,42.194,43.321,44.472,51.617,65.323,72.603,74.46,77.171,81.62,92.396,101.28,108.429,107.188,106.407,107.331,101.962,98.62,101.17,107.685,109.078,108.03,107.907,106.185,105.592,106.718,109.249,106.409,103.495,100.222,98.867,100,99.315,98.661,100.64,104.392,107.628
"23","16","    Services","B646RG3",8.719,8.721,8.121,7.289,5.527,6.028,6.22,6.827,7.558,8.586,8.888,10.243,12.282,14.435,15.439,16.628,16.242,16.891,17.165,16.979,17.353,17.524,18.445,19.499,20.08,19.863,19.955,20.216,21.485,21.339,20.839,21.569,21.643,22.389,22.403,22.689,23.204,23.633,24.289,25.257,26.309,26.814,28.575,31.471,32.937,36.742,39.21,41.578,43.92,47.102,50.767,57.017,61.972,65.73,68.305,69.058,70.941,73.339,74.937,76.445,78.495,82.541,86.694,88.864,90.07,91.213,93.143,94.952,95.856,95.771,96.969,100,100.393,100.762,103.333,106.985,112.115
"24","17","  Imports","B021RG3",12.541,10.693,8.642,6.927,6.639,7.542,7.667,8.203,9.155,8.46,8.88,9.472,10.004,11.458,12.334,12.956,13.32,14.851,17.792,19.336,18.429,19.575,23.659,22.802,21.823,22.121,22.002,22.39,22.645,21.704,21.901,22.11,22.11,21.849,22.273,22.743,23.059,23.596,23.688,24.048,24.675,26.135,27.739,29.682,34.841,49.847,53.997,55.622,60.523,64.798,75.879,94.513,99.594,96.235,92.629,91.829,88.813,88.871,94.251,98.774,100.944,103.826,103.42,103.552,102.671,103.634,106.412,104.529,100.816,95.353,95.96,100,97.497,96.341,99.685,104.678,111.268
"25","18","    Goods","B255RG3",12.606,10.401,8.134,6.375,6.379,7.283,7.402,7.945,8.878,7.958,8.102,8.649,9.276,10.745,11.651,12.443,12.747,14.36,17.634,19.473,18.434,19.94,25.033,23.799,22.779,23.268,23.205,23.661,23.872,22.625,22.789,23.032,22.812,22.268,22.473,23.079,23.193,23.716,23.75,24.068,24.747,26.428,27.783,29.912,35.256,52.758,57.177,58.706,64.084,68.358,80.607,101.713,107.376,103.039,98.732,98.052,94.194,92.084,98.651,103.35,106.267,108.183,106.701,106.204,104.946,105.759,108.573,105.866,101.465,95.332,95.456,100,96.998,95.288,98.063,102.962,109.622
"26","19","    Services","B656RG3",11.865,11.359,10.086,8.548,7.235,8.072,8.215,8.664,9.62,9.929,11.514,12.251,12.248,13.692,14.598,15.027,15.511,16.943,18.928,19.597,19.054,19.092,20.219,20.262,19.389,19.336,19.129,19.388,19.707,19.299,19.539,19.682,20.06,20.323,21.158,21.337,22.081,22.635,22.855,23.301,23.775,24.624,26.853,28.191,32.609,38.78,41.923,43.818,46.933,51.196,57.816,67.098,70.011,70.062,68.914,67.731,67.649,75.247,76.323,80.106,79.659,85.676,88.876,91.26,91.873,93.456,96.058,98.045,97.687,95.551,98.631,100,100.128,101.878,108.291,113.786,119.933
"27","20","Government consumption expenditures and gross investment","B822RG3",7.754,7.515,7.137,6.497,6.703,7.212,7.273,7.492,7.65,7.667,7.544,7.457,7.916,7.954,8.083,7.978,8.071,9.993,10.796,11.215,11.532,11.539,12.304,12.552,12.685,12.956,13.498,14.26,14.89,15.34,15.404,15.597,15.909,16.314,16.669,17.132,17.588,18.33,19.099,20.128,21.341,23.079,24.875,26.788,28.743,31.646,34.824,37.118,39.694,42.235,45.775,50.761,55.752,59.414,61.778,64.955,66.97,68.175,70.056,71.899,74.139,77.139,79.787,81.719,83.789,86.002,88.358,90.491,92.139,93.469,96.079,100,102.544,105.507,109.849,114.718,121.183
"28","21","  Federal","B823RG3",8.388,8.016,7.952,7.572,7.654,8.18,8.275,9.04,9.187,9.342,9.168,8.806,9.267,9.09,9.175,9.014,9.1,11.608,12.319,12.206,12.719,12.645,13.196,13.326,13.42,13.736,14.48,15.23,15.914,16.569,16.45,16.59,16.871,17.228,17.597,18.191,18.658,19.33,19.913,20.995,22.13,23.915,25.957,28.495,30.449,33.162,36.615,39.217,42.18,44.785,48.231,53.299,58.476,62.446,64.612,68.426,69.974,70.352,71.2,72.704,74.677,77.142,80.232,82.602,84.788,87.061,89.503,91.982,93.533,94.511,96.884,100,101.907,105.631,110.094,115.249,120.726
"29","22","    National defense","B824RG3",8.57,8.275,8.163,7.993,7.813,8.232,8.476,8.682,8.969,9.001,8.943,8.502,9.076,8.88,8.969,8.823,8.884,11.392,12.219,12.156,12.559,12.547,13.061,13.114,13.172,13.53,14.287,15.102,15.786,16.389,16.257,16.383,16.619,16.94,17.32,17.822,18.314,18.95,19.518,20.539,21.664,23.321,25.387,28.319,30.396,33.217,36.46,39.117,42.079,45.035,48.628,53.908,59.229,63.392,65.617,70.29,71.621,71.554,72.281,73.631,75.528,78.01,80.821,83.628,85.313,87.412,89.598,92.379,93.716,94.643,96.886,100,102.002,105.792,110.751,115.954,121.855
"30","23","    Nondefense","B825RG3",8.398,7.936,7.918,7.332,7.609,8.189,8.227,9.192,9.292,9.491,9.277,8.941,9.213,9.479,9.226,8.649,9.651,11.784,12.107,11.821,12.616,12.358,13.016,13.699,14.055,14.065,14.668,14.96,15.589,16.549,16.591,16.798,17.296,17.808,18.116,19.036,19.408,20.19,20.815,22.116,23.251,25.478,27.4,28.78,30.394,32.819,36.746,39.209,42.152,43.983,47.099,51.683,56.516,60.02,62.038,63.577,65.74,67.395,68.616,70.609,72.826,75.26,79.1,80.411,83.728,86.375,89.351,91.216,93.192,94.268,96.88,100,101.739,105.345,108.898,113.963,118.606
"31","24","  State and local","B829RG3",5.857,5.694,5.354,4.819,5.003,5.399,5.437,5.413,5.547,5.504,5.425,5.474,5.842,6.456,6.935,7.203,7.442,8.132,9.115,10.191,10.277,10.371,11.435,11.927,12.159,12.36,12.601,13.408,13.987,14.174,14.475,14.738,15.093,15.564,15.911,16.234,16.685,17.507,18.488,19.475,20.78,22.488,24.087,25.524,27.477,30.5,33.481,35.563,37.872,40.359,43.944,48.858,53.709,57.14,59.666,62.336,64.739,66.624,69.361,71.485,73.94,77.357,79.681,81.3,83.294,85.472,87.778,89.709,91.414,92.934,95.667,100,102.868,105.435,109.712,114.417,121.463
