"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","2","E1TDG1 A Durable goods","E1TDG10",40120,42011,42250,42915,43116,43680,43195,43969,45146,42540,42459,40518,40945,43488,45137,46747,43461,42131,42531,43460,44853,44304,42734,40037,39276,39546,40767,40389,41010,41356,41700,42146,42538,43141,44176,45194,44974,44862,45633,45782,46970,46578,46564,46405,47875,46421,49459,50915,50435,49851,49716,50596,50901,52341,52796,51352,51929,51489,53000,54782,55254,55628,54768,55343,56717,57709,58724,59188,57399,58240,55913,54965,57955,62293,65343,64266,62019,58921,60359,62869,67459,66220,65770,65574,66845,68881,71051,69003,65299,64521,66086,68782,71612,69824,68712,68791,68982,66368,67493,70806,70510,71608,70972,70034,72392,70525,71516,74000,76085,75766,79499,77433,80028,79742,82719,83389,83928,83953,83144,83577,85697,86280,84656,85805,85944,86017,84108,86113,88098,86861,86054,85722,84536,86309,83750,85057,86196,86895,86343,87256,87209,84510,79971,81859,92082,91869,94241,94915,94247,97450,95518,96554,101262,101488,101498,101581,104744,103524,106446,106894,108505,108816,110476,112144,111698,115683,117012,118439,122683,125067,127479,125671,126403,121117,123010,121661,126568,122170,121790,118971,119241,117257,120815,121238,124095,122914,125492,132793,126656,123005,117302,117120,121322,126418,122686,123750,129482,131224,136224,136541,141073,139102,143975,149693
"12","3","E1TAP1 B   Motor vehicles and parts","E1TAP10",16975,18542,18976,19512,19391,19330,19431,19994,21057,18305,18434,16505,17015,19479,21745,21970,19808,18271,18995,20153,21513,20506,19499,17014,16197,16368,17087,17003,17214,17413,17676,17982,18243,18747,19457,20357,20176,20436,20657,20857,21602,21701,21287,20947,21514,20677,23370,24596,24101,23524,23085,23740,24079,25227,25262,23959,24233,23592,25303,26335,26844,25877,24752,25278,26258,26675,27695,27731,26457,27038,24679,22560,26241,30322,33588,32116,29362,26484,27228,29808,33230,31109,30072,29540,30130,32208,33817,32118,28656,26506,27672,29816,32630,30903,29664,29264,29568,26889,27848,30766,30394,31513,31147,29862,30991,29731,29393,31826,33919,33144,35741,33882,36211,35270,37098,37282,38286,38210,36580,37613,39297,38941,37570,38099,37953,37991,36393,38681,40450,39402,38623,36920,35268,37037,35310,36379,36933,38179,37138,37634,37487,33877,29720,31134,41868,41120,43286,43534,42842,44821,43490,43475,47945,47742,47433,46684,48503,47247,49178,49452,50277,50436,50753,51974,51001,53388,54879,56016,57857,59027,61346,59128,59701,54039,55728,53845,57405,53188,52455,49949,48463,46845,48399,48472,50159,49771,51342,57938,52266,49622,45092,45955,47495,51868,48176,48453,50804,52242,57229,56283,59517,58288,61390,65868
"13","4","E1FUR1 B   Furniture and household equipment","E1FUR10",17519,17819,17618,17761,18022,18599,18108,18277,18358,18427,18272,18216,18130,18331,17809,18818,18001,18164,17856,17700,17708,18077,17546,17428,17467,17551,18076,17841,18117,18244,18346,18466,18528,18594,18857,18925,18852,18564,19011,18915,19258,18799,19139,19330,20019,19451,19806,19880,20013,19916,20119,20336,20249,20537,20893,20831,21015,21265,21011,21615,21635,22630,22703,22947,23044,23560,23354,23604,23281,23637,23584,24589,23987,24082,23942,24416,24723,24341,24921,24891,25922,26495,26805,26867,27196,27086,27606,27372,27202,28155,28614,29082,29047,29016,29084,29468,29381,29589,29269,29711,29621,29896,29354,29837,30722,30212,31182,31334,31268,31854,32203,32170,32218,32618,33770,34240,33553,33456,33878,33560,33817,34500,34404,34677,35011,35068,34838,34448,34859,34690,34608,35612,36034,35342,35115,35691,35722,35361,35542,35712,35681,36361,35994,36325,36194,36632,36955,37074,37014,37919,37390,38178,38378,38666,39401,39871,40793,40670,41106,41005,41669,41594,42779,43131,43031,44399,44566,44129,46268,47326,47137,47349,47404,47824,47683,48162,48685,48385,49423,48998,50096,49935,51219,51482,52364,51496,52459,53107,52843,51932,51009,50082,51514,51934,51814,52355,54643,54810,54495,55252,55963,55834,57421,58013
"14","5","E1TOD1 B   Other","E1TOD10",5626,5650,5656,5642,5703,5751,5656,5698,5731,5808,5753,5797,5800,5678,5583,5959,5652,5696,5680,5607,5632,5721,5689,5595,5612,5627,5604,5545,5679,5699,5678,5698,5767,5800,5862,5912,5946,5862,5965,6010,6110,6078,6138,6128,6342,6293,6283,6439,6321,6411,6512,6520,6573,6577,6641,6562,6681,6632,6686,6832,6775,7121,7313,7118,7415,7474,7675,7853,7661,7565,7650,7816,7727,7889,7813,7734,7934,8096,8210,8170,8307,8616,8893,9167,9519,9587,9628,9513,9441,9860,9800,9884,9935,9905,9964,10059,10033,9890,10376,10329,10495,10199,10471,10335,10679,10582,10941,10840,10898,10768,11555,11381,11599,11854,11851,11867,12089,12287,12686,12404,12583,12839,12682,13029,12980,12958,12877,12984,12789,12769,12823,13190,13234,13930,13325,12987,13541,13355,13663,13910,14041,14272,14257,14400,14020,14117,14000,14307,14391,14710,14638,14901,14939,15080,14664,15026,15448,15607,16162,16437,16559,16786,16944,17039,17666,17896,17567,18294,18558,18714,18996,19194,19298,19254,19599,19654,20477,20597,19912,20024,20682,20477,21197,21284,21572,21646,21691,21748,21547,21451,21201,21083,22313,22616,22696,22942,24035,24172,24500,25007,25593,24980,25164,25813
"15","6","E1TND1 A Nondurable goods","E1TND10",144959,145625,147639,145571,148416,148954,148156,148839,150769,150975,150165,151440,151042,149531,151914,155847,151896,153027,153721,152800,152458,154092,154768,152900,154119,154943,156581,155667,156064,156336,155619,156503,157338,157622,158729,159447,159874,160195,161812,162121,162738,160878,161439,162609,166161,164460,165660,165569,166487,165635,166760,166531,166326,168044,168913,170848,168469,168495,169392,171900,172249,174230,175610,174969,178064,178919,180308,181521,181060,181995,179986,184742,184489,186355,184128,187754,189371,188904,192225,191978,193526,199684,199165,200974,202426,204576,205886,208357,206704,208738,211237,210109,211708,210878,212008,212340,213456,213784,214268,215091,214984,216804,215666,218004,220255,217660,220684,224129,225132,227426,231655,231227,232632,235915,238772,240396,238941,240427,244184,241330,244654,247008,247434,249455,252381,251464,253668,256606,255350,259143,259797,260730,265468,265882,267070,267343,270685,271343,271891,272996,276018,276485,277449,281138,280603,280983,279206,282649,283153,286425,284883,287210,287962,287998,291235,293610,291447,295034,301090,301792,305382,305878,309160,310893,314275,319769,320172,321417,326917,331274,332799,334578,336300,340112,346715,344933,351152,352859,359063,360289,365081,369333,372981,377307,380690,383071,387575,393017,394495,396747,397642,396029,402135,404786,406403,405474,419542,421723,424874,429353,429102,429776,436342,439242
"16","7","E1TFD1 B   Food","E1TFD10",80058,79930,78694,78662,80288,81186,80757,80924,81748,81678,81008,82783,81363,80596,81994,83426,82740,82472,83046,82030,81729,82331,83843,82378,83644,83716,84113,84244,83824,83935,82925,83950,84339,84169,84039,84918,84718,85504,85572,85384,86024,85555,85698,86399,87583,86702,87178,86655,87286,86997,87413,87454,87451,88074,88859,89380,87892,88846,89511,89801,90615,90817,92051,91914,92934,93705,94295,94638,94834,94738,94520,97380,96623,97552,96639,98412,99164,99915,101305,101664,100946,105298,104456,106547,106295,107809,108685,109574,108771,108989,110832,109627,110365,109262,110541,110961,111627,110750,111205,111459,110829,111988,111304,112735,113470,113263,114113,116518,116339,117227,120348,119780,120655,122322,123481,124556,124207,124951,127185,125538,127390,128246,127733,128829,131018,130507,131436,133042,132522,135184,135973,135914,139670,140338,141410,141434,143411,143927,143629,144786,146722,145214,146550,148193,146985,147244,146898,148339,149222,150433,149790,150514,149823,151093,151867,154025,151710,154904,158407,158980,160455,161165,162302,163015,164632,166596,166830,167669,170494,172083,173083,174163,175240,177239,182977,182152,184872,185677,187544,189827,191854,194115,195061,196344,197109,199188,201565,206582,207858,209307,212300,210405,213659,215145,216420,216268,221929,223942,225643,226848,227183,228616,231239,231632
"17","8","E1TCS1 B   Clothing and shoes","E1TCS10",25361,26177,25806,25600,26962,26976,26376,26108,26859,26760,26527,26976,27525,26710,26445,28423,26236,27065,27029,26932,26686,27448,26703,26354,26329,26972,28015,26677,27581,27729,27661,27693,27768,28235,28604,28476,28558,27998,28871,29263,29274,28168,28617,28706,30117,29157,29475,29604,29369,28899,29713,29586,29092,30068,30032,30541,30081,29407,29876,30876,30609,31707,31893,31538,32766,32581,32717,32959,32558,33024,32404,33780,33789,33701,32309,33298,33773,32775,33797,33586,35085,35241,35692,35770,36442,36866,36632,36891,36654,37710,37842,37774,38008,38068,38053,37620,38131,38034,38912,38961,38769,39304,38790,39433,40656,38990,39983,40389,40746,41480,42224,42359,42442,43160,44317,44331,43645,44161,44989,43958,45017,45694,45714,46099,46406,46066,46900,47351,46676,47276,46822,47691,46973,47471,46916,46967,47474,47573,47755,47586,47641,48931,48514,49655,49964,50265,49401,51126,51210,52449,51676,52114,52809,51972,53594,53808,53432,53348,54686,54325,55976,55679,56554,56824,57814,59850,59125,58935,60546,61672,62269,62005,61722,62892,62795,61722,63491,63042,64234,63622,65167,64687,65371,66146,66589,66142,67306,67273,67052,66524,65131,64468,66997,68192,68455,67205,72359,71543,71116,72749,72536,71335,73332,74177
"18","9","E1GFO1 B   Gasoline, fuel oil, and other energy goods","E1GFO10",15063,15214,15224,15076,15370,15496,15369,15308,15061,15696,15984,15075,15188,15225,16194,16173,15610,15915,15782,15930,16157,15843,16012,16147,15986,15777,15618,15848,15635,15820,15812,15692,15791,15575,15972,15594,15887,16056,16361,16316,16243,16144,15982,16128,16381,16710,16868,17172,17361,17247,16909,16700,17176,16492,16562,17081,17085,16613,16670,17720,17202,17244,17274,17469,17227,17750,17754,18138,18070,18685,17702,17981,17850,18512,18673,18861,18840,19260,19608,19317,19537,20017,19911,19798,20041,19796,19965,20315,20450,20681,20726,21053,21268,21326,21091,21748,21282,22052,21162,21206,22282,22090,22274,21596,21924,21915,22700,22593,22777,23217,23086,23020,22871,23185,23382,23578,23510,23413,23509,23632,23767,24193,24977,24920,25116,25207,24989,25192,25149,25530,25593,25619,26183,25642,25922,25995,26179,26291,26491,26064,26621,26714,26773,27253,27767,27328,27252,27475,27127,27655,27067,27884,28465,28047,28543,27910,28204,28386,28607,28359,28592,28339,28887,29837,29999,30856,31425,32041,32081,33031,32690,33315,33913,33382,33923,34255,34787,36078,38319,37158,37456,39351,41146,42900,44764,45231,46379,45168,45792,46902,45216,47383,46267,45764,45283,46807,46786,47615,48937,50226,49417,49860,49554,51188
"19","10","E1GAO1 B     Gasoline and oil","E1GAO10",10677,11016,11143,11120,11295,11214,11217,11297,11233,11815,11670,11675,11569,11549,11631,12261,11875,12161,12047,12143,12363,11992,12304,12153,12145,12013,11935,11877,11766,11947,11970,12065,12206,11966,12240,11978,12160,12418,12448,12571,12506,12480,12300,12559,12697,13067,12859,13099,13167,12913,12849,12883,13060,12690,12868,13091,12806,13071,12694,13332,13317,13367,13339,13462,13378,13619,13637,13562,13855,13669,13672,13987,13738,14339,14375,14463,14653,14924,15017,14737,14878,15238,15359,15291,15466,15333,15730,15780,15816,16020,15980,16323,16385,16476,16541,16534,16549,16723,16761,16899,17033,17002,17198,17191,17262,17331,17636,17615,17819,18204,18296,18387,18101,18420,18795,18828,18953,18925,18934,19058,19199,19706,20023,20436,20562,20680,20468,20831,20625,20897,21035,21058,21197,21325,21572,21491,22015,21929,21967,21682,22245,22299,22502,22828,23083,22775,22608,22752,22371,23036,22540,23439,23853,23849,23979,23515,23910,23713,23899,23531,23871,23545,23986,24485,24919,25251,25741,26021,26330,27141,27097,27473,27546,27068,27841,27898,28194,29292,31221,30471,30249,31931,34053,35213,36896,37351,38075,37158,37661,38000,37514,39459,38549,38057,37269,37789,38980,39299,40332,40959,40317,41038,41596,42251
"20","11","E1FUL1 B     Fuel oil and coal","E1FUL10",4386,4198,4081,3956,4075,4282,4152,4011,3828,3881,4314,3400,3619,3676,4563,3912,3735,3754,3735,3787,3794,3851,3708,3994,3841,3764,3683,3971,3869,3873,3842,3627,3585,3609,3732,3616,3727,3638,3913,3745,3737,3664,3682,3569,3684,3643,4009,4073,4194,4334,4060,3817,4116,3802,3694,3990,4279,3542,3976,4388,3885,3877,3935,4007,3849,4131,4117,4576,4215,5016,4030,3994,4112,4173,4298,4398,4187,4336,4591,4580,4659,4779,4552,4507,4575,4463,4235,4535,4634,4661,4746,4730,4883,4850,4550,5214,4733,5329,4401,4307,5249,5088,5076,4405,4662,4584,5064,4978,4958,5013,4790,4633,4770,4765,4587,4750,4557,4488,4575,4574,4568,4487,4954,4484,4554,4527,4521,4361,4524,4633,4558,4561,4986,4317,4350,4504,4164,4362,4524,4382,4376,4415,4271,4425,4684,4553,4644,4723,4756,4619,4527,4445,4612,4198,4564,4395,4294,4673,4708,4828,4721,4794,4901,5352,5080,5605,5684,6020,5751,5890,5593,5842,6367,6314,6082,6357,6593,6786,7098,6687,7207,7420,7093,7687,7868,7880,8304,8010,8131,8902,7702,7924,7718,7707,8014,9018,7806,8316,8605,9267,9100,8822,7958,8937
