"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38"
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9684,9881,9776,9736,9806,9785,9765,9787,9742,9719,9979,10121,10016,10078,10102,10271,10239,10142,10002,9801,9675,9658,9743,9866,10080,10245,10118,9614,9548,9460,9489,9529,9652,9618,9499
"14","6","A     Primary metal manufacturing","KS3310",19527,19498,19712,20205,20412,20944,21646,21812,21746,21915,21836,22273,22392,22606,22305,21863,21576,20896,20464,20047,19443,19271,19404,19686,19824,18905,17976,17434,17598,17858,18161,18676,19844,20139,19611
"15","7","A     Fabricated metal product manufacturing","KS3320",29668,30151,30231,30825,31020,31941,32016,32087,32079,32163,32529,33039,32864,33833,33773,33675,33734,33642,33385,32570,32385,32142,32368,32286,32080,31959,31495,31486,31376,31449,31819,32011,32610,32361,32004
"16","8","A     Machinery manufacturing","KS3330",35618,36531,36359,36794,37751,37640,38406,37962,38168,37941,37773,38416,38160,39086,39766,41063,41150,39919,38421,36873,36510,35495,35102,35212,34278,34054,33691,34055,34757,35151,35548,35756,36328,36594,37793
"17","9","A     Computer and electronic product manufacturing","KS3340",45170,47066,49423,50593,52111,52137,51794,51323,53143,54039,55126,56091,56550,60383,62263,67266,67976,66728,62824,60066,59273,57645,57632,57005,55996,55447,55885,58218,58040,59298,60164,60290,60157,59719,61025
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12722,13235,13374,13305,13530,13340,13529,13806,13695,13866,13912,13796,13680,13951,14256,14604,14665,14295,13881,13661,13528,13591,13511,13357,13231,13038,12773,12779,12587,12597,12779,12494,12567,12574,12651
"19","11","A     Transportation equipment manufacturing","KS3360",69327,69109,69791,69798,73739,77314,78756,81590,81266,79867,80637,81363,79729,76762,74594,72238,70600,70288,70291,70419,68119,67867,66831,68557,68299,68076,66888,66620,66789,66451,66153,66004,67675,66894,67198
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22857,22916,23447,22823,23643,23464,23037,23981,24737,24637,24606,25635,25497,25792,25880,25455,24656,24534,23808,22983,22856,23549,24005,24003,24055,24070,24015,24386,25112,25125,25153,24574,25152,25187,24804
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46424,46143,46284,46934,50059,53852,55739,57619,56535,55234,56036,55731,54232,50968,48717,46786,45944,45753,46479,47421,45257,44332,42854,44556,44246,44007,42883,42255,41714,41364,41037,41459,42552,41733,42422
"22","14","A     Furniture and related product manufacturing","KS3370",7101,7245,7192,7227,7297,7346,7356,7384,7500,7533,7523,7729,7864,8002,8085,7963,8093,7975,7846,7557,7500,7643,7743,7873,7946,8019,7827,7659,7678,7945,8059,8251,8193,8224,8283
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14237,14179,14114,14519,14808,14913,15112,14995,15243,15466,15627,15773,15952,16198,16603,16626,16666,16522,16575,16672,16530,16772,16774,16630,16903,16896,17192,17534,17615,17487,17609,17537,17216,17227,17541
"24","16","A   Nondurable goods manufacturing industries","KS30N0",163113,164779,166370,169003,169986,169843,169398,169352,170611,172725,174407,177841,178485,179770,179813,178466,177444,175546,175076,175332,176037,176049,177899,176279,176860,177119,176841,174262,175688,176093,175731,175474,177249,175946,173681
"25","17","A     Food manufacturing","KS3110",30950,31313,31492,31937,32140,32040,31899,32049,32517,32717,33182,33679,34550,34207,34119,34159,33871,33847,33517,33848,33951,34579,34577,34204,34415,34114,33975,33275,33374,32858,32769,32582,32476,32683,32498
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11352,11586,11921,12154,12382,12005,11835,12074,11836,11846,11478,11908,12037,12062,12119,11798,11984,11997,12287,12364,12535,12596,12668,12400,12283,12327,12516,12080,12181,12139,12482,11942,12098,11924,11868
"27","19","A     Textile mills","KS3130",6726,6722,6704,6684,6762,6757,6798,6813,6775,6824,6849,7001,6839,6772,6663,6578,6432,6382,6222,5961,5706,5577,5631,5683,5780,5831,5807,5664,5588,5522,5462,5399,5254,5122,5086
"28","20","A     Textile product mills","KS3140",3562,3690,3762,3801,3788,3685,3640,3581,3654,3792,3823,3924,4033,4212,4293,4341,4350,4315,4362,4509,4089,3940,3738,3425,3510,3472,3495,3630,3513,3558,3601,3643,3739,3651,3592
"29","21","A     Apparel manufacturing","KS3150",8082,8384,8522,8506,8491,8347,8397,8446,8439,8666,9000,9086,8925,8744,8687,8804,8569,8320,7738,7183,6828,6775,6976,7139,7298,7429,7355,7193,6929,6956,7246,7221,7365,7347,7413
"30","22","A     Leather and allied product manufacturing","KS3160",1551,1628,1623,1662,1698,1717,1713,1686,1647,1666,1682,1696,1682,1655,1643,1594,1588,1461,1476,1427,1322,1309,1317,1353,1320,1309,1246,1292,1232,1192,1184,1255,1286,1279,1282
"31","23","A     Paper manufacturing","KS3220",15999,15579,15794,16130,16132,16313,16177,15764,15966,16274,16810,16811,17112,17184,16941,16267,15810,15484,15580,16079,16503,16930,17204,17479,17615,17587,17273,16762,16395,16255,16407,16500,16780,16807,16287
"32","24","A     Printing and related support activities","KS3230",6418,6550,6483,6708,6452,6431,6578,6210,6354,6591,6678,6911,7025,6847,6790,6552,6483,6236,6190,6286,6182,6620,6529,6732,6675,6469,6537,6471,6419,6604,6780,6821,6705,6603,6385
"33","25","A     Petroleum and coal product manufacturing","KS3240",16148,16184,16468,16606,15831,15709,15386,15812,15426,14697,15239,15515,15351,15864,15489,15208,15488,15995,16298,16411,16253,15946,16123,15805,16134,16329,16877,16285,16928,16951,16681,16513,17821,17517,17830
"34","26","A     Chemical manufacturing","KS3250",46439,47010,47568,48642,49808,50070,49970,49797,50491,51707,51553,52948,52781,53745,54733,54802,54638,53884,53816,53646,53785,53478,54603,53953,53623,53935,53917,53609,54998,55630,54161,54463,54039,53566,52117
"35","27","A     Plastics and rubber product manufacturing","KS3260",16389,16596,16557,16698,16741,16971,17059,17422,17630,17767,18073,18357,18138,18455,18314,18358,18261,17745,17745,17766,19006,18364,18580,18189,18304,18386,17888,18062,17995,18302,19018,19187,19499,19310,18963
"36","28","A Merchant wholesale industries","KS42W0",236476,243631,247480,254081,260527,263076,270179,274423,278872,280366,285756,291968,296511,302011,304819,307035,307179,308021,304936,298639,295519,295938,298506,300485,300889,299126,299764,301975,304546,308654,316483,323129,327547,331491,334027
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",144620,150667,152528,156023,161417,162675,167288,170846,173656,175442,178158,182814,185770,191088,191864,192822,192772,188597,184458,178533,174956,174576,177325,178554,179850,178590,176951,180188,183450,188191,194420,199052,201963,205409,207065
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21534,22653,23001,22507,23695,21917,22195,22951,23384,23953,24855,25271,26030,26667,25699,25995,25700,25001,25166,24311,23793,24689,26010,27160,27419,27747,26406,28686,29422,29547,30450,29703,29486,31423,30961
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4766,4962,5065,5124,5091,5245,5296,5271,5303,5350,5361,5549,5686,5949,5880,5972,5993,5704,5644,5477,5335,5436,5629,5737,5874,5973,5882,6093,6268,6241,6305,6320,6329,6191,6306
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5269,5500,5604,5597,5548,5571,5526,5545,5575,5666,5774,5932,6128,6262,6186,6380,6240,5946,6293,6424,6290,6311,6584,6871,6979,6877,6896,7671,8176,8740,9254,9945,10502,10292,10063
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15410,17173,18156,19029,20707,20754,21082,20970,21875,22342,22835,24404,24403,24576,25365,25293,25247,24916,23986,23375,23503,24543,25052,25041,25979,25828,26475,26393,26871,27943,29015,30442,30610,31475,31978
"42","34","D       Computers and software wholesalers","KS42430",6871,8020,8725,9147,10326,10455,10504,10907,11227,11804,12018,13100,12319,12095,12817,12680,12898,12293,11885,11574,12209,12975,13196,12642,13745,13923,13960,14623,15016,16154,17151,18768,19340,19554,20897
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9381,9726,9826,10314,10597,10459,10793,10123,10742,10565,10845,11303,12114,12505,12565,12612,12377,12583,12075,11776,11435,11790,12077,12446,12510,12278,12774,12318,12465,12658,12935,13160,12994,13523,13256
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",13038,13300,13271,13319,13666,13783,14331,14737,14379,14640,14487,15029,15679,16026,16007,15375,15095,15055,14860,14484,14156,14060,14506,14215,14000,13836,13678,13987,15036,15369,16170,17064,17332,17387,17175
"45","37","D     Electrical goods wholesalers","KS42160",20528,20668,20644,20520,21220,21872,22223,22441,22559,22936,24037,25707,26044,26967,28034,29184,29308,28332,26427,24492,23344,22871,23537,23577,23248,22980,23057,23182,24398,25301,25668,26060,26430,26618,27072
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9378,9613,9667,9664,10066,10373,10388,10484,10556,10571,10548,10701,10919,11416,11428,11614,11391,11190,11273,11022,10864,10878,10980,10995,11417,11104,10872,10868,10873,11173,11627,11936,11937,12020,12139
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40679,42606,42082,44402,45163,46386,48198,50068,51037,51218,51450,51167,51377,52486,52645,51914,52464,52176,50753,48993,48053,46578,46342,46220,46226,45508,44982,44119,44283,45582,46559,48210,49059,49837,51019
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",15238,14956,15444,16125,16220,16774,18152,18623,19155,18885,18876,19057,19509,20740,20620,21098,21335,20274,20009,19950,19677,19426,18938,18996,19085,19148,19261,19735,18751,19028,20008,19924,20649,20842,21154
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92081,93053,95088,98242,99197,100513,102992,103620,105257,104922,107624,109154,110743,110922,112958,114213,114417,119291,120291,119882,120285,121055,120920,121661,120837,120317,122444,121570,121018,120566,122260,124296,125818,126402,127293
"50","42","D     Paper and paper products wholesalers","KS42210",7726,7803,8233,8266,8353,8319,8285,8417,8548,8605,8678,8463,8798,8723,8824,8942,8853,8786,8692,8520,8364,8518,8348,8300,8312,8259,8173,8420,8468,8660,8954,9034,9075,9334,9570
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14148,14456,15267,15568,16349,16054,16052,16528,17387,18830,19303,19706,20810,21528,22663,23951,24425,26974,29154,30373,30153,29751,29508,31198,32190,32002,32058,31250,31712,31315,31210,30555,29604,28867,28465
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11992,12384,12358,12860,12646,12769,12770,12873,12539,11848,11650,12084,12268,12222,12282,12049,12616,13143,12799,11938,11858,11916,12898,12506,12454,12537,12087,11821,11905,11532,12548,12592,13149,13654,13953
"53","45","D     Grocery and related products wholesalers","KS42240",16852,17043,16970,17816,17709,18213,18109,17795,18465,18289,19174,19800,19710,19307,20080,20249,19618,19442,19052,19048,19170,20554,20600,20710,20592,19738,20374,20195,20123,20140,20208,20368,20440,20432,20905
"54","46","D     Farm product raw material wholesalers","KS42250",9847,9839,10042,10736,10417,10762,12380,12645,12717,13005,14024,13588,13868,13724,14116,14209,13969,14791,14825,14558,14914,15010,14293,13752,13058,13490,14235,14966,14983,13545,12934,13476,14591,14828,15122
"55","47","D     Chemical and allied products wholesalers","KS42260",4731,4913,4923,4915,4821,4948,5259,5331,5373,5318,5332,5487,5488,5404,5195,5088,5048,5195,5305,5283,5363,5376,5520,5572,5347,5336,5250,5337,4847,4837,4869,4863,5058,5064,5049
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6291,6409,6391,6630,7001,7415,7928,7363,7461,6912,6540,5931,5581,5631,5420,5452,5533,5694,5817,6797,7168,6597,6452,6295,5465,6125,6333,6028,5766,5898,6345,6624,7067,7069,6947
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",4790,5015,5117,5456,5794,5675,5798,5660,6285,6058,5981,6012,6100,6040,6085,6249,6050,6185,6118,6044,6323,6255,6349,6528,6672,6574,6672,6651,6400,6751,6760,7083,7197,7172,7433
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16360,15884,16537,16599,16966,17261,17274,17561,17030,16393,17111,18066,18076,18307,18270,18007,18272,19028,18484,17455,17161,17112,17020,16885,16949,16377,17247,16765,16665,17983,18575,19692,19493,19898,19929
"59","51","A Retail trade industries","KS440",325441,330810,335557,340561,350400,353173,355715,357859,366348,369513,373670,385517,387559,396651,402422,407133,402859,404331,405660,396311,401564,408690,413359,420589,427185,429170,433957,437345,443910,451013,448472,452726,454482,451061,447960
"60","52","A   Motor vehicle and parts dealers","KS4410",100539,101653,103460,106600,110379,110304,109359,108868,114186,114292,116219,121928,122981,129069,133067,134232,128961,131338,133080,125404,130881,135897,136906,143825,149223,152363,154463,156680,161786,165876,161633,160824,159694,153594,149397
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19623,19936,20096,20291,20901,21150,21684,22218,22560,23239,23755,24336,24927,25720,25590,26437,26428,25804,25464,25844,26820,27158,27865,27619,27547,28112,28412,29141,29465,29972,30247,31171,31079,32017,31593
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32690,33182,33800,34030,34795,34864,35642,36369,36896,37197,37591,38660,38880,39751,40309,40040,40084,40174,40102,40016,40735,40550,40959,41493,41839,41456,42813,42922,43775,44628,45382,46949,47469,47531,48456
"63","55","A   Food and beverage stores","KS4450",28530,28540,29014,28819,29394,29889,29891,30065,30507,30727,31430,31910,31962,31537,31721,31757,32143,32317,32201,32485,32181,32266,32603,32645,32694,32304,32419,31679,31718,32076,32037,32177,32087,32188,32089
"64","56","A   Clothing and clothing accessories stores","KS4480",25941,26806,27219,27573,28022,28507,29029,28723,29277,29703,28989,29996,30037,30606,31420,32527,32398,32227,32262,31460,30809,31612,32501,33056,33734,33239,33210,33284,33149,33394,33159,33261,34141,34622,34721
"65","57","A   General merchandise stores","KS4520",58151,58954,58649,59047,59534,59652,60324,59921,60449,60683,61289,62618,62794,63295,63038,63682,65236,65315,64851,63551,62689,62815,63833,64771,64574,64692,65235,65680,66624,67418,67779,69419,70766,70979,71943
"66","58","D     Department stores","KS45210",41861,42353,41991,42469,42527,42353,42559,41766,41923,41805,41805,42422,42098,42110,41552,41797,42183,41838,41485,39701,38447,37995,38017,38144,37818,37689,37658,37327,37380,37149,36995,37357,37921,37142,37401
"67","59","D     Other general merchandise stores","KS45290",16262,16575,16634,16550,16984,17280,17750,18145,18519,18873,19482,20196,20698,21187,21488,21885,23050,23471,23360,23830,24211,24780,25765,26568,26694,26937,27501,28262,29138,30138,30641,31897,32671,33623,34312
"68","60","A   Other retail stores","KS44X0",59954,61718,63334,64235,67428,68853,69778,71703,72480,73665,74393,76055,75956,76654,77256,78444,77608,77128,77664,77518,77489,78485,78802,77397,77900,77482,77932,78666,78326,78720,79062,79634,79841,80413,79754
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
