"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"11","3","  Goods \1\","A253RC1",15.7,16.7,16.8,15.1,14.6,13,13.1,12.4,13.7,13.2,11.9,10.1,9.6,9.8,10.2,11.3,12.5,14.3,15.1,15.1,15.4,13.4,12.4,12.5,12.1,12.3,12.9,12.3,11.6,13.6,12.9,13.6,14.2,13.8,14.8,14.9,15.9,17.2,18.1,19.1,20.6,20.1,19.4,18.1,16.6,16.3,16.4,16.3,15.6,15.9,17.5,16.9,19.5,20.5,20.9,20.9,21.2,20.1,21,21.5,21.2,22.3,22.3,21.1,21.3,23.4,23.8,24.9,26.1,26,26.9,27.8,24.4,28.8,27.9,30.1,30.4,30.1,30.6,31.9,32.5,32.3,31.6,32.3,33.6,34.9,36.6,35.9,31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,354.6,374.4,372.4,375.9,390.4,394.2,398.1,403.8,414.1,421,426.1,433,440.7,441.3,452.8,457,452,458.2,454.4,475.1,477.4,496.3,524,542.6,562.1,575.4,595.6,600.1,607.9,611.7,615.6,638.2,658.1,686.7,704.7,701.3,694.2,672.6,666.9,689.7,673.2,680.3,703.9,731.3,749.2,776.9,810.9,800.4,788.9,747.6,704.9,684.5,677.7,700.9,714.1,698.3,707.6,707.7,722.1,764.4
"12","4","    Durable","A332RC1",8.2,9,8.9,7.7,7.3,6.5,6.6,6.2,6.8,6.6,5.9,5,4.8,4.9,5.1,5.5,6.1,6.6,6.7,7.1,7.5,6.8,6.6,6.8,6.7,6.8,7.2,6.9,6.4,7.5,7.1,7.5,8,7.9,8.5,8.5,8.9,9.6,10.1,10.6,11.5,11.2,10.8,10.1,9.2,8.7,8.9,9.1,8.5,8.8,9.4,9.1,10.5,11.4,11.8,11.4,11.5,11.2,11.6,11.8,11.8,12.1,12.2,11.8,11.7,12.6,12.9,13.5,14.1,14.2,14.9,15.5,14,16.2,15.8,17,17.2,17.1,17.4,18.4,18.5,18.6,18.1,18.5,19.4,21,21.8,21.8,20.5,24,24.5,25.8,26.3,28,27.2,27,27.7,27.8,28.2,26.5,30,29.7,31.2,33.2,36.9,40.3,42.4,45.8,50.8,55.8,57.2,62.1,62,63.8,63.5,65.9,66.4,68.2,69.7,71.8,70.4,72.8,73.1,71.9,74.3,84.2,85.9,96.6,101.2,104.2,107.7,118.9,131,133.6,130.8,137.9,138.7,145.7,138,138,129.3,130.4,124.7,114.3,116.3,119,118.7,127.5,127.8,130.9,133.4,137.4,136.6,139.9,135.4,137,137.4,143.1,141.2,148.8,148.5,156.7,165.2,181.4,195.3,206.8,209.6,223.4,229.6,240,243.6,246,259.3,261.2,264.4,263.1,269.4,282.1,287.4,290.1,296.6,293.9,303.1,308.6,307,311.7,311,326.4,331.1,342.2,359.1,366.3,379.7,387.7,401.3,407.6,411.9,416.7,420.8,437.6,457.8,482.4,498.4,493.4,494.8,478.7,477.7,497.1,487.3,490.4,507.9,527.8,542.8,566.4,587.6,580,570.6,533.9,499.1,481.3,477.9,493.8,502.7,484.8,484.5,485.9,497.1,529.2
"13","5","    Nondurable","A339RC1",7.5,7.7,7.9,7.4,7.3,6.5,6.6,6.2,6.9,6.6,6,5.1,4.8,4.9,5.1,5.7,6.4,7.7,8.4,8,7.9,6.6,5.8,5.7,5.4,5.5,5.7,5.5,5.2,6.1,5.8,6.1,6.2,5.9,6.3,6.4,7,7.6,8,8.5,9.1,8.9,8.6,8,7.3,7.6,7.5,7.2,7,7.1,8.1,7.8,9,9.1,9.2,9.5,9.7,8.8,9.4,9.7,9.4,10.1,10.1,9.3,9.6,10.8,10.9,11.4,12,11.8,12,12.3,10.3,12.6,12.1,13.1,13.2,13,13.2,13.5,13.9,13.7,13.6,13.8,14.2,13.9,14.9,14.1,11.2,16,15,16.2,16.8,17,17.5,18.4,18.1,17.9,20.2,15.7,19.7,19.1,20.6,23.5,27.5,30.6,33.2,39,42.3,44.8,44.1,46.9,50,42.2,43.7,47.5,47.1,48,49.2,50.5,50.9,53.4,53,49.1,50.7,61.9,63.3,64.6,65.8,71.5,80.3,86.5,86.8,90.6,96.1,96.3,103.5,96.3,96.1,100,95.5,95.6,86.9,83.3,84.4,83.8,88.6,90.8,90.5,93.7,94.9,93.8,89.1,83.6,82,85.4,83.2,80,83.3,87.1,85.8,91.9,99,101.7,109.3,114.7,122,122.1,125,134.4,128.8,129.9,131.1,133,133.7,140.7,144.7,138.9,138.7,142.9,144.1,147.4,149.6,148.4,145,146.5,143.4,148.7,146.3,154.1,165,176.2,182.3,187.7,194.3,192.5,196,195,194.8,200.5,200.3,204.4,206.3,207.9,199.4,193.9,189.1,192.6,186,189.8,196,203.5,206.3,210.4,223.2,220.4,218.3,213.7,205.8,203.2,199.8,207.1,211.4,213.5,223.1,221.7,224.9,235.2
"14","6","  Services \1\","A646RC1",2.7,2.8,2.6,2.5,2.3,2.2,2.3,2.3,2.4,2.5,2.2,2,2.1,2.1,2.1,2.3,2.5,2.8,3,3.1,3.3,3.1,2.8,2.8,3,2.9,2.9,2.8,2.8,2.8,3,3,3.1,3.1,3.4,3.4,3.5,3.7,3.8,4,4.3,4.3,4.3,4.9,4,4.2,4.1,4.2,6.2,6.6,6,6.2,6.5,7.2,6.1,6.6,6.3,7.4,6.2,6.7,7.1,8.4,6.7,7.2,7.8,9,6.9,7.3,8.1,8.8,7.9,8.4,8.7,10.3,9,9.4,9,11.4,9.8,10.5,11.5,11.3,10.8,11.6,11.9,12.5,12.9,13.3,12.3,14,13.9,14.5,13.9,15.6,15.5,15.7,17.2,17.4,16.9,18.1,18.9,18.3,19.6,19.3,19.6,21,22,22.8,23.7,26.1,25.4,27.6,29.3,30.9,27,29.1,30.1,30.4,32.8,33.8,34,35.7,36.2,36.8,39.6,40.1,42,44.2,44.7,45.2,46.2,48.3,50.7,53.2,57.8,58.3,63.3,66.4,68.2,66.7,68.3,68.8,68,67.7,70,69.7,70.8,68.3,74.7,77.6,77.4,77.4,79.7,79.6,78.2,81.6,91.7,91.4,95.9,99.3,102.5,106.5,107.6,108.9,114,117.7,121.2,120.3,129.4,131.3,136,139.3,147.1,152,157.8,165.9,160.5,171.3,176.5,184.8,186.6,186.7,189.1,187,193.1,196.1,197.2,197.2,203.8,210.1,213.2,216.2,218.6,222.4,235.2,239.5,240.2,248,245.2,267.5,261.6,268.8,270.9,269.3,271,277,271.4,280.9,286.8,292.5,296.6,300.3,305.9,315,311.5,315.4,314.2,313.5,300.5,286.4,300.8,305.4,311.2,318.8,313.3,312.5,326.4,341.9
"15","7","Income receipts","B645RC1",1.4,1.6,1.6,1.8,1.9,2,2.1,2,2.1,2,1.9,1.8,1.9,2,2.4,2.4,2.4,2.8,2.9,3,2.8,2.9,2.9,2.9,2.8,3,2.8,2.8,3,2.9,3,3.3,3.4,3.5,3.5,3.6,4,3.9,4.1,3.7,4.3,4.6,4.5,3.8,3.9,3.9,3.8,3.9,4,4.1,4.4,4.7,4.8,4.8,4.9,5.1,5.3,5.1,5.3,5.5,5.4,5.8,5.9,6.6,6.4,6.3,6.5,6.8,7.3,7.2,7.4,7.1,7.9,8.2,7.9,7.5,7.8,7.9,8.1,8.5,8.5,8.3,8.9,9,9.5,10,10.4,10.5,11.1,11.5,12.1,12.4,12.9,13.2,13,12.3,13.3,14.1,14,14.7,15.2,15.7,16.7,17.5,20.3,22.4,25.2,26.2,29.7,30.3,30.5,28.8,26.9,26.5,28.1,30.6,31.4,32.3,32.6,33.3,35.8,37,38.1,37.9,42.5,42.6,46.2,53.7,57.6,64.1,73.4,78.1,83.6,79.6,74.9,78.3,85.7,89.7,95.9,96.7,98.3,107.2,101.5,97,93.8,98.8,105.2,109.7,114.8,123.2,127.3,122.1,112.3,114.2,109.8,113.5,116.6,112.2,109.3,107.5,112.4,121.3,125.8,133.3,145.5,146.5,153.4,163,171.3,179.7,178.6,181,184,184.8,185,202.7,187.3,168.5,162,157.7,155.3,157.7,149.6,148.1,152.6,155.1,158,159.3,166.1,177.3,193.3,209,226.2,236.3,233.2,240.1,241.8,241.1,249.2,262.8,272.8,288.5,294.8,290.7,290.4,293.6,282.4,282.1,294.6,310.4,329.9,348.4,362.9,386,379.7,402.1,355.8,331.8,304.9,283.3,284.4,299,308.3,304.8,296.8,299.5,312.1,NA
"16","8","  Wage and salary receipts","B4188C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.7,1.8,1.8,1.9,1.7,1.8,1.8,1.9,1.9,1.9,2,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.8,2.8,2.7,2.7,2.9,2.9,2.9,3,3.2,3,3.1,3,3.2,3.1,3.1,3.1,3.2,3.3,3.3,NA
"17","9","  Income receipts on assets","W160RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.7,111.3,108.4,106.6,111.4,120.3,124.8,132.3,144.5,145.5,152.4,162,170.4,178.7,177.6,179.9,182.8,183.6,183.8,201.5,186,167.2,160.7,156.4,153.6,156,147.8,146.2,150.9,153.3,156.2,157.3,164.3,175.4,191.3,206.9,224,234.1,231,237.9,239.7,238.9,247,260.7,270.5,286.2,292.5,288.4,288,291.2,279.9,279.6,291.8,307.6,327.2,345.6,360,383.1,376.7,399.1,352.6,328.8,301.8,280.3,281.2,295.9,305.2,301.7,293.6,296.3,308.8,NA
"18","10","    Interest","A2067C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4,61.6,61.1,59.1,58.4,61.3,64.1,69.4,76.5,72.4,81.1,88.2,96,102.9,102,103.7,102.4,102,105.1,118.6,103.6,92.2,89.2,83.4,75.1,72.6,69.5,73.1,64.6,65.8,65.5,66,68.9,76.9,83.6,94,102.7,104.7,105.1,105.6,105.5,104.6,108.3,110.8,115.8,124.7,126.6,135,137.4,138.3,140.2,135,131.1,136.4,143.9,153.7,162.5,179.3,180.5,186.7,167.1,148.7,127.5,105.9,97.2,97,92.2,87.7,78.2,75.5,72.7,NA
"19","11","    Dividends","B3375C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,23.3,31.7,29.6,25.1,28.6,29.9,28.1,46.8,50,34,49.7,45.2,42.3,44.8,59.3,43.2,46.1,43.6,41.8,43.3,40.7,41.1,40.7,47.6,46.1,45.6,39.5,39.1,40.8,39.4,38.6,59.8,51.7,61.2,62.4,58.5,61.4,57,56.8,63.3,69.3,70.6,72.8,75.4,85,85.8,87.3,82.4,78.9,89,83.5,104.2,87.7,97.5,81.3,80.9,86.8,80,97.6,87,81.2,77.4,79.4,77,82.8,91.5,74.5,79.1,83.8,82.7,NA
"20","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,26.4,15.6,17.9,27.9,30.5,30.8,34.9,21.2,23.1,37.4,24.1,29.2,33.4,30.9,17,37.3,35.5,35.2,41.1,39.1,34.3,30.4,32.3,30.9,37.3,32.7,33.7,47.1,46.7,51.3,52.8,35.6,46.8,46.6,50.5,62.8,68,68.9,75.6,70.8,65.1,68.1,77.1,79.3,76.5,80,66.1,68.2,74,50.8,61.1,56.6,83.5,85.8,110.7,116.6,116.9,116.2,114.8,98.5,98.9,97,95,106.9,116.1,121.4,139.5,136.2,137,153.5,NA
"21","13","    Current payments to the rest of the world","W163RC1",10.4,11.2,10.9,11.6,13.9,14.2,16.6,15.9,16,15.9,15.4,14.9,14.6,15.2,17.4,18.4,19.2,19.5,18.7,18.5,17.9,18.3,19.1,19.4,19.3,20,19.6,18.9,17.8,19,18.9,18.9,20.1,20.6,20.8,21.5,22.3,22.5,22.8,22.2,23.6,24,23.2,23.1,22.9,23.5,23.3,24.5,27.2,28.6,28.3,28.5,29,29.9,28.2,27.7,27.4,28.5,28.7,29.9,30.5,31.7,30.6,31.6,31.5,33.4,32.5,33,33.2,35.2,34.5,36,35.2,40.2,38.8,41,42.4,45.4,45.6,46.9,48,48.2,48.1,50,53.2,54.9,58.2,58.8,53.3,64.6,63.8,66,65.8,68.2,69.5,70.6,71.7,76.8,79.4,77.5,88.5,87.2,91.3,95.9,101.6,108.5,109.9,118,129.4,153.8,156.1,160.1,149.1,140.4,142.1,149.8,160.1,168.1,180.1,183.7,197.4,205.9,206.3,212.6,230,239.5,246.7,258.1,268.7,285.1,302.6,331.7,360,344.3,328.5,361.2,386.7,395.1,388.2,393.7,387.8,381.3,392,376.4,369.4,396,428.3,450,483.3,510.2,520.3,530.9,503.7,525.2,523.1,549.1,553.6,565,576.5,589.6,596.8,627.5,648.2,679,687.5,692.1,709.2,744.8,754.1,776.9,767.3,778.9,801,801.2,822,821.9,705.2,742.8,774.8,786.2,793.3,820.4,833.3,852.7,841.6,877.6,880.3,930.4,926.8,985.7,1043.7,1093.8,1107.6,1141.1,1151,1148.9,1173.3,1198.6,1232.4,1266.3,1302.5,1330,1375.1,1401.3,1400.2,1424.3,1429.9,1467.5,1475.5,1545.2,1630.5,1692.6,1780.8,1858.9,1925.6,1937,1859.3,1779.5,1709.2,1582,1670.7,1779.5,1807.6,1822.5,1847.1,1859.9,1879,NA
"22","14","Imports of goods and services","B021RC1",7.5,8.2,7.7,8.3,9.6,10,10.5,10.1,9.6,9.4,8.9,9.1,9.5,10.2,13,13.7,14.9,15.2,14.3,14,15,14.6,15.3,16.3,15.8,16.4,16.3,15.5,14.8,16.2,15.3,15.5,16.2,17.1,17.4,18.1,18.9,19,19.3,18.5,20.1,20.3,19.8,19.6,19.5,20.1,19.7,20.8,21.4,22.5,22.9,22.5,23.3,23.5,22.9,21.7,21.7,21.9,23.3,23.9,24.3,24.9,25.1,25.6,25.2,25.9,26.7,26.8,27,27.7,28.4,29.3,28.5,31.7,32,33.9,35,36.2,38.2,38.8,39.4,39,39.5,41.7,44.4,45.4,48.2,48.2,43.8,52.7,52.4,53.1,53.5,55.2,56.4,57.9,58.7,63.3,65.5,61.9,72.2,71.4,74.1,79.2,85.4,89.5,91.1,98.7,110.3,129.4,133.6,136.6,124.9,115.2,122.1,128.7,138.9,147.1,155.8,162.7,176.4,183,182.9,187.4,203.3,208.8,215.1,221.8,229.8,243.1,257.3,280.5,304.3,292.6,279.2,299.2,319.7,322,309.9,319.4,309.5,299.1,309.3,294.9,295.3,318,343.4,358,388,406.5,409.6,416.4,397.3,418.6,414.2,438.9,439.8,444.4,459.8,469,478.1,502.7,517.7,537.9,543.2,546.6,553.3,574.8,582.3,597.3,587.7,598.7,621.1,617.2,634.3,648.7,616.1,616.6,625.3,639.2,641.6,661.7,681.4,689.6,695.1,719.6,722.5,746.3,758.8,801,836.9,861.2,883.4,912,909.1,909.8,932.4,956.6,977.5,992.7,1022.7,1043.8,1075.2,1085.9,1094.4,1112,1112.5,1144.6,1167.6,1224.9,1285.7,1328.8,1401.5,1458.7,1523.1,1519.7,1484.4,1429.3,1370.4,1322.5,1344.1,1433.6,1461.3,1493.3,1508.5,1525.7,1539,1602.2
"23","15","  Goods \1\","A255RC1",5.6,6.3,5.8,6.2,7.3,7.6,7.7,7.5,7.2,6.9,6.6,6.9,7.2,7.8,10.5,10.9,11.8,12,10.8,10.1,10.7,10.6,10.8,11.3,11,11.5,11.2,10.2,10,11,10.2,10.2,11.1,11.2,11.3,12.5,13,12.7,12.6,12.9,13.2,13.4,13.1,13.5,12.6,12.7,12.8,13.8,14.5,15.5,15.8,15.4,15.7,15.9,15.1,14.2,14.1,14.3,15.8,16.1,16.4,16.9,17.1,17,16.9,17.6,18.2,18.2,18.3,19.1,19.7,20.4,19.6,22.4,22.8,24.2,24.9,25.6,27.2,27.7,27.7,26.8,27,29.5,32.1,33.2,35.4,35.1,30.8,39.1,38.5,38.8,39.3,40.1,41.2,42.8,43.4,47.4,49.6,45.7,55.1,54.1,57.3,61.3,66.5,70,72.1,78.8,88.8,106.4,110.6,112.3,100.9,92.3,98.8,104,113.5,121.3,128.9,134.7,147.6,153.2,153.2,156.6,170.3,175.1,179.4,184.8,192.2,204.1,216.8,238.1,259.7,248.5,234.1,252,270.2,271.8,260.5,268.8,257.6,245.8,257.2,241.5,242.5,262.8,285.9,299.6,322.5,337.9,339.9,345,325.4,344.4,340.5,362.8,357.7,365.1,374.8,382.5,389.5,409.1,422.8,437.7,441.5,445.7,451.1,470.2,477.6,492.2,480.3,489,504.1,497.6,509.9,520.7,492,493,503.4,514.6,518.6,539.9,556.5,564.6,570.8,592.6,594.5,613.2,623.2,664.4,697.8,721.9,740.9,766.9,761.9,760,779.3,801.4,817.4,831.7,855.5,874.9,901.1,909.9,915.4,927.5,922.8,950,970.1,1021.1,1075.3,1115.3,1177,1229.6,1284.9,1282.3,1247.8,1187.4,1139.5,1097.4,1108.5,1194.9,1217.1,1240.8,1254.2,1272.4,1275.6,1330.7
"24","16","    Durable","A333RC1",1.7,1.9,1.8,1.9,2.3,2.4,2.4,2.4,2.2,2.1,2,2.1,2.3,2.5,3.5,3.7,4,4.1,3.7,3.4,3.8,4,4.2,4.5,4.4,4.4,4.1,3.5,3.4,3.7,3.8,3.6,4.1,4.3,4.5,4.9,5.1,5.1,4.9,5.5,5.2,5.4,5.2,5.3,4.9,4.7,5,5.4,5.9,6.7,6.9,7,7.1,6.6,6.2,5.5,5.4,5.6,6.4,6.7,6.9,7,7,6.9,7,7.3,7.7,7.6,7.8,8.2,8.7,8.9,9,10.4,10.6,11.6,12,12.6,13.9,14.6,14.3,14,14.3,15.7,17.9,18.4,19.3,19.7,17.3,22.2,21.8,21.8,21.7,22.4,23.1,23.9,25,27.2,27.4,26.7,32,31.9,33.1,36.1,38.9,40.4,41.2,42.7,44.5,49.9,53.6,53.3,47.7,43.1,44.8,46.9,52.3,55.6,58.9,60.4,62.9,68.1,70.6,75.2,82.6,88.5,90.8,94.1,95.6,99.8,99.7,106.7,114.4,109.7,107.4,116.2,119.2,126.3,125.5,133.2,130,129.2,125.4,116,132.8,139.3,149.6,167.5,181.6,192.1,196.8,199.3,195.7,202.1,204.6,214.3,221.5,239.1,245.3,249.3,250.3,261.6,264.8,280.1,284.3,289.5,293.8,311.5,312.5,315,304.8,309.2,309.3,315.7,317,316.8,310.1,308.5,318.4,325.9,334.8,342.5,351.1,359,370.6,380.4,387.5,407.7,419.7,445.1,462.3,489.9,501.3,514.9,512.5,515.2,525.3,529.9,539.3,540,563.5,582.4,600,607.1,624.2,632.5,629.7,659.6,675.7,702,728.6,752.3,787.7,815.8,842.2,836.9,804.9,758.6,733.7,721.9,737.6,774.5,781.6,788,770.9,789.7,788.9,846.5
"25","17","    Nondurable","A340RC1",4,4.4,4,4.2,5,5.2,5.3,5.2,5,4.7,4.6,4.7,4.9,5.3,7,7.2,7.8,7.9,7.1,6.6,6.9,6.6,6.6,6.8,6.6,7.1,7.1,6.7,6.6,7.4,6.5,6.5,7,6.9,6.8,7.6,7.9,7.6,7.7,7.4,8,8,7.9,8.2,7.7,8,7.8,8.4,8.6,8.8,8.9,8.5,8.6,9.3,8.9,8.7,8.6,8.6,9.3,9.5,9.6,9.9,10.1,10.1,9.9,10.3,10.5,10.6,10.5,10.8,11,11.6,10.5,12,12.2,12.6,12.8,13,13.3,13.1,13.4,12.8,12.7,13.9,14.2,14.7,16.1,15.4,13.5,16.9,16.7,17.1,17.7,17.7,18.1,18.9,18.3,20.2,22.2,19,23.1,22.2,24.2,25.2,27.5,29.6,30.9,36.1,44.4,56.5,57,58.9,53.2,49.2,53.9,57.2,61.2,65.7,70,74.3,84.7,85.1,82.6,81.4,87.7,86.6,88.6,90.6,96.6,104.3,117.1,131.4,145.2,138.8,126.7,135.8,151,145.5,135,135.6,127.7,116.7,131.8,125.5,109.7,123.4,136.2,132.1,140.9,145.9,143,145.7,129.7,142.3,136,148.6,136.2,126,129.4,133.2,139.2,147.5,158,157.6,157.2,156.1,157.3,158.7,165.1,177.1,175.5,179.8,194.9,181.9,192.9,203.8,181.9,184.5,185,188.8,183.8,197.4,205.4,205.6,200.2,212.1,207,205.5,203.5,219.3,235.4,232.1,239.6,252,249.4,244.9,254,271.5,278.1,291.7,292,292.4,301.1,302.7,291.3,295,293.2,290.5,294.4,319.1,346.7,363,389.3,413.8,442.6,445.4,442.9,428.8,405.8,375.5,370.9,420.4,435.5,452.8,483.3,482.7,486.7,484.2
