"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","35","              Nondefense","B898RC1",0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.6,0.6,0.5,0.4,0.5,0.3,0.2,0,0,-0.2,0.1,0.4,0.8,0.9,0.8,0.8,0.7,0.6,0.3,0.5,0.7,1,1,1.2,1.4,1.6,1.7,1.9,2.1,2.1,1.4,1.3,1,1,1.3,1.5,1.8,1.9,2.3,2.7,3,3.9,3.8,4.3,4.5,3.3,3.1,3.3,3.5,4,4.9,2.5,2.4,3.3,4.3,5.3,6,4.8,5.1,5.2,3,3.6,3.2,0.4,0,1.7,1.8,0,-1.6,-0.6,0.4,0.5
"43","36","            State and local","B899RC1",1.8,2.1,1.9,1.1,0.6,0.9,0.8,2,1.6,1.9,2.3,1.7,1.1,0.2,-0.5,-0.6,-0.5,0.1,0.9,1.8,3.1,3.6,4.2,4.4,4.9,6.1,6.8,7.5,8.3,9.2,9.3,9.1,10,10.5,11.6,12.6,14,15.5,17.1,18.6,18.2,17.4,17.5,16.8,17.6,20.4,22,21.4,19.3,23.8,27.7,30.3,27.1,23.5,22.8,28.5,34.4,39.1,41.6,45.6,47.8,55.3,58.3,58.1,56.1,57.7,62.9,69.6,79.1,80,92.2,103.5,115.3,124.4,126.2,127.2,126.3,134.4,148.6,151.5
"44","37","  Equipment and software","A871RC1",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.4,96.2,97.9,99.8,96.8,102.7,111.6,114.7,116.2,121.8,126.4,135.9,145.5,157.6,162.8,180.8
"45","38","  Less: Consumption of fixed capital","A900RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,1.9,4.3,6.9,8.1,8.5,7.9,6.6,5.7,5,5.1,5.8,6.6,7.2,7.6,8.2,8.6,8.7,9.1,9.5,9.8,10.4,11,11.3,11.7,12.1,13,13.8,14.5,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.2,45.7,49.9,54.5,59,64,69.7,76,82.1,86,90.5,94,96.7,97.7,98.3,99.5,103.3,108,110,111.6,114.2,119.5,125,131.6,138.4,147.4
"46","39","  Equals: Net equipment and software","A901RC1",0,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,3.8,14.6,27.8,26.5,13.5,-6.7,-6.3,-4.2,-2.3,-2.2,2.9,5.4,5.8,3.2,1.3,1.3,0.9,1.3,3.4,2.2,3.5,4.2,2.7,2.3,1.1,2.6,3.6,1.3,-0.2,-0.8,-5,-4.5,-3.2,-0.8,0.1,1.2,1.1,1.3,4.5,5.6,7.1,9.8,15.9,21.2,27.8,29.8,29.8,23.1,26,27.2,21.2,17.3,7.9,2.2,1.2,2.2,-1.4,3.2,8.3,6.7,6.2,10.2,12.3,16.4,20.5,26,24.3,33.4
"47","40","            Federal","A902RC1",-0.1,-0.1,0,-0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,3.8,14.6,27.9,26.5,13.6,-6.7,-6.4,-4.4,-2.5,-2.4,2.8,5.2,5.6,2.9,1.1,1.1,0.5,1,3,1.8,3.1,3.8,2.2,1.6,0.4,1.8,2.8,0.6,-1,-1.6,-5.7,-5.5,-4.5,-2.4,-1.3,0,0.2,0.1,2.8,3.7,5.6,7.9,13.1,17.1,22.4,24,24.3,17.2,17.6,18.3,14.4,10.9,2.1,-5,-6.8,-4.7,-9.7,-7.1,-3.1,-4.3,-2.9,3.1,6.1,11.6,15.4,18.7,17.2,28
"48","41","              National defense","B905RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0.1,3.3,14.3,27.7,26.5,13.4,-6.8,-6.5,-4.4,-2.5,-2.4,2.7,5.1,5.6,3,1.2,1.1,0.6,1.1,3.2,1.8,2.9,3.5,1.5,0.6,-0.8,0.6,1.9,0,-1.4,-1.8,-5.9,-5.7,-4.5,-2.6,-1.5,-0.3,-0.2,-0.7,2.1,2.5,4.6,6.9,10.7,14.5,19.6,21.9,22,14.4,14,14.4,10.5,6.4,-1.7,-6,-8.5,-7.6,-12.7,-11.1,-8.3,-7.7,-5.4,0.3,3.6,8,9.3,11.8,12.1,21.1
"49","42","              Nondefense","B906RC1",0,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.6,0.3,0.2,0,0.2,0.1,0.2,0,0,0.1,0.1,0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.2,0.4,0.7,1,1.2,1.2,0.9,0.5,0.4,0.3,0.2,0.2,0,0.2,0.2,0.2,0.4,0.8,0.8,1.2,0.9,1,2.4,2.6,2.8,2.1,2.3,2.8,3.6,3.8,3.9,4.5,3.8,1,1.8,2.9,3,3.9,5.2,3.4,2.4,2.8,2.5,3.6,6.1,6.9,5.1,6.8
"50","43","            State and local","B907RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,-0.1,-0.1,-0.1,-0.1,0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,1,1.3,1.6,1.4,1.2,0.9,1.2,1.6,1.9,1.6,1.8,2.8,4.1,5.4,5.8,5.5,5.9,8.4,8.9,6.8,6.4,5.8,7.2,7.9,6.9,8.3,10.3,11.4,11,9.2,7.1,6.1,4.8,5.1,7.3,7.2,5.5
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RC1",17.8,14.2,10,5.8,5.1,6.9,8.3,11.6,13.3,11.8,13.6,15.6,24.6,37.1,45.9,45.4,36.4,28.6,40.1,49.5,49.3,58.1,67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.5,157.5,161.7,175.8,190.5,194,211.7,241.1,275.5,291.7,299.6,341.2,406.5,489.2,563.4,585.8,649.5,644.5,692.9,809.6,873.2,913.2,942.1,989.2,1044.9,1062.2,1023.6,1071.6,1152,1254.4,1345.5,1453.7,1570,1709.9,1868.1,2022,2022.2,1978.4,2069.1,2276,2514.3,2692.3,2730.7,2667.1
"53","45","  Less: Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"54","46","  Equals: Net domestic fixed investment","W173RC1",8.1,4.7,1.2,-1.9,-2.3,-0.8,0.5,3.5,4.3,2.6,4.4,5.9,13.5,23.4,29.4,25.8,15.3,5.5,13.5,21,20.1,28.2,34.1,36.5,39.8,37.7,42.2,43.9,43.2,38.1,48.5,47.3,48.3,54.8,58.4,65.5,73.8,81,78.8,85.3,91.3,85.6,93.9,114,134.7,128,109.2,133.1,174.7,227.8,264.5,241.8,256.1,210.9,241.8,335.2,367.7,374.7,371,378.2,393.5,371,299.2,327.2,373.9,435.3,476,541.1,606.2,689.4,773.7,837.7,766,673.4,715.1,843.2,972.9,1031.6,970.7,820.1
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
