"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"24","16","    Rental income of persons with capital consumption adjustment","A048RC1",6.9,7.1,7.3,7.5,7.6,7.8,7.9,7.9,7.8,7.9,8.2,8.4,8.7,9,9.1,9.4,9.6,9.9,10.2,10.5,10.7,11,11.3,11.6,11.9,12.2,12.5,12.8,13.1,13.3,13.5,13.6,13.7,13.7,13.8,13.9,14,14,14.1,14.2,14.3,14.4,14.5,14.7,15,15.2,15.3,15.4,15.4,15.9,16.3,16.5,16.7,16.9,17,17.2,17.4,17.6,17.8,18.1,18.3,18.5,18.7,18.9,19.1,19.3,19.5,19.4,19.4,19.4,19.5,19.4,19.7,19.9,20.1,20.1,20.5,20.4,20.6,20.6,20.8,20.9,21,20.9,20.6,20.6,20.7,20.6,20.8,20.9,21,20.9,20.9,20.6,21.2,21.5,21.5,22,22.4,22.8,23.5,20.5,24.3,24.3,24.2,24.1,23.1,24.1,24.4,23.8,24.1,23.9,23.7,23.5,23.3,22.9,22.6,21.7,21.9,22,20.9,19.9,19,18.7,20.4,19.8,21.4,21.9,23.4,21.1,21.2,24.8,28.6,24.1,25,36.3,36.2,35.1,35.7,38.8,39.5,36.2,38,38.5,37.6,37.8,38.2,39.1,38.1,36.7,40.4,44.8,42.9,41.7,42.2,40.5,36.8,35.6,32.5,30.4,31.6,30.5,35.3,39.4,38.4,36.9,38.8,46.8,44.2,43.5,41.1,40.8,43.3,48.2,53.3,54.4,56.1,58.1,62.7,69.4,71.6,81.3,89.3,96.3,105.5,113.5,115.4,122,133.1,141.6,148.5,148.4,151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,121.1,140.3,150.2,168,179.9,202.8,222.2,236.7,245.9,262,277.9,287.4
"25","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",19.8,23,22.9,24.4,28.2,29.9,29.4,31,29.5,27.2,28.4,25.2,28.6,32.3,36.7,39.8,38.7,38.5,38.9,40.1,37.6,35.5,35.2,39.5,40.1,39.3,38.4,31.4,33.6,34.9,36.8,40.1,45.3,46.5,46.9,47.9,45.6,45.4,44.5,45.2,46.7,45.3,44.8,41.5,35.8,36.6,40.8,46.5,50.1,55.1,49.6,49.7,54,50,49.2,46.7,45.5,50,52.1,55.9,58.3,57.3,58.5,60.1,60.6,64.2,65.5,66.8,70.7,70.7,71.8,71,78.5,80.5,82,86.2,89.6,88.3,86.5,87.6,84.9,84,84.7,88,88.7,92.2,92.2,93.3,93.1,89.9,86.9,81.6,73.4,77,77.3,73.9,85.3,86.6,89,92,97.4,98.8,102.2,109.2,113.5,108.8,106.8,109.3,99.6,99.2,97.1,94.8,97.9,111.2,130.4,135.2,148.8,143.8,144.5,143.2,151.1,172.3,186.4,181.1,170,200.5,202.6,209,198.3,195.3,187.2,182.2,176.3,149.5,157.7,180.3,190.8,189.7,207.9,186,165.6,178,179,169.9,192.3,221.8,238.3,246.7,276.9,286.8,278.8,285.7,290,287.4,310.2,290,282.5,276.6,268.2,271.3,282,314.7,342,340.7,352.4,363.6,371.2,391.3,367.4,359.9,362,344.4,353.9,377.2,356,346.3,378.2,381.1,383.2,380.7,412.5,423.1,409.3,447.7,426.5,460.7,463.3,516.5,515.4,532.7,563.9,589,586.1,605.5,650.7,650.7,682.6,698,703.4,714.2,752.3,765.8,802.5,788.5,709.1,705.5,724,700,745.8,742.8,729.8,720.6,709.4,693.2,670.2,621.6,622.7,641.3,618.4,575.5,671.6,706,713.2,766.4,768.3,791.1,829.6,859.1,974,1029.6,1077,1087,1174,1195.7,1201.7,1295.2,1344,1342.4,1404.1,1315.4,1253.2,1283.7,1166.6,1072.3,1047.4,1036.7,1057.4,791.3,867,925.3,1035.7,NA
"26","18","      Taxes on corporate income","A054RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.5,25.7,23.1,22.6,25.1,23.1,22,20.9,20.7,22.1,23.4,25.4,23.9,23.7,24.4,24.5,24.6,26.3,27,27.7,27.9,28,28.6,28.2,29.6,30.5,31.1,33.1,34.2,34.2,33.9,33.3,32.5,32.2,32.5,34.4,38.7,39.5,39.7,40.6,41.5,40.4,39.1,38.9,34.5,34.7,35.7,34.2,37.8,38.6,37.9,38.4,40.4,40.7,42,46.4,49.7,50.2,48.6,51.4,49.7,52.2,57.3,51.9,43.8,46.8,57.2,58.8,66.6,65.2,64.9,64.5,68.8,74.4,76.7,77.8,72.5,86.6,87.4,92.9,90.1,90.9,90.6,88.4,97,77.2,83.2,91.4,91.1,82.6,86.2,77.4,65.7,68.4,68.6,63.2,64.2,79.2,88.3,90.9,103.9,102.9,91.1,92.3,98.7,97,102.3,99.7,106.6,106.3,107.3,118.5,118.7,132.8,137.9,132.4,129.3,136.6,146.7,153.9,158.4,145,140.4,140.5,139.3,144.9,149.8,147.7,141.6,136.8,137.4,138.5,148.2,149.8,144,152.8,158.1,170.1,162.1,193.8,174.5,183.6,201.1,213.3,217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.1,496.6,460.7,469.5,466.5,440,430.1,323.2,317.5,304.8,223.3,270.3,305.9,321,NA
"27","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",8.3,12,12.1,12.6,16.1,17.1,16.8,18.8,18.5,17.4,18.3,15.3,15,16,16.7,18,12.4,16.2,18.8,18.5,17.8,16.9,16.6,18.9,18.5,17.6,17.2,14.9,17.2,18,18.9,20.9,23.9,24.9,24.8,24.8,23.6,22.9,23.3,22.9,23.8,23.4,23.4,21.9,18.9,19.4,21.4,24.2,26.6,29.3,26.4,27.2,28.9,26.9,27.2,25.8,24.9,27.9,28.7,30.5,34.4,33.7,34.2,35.7,36,37.9,38.5,39.1,42.8,42.8,43.2,42.8,49,50,51,53.1,55.4,54.1,52.7,54.4,52.4,51.8,52.2,53.6,50,52.7,52.6,52.7,51.7,49.5,47.7,42.7,38.9,42.4,41.6,39.7,47.4,48,51.1,53.7,57,58.1,60.2,62.8,63.8,58.6,58.2,58,49.8,47,39.7,42.9,54.1,64.4,73.2,76.4,82.2,78.6,79.6,78.7,82.3,97.9,109.7,103.3,97.6,113.9,115.2,116.1,108.2,104.3,96.6,93.7,79.2,72.3,74.6,89,99.7,107,121.7,108.5,99.9,109.5,110.4,106.7,128.1,142.6,150.1,155.8,173,183.9,187.7,193.5,191.4,190.5,208,190.3,176,170.3,160.9,152.8,163.3,181.9,204,208.3,223.1,227,224.5,237.4,209.1,214.9,221.6,204,214.6,232.4,206.2,198.7,236.6,244.4,245.8,242.1,264.3,273.3,265.2,294.9,268.4,290.6,301.2,322.7,340.9,349.1,362.8,375.7,368.5,390.7,429,433.4,461,464.6,469.7,477,514.1,522.8,547.4,543.1,460.6,460,471.8,452.8,489.6,488.7,470.7,454.9,435.1,420.1,415.5,363.3,398.2,424.6,423.4,398.4,492.3,520.1,519.5,556,536.8,564.1,582.3,589.8,696.4,731.4,756.6,758.9,768.9,800.1,798.7,849.4,883.3,867.4,907.5,854.7,783.7,817.2,726.6,642.2,724.2,719.2,752.6,568,596.6,619.4,714.7,NA
"28","20","        Net dividends","A449RC1",5.4,5.6,5.9,5.7,6.2,5.8,6.3,6.5,6.4,6.3,6.3,6.7,7.4,7.6,8,8.5,7.4,7.5,7.4,7.4,7,7.6,7.5,7.7,7.3,8,7.9,7.8,8.1,7.5,7.9,7.9,8.5,8.7,9.2,9.2,9.3,9.4,9.3,9.8,9.8,9.8,9.9,9.9,9.9,9.9,9.9,9.6,10.3,10.7,10.9,10.9,11.3,11.3,11.7,11.4,11.2,11.4,11.5,12,12.2,12.4,12.6,12.2,13,13.6,13.7,13.9,14.2,14.9,15.2,15.7,15.7,16.3,17.3,18.2,18.5,18,17.7,17.1,18.2,19,18.6,17.5,19.7,19.7,20.5,20.8,20.2,20.4,20.2,20.7,20.1,20.5,20.2,20.7,21.2,19.7,21.3,19.1,22.2,22.1,22,21.5,22,23,23.9,23.6,22.3,25.2,24,22.3,26.7,26,25.9,27,26,30.1,31.4,32.7,31.8,32.5,34.1,36.5,37.3,36.5,41.4,43.3,42.3,42.3,39.6,41.7,40.9,54.4,45.4,48.6,53.5,57.1,60.6,62,66.2,53.8,59.4,65.8,71,68.6,71.5,74.2,78,78.5,79.5,78.1,81.2,90.5,84.1,87,85.7,92.1,85.9,89.4,93.9,92.4,93.8,102.4,85.8,93.4,112.1,100.8,126.2,126.4,130.8,122.2,145.7,141.2,143.2,146.3,150,157.6,156.9,161,153,157.7,159.1,170.2,176.8,177.5,181.8,193.3,189.8,200.3,195.8,204.4,209.6,211.2,229.9,235.8,243.6,249.6,263.4,272.7,273.4,275.7,285,301.9,304.8,313.2,307.3,311.5,297.3,298,279.1,308.4,334.9,355.4,366.6,336.9,326.3,309.9,341.6,342.4,346,356.6,338.3,363.8,333.5,423.6,394.5,419.4,451.3,447.4,456.2,597.3,434.5,373.6,232.7,144.9,542.3,565.7,648.6,750.9,665.2,664.4,636.6,600.3,548.5,529.9,514.7,580,515.3,455.5,397,NA
"29","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",2.9,6.4,6.2,6.9,9.8,11.3,10.5,12.3,12.1,11.1,12.1,8.6,7.6,8.5,8.7,9.5,5.1,8.7,11.4,11.2,10.8,9.3,9.1,11.2,11.2,9.6,9.2,7.1,9.1,10.5,10.9,13,15.4,16.2,15.6,15.6,14.3,13.5,14,13,14,13.6,13.5,12,9,9.4,11.5,14.6,16.3,18.6,15.6,16.2,17.6,15.6,15.5,14.4,13.7,16.5,17.2,18.5,22.2,21.3,21.5,23.5,23,24.4,24.7,25.2,28.6,27.9,28,27.1,33.3,33.7,33.7,34.9,36.9,36.1,34.9,37.3,34.2,32.8,33.6,36.1,30.3,33.1,32,31.9,31.4,29.1,27.5,22,18.8,21.9,21.4,19,26.2,28.3,29.8,34.6,34.8,36,38.3,41.4,41.8,35.6,34.3,34.4,27.5,21.9,15.7,20.6,27.4,38.4,47.4,49.4,56.2,48.5,48.2,46,50.6,65.4,75.6,66.8,60.3,77.5,73.8,72.8,65.9,62,57.1,52,38.3,17.9,29.2,40.4,46.2,49.9,61.1,46.5,33.7,55.8,50.9,40.9,57.1,74,78.6,81.5,95,105.4,108.2,115.3,110.2,100,123.8,103.3,90.2,78.2,74.9,63.3,69.4,89.5,110.3,105.9,137.3,133.6,112.4,136.6,82.9,88.5,90.8,81.8,68.8,91.2,63,52.4,86.6,86.8,88.9,81.2,111.3,115.7,106.1,124.7,91.6,113.1,119.5,129.4,151.1,148.8,167,171.4,158.9,179.4,199.2,197.6,217.3,215,206.3,204.3,240.7,247.2,262.4,241.1,155.8,146.9,164.5,141.3,192.3,190.8,191.6,146.5,100.2,64.7,48.9,26.4,71.9,114.7,81.8,56,146.3,163.5,181.1,192.2,203.3,140.6,187.8,170.3,245.2,284,300.4,161.6,334.4,426.4,565.9,704.5,341,301.6,258.8,103.8,118.5,152.8,90,41.9,175.7,189.4,237.9,-11.9,81.3,163.8,317.7,NA
"30","22","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1,1,1.2,0.5,-0.3,-0.1,-0.2,-0.6,0,-0.3,-0.2,0,0.4,0.5,1,0.1,-0.3,-0.5,-0.8,-0.7,-0.2,-1.1,-1.8,-2.8,-3,-3.6,-3.6,-1.7,-1.8,-1.8,-2,-2.3,-2.5,-3,-3,-3,-2.5,-1.6,-1.8,-2.1,-2.6,-3.2,-3.7,-4.1,-4.6,-5.5,-6.2,-6.5,-4.9,-6.6,-4.3,-4.2,-4.2,-5.2,-4.3,-3.7,-3.2,-3.5,-2.3,-2.1,-1.9,-2.1,-1.6,-0.7,0.9,1,1,1,1,0.8,0.7,0.5,0.2,-0.1,0,-0.7,3.3,3.6,4.1,4.5,5,5.1,5.1,3,1.5,1.1,0.7,3.3,5.9,6.2,7.3,7.6,8.2,8.9,8.1,7.6,9.4,8.8,9,9.7,9.8,9.6,9.4,13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-8.4,-6.9,-4.9,-6,-5.6,-6.3,-6.9,-8.9,-10.7,-8.8,-6.3,-6.5
"31","23","Consumption of fixed capital","A262RC1",25.6,26.3,27.1,27.6,27.9,28.3,28.7,28.9,29.2,29.2,29.1,29.2,29.1,29.4,30.1,31.2,32.5,33.5,34.3,34.9,35.4,35.9,36.6,37.2,37.9,38.5,38.9,39.3,39.8,40.4,40.8,41.4,41.7,42.2,43.1,44.2,45.5,46.6,47.7,48.6,49.6,50.5,51.3,51.9,52.3,52.9,53.6,54.2,54.8,55.3,55.6,55.9,56.2,56.4,56.7,57.1,57.5,57.9,58.4,58.9,59.6,60.1,60.9,61.7,62.3,63,63.7,64.4,65.1,65.9,66.8,67.7,68.8,70.1,71.3,72.7,74.1,75.7,77.2,78.8,80.4,82,83.8,85.6,87.5,89.4,91.3,93.5,95.6,98,100.3,102.9,105.6,107.8,109.4,110.5,113.8,116.7,119.2,121.3,123.5,125.6,128.2,131.3,134.6,138.4,142.7,147.4,153.1,159.7,167.2,174.7,182.1,188.1,193.4,197.9,201.4,205.5,210.2,215.6,222.1,228.4,234.8,241.8,249.2,257,265.4,274,283.3,293.4,304,314.8,326,337.9,349.9,362.5,375.3,387.7,399.5,410.9,422.1,431.3,438.2,442.6,445.1,448.4,453,457.9,464,470.6,477.5,485.2,493.3,501.1,509.5,517.9,525.9,534.5,542.7,550.7,558.4,566.2,575.1,584.6,595.5,605.9,616.2,626.5,636.4,646.4,656.5,666.6,676.8,686.6,696.1,705.3,713.8,721.3,728.3,734.1,738.7,743.2,746.3,749.2,762,773.3,783.6,793.2,802.2,812.7,824.3,837.5,851.4,864.1,875.7,886.7,896.2,906.3,917.7,929.9,943.5,957.1,970.3,984.3,997.3,1011.9,1027.9,1045,1063.2,1083.2,1104.2,1127.1,1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1726.7,1749.4,1771.2,1792.8,1813.6,1835.6,1858.2,1881,1883.6,1864,1850.7,1855.8
"32","24","  Private","A024RC1",14.6,15.7,16.6,17.4,18,18.6,19.1,19.6,20,20.4,20.7,21,21.2,21.6,22.2,23.1,24.1,24.9,25.6,26,26.3,26.6,26.9,27.3,27.7,28,28.4,28.7,29,29.3,29.6,29.9,30.2,30.7,31.3,32.1,33,34,34.8,35.6,36.3,37,37.6,38.2,38.7,39.2,39.6,40.1,40.5,40.9,41.1,41.3,41.4,41.5,41.6,41.9,42.2,42.5,42.8,43.1,43.5,43.9,44.3,44.7,45.1,45.6,46.1,46.7,47.2,47.9,48.6,49.4,50.3,51.3,52.3,53.5,54.7,55.9,57.1,58.3,59.6,60.9,62.2,63.6,65.1,66.6,68.2,69.8,71.6,73.4,75.4,77.5,79.8,81.4,82.5,83.1,86,88.5,90.8,92.8,94.5,96.4,98.7,101.3,104.1,107.4,111.1,115.2,119.8,124.8,130.4,136.4,143,148.6,153.3,157,159.7,163.2,167.3,172,177.5,183.1,189,195,201.3,208.1,215.3,223.1,231.3,239.9,248.7,257.9,267.4,277.1,287.2,297.5,308.1,318.4,328.4,338,347.3,354.7,360.1,363.6,365.2,367.6,370.7,374.6,379.3,384.4,390,396.2,402.8,409.4,416.1,422.8,429.6,436.1,442.3,448.3,454,460.5,467.7,475.7,484.4,493,501.4,509.6,517.6,525.6,533.6,541.6,549.5,557,564.2,571,577.4,583.2,588.3,592.8,596.6,599.4,601.3,602.3,612.7,622.3,631.2,639.4,646.8,655.4,665.3,676.3,688.6,699.9,710.3,719.8,728.3,737.8,748.1,759.3,771.4,783.5,795.8,808.1,820.6,834,848.3,863.5,879.6,897.1,916,936.2,957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1443.1,1461.4,1478.7,1495.1,1510.6,1527,1544.4,1562.6,1561.3,1540.5,1525.5,1525.7
"33","25","  Government","A264RC1",11,10.6,10.5,10.3,9.9,9.6,9.6,9.3,9.2,8.8,8.4,8.2,7.9,7.8,7.8,8.1,8.4,8.5,8.7,8.9,9.1,9.4,9.7,10,10.2,10.4,10.5,10.6,10.8,11.1,11.2,11.5,11.5,11.5,11.8,12.1,12.4,12.7,12.9,13.1,13.3,13.5,13.7,13.8,13.6,13.7,14,14.1,14.3,14.4,14.5,14.7,14.8,14.9,15.1,15.2,15.3,15.5,15.6,15.8,16.1,16.3,16.6,17,17.2,17.4,17.5,17.7,17.9,18,18.1,18.3,18.5,18.8,19,19.2,19.4,19.8,20.1,20.5,20.8,21.1,21.6,22,22.5,22.8,23.1,23.6,24.1,24.5,24.9,25.3,25.8,26.4,26.9,27.4,27.9,28.2,28.4,28.6,29,29.2,29.5,30,30.5,31,31.6,32.2,33.3,34.9,36.9,38.3,39.1,39.5,40.2,40.9,41.7,42.3,42.9,43.6,44.6,45.3,45.8,46.8,47.9,49,50.1,50.9,52,53.5,55.3,56.9,58.6,60.8,62.8,65,67.2,69.2,71.1,72.9,74.7,76.6,78.1,79,79.9,80.8,82.3,83.3,84.8,86.2,87.5,89.1,90.5,91.7,93.4,95.1,96.3,98.5,100.4,102.4,104.4,105.7,107.4,108.9,111,112.9,114.8,116.9,118.8,120.7,122.9,125,127.4,129.5,132,134.3,136.4,138.1,139.9,141.3,142.1,143.8,145,146.9,149.3,151,152.4,153.8,155.4,157.3,159,161.1,162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,283.7,288,292.5,297.6,303,308.5,313.8,318.4,322.3,323.5,325.2,330
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Statistical discrepancy","A030RC1",0.8,2.6,2.4,3.3,0.7,-1.3,-0.4,-1.1,0.6,1.2,2.3,3.2,3.7,1.3,0.6,-0.1,2.5,3.9,5,2.9,3.5,2.2,2.1,3.2,3.4,3.5,3.3,5.6,2.9,2.7,3.7,3.1,4,1.7,2.4,1.4,-1,-1.8,-1.9,-2.5,-0.5,-1.4,0.9,0.6,-1.7,0.4,2.8,2.4,0.6,-1.5,2.3,0.6,0.3,-1.1,0.4,-3.4,-1.2,-0.4,0.3,-1,1,1.5,1.5,-2.8,-1.1,-2.8,0.9,-0.3,3.1,1.7,1.2,-2.9,-1.5,-1,3.3,5.2,7.5,5.5,5.8,5.9,9,4.9,3,1.1,5.8,7.7,2.7,1.1,6.6,3.3,2.4,-0.8,5.1,7.5,7.8,7.1,15,13.6,13.2,2.2,7,19.5,11.1,-1.8,7.6,16.1,5.4,3.1,2.9,12.8,4.5,19.1,19.1,17.3,11.7,17.1,21.4,24,20.4,28.1,32.8,23.4,20.7,8,4.6,23.8,31.7,44.1,28.3,45.7,61.7,52.2,62,58.2,39.5,21.4,58.4,35.9,26,26,-3,-0.6,2.1,20.6,23.2,44.1,65.1,66.4,41.2,36.3,30.3,18.3,24,34.1,52,59.3,56.1,63.3,80.3,71.3,59.7,38.4,9.6,23.8,-7,0.2,-15,-16.3,4.1,58.4,78.4,83.6,97.1,82.3,89.4,68.1,52.7,77.6,92,96.7,71.4,90.3,136.8,141.5,153,124.6,141.8,123.8,114.3,126.7,99.3,95,76.3,57.6,34.7,41.5,23.3,36.7,29.2,14.5,-9.2,17.1,-13.7,-50.1,-60.8,-106,-120.1,-54.4,-96,-86.7,-53.8,-47.8,-220.9,-86.9,-153.6,-74.6,-211.6,-109,-89.6,-3.2,-43.2,-45.3,20.6,-20.4,-7.2,-29.6,61.4,41.7,29.9,0,-38.7,-22.6,-29,-67.7,-67.5,-154.5,-192.2,-190.7,-253.4,-246,-121.1,-97.1,64.9,94,69.8,126.7,68.3,139.4,185.4,161.7,253.3,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
