"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","    Personal saving","A071RC1",3.6,2.9,2.4,-0.5,-0.8,0.5,2.5,4.2,4.3,1.3,3.2,4.3,11.4,28.6,34.6,38.6,31,15.5,7.3,13.2,9.4,14.9,19.3,20.3,21.3,19.8,19.5,25.6,26.9,28.2,26.1,26.3,31.9,33.5,33.1,40.5,42.7,44.3,54.2,52.5,52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,178.9,286.4,"471.5"
"12","5","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.7,0.6,1.2,2.8,3.2,4.8,6.2,7.2,4.9,3.3,5.9,11.4,11.3,8.9,9.7,10.9,9.9,11.4,16.5,14.7,14.5,11.9,17.5,16.9,17.4,23.2,25.7,29.2,35.3,38,35.8,34.1,30.3,23.4,32.9,42.2,44.6,29.1,48.7,57.3,72.6,82.8,77.8,50.2,65.2,61.5,95.7,130.3,135.6,98.3,125.1,155.1,121.5,120,138,159.5,169.7,199.4,243.9,272.3,308.2,212.6,260.1,176.3,210,280.6,309.2,390.5,486.4,430.3,322.4,378.3,"....."
"13","6","      Undistributed profits","B057RC1",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.3,0.2,2.4,3.6,6.3,6.4,7,6.9,4.7,10.3,14.4,16.4,12.2,16.5,13.7,12.3,12.5,12.4,17.4,17.2,15.9,12.4,17.5,15.5,14.8,17.9,19.5,22.7,28.9,32.1,29.1,29.3,27.2,21.9,29.7,39,55.1,61.8,60.9,75.4,91.3,110.5,124.6,102.3,85.6,54.4,69.9,80.3,60.5,30.1,80.3,118.4,86.4,97.2,106.1,137.7,145.1,170.2,212.1,211.5,225.1,123.1,184.3,129.5,138.5,173.8,234.8,373,670.5,644.7,555.1,480.7,"....."
"14","7","      Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-44,-38.2,"....."
"15","8","      Capital consumption adjustment","A059RC1",-0.4,-0.2,0.1,0.2,0.1,-0.1,-0.1,-0.1,-0.6,-0.6,-0.5,-0.6,-0.6,-0.4,0,0.6,0.7,-1.7,-2.6,-2.8,-2.8,-2.6,-2.8,-2.4,-1.6,-0.7,0.9,0.2,0.1,-0.3,0.3,1.6,2.3,5.3,6.2,6.9,7.6,8,8.2,8.5,9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-188.7,-64.1,"-127.3"
"16","9","    Wage accruals less disbursements","B185RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5,"5.0"
"17","10","  Net government saving","A922RC1",2.6,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.6,-25.3,-27.3,-3.5,6.7,4.9,-4.1,6.9,12.2,6.7,5.3,1.5,9.2,11.9,7.4,-2.6,7,11.4,6.8,7.7,11,7.3,9.8,10,-2.3,5.1,16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-214.8,-682.7,"....."
"18","11","    Federal","A923RC1",1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-26.9,-28.9,-5,5.3,3.7,-5.6,5.6,9.7,3.7,1.8,-1.7,5.7,7.5,3.3,-5.4,3.3,7.1,2.6,2.4,5.3,0.9,3.2,2.3,-9.3,-2.4,8.6,-15.5,-28.7,-24.9,-11.8,-14.5,-70.6,-53.7,-46.1,-28.9,-14,-56.6,-56.8,-135.3,-176.2,-171.5,-178.6,-194.6,-149.3,-138.4,-133.9,-176.4,-218.4,-302.5,-280.2,-220.4,-206.2,-148.2,-60.1,33.6,98.8,185.2,40.5,-252.8,-376.4,-379.5,-283,-203.8,-236.5,-642.6,"....."
"19","12","    State and local","A924RC1",1.5,1.3,1,0.7,0.4,1.2,1.1,2.3,2,2,2,2,1.9,1.5,1.5,1.6,1.6,1.5,1.4,1.2,1.5,1.3,2.6,3,3.5,3.2,3.5,4.4,4.2,2.9,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.8,7,7.5,8,7.1,6.5,15.6,15.7,9.3,2.5,7.4,13.1,18.7,13,8.8,7.6,-2.2,4.9,23.9,22.4,20.7,12,17.2,20.1,6.2,-5.8,-1.4,-0.9,8.2,9.2,23,36.3,46.9,41.8,41.3,-15.9,-54.1,-38.8,-8.4,25.9,51,21.7,-40.2,"....."
"20","13","Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1,"1,863.5"
"21","14","  Private","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2,"1,538.3"
"22","15","    Domestic business","W276RC1",7.6,7.4,6.9,6,5.7,5.8,5.8,5.9,6.6,6.7,6.7,7,7.7,8.7,8.7,9,9.3,10.3,13.5,15.9,17.3,18.6,21.2,22.4,23.6,24.6,25.8,28.6,31.2,33.1,34.3,34.6,35.4,36.6,38.1,40,42.9,46.9,51.2,56.1,61.9,68.2,74.6,81.2,90.6,106.1,125.8,138.5,155.5,176.4,203.5,235.4,271.2,300.7,311.4,326,348,369.9,390.3,417.6,444.4,469.8,490.6,500.9,521.2,549.4,586,619.2,658.5,702.1,756.8,824.3,876.5,908.5,935.4,978.7,1045.7,1123.3,1188.5,1252.3,"1,257.2"
"23","16","    Households and institutions","W279RC1",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.6,3,3.2,3.5,4,4.3,4.6,4.8,5.2,5.7,6.1,6.3,6.7,7,7.2,7.5,7.8,8.3,8.9,9.6,10.4,11.3,12.6,13.5,14.9,16.5,18.8,21.7,24.7,27.1,30.7,35.5,41,46.9,52.1,55.8,58.1,61.5,64.8,69.2,74.1,79.5,85.2,90.6,94.8,99,105.2,111.5,118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,281.1,283.9,"281.1"
"24","17","  Government","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9,"325.2"
"25","18","    Federal","A918RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,2.1,4.8,7.5,8.7,9.3,8.8,7.5,6.6,5.8,6.1,6.8,7.6,8.2,8.6,9.2,9.7,9.9,10.2,10.6,10.9,11.5,12.1,12.3,12.6,13.1,13.9,14.7,15.4,16.1,16.5,16.6,17,18.2,19.7,21.4,23,25,27,30,33.8,37.6,40.7,44.5,48,51.6,55.2,59.1,63.3,67.7,72,74.6,77.8,80.1,81.7,81.9,82.5,82.8,85,87.8,88.6,89.2,90.8,94.8,100.4,106.6,112.6,119.8,"125.6"
"26","19","    State and local","A919RC1",0.7,0.7,0.7,0.6,0.7,0.9,0.8,0.9,1,1,1,1.1,1.2,1.4,1.5,1.4,1.4,1.5,1.8,2.1,2.1,2.1,2.6,2.7,2.8,2.9,3.1,3.5,3.9,4,4.2,4.4,4.7,5,5.4,5.7,6.2,6.9,7.5,8.3,9.3,10.6,11.8,12.8,14.3,17.7,20.2,21.3,22.6,24.5,27.5,31.8,36.3,39.5,40.9,42.3,44.6,47.8,51.4,54.8,58.5,63,66.9,69.9,73.8,78.1,83.1,87.2,91.6,96.2,102.1,109.7,116,121.8,127.3,137.1,150.1,162.7,177.9,191.2,"199.6"
"27","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",20.1,14.6,9.1,3.6,3.8,6.8,9.4,12.7,16.2,12.4,14.9,19.6,30.2,38.9,43.1,42.5,33.6,39.6,48.8,57.5,47.4,62,78.7,76.9,79.1,76.5,90.4,97.6,99.5,91.8,106.6,110.3,113.7,125.2,132.3,144.2,160,174.9,175.1,186.4,201.3,199.7,220.2,246.2,300.2,311.6,313.2,365.4,417.9,502.4,580.2,588,682.6,626.2,652.1,784.9,780.7,777.1,815.1,892,980.3,1001.8,1031,1042.3,1094.2,1203.5,1271.6,1370.3,1511.7,1569.1,1637,1666.2,1592.3,1538.9,1569.4,1716.3,1823.7,1953.8,2025.4,1925.2,"....."
"28","21","Gross domestic investment","W170RC1",19.3,13.9,8.9,3.4,3.7,6.4,9.5,12.8,15.9,11.3,13.8,18,28.9,39,45.2,44.4,35,34.6,39.6,55.1,46.6,63.9,77.8,76.3,80.4,76.3,90,94.9,94.8,91,107.8,107.2,109.5,121.4,127.4,136.7,153.8,171.1,171.6,184.8,199.7,196,219.9,250.2,291.3,305.7,293.3,358.4,428.8,515,581.4,579.5,679.3,629.5,687.2,875,895,919.7,969.2,1007.7,1072.6,1076.7,1023.2,1087.9,1172.8,1318.2,1376.6,1484.4,1641,1773.6,1928.9,2076.5,1984,1990.4,2085.5,2340.9,2564.2,2752.2,2750,2632.4,"2,145.1"
"29","22","  Gross private domestic investment","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.3,1097.3,1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.2,2327.2,2288.5,2136.1,"1,630.9"
"30","23","  Gross government investment","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3,"514.2"
"31","24","Capital account transactions (net) \1\","W167RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.4,-0.2,6.7,4.6,-0.8,1.5,1.9,1.1,0.9,1.2,1,5.2,1.4,-11.7,1.8,3.8,-1.1,-11.1,4.2,2.2,-0.4,"....."
"32","25","Net lending or net borrowing (-), NIPAs \2\","W162RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4,8.9,6,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.2,-35,-89.9,-114.1,-142.5,-153.9,-115.4,-92.2,-81.6,3.2,-44.8,-80,-116.6,-106.2,-115.1,-130.6,-205.5,-297.1,-411.7,-380,-453.4,-519.9,-623.5,-729.5,-802.6,-726.8,-706.8,"....."
"33","26","    Statistical discrepancy","A030RC1",0.8,-0.4,0.8,0.3,0.5,0.4,-0.2,1.2,0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.6,3.9,1.2,2.3,-0.5,1.8,1.4,3.6,2.7,4,3.1,2.4,-1.8,-0.1,1,0.5,-1,-0.6,0.3,-0.8,0.8,1.5,6.2,4.5,4.3,2.9,6.9,11,8.9,8,9.8,16.3,23.5,21.2,26.1,47,45.3,36.6,4.8,49.7,31.5,42.3,67.7,32.9,-9.5,56.1,84.2,79.7,110,135.8,108.8,52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.6,-7.8,-79.7,-220.6,-14.8,101,"....."
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross private saving","A126RC1",15.8,12.5,8.5,3.1,2.9,6.3,9.3,11.2,12.6,9.7,12.2,15.3,23.7,43.5,51.3,56.3,47,31.1,29.2,43.5,41.1,45.8,54.2,57.9,59.4,60.7,67.1,74.7,78.6,79.5,84.6,84.9,91.9,100.8,104.7,118,129.8,138.7,151.5,154,157.2,174.6,203.2,217.1,257,271.1,325.1,345.6,384.1,437.1,479.7,528.8,625.2,681.9,692.2,814,802,783.8,813,908.8,916.1,957.1,1036.6,1091.7,1088,1148.6,1251.2,1300.5,1375.4,1394.9,1380.3,1376.2,1466.5,1656.8,1749.8,1880.1,1909.9,2057.9,1964.6,2195.9,"....."
"36","28","  Gross government saving","A927RC1",3.5,2.5,-0.2,0.1,0.4,0.1,0.3,0.3,3.6,2,1.4,3.2,6.2,-3.7,-6.4,-16.4,-17.2,7.3,17.3,14.5,4.5,14.8,20.9,16.3,15.7,12.7,20.9,24.7,21,11.3,21.5,26.4,22.4,24.1,28.4,25.4,28.6,30,19.1,28,41.2,18.2,6,20.2,35.2,30.7,-28.2,-3.7,12.6,39.2,53.5,14,20.9,-60.4,-89.8,-60.6,-63.6,-74.5,-30.8,-7.3,8,-39.5,-85.3,-159.4,-129.5,-53.9,-32.2,43.9,150.3,259.5,327.8,424,229.2,-95.9,-197.1,-155.9,-6.5,116.5,75.6,-371.8,"....."
"37","29","    Federal","A926RC1",1.3,0.4,-1.9,-1.2,-0.7,-1.9,-1.6,-2.9,0.6,-0.9,-1.7,0.1,3,-6.6,-9.3,-19.4,-20.2,4.3,14.1,11.2,1,11.4,15.7,10.5,9.4,6.6,14.3,16.7,13,4.4,13.5,17.7,13.4,13.9,17.4,13.2,15.9,15.3,4.5,12.2,23.9,0.6,-12.2,-8.3,5.2,3.7,-50.9,-32.3,-23.1,-3.9,13,-26.6,-23,-97.7,-135.6,-126.9,-130.6,-143,-94.2,-79.3,-70.6,-108.7,-146.4,-227.9,-202.4,-140.3,-124.5,-66.3,22.4,116.4,183.9,273,129.1,-163.6,-285.5,-284.6,-182.6,-97.2,-123.9,-522.8,"....."
"38","30","    State and local","A925RC1",2.3,2.1,1.7,1.3,1.1,2.1,2,3.2,3,3,3.1,3,3.1,2.9,3,3,3,3,3.3,3.3,3.6,3.4,5.1,5.7,6.3,6.1,6.6,7.9,8,6.9,8,8.7,9,10.3,11.1,12.1,12.8,14.6,14.5,15.8,17.3,17.7,18.3,28.5,30,27,22.7,28.6,35.7,43.2,40.5,40.6,43.8,37.3,45.8,66.3,67,68.6,63.4,72,78.7,69.2,61.1,68.5,72.9,86.4,92.3,110.2,127.9,143.1,143.9,151,100.1,67.7,88.4,128.7,176.1,213.8,199.5,151,"....."
"39","31","  Net domestic investment","W171RC1",9.6,4.5,0.1,-4.3,-3.7,-1.4,1.7,4.7,7,2,4.6,8.3,17.9,25.3,28.7,24.9,13.8,11.5,12.9,26.7,17.4,33.9,44,40,41.8,35.7,47.2,47.8,44,37.7,52.4,50.6,51.3,60.9,64.1,70.3,83.1,94.6,88.6,94.4,100.5,87.6,102.2,123.1,150.6,142,102.9,150.2,197.1,253.6,282.4,235.4,285.9,196,236,400.6,389.5,381.3,398.1,396.7,421.2,385.5,298.8,343.5,394.8,499,507.2,571.9,677.2,753.1,834.5,892.2,727.7,685.4,731.4,908.2,1022.9,1091.6,990,785.3,"281.6"
"40","32","  Gross saving as a percentage of gross national income","W206RC1",18.6,16.3,10.9,5.6,5.8,9.7,13,13.9,17.5,13.7,14.9,18.4,23.5,24.4,22.4,18.3,13.6,17.3,19.2,21.4,17.1,20.6,22.2,20.7,19.9,19.3,21.2,22.5,21.5,19.4,20.8,21,20.8,21.2,21.4,21.5,21.9,21.5,20.5,20,20.1,18.6,18.6,19.2,21.1,20.1,18.2,18.8,19.6,20.8,20.9,19.5,20.7,18.9,17.1,19.1,17.6,16.1,16.6,17.6,17,16,16,14.9,14.6,15.6,16.5,17.1,18.2,18.6,18.1,17.8,16.2,14.6,13.9,14.4,14.9,15.9,14.4,12.6,"....."
"41","33","  Net saving as a percentage of gross national income","W207RC1",9.3,6,-0.6,-7.5,-7.4,-2.1,2.5,4.1,7.8,2.9,4.7,8.7,14.8,16,14.1,9.4,3.9,6.9,8.2,10.9,6.2,10.4,12.2,10.6,9.7,8.6,10.9,11.8,10.5,8,10,10.3,10.2,10.9,11.2,11.5,12.1,11.7,10.5,10.1,10,8.1,8.1,8.9,10.9,9.2,6.5,7.4,8.1,9.4,9.2,7.2,8.1,5.7,4.3,7.1,5.5,3.9,4.5,5.7,5,3.9,3.8,3,2.7,3.9,4.7,5.5,6.7,7.1,6.5,6.1,4.2,2.4,1.8,2.4,2.8,3.8,2,-0.2,"....."
