"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150"
"11","3","A   Durable goods manufacturing industries","S30D0",261365,262208,261970,262835,264087,263960,265001,266110,265872,267305,266969,268055,269621,270512,272135,274153,275168,275228,274778,275575,275606,276317,275517,274481,272241,272686,274935,274168,275391,275675,277461,277430,279787,279972,282869,286410,285262,288895,287793,288179,287794,290208,291454,293207,292493,293505,295183,294628,297831,296337,293508,293260,290597,287408,284757,281555,279204,276550,273923,270548,268669,267779,268177,266224,265420,265704,264189,264562,264555,264189,263860,265657,265038,268282,267032,265870,265379,262620,259800,260615,259205,261162,261517,263344,265601,267582,269642,272336,274539,276478,279735,283578,285733,287560,289983,290871,297467,301145,302685,302445,302085,301749,304572,307186,308592,312523,315622,316531,322251,322483,324861,330786,334965,338447,342700,344472,345993,348381,348379,348178,348411,350349,351869,352704,353418,353908,351327,349680,350372,351392,353720,356877,361636,366881,373440,378314,384704,389904,391480,393625,387435,378293,372419,367853,365790,361452,354888
"12","4","D     Wood product manufacturing","S3210",8372,8489,8526,8586,8587,8668,8712,8905,9016,9129,9134,9141,8997,9038,9039,9118,9171,9010,9004,9065,9144,9172,9262,9214,9416,9425,9520,9465,9577,9725,9900,9856,9617,9624,9742,10029,10170,10192,10065,10117,9877,9891,9854,9755,9660,9791,9832,9856,9813,9712,9679,9633,9719,9912,9833,9725,9698,9563,9449,9253,9399,9420,9622,9606,9711,9661,9571,9604,9673,9645,9635,9614,9729,9867,9743,9713,9611,9531,9563,9528,9569,9757,9896,9945,10064,10404,10773,10991,11104,10947,10954,11091,11384,11144,11125,11034,11787,12061,12394,12358,12186,12078,11956,11911,11956,12090,11980,12082,11941,12122,12128,12365,12520,12656,12638,12768,12790,12736,12648,12507,12595,12658,12578,12377,12256,12267,12295,12182,12047,11940,11807,11771,11868,11538,11308,11164,11235,11298,11385,11415,11464,11272,11016,10822,10699,10497,10686
"13","5","D     Nonmetallic mineral product manufacturing","S3270",9131,9151,9136,9168,9205,9278,9243,9219,9224,9223,9241,9298,9243,9242,9270,9274,9266,9284,9249,9245,9269,9246,9277,9186,9261,9227,9202,9190,9286,9258,9314,9474,9580,9679,9670,9786,9901,10073,9878,9966,9987,10041,10107,10165,10193,10224,10310,10552,10724,10617,10671,10645,10530,10514,10462,10287,10348,10197,10130,9974,9853,9840,10005,9986,9947,10083,10057,10114,10220,10332,10318,10394,10363,10692,10844,10804,10874,10888,10911,10885,10834,10645,10570,10430,10485,10578,10423,10550,10716,10737,10773,10936,11081,11312,11417,11361,11376,11552,11628,11655,11683,11797,11960,12026,12061,12159,12064,12149,12330,12396,12488,12748,12772,12893,13072,13184,13239,13339,13482,13555,13531,13524,13595,13649,13653,13642,13524,13518,13597,13762,13904,14081,14215,14221,14416,14487,14499,14545,14585,14571,14486,14415,14171,14028,14092,14083,13914
"14","6","D     Primary metal manufacturing","S3310",20690,21036,21430,21272,21341,21371,21391,21549,21418,21530,21527,21595,21443,21199,21152,21299,21330,21303,21250,21194,21071,20700,20528,20353,20227,20199,20044,20120,20499,20614,20851,21029,21109,21478,21981,22394,22701,22833,22660,22647,22559,22383,22608,22516,22314,22156,21814,21678,21882,21627,21243,21066,20585,20129,19744,19421,19231,18952,18661,18486,18281,18232,18145,18227,18352,18639,18622,18696,18773,18913,19177,19343,19350,19738,19636,19432,19353,18870,18541,18672,18601,18553,18907,19204,19881,20595,21001,21093,21041,21669,22667,23645,24259,25541,26258,26393,26934,27154,27783,27895,27556,26938,27104,27868,28409,28804,29355,29869,30499,30982,31226,32482,34029,34418,34656,34901,35709,36034,35845,35809,35574,35840,36668,36900,36329,36384,36269,35791,35412,35096,34744,34710,35790,36783,38486,40564,42109,43155,43565,43670,40789,36522,33401,31732,30914,29909,28520
"15","7","D     Fabricated metal product manufacturing","S3320",29617,29607,29840,29762,29995,30263,30221,30307,30386,30516,30732,31110,31005,31012,31056,31367,31348,31816,31507,31651,31714,31592,31476,31213,31240,30934,30903,31096,31209,31159,31233,31405,31643,31866,32072,32485,32517,33213,32798,32951,33397,33741,33899,34011,33944,34037,34079,33692,34044,33837,33672,33703,33456,33183,32914,32646,32515,32301,31925,31411,31293,31266,31360,31209,31237,31389,31446,31648,31879,31915,31995,31980,31829,33435,33667,32951,32824,32605,32020,32142,31988,32138,32297,32044,32346,32959,33058,33528,34173,34399,35114,36014,36492,36801,37034,37569,38341,38926,39064,39174,39270,39027,39184,39179,39524,40176,40884,41249,41943,42228,42613,43325,44106,44959,45604,45973,46266,46435,46219,46221,46626,46829,47316,47624,47548,47424,47012,46367,46335,46671,46893,47498,48136,48661,49332,50572,51807,52894,53729,53813,52748,50561,48567,47294,46469,45505,43949
"16","8","D     Machinery manufacturing","S3330",35366,35095,35122,35558,35942,36070,35992,36045,35970,36195,36212,36368,36501,37032,37146,37201,37156,37094,37391,37789,37980,37707,37781,37398,37623,37272,37367,37445,37360,37129,37283,37049,37019,37397,37692,37897,38163,38763,38389,38924,38753,39059,39460,39876,39835,40346,40276,40885,40952,40709,40810,40806,40054,39781,39021,38251,38288,37483,36907,36534,35708,35439,35858,35482,35082,35008,34871,34851,34827,34763,34670,35062,34530,34702,34115,33970,33739,33428,32984,32834,32815,33157,33109,33335,33557,33990,34095,34429,34980,35149,35324,35858,35952,35877,36591,36505,37716,38129,38172,38320,38465,38531,39174,39623,39915,40072,40294,40515,41085,41336,41699,42208,42993,43441,43893,44183,44869,45016,44729,45251,45812,46006,46246,46484,46711,46931,46945,46851,46998,47346,47658,47897,48641,49041,50140,50762,51612,52279,52662,52568,51788,50721,49724,48859,49676,48855,47651
"17","9","D     Computer and electronic product manufacturing","S3340",55950,55767,55459,55804,56006,55723,57076,57027,56997,57212,57583,57216,57425,56988,57304,57479,57391,56307,56034,55354,54794,54733,54089,53255,52639,53024,54304,54181,54319,54624,54400,55010,55850,55175,55480,56870,55980,56928,57159,57574,58735,60246,61617,62879,62403,63608,65449,66222,68190,68443,67015,66874,66444,65418,64977,64062,61566,60385,60191,57937,57390,56937,56655,56172,55558,54795,54224,53908,53778,53347,53267,52882,51630,51980,51509,51133,51096,50094,49790,49606,49426,50138,50498,51298,50903,51062,51841,52120,52575,53348,53507,53543,53877,54427,54288,54627,56754,57020,56287,56200,56225,56111,57368,57400,57559,57712,58639,58466,59595,58842,59723,60420,60251,60251,60711,61084,60874,61300,60931,60911,60094,59980,59867,59292,59566,59456,57951,57677,58273,58300,58703,58824,59130,60413,61351,61097,61595,61919,61554,62433,62455,61791,61856,61513,60888,60646,60079
"18","10","D     Electrical equipment, appliance, and component manufacturing","S3350",12567,12707,12800,12960,13171,13285,13405,13374,13289,13209,13210,13129,13156,13128,13213,13131,13017,12948,12951,13040,12999,13092,13124,13087,12996,12885,12888,12996,13118,13197,13245,13207,13469,13535,13566,13553,13716,13851,13699,13748,13840,13907,14120,14385,14406,14433,14322,14502,14597,14614,14558,14590,14369,14192,13877,13811,13785,13725,13611,13411,13353,13330,13296,13308,13348,13437,13418,13392,13359,13271,13296,13223,13193,13273,13214,13189,13159,13067,12867,12888,12789,12823,12912,13042,13122,13091,13223,13226,13432,13565,13685,13939,14077,14088,14042,14112,14205,14280,14428,14479,14414,14331,14280,14284,14536,14718,14894,15066,15355,15466,15736,16144,16478,16887,17135,17417,17234,17197,17145,17291,17062,16950,17100,17403,17496,17460,17526,17438,17164,17483,17697,17769,18016,18446,18614,19005,18957,19190,19155,19214,19002,18357,17652,17076,16640,16190,16133
"19","11","D     Transportation equipment manufacturing","S3360",68577,69311,68530,68797,68822,68157,68068,68566,68472,69117,68016,68614,70402,71317,72305,73348,74470,75735,75459,76289,76720,78235,78250,79179,77215,77988,78841,77539,77706,77548,78705,77808,78732,78343,79666,80168,78507,79139,79270,78363,76665,76808,75555,75027,75027,74184,74301,72599,72796,71910,70967,71231,70773,69643,69539,69263,69603,69949,69144,69750,69876,69715,69552,68623,68465,68638,67939,68277,67862,67997,67522,69027,69887,69751,69259,69591,69681,69061,67970,68743,67988,68676,68015,68791,69654,69068,69282,70389,70369,70430,71365,71891,71744,71177,72128,72187,72947,74286,75137,74429,74413,74814,75095,75879,75206,77053,77490,76933,79127,78634,78652,80076,80574,81791,83634,83301,83340,84564,85587,84797,85185,86375,86111,87054,87492,87873,87407,87664,88241,88306,89524,91529,92907,94691,96479,97388,99466,100841,100924,102141,101172,101718,103624,104506,104662,104390,102678
"20","12","D       Motor vehicle and parts manufacturing","S3MV0",22661,22984,23127,23291,23703,23065,22939,23160,23474,23159,22892,22927,23243,23258,23662,23261,23188,23692,22867,22568,22813,22782,23361,23433,23237,23120,23982,23517,23653,23961,24188,24231,24121,24421,25052,25227,25410,25859,25474,25589,25752,25706,25848,26035,25899,26005,25974,25561,25709,25222,24645,24988,24504,24285,23944,23731,23493,23251,22752,22498,22197,22122,22453,22721,22982,23289,23423,23386,23826,23819,23882,24117,24002,24570,24081,24317,24300,24114,24119,24440,24270,24311,24441,24705,25383,25553,25815,26080,26232,26585,26713,26849,27331,27219,27390,27012,27540,27910,28381,28342,28164,28341,27924,28089,27786,28532,28802,28423,28415,28515,28646,28987,29152,29582,30031,30058,30041,30192,30567,30175,30500,30581,30346,30126,30087,29814,29561,29371,29207,29190,29079,29212,29019,28994,29247,29157,29419,29617,29606,29323,28556,28154,27124,26255,25361,24870,24085
"21","13","D       Other transportation equipment manufacturing","S3OT0",45916,46327,45403,45506,45119,45092,45129,45406,44998,45958,45124,45687,47159,48059,48643,50087,51282,52043,52592,53721,53907,55453,54889,55746,53978,54868,54859,54022,54053,53587,54517,53577,54611,53922,54614,54941,53097,53280,53796,52774,50913,51102,49707,48992,49128,48179,48327,47038,47087,46688,46322,46243,46269,45358,45595,45532,46110,46698,46392,47252,47679,47593,47099,45902,45483,45349,44516,44891,44036,44178,43640,44910,45885,45181,45178,45274,45381,44947,43851,44303,43718,44365,43574,44086,44271,43515,43467,44309,44137,43845,44652,45042,44413,43958,44738,45175,45407,46376,46756,46087,46249,46473,47171,47790,47420,48521,48688,48510,50712,50119,50006,51089,51422,52209,53603,53243,53299,54372,55020,54622,54685,55794,55765,56928,57405,58059,57846,58293,59034,59116,60445,62317,63888,65697,67232,68231,70047,71224,71318,72818,72616,73564,76500,78251,79301,79520,78593
"22","14","D     Furniture and related product manufacturing","S3370",6940,6914,6956,6911,7096,7092,7122,7060,7060,7020,7064,7124,7099,7155,7151,7248,7316,7232,7184,7233,7208,7207,7171,7153,7199,7220,7289,7318,7348,7400,7518,7522,7444,7545,7590,7652,7779,7853,7885,7898,7950,8022,7979,8030,8071,8040,8088,7978,8057,8035,8076,8056,8046,8022,7883,7748,7802,7664,7632,7422,7394,7448,7447,7428,7513,7598,7654,7689,7730,7705,7849,7892,8060,8083,8176,8153,8135,8195,8289,8287,8190,8228,8195,8054,8015,8151,8223,8401,8461,8485,8478,8637,8749,8702,8607,8690,8806,8894,8930,8855,8828,8875,8857,8921,9139,9192,9272,9322,9404,9393,9522,9527,9521,9582,9604,9642,9602,9611,9612,9419,9432,9484,9415,9353,9313,9289,9251,9185,9129,9128,9172,9166,9223,9192,9238,9200,9389,9413,9440,9418,9294,9084,8912,8682,8541,8248,8072
"23","15","D     Miscellaneous durable goods manufacturing","S3390",14155,14131,14171,14017,13922,14053,13771,14058,14040,14154,14250,14460,14350,14401,14499,14688,14703,14499,14749,14715,14707,14633,14559,14443,14425,14512,14577,14818,14969,15021,15012,15070,15324,15330,15410,15576,15828,16050,15990,15991,16031,16110,16255,16563,16640,16686,16712,16664,16776,16833,16817,16656,16621,16614,16507,16341,16368,16331,16273,16370,16122,16152,16237,16183,16207,16456,16387,16383,16454,16301,16131,16240,16467,16761,16869,16934,16907,16881,16865,17030,17005,17047,17118,17201,17574,17684,17723,17609,17688,17749,17868,18024,18118,18491,18493,18393,18601,18843,18862,19080,19045,19247,19594,20095,20287,20547,20750,20880,20972,21084,21074,21491,21721,21569,21753,22019,22070,22149,22181,22417,22500,22703,22973,22568,23054,23182,23147,23007,23176,23360,23618,23632,23710,23895,24076,24075,24035,24370,24481,24382,24237,23852,23496,23341,23209,23129,23206
"24","16","A   Nondurable goods manufacturing industries","S30N0",159848,158969,159010,158921,159730,160182,159544,160590,161243,162484,163432,163624,162388,161899,161646,161134,161078,160612,160696,159733,158997,158780,158993,156976,156987,156084,156591,157838,159461,159760,160815,162522,164816,166631,168844,171305,173395,175741,176085,176537,177704,179915,181268,180615,181282,182472,182913,182373,183765,182265,181738,181215,179980,178220,176528,174580,173560,170516,168342,167318,166038,166155,168927,170048,169950,171056,172870,174276,176416,177305,177539,177985,180585,185088,184907,183536,182503,182959,182009,182678,182408,183206,184730,183689,185060,187231,187825,189945,192847,194250,195968,198140,199938,203289,205362,204219,207522,210442,213535,213924,211704,213766,216813,219002,223242,227685,226473,229297,233813,233019,233825,236684,239641,242951,244473,244770,242485,239670,240572,240202,238712,239792,241867,243594,246661,249511,250698,250575,255625,261168,268318,271812,278512,283003,288493,288860,297083,307345,309098,305127,290397,270602,252622,232600,228061,225781,226899
"25","17","D     Food manufacturing","S3110",31478,31621,31881,31899,31804,31896,31669,31842,32014,32276,32466,32423,32162,32252,31999,32023,32112,32060,31907,31667,31726,31608,31520,31501,31705,31443,31263,31426,31484,31455,31562,31795,32513,32774,32903,32884,33287,33840,34332,34295,34411,34399,34258,34066,34072,34070,34329,34680,34782,34718,34816,35050,35196,35137,35225,35079,34901,34263,34118,34052,34184,34264,34130,34315,34237,34616,34818,35021,35293,35358,35548,35510,35877,36416,36552,36139,36565,36665,36624,36830,37142,37806,38045,37335,37179,37339,37772,38136,38642,38522,38271,37860,37826,37653,37657,37926,37803,38260,38715,39257,38996,38988,39181,39367,39910,40314,40306,40402,40853,40709,40620,40539,40580,41032,41133,41047,41155,41611,42167,42478,42406,42601,42934,43393,44010,44282,44617,44961,45278,44995,45324,45899,46801,47539,47967,42933,43338,43834,43963,43517,42686,41303,40642,39902,38881,38398,38441
"26","18","D     Beverage and tobacco product manufacturing","S3120",11325,11216,11151,11375,11421,11432,11541,11489,11368,11430,11625,11699,11995,11784,11943,11821,11810,11700,11673,11304,11297,11605,11717,11648,11540,11656,11397,11479,11560,11407,11274,11293,11168,11324,11283,11631,11772,11932,11914,11965,11896,12021,12033,12030,12218,12164,12200,12012,12077,12100,12286,12382,12360,12345,12596,12566,12633,12450,12573,12693,12823,12815,12967,12908,12989,13237,13059,13106,13339,13272,13124,13175,13017,13086,12943,13241,13179,13070,13097,12997,12972,13081,13272,12943,12956,13170,12886,12981,13014,13213,13230,13709,13771,13434,13390,13340,13439,13371,13226,13276,13101,13046,13227,13144,13074,13467,13561,13417,13410,13437,13215,13116,12883,12834,13037,13185,13227,13325,13385,13550,13732,13749,13804,13909,14027,13980,14033,13882,13794,13809,13822,13854,13965,14197,14127,16715,16764,16773,16756,16763,16860,16754,16697,16712,17080,17271,17430
"27","19","D     Textile mills","S3130",7012,6975,6990,7016,6998,7003,6987,7046,6966,6959,6935,6940,6934,6999,7022,7032,7067,7016,7022,6972,6990,6939,6895,6894,6822,6798,6751,6657,6663,6683,6680,6675,6703,6656,6711,6818,6790,6730,6741,6785,6780,6770,6764,6733,6677,6732,6744,6689,6694,6662,6623,6526,6401,6295,6195,6085,6047,5940,5880,5757,5623,5586,5557,5415,5437,5435,5409,5497,5494,5469,5437,5528,5514,5579,5629,5717,5698,5707,5669,5648,5664,5602,5603,5563,5509,5499,5527,5547,5554,5584,5569,5571,5568,5564,5583,5537,5558,5542,5560,5591,5634,5590,5612,5561,5614,5713,5728,5751,5826,5822,5822,5818,5784,5804,5834,5836,5845,5775,5737,5714,5621,5622,5567,5531,5507,5545,5493,5512,5504,5528,5556,5559,5563,5575,5569,5526,5542,5483,5535,5581,5596,5555,5497,5432,5381,5233,5158
"28","20","D     Textile product mills","S3140",3753,3793,3822,3849,3900,3947,3957,3976,4011,3995,4040,4041,4054,4074,4077,4025,4006,3931,3884,3878,3828,3757,3722,3700,3605,3629,3705,3728,3744,3792,3783,3797,3804,3873,3870,3900,3924,3960,4004,4051,4134,4200,4259,4255,4296,4311,4365,4396,4368,4389,4409,4352,4257,4216,4164,4172,4200,4230,4243,4285,4146,4007,3905,3847,3801,3747,3712,3626,3539,3437,3312,3242,3305,3336,3312,3341,3312,3276,3263,3288,3256,3234,3304,3321,3314,3308,3320,3360,3368,3381,3402,3402,3452,3451,3448,3411,3545,3600,3640,3628,3622,3612,3583,3603,3592,3664,3635,3746,3756,3764,3779,3799,3770,3863,3920,3936,3918,3919,3895,3859,3824,3815,3779,3736,3767,3770,3762,3751,3764,3762,3782,3785,3785,3781,3776,3753,3708,3664,3751,3774,3771,3735,3659,3582,3409,3305,3269
