"","Table 1#2#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","6","    Change in private inventories","A014RY2",0,-0.7,0.56,0.06,0.48,-0.26,-1.23,1.37,0.24,0.12,-0.4,-0.89,1.13,-1.3,0.28,1.9,-1.03,-0.31,0.41,-0.13,0.17,-0.21,-0.25,0.28,0.07,0.61,-0.44,0.02,0.52,-0.04,-0.02,-0.05,-0.89,0.53,0.02,0.37,-0.04,0.04,-0.23,-0.49,-0.76,1.45,-0.16,0.2
"16","7","  Durable goods","A354RY2",0.99,-0.94,0.51,2.06,3.12,-0.08,-1.23,2.28,1.48,2.02,1.13,-0.95,0.5,-1.6,1.6,3.17,0.76,0.96,1.28,1.62,1.18,0.23,-0.69,0.93,1.22,1.33,1.24,1.33,2,1.69,1.84,1.37,-0.49,0.42,0.84,1.17,1.16,0.91,0.93,-0.27,-1.71,1.71,1.07,0.89
"17","8","    Final sales","A326RY2",0.85,-0.34,0.23,1.78,2.65,0.2,-0.11,1.23,1.58,1.65,1.41,-0.37,0.22,-0.9,1.06,2.14,1.68,1.11,0.75,1.64,1.24,0.45,-0.34,0.75,0.92,1.07,1.27,1.51,1.7,1.67,1.85,1.39,0.28,-0.16,0.87,0.97,1.14,0.98,1.07,0,-1.07,0.62,1.03,0.77
"18","9","    Change in private inventories \1\","A355RY2",0.14,-0.6,0.28,0.28,0.48,-0.28,-1.12,1.05,-0.1,0.36,-0.28,-0.58,0.28,-0.7,0.54,1.04,-0.91,-0.15,0.53,-0.02,-0.06,-0.21,-0.35,0.18,0.31,0.26,-0.03,-0.18,0.29,0.02,-0.01,-0.01,-0.77,0.58,-0.02,0.2,0.02,-0.07,-0.14,-0.27,-0.64,1.09,0.04,0.12
"19","10","  Nondurable goods","A356RY2",0.4,0.49,0.57,0.57,0.8,-0.33,0.23,0.83,0.47,0.6,0.57,0.7,1.32,-0.25,0.03,1.25,0.32,0.18,0.14,0.42,0.73,0.19,0.17,0.34,-0.04,0.84,-0.01,0.51,0.48,0.19,0.55,0.21,0.02,0.15,0.36,0.43,0.31,0.66,0.24,0.06,0.08,0.68,0.2,0.64
"20","11","    Final sales","A334RY2",0.54,0.59,0.29,0.8,0.8,-0.35,0.35,0.51,0.13,0.84,0.69,1.01,0.47,0.35,0.28,0.39,0.44,0.34,0.25,0.53,0.5,0.18,0.07,0.24,0.19,0.49,0.4,0.31,0.26,0.25,0.56,0.25,0.14,0.2,0.32,0.26,0.37,0.55,0.34,0.28,0.2,0.33,0.4,0.56
"21","12","    Change in private inventories \1\","A357RY2",-0.14,-0.1,0.28,-0.22,0,0.02,-0.12,0.32,0.34,-0.24,-0.12,-0.31,0.85,-0.6,-0.26,0.86,-0.12,-0.16,-0.11,-0.11,0.23,0.01,0.1,0.1,-0.24,0.35,-0.42,0.2,0.23,-0.06,-0.01,-0.04,-0.12,-0.05,0.04,0.17,-0.06,0.11,-0.1,-0.22,-0.11,0.36,-0.2,0.08
"22","13","Services \2\","A341RY2",1.6,1.1,1.23,1.77,1.47,1.08,1.76,1.36,1.68,1.85,1.16,0.92,0.95,0.91,2.2,1.45,2.57,2.18,2,2.18,1.86,1.7,1.13,1.94,1.28,1.45,1.41,1.39,1.61,2.05,2.06,2.19,1.34,1.37,1.22,1.7,1.52,1.39,1.36,0.81,0.23,0.72,0.7,0.76
"23","14","Structures","A755RY2",0.15,-0.44,0.98,0.84,0.25,-1.19,-0.97,0.92,0.98,1.1,0.32,-0.91,-0.18,-0.97,0.81,1.39,0.58,0.2,0.05,-0.01,-0.09,-0.2,-0.68,0.34,0.28,0.42,0.07,0.57,0.4,0.52,0.39,0.32,0.08,-0.17,0.37,0.5,0.36,-0.3,-0.74,-0.89,-1.4,-0.61,-0.12,0.49
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","  Motor vehicle output","A953RY2",0,-0.82,0.98,0.47,0.63,-0.64,-0.35,0.95,0.59,0.16,-0.33,-0.96,0.22,-0.21,0.82,0.74,0.4,-0.01,-0.04,0.21,0.07,-0.35,-0.33,0.35,0.29,0.42,-0.01,0.04,0.29,0.28,0.37,-0.05,-0.16,0.37,0.04,0.13,0.12,-0.04,0.01,-0.49,-0.53,0.53,0.23,0.32
"26","16","  Gross domestic product excluding motor vehicle output","A962RY2",3.13,1.03,2.31,4.78,5.02,0.12,0.15,4.44,4.02,5.4,3.51,0.71,2.37,-1.7,3.81,6.52,3.84,3.52,3.5,4,3.61,2.27,0.26,3.21,2.45,3.62,2.73,3.76,4.19,4.17,4.48,4.14,1.11,1.41,2.75,3.66,3.23,2.71,1.78,0.2,-2.27,1.98,1.62,2.46
"27","17","  Final sales of computers \3\","BB01RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.32,0.28,0.05,0.35,0.46,0.26,0.17,0.22,0.19,0.12,0.06,0.1,0.2,0.19,0.17,0.41,0.48,0.48,0.41,0.4,0.29,0.12,0.03,0.12,0.03,0.1,0.14,0.09,0.09,0.02,-0.02,0.04,0.05
"28","18","  Gross domestic product excluding final sales of computers","BB00RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,-0.57,2.32,-1.96,4.28,6.8,3.98,3.34,3.25,4.01,3.56,1.86,-0.17,3.35,2.56,3.86,2.31,3.31,4.01,4.04,4.45,3.8,0.82,1.75,2.67,3.76,3.25,2.53,1.7,-0.38,-2.82,2.53,1.81,2.73
"29","19","  Research and development","Y694RY2",0.05,-0.12,-0.05,0.09,0.05,-0.06,-0.03,0.12,0.1,0.13,0.12,0.1,0.12,0.1,0.15,0.24,0.27,0.12,0.12,0.03,0.05,0.08,0.01,-0.03,-0.04,-0.01,0.06,0.13,0.08,0.08,0.11,0.1,0.07,0.03,0.07,0.06,0.12,0.11,0.11,0.07,-0.02,0.05,0.04,-0.01
"30","20","  Gross domestic product excluding research and development","Y695RY2",3.09,0.32,3.34,5.16,5.59,-0.45,-0.17,5.26,4.5,5.43,3.05,-0.35,2.48,-2.01,4.48,7.02,3.97,3.4,3.34,4.17,3.63,1.84,-0.09,3.59,2.78,4.05,2.66,3.67,4.4,4.37,4.74,3.99,0.88,1.75,2.72,3.74,3.23,2.55,1.68,-0.36,-2.78,2.46,1.81,2.79
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
