"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","        Structures","A760RG3",4.281,4.017,3.595,2.89,3.309,3.85,3.723,4.042,4.157,4.148,4.052,4.057,4.422,5.153,5.553,5.385,5.486,6.147,7.253,8.064,7.976,7.658,8.782,9.06,9.031,8.771,8.773,9.606,10.05,9.949,9.976,9.857,9.875,10.072,10.216,10.348,10.615,11.056,11.413,11.961,12.835
"12","5","        Equipment","Y054RG3",30.189,29.412,27.569,27.129,26.211,27.159,29.037,27.606,28.286,27.576,27.449,28.391,31.844,27.892,27.281,25.345,23.257,25.762,29.229,30.995,31.718,32.844,35.228,35.649,34.688,35.378,36.741,39.728,41.531,41.846,42.556,42.658,43.235,43.717,44.104,44.162,44.224,44.706,45.515,46.611,48.528
"13","6","        Intellectual property products","Y055RG3",12.166,11.576,11.345,10.959,10.32,10.636,10.324,10.674,11.005,10.947,10.738,10.565,10.647,12.047,13.603,15.869,15.71,16.017,17.516,18.083,18.164,18.616,20.143,20.557,20.826,20.81,21.231,21.943,22.457,22.986,23.361,23.618,23.757,23.862,23.869,24.123,24.082,24.233,24.388,25.029,26.057
"14","7","          Software","Y056RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.058,46.721,47.156,47.053,47.361,48.319,48.949,49.834,50.704,52.454,53.902
"15","8","          Research and development","Y057RG3",10.839,10.314,10.108,9.764,9.195,9.476,9.199,9.51,9.805,9.754,9.567,9.413,9.486,10.733,12.12,14.139,13.997,14.27,15.606,16.111,16.183,16.586,17.946,18.315,18.555,18.54,18.915,19.55,20.008,20.479,20.814,21.043,21.166,21.261,21.266,21.49,21.45,21.58,21.714,22.281,23.205
"16","9","Federal","B823RG3",7.25,6.932,6.895,6.557,6.576,7.014,7.059,7.681,7.791,7.899,7.764,7.512,7.939,7.883,7.812,7.678,7.741,10.12,10.852,10.776,11.175,11.271,11.7,11.835,11.934,12.222,12.812,13.436,14.027,14.576,14.707,14.814,15.004,15.224,15.606,16.086,16.482,17.039,17.418,18.291,19.221
"17","10","    Consumption expenditures","B957RG3",5.515,5.281,5.332,5.185,5.115,5.384,5.402,5.979,6.015,6.128,6.016,5.74,5.984,5.928,5.791,5.866,6.156,8.388,8.951,8.81,9.177,9.251,9.48,9.562,9.725,10.022,10.582,11.03,11.511,12.061,12.135,12.239,12.417,12.621,13.047,13.581,14.046,14.643,15.016,15.886,16.715
"18","11","    Gross investment","B787RG3",15.78,14.95,13.876,12.189,12.816,14.178,14.353,14.921,15.545,15.51,15.319,15.59,16.915,16.812,16.938,15.918,14.779,16.014,17.942,18.845,19.161,19.37,21.046,21.466,21.136,21.265,21.799,23.305,24.355,24.722,25.139,25.243,25.472,25.745,25.897,26.095,26.145,26.459,26.824,27.563,28.848
"19","12","      Structures","B801RG3",3.745,3.557,3.24,2.718,2.96,3.336,3.276,3.532,3.746,3.782,3.72,3.768,4.016,4.661,5.022,4.867,5.004,5.551,6.893,7.437,7.542,7.209,8.131,8.437,8.456,8.245,8.294,8.934,9.422,9.548,9.579,9.549,9.546,9.727,9.822,9.998,10.181,10.581,10.961,11.551,12.552
"20","13","      Equipment","Y058RG3",26.728,25.723,24.494,24.673,22.927,24.009,27.015,25.147,24.589,23.661,23.716,24.641,28.047,24.439,23.903,22.202,20.364,22.553,25.318,26.659,27.385,28.379,30.32,30.696,29.821,30.415,31.445,34.116,35.998,36.351,37.195,37.279,37.837,38.319,38.69,38.723,38.749,39.132,39.797,40.685,42.464
"21","14","      Intellectual property products","Y059RG3",11.696,10.788,10.624,10.367,9.836,10.314,9.929,10.421,10.787,10.714,10.43,10.197,10.212,11.638,13.182,15.432,15.26,15.529,16.95,17.514,17.598,18.035,19.52,19.937,20.204,20.184,20.594,21.274,21.775,22.292,22.647,22.894,23.026,23.124,23.127,23.372,23.325,23.464,23.606,24.22,25.205
"22","15","        Software","Y060RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.885,47.091,46.764,46.911,48.163,48.752,49.396,49.839,51.422,52.627
"23","16","        Research and development","Y061RG3",10.745,9.911,9.76,9.524,9.036,9.475,9.122,9.573,9.91,9.843,9.582,9.368,9.381,10.692,12.11,14.177,14.019,14.266,15.572,16.089,16.167,16.568,17.933,18.315,18.561,18.542,18.919,19.544,20.005,20.479,20.805,21.032,21.153,21.244,21.247,21.469,21.424,21.55,21.68,22.242,23.155
"24","17","  National defense","B824RG3",7.139,6.928,6.85,6.679,6.635,6.924,7.156,7.303,7.476,7.499,7.495,7.251,7.705,7.533,7.443,7.301,7.355,9.772,10.66,10.631,10.928,11.118,11.438,11.505,11.554,11.856,12.457,13.141,13.719,14.236,14.338,14.442,14.58,14.768,15.162,15.587,15.992,16.554,16.948,17.793,18.687
"25","18","    Consumption expenditures","B997RG3",5.75,5.6,5.574,5.467,5.439,5.631,5.833,5.954,5.975,6.002,6.02,5.718,5.956,5.755,5.577,5.645,5.922,8.218,8.933,8.843,9.112,9.257,9.39,9.41,9.531,9.843,10.423,10.937,11.416,11.934,11.982,12.091,12.206,12.378,12.816,13.294,13.743,14.326,14.715,15.545,16.338
"26","19","    Gross investment","B788RG3",15.619,14.404,13.348,12.32,12.102,13.307,13.536,13.794,15.116,15.094,14.914,15.194,16.699,16.528,16.681,15.629,14.5,15.811,17.806,18.666,18.98,19.435,21.15,21.504,21.105,21.29,21.875,23.436,24.483,24.877,25.277,25.354,25.603,25.868,26.013,26.102,26.176,26.472,26.808,27.484,28.787
"27","20","      Structures","B808RG3",2.972,2.723,2.482,2.087,2.221,2.494,2.517,2.621,2.853,2.829,2.786,2.919,3.162,3.732,4.034,3.907,3.995,4.483,5.666,5.984,6.043,5.77,6.77,6.971,6.943,6.748,6.82,7.345,7.711,7.907,7.936,7.91,7.844,8.005,8.061,8.181,8.208,8.64,8.915,9.501,10.608
"28","21","      Equipment","Y050RG3",20.292,18.88,16.991,17.267,15.785,17.396,18.512,17.921,20.306,20.634,20.58,20.047,22.881,19.509,19.139,17.737,16.278,18.262,20.745,22.055,22.639,23.481,25.128,25.428,24.692,25.239,26.114,28.399,29.971,30.245,30.84,30.839,31.331,31.702,31.976,31.879,32.068,32.388,32.878,33.566,35.078
"29","22","      Intellectual property products","Y052RG3",11.631,10.748,10.58,10.328,9.787,10.234,9.833,10.326,10.701,10.631,10.35,10.116,10.126,11.546,13.08,15.315,15.145,15.412,16.821,17.373,17.462,17.89,19.373,19.786,20.052,20.031,20.437,21.121,21.616,22.116,22.468,22.715,22.854,22.955,22.959,23.206,23.168,23.309,23.448,24.044,24.984
"30","23","        Software","Y053RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.332,51.123,51.165,51.807,53.282,54.159,55.091,55.727,57.648,58.963
"31","24","        Research and development","Y076RG3",10.768,9.951,9.794,9.562,9.061,9.474,9.103,9.559,9.907,9.842,9.582,9.365,9.375,10.689,12.109,14.178,14.02,14.268,15.572,16.083,16.166,16.562,17.935,18.317,18.563,18.544,18.92,19.553,20.012,20.474,20.8,21.029,21.156,21.251,21.254,21.48,21.443,21.571,21.699,22.248,23.123
"32","25","  Nondefense","B825RG3",7.041,6.614,6.623,6.132,6.198,6.684,6.651,7.419,7.5,7.634,7.459,7.21,7.518,8.436,8.779,9.109,9.435,10.709,10.662,10.406,11.08,10.878,11.76,12.398,12.882,13.025,13.455,13.592,14.187,14.889,15.233,15.347,15.801,16.161,16.459,17.133,17.479,17.99,18.292,19.228,20.251
"33","26","    Consumption expenditures","B542RG3",4.945,4.621,4.761,4.57,4.464,4.747,4.669,5.383,5.42,5.549,5.408,5.169,5.36,6.18,6.675,6.867,7.25,8.381,8.25,7.929,8.541,8.373,9.052,9.589,10.047,10.227,10.626,10.651,11.104,11.83,12.125,12.204,12.708,13.064,13.397,14.173,14.684,15.318,15.582,16.604,17.576
"34","27","    Gross investment","B798RG3",14.773,14.122,13.115,11.342,12.123,13.429,13.582,14.18,14.532,14.495,14.313,14.52,15.371,16.216,15.523,17.007,16.442,16.669,17.793,18.799,19.112,18.763,20.289,21.134,21.392,20.968,20.99,21.995,23.05,23.252,23.756,24.006,24.132,24.43,24.602,25.039,25.041,25.37,25.773,26.593,27.8
"35","28","      Structures","B830RG3",5.319,5.085,4.632,3.884,4.241,4.782,4.683,5.075,5.347,5.429,5.338,5.292,5.441,5.297,5.415,5.283,5.774,6.766,7.799,8.51,8.649,8.271,9.006,9.516,9.719,9.575,9.487,10.219,10.886,10.779,10.808,10.774,10.884,11.075,11.213,11.431,11.716,12.109,12.567,13.16,14.039
"36","29","      Equipment","Y066RG3",47.422,46.755,47.384,47.099,44.885,45.298,51.609,47.565,43.353,40.479,40.713,45.125,51.481,58.654,49.466,58.313,49.511,47.636,50.32,50.193,51.983,53.43,56.049,57.419,56.466,52.878,52.938,52.285,54.779,56.94,68.919,76.069,74.562,77.991,81.546,88.902,81.143,81.842,86.063,90.503,92.205
"37","30","      Intellectual property products","Y067RG3",11.789,10.853,10.689,10.428,9.902,10.402,10.027,10.519,10.882,10.806,10.519,10.286,10.293,11.714,13.259,15.51,15.332,15.594,17.04,17.657,17.714,18.173,19.646,20.065,20.332,20.317,20.734,21.357,21.88,22.468,22.826,23.066,23.174,23.261,23.261,23.503,23.446,23.582,23.729,24.357,25.385
"38","31","        Software","Y068RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.144,44.433,43.928,43.806,44.924,45.349,45.824,46.153,47.54,48.67
"39","32","        Research and development","Y069RG3",10.711,9.86,9.712,9.474,8.996,9.451,9.11,9.557,9.887,9.818,9.558,9.345,9.352,10.643,12.046,14.091,13.93,14.168,15.482,16.042,16.094,16.511,17.849,18.23,18.473,18.459,18.838,19.404,19.879,20.414,20.739,20.957,21.057,21.139,21.139,21.357,21.302,21.425,21.558,22.127,23.072
"40","33","State and local","B829RG3",3.968,3.862,3.632,3.259,3.372,3.643,3.68,3.698,3.793,3.786,3.729,3.762,4.009,4.413,4.705,4.886,5.063,5.55,6.246,6.989,7.056,7.106,7.807,8.149,8.311,8.436,8.61,9.154,9.545,9.691,9.877,10.062,10.333,10.602,10.847,11.058,11.392,11.937,12.543,13.276,14.18
"41","34","  Consumption expenditures","B991RG3",3.39,3.36,3.238,3.023,3.039,3.214,3.294,3.212,3.301,3.302,3.27,3.317,3.482,3.771,4.017,4.195,4.365,4.787,5.344,5.986,6.097,6.236,6.729,7.075,7.294,7.542,7.751,8.127,8.496,8.755,9.004,9.296,9.642,9.925,10.192,10.425,10.763,11.316,11.986,12.748,13.621
"42","35","  Gross investment","B799RG3",6.158,5.796,5.199,4.235,4.817,5.59,5.381,5.813,5.939,5.903,5.76,5.752,6.356,7.406,7.916,7.789,7.754,8.477,9.917,11.054,10.877,10.527,12.084,12.402,12.329,12.003,12.068,13.221,13.71,13.486,13.482,13.31,13.342,13.583,13.777,13.93,14.281,14.842,15.298,15.999,17.074
"43","36","    Structures","B842RG3",4.554,4.27,3.814,3.044,3.544,4.179,4.012,4.367,4.437,4.41,4.3,4.284,4.755,5.59,6.027,5.883,5.817,6.352,7.414,8.302,8.151,7.837,9.034,9.291,9.23,8.947,8.931,9.826,10.255,10.079,10.104,9.957,9.981,10.183,10.342,10.463,10.75,11.201,11.556,12.101,12.964
"44","37","    Equipment","Y070RG3",24.873,24.295,22.68,22.19,21.741,22.416,22.054,21.919,24.221,24.057,23.709,24.361,25.893,27.93,27.453,27.762,28.486,31.59,37.821,41.113,41.316,42.605,47.054,47.313,47.377,48.288,52.864,55.346,53.507,52.965,50.946,51.133,51.167,50.968,51.068,51.29,51.574,52.408,53.69,55.489,57.146
"45","38","    Intellectual property products","Y071RG3",16.125,16.013,15.563,14.701,13.573,13.43,13.243,13.328,13.639,13.607,13.551,13.524,13.821,14.736,15.943,16.8,17.331,18.683,21.51,21.664,21.563,22.165,23.722,23.683,23.777,23.909,24.335,25.592,26.053,26.454,27.354,27.761,28.047,28.368,28.561,28.915,29.187,29.697,30.179,31.26,32.862
"46","39","      Software","Y072RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.134,42.741,43.514,43.966,44.613,44.94,45.596,46.866,48.543,50.544,52.511
"47","40","      Research and development","Y073RG3",11.56,11.479,11.157,10.539,9.73,9.627,9.493,9.555,9.778,9.755,9.714,9.695,9.908,10.564,11.429,12.043,12.424,13.393,15.42,15.531,15.458,15.89,17.006,16.978,17.045,17.14,17.445,18.346,18.677,18.964,19.609,19.901,20.096,20.328,20.448,20.717,20.893,21.214,21.462,22.203,23.411
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
