"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"16","9","    Nonresidential","A008RD3",33.631,35.241,36.893,38.156,39.695,43.553,49.29,52.005,55.451,59.159,63.917,69.558,76.173,81.036,80.902,81.16,81.997,83.435,84.387,86.511,88.517,90.413,92.116,91.773,91.968,92.666,93.558,92.968,92.453,91.011,90.167,90.66,90.393,90.047,89.884,91.141,93.829,96.561,98.574,100.336,100,99.069,100.524,101.977
"17","10","      Structures","A009RD3",11.985,12.773,13.756,14.746,15.888,18.085,20.244,21.236,23.078,25.307,28.247,30.873,35.119,37.89,36.925,37.247,38.132,38.864,39.488,41.163,42.775,44.157,44.956,44.967,46.286,47.92,49.996,51.266,53.223,55.659,57.378,59.635,62.762,65.404,67.774,72.879,82.056,92.048,97.62,102.259,100,98.843,101.748,103.732
"18","11","      Equipment","Y033RD3",54.296,56.329,58.111,58.873,59.869,64.359,74.162,78.714,83.551,88.192,93.896,102.162,109.638,115.712,116.045,115.097,115.096,117.409,118.174,119.808,122.098,124.594,126.705,126.513,125.034,124.812,123.445,120.646,117.317,112.054,107.728,105.386,102.28,100.246,98.52,98.36,98.639,98.317,98.602,98.691,100,98.009,98.928,100.187
"19","12","      Intellectual property products","Y001RD3",35.53,37.225,38.591,39.747,41.712,45.597,49.259,51.431,53.691,56.487,60.242,64.894,69.739,73.695,76.449,78.598,79.901,80.522,81.965,84.521,85.585,86.456,88.505,87.462,88.069,88.422,90.898,91.21,91.724,91.32,93.074,96.125,96.408,95.407,95.192,95.109,95.986,97.508,99.181,100.826,100,100.539,101.788,103.167
"20","13","    Residential","A011RD3",15.743,16.249,17.19,18.236,19.856,21.907,23.933,25.482,28.084,31.533,35.094,38.88,42.026,44.28,45.329,46.671,47.953,50.068,52.234,54.052,55.819,57.105,57.848,58.561,60.945,63.15,65.408,66.812,68.424,70.229,72.86,76.093,79.705,81.679,85.549,91.546,98.103,103.821,105.176,103.647,100,99.644,100.392,101.246
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","A020RD3",30.838,32.021,33.202,34.75,39.319,48.441,53.39,55.143,57.389,60.886,68.214,75.133,80.686,81.057,81.376,82.132,79.692,78.343,80.096,84.198,85.6,86.081,87.032,86.609,86.747,87.758,89.724,88.527,86.962,84.902,84.248,86.007,85.699,85.281,87.151,90.364,94.379,97.759,101.119,105.815,100,104.415,111.14,112.185
"24","17","    Goods","A253RD3",35.458,37.057,38.046,39.058,45.332,57.368,63.762,65.393,67.774,71.682,81.144,88.948,95.225,94.136,93.449,94.262,89.545,86.611,88.851,94.572,95.803,94.895,94.795,93.273,92.746,93.736,95.962,93.484,90.902,88.034,86.865,88.371,87.856,87.21,88.995,92.252,95.472,98.83,102.187,107.203,100,105.034,113.013,113.508
"25","18","    Services","A646RD3",22.025,22.448,23.922,26.346,27.573,30.758,32.825,34.807,36.768,39.431,42.5,47.732,51.879,55.026,57.181,57.812,59.575,61.049,61.906,63.026,64.707,67.734,70.585,72.217,73.6,74.632,76.063,77.496,78.114,77.847,78.359,80.726,80.92,81.034,83.1,86.218,92.039,95.481,98.852,102.83,100,103.096,107.039,109.312
"26","19","  Imports","A021RD3",20.717,21.942,23.29,24.921,29.253,41.852,45.335,46.701,50.816,54.404,63.708,79.353,83.619,80.799,77.771,77.099,74.567,74.565,79.081,82.863,84.674,87.101,86.374,86.443,85.78,86.585,88.957,87.406,84.368,79.825,80.351,84.008,81.999,81.098,83.984,88.084,93.56,97.491,101.05,111.695,100,106.008,114.273,114.862
"27","20","    Goods","A255RD3",21.299,22.746,23.912,25.744,30.344,45.407,49.211,50.527,55.156,58.834,69.377,87.542,92.416,88.682,84.975,84.391,81.07,79.254,84.906,88.95,91.44,93.119,91.359,90.859,89.844,90.498,92.91,90.555,86.815,81.571,81.668,85.974,83.532,82.069,84.538,88.687,94.572,98.662,102.187,113.862,100,106.742,116.178,116.855
"28","21","    Services","A656RD3",17.762,18.396,20.062,21.062,24.362,28.972,31.32,32.737,35.063,38.249,43.194,50.129,52.306,52.343,51.485,50.602,50.54,56.011,56.808,59.575,59.259,63.696,66.022,67.871,68.445,69.784,71.962,73.755,73.754,72.315,74.812,75.36,75.425,77.223,82.212,86.11,89.55,92.703,96.477,102.227,100,102.849,105.713,105.895
"29","22","Government consumption expenditures and gross investment","A822RD3",16.156,17.438,18.822,20.239,21.581,23.633,25.808,27.208,28.873,30.725,33.207,36.643,40.216,42.823,44.479,46.273,47.711,48.537,49.869,51.47,53.452,55.675,57.674,59.475,60.895,62.512,64.326,65.658,66.931,68.067,70.402,73.43,75.558,77.425,80.341,83.947,88.235,92.086,96.14,100.282,100,102.673,105.56,106.882
"30","23","  Federal","A823RD3",19.221,20.726,22.414,24.368,25.995,28.042,30.478,32.352,34.256,36.425,39.045,42.861,46.948,50.183,51.828,53.779,54.92,55.227,55.653,57.361,58.929,60.806,63.067,64.642,66.039,67.789,69.945,71.129,72.224,73.059,74.867,77.341,78.748,81.31,84.773,87.736,91.449,94.448,97.319,100.286,100,102.614,105.344,106.184
"31","24","    National defense","A824RD3",18.687,20.077,21.744,23.987,25.631,27.692,29.955,31.85,33.854,36.154,38.84,42.887,47.111,50.518,52.252,54.314,55.228,55.327,55.787,57.389,58.897,60.88,62.888,64.661,65.636,67.261,69.266,70.451,71.435,72.23,74.034,76.467,77.874,80.529,84.475,87.371,91.395,94.633,97.572,100.809,100,102.365,105.191,106.252
"32","25","    Nondefense","A825RD3",20.248,22.099,23.799,24.925,26.483,28.468,31.26,33.066,34.74,36.622,39.088,42.415,46.189,49.025,50.451,52.122,53.835,54.689,55.025,57.029,58.755,60.346,63.228,64.333,66.638,68.639,71.085,72.266,73.566,74.471,76.285,78.829,80.237,82.645,85.297,88.377,91.529,94.101,96.85,99.321,100,103.064,105.624,106.077
"33","26","  State and local","A829RD3",14.178,15.321,16.503,17.557,18.713,20.764,22.765,23.865,25.373,27.018,29.4,32.583,35.824,38.012,39.7,41.407,43.097,44.341,46.409,47.958,50.278,52.784,54.623,56.601,58.049,59.593,61.212,62.627,63.996,65.285,67.875,71.16,73.626,75.141,77.761,81.719,86.333,90.677,95.426,100.279,100,102.714,105.71,107.371
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross national product","A001RD3",21.622,22.763,23.921,24.96,26.322,28.682,31.341,33.067,35.12,37.588,40.692,44.357,48.503,51.511,53.55,55.451,57.225,58.385,59.89,61.99,64.408,66.803,69.038,70.611,72.289,73.826,75.373,76.752,78.065,78.915,80.047,81.865,83.74,85.028,86.729,89.107,91.968,94.796,97.315,99.229,100,101.321,103.322,105.126
