"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","5","    Final sales","A325RA3",5.517,4.993,4.645,3.99,3.947,4.398,4.771,5.512,5.801,5.617,6.026,6.562,7.558,8.263,9.785,10.403,10.26,10.313,11.038,10.974,11.151,11.679,12.203,12.596,13.297,13.301,14.391,14.816,15.224,14.642,15.603,16.208,16.457,17.368,18.199,19.487,20.843,22.466,22.882,23.896,24.7
"13","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RA3",2.712,2.021,1.599,1.02,1.16,1.516,1.862,2.407,2.633,2.069,2.488,3.07,4.259,5.07,7.275,7.995,6.912,6.039,6.408,6.486,6.282,7.433,8.042,7.863,8.738,8.081,9.657,9.641,9.838,8.691,10.111,10.504,10.454,11.76,12.518,13.735,15.289,17.158,16.947,17.765,18.608
"15","8","    Final sales","A326RA3",2.243,1.848,1.498,1.073,1.054,1.298,1.589,1.988,2.218,1.843,2.122,2.555,3.435,4.273,6.248,6.914,6.046,4.827,5.926,5.993,6.07,6.653,7.055,7.306,8.088,7.836,8.797,8.904,9.196,8.412,9.265,9.745,9.853,10.769,11.553,12.594,13.843,15.271,15.541,16.346,17.031
"16","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RA3",12.58,11.643,12.237,11.252,11.102,11.318,12.5,12.756,14.184,14.967,15.212,15.805,16.485,17.242,16.541,16.721,17.944,20.884,20.547,21.778,20.834,21.983,22.883,23.39,23.475,24.076,25.508,26.613,26.924,27.467,28.237,29.153,30.008,30.667,31.535,32.779,34.597,36.543,37.519,38.792,39.521
"18","11","    Final sales","A334RA3",13.307,12.59,12.4,11.35,11.254,12.144,12.617,14.118,14.477,14.974,15.598,16.191,17.047,16.969,16.791,17.16,18.73,21.639,21.494,21.15,21.535,21.868,22.609,23.28,23.71,24.305,25.554,26.671,27.292,27.305,28.361,29.167,29.715,30.46,31.265,32.947,34.356,36.221,36.923,38.293,39.275
"19","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RA3",6.899,6.844,6.757,6.433,6.302,6.72,6.916,7.367,7.606,7.686,8.094,8.49,9.847,13.765,18.303,20.785,20.719,14.021,13.132,13.267,13.734,14.091,16.16,17.644,18.393,18.208,18.565,19.068,19.757,20.206,21.054,21.586,22.374,23.627,24.478,25.616,26.924,28.549,30.186,31.804,32.89
"21","14","Structures","A755RA3",24.224,20.607,16.725,11.671,9.16,10.705,12.153,16.768,17.186,16.787,19.646,20.715,26.373,28.383,16.277,11.199,11.594,22.801,25.963,30.385,30.695,37.747,36.623,37.439,39.553,42.15,45.998,45.832,45.349,46.148,51.36,50.92,52.358,55.376,59.134,63.159,66.37,66.535,65.688,69.771,70.726
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.796,49.685,49.725
"24","16","  Gross domestic product excluding motor vehicle output","A962RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.083,31.347,32.376
"25","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20","  Research and development","Y694RA3",0.699,0.82,0.99,1.067,1.063,1.096,1.162,1.205,1.212,1.363,1.352,1.545,2.619,2.871,3.109,3.984,3.989,4.255,4.231,4.528,4.477,4.954,5.169,6.237,7.352,8.084,8.892,11.508,12.832,13.658,14.679,16.162,17.704,19.524,22.316,24.251,26.335,29.175,31.018,32.404,32.994
"29","21","  Gross domestic product excluding research and development","Y695RA3",7.53,6.885,6.439,5.603,5.532,6.131,6.678,7.545,7.931,7.663,8.278,9.005,10.576,12.581,14.734,15.889,15.734,13.885,13.733,14.299,14.221,15.458,16.71,17.362,18.15,18.023,19.299,19.632,20.01,19.834,21.2,21.708,22.226,23.562,24.528,25.922,27.591,29.378,30.154,31.638,32.642
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
