"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","  Nonfarm \2\","B358RG3",24.294,24.568,24.81,25.062,25.328,25.702,25.835,26.207,26.485,26.805,27.056,27.158,27.497,27.607,27.779,27.954,28.117,28.426,28.793,29.464,30.116,31.213,32.179,33.167,34.267,34.795,35.347,35.854,36.26,36.661,37.175,37.858,38.398,39.015,39.537,40.238,40.861,41.482,42.206,43.037,43.773,45.028,46,46.904,48.103,49.454,50.237,51.316,52.917,53.996,55.129,56.168,56.883,57.578,58.291,58.9,59.162,59.398,60.1,60.441,60.738,61.28,61.792,62.117,62.93,63.349,63.823,63.957,64.297,64.337,64.413,64.663,65.018,65.374,65.897,66.169,66.635,67.214,67.964,68.627,69.112,69.931,70.399,70.746,71.486,72.15,72.743,73.352,74.029,74.405,74.974,75.2,75.327,75.678,76.011,76.554,77.046,77.465,77.894,78.222,78.458,78.857,79.352,79.679,80.041,80.384,80.636,80.829,81.087,81.396,81.692,82.105,82.509,82.899,83.137,83.346,83.359,83.381,83.59,83.571,83.736,83.978,84.239,84.561,85.118,85.536,86.062,86.431,86.837,87.278,87.298,87.508,87.375,87.847,88.121,88.433,88.358,88.11,88.23,88.347,89.115,89.708,90.411,91.212,91.988,92.658,93.641,94.415,95.034,95.902,96.498,96.628,97.591,98.185,98.333,98.541,98.795,99.112,99.791,99.876,100.247,99.864,99.865,100.023,100.385,100.789,101.158,101.657,101.886,102.502,103.176,103.456,103.87,104.399,105.015,105.146,105.384,105.602
"12","4","  Farm","B359RG3",76.221,82.802,85.668,89.662,86.498,83.338,85.991,81.717,83.875,85.073,84.339,90.213,92.813,94.456,101.854,112.255,132.703,154.946,185.065,167.279,175.347,133.233,149.879,161.091,130.705,125.122,136.678,143.632,138.365,133.399,132.042,125.875,132.496,130.112,129.746,115.946,142.366,157.548,153.398,160.559,176.576,170.488,163.805,157.02,142.749,111.592,153.982,181.038,158.851,145.24,137.256,122.811,123.444,124.489,130.71,121.096,142.275,152.508,136.857,138.896,164.138,153.188,142.529,141.081,136.287,122.911,108.315,117.005,105.696,113.023,125.45,130.472,122.394,121.851,119.543,122.47,130.799,130.611,147.306,131.073,150.844,142.088,137.674,141.012,144.907,143.831,139.699,132.249,127.753,131.308,121.999,125.196,126.119,123.513,123.303,122.751,122.066,129.673,121.097,129.269,132.825,124.006,111.732,115.562,118.654,118.082,126.034,135.411,140.532,149.863,153.24,138.904,130.271,126.376,119.171,119.649,117.691,119.691,113.269,116.26,111.367,100.445,96.156,93.203,87.75,94.667,87.729,92.431,96.71,103.815,110.302,91.257,104.149,83.292,87.39,91.114,90.556,95.085,104.632,124.303,123.745,137.56,120.056,113.679,107.73,103.25,100.9,99.413,95.21,87.258,97.161,108.409,120.974,125.866,136.81,143.351,144.677,141.443,134.009,113.486,99.054,100.457,93.555,106.934,109.526,108.846,116.61,130.588,150.29,160.171,164.047,152.99,152.852,152.189,162.598,172.29,186.517,176.543
"13","5","Households and institutions","B193RG3",13.495,13.687,13.958,14.266,14.457,14.691,14.881,15.062,15.314,15.508,15.701,15.968,16.118,16.279,16.443,16.69,16.932,17.202,17.431,17.679,17.856,18.134,18.438,18.759,19.053,19.32,19.674,20.085,20.483,20.765,21.072,21.42,21.905,22.361,22.854,23.408,23.136,24.129,24.971,25.493,25.684,26.025,26.614,27.365,27.981,28.682,29.418,30.291,31.017,31.717,32.502,33.221,33.81,34.214,34.867,35.479,35.898,36.403,36.877,37.367,37.876,38.547,39.162,39.516,39.612,40.179,40.831,41.321,41.841,42.361,42.842,43.304,43.979,44.514,44.708,46.192,46.092,46.877,47.286,47.794,48.218,48.678,49.259,49.841,50.379,51.168,52.088,52.273,52.829,53.447,53.825,54.398,54.928,55.598,55.757,56.068,56.323,56.564,56.837,57.293,57.964,58.387,58.8,59.266,59.884,60.299,60.718,61.25,61.814,62.169,62.61,63.049,63.423,63.805,64.213,64.571,64.909,65.595,66.331,67.174,67.714,68.554,68.778,69.437,70.166,70.495,71.039,71.399,72.205,73.129,74.029,75.025,75.887,76.506,77.167,77.746,80.655,83.045,84.864,86.055,85.664,86.054,86.864,87.022,87.717,88.364,88.871,89.447,90.135,90.865,91.372,91.95,92.278,92.377,92.904,94.071,95.461,96.464,97.605,99.099,99.383,100.12,100.123,100.374,99.36,99.729,100.124,100.127,100.595,101.036,101.43,101.612,102.569,102.934,103.466,104.191,104.622,105.156
"14","6","  Households","B701RG3",16.082,16.218,16.402,16.588,16.795,16.979,17.164,17.374,17.581,17.788,17.993,18.125,18.315,18.446,18.637,18.808,19.087,19.288,19.479,19.707,19.855,20.032,20.305,20.614,21.02,21.304,21.632,22.077,22.526,22.844,23.172,23.532,24.293,24.807,25.264,25.685,26.081,26.504,26.942,27.518,27.966,28.484,29.233,30.132,30.657,31.272,32.076,33.076,33.859,34.701,35.689,36.689,37.444,37.954,38.733,39.452,39.936,40.524,40.942,41.341,41.9,42.585,43.178,43.477,43.184,43.861,44.606,45.208,45.883,46.632,47.098,47.69,48.24,48.953,49.254,49.988,50.716,51.137,51.684,52.23,52.785,53.36,54.045,54.785,55.377,56.245,57.292,57.558,58.02,58.341,58.565,59.179,59.757,60.094,60.332,60.703,61.24,61.675,61.931,62.35,62.889,63.371,63.746,64.213,64.858,65.483,66.093,66.769,67.301,67.76,68.207,68.63,69.15,69.639,70.235,70.75,71.409,72.099,72.78,73.477,73.976,74.476,74.878,75.256,75.993,76.453,77.002,77.678,78.457,79.336,80.216,81.279,82.221,82.871,83.415,83.895,84.366,84.493,84.862,85.475,85.884,86.46,86.872,87.246,87.855,88.291,88.724,89.234,89.926,91.002,92.155,93.221,94.045,94.549,94.982,95.779,96.382,96.925,97.709,98.559,99.706,100.094,100.301,99.899,99.669,99.531,99.579,99.77,100.216,100.686,101.164,101.625,102.139,102.67,103.11,103.604,104.175,104.821
"15","7","  Nonprofit institutions serving households \3\","B702RG3",10.235,10.5,10.881,11.346,11.517,11.816,12.013,12.158,12.468,12.647,12.826,13.271,13.37,13.572,13.7,14.048,14.245,14.608,14.889,15.165,15.38,15.794,16.142,16.482,16.63,16.878,17.269,17.638,17.973,18.21,18.492,18.827,18.962,19.345,19.883,20.609,19.461,21.213,22.596,23.051,22.904,23.015,23.4,23.962,24.703,25.522,26.176,26.889,27.544,28.065,28.591,28.954,29.336,29.608,30.108,30.588,30.928,31.332,31.872,32.473,32.921,33.573,34.212,34.632,35.209,35.637,36.172,36.524,36.851,37.092,37.591,37.895,38.72,39.041,39.108,41.475,40.399,41.602,41.847,42.307,42.577,42.901,43.358,43.757,44.23,44.922,45.691,45.785,46.436,47.371,47.911,48.43,48.9,49.922,49.994,50.234,50.181,50.209,50.498,50.986,51.791,52.144,52.595,53.055,53.635,53.811,54.01,54.375,54.968,55.202,55.631,56.084,56.288,56.546,56.74,56.918,56.897,57.571,58.357,59.35,59.929,61.143,61.164,62.138,62.854,63.029,63.562,63.553,64.38,65.349,66.272,67.186,67.954,68.532,69.314,69.981,75.773,81.057,84.835,86.843,85.373,85.529,86.902,86.763,87.568,88.513,89.122,89.793,90.475,90.705,90.288,90.181,89.83,89.384,90.04,91.706,94.174,95.816,97.459,99.864,98.936,100.155,99.879,101.029,98.935,100.001,100.872,100.617,101.113,101.513,101.794,101.601,103.151,103.298,103.952,104.983,105.228,105.616
"16","8","General government \4\","B765RG3",12.716,12.871,13.263,13.44,13.942,14.211,14.453,14.69,15.208,15.515,15.745,15.997,16.606,16.802,16.986,17.313,17.624,17.889,18.127,18.458,18.664,19.001,19.379,19.931,20.3,20.734,21.044,21.458,21.701,21.93,22.127,22.538,22.906,23.26,23.578,24.189,24.53,24.85,25.164,25.642,26.139,26.493,27.079,27.722,28.181,28.72,29.366,30.631,31.259,31.72,32.111,33.073,33.588,34.072,34.619,35.34,35.705,36.072,36.488,36.881,37.746,38.162,38.597,39.064,39.756,39.999,40.287,40.784,41.056,41.444,41.86,42.341,42.679,43.087,43.465,43.815,44.438,44.996,45.445,45.932,46.733,47.236,47.77,48.284,48.95,49.622,50.115,50.818,51.687,52.192,52.805,53.417,54.276,54.998,55.447,55.889,56.232,56.586,57.049,57.446,57.987,58.497,58.817,59.41,59.942,60.156,60.42,61.057,61.681,61.435,61.797,62.179,62.802,63.175,63.499,63.95,64.424,64.813,65.31,65.931,66.88,67.63,68.307,68.977,69.913,70.329,71.191,71.882,72.667,73.279,74.006,74.69,75.781,76.134,76.605,77.524,79.032,79.771,80.44,81.114,82.862,83.817,84.591,85.196,86.72,87.375,88.108,88.784,90.253,91.032,91.65,92.441,94.285,94.858,95.519,96.113,97.485,98.181,98.74,99.302,99.645,99.778,100.128,100.449,101.831,102.787,103.395,103.75,104.02,104.727,105.147,104.971,105.654,105.81,105.77,106.13,106.321,106.495
"17","9","  Federal","B766RG3",15.088,15.164,15.769,15.912,16.71,17.004,17.274,17.562,18.328,18.71,18.967,19.419,20.344,20.534,20.611,21.17,21.538,21.837,22.149,22.721,22.794,23.095,23.458,24.303,24.687,25.027,25.285,26.011,26.233,26.41,26.664,27.424,27.733,27.973,28.118,29.112,29.457,29.736,30.056,30.957,31.255,31.548,31.864,33.164,33.544,33.892,34.438,36.718,37.054,37.434,37.969,39.794,40.161,40.562,41.028,41.922,41.993,42.05,42.438,42.758,43.961,44.263,44.584,44.91,45.82,45.699,45.736,46.428,46.448,46.727,46.968,47.239,47.077,47.268,47.481,47.801,48.891,49.552,49.98,50.009,51.052,51.243,51.457,51.519,52.173,52.768,52.876,53.69,54.935,55.23,55.738,56.015,56.944,57.476,57.693,57.863,58.173,58.488,59.075,59.51,60.002,60.62,60.613,61.291,62.446,62.309,62.453,63.791,64.446,63.787,63.884,64.229,65.228,65.432,65.564,65.961,66.559,66.655,66.783,67.089,68.347,68.833,69.188,69.65,71.213,70.929,72.03,72.328,72.807,72.944,73.482,74.334,77.084,77.099,77.055,78.48,81.737,82.252,82.539,82.463,85.346,85.766,86.019,85.961,89.488,89.889,90.573,90.604,93.407,93.588,93.259,93.583,96.407,97.069,97.08,97.268,99.174,99.574,99.524,99.043,100.45,99.749,99.749,100.052,102.232,102.932,103.423,103.805,104.459,105.109,105.609,105.467,105.569,105.732,105.819,105.958,106.687,107.059
"18","10","  State and local","B767RG3",11.456,11.683,11.924,12.137,12.431,12.695,12.924,13.132,13.488,13.751,13.969,14.092,14.505,14.711,14.967,15.151,15.43,15.676,15.871,16.062,16.349,16.709,17.1,17.483,17.846,18.334,18.673,18.912,19.166,19.425,19.591,19.806,20.207,20.625,21.04,21.437,21.775,22.117,22.428,22.673,23.278,23.663,24.397,24.679,25.181,25.822,26.522,27.227,28.015,28.521,28.831,29.31,29.908,30.438,31.032,31.654,32.189,32.736,33.171,33.608,34.279,34.764,35.27,35.823,36.389,36.852,37.292,37.675,38.099,38.555,39.079,39.687,40.327,40.868,41.35,41.721,42.067,42.567,43.031,43.794,44.458,45.146,45.871,46.652,47.328,48.048,48.766,49.408,50.065,50.694,51.371,52.177,53.001,53.831,54.412,55.004,55.366,55.742,56.139,56.517,57.087,57.543,58.032,58.583,58.799,59.188,59.512,59.81,60.421,60.373,60.86,61.26,61.708,62.158,62.569,63.046,63.464,63.983,64.644,65.404,66.217,67.081,67.895,68.654,69.322,70.037,70.795,71.652,72.565,73.376,74.181,74.794,75.197,75.688,76.372,77.08,77.853,78.686,79.516,80.508,81.772,82.955,83.952,84.842,85.505,86.269,87.023,87.978,88.87,89.907,90.933,91.927,93.348,93.882,94.822,95.591,96.73,97.554,98.382,99.411,99.274,99.79,100.304,100.632,101.638,102.718,103.383,103.726,103.808,104.544,104.923,104.732,105.701,105.852,105.751,106.218,106.147,106.224
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",16.101,16.24,16.422,16.59,16.772,16.943,17.118,17.333,17.546,17.762,17.957,18.089,18.254,18.387,18.572,18.748,19.019,19.218,19.419,19.636,19.773,19.894,20.107,20.435,20.863,21.16,21.464,21.851,22.201,22.513,22.942,23.465,23.965,24.482,24.949,25.385,25.765,26.145,26.537,27.074,27.468,27.963,28.704,29.619,30.179,30.794,31.622,32.616,33.356,34.147,35.107,36.099,36.84,37.382,38.16,38.883,39.461,39.987,40.385,40.763,41.323,42.019,42.625,43.029,43.013,43.747,44.51,45.194,45.842,46.674,47.156,47.741,48.287,48.911,49.276,49.984,50.711,51.101,51.645,52.176,52.724,53.292,53.964,54.703,55.305,56.144,57.113,57.448,57.913,58.282,58.585,59.214,59.874,60.26,60.517,60.88,61.364,61.756,62.001,62.425,62.959,63.422,63.785,64.239,64.787,65.348,65.886,66.484,66.987,67.422,67.868,68.273,68.785,69.269,69.838,70.335,70.924,71.556,72.219,72.883,73.371,73.873,74.309,74.761,75.515,76.007,76.606,77.301,78.059,78.949,79.836,80.885,81.822,82.468,83.004,83.482,83.95,84.132,84.523,85.088,85.511,86.099,86.539,86.929,87.535,87.992,88.457,88.977,89.659,90.695,91.828,92.875,93.74,94.32,94.837,95.685,96.327,96.929,97.766,98.648,99.718,100.126,100.275,99.881,99.69,99.601,99.664,99.838,100.285,100.742,101.285,101.835,102.404,102.972,103.485,104.067,104.672,105.332
