"","Table 1#1#6D# Real Gross Domestic Product, Chained (1992) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"11","3","  Goods","DGDSDX1",1111.7,1111.5,1117.4,1139.9,1145.8,1179.6,1205.8,1234.2,1250.9,1278.8,1279.6,1299.6,1319.6,1331.7,1367.2,1359.1,1379.7,1404.2,1447.7,1446.8,1417.2,1444.4,1466.1,1453,1487.3,1495,1494.7,1518.4,1520.5,1529.1,1551.1,1546,1566.7,1549.9,1546.3,1521.9,1508.8,1517.3,1526.4,1509.5,1543.7,1551.6,1568.5,1589.3,1595.4,1621,1637.8,1658.6,1686.7,1701.7,1717.5,1750.4,1741.7,1753.4,1774.6,1791.4,1805.7,1841,1854.1,1876.5,1901.8,1900.4,1950.1,1976.7,1991.6,2043.3,2073.9,2136.8,2163,2213.8,2240,2278.4,2312.6,2324.7,2349,2369.3,2374.9,2381.2,2398.2,2484.7,2478.4,2488.3,2519.7,2526.8
"12","4","    Durable goods","DDURDX1",288.8,289.8,292.2,305.5,308.6,331.1,343.8,360.8,374.4,383.1,383.2,395.6,409.4,414.2,440.8,425.6,434.3,449.6,488,480.2,451.8,470.3,489.7,476.5,499,499.2,492.7,505.5,503.2,509.9,521.5,505.6,527,509.5,504.4,490.5,477,479.4,486.7,478.8,497.6,501.1,511.8,521.9,527,544.1,550.2,563.4,576.8,583,589.2,609.9,597.2,603.3,620.3,631.1,637.9,658.2,662.9,675.9,694.1,691.9,722.8,741.2,747.2,785,807.2,854.9,856.8,897.7,919.3,930.3,982.2,964,980.4,987.2,1003.4,1002.6,1014.1,1098.6,1085.1,1095.7,1127.9,1112.3
"13","5","    Nondurable goods","DNDGDX1",831.5,830,833.6,842.1,844.9,854.8,867.8,878.4,880.6,899.9,900.5,907.5,913,920.1,927.7,936,947.8,956.3,958.3,966.1,967.3,974.7,975.5,976.7,987.2,995.1,1001.9,1012.4,1017,1018.5,1028.7,1040.4,1039,1040.2,1041.9,1031.4,1031.9,1038,1039.7,1030.8,1046.1,1050.5,1056.8,1067.4,1068.4,1076.9,1087.6,1095.1,1109.8,1118.6,1128.2,1140.2,1144.3,1149.9,1154,1160,1167.5,1182.5,1190.9,1200.5,1207.8,1208.5,1227.9,1236.6,1245.5,1260.5,1269.6,1286.8,1310.5,1322.7,1328.8,1355.8,1344,1370.7,1379.7,1393,1384.7,1391.2,1397.6,1409.4,1414.7,1415.4,1418.9,1437.3
"14","6","  Services","DSERDX1",1795.2,1807.3,1824.5,1855.1,1879.2,1903,1929.8,1949.2,1958.5,1974.8,2000.4,2023.4,2060.1,2079.8,2108.6,2126.8,2134.8,2148.7,2168.4,2193.1,2225.3,2248.2,2269,2291,2322.8,2343.2,2376.9,2397.2,2413.4,2423.3,2440.2,2463.5,2476.9,2507.2,2527.5,2521.5,2520.9,2546.3,2556.9,2572.9,2615.3,2636,2664.3,2693.9,2704,2717.2,2748.3,2766.5,2789.4,2809.2,2828.5,2845.2,2865.5,2894.8,2916.5,2932.9,2962.3,2979.8,2995.9,3012.2,3039,3061.9,3098.9,3132.5,3169.5,3211,3249.9,3269.6,3300.5,3336.9,3377.1,3418,3470.7,3510.9,3544.8,3576.6,3591.6,3601.3,3606,3617.5,3640.8,3662.8,3677.8,3695.8
"15","7","Gross private domestic investment","A006DX1",696.3,695.5,688.9,635.6,657.7,716.1,761,835,915.7,945.4,965.9,953.3,927.2,943,936.6,971.1,970.8,953.9,928.2,931,956.1,956.6,956.7,1021.9,972.9,996.1,1001.6,1016.9,1051.3,1041.2,1032,1024.4,1034.5,1034.8,1014.6,958.1,926.2,926.3,944.7,978.2,960.3,1014.7,1022.9,1054.2,1078.9,1085.1,1077.8,1134.3,1178,1235.8,1215.4,1265.4,1279.1,1252.5,1245.1,1276.1,1295.6,1358.4,1421,1420.5,1451.2,1531.3,1558.7,1580.8,1651.2,1640,1683.8,1731.3,1780.6,1782.2,1826.8,1880.5,1863.5,1974.9,1950.1,1951.3,1861.4,1854.8,1821.8,1732.4,1794.3,1812.3,1812,1808.8
"16","8","  Fixed investment","A007DX1",728.1,704.9,688,688.4,704,730.6,771.7,814.7,840.3,873.1,890.4,906.3,914.5,926.2,922.5,940,942.7,942.9,938.7,946,929.6,943.9,960.2,959.8,960.4,979.2,983.7,995.4,1004.2,1005.5,1023.2,1010,1021.8,1001.7,993.3,967.9,941.2,944,945.2,949.3,959.8,991.5,1003,1032.4,1040,1058.7,1075.4,1118.4,1132.2,1154.9,1164.3,1192.3,1217.7,1217,1234.2,1258.6,1290.3,1330.7,1360.9,1382.4,1407.8,1434.9,1486.2,1497.6,1541,1592.5,1622.2,1666.7,1695.5,1735.5,1775.2,1783.4,1833,1874.1,1881.8,1885.8,1876.1,1851.3,1836.3,1794.1,1783.6,1779.1,1773.1,1767.6
"17","9","    Nonresidential","A008DX1",573.5,555.2,539.1,529.7,521.9,529.3,551.6,585,603.5,631.6,651,666.3,673.8,683.4,675.7,687.9,681.1,667.3,659.6,666,650.2,663.4,681.8,680.9,686.4,701.7,706.1,716,727.3,737.3,756.1,748.6,758.1,748.2,753.4,741.7,726.8,723.2,717,716.6,713.9,737.1,748.5,768.2,775.8,790.9,797.3,826,835.3,848.1,862.4,896,929.3,938.3,944.6,963.3,987.2,1013.9,1045.8,1072.1,1096.5,1119.5,1169.3,1177.2,1214.6,1254.7,1273.6,1310.2,1338.9,1374.1,1412.6,1417.8,1468.3,1514.7,1530.7,1534.7,1522.3,1487.8,1468.3,1425.8,1396.8,1378.3,1370.2,1353.7
"18","10","      Structures","B009DX1",223.3,216,204.1,199.5,191.3,182.3,186.5,191.7,202.6,212.8,219.5,221.8,231.2,231,226.3,229.1,223.3,202.3,195.1,196.3,191.7,193.9,202,205.9,198.1,202.2,199.5,199,202.2,199.9,206.9,205.6,210.1,209.1,208.3,199,194.7,189.4,177.1,173.4,171.2,171.2,172.8,175.1,172.8,169.9,170.3,175.5,170,177,175.8,178.2,183.2,187.6,188.2,186.6,190.1,194.2,196.6,207.1,208.3,206.3,215,216.2,214.2,225.6,225,224.3,223.7,221.4,221.3,223.6,228.3,237.9,246.2,247.1,240.1,241.4,243.4,220.1,208.4,197,187.6,185
"19","11","      Equipment","Y033DX1",269.4,257.7,252.5,247.7,246,258.5,273.1,297.1,302.3,317.2,327.1,336.7,333.8,341.1,336.3,342.6,339.2,343.4,341.4,345.3,333.4,343.1,352.2,345.6,356.4,365.3,369.2,373.9,378.4,386.6,394.1,383.4,385.1,373.4,378.8,373.2,359.7,357.4,362.9,361.2,358.3,379,387.6,401.9,409.5,425.9,430.8,454.5,467.4,470.2,482.4,511.5,537.6,536.8,537.7,552.9,566.8,583.4,606.8,614.2,626.2,647,681.7,680.1,715.7,736.5,747.7,780.9,803.9,832.5,860.7,855.1,893.7,926.8,930,928.2,921.1,882.9,859.9,856.5,841.9,832.4,834.3,821.3
"20","12","      Intellectual property products","Y001DX1",85.3,86.1,86.8,86.8,88.4,91.3,94.5,98.1,101.2,104.3,107.2,110.4,112,114.3,115.9,118.9,121,122.9,124.1,125.4,126.2,127.2,128.7,130.7,132.6,135,138,143.5,147.2,151.1,155.4,159.9,163.1,166,166.5,169.8,172.5,176.4,177.1,182,184.4,186.9,188.1,191.3,193.6,195.4,196.6,196.6,199,201.6,205.3,208,210.8,215.8,220.3,226.2,233,239.2,246.1,253.3,264.7,270.4,277.7,285.4,292.5,299.6,308.7,316.2,324.7,337,350.1,356.5,366.8,372,373.9,377.8,380.6,376.2,373.1,367.4,367.1,372.4,376.2,374.3
"21","13","    Residential","A011DX1",147.4,142.7,142.5,153.8,180.2,201.2,220.9,230.2,237.1,241.3,238.4,238.7,239.2,241.3,245.8,251.1,261.3,276.3,280.1,280.9,280.4,281.3,279,279.5,274.5,277.9,278.1,279.9,277.1,268.5,267.2,261.5,263.9,253.5,239.8,226,214.1,220.7,228.1,232.6,245.9,254.4,254.5,264.2,264.4,267.9,277.9,292.2,296.5,306.1,301.6,297,290.2,281.3,291.7,297.4,305.1,318.4,317.7,314.1,315.7,320.1,323.2,326.7,333.4,345,355.1,363.4,364.8,370.5,373.3,376,377.9,375.9,370.1,370.5,372.1,377.8,380.2,377.7,390.1,399.8,401,408.2
"22","14","  Change in private inventories","A014DX1",-25.3,-5,5.5,-48.2,-44.9,-7.1,-2.4,25.5,81.3,76.4,79.8,50.3,15.5,22.8,19.1,35.2,31.2,15.2,-8.7,-7.4,33.7,18.9,-1.6,70.9,15.6,21.6,18,24.7,48.9,37.4,10.3,15,13.8,34.5,22.6,-10.6,-16.8,-19.9,0.8,29.2,2.2,21.3,19.5,22.4,38.6,26,1.7,14.5,45.9,82.8,51.7,72.7,60.8,34.7,7.9,12.7,1.7,24.9,55,32,43.2,94.8,67.9,78.9,107.4,41.7,56.5,59.6,81.9,38,43.2,90.2,19.8,91.3,57.7,53.6,-31.8,-10.7,-31,-81.8,-3.2,22.2,27.2,29.5
"23","15","Net exports of goods and services","A019DX1",-12.6,-5.5,-34.2,-34.8,-37.5,-61.8,-85,-97.7,-123.5,-133.9,-138.5,-145.5,-134.2,-157.7,-157.8,-167,-156,-173.6,-180.1,-170.9,-167.4,-165.6,-159.6,-157.6,-131.7,-112.8,-117.2,-120.8,-109.3,-90.8,-84.7,-87.8,-84.4,-76.6,-69.8,-48.1,-37.6,-27.7,-31.1,-31.6,-25.2,-35.6,-32.7,-45.6,-59,-65.9,-77,-85.3,-96.3,-102.3,-98.7,-105.2,-109.5,-107.1,-76.9,-76.6,-95.7,-102.9,-126.6,-93.2,-118.3,-116.4,-133.7,-158.9,-196.7,-234.3,-254.8,-258.4,-294.3,-324.1,-346.3,-349.5,-390.5,-402,-427.7,-440.4,-427.6,-419.9,-438.2,-449.6,-469.8,-490.7,-507.4,-546.5
"24","16","  Exports","A020DX1",311.6,313.4,299.6,285.8,290.5,291.3,295.7,301.7,308,315.6,322.6,329.2,330,329.3,324.5,334.2,344.7,348.5,356.5,369.8,370,385.2,401.9,416.9,440.1,452.4,461.3,475.4,489.6,511,516.2,524,546.8,553.6,557.8,562.7,566.2,586.8,600.7,614.3,625.4,625.7,638.9,642.1,643.6,651.3,649.5,670.5,677.1,699.9,726.1,742.8,757.1,767.7,801,812.4,822.2,835.6,842.4,894.9,911.9,948.4,970.3,968.9,973.4,962.7,958.3,994,989.7,1000.2,1024.8,1052.7,1069.5,1098.5,1124.4,1115.5,1101.1,1065.1,1010.3,982.4,998,1025.7,1033.5,1024.2
"25","17","    Goods","A253DX1",219.7,222.2,211.1,199.2,202.2,203.5,207,215,214,219,226.4,233.7,231.7,231,228.2,235,235.6,240.1,243.9,253.9,251.2,261.8,277.5,291,308.7,317.3,322.2,337.1,342.9,362.5,363.7,369.3,386,389.4,391.3,392.7,403.3,412.5,422.3,428.9,439,440.4,453.4,459,454.5,460.3,457,478.5,478.6,495.7,521,534.9,547.4,556.6,577.9,585.9,598.2,604.6,615.8,649.2,671.7,702.9,723.5,724.5,726.4,709.3,710.6,739.2,740.3,750.6,770,794.8,810.5,835.1,865.8,854,841.3,807.7,763.1,746.1,744.6,770.6,775.6,757.7
"26","18","    Services","A646DX1",91.8,90.7,88.4,87.2,88.9,88.2,89,85.9,94.7,97.4,96.4,95,98.4,98.4,96.4,99.3,110,109.1,113.5,116.8,120.1,124.7,125.2,126.4,131.6,135.4,139.6,137.9,147,148.1,152.5,154.7,160.7,164.3,166.7,170.3,162.7,174.4,178.6,185.5,186.4,185.3,185.5,183.1,189.1,191,192.5,192.1,198.5,204.2,205.3,208.1,210,211.5,223.3,226.8,224.5,231.3,227.2,246,241.4,247,248.9,246.7,249.1,254.4,249.3,256.8,251.9,252.5,257.9,261.6,263.1,268.1,265.1,267.2,265.1,261.6,250.6,240.3,255.3,258,260.7,267.3
"27","19","  Imports","A021DX1",324.2,318.9,333.7,320.6,328,353.2,380.7,399.3,431.4,449.5,461.2,474.7,464.2,487,482.3,501.2,500.7,522.1,536.5,540.7,537.4,550.8,561.6,574.5,571.8,565.2,578.5,596.2,598.9,601.8,601,611.8,631.2,630.2,627.6,610.8,603.9,614.6,631.9,645.8,650.5,661.2,671.7,687.7,702.6,717.1,726.6,755.8,773.4,802.2,824.8,848,866.6,874.8,877.8,889,917.9,938.5,968.9,988,1030.2,1064.8,1104,1127.9,1170.1,1197,1213.1,1252.5,1284,1324.3,1371.1,1402.2,1459.9,1500.5,1552.1,1555.9,1528.7,1485,1448.5,1432,1467.8,1516.5,1540.9,1570.7
"28","20","    Goods","A255DX1",258.4,251.2,265.6,251.6,259.1,280.7,304.7,321.7,345.4,359.5,367,376.5,364.7,386.2,384.9,403.1,400,425.3,434.3,437.1,430.1,438.8,449.3,457.2,455.8,451.3,462.5,477.8,479.2,481.2,478.2,488.2,502.7,500.8,497.2,482.3,479.3,487.3,506.6,518.7,526.1,539.1,550.1,564.3,579.6,592.8,600.3,625.2,640.6,668.9,692.1,716.5,730.3,740.4,741.9,750.3,777,796.5,823.5,843.6,879.9,913.4,946.6,967.8,1003.5,1027,1038.9,1077.5,1110.1,1148.5,1193.2,1222.1,1270.5,1306.8,1351.8,1356.6,1332,1280.5,1256.2,1245.9,1269.4,1323.2,1346.9,1366.1
"29","21","    Services","B656DX1",65.9,68.7,68.3,70.2,69.5,72.8,75.8,76.9,85.9,90,94.5,98.7,100.8,101.3,97.5,97.6,100.7,96.1,101.8,103.1,107.2,112.2,112.2,117.4,116.1,114,116,118.2,119.6,120.4,123,123.8,128.8,129.7,130.9,129.1,124.8,127.6,125.4,127.2,124.4,122.1,121.6,123.4,123.1,124.5,126.4,130.7,132.9,133.5,133,132,136.8,135,136.4,139.2,141.5,142.7,146.2,145.7,151.6,153.3,159.3,162,168.6,172,176,177.6,177.6,180.2,183.2,185.8,195.1,199.7,206.5,205.7,202.8,208.3,197.2,191.7,202.5,199.9,201.2,210.6
"30","22","Government consumption expenditures and gross investment","A822DX1",974.3,980.7,986.8,1002.6,1012.2,1022.4,1039.2,1021.8,1033.8,1056.9,1065.7,1086,1099.1,1124.6,1151.1,1154.9,1164.5,1188.2,1215.3,1208.2,1215.9,1226.9,1229.8,1244.7,1236.3,1240.7,1241.6,1264.9,1259.2,1279.8,1290.5,1297.4,1317.8,1321,1320.3,1332.4,1338.9,1343.6,1338.7,1333.6,1343.9,1342.2,1349.1,1346.2,1331,1332.4,1335.3,1338.2,1321.6,1329.3,1351.7,1339.5,1342.2,1349.3,1345.6,1333.5,1336.3,1357.7,1359.1,1369.1,1368.7,1382.9,1385.2,1387.2,1379.2,1407.2,1420,1433,1438.2,1446.2,1463.2,1484.9,1472.7,1490.7,1487.6,1492.2,1514.4,1544.2,1543.1,1565.6,1588.7,1604,1616.4,1627.9
"31","23","  Federal","A823DX1",436.3,440.6,446.4,457.5,464.7,475.2,486.7,470.2,475.3,490.4,490.1,504,509.8,524.4,540.8,540.2,539.1,556.1,576.6,567.9,572.1,581.4,582.1,588.4,573.4,569.8,567.7,582.7,571.8,584.7,588.7,586.4,595.9,597.7,592,595.8,601.2,602.8,593.6,583.4,584.3,583.7,590.4,588.1,570.4,565.7,564.6,563.8,544.2,543.1,556.2,541,537.4,538.2,533.8,517.6,521.9,531.5,525.5,522.9,514,524.9,523.7,522.3,507.5,520,516.8,522.8,517.9,520.5,529.7,540.1,520.1,538.3,529.4,526.5,538,548.6,553.2,557.6,571.4,584.8,594.1,604.8
"32","24","    National defense","A824DX1",300.1,308.6,313.6,320.6,323.4,332.6,335.1,342.1,344,349.1,348.7,361.4,364.5,377,391.6,393.5,391.4,406.9,423.2,410.8,417.9,429.1,435.1,433.1,428,426.9,423.9,432.2,419.1,428.4,432,427.3,430.7,430.1,422.1,428.3,432,432,422.2,408.1,403.9,403.4,408.9,402.6,387.4,384,383,382.8,363,364.9,376.7,357.9,354.5,356.3,351.2,342.3,343.2,350.7,345.8,342.7,330.1,339.2,336.8,338.7,319.3,330.7,334.5,332.1,325.6,329,337.9,344.5,323.9,338,331.5,331.5,336,341.7,345.4,347.8,355.5,363.9,370.1,377.7
"33","25","    Nondefense","A825DX1",136.8,132.4,133.2,137.4,141.9,143.1,152.3,128.2,131.4,141.7,141.7,142.9,145.6,147.6,149.4,146.9,147.8,149.3,153.5,157.2,154.4,152.5,147.1,155.3,145.6,143,143.9,150.6,152.8,156.3,156.9,159.2,165.3,167.7,170,167.6,169.3,170.9,171.4,175.3,180.4,180.3,181.4,185.4,183,181.7,181.5,181,181,178,179.4,182.8,182.6,181.6,182.3,175,178.3,180.5,179.4,179.9,183.3,185.2,186.3,183.1,187.4,188.6,181.8,190,191.4,190.7,191.1,194.9,195.2,199.4,197,194.2,201.1,205.9,206.9,208.8,214.8,219.8,222.9,226.1
"34","26","  State and local","A829DX1",540.2,542.1,542.1,546.1,548.1,547,551.7,552,558.9,566.4,576,581.8,589.1,599.8,609.3,613.9,625.2,631.3,637.2,639.3,642.6,644.2,646.4,655.1,662.1,670.4,673.6,681.7,687.2,694.8,701.5,710.9,721.8,723.2,728.1,736.5,737.6,740.7,745.1,750.2,759.7,758.5,758.7,758.2,760.6,766.7,770.6,774.3,777.4,786.2,795.4,798.4,804.7,811,811.7,815.8,814.3,826,833.4,845.9,854.3,857.8,861.2,864.6,871.2,886.7,902.5,909.6,919.5,924.9,932.8,944.1,951.4,951.6,957.1,964.3,975.2,994.4,989,1006.9,1016.5,1018.7,1022.2,1023.3
"35","27","Residual","A960DX1",-10.6,-6.5,-18.6,-28.9,-27.5,-28,-27.6,-14.8,-10.7,-6.4,-5.9,-4.8,-6.9,-11.5,-10.8,-10.5,-9.1,-11.7,-8,-14.9,-16.8,-13.6,-7.3,-11.1,-5.3,-4.5,-1.9,-3.1,0.2,2.4,2.6,1.1,1.9,0.6,-0.1,1,1.5,1.6,-1.8,-0.2,-2,1.8,0.6,-0.7,0.2,0.2,1.2,1.2,-0.7,-2,-1.3,-2.5,-3.7,-2.9,-0.7,-0.9,-1.6,-4.2,-4.8,-5.5,-12.3,-15.1,-16,-14.5,-17.6,-9,-11.4,-22,-23.9,-21.2,-25,-27.2,-26.7,-35,-29.4,-23.9,-12.3,-4.4,8.6,-2.3,0.1,3.7,-1.2,18.4
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Chained (1992) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","index rebased with the reference year 1992 equal to 100 and of the 1992 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
