"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","Exports of services \1\","A646RC1",13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,81,95,106.4,118.8,134.9,155.2,171.3,185.1,194.8,210.8,229.5,249.2,266.1,272.1,277.7,297.2,285.1,292.1,302.6,350.3,385.1,430.4,500.4,545.5,519.1,565.1,627.6,659.9
"24","17","  Transfers under U.S. military agency sales contracts","B267RC1",4.1,4.2,5.5,5.9,5.4,5.2,6.3,5.8,7.6,8.2,7,9,10.7,12.6,12.5,10,8.7,8.5,11.1,9.3,8.5,9.9,10.7,11.9,12.7,12.2,13.9,15.7,16.1,16.8,4.5,5.2,4.4,4,5.1,7.7,10.6,14.4,15.6,13.1,14.5,13,17.3,17.1
"25","18","  Travel","B493RC1",2,2.3,2.5,2.8,3.4,4,4.7,5.7,6.2,7.2,8.4,10.6,12.9,12.4,10.9,17.2,17.8,20.4,23.6,29.4,36.2,43,48.4,54.7,57.9,58.4,63.4,69.8,73.4,71.3,75.2,82.9,72.6,67.4,65.2,75.5,82.2,86.2,97.4,110.4,94.2,103.5,115.6,126.2
"26","19","  Passenger fares","B533RC1",0.5,0.5,0.6,0.7,1,1.1,1,1.2,1.4,1.6,2.2,2.6,3.1,3.2,3.6,4.1,4.4,5.6,7,9,10.7,15.3,15.9,16.6,16.5,17,18.9,20.4,20.9,20.1,19.4,20.2,17.2,16.3,15.1,17.9,20.6,21.6,25.2,31,26.1,31,36.8,39.4
"27","20","  Other transportation","B683RC1",2.7,3.1,3.3,3.6,4.5,5.7,5.8,6.7,7.1,8.1,10,11.6,12.6,12.3,12.6,13.8,14.7,15.4,17,19.3,20.5,22,22.6,21.5,22,23.8,26.1,26.1,27,25.6,23.8,25.6,24.5,25.6,26.4,29.8,32,35.8,40.6,44,36.1,40.7,43.1,43.9
"28","21","  Royalties and license fees","B684RC1",2,2.3,2.5,2.8,3.2,3.9,4.4,4.5,5,6,6.3,7.2,7.4,5.6,5.8,6.2,6.7,8.1,10.2,12.1,13.8,16.6,17.8,20.8,21.7,26.7,30.3,32.5,33.2,35.6,47.7,51.8,49.5,53.9,56.8,67.1,74.4,83.5,97.8,102.1,98.4,107.5,120.7,124.2
"29","22","  Other private services","B720RC1",0.9,1,1.3,1.5,1.7,3,3.7,4.5,4.9,6.2,7.3,8.6,13.2,16.9,17.6,18.6,19.4,28.3,29.6,31.4,37,40.6,48.1,50.3,53.5,60.8,65,73.3,83.9,91.8,96.8,100.8,106.9,115.1,123.8,141.5,153.7,176.8,211.6,232,237.3,256,279.6,294.5
"30","23","  Other","B980RC1",1.4,1.6,1.7,1.8,2.2,2.8,3.2,3.2,3.6,4.2,5,5.4,6.2,5.2,6.6,6.9,9.3,8.6,7.9,8.2,8.2,7.8,7.9,9.2,10.6,11.9,11.9,11.4,11.5,10.9,10.3,10.7,9.9,9.9,10.2,10.8,11.5,12,12.2,12.9,12.5,13.4,14.5,14.7
"31","24","    Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1250.6,1474.4,1397.8,1429.7,1544.3,1797.9,2026.1,2240.9,2375.5,2556.4,1976,2362,2669.9,2743.1
"32","25","Imports of goods \1\","A255RC1",36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1050.3,1250.4,1175.5,1198.1,1294.5,1508.9,1716.2,1896.5,2000.3,2146.4,1587.3,1951.2,2234.6,2295.4
"33","26","  Foods, feeds, and beverages","B647RC1",5.2,6.1,6.4,7.3,9.1,10.6,9.6,11.5,14,15.8,18,18.6,18.6,17.5,18.8,21.9,21.8,24.4,24.8,24.9,24.9,26.4,26.2,27.6,27.9,31,33.2,35.7,39.7,41.3,44.1,46.5,47.2,50.3,56.5,63,69.1,76.1,83,90.4,82.9,92.5,108.3,111.1
"34","27","  Industrial supplies and materials, except petroleum and products","A649RC1",11.7,12.2,13.6,16,19.2,27,23.6,28.5,33.4,39.3,45,47.3,52,45.4,51.1,62.6,59.2,62.5,66.1,76.6,78.8,78.2,75.7,82.4,88.7,105,119.6,124.6,134.7,142.2,149.8,175.1,167.4,161.4,177.3,228.2,268,293.5,297.9,318.7,196.6,249.4,293,290
"35","28","    Durable goods","A820RC1",7.1,7.5,8.3,9.9,12.1,17.1,14.1,16.3,19.9,23.6,26.7,26.5,28.4,22.3,26.3,32.8,30.5,33.4,34,39.6,40.2,38.5,35.6,39.2,43.1,53.5,59.7,63,69.1,76,80.1,90.1,82,83.2,86.1,121.5,137.1,164.4,159.9,161.5,95.5,125.2,149.8,151.4
"36","29","    Nondurable goods","B696RC1",4.5,4.8,5.3,6.1,7,9.9,9.5,12.2,13.5,15.7,18.3,20.8,23.7,23.1,24.8,29.8,28.7,29.1,32.1,37,38.6,39.7,40,43.2,45.6,51.5,59.9,61.6,65.6,66.3,69.7,85,85.4,78.2,91.3,106.7,130.9,129.2,138,157.2,101.1,124.3,143.2,138.6
"37","30","  Petroleum and products","B648RC1",2.6,2.9,3.7,4.7,8.4,26.6,27,34.6,45,42.6,60.4,79.5,78.4,62,55.1,58.1,51.4,34.3,42.9,39.6,50.9,62.3,51.7,51.6,51.5,51.3,56,72.7,71.8,50.9,72.1,126.1,109.4,109.3,140.4,189.9,263.2,316.7,346.7,476.1,267.7,353.6,462.1,433.9
"38","31","  Capital goods, except automotive","A650RC1",3.4,4,4.3,5.9,8.3,9.8,10.2,12.3,14,19.3,24.6,31.6,37.1,38.4,43.7,60.4,61.3,72,85.1,102.2,112.3,116.4,121.1,134.8,153.2,185,222.1,228.4,253.6,269.8,296.1,347.7,299.2,284.9,297.6,346.1,382.8,422.6,449.1,458.7,374.1,450.4,513.5,551.7
"39","32","    Civilian aircraft, engines, and parts","B932RC1",0.2,0.2,0.2,0.5,0.6,0.6,0.5,0.4,0.6,0.8,1.4,3.1,3.9,3.5,3.2,3.7,5.3,6.1,6.6,7.9,9.4,10.5,11.7,12.6,11.3,11.3,10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.5,24.1,24.3,25.8,28.5,34.5,35.5,30.7,31.3,35.6,40.1
"40","33","    Computers, peripherals, and parts","B852RC1",0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.7,1,1.2,1.5,1.9,2.7,5.5,8.3,8.4,11,14.8,18.4,21.5,22.9,26,31.7,38,46.2,56.3,61.5,70.2,72.5,81.5,89.8,74.1,75.2,76.6,88.8,93.5,101.6,105.5,101.2,94.2,117.3,119.7,122.2
"41","34","    Other","B853RC1",3.1,3.6,3.9,5.2,7.3,8.8,9.2,11.3,12.7,17.5,22,27,31.3,32.2,35,48.4,47.6,54.9,63.7,76,81.4,83,83.4,90.5,103.8,127.6,155.2,154.2,166.8,175.5,190.8,231.5,193.7,184.2,196.9,233,263.5,292.5,309.2,322,249.2,301.9,358.2,389.3
"42","35","  Automotive vehicles, engines, and parts","B651RC1",5.1,5.7,7.6,9,10.7,12.4,12.1,16.8,19.4,25,26.6,28.3,31,34.3,43,56.5,64.9,78.1,85.2,87.9,87.4,88.2,85.5,91.5,102.1,118.1,123.7,128.7,139.4,148.6,178.2,195,188.7,202.8,209.2,227.3,238.7,256,258.5,233.2,159.2,225.6,255.2,298.5
"43","36","  Consumer goods, except automotive","A652RC1",6.5,7.4,8.4,11.1,12.9,14.4,13.2,17.2,21.8,29.4,31.3,34.3,38.4,39.7,47.3,61.1,66.3,79.4,88.8,96.4,103.6,105,107.7,122.4,133.7,145.9,159.7,172.5,195.2,218.5,243.9,284.7,287.1,311.4,338.6,378.3,412.9,447.9,480,486.7,431.4,486.5,517.5,519.6
"44","37","    Durable goods","B697RC1",4,4.4,5,6.9,8.1,9.2,7.7,9.6,13.4,18,19.1,21.1,23.4,23.4,27.4,34.9,38.3,45.6,49,52.8,57,55.7,56.9,63.9,70.2,77.2,83.7,90.9,100.8,113.6,128.1,152,149,163.8,175.2,202.3,224.8,244.9,264.5,267.4,226.6,260.6,273.5,278
"45","38","    Nondurable goods","B698RC1",2.5,3,3.3,4.2,4.8,5.2,5.5,7.6,8.4,11.3,12.2,13.2,15,16.2,19.8,26.2,28,33.7,39.8,43.6,46.6,49.3,50.8,58.5,63.5,68.7,76,81.6,94.4,104.9,115.8,132.7,138.1,147.7,163.3,175.9,188.1,203,215.5,219.4,204.8,226,244,241.6
"46","39","  Other","A653RC1",2.3,2.5,2.7,3,3.3,3.7,3.3,3.8,5.1,6,6.8,9.1,12.3,13.3,13.6,15.8,18.3,19.5,21.8,24.3,26.9,31.7,32.9,34.6,35.8,40.6,43.1,44.7,51.2,59.4,66,75.2,76.5,78,74.9,76.1,81.5,83.7,85.1,82.5,75.5,93.1,85.1,90.6
"47","40","Imports of services \1\","B656RC1",13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,200.3,224,222.3,231.6,249.8,289,309.9,344.5,375.3,410,388.7,410.8,435.3,447.7
"48","41","  Direct defense expenditures","B752RC1",4.9,4.9,4.8,4.8,4.6,5,4.8,4.9,5.8,7.4,8.3,10.9,11.6,12.5,13.1,12.5,13.1,13.7,15,15.6,15.3,17.5,16.4,13.8,12.1,10.2,10,11.1,11.7,12.2,12.5,12.7,13.5,17.4,23,26.1,27.7,27.3,27.9,28.3,30.5,28.5,27.8,24.7
"49","42","  Travel","B768RC1",3.4,4,4.4,5,5.5,6,6.4,6.9,7.5,8.5,9.4,10.4,11.5,12.4,13.2,22.9,24.6,25.9,29.3,32.1,33.4,37.4,35.3,38.6,40.7,43.8,44.9,48.1,52.1,56.5,59.3,65.4,60.9,59.5,58.3,66.7,69.9,73,77.1,80.5,74.1,75.5,78.2,83.5
"50","43","  Passenger fares","B769RC1",1.1,1.2,1.3,1.6,1.8,2.1,2.3,2.6,2.7,2.9,3.2,3.6,4.5,4.8,6,5.7,6.4,6.5,7.3,7.7,8.2,10.5,10,10.6,11.4,13.1,14.7,15.8,18.1,20,20.9,23.6,21.9,19.2,20.1,23.7,25.2,26.6,27.7,31.8,25.1,27.3,31.1,34.7
"51","44","  Other transportation","B770RC1",2.5,2.8,3.1,3.5,4.7,5.9,5.7,6.9,8,9.1,10.9,11.8,12.5,11.7,12.2,14.8,15.6,17.8,19,20.9,22.2,25,25,23.8,24.5,26,27,27.4,29,30.4,31.5,37.2,34.9,35.1,40.6,48.9,54.2,55.3,55.8,56.7,42.6,51.2,54.6,55.4
"52","45","  Royalties and license fees","B908RC1",0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,1,0.9,0.8,0.8,0.9,1.2,1.2,1.4,1.9,2.6,2.5,3.1,4,5.2,5,5.9,6.9,7.8,9.2,11.2,13.3,16.6,16.7,19.5,19.3,23.7,25.6,25,26.5,29.6,31.3,32.6,34.8,39.9
"53","46","  Other private services","B909RC1",0.6,0.6,0.7,0.8,0.9,1.9,2.3,2.9,3.2,3.9,4.6,5.1,6.3,7.4,7.3,8.2,9.4,13.8,17.3,18.4,19.9,23.3,26.8,25.4,27.8,31.6,35.2,39.7,43.2,47.6,55.9,61.1,66.6,73.2,80.3,90.6,97.7,127.3,149.8,172.5,174.6,186.4,199.7,201.2
"54","47","  Other","B910RC1",1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.5,2.6,2.8,3.1,3.3,3.4,3.7,3.7,4.2,4.5,4.6,4.9,5.2,5.6,5.7,6.1,6.3,6.6,6.9,7.1,6.9,7.4,7.7,7.8,8.2,9.2,9.6,9.9,10.4,10.5,10.5,9.3,9.1,8.3
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RC1",23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,239.8,262,282.3,300.5,314,349.6,394,421.1,482.3,486.6,508.7,573.4,525.3,492.8,501.8,565.7,629.8,715,783.2,829.4,671.9,801.2,897.4,946.1
"57","49","  Exports of nondurable goods","A339RC1",14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.5,134.7,141.3,147.4,146,160.4,189.3,197.2,205.4,194.3,202.7,223.7,218.4,219.8,239,267.1,295.5,333.1,382.1,468.2,392.8,477.2,576.2,589.9
"58","50","  Exports of agricultural goods \2\","B181RC1",6.1,7.4,7.8,9.5,18,22.4,22.2,23.4,24.3,29.9,35.5,42,44.1,37.3,37.1,38.4,29.6,27.2,29.5,38.3,41.1,40.2,40.1,44.1,43.6,47.1,57.2,61.5,58.5,53.2,49.7,52.8,54.9,54.5,60.9,62.9,64.9,72.9,92.1,118,101,119,140,144.9
"59","51","  Exports of nonagricultural goods","A182RC1",32.2,37.2,37.7,42.3,55.9,78.6,87.4,94.4,99.3,115.5,148.6,183.7,195,177.7,170.2,187.2,192.6,198.8,228,287.5,328.3,356.4,383.5,403.9,416.3,463,526,556.8,629.2,627.7,661.8,744.3,688.8,658.1,679.9,769.9,860.4,975.2,1073.2,1179.7,963.7,1159.5,1333.6,1391.1
"60","52","  Imports of durable goods","A333RC1",20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454,510.8,533.4,588.5,637.7,715.5,822.4,757.1,773.7,805.6,935.3,1024.2,1129.7,1174.6,1162,893.1,1108.3,1234.5,1324.9
"61","53","  Imports of nondurable goods","A340RC1",16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293,334.8,428,418.4,424.4,488.9,573.6,692,766.8,825.7,984.4,694.2,842.9,1000.1,970.5
"62","54","  Imports of nonpetroleum goods","A187RC1",34.2,37.9,42.9,52.3,63.4,77.9,72,90.1,107.6,134.9,152.4,169.1,189.4,188.6,217.6,278.3,291.9,335.7,371.8,412.5,433.9,445.8,449,493.4,541.3,625.5,701.4,734.7,813.9,879.8,978.2,1124.2,1066.1,1088.8,1154.1,1319,1453,1579.8,1653.6,1670.3,1319.6,1597.6,1772.5,1861.5
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
