"","Table 4#2#5U# Exports and Imports of Goods and Services by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"18","10","    Civilian aircraft, engines, and parts","B688RC0",56673,49919,52483,52607,43990,51708,48693,47972,56334,54860,50944,48336,49471,50454,53662,48113,45981,43566,45663,51683,46703,44367,46590,46639,51809,59934,53567,58244,62475,63971,62950,68616,68645,68824,76215,78393,75699,77700,79067,63530,78640,75143,70600,74638,70613,70806,73005,73263,73326,78707,82093,87285,94520,88175,96090,98452,96484,106701,110160,106617,105758,114211,115083,117233,117482,120135,116660,119351
"19","11","    Computers, peripherals, and parts","B850RC0",44671,46381,47484,48360,50836,55315,58910,57103,55309,48907,44612,41392,38571,39328,37870,38440,38489,37914,40521,42775,42167,42389,43156,43509,44305,46228,46074,45539,47577,48112,46504,48128,47857,44659,45121,44546,44272,46744,45809,38767,37107,35778,37665,40317,42266,43203,43796,45990,47353,48403,49339,48742,51319,49484,48298,47762,47278,48478,48063,48529,48784,49017,49195,48159,46113,46305,47798,48707
"20","12","    Other","B689RC0",200634,204876,215411,225493,234643,249375,266594,262858,252584,228030,206503,199085,197111,203707,205623,199390,198372,201715,206951,221061,231987,239410,240461,242787,246009,251930,257708,272354,281522,291099,294338,300813,303946,310857,318184,324827,334397,346390,348375,329874,278507,266402,275453,295737,310878,329076,338736,349727,352631,366352,368312,374257,380651,387361,386695,381029,380469,383648,376726,384941,385330,386009,392346,394158,378702,379170,372210,363470
"21","13","  Automotive vehicles, engines, and parts","B641RC0",73249,74678,75931,77169,83547,80216,79198,78463,73532,76790,76492,74925,75037,81046,80652,79037,79734,81978,78354,82467,83842,87692,92119,93196,94978,95496,98776,104376,106706,105569,106554,110222,114851,122301,124055,123849,122208,126411,130300,106888,68278,67959,88326,102294,106521,111017,112497,117997,127682,128877,136622,138964,147798,148103,144185,144547,149932,153799,152664,154285,151442,159587,166504,161229,147635,151322,156056,152747
"22","14","  Consumer goods, except food and automotive","A642RC0",78700,79387,81002,84383,87583,88685,91464,89488,92639,91462,85089,83944,82578,84286,85490,84939,86810,87783,91043,93875,97635,102582,104217,108346,111525,114119,115968,119301,123873,126998,129531,135733,141205,143994,147782,150472,157488,164626,167656,154859,145035,144182,149694,158235,162388,159596,163792,173860,169338,175369,176098,178068,177509,180830,182136,183500,182595,193446,187765,189675,193899,199350,199617,200334,201955,194620,196019,195275
"23","15","    Durable goods","B690RC0",39246,40911,42107,44791,46652,46025,47716,46284,49192,48449,44704,43095,43504,44021,44759,43360,43368,44717,46744,49373,49952,53189,55128,57291,59500,60853,63335,64517,67231,70336,71395,75276,78345,81275,83354,87493,91464,94923,94252,81664,72569,70958,76728,80855,81631,85855,88796,93222,94126,97153,97542,98696,99074,98397,98480,98865,99236,107902,101651,107371,108901,112606,110878,110868,109182,104476,105345,101349
"24","16","    Nondurable goods","B691RC0",39454,38476,38895,39592,40931,42660,43748,43204,43447,43013,40385,40849,39074,40265,40731,41579,43442,43066,44299,44502,47683,49393,49089,51055,52025,53266,52633,54784,56642,56662,58136,60457,62860,62719,64428,62979,66024,69703,73404,73195,72466,73224,72966,77380,80757,73741,74996,80638,75212,78216,78556,79372,78435,82433,83656,84635,83359,85544,86114,82304,84998,86744,88739,89466,92773,90144,90674,93926
"25","17","  Other","A643RC0",53006,54715,50315,52565,50463,50045,52083,53865,49582,52204,49006,47268,50147,51817,55436,52852,49074,48365,49791,48519,50350,53776,51070,51160,55847,56886,61319,60963,64182,60356,65492,66619,66467,64048,63835,68553,66442,68689,58442,59512,55645,53481,50828,60725,56988,60405,61125,55705,56612,52516,53650,50824,53238,52802,54030,60357,56681,52035,56971,61904,59141,65551,65207,69779,63410,73615,73467,67720
"26","18","    Other durable goods n.e.c.","Y973RC0",26338,27198,25006,26146,25125,24934,25971,26880,24760,26064,24429,23492,24827,25603,27391,26110,24294,23932,24586,23804,24501,26087,24674,24720,27162,27799,30050,29837,31361,29421,32000,32545,32502,31263,31110,33483,32385,33630,28460,29137,27398,26189,25024,30135,28360,30207,30389,27334,27968,25987,26643,25182,26340,26161,26692,29917,28144,25764,28274,30691,29419,32647,32398,34783,31587,36695,36572,33706
"27","19","    Other nondurable goods","Y974RC0",26668,27517,25309,26419,25338,25111,26112,26985,24822,26140,24577,23776,25320,26214,28045,26742,24780,24433,25205,24715,25849,27689,26396,26440,28685,29087,31269,31126,32821,30935,33492,34074,33965,32785,32725,35070,34057,35059,29982,30375,28247,27292,25804,30590,28628,30198,30736,28371,28644,26529,27007,25642,26899,26641,27338,30441,28537,26271,28697,31213,29722,32903,32810,34996,31823,36920,36895,34014
"28","20","      Net exports of goods under merchanting","Y975RC0",330,319,303,273,213,177,141,105,62,76,148,284,493,611,654,632,486,501,619,911,1348,1602,1722,1719,1522,1288,1219,1290,1461,1515,1492,1527,1459,1518,1615,1595,1690,1449,1518,1205,776,1044,780,588,575,270,317,480,442,534,478,589,559,479,646,524,393,507,424,523,304,256,412,212,235,224,322,307
"29","21","      Other other nondurable goods n.e.c.","Y976RC0",26338,27198,25006,26146,25125,24934,25971,26880,24760,26064,24429,23492,24827,25603,27391,26110,24294,23932,24586,23804,24501,26087,24674,24721,27163,27799,30050,29836,31360,29420,32000,32547,32506,31267,31110,33475,32367,33610,28464,29170,27471,26248,25024,30002,28053,29928,30419,27891,28202,25995,26529,25053,26340,26161,26692,29917,28144,25764,28274,30691,29419,32647,32398,34783,31587,36695,36572,33706
"30","22","Exports of services \1\","A646RC0",273512,275453,285290,286777,291793,301403,302418,302703,297379,290637,280672,262817,282817,289191,291773,293608,288680,287718,302897,316144,338048,343195,345394,361857,377842,375151,381878,394398,407161,422793,423185,453849,468941,482845,504662,536367,534170,555276,547771,535338,507409,511833,522240,549012,544547,557592,581858,606972,617338,640649,655095,644955,658386,669832,671682,688834,696721,696315,703549,712756,715963,728175,718719,732919,739834,744494,750901,756313
"31","23","  Transport","Y800RC0",42166,42554,43565,44585,44674,46420,45730,46212,45610,43755,41012,36483,40737,41481,42089,43337,40509,39826,41496,43950,46916,47654,48438,47884,50618,52039,52933,54898,55808,56695,58043,59302,62407,63390,66934,70568,74536,75922,77986,71448,63139,60442,61294,63883,67633,71841,72842,74306,75484,78944,83152,81741,82536,85208,83528,84504,87456,88188,85748,88268,88328,90296,90484,91016,88044,85648,85076,85304
"32","24","    Sea Transport","Y977RC0",9903,10382,10500,11171,11108,11360,11760,11988,11090,10664,10865,11165,10800,10940,11392,11616,10810,10576,10828,11388,11663,11627,11608,12307,11873,12033,11807,13115,13649,14300,15179,15338,15350,16390,16908,16999,18025,18506,18620,15963,12736,13102,13715,14859,15205,15797,16258,16361,16388,16436,16404,16612,16828,17192,17032,16996,17156,17264,17256,17612,17848,18080,18172,18508,18388,18584,18648,NA
"33","25","      Freight","Y978RC0",3616,3760,3996,4432,4196,4304,4120,4584,3748,3584,3812,3976,3628,3424,3788,4092,3888,3900,4008,4280,3836,3724,3508,4132,3492,3540,3228,3592,3284,3162,3541,3643,3594,4028,4397,4833,4909,5082,5350,4126,2968,2988,3308,3732,3876,4100,4376,4564,4172,4124,4020,4180,4020,4252,4108,4160,4044,3976,3916,4176,4304,4232,4272,4456,4320,4324,4320,NA
"34","26","      Port","Y979RC0",6287,6622,6504,6739,6912,7056,7640,7404,7342,7080,7053,7189,7172,7516,7604,7524,6922,6676,6820,7108,7827,7903,8100,8175,8381,8493,8579,9523,10365,11138,11638,11695,11756,12363,12511,12166,13116,13424,13270,11837,9768,10114,10407,11127,11329,11697,11882,11797,12216,12312,12384,12432,12808,12940,12924,12836,13112,13288,13340,13436,13544,13848,13900,14052,14068,14260,14328,NA
"35","27","    Air Transport","Y980RC0",29472,29270,29994,30406,30652,32168,30936,31312,31472,29768,27280,22488,27052,27544,27328,28316,26812,25664,27580,29460,31492,32092,33352,32140,34956,36264,37300,38008,38439,38258,38893,39829,43224,42688,46157,49250,52181,53277,54790,51121,46860,43456,43336,44644,48352,51600,52844,53516,55120,58216,62120,60605,61088,62936,61788,62500,65660,66036,64100,66296,66100,67972,67940,67980,65304,62752,62308,NA
"36","28","      Passenger","Y981RC0",19000,19108,20088,19504,19468,20840,20252,20228,19648,18752,17316,13008,16128,16400,16440,16196,14568,13692,15608,16496,17280,17732,18588,18128,19136,20508,21648,21144,21088,21464,22212,21788,22820,23464,25540,28924,29860,31300,32376,30292,27904,25592,25328,25588,28144,30596,32632,32572,33748,35920,38896,38489,38612,40592,39188,39064,41112,42236,41064,42156,42360,43920,43884,43900,42568,39320,38768,NA
"37","29","      Freight","Y982RC0",4920,4804,5048,5404,5580,5800,6052,5672,5536,5404,5432,5340,5492,5640,5788,6228,6608,6980,6908,6980,7412,7648,7856,7988,8820,9132,9468,9888,9736,9948,10168,10452,10564,10896,11592,12192,13058,13789,14423,12662,11064,10348,10692,11660,12284,12700,11800,12336,12824,13664,13984,13456,13548,13768,13920,14248,14692,14424,13848,14320,14012,14316,14356,14360,13228,13340,13384,NA
"38","30","      Port","Y983RC0",5552,5358,4858,5498,5604,5528,4632,5412,6288,5612,4532,4140,5432,5504,5100,5892,5636,4992,5064,5984,6800,6712,6908,6024,7000,6624,6184,6976,7615,6846,6513,7589,9840,8328,9025,8134,9263,8188,7991,8167,7892,7516,7316,7396,7924,8304,8412,8608,8548,8632,9240,8660,8928,8576,8680,9188,9856,9376,9188,9820,9728,9736,9700,9720,9508,10092,10156,NA
"39","31","    Other modes of transport","Y984RC0",2791,2901,3070,3008,2914,2892,3034,2912,3048,3323,2867,2830,2885,2997,3369,3405,2888,3586,3088,3102,3761,3934,3478,3437,3790,3742,3826,3774,3721,4137,3972,4135,3833,4312,3869,4319,4330,4139,4576,4365,3543,3884,4243,4380,4076,4444,3740,4428,3976,4292,4628,4523,4620,5080,4708,5008,4640,4888,4392,4360,4380,4244,4372,4528,4352,4312,4120,NA
"40","32","  Travel","Y801RC0",89505,89929,95254,94666,97922,101668,100977,100186,98139,92323,86544,69926,81294,82360,81362,82458,77697,74882,82628,86121,90381,92110,92130,94927,101884,102535,100365,101093,101518,103934,106927,108181,111705,115449,119810,129184,134753,138774,134923,126596,116404,116821,121472,124911,130742,133933,139325,144042,144734,153568,152418,152748,155892,161644,164357,164633,171559,170084,174942,175020,176760,179718,174888,177597,182026,183857,185360,185460
"41","33","    Business","Y985RC0",37543,38355,40338,40121,41882,43147,42973,42656,41423,38415,35908,27389,32638,33078,32005,32566,30197,27624,30780,32913,33192,33688,33847,35070,37828,39057,38061,37657,38672,38924,39852,39885,40424,42517,43002,45333,48169,48592,44622,42381,37816,35028,36188,37042,37884,39005,40541,40661,40311,41237,40383,39194,39511,39714,40094,38799,39722,38384,39491,40047,41123,41286,40114,38908,38833,39171,39213,NA
"42","34","      Expenditure of seasonal, border, and other short-term workers","Y986RC0",5823,5947,5914,6001,5874,6003,5965,6060,6275,6235,6396,6409,6634,6794,6541,6806,6765,6584,6788,6909,7164,7480,7359,7450,8232,8401,8573,8533,8600,8744,8696,8761,7820,8061,7978,8077,9241,8544,8394,8441,7568,7080,6564,6162,6064,6477,6517,6317,6223,6253,6627,6366,6587,6914,7078,6831,7058,7228,7359,7011,7111,7266,7390,7252,7421,7559,7585,NA
"43","35","      Other business travel","Y987RC0",31720,32408,34424,34120,36008,37144,37008,36596,35148,32180,29512,20980,26004,26284,25464,25760,23432,21040,23992,26004,26028,26208,26488,27620,29596,30656,29488,29124,30072,30180,31156,31124,32604,34456,35024,37256,38928,40048,36228,33940,30248,27948,29624,30880,31820,32528,34024,34344,34088,34984,33756,32828,32924,32800,33016,31968,32664,31156,32132,33036,34012,34020,32724,31656,31412,31612,31628,NA
"44","36","    Personal","Y988RC0",51962,51574,54916,54545,56040,58522,58004,57530,56716,53908,50636,42537,48656,49282,49357,49892,47500,47258,51848,53208,57188,58422,58283,59857,64056,63478,62304,63437,62846,65010,67075,68297,71281,72932,76809,83851,86584,90181,90301,84215,78589,81793,85284,87869,92858,94927,98784,103380,104422,112331,112035,113554,116382,121930,124263,125834,131837,131700,135451,134973,135637,138431,134774,138689,143193,144686,146147,NA
"45","37","      Education related","Y989RC0",9404,9516,9716,9828,9908,10160,10436,10892,10956,11232,11536,12180,12264,12532,12836,12872,13196,13296,13392,13364,13500,13616,13692,13724,13836,13956,14140,14152,14287,14478,14679,15144,15292,15549,15995,16987,17194,17610,18059,18959,19207,19582,20071,19896,20331,20700,21135,21583,22195,22544,23058,23494,23945,24521,25109,25860,26423,27016,27673,28527,29367,30233,31379,32202,33078,33975,34980,NA
"46","38","      Health-related","Y990RC0",1314,1338,1360,1393,1444,1482,1520,1558,1452,1468,1488,1509,1444,1446,1461,1488,1524,1558,1588,1612,1656,1678,1699,1725,1796,2058,2076,2125,2167,2212,2239,2265,2297,2339,2385,2440,2486,2515,2546,2575,2625,2671,2713,2753,2811,2863,2888,2942,2967,3011,3053,3096,3117,3161,3198,3227,3269,3272,3342,3366,3414,3462,3484,3511,3535,3599,3591,NA
"47","39","      Other personal travel","Y991RC0",41244,40720,43840,43324,44688,46880,46048,45080,44308,41208,37612,28848,34948,35304,35060,35532,32780,32404,36868,38232,42032,43128,42892,44408,48424,47464,46088,47160,46392,48320,50156,50888,53692,55044,58428,64424,66904,70056,69696,62680,56756,59540,62500,65220,69716,71364,74760,78856,79260,86776,85924,86964,89320,94248,95956,96748,102144,101412,104436,103080,102856,104736,99912,102976,106580,107112,107576,NA
"48","40","  Charges for the use of intellectual property n.e.c.","B684RC0",46846,46891,48538,48649,51222,52066,52317,51627,49216,49709,48449,50572,50727,54389,56114,54198,54907,55919,57798,58632,64173,64673,67000,72525,74524,73471,74428,75371,80096,83618,81288,89196,90888,95046,100148,105130,102155,102147,103733,100466,91153,95629,95171,111670,106398,105108,106392,112186,121375,122504,126376,123078,123723,123138,123561,127337,127397,127462,128652,128197,130509,131519,129421,129997,130529,131064,130283,129308
"49","41","  Other business services","Y802RC0",78084,78961,79915,81282,80435,82218,83972,85954,87305,87618,86807,89764,93883,94852,94767,97010,98762,100126,101860,107677,115042,117655,115686,125238,125812,121539,127884,138677,142193,147051,147340,166626,171537,182284,188561,193028,193085,205920,202005,208216,208675,207566,208304,219055,210378,216858,232612,246840,241437,248692,255912,251571,259358,262073,261266,271544,271726,272898,276222,285972,283769,293300,290103,302804,306050,310387,315493,323055
"50","42","    Maintenance and repair services","Y992RC0",3681,3849,3838,3880,4129,4443,4942,5230,5334,5413,5712,5839,5719,5974,5599,5784,5391,5797,5329,5315,5336,5474,5169,5390,6419,7100,7071,8281,6436,7616,8101,8539,8878,9532,8770,9066,8449,9839,10887,10901,11209,11367,12670,13061,11813,14239,14170,15217,13239,14360,14643,14874,16811,17241,16405,18286,16846,17213,20015,20519,20016,22366,22683,24491,24079,24602,24809,25481
"51","43","    Insurance services","Y993RC0",3104,3071,3035,3000,3598,3684,3667,3573,3308,3300,3420,3666,3933,4228,4588,4912,5464,5817,6152,6462,6854,7003,7673,7727,7009,6732,8488,8033,9333,9832,9100,9514,10035,10603,11270,11456,12276,13768,13855,13712,14466,14907,14420,14551,13881,13718,14497,15491,14836,14682,15337,15600,15823,16775,17250,17311,16942,16825,16789,17676,16803,17689,17362,17813,18118,18346,18400,18464
"52","44","    Financial services","Y994RC0",17648,19510,20043,20532,21599,22579,22361,21929,22732,22432,20786,21646,24672,25175,23844,24294,27059,26535,27751,30015,35214,35877,33408,41058,38721,37588,39400,43802,46433,45337,44668,55089,56280,60563,64065,64594,66003,64555,60266,61286,64101,64161,62130,67357,66434,67699,74547,80712,78789,79380,80749,74167,76766,73904,75549,80551,81738,83310,82776,88539,84291,89822,85405,89640,89749,89983,91531,95235
"53","45","    Telecommunications, computer, and information services","Y995RC0",12116,12062,12296,12675,11596,11999,12386,12879,13022,12974,12766,12555,12260,12170,12371,13003,13335,14053,14166,14689,14626,15161,14733,15328,15277,14987,15303,16493,15851,16597,17590,18697,18730,19362,20348,22330,22556,23779,23558,22583,23199,23241,23690,25134,23384,23754,25934,27080,27790,29101,29552,30241,30892,32428,32811,33911,33938,35440,35109,35652,35226,36683,35921,35710,35754,35833,36410,36760
"54","46","    Other other business services","Y996RC0",41536,40469,40703,41194,39514,39512,40616,42343,42909,43499,44124,46057,47300,47305,48366,49017,47514,47924,48462,51196,53012,54141,54703,55735,58387,55132,57621,62068,64140,67669,67880,74788,77613,82224,84108,85582,83802,93979,93439,99734,95701,93891,95394,98951,94865,97448,103463,108340,106783,111168,115632,116690,119066,121725,119251,121485,122262,120110,121533,123586,127433,126740,128732,135149,138350,141623,144344,147115
"55","47","  Government goods and services n.e.c.","Y803RC0",7328,7761,8457,7704,7367,8678,9238,8798,7548,7883,8596,6967,7182,6833,8033,6927,7065,7253,9448,10179,11731,11114,11806,10701,14392,14916,15450,13416,16283,20219,18451,19509,21229,15735,17630,27093,17971,20415,17162,16593,16691,19861,24811,17970,18303,18521,19347,17920,21804,23997,23484,21901,21028,20753,21432,23439,22429,22199,22986,20409,22259,18964,19314,16668,18283,18227,18884,17039
"56","48","  Other","B980RC0",9583,9357,9561,9891,10173,10353,10184,9926,9561,9349,9264,9105,8994,9276,9408,9678,9740,9712,9667,9585,9805,9989,10334,10582,10612,10651,10818,10943,11263,11276,11136,11035,11175,10941,11579,11364,11670,12098,11962,12019,11347,11514,11188,11523,11093,11331,11340,11678,12504,12944,13753,13916,15848,17017,17538,17376,16154,15484,15000,14890,14338,14378,14509,14837,14902,15312,15804,16147
"57","49","    Imports of goods and services","B021RC0",1170088,1218181,1278526,1327650,1406765,1452310,1513689,1517753,1488371,1413923,1365176,1314101,1348589,1423471,1453236,1490581,1513083,1513695,1542440,1606516,1687929,1780331,1823966,1910479,1944982,1989219,2042279,2143856,2194408,2244983,2285726,2263924,2308949,2358045,2399635,2466029,2571371,2679885,2697215,2311554,1913357,1864465,2002002,2152885,2241931,2337255,2404859,2475921,2595802,2695272,2715258,2739126,2784288,2780712,2744535,2745842,2755757,2765364,2776731,2788760,2830845,2887035,2875194,2894637,2808938,2799335,2790174,2741125
"58","50","Imports of goods \1\","A255RC0",978495,1024545,1078344,1123452,1194187,1232376,1284123,1295208,1265200,1189600,1145838,1106132,1123573,1197710,1225338,1250715,1275085,1278603,1288030,1343051,1409992,1493470,1533097,1609694,1641999,1682209,1729122,1824160,1855935,1900192,1941560,1900937,1942452,1981866,2015108,2075651,2165223,2264918,2273738,1893629,1524334,1478731,1609001,1749109,1838571,1928650,1984152,2047881,2172471,2251745,2263593,2291113,2331375,2322676,2284654,2284593,2294369,2297116,2306252,2309771,2357575,2403763,2392719,2399996,2311728,2299874,2285443,2234107
"59","51","  Foods, feeds, and beverages","B647RC0",42831,44403,44084,45002,45480,46393,47206,46873,46373,46330,48484,47684,47859,49707,51308,52396,54644,55657,56988,58798,60688,63385,62598,65326,66097,68479,69768,71943,74855,74236,76326,78907,81698,81628,83864,84708,87819,91249,92812,89877,83023,82069,82282,84066,88115,91576,94245,96036,102990,108810,108054,113170,112182,109893,110387,112048,115009,116546,115410,117049,120932,129154,128196,128449,129697,131056,128581,125908
