"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"13","5","    Primary metal manufacturing","KS331F0",9368,9898,9915,10001,9247,9328,9054,9726,10370,10482,10759,9611,7888,8619,9676,9303,9681,10399
"14","6","    Fabricated metal product manufacturing","KS332F0",13343,14207,14612,15128,14775,15233,15002,14820,15347,15835,16084,16216,15130,15325,16230,16389,16896,17925
"15","7","    Machinery manufacturing","KS333F0",14081,15345,15353,15976,14454,14762,13979,14189,15072,16313,16543,16448,15033,15254,16499,17012,16689,15885
"16","8","    Computer and electronic product manufacturing","KS334F0",11174,11697,12592,13986,13023,11575,11838,12284,12948,13723,13918,14764,14280,15172,15963,15873,15812,16196
"17","9","    Electrical equipment, appliance, and component manufacturing","KS335F0",4530,4987,4831,5050,4611,4644,4524,4311,4210,4692,5039,4940,4171,4135,4337,4489,4497,4420
"18","10","    Transportation equipment manufacturing","KS336F0",13161,14553,14908,14895,15432,14938,14219,14926,15780,17098,16092,14579,13075,12342,12485,13370,13978,12522
"19","11","      Motor vehicle and parts manufacturing","KS3MVF0",6335,6740,7156,7634,7136,7428,7554,7670,7893,7882,7970,7694,6963,7393,7645,7874,8106,7298
"20","12","      Other transportation equipment manufacturing","KS3OTF0",6843,7846,7778,7277,8330,7536,6700,7286,7913,9226,8134,6885,6112,4972,4865,5520,5893,5246
"21","13","    Furniture and related product manufacturing","KS337F0",2844,2880,3076,3184,3083,3371,3192,3343,3508,3431,3306,3087,2694,2737,2578,2592,2569,2550
"22","14","    Miscellaneous durable goods manufacturing","KS339F0",6474,6637,7140,7888,8049,8210,9002,8945,9989,10624,10668,11086,11291,12278,12068,11660,11601,11425
"23","15","  Nondurable goods industries","KS30NF0",105488,106398,111428,114874,112484,114207,112987,114490,116997,120120,121871,115983,114125,119674,120934,120741,119424,116092
"24","16","    Food manufacturing","KS311F0",22549,22559,23312,24432,24401,25363,24735,24225,24752,24734,24741,25315,26168,26117,25717,25975,26096,25989
"25","17","    Beverage and tobacco product manufacturing","KS312F0",4389,4260,4479,4565,4828,4864,4969,5258,5183,5221,5315,5251,5558,5821,5888,6053,5782,6018
"26","18","    Textile mills","KS313F0",2938,3192,3317,3099,2959,2871,2756,2690,2669,2600,2563,2394,2119,2203,2182,2130,2051,2060
"27","19","    Textile product mills","KS314F0",1714,1602,1797,1985,2205,1679,1821,1782,1905,1981,1883,1775,1496,1699,1768,1744,1830,1666
"28","20","    Apparel manufacturing","KS315F0",5247,5559,6086,6041,5038,5104,5288,5110,5089,5140,5028,4877,4589,4581,4584,4539,4513,4792
"29","21","    Leather and allied product manufacturing","KS316F0",1000,1065,1097,1037,935,872,834,823,870,976,960,980,951,995,1042,1028,1071,1096
"30","22","    Paper manufacturing","KS322F0",7791,7829,7976,7826,8018,8562,8278,8363,8292,8267,8168,7943,7432,7370,7438,6997,7007,7156
"31","23","    Printing and related support activities","KS323F0",3136,3152,3267,3261,3156,3254,3117,3136,3154,3214,3315,3186,2960,2923,2893,2759,2787,2872
"32","24","    Petroleum and coal product manufacturing","KS324F0",12997,12411,12308,13123,13110,12902,12721,13133,13322,13971,15155,14732,15770,15913,16497,15671,14701,12639
"33","25","    Chemical manufacturing","KS325F0",35040,35232,37417,38897,37381,37609,37563,39275,41016,42523,42751,38228,36852,41573,42096,43045,42772,41471
"34","26","    Plastics and rubber product manufacturing","KS326F0",9348,9810,10386,10875,10621,11215,11030,10994,11095,11836,12069,11305,10233,10651,10863,11116,11374,11130
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","in inventories for 2009 equals the current-dollar change in inventories for 2009 and that the average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","of the 2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
