"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","  Personal income","A792RC0",3947,4216,4488,4876,5372,5841,6329,6869,7509,8352,9231,10174,11286,11966,12673,13880,14741,15477,16288,17446,18668,19604,20002,21060,21695,22526,23544,24700,25920,27476,28582,30569,31509,31774,32645,34267,35846,38116,39761,40817,39325,40143,42275,43731,44652
"12","4","  Disposable personal income","A229RC0",3432,3713,3998,4287,4747,5135,5645,6079,6613,7322,8037,8861,9785,10442,11170,12284,12991,13661,14274,15386,16380,17235,17688,18684,19211,19906,20753,21615,22527,23759,24617,26206,27179,28127,29201,30700,31763,33591,34829,36104,35598,36296,37776,38965,39410
"13","5","  Personal consumption expenditures","A794RC0",2982,3158,3375,3665,4016,4357,4782,5274,5795,6406,7061,7705,8424,8931,9758,10568,11416,12042,12733,13657,14523,15291,15620,16408,17178,17996,18696,19532,20372,21376,22615,24085,24917,25647,26716,28158,29698,31114,32299,32854,32037,32933,34329,35477,36330
"14","6","    Goods","AGDSRC0",1503,1554,1647,1781,1966,2111,2275,2505,2725,2981,3278,3512,3780,3873,4156,4500,4770,4968,5173,5457,5755,5961,5906,6085,6310,6629,6810,7110,7352,7636,8187,8686,8853,9024,9364,9890,10407,10829,11142,11084,10410,10856,11546,11995,12286
"15","7","      Durable goods","A795RC0",446,439,493,555,616,609,658,773,871,958,1005,994,1061,1090,1259,1447,1595,1751,1820,1939,1998,1987,1882,1978,2119,2305,2385,2507,2621,2822,3063,3232,3301,3422,3501,3682,3808,3869,3927,3619,3331,3456,3621,3827,3997
"16","8","      Nondurable goods","A796RC0",1057,1116,1154,1226,1350,1502,1617,1732,1854,2022,2273,2518,2719,2783,2897,3052,3175,3217,3353,3519,3757,3974,4024,4107,4191,4325,4426,4603,4731,4814,5124,5454,5553,5602,5863,6208,6598,6960,7216,7465,7080,7399,7925,8168,8289
"17","9","    Services","A797RC0",1479,1604,1728,1885,2050,2246,2507,2769,3070,3425,3783,4193,4644,5058,5602,6068,6646,7075,7559,8200,8768,9331,9714,10324,10868,11366,11886,12422,13020,13740,14428,15399,16063,16623,17352,18269,19291,20285,21157,21770,21626,22077,22783,23482,24044
"18",NA,"Chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",23222,23003,23463,24432,25565,25200,24907,25996,26922,28120,28694,28295,28741,27923,28953,30784,31805,32624,33453,34544,35479,35756,35258,36029,36540,37557,38125,39114,40383,41692,43216,44495,44472,44832,45660,46968,48094,48910,49311,48708,46927,47710,48239,49226,49813
"20","11","  Gross national product","A791RX0",23406,23183,23658,24639,25833,25499,25143,26270,27225,28419,29084,28676,29077,28269,29288,31103,32034,32785,33606,34726,35663,35986,35454,36217,36729,37700,38285,39283,40512,41791,43350,44669,44702,45044,45943,47326,48450,49163,49751,49284,47406,48314,48990,49934,NA
"21","12","  Disposable personal income","A229RX0",16102,16643,17191,17822,18725,18344,18614,19002,19406,20080,20248,20159,20459,20685,21214,22480,22961,23632,23930,24826,25340,25556,25395,26134,26216,26611,27180,27719,28398,29724,30351,31525,32077,32754,33345,34224,34428,35461,35870,36082,35598,35706,36293,36756,36767
"22","13","  Personal consumption expenditures","A794RX0",13990,14155,14511,15237,15841,15566,15766,16485,17007,17569,17788,17528,17612,17692,18532,19339,20176,20833,21346,22038,22467,22675,22426,22951,23442,24058,24486,25048,25682,26742,27882,28974,29407,29867,30507,31391,32189,32846,33264,32834,32037,32397,32981,33466,33894
"23","14","    Goods","AGDSRX0",4568,4552,4683,4936,5142,4909,4895,5187,5355,5518,5545,5342,5352,5338,5626,5979,6238,6527,6585,6768,6874,6839,6615,6733,6922,7200,7328,7567,7834,8261,8810,9165,9349,9620,9994,10407,10734,11019,11209,10829,10410,10681,10960,11245,11576
"24","15","      Durable goods","A795RX0",757,729,792,881,964,894,887,988,1065,1109,1091,993,993,982,1112,1259,1373,1491,1507,1578,1598,1573,1469,1533,1626,1735,1782,1893,2023,2241,2500,2685,2798,2975,3157,3386,3537,3653,3784,3557,3331,3505,3708,3967,4220
"25","16","      Nondurable goods","A796RX0",4382,4428,4455,4586,4673,4517,4512,4681,4740,4859,4930,4865,4877,4881,4994,5155,5264,5402,5446,5539,5635,5637,5546,5579,5647,5797,5870,5970,6073,6226,6465,6599,6647,6706,6877,7037,7204,7370,7422,7272,7080,7178,7262,7308,7406
"26","17","    Services","A797RX0",9186,9438,9642,10088,10466,10571,10863,11221,11569,11977,12207,12262,12351,12477,13009,13393,13972,14292,14802,15328,15666,15957,16004,16431,16718,17025,17328,17630,17977,18587,19134,19871,20111,20281,20527,20985,21451,21819,22043,22002,21626,21716,22020,22218,22316
"27","18","Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282398,285225,287955,290626,293262,295993,298818,301696,304543,307240,309776,312036,314278,316524
