"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","  Foods, feeds, and beverages","B638RA3",14.645,23.712,21.586,24.909,24.229,24.7,26.906,26.55,25.215,23.708,26.81,23.956,25.874,28.401,30.305,33.08,38.196,39.218,35.528,39.393,36.184,35.382,32.31,32.64,37.427,31.116,35.488,40.383,39.368,41.307,41.199,41.999,40.192,40.609,41.007,41.924,43.913,55.98,52.095,50.297,45.909,51.109,56.319,61.244,56.048,60.48,64.931,60.441,63.51,58.873,60.657,63.931,58.501,63.858,56.177,53.501,56.963,54.184,57.218,53.446,53.281,51.686,53.938,56.919,49.668,45.518,44.623,46.964,48.643,44.254,49.472,50.318,46.209,48.536,60.46,51.038,57.996,56.663,55.734,56.234,58.588,60.116,57.365,59.677,63.303,62.084,60.804,57.004,60.151,58.717,64.199,64.789,67.346,67.398,73.827,72.363,72.074,72.371,66.516,68.551,65.63,65.45,71.853,79.494,78.879,79.108,80.768,73.229,77.982,75.311,74.96,78.761,76.528,75.539,75.9,80.963,80.197,75.45,71.378,78.754,73.844,77.974,82.424,80.473,80.535,81.234,87.197,81.512,85.342,85.948,83.155,84.893,85.127,84.595,82.458,80.197,84.484,82.8,85.56,85.261,79.635,73.175,78.476,86.193,83.627,85.145,81.025,84.868,88.18,90.57,91.521,90.923,92.715,93.385,101.621,104.974,108.714,107.284,104.262,98.858,94.799,99.245,98.568,107.388,110.872,103.509,109.966,117.007,113.136,109.557,107.188,109.912,105.182,110.837,115.452,104.158,103.959,95.974,104.67,121.213
"12","4","  Industrial supplies and materials","B639RA3",16.228,23.485,22.784,23.345,24.36,24.496,23.146,24.109,22.518,22.245,23.685,18.441,23.855,21.073,22.516,25.107,26.63,28.024,28.989,30.221,30.484,31.534,28.419,26.734,25.893,24.95,25.192,26.464,26.68,27.026,28.166,28.834,27.77,28.648,28.996,26.222,26.961,30.567,33.116,32.728,33.297,33.812,36.665,37.497,38.993,42.055,40.566,38.725,38.862,36.202,36.031,38.453,38.025,37.02,35.418,34.556,33.447,34.192,35.087,35.258,34.641,36.104,37.055,37.239,36.807,35.55,36.258,37.26,37.204,36.861,38.462,39.859,37.687,38.75,39.007,40.742,42.629,42.929,44.711,45.819,45.949,50.343,50.293,49.232,50.964,51.066,51.574,53.762,55.257,55.672,54.864,55.659,56.48,56.907,56.329,55.876,55.136,54.477,54.2,55.789,54.713,57.213,59.468,59.608,60.865,61.021,63.284,64.029,64.494,63.989,65.38,67.978,68.607,71.488,72.558,72.011,71.905,70.072,69.24,70.319,70.129,71.767,72.403,76.088,77.643,77.765,80.562,80.115,78.188,75.848,74.744,74.489,74.402,77.323,76.52,76.499,78.247,77.415,77.905,79.763,82.679,83.853,83.075,84.73,85.252,87.848,85.405,84.109,89.97,92.383,91.079,94.539,94.43,95.765,97.416,100.031,105.527,110.901,110.693,102.99,93.425,95.688,104.1,106.787,110.761,115.452,116.277,119.949,121.496,121.438,122.964,126.382,124.029,126.42,125.142,125.38,125.31,128.029,132.43,136.635
"13","5","    Durable goods","B686RA3",20.485,28.397,29.516,30.133,32.002,32.466,30.042,28.937,25.064,24.054,22.383,21.482,24.396,23.017,24.818,26.505,30.652,33.438,34.896,35.039,34.231,35.783,29.782,28.346,26.512,26.709,26.515,27.342,26.933,27.524,29.494,29.672,27.481,28.416,27.575,26.18,29.306,33.611,34.611,34.972,36.859,37.155,39.586,41.915,47.938,50.51,44.864,41.449,39.91,38.772,34.866,35.89,33.839,33.575,32.17,30.952,30.516,32.289,33.25,33.241,32.459,32.868,32.151,33.526,32.156,33.192,32.687,31.937,33.336,32.956,32.735,35.154,34.769,36.851,36.424,38.138,41.199,44.71,44.834,47.346,48.121,50.921,51.007,51.089,54.347,53.203,53.043,56.172,55.642,58.192,57.239,56.157,56.002,54.76,55.691,55.464,54.015,52.474,53.067,53.854,53.069,54.89,58.592,59.591,61.95,62.898,66.06,63.984,64.596,66.995,68.784,69.811,70.98,73.891,74.52,75.572,77.825,74.222,72.915,74.952,74.202,75.97,77.524,82.185,87.48,88.402,89.007,89.726,86.54,81.844,78.375,76.808,72.917,77.046,76.415,76.116,77.045,78.108,76.79,78.348,84.019,84.466,83.261,84.558,85.456,88.758,92.472,94.898,97.799,98.146,97.511,102.763,101.908,102.953,105.457,108.093,111.326,120.194,119.366,111.606,95.598,95.264,101.75,107.388,111.175,118.66,116.42,121.812,120.041,122.621,121.189,120.367,123.139,123.463,120.323,117.321,121.088,119.883,122.381,125.93
"14","6","    Nondurable goods","B687RA3",14.394,21.414,19.854,20.395,21.021,21.005,20.144,22.083,21.543,21.612,24.523,17.195,23.831,20.364,21.654,24.7,24.998,25.755,26.499,28.253,29.017,29.841,28.045,26.227,25.844,24.359,24.806,26.297,26.808,27.042,27.805,28.708,28.161,29.02,29.928,26.483,26.113,29.426,32.724,31.981,31.94,32.562,35.638,35.778,35.17,38.49,38.932,37.81,38.733,35.335,36.91,40.009,40.336,38.974,37.266,36.563,35.128,35.399,36.272,36.529,35.985,37.953,39.692,39.32,39.322,36.979,38.262,40.109,39.341,39.018,41.573,42.434,39.336,39.901,40.499,42.255,43.553,42.226,44.863,45.255,45.051,50.288,50.167,48.502,49.454,50.202,51.064,52.797,55.3,54.633,53.902,55.697,57.044,58.389,56.967,56.382,56.048,55.914,55.1,57.181,55.917,58.831,60.249,59.905,60.565,60.303,62.105,64.376,64.77,62.674,63.862,67.319,67.665,70.545,71.855,70.441,69.062,68.174,67.593,68.143,68.262,69.838,69.984,73.173,72.824,72.55,76.444,75.435,74.133,72.95,73.031,73.447,75.375,77.648,76.746,76.867,79.034,77.26,78.666,80.684,82.209,83.755,83.186,85.013,85.327,87.553,82.083,78.982,86.284,89.731,88.079,90.623,90.912,92.404,93.628,96.226,102.786,106.546,106.596,98.935,92.381,95.897,105.235,106.487,110.554,113.928,116.192,119.076,122.111,120.925,123.707,128.95,124.402,127.673,127.194,128.838,127.112,131.506,136.713,141.196
"15","7","  Capital goods, except automotive","B640RA3",3.474,4.051,4.077,4.065,4.163,4.361,4.427,4.585,4.501,4.523,4.879,4.406,4.888,4.839,5.032,5.285,5.848,6.188,6.571,6.848,7.295,7.974,7.932,8.579,8.33,8.147,7.891,7.905,7.889,8.014,7.972,7.962,7.811,7.971,7.882,7.657,7.969,8.682,9.226,9.873,10.361,10.267,10.603,11.7,12.205,12.795,12.387,12.716,12.612,13.122,12.242,12.323,11.677,11.597,10.976,10.228,10.514,10.582,10.524,11.267,11.183,11.655,11.946,12.724,12.886,13.243,12.718,13.359,13.67,14.264,14.202,14.824,14.732,15.611,17.05,18.384,19.712,20.628,20.867,22.424,22.453,24.286,25.327,24.934,27.735,27.948,28.418,28.118,28.615,30.509,31.424,32.264,33.148,32.599,33.949,34.81,34.833,35.282,35.58,37.635,39.159,40.143,42.643,43.434,45.284,48.1,50.636,53.045,54.485,55.909,56.534,61.468,65.261,69.606,72.749,72.357,72.749,70.993,72.596,75.534,74.324,74.36,78.343,80.993,82.117,88.605,92.6,91.05,90.007,82.058,75.088,72.031,71.196,73.578,74.633,72.066,71.465,71.64,74.622,80.648,82.239,83.168,84.084,84.558,86.853,90.954,90.822,95.889,99.554,102.058,101.722,104.683,106.068,107.858,112.315,114.929,116.883,120.357,120.506,109.857,100.782,96.902,98.146,104.171,107.724,112.594,115.753,118.727,119.689,123.723,125.722,127.943,131.553,131.496,133.029,131.284,129.823,134.215,133.484,134.607
"16","8","    Civilian aircraft, engines, and parts","B688RA3",14.15,9.627,11.108,13.453,14.074,16.268,12.087,12.944,17.15,16.959,15.772,16.648,15.744,13.588,13.817,13.964,16.818,19.162,20.198,19.454,24.065,25.641,20.716,28.955,25.587,22.342,22.693,17.48,17.16,21.909,20.581,19.008,12.9,18.026,14.137,16.639,27.282,33.516,40.024,49.26,48.836,45.634,52.35,50.624,54.595,59.215,56.266,64.489,53.646,62.394,47.73,47.859,42.114,37.986,30.731,29.37,43.146,41.47,27.791,35.071,31.337,33.563,29.195,36.777,40.824,44.373,39.123,45.794,46.026,46.609,48.469,50.055,50.157,44.778,55.769,56.221,60.57,71.293,59.6,68.415,70.338,78.387,93.801,72.946,91.441,90.424,93.567,82.34,81.973,91.897,98.686,102.967,106.926,85.706,91.837,90.669,81.713,80.42,73.317,81.854,81.748,70.686,75.541,67.833,56.835,64.357,60.073,56.224,58.211,66.805,65.364,78.771,83.864,89.119,90.295,86.278,101.105,99.875,117.514,128.35,116.334,102.115,107.159,106.444,87.82,101.294,93.698,91.062,105.288,101.121,92.911,87.663,89.302,90.774,95.715,85.138,80.595,75.889,78.606,88.374,79.545,74.83,77.265,76.477,83.655,96.283,85.631,92.327,97.309,98.622,96.606,104.243,102.425,101.98,111.774,113.603,108.437,109.75,110.293,87.049,105.043,100.741,94.852,99.365,93.185,92.834,94.741,94.159,92.759,99.413,104.061,107.132,115.119,108.578,118.919,119.042,115.852,129.583,135.474,128.55
"17","9","    Computers, peripherals, and parts","B850RA3",0.016,0.017,0.021,0.023,0.027,0.032,0.036,0.04,0.039,0.039,0.039,0.043,0.047,0.047,0.049,0.053,0.058,0.065,0.073,0.083,0.097,0.113,0.116,0.128,0.124,0.122,0.126,0.132,0.144,0.163,0.177,0.19,0.218,0.227,0.259,0.279,0.303,0.354,0.406,0.464,0.514,0.537,0.599,0.709,0.82,0.929,1.083,1.178,1.213,1.219,1.256,1.285,1.262,1.387,1.404,1.49,1.688,1.887,2.141,2.373,2.603,3.003,3.522,3.783,3.906,4.014,3.967,4.115,4.44,4.782,5.127,5.57,5.807,6.61,7.444,8.191,8.879,9.238,9.718,10.431,9.297,10.501,10.931,11.431,12.491,12.396,13.047,13.022,14.122,14.628,15.148,15.708,16.031,17.789,18.609,19.556,19.82,20.204,21.432,22.734,23.942,25.084,26.713,29.023,30.815,32.468,36.349,40.346,44.074,44.593,46.109,49.096,55.2,60.411,63.587,62.119,60.31,61.497,63.285,66.619,66.709,70.49,73.88,75.564,81.206,89.294,95.275,92.543,90.159,80.722,75.149,70.778,66.71,69.037,67.984,70.037,69.633,68.713,74.021,77.983,76.571,76.89,79.922,82.483,85.754,91.191,93.021,94.195,98.19,100.305,97.799,102.149,105.163,101.19,103.365,102.799,105.298,114.156,114.912,99.579,97.765,95.176,100.77,106.29,113.907,115.393,120.193,127.524,135.317,136.511,142.026,142.372,147.601,140.03,138.029,136.887,140.791,141.032,139.96,140.61
"18","10","    Other","B689RA3",5.96,7.47,7.329,7.073,7.137,7.284,7.605,7.804,7.352,7.414,8.243,7.124,8.1,8.158,8.504,8.948,9.813,10.221,10.808,11.286,11.684,12.744,12.983,13.572,13.353,13.224,12.688,12.979,12.889,12.711,12.631,12.639,12.596,12.514,12.446,11.775,11.549,12.234,12.587,12.931,13.666,13.633,13.586,15.336,15.636,16.072,15.225,15.057,15.542,15.828,15.245,15.319,14.652,14.588,14.023,12.725,11.897,11.848,12.431,12.799,12.66,12.79,13.025,13.41,13.239,13.419,13.071,13.377,13.546,14.122,13.571,14.031,13.703,14.891,15.529,16.963,18.098,18.315,19.339,20.417,20.995,22.236,22.139,23.141,24.915,25.378,25.417,26.11,26.321,27.833,28.203,28.694,29.379,30.084,30.994,31.977,32.945,33.599,34.38,35.831,37.573,39.9,42.298,43.558,46.987,49.491,52.395,55.065,55.682,56.36,57.013,61.125,63.941,67.797,71.176,71.661,70.318,67.764,66.694,68.202,68.46,70.007,73.908,77.326,80.854,85.762,91.38,90.296,86.768,78.467,71.464,69.097,68.433,70.99,71.699,69.819,69.971,71.349,73.929,79.572,83.951,86.195,86.368,86.724,87.779,89.759,91.62,97.004,100.312,103.159,103.584,105.255,107.144,110.387,113.903,117.182,120.792,123.985,123.942,117.206,100.02,96.102,98.686,105.192,110.817,117.554,120.84,124.236,124.999,128.656,129.479,131.68,133.829,136.557,135.982,133.629,132.026,134.203,131.587,135.119
"19","11","  Automotive vehicles, engines, and parts","B641RA3",22.747,25.038,24.781,25.421,22.529,26.738,24.633,21.824,26.596,27.997,28.288,25.627,28.083,29.609,31.246,32.836,34.795,36.497,34.708,36.983,38.379,38.713,40.696,41.686,37.993,42.06,43.109,44.754,43.253,44.38,43.972,43.954,43.994,46.627,42.753,43.478,41.913,46.892,43.607,49.149,46.607,45.124,43.698,47.273,41.265,37.237,35.504,39.863,37.171,40.464,39.532,34.938,31.681,33.986,31.941,27.036,28.566,31.599,32.142,36.649,36.926,36.252,39.973,39.015,39.08,41.338,43.613,41.571,39.691,42.546,39.74,40.88,41.324,42.824,42.394,49.001,51.073,51.487,52.406,53.385,57.462,50.963,51.103,54.654,54.977,55.075,53.25,51.183,53.44,55.79,61.55,59.244,61.775,64.802,67.888,70.7,71.104,71.712,69.185,77.092,74.992,78.495,81.332,84.742,87.3,81.664,84.396,83.457,84.163,85.225,91.406,88.457,94.256,97.729,102.032,101.312,103.268,96.438,90.371,99.871,98.107,99.956,101.482,102.688,110.962,105.957,104.402,103.485,96.885,100.955,100.541,98.628,98.419,106.275,105.538,103.135,103.785,106.696,101.729,107.047,109.119,113.271,118.645,119.665,121.539,122.034,125.782,132.597,135.147,133.321,133.864,138.142,143.561,152.672,154.278,153.576,152.169,155.924,159.92,130.669,83.52,83.335,108.175,124.97,129.831,135.449,137.042,143.368,154.382,154.693,163.041,164.372,171.932,174.215,171.423,170.364,171.68,180.049,181.323,179.461
"20","12","  Consumer goods, except automotive","B642RA3",5.316,6.286,6.056,5.752,6.193,5.771,6.145,6.708,5.994,6.061,7.113,5.723,7.389,6.752,7.498,7.465,8.221,8.971,9.048,9.24,10.984,11.715,10.969,10.481,9.671,9.396,10.539,11.075,11,11.318,11.415,12.143,11.807,12.02,13.307,12.496,13.068,14.983,14.279,14.975,14.392,14.665,14.739,16.45,21.171,17.793,16.674,17.373,17.817,18.253,17.375,16.541,15.486,16.474,16.168,14.868,14.535,14.272,14.112,14.696,14.162,14.362,14.254,14.543,14.108,13.93,13.435,14.159,14.304,15.123,15.529,16.575,16.307,18.055,18.443,19.576,20.716,22.925,23.552,25.273,27.636,30.345,29.531,31.042,32.933,35.422,35.503,35.234,36.614,35.321,35.743,36.442,37.458,38.411,39.628,39.742,39.675,40.329,41.551,41.539,41.631,43.694,45.962,46.911,46.324,46.787,47.876,47.9,49.105,49.773,50.321,52.25,53.914,55.953,55.92,56.414,56.059,57.465,57.98,57.423,57.038,57.509,58.647,60.953,63.117,63.907,65.885,64.615,66.988,66.314,61.543,60.579,60.051,61.414,62.104,61.658,62.926,63.552,65.806,67.602,70.201,73.695,74.423,77.317,79.077,80.829,82.184,84.418,87.395,89.017,90.124,94.471,97.605,98.786,101.103,102.352,106.408,110.252,111.985,103.948,97.318,97.291,99.953,105.437,108.215,106.573,108.698,113.992,111.254,114.559,114.914,116.329,114.923,117.732,117.107,118.058,118.11,127.657,120.896,126.862
"21","13","    Durable goods","B690RA3",5.726,6.647,6.649,6.368,6.134,5.162,6.199,7.091,5.448,5.726,6.433,5.972,7.638,7.169,7.568,7.857,8.349,9.173,9.446,9.964,12.045,13.341,11.84,10.882,9.958,9.781,10.791,11.314,11.74,11.547,12.636,13.024,12.449,12.481,13.403,12.597,14.605,17.02,15.116,16.091,15.227,15.565,15.072,17.578,24.462,17.809,16.501,17.195,16.821,17.355,16.563,15.554,14,14.734,14.866,12.242,11.9,12.12,11.49,12.19,12.071,12.049,11.697,12.041,11.511,11.859,10.965,11.692,11.511,12.766,13.071,14.931,14.057,16.187,15.913,17.649,19,21.72,21.801,24.071,28.493,31.403,29.751,32.275,34.13,36.102,37.217,35.201,35.783,35.037,36.016,36.775,37.55,38.14,39.235,39.043,39.465,40.891,42.22,41.558,41.372,43.579,44.856,46.062,46.48,46.73,46.8,46.988,47.715,48.91,50.164,52.246,53.068,56.419,56.767,56.377,56.159,57.592,58.493,57.985,55.913,58.192,59.785,63.607,65.958,64.863,67.26,65.446,69.367,68.483,62.999,60.526,61.347,62.376,63.276,61.259,61.25,62.973,65.784,69.252,70.261,74.803,77.309,80.04,82.814,84.559,87.868,89.504,93.323,96.967,97.677,103.161,107.225,110.696,113.647,118.823,123.33,127.385,125.431,108.161,96.496,94.882,101.482,107.14,110.114,116.662,119.542,124.326,125.463,129.294,129.74,130.954,130.243,130.242,127.518,129.006,131.283,146.423,134.638,146.265
"22","14","    Nondurable goods","B691RA3",4.927,5.928,5.538,5.228,6.13,6.151,6.006,6.328,6.347,6.235,7.55,5.409,7.045,6.286,7.308,7.005,7.987,8.659,8.547,8.44,9.862,10.1,10.009,9.944,9.245,8.891,10.123,10.656,10.149,10.909,10.174,11.164,11.04,11.4,12.953,12.152,11.483,12.931,13.302,13.749,13.458,13.67,14.268,15.128,17.435,17.73,16.798,17.491,18.876,19.212,18.249,17.621,17.134,18.411,17.587,17.895,17.572,16.718,17.126,17.57,16.553,17.013,17.184,17.411,17.081,16.306,16.26,16.983,17.504,17.822,18.345,18.463,18.885,20.207,21.339,21.797,22.703,24.347,25.587,26.691,26.752,29.24,29.365,29.734,31.677,34.762,33.679,35.355,37.622,35.721,35.53,36.167,37.456,38.807,40.159,40.602,40.007,39.84,40.952,41.627,42.015,43.932,47.26,47.94,46.29,46.979,49.142,48.992,50.702,50.818,50.628,52.403,54.958,55.619,55.186,56.61,56.11,57.492,57.604,56.995,58.365,56.957,57.623,58.353,60.325,63.088,64.63,63.925,64.677,64.224,60.192,60.825,58.862,60.587,61.058,62.276,64.9,64.365,66.036,66.067,70.351,72.757,71.63,74.701,75.408,77.172,76.488,79.355,81.464,80.992,82.509,85.684,87.858,86.702,88.375,85.676,89.278,92.902,98.312,99.669,98.188,99.765,98.382,103.664,106.216,96.575,97.953,103.732,97.249,100.045,100.313,101.916,99.827,105.375,106.805,107.229,105.124,109.256,107.358,107.84
"23","15","  Other","B643RA3",25.204,24.468,23.605,26.961,29.616,27.344,30.076,28.192,29.798,30.534,29.768,28.952,32.093,32.446,33.99,34.268,34.736,35.021,32.769,33.759,33.662,34.839,30.649,34.321,34.913,32.013,30.277,34.902,32.331,27.92,33.341,30.975,33.956,34.56,40.279,36.795,29.398,31.048,25.256,31.493,33.113,27.629,26.155,29.469,37.226,29.588,30.567,30.756,34.875,40.442,38.05,39.255,31.089,29.726,34.02,34.748,36.021,35.189,36.444,41.724,44.457,46.495,47.794,49.416,55.615,56.583,53.561,54.405,51.347,53.69,53.992,57.205,66.772,64.594,65.894,70.308,70.8,72.619,71.266,74.636,71.051,73.992,69.257,80.061,64.093,63.147,63.859,70.153,70.474,68.45,65.518,68.074,66.566,66.761,65.557,67.205,59.326,66.836,65.203,67.955,62.54,67.573,66.387,69.618,69.554,66.63,66.915,69.233,67.967,71.078,72.112,78.108,76.527,78.996,81.259,81.949,81.976,83.865,89.912,94.038,119.087,122.871,112.491,116.902,111.646,109.72,113.942,117.662,108.532,114.665,107.893,104.863,111.151,113.807,120.313,114.336,105.202,103.301,105.915,101.449,103.031,107.714,101.263,100.242,108.715,110.201,118.242,116.28,121.433,112.017,119.98,121.844,120.966,114.792,113.316,119.718,113.129,112.808,94.453,104.465,103.262,97.839,91.465,107.434,95.266,102.789,103.333,95.622,102.894,96.28,98.948,97.435,101.888,97.793,102.252,115.435,106.105,97.903,107.83,120.977
"24","16","Exports of services \1\","B646RA3",11.006,12.289,12.034,12.466,12.198,13.467,13.195,13.191,14.099,14.062,13.539,14.365,14.055,13.429,14.281,13.948,14.233,14.868,15.125,15.424,15.315,16.525,15.696,16.769,17.606,18.234,15.67,16.747,16.944,16.925,18.071,18.335,18.286,18.853,18.842,18.829,19.882,19.769,20.327,21.088,21.107,20.8,20.715,20.938,21.223,21.71,23.076,22.766,24.094,24.848,25.095,24.191,24.479,24.196,23.581,23.25,23.713,23.535,23.749,22.92,25.272,25.973,25.702,25.347,26.256,26.252,25.714,26.49,29.354,29.103,30.271,31.164,32.039,33.257,33.401,33.719,35.108,36.117,37.242,36.779,39.214,39.512,40.67,41.27,42.86,43.819,44.461,45.433,43.406,46.527,47.632,49.483,49.716,49.416,49.494,48.845,50.428,50.949,51.351,51.253,52.939,54.477,54.754,55.522,56.02,56.417,59.568,60.488,59.877,61.704,60.613,65.609,64.389,65.892,66.384,65.801,66.444,67.872,66.502,68.497,67.181,67.353,68.782,69.768,70.189,71.52,70.709,71.266,70.719,69.785,66.859,64.106,68.105,68.822,69.535,71.313,68.429,67.569,70.421,74.157,76.875,77.757,77.856,80.592,80.038,79.888,80.317,82.132,84.14,86.49,85.547,91.183,92.709,94.753,99.372,103.234,101.545,103.925,102.347,100.948,97.693,99.624,99.865,102.818,102.017,103.18,107.161,109.987,110.638,112.699,115.421,112.999,115.719,115.949,115.199,118.321,118.961,120.372,120.41,121.428
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",92.826,107.561,101.747,113.649,90.833,125.248,112.873,113.345,139.292,135.292,116.211,138.105,119.579,99.713,115.171,97.172,80.332,102.19,93.2,104.512,75.567,102.896,77.083,94.373,114.15,134.844,64.203,83.426,77.356,73.614,92.368,99.424,102.717,105.364,103.906,106.876,115.487,104.035,101.306,108.302,97.889,86.81,81.18,77.589,86.797,94.357,121.23,106.083,97.831,120.019,130.56,98.361,120.364,126.631,118.026,121.341,141.323,119.913,115.386,95.185,99.196,92.251,94.835,79.753,95.579,85.063,73.218,71.524,74.086,76.504,83.999,105.422,127.025,134.517,110.4,93.188,104.13,108.542,109.379,75.869,91.53,90.6,101.191,78.17,89.299,96.571,119.894,99.443,105.87,100.741,97.592,119.82,132.217,115.48,119.915,95.33,124.671,122.422,133.402,98.972,102.608,112.46,125.873,102.339,115.707,118.932,135.352,122.609,116.374,133.29,146.317,158.636,134.037,163.193,152.511,132.087,160.572,158.918,141.243,155.796,37.967,41.356,48.134,40.383,37.461,51.083,53.968,48.136,37.54,39.763,47.556,34.131,35.226,32.146,42.241,32.291,32.2,33.754,51.783,57.59,69.646,62.966,66.773,55.786,83.117,86.308,87.665,71.715,91.117,118.563,103.638,111.174,120.662,79.63,91.726,158.055,92.719,109.672,83.542,82.774,79.801,101.133,134.726,84.34,85.833,89.955,94.912,83.084,108.632,123.856,118.41,109.165,111.458,107.132,108.453,121.506,117.787,121.895,125.2,126.899
"26","18","  Travel","B493RA3",13.098,13.192,12.98,12.801,14.099,14.003,13.8,14.254,14.617,14.131,14.373,15.503,15.277,15.664,15.842,16.182,18.19,17.474,18.086,18.595,19.716,19.161,19.693,20.144,21.953,20.601,20.612,21.946,22.872,24.59,25.454,24.046,23.349,24.213,24.352,25.26,25.167,26.33,26.401,26.488,28.248,27.939,27.016,28.702,31.219,30.292,31.93,31.554,34.468,33.572,33.943,35.998,33.373,31.72,29.765,28.145,25.567,25.439,28.315,24.547,35.433,41.184,38.687,39.599,38.478,39.986,37.617,37.288,42.636,40.737,43.899,43.843,43.382,46.428,48.521,50.503,52.356,55.208,59.651,60.592,65.131,65.515,69.019,72.617,76.475,76.464,74.107,80.086,71.037,81.481,84.196,88.701,90.144,90.69,89.203,90.969,93.231,94.674,94.884,95.891,93.825,95.679,94.536,96.503,96.748,96.706,104.952,109.596,106.579,111.66,101.423,119.135,113.91,112.555,114.072,110.808,109.608,110.852,105.011,107.991,109.832,109.512,111.174,114.324,118.038,119.842,115.131,115.547,116.845,110.317,98.924,82.324,93.44,92.52,93.383,102.462,89.265,81.475,90.795,100.439,98.635,101.778,101.368,103.216,93.672,97.91,93.72,92.587,92.96,93.674,94.571,98.247,96.127,99.281,107.272,111.404,112.03,113.819,114.672,108.964,101.533,99.639,99.422,99.406,104.185,105.025,107.48,109.716,109.315,113.5,116.027,114.256,115.986,119.752,122.188,123.362,126.172,128.642,129.218,130.345
"27","19","  Passenger fares","B533RA3",7.776,8.014,8.463,7.878,9.323,9.872,9.517,9.943,10.299,9.665,9.529,10.438,10.013,10.579,10.461,12.038,14.075,14.467,15.788,15.148,15.765,14.847,14.428,14.16,12.636,11.56,13.269,12.578,12.728,14.104,14.759,14.139,13.96,15.714,15.258,15.614,15.859,16.281,18.125,20.786,22.57,24.191,24.554,26.349,26.197,26.17,26.832,25.203,27.539,29.719,29.256,27.553,28.471,27.836,27.101,27.734,31.479,31.514,30.779,32.635,35.029,37.886,36.077,37.037,36.912,39.88,42.239,45.46,49.058,44.348,54.277,52.91,53.86,59.597,60.513,62.327,68.043,70.695,75.471,70.952,79.976,77.589,84.642,88.525,107.178,111.308,107.692,117.723,88.562,104.772,111.32,113.152,107.985,106.781,103.74,107.244,105.506,103.339,104.493,102.404,103.666,106.463,104.938,102.23,106.98,102.374,113.24,117.184,117.253,120.124,113.628,123.779,129.385,124.797,124.963,130.352,123.616,129.473,128.393,117.775,111.229,111.246,115.618,109.436,109.92,116.327,113.354,113.436,108.228,104.966,96.556,72.474,90.472,89.707,85.55,86.218,74.469,66.983,74.004,76.09,76.886,79.41,81.855,75.998,77.247,82.689,86.465,88.457,87.852,87.015,88.705,86.41,89.033,86.588,95.11,102.428,103.789,105.756,103.967,101.864,100.119,102.287,102.089,95.505,97.38,100.073,106.029,105.774,105.615,108.407,113.494,109.921,110.204,113.493,113.96,113.743,114.067,117.791,118.657,116.469
"28","20","  Other transportation","B683RA3",24.7,32.828,32.258,32.118,33.769,34.742,35.533,34.202,33.577,35.156,35.934,31.315,37.124,36.995,38.324,40.533,46.563,44.848,45.118,44.15,44.308,47.544,46.938,50.234,47.646,45.881,45.687,47.364,50.922,47.954,49.935,52.685,50.346,53.585,52.078,47.674,51.709,53.435,54.923,56.204,60.109,59.114,62.023,62.537,59.507,59.872,60.634,62.218,62.163,60.41,60.64,60.287,60.848,59.507,57.514,55.916,52.656,55.068,57.51,60.184,67.026,68.202,68.622,68.566,70.126,68.177,68.228,71.146,66.299,66.909,69.152,69.978,72.005,74.195,77.395,80.435,84.657,87.533,86.703,87.295,88.383,89.058,85.303,87.803,88.188,89.981,90.313,83.031,83.858,88.989,89.83,91.033,85.652,84.129,82.4,82.757,84.438,83.962,82.731,85.467,85.546,91.397,91.897,96.966,95.637,98.231,98.687,101.999,93.435,95.927,94.731,99.772,97.378,99.337,99.065,100.738,96.904,95.332,96.027,101.094,90.702,89.187,87.497,92.96,90.935,89.756,86.756,87.554,89.829,87.723,82.699,83.601,89.234,89.117,90.205,94.64,88.585,90.91,88.813,94.225,96.104,96.192,95.122,92.853,97.208,96.302,94.222,100.623,102.626,103.157,104.076,108.401,113.755,114.454,117.681,115.888,121.243,117.563,116.108,107.085,96.251,97.639,100.387,105.723,107.357,110.656,106.456,109.603,107.663,106.815,108.384,108.12,108.546,108.096,106.33,105.14,109.875,109.779,106.707,108.499
