"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"11","4","  Industrial supplies and materials","B639RA3",23.082,26.261,27.463,30.748,27.798,29.609,36.427,37.485,32.792,35.417,35.714,39.469,45.196,51.296,47.844,46.395,44.144,46.401,46.669,48.752,49.967,56.334,62.575,66.232,70.797,72.1,70.203,74.122,79.866,83.6,90.827,89.836,90.887,100,96.102,96.4,98.855,105.131,107.241
"12","5","    Durable goods","B686RA3",23.336,27.504,30.408,34.587,26.052,27.664,37.551,35.902,30.001,31.835,30.722,37.123,43.572,51.766,41.869,36.573,36.226,36.705,36.415,37.594,40.957,49.897,56.276,60.646,63.602,62.115,59.731,63.256,71.295,75.519,82.368,83.686,86.814,100,91.361,85.434,87.628,91.582,99.334
"13","6","    Nondurable goods","B687RA3",23.282,25.939,26.18,29.001,29.215,31.169,36.317,38.941,34.871,37.989,39.101,41.39,46.786,51.771,51.973,52.713,49.336,52.648,53.241,55.889,55.76,60.547,66.714,69.933,75.524,78.672,77.143,81.309,85.476,88.883,96.355,93.823,93.48,100,99.062,103.338,105.957,113.707,112.364
"14","7","  Capital goods, except automotive","B640RA3",4.041,4.164,4.408,4.934,5.151,5.639,7.162,8.941,9.08,8.957,8.812,10.058,12.079,14.096,14.152,12.514,12.066,13.366,14.688,16.025,18.506,23.529,27.291,31.586,34.551,37.861,40.344,46.537,55.429,64.242,78.764,82.116,86.646,100,90.177,82.356,84.19,95.089,103.156
"15","8","    Civilian aircraft, engines, and parts","B688RA3",8.587,14.798,12.826,14.693,17.653,15.155,20.069,26.369,23.378,20.872,16.372,39.824,52.391,62.241,56.155,37.202,39.133,34.727,45.139,50.724,54.907,68.958,83.71,94.934,99.644,99.542,84.196,78.492,63.017,71.418,92.754,118.569,114.644,100,103.722,96.749,86.25,88.666,102.363
"16","9","    Computers, peripherals, and parts","B850RA3",0.015,0.016,0.021,0.038,0.044,0.055,0.078,0.127,0.14,0.188,0.274,0.426,0.657,1.117,1.385,1.544,2.254,3.597,4.458,5.55,7.815,10.661,11.746,14.197,16.589,20.054,23.454,29.185,38.996,51.224,67.301,70.231,79.997,100,88.584,76.55,81.186,88.325,101.75
"17","10","    Other","B689RA3",7.721,7.46,7.974,8.546,8.633,9.658,12.07,14.607,14.968,14.575,14.134,14.125,16.108,17.76,17.744,16.041,14.031,14.865,15.215,15.835,17.501,21.823,25.359,29.191,31.822,35.106,39.21,46.807,58.407,65.923,78.636,78.177,82.945,100,87.873,80.739,84.668,98.291,104.001
"18","11","  Automotive vehicles, engines, and parts","B641RA3",17.265,21.28,23.002,22.47,25.471,28.585,33.564,37.435,39.417,41.211,41.514,42.62,42.888,36.119,35.705,29.259,30.271,35.719,38.873,38.229,41.207,48.908,50.144,50.17,53.749,62.027,67.596,74.745,78.892,81.83,92.637,91.389,94.431,100,93.556,97.414,98.864,108.557,117.307
"19","12","  Consumer goods, except automotive","B642RA3",7.813,8.488,9.091,9.637,9.666,11.301,13.777,17.144,15.797,17.815,19.273,22.252,23.394,28.352,27.177,24.463,22.373,22.259,21.603,23.894,28.107,35.906,46.211,54.128,56.052,60.352,63.426,69.349,73.507,79.079,87.289,89.895,90.912,100,99.186,95.209,100.901,114.592,126.587
"20","13","    Durable goods","B690RA3",7.463,8.255,9.643,9.338,8.956,11.482,14.027,18.272,15.893,18.591,19.344,23.865,24.096,28.853,25.179,21.21,18.117,18.177,17.482,19.856,24.234,32.889,46.687,54.488,54.879,58.756,62.655,67.215,71.465,77.308,86.452,89.158,90.283,100,99.187,94.207,98.385,114.43,131.163
"21","14","    Nondurable goods","B691RA3",7.998,8.574,8.576,9.763,10.13,10.965,13.34,15.831,15.435,16.816,18.858,20.413,22.419,27.548,29.334,28.172,27.362,27.035,26.428,28.611,32.614,39.397,45.583,53.623,57.33,62.106,64.256,71.69,75.744,81.019,88.202,90.699,91.599,100,99.185,96.318,103.689,114.794,121.617
"22","15","  Other","B643RA3",21.849,23.17,26.296,30.228,31.231,34.837,35.752,35.014,34.656,32.678,38.193,30.744,30.527,33.615,40.038,33.994,39.187,49.361,57.757,56.726,70.192,75.899,77.232,68.559,71.627,69.824,68.047,69.836,71.468,75.911,83.65,91.801,97.835,100,95.527,94.951,83.507,82.849,91.539
"23","16","Exports of services \1\","B646RA3",14.905,16.049,16.646,18.128,19.527,19.404,20.775,22.396,23.773,24.476,26.055,28.234,29.103,30.919,34.211,33.263,32.71,35.627,36.051,41.325,45.502,49.616,54.723,60.48,64.082,67.59,69.726,74.097,78.793,84.483,89.509,92.077,97.207,100,96.302,98.104,99.776,107.119,113.569
"24","17","  Transfers under U.S. military agency sales contracts","B267RA3",78.184,92.617,90.906,96.704,115.638,94.372,83.134,76.506,86.717,74.941,91.58,93.824,75.095,89.307,97.681,106.338,103.155,80.029,71.142,74.34,101.695,87.001,79.036,88.594,92.708,101.217,104.83,96.918,107.701,121.261,127.21,134.797,117.569,100,93.566,89.676,96.17,109.063,132.905
"25","18","  Travel","B493RA3",9.908,10.239,11.179,12.056,12.586,13.518,15.532,16.899,18.273,20.817,20.862,22.411,24.025,26.836,29.623,26.408,22.3,33.256,32.927,36.737,40.541,48.908,58.457,65.939,69.864,77.505,81.299,81.699,87.595,94.206,96.9,93.086,95.138,100,86.931,81.199,76.89,86.103,93.814
"26","19","  Passenger fares","B533RA3",5.806,6.409,6.924,8.33,8.605,9.286,12.818,12.758,10.785,12.01,13.048,15.312,21.047,22.499,24.582,23.951,27.241,31.47,35.448,43.228,50.923,61.453,71.274,95.662,90.039,91.751,89.594,89.929,94.774,102.318,109.798,107.592,98.231,100,85.943,79.538,65.481,71.336,72.972
"27","20","  Other transportation","B683RA3",27.089,27.752,29.894,33.901,33.346,37.513,44.307,46.354,45.754,49.412,49.948,53.035,59.782,59.401,59.712,57.33,55.278,66.803,68.093,66.784,74.556,84.894,85.963,86.2,86.739,82.135,82.542,89.705,96.754,94.134,97.237,95.48,99.614,100,96.461,98.691,100.089,114.095,115.92
"28","21","  Royalties and license fees","B684RA3",19.334,19.712,20.336,22.31,23.028,24.046,26.332,29.196,30.067,28.587,29.972,33.179,31.912,33.001,31.086,22.142,21.879,22.42,23.381,27.605,33.404,38.39,41.842,48.13,49.682,56.495,57.38,69.106,76.481,80.222,80.662,85.776,94.082,100,92.233,99.372,105.397,112.513,124.161
"29","22","  Other private services","B720RA3",2.537,2.629,2.886,3.094,3.585,3.999,4.364,7.121,8.264,9.56,9.851,11.666,13,13.894,19.865,23.956,23.674,24.003,23.958,34.02,34.057,35.626,41.106,43.209,49.123,50.055,52.141,58.504,61.248,67.644,76.575,83.978,96.908,100,106.316,114.722,123.145,128.277,133.506
"30","23","  Other","B980RA3",34.65,36.535,37.063,39.134,39.855,42.845,50.063,54.073,58.207,60.417,64.299,68.441,73.244,70.25,74.941,58.404,75.086,76.361,89.46,81.17,79.548,75.153,71.532,79.069,88.16,94.886,100.668,100.525,94.187,101.952,100.915,102.813,95.784,100,103.568,97.954,90.138,87.18,83.483
"31","24","    Imports of goods and services","B021RA3",11.417,13.118,13.866,14.457,15.229,16.943,17.729,17.327,15.402,18.413,20.426,22.196,22.565,21.066,21.62,21.348,24.041,29.893,31.833,34.561,36.602,38.039,39.706,41.139,40.905,43.748,47.576,53.256,57.539,62.544,71.037,79.299,88.391,100,97.291,100.601,105.205,116.495,123.676
"32","25","Imports of goods \1\","B255RA3",9.4,11.342,11.963,12.432,13.474,15.307,16.388,15.932,13.924,17.073,19.153,20.871,21.229,19.653,20.058,19.554,22.21,27.584,29.31,32.314,33.812,35.181,36.686,37.77,37.741,41.263,45.423,51.466,56.104,61.337,70.172,78.364,88.078,100,96.833,100.377,105.288,116.83,124.643
"33","26","  Foods, feeds, and beverages","B647RA3",35.285,40.038,37.943,40.526,41.835,44.536,45.671,42.254,37.374,42.536,42.111,47.28,48.53,42.24,43.949,44.801,48.624,55.079,57.464,58.822,60.291,57.899,59.221,61.489,58.709,61.979,62.7,64.127,65.706,72.256,79.598,85.421,93.385,100,104.607,110.134,118.679,125.489,130.367
"34","27","  Industrial supplies and materials, except petroleum and products","B649RA3",24.283,28.904,27.351,27.636,30.123,33.054,33.266,32.41,27.298,33.245,35.771,39.171,37.631,32.839,35.65,32.317,38.382,47.599,47.869,50.412,49.915,50.459,49.33,50.074,49.15,54.035,58.632,67.373,70.735,74.898,81.051,89.807,93.665,100,96.369,99.12,100.787,116.581,122.99
"35","28","    Durable goods","B820RA3",30.735,38.514,35.11,35.338,38.686,42.822,43.768,42.447,33.753,39.457,44.229,48.864,46.243,38.001,40.164,32.804,40.882,51.561,50.563,53.8,50.594,49.729,47.762,47.729,45.523,50.011,54.931,65.859,68.25,73.091,78.693,90.496,93.821,100,93.796,98.696,99.877,120.506,128.156
"36","29","    Nondurable goods","B696RA3",18.118,19.832,19.968,20.3,21.976,23.778,23.316,22.897,21.137,27.265,27.704,29.939,29.41,27.857,31.258,31.702,35.861,43.669,45.129,46.988,49.242,51.297,51.095,52.69,53.117,58.435,62.695,69.067,73.481,76.924,83.684,89.045,93.502,100,98.997,99.549,101.695,112.674,117.722
"37","30","  Petroleum and products","B648RA3",20.444,23.543,26.266,28.374,32.449,39.628,56.295,54.195,53.3,64.268,77.321,73.102,73.943,59.717,52.325,45.004,44.538,47.045,44.176,54.617,57.046,63.099,68.062,68.968,65.552,67.935,74.981,79.608,78.21,84.381,88.2,93.943,94.464,100,103.714,101.079,107.621,114.653,117.623
"38","31","  Capital goods, except automotive","B650RA3",0.771,0.882,1.032,1.074,1.064,1.36,1.678,1.788,1.699,2.058,2.196,2.835,3.47,4.088,4.817,5.242,6.341,9.476,10.68,12.124,13.843,15.955,18.07,19.48,20.944,24.259,28.291,34.762,42.803,50.292,63.048,72.462,83.186,100,88.598,87.158,92.361,108.366,120.468
"39","32","    Civilian aircraft, engines, and parts","B932RA3",2.594,3.633,3.289,3.361,3.814,7.9,9.821,9.082,7.349,4.851,6.437,8.578,12.534,25.337,28.553,23.794,20.653,23.12,32.327,36.484,40.492,46.937,53.665,56.718,57.196,59.844,52.181,50.686,46.89,53.147,67.092,86.7,92.827,100,114.588,91.848,86.414,84.021,85.684
"40","33","    Computers, peripherals, and parts","B852RA3",0.001,0.002,0.002,0.004,0.005,0.008,0.011,0.016,0.018,0.029,0.039,0.067,0.1,0.148,0.212,0.319,0.785,1.434,1.625,2.526,4.051,5.306,6.691,7.539,9.674,13.403,17.867,23.786,31.647,40.295,53.193,66.266,85.438,100,91.267,100.647,109.729,135.864,155.292
"41","34","    Other","B853RA3",1.561,1.756,2.074,2.116,2.044,2.509,3.067,3.261,3.108,3.82,3.993,5.066,6.075,6.74,7.894,8.659,9.962,14.755,16.289,17.443,18.555,20.734,22.828,24.377,25.091,27.806,32.037,39.126,47.906,54.748,67.162,73.663,81.215,100,84.554,81.98,87.24,102.418,113.668
"42","35","  Automotive vehicles, engines, and parts","B651RA3",8.394,13.056,15.947,16.306,19.891,21.553,22.239,23.62,18.745,24.839,26.312,28.473,27.532,27.277,26.398,28.254,34.584,44.436,49.79,53.899,55.308,53.919,52.454,52.72,49.178,51.724,56.86,63.564,64.624,66.838,72.3,76.962,92.005,100,96.96,103.781,106.477,113.697,117.996
"43","36","  Consumer goods, except automotive","B652RA3",5.922,7.475,8.824,9.486,9.983,12.168,12.487,11.238,8.714,11.243,13.576,16.679,16.805,16.931,18.539,19.377,23.323,29.441,32.135,35.608,36.759,37.302,39.025,38.335,38.994,43.047,46.631,50.524,54.399,58.49,66.848,75.79,85.076,100,101.705,111.247,120.896,134.127,145.021
"44","37","    Durable goods","B697RA3",5.726,7.243,8.359,8.915,9.589,11.882,12.567,11.861,8.954,10.778,14.489,17.638,17.542,18.491,20.11,20.529,24.231,30.523,33.892,36.71,36.659,37.075,39.112,37.065,37.404,41.029,44.566,48.66,52.13,56.616,63.892,73.744,83.628,100,99.221,110.535,118.629,137.064,151.962
"45","38","    Nondurable goods","B698RA3",6.377,8.02,9.818,10.685,10.884,12.925,12.612,10.466,8.459,11.966,12.404,15.462,15.903,14.915,16.507,17.876,22.117,27.999,29.865,34.13,36.774,37.473,38.808,39.768,40.817,45.378,49.01,52.646,57.004,60.606,70.237,78.114,86.715,100,104.497,112.07,123.431,131.025,137.628
"46","39","  Other","B653RA3",10.305,10.685,11.599,11.635,12.079,12.644,11.668,10.659,8.404,9.572,11.72,12.606,12.981,15.541,20.514,22.491,23.279,26.992,32.155,32.722,34.185,35.453,38.198,44.236,45.268,46.926,47.901,52.982,54.12,56.115,65.112,75.238,88.402,100,101.767,105.376,100.517,100.675,104.968
"47","40","Imports of services \1\","B656RA3",22.887,23.298,24.767,26.059,25.317,26.39,25.5,25.472,24.367,26.049,27.347,29.297,29.7,29.037,30.711,32.346,34.958,43.724,47.05,47.638,53.205,55.01,57.678,61.43,59.849,58.321,60.026,63.421,65.492,69.094,75.6,84.222,90.038,100,99.706,101.824,104.921,114.991,119.07
"48","41","  Direct defense expenditures","B752RA3",219.574,226.5,239.568,233.828,203.817,195.949,157.144,146.757,122.574,115.534,120.265,130.678,126.39,138.246,146.876,157.682,171.693,169.741,177.049,158.553,147.608,137.713,136.218,132.05,122.687,99.784,89.296,73.352,65.049,71.936,82.931,88.86,95.63,100,109.246,134.821,152.726,161.458,154.632
"49","42","  Travel","B768RA3",17.139,15.531,16.85,19.441,19.421,21.005,19.816,17.789,17.161,18.254,18.808,19.427,18.953,18.93,20.023,23.735,26.891,49.152,54.252,50.434,59.8,61.451,63.315,67.646,61.258,63.07,66.16,68.51,69.048,71.758,77.947,88.113,89.818,100,95.265,90.218,82.234,87.121,86.261
"50","43","  Passenger fares","B769RA3",11.966,12.428,15.02,16.859,16.558,19.594,22.34,21.719,21.813,23.703,23.794,26.411,27.159,26.546,30.515,31.402,39.417,38.571,44.894,43.682,48.154,48.973,52.568,61.209,52.209,53.817,58.725,66.885,71.346,75.925,82.161,89.327,92.865,100,85.293,71.846,73.884,84.924,88.377
"51","44","  Other transportation","B770RA3",28.519,31.437,32.075,34.241,36.837,39.226,42.644,43.288,41.402,46.858,52.174,54.36,55.835,49.121,49.146,43.502,45.164,53.932,54.911,56.003,64.294,69.284,71.797,77.222,76.122,72.917,74.552,78.996,78.851,77.714,83.923,89.668,90.082,100,94.816,97.228,100.173,111.057,111.157
"52","45","  Royalties and license fees","B908RA3",4.852,5.161,5.897,5.658,5.726,6.678,8.256,8.915,10.448,9.987,9.671,11.485,12.756,10.214,8.834,8.243,9.375,11.146,10.782,12.521,16.011,21.62,20.102,23.809,29.543,36.741,34.945,39.772,45.869,50.847,58.395,71.044,81.614,100,98.426,113.436,111.481,134.141,140.853
"53","46","  Other private services","B909RA3",1.745,1.975,2.196,2.303,2.544,2.62,2.934,5.896,6.665,8.009,8.386,9.804,11.104,11.334,13.348,15.135,14.182,15.894,17.708,25.442,28.928,30.853,35.9,38.865,43.155,40.764,43.697,49.816,55.287,61.103,67.277,76.525,89.555,100,110.854,118.347,131.605,144.069,160.041
"54","47","  Other","B910RA3",53.474,57.144,55.256,55.004,53.07,52.766,52.378,50.151,49.583,53.324,53.701,56.215,56.548,53.044,52.836,58.91,63.401,65.504,70.145,66.253,75.097,76.064,76.376,76.561,79.292,80.923,81.288,84.906,86.202,87.843,91.273,94.789,94.758,100,103.556,103.08,103.35,107.566,106.755
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RA3",7.465,8.169,8.832,9.662,9.593,10.595,13.202,15.238,14.922,15.133,15.099,16.833,19.161,21.371,20.603,17.907,17.539,19.434,20.998,22.222,25.374,31.479,35.912,39.752,42.701,46.112,48.509,54.382,62.125,69.366,81.901,84.526,88.476,100,91.73,86.294,87.796,97.626,106.485
"57","49","  Exports of nondurable goods","B339RA3",20.835,22.052,22.261,25.526,25.556,28.417,34.305,33.99,33.088,36.268,37.537,41.571,45.316,50.967,52.303,50.719,48.687,50.606,49.289,51.259,54.315,59.872,64.721,67.463,71.44,76.057,75.509,79.089,84.201,86.809,92.349,92.279,93.765,100,99.586,100.459,102.39,106.44,109.52
"58","50","  Exports of agricultural goods \2\","B181RA3",31.311,31.208,29.88,34.833,34.778,39.966,50.704,46.492,47.175,52.822,54.101,64.052,66.892,75.299,75.238,71.864,68.66,68.115,59.133,59.587,62.582,68.784,71.669,73.245,73.234,82.081,79.847,82.598,92.147,90.069,91.661,91.683,92.42,100,103.225,100.601,102.028,96.291,103.295
"59","51","  Exports of nonagricultural goods","B182RA3",11.816,13.057,13.881,15.065,14.965,16.32,19.818,22.372,21.631,22.009,21.925,23.949,26.914,29.477,28.716,24.915,23.336,24.454,25.513,26.99,30.207,36.271,40.973,44.739,48.176,51.549,53.564,59.134,66.063,72.753,84.18,86.233,89.723,100,93.19,89.38,91.016,100.336,107.388
"60","52","  Imports of durable goods","B333RA3",5.122,6.524,6.971,7.163,7.887,9.072,9.658,9.695,7.923,9.706,10.984,12.695,12.987,13.088,14.178,14.339,17.282,22.996,25.297,27.644,28.865,30.069,31.415,32.249,32.427,35.823,40.068,46.685,52.039,57.608,67.053,75.766,86.726,100,93.755,97.608,101.779,115.721,125.343
"61","53","  Imports of nondurable goods","B340RA3",20.743,23.496,24.373,25.697,27.289,30.477,32.874,30.821,28.595,35.088,39.079,40.354,40.821,35.146,34.091,32.104,34.191,38.939,39.408,44.059,46.275,48.046,49.926,51.648,51.074,54.846,58.656,62.925,65.516,69.818,77.199,84.137,90.901,100,102.902,105.825,112.155,119.544,124.472
"62","54","  Imports of nonpetroleum goods","B187RA3",7.333,8.88,9.326,9.662,10.427,11.771,12.219,11.904,9.973,12.306,13.425,15.404,15.698,15.419,16.832,17.185,20.31,26.18,28.484,30.909,32.347,33.441,34.745,35.843,36.044,39.64,43.625,49.714,54.651,59.815,69.01,77.332,87.537,100,96.155,100.268,105.008,117.121,125.576
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
