"","Table 5#6#6B# Real Change in Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"15","7","Wholesale trade","N658RX1",22.3,32.7,15.8,29.4,28.8,10.2,30.2,20.9,20,9.1,24,25.7,19.4,24.8,14.6,11.6,0.9,2.8,-18.2,-28.4,-15.4,0,12.5,8.3,-1.5,-6,2.3,10.1,12.8,20.5,34.4,25.6,23.3,16.2,10.8,13.4
"16","8","  Durable goods industries","N661RX1",15.3,27.2,7.2,15.5,24.5,4.6,20.3,17.3,13,10,11.5,18.8,12.7,23.1,5.9,6.2,0.1,-17.2,-21.3,-26.7,-16.4,-2.4,12.4,4.8,3,-5,-7.3,14.7,15.1,20.1,28.2,17.7,15.2,13.5,9.4,18.8
"17","9","  Nondurable goods industries","N664RX1",6.9,4.8,8.9,14.1,3.7,5.8,9.8,3.2,6.9,-1.2,12.6,6.8,6.8,1.7,8.7,5.4,0.9,19.4,2.9,-1.8,0.8,2.3,0.2,3.4,-4.3,-1.1,8.9,-3.9,-1.7,1.1,6.8,8,8.1,3,1.7,-4
"18","10","Retail trade","N153RX1",-1.9,21.5,19,20,39.4,11.1,10.2,8.6,34,12.7,16.6,47.4,8.2,36.4,23.1,18.8,-17.1,5.9,5.3,-37.4,21,28.5,18.7,28.9,26.4,7.9,19.1,13.5,26.3,28.4,-10.2,17,7,-13.7,-13.4,24.8
"19","11","  Motor vehicle and parts dealers","N631RX1",-3.9,4.5,7.2,12.6,15.1,-0.3,-3.8,-2,21.3,0.4,7.7,22.8,4.2,24.4,16,4.7,-21.1,9.5,7,-30.7,21.9,20.1,4,27.7,21.6,12.6,8.4,8.9,20.4,16.4,-17,-3.2,-4.5,-24.4,-15.2,23.5
"20","12","  Food and beverage stores","N542RX1",0.3,0,1.9,-0.8,2.3,2,0,0.7,1.8,0.9,2.8,1.9,0.2,-1.7,0.7,0.1,1.5,0.7,-0.5,1.1,-1.2,0.3,1.3,0.2,0.2,-1.6,0.5,-3,0.2,1.4,-0.2,0.6,-0.4,0.4,-1.6,1.5
"21","13","  General merchandise stores","N543RX1",-2.9,3.2,-1.2,1.6,2,0.5,2.7,-1.6,2.1,0.9,2.4,5.3,0.7,2,-1,2.6,6.2,0.3,-1.9,-5.2,-3.5,0.5,4.1,3.8,-0.8,0.5,2.2,1.8,3.8,3.2,1.4,6.6,5.4,0.9,3.5,-1.1
"22","14","  Other retail stores","N558RX1",4.5,13.6,11,6.7,19.9,8.9,11.1,11.5,8.8,10.4,3.7,17.3,3,11.7,7.4,11.5,-3.7,-4.7,0.7,-2.7,4,7.8,9.2,-2.2,5.9,-3.1,8.3,6.4,2.8,7.9,4.6,12.6,6.1,7.9,-0.9,2.3
"23","15","Other industries","N154RX1",8.6,4.6,3.1,5.4,3,5.3,5.6,9.6,7.8,9.4,7.2,4.9,12.9,14.2,17.5,5,2.2,-0.6,-0.3,-0.8,-3,1.5,-1.6,-2.3,-2.7,3,-1,-0.3,3.4,2.4,4.3,3.8,3.4,3,1.2,4
"24","16","Residual","N969RX1",-0.3,0.9,-0.2,-0.1,0.8,-0.5,0.6,0.1,0.7,0.4,1,1.2,-0.2,0.5,0.1,-0.4,0.9,1.7,0.8,-0.7,0.4,0.2,0,-0.7,-0.6,-0.1,0.3,-1.5,-3.7,-1.5,2.2,-0.8,-0.1,1.3,-1.8,-6.9
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Change in private inventories","A014RX1",34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,-7.8,-2.5,-29.9,-86.7,-10.2,2.6,28,29.5,24,-0.4,9.3,29,41.9,65.6,50.4,50.1,58.2,-1.7,-13.3,25.7
"27","18","    Durable goods industries","N355RX1",24.5,52.8,33.5,43.2,74.7,28,34,32.8,48.7,14.5,32.4,66.1,18,67.2,29.2,29.8,-23.9,-24.4,-40,-81.5,-4.6,6.8,16.1,43.6,21.6,-1,-4.9,34.6,41.9,50,25.8,28.4,33.4,-6.9,5.6,39.9
"28","19","    Nondurable goods industries","N357RX1",9.8,41,38.8,40,41.3,22.3,30,25.8,30.2,27.4,18.1,36.9,8.9,32,27,13.8,15.7,21.4,9.6,-5.4,-5.7,-4.2,11.9,-13.1,2.9,0.5,13.6,-4,1.8,17.2,24.7,22,25.3,4.6,-17.4,-10.5
"29","20","  Nonfarm industries","B015RX1",44.7,87.6,63.9,77.8,111.5,52.7,62.3,58.3,78.7,40.2,61.7,105.4,41.5,93.2,58.8,37.8,-13.5,-1.1,-31.1,-81.7,-11.1,12.4,29.3,29.9,19.7,1,13,28.1,46.8,58.5,43.7,50.8,61.8,3.4,-8.1,30.6
"30","21","  Wholesale trade","N658RX1",22.3,32.7,15.8,29.4,28.8,10.2,30.2,20.9,20,9.1,24,25.7,19.4,24.8,14.6,11.6,0.9,2.8,-18.2,-28.4,-15.4,0,12.5,8.3,-1.5,-6,2.3,10.1,12.8,20.5,34.4,25.6,23.3,16.2,10.8,13.4
"31","22","    Merchant wholesale trade","N151RX1",18.7,28.6,15.4,26.4,25.8,10.2,28.4,17,17.8,6,21.6,24.8,18.2,22,11.2,8.9,0.6,3.4,-12.3,-25.2,-12.5,1.7,10.3,7.9,1.6,-7.1,2.6,8.8,10.3,16.4,31.3,26.6,17.7,15.8,10.1,10.6
"32","23","      Durable goods industries","N626RX1",12.4,24.2,7.4,14,21.6,5,18.5,14.2,11.2,7.1,10.9,18.6,11.8,21.3,3.1,3.8,-0.2,-16.7,-16.6,-23.7,-14.3,-1.5,11,4.9,5.2,-5,-6.6,12.9,13,19,24.9,18.5,11.6,13.8,7.5,14.2
"33","24","      Nondurable goods industries","N627RX1",6.2,3.9,8.1,12.6,3.8,5.3,9.9,2.5,6.5,-1.3,10.8,6.1,6.4,0.7,8.1,5,0.8,19.5,4,-1.6,1.6,3.1,-0.5,3,-3.3,-2.1,8.5,-3.5,-2.2,-1.8,6.8,8.1,6.1,2.3,2.7,-2.8
"34","25","    Nonmerchant wholesale trade","N152RX1",3.6,4.1,0.4,2.9,3,-0.1,1.7,4,2.1,3.2,2.4,0.8,1.3,2.8,3.3,2.7,0.3,-0.6,-5.9,-3.2,-3,-1.7,2.2,0.3,-3.1,1.1,-0.3,1.3,2.5,4.1,3.1,-0.9,5.5,0.5,0.7,2.7
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2000) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
