"","Table 4AU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","27","  Durable goods","STMDW0",66742,68486,69606,71192,72277,72873,73849,75038,76638,76950,78218,79358,78058,77617,77345,74915,74164,72030,71932,70905,71239,71741,72656,74141,76935,78580,81397,83555,85298,86088,86035,85936,84837,85230,83803,83003,82026,82436,82961,84548,84855,83264,85592,86840,88838,90862,91706,94171,95033,97752,99015,101257,101845,102085,101076,100939,102013,101124,101307,99725,97243,96866,95461,94214,91404,91349,91169,92809,95375,99585,102877,105152,104729,104623,105133,102844,103420,102458,101103,99347,98986,99583,101908,103487,104452,105930,106018,110070,112445,115270,115693,117169,118361,118764,120444,118688,117204,115794,113722,111371,109084,106205,104317,103787,103539,104195,105183,104190,105488,106362,107321,107067,107894,106738,106594,105853,106971,108003,108146,110148,110104,109434,109780,111845
"12","28","    Lumber and wood products","ST24W0",1303,1474,1566,1426,1605,1611,1499,1448,1374,1554,1750,1817,1754,1836,1980,1980,2168,2078,2002,1902,1866,1800,1842,1962,2097,2024,2015,2077,2196,2187,2259,2363,2361,2391,2418,2136,2139,2201,2261,2261,2132,2101,2251,2266,2240,2320,2314,2349,2418,2434,2321,2421,2552,2371,2236,2372,2358,2356,2284,2244,2228,2098,2103,1915,1963,2124,2199,2183,2199,2165,2229,2299,2274,2469,2443,2315,2342,2274,2319,2399,2540,2300,2334,2375,2393,2388,2302,2475,2316,2383,2339,2320,2377,2373,2539,2372,2234,2300,2309,2235,2202,2210,2116,2102,2193,2106,2203,2241,2246,2233,2248,2254,2282,2286,2295,2393,2361,2495,2469,2320,2395,2396,2445,2376
"13","29","    Furniture and fixtures","ST25W0",794,816,787,841,838,830,859,845,885,919,970,983,1034,1051,1057,1074,1058,1129,1148,1077,1182,1194,1244,1207,1280,1297,1280,1250,1285,1265,1243,1211,1164,1094,1089,1098,1128,1189,1165,1217,1205,1146,1256,1300,1302,1348,1393,1406,1440,1426,1362,1421,1365,1338,1393,1394,1423,1464,1420,1448,1387,1404,1418,1346,1320,1341,1366,1444,1494,1523,1584,1638,1659,1698,1818,1570,1718,1653,1545,1597,1583,1609,1605,1642,1697,1666,1698,1692,1725,1717,1653,1624,1631,1655,1662,1581,1479,1458,1478,1485,1453,1471,1432,1465,1602,1590,1498,1451,1504,1463,1476,1470,1426,1478,1467,1496,1448,1459,1492,1462,1473,1440,1484,1478
"14","30","    Stone, clay, and glass products","ST32W0",948,992,958,924,877,758,730,959,968,1018,995,964,964,886,968,939,971,963,975,975,924,1014,1037,1045,1075,1052,1078,1115,1107,1085,1175,1194,1213,1194,1154,1103,1129,1207,1194,1247,1198,1171,1216,1214,1255,1267,1280,1301,1342,1371,1302,1288,1301,1320,1305,1290,1413,1350,1468,1385,1334,1279,1307,1301,1230,1361,1277,1337,1340,1371,1400,1447,1489,1516,1607,1498,1485,1427,1430,1433,1371,1408,1448,1496,1521,1513,1512,1479,1498,1517,1471,1448,1404,1397,1378,1441,1456,1424,1454,1465,1438,1429,1445,1407,1398,1389,1409,1338,1292,1244,1169,1302,1365,1469,1486,1427,1446,1459,1434,1494,1521,1431,1540,1499
"15","31","    Primary metals","ST33W0",8492,9143,9260,9386,9198,8817,8869,9193,9162,9410,9456,9448,9158,9583,9687,10145,10417,9963,10000,9885,10362,10736,10999,11021,11027,10736,10814,10699,10815,10623,10752,11123,11990,12667,12364,12623,12613,12815,12861,13137,13174,13022,13148,13022,12857,13179,13619,14044,13405,13768,14088,14122,13507,14316,13347,13590,14313,14065,14352,14382,13902,13069,12840,12165,11472,11253,11531,11793,11947,12618,12388,12029,11799,11115,10666,10284,10184,10009,9923,10063,9803,9905,10093,10515,10485,10491,10796,10954,11383,11505,11156,10998,10625,10567,10873,10711,10935,10964,10697,10399,10208,10417,10042,9882,9986,9660,10178,10092,10024,10064,10000,10191,9985,9984,9975,9870,10055,10191,10238,10535,10397,10347,10298,10396
"16","32","    Fabricated metals","ST34W0",8341,8379,8221,8420,8277,8436,8510,8926,9255,9323,9122,9082,8919,9147,9238,8866,8579,8517,8480,8371,8678,8860,8490,8821,9318,9499,9545,9777,9785,9953,9868,10332,9766,9896,10196,10205,10119,10191,10268,10596,10402,10278,11003,11180,11915,11941,11869,11762,11727,12033,11756,11777,11752,11438,11337,11603,11229,10970,10806,10691,10625,10451,10179,9406,9311,9500,9673,9620,9755,10076,10136,10152,10035,9865,9982,10292,10069,10340,10432,10352,10702,10397,10415,10399,10416,10304,10548,10631,10563,10502,10551,10505,10571,10268,10042,10231,9710,9707,9742,9460,9610,9514,9582,9244,9341,9270,9272,8885,9060,8975,9035,9214,9407,9418,9449,9345,9297,9315,9449,9475,9545,9756,9880,9936
"17","33","    Industrial machinery","ST35W0",7456,7551,7492,7524,7538,7453,7498,7665,7989,8050,8284,8424,8558,8562,8559,8343,8088,8093,7984,7858,7739,7933,8211,8586,9422,10219,10965,11557,12282,12658,12900,12920,12678,12272,12127,11796,11508,11516,11575,11810,11974,11946,12060,12316,12714,13082,13383,13871,14159,14481,14821,15245,15603,15762,15775,15749,15812,15470,15687,15467,14759,14634,14058,13427,13027,12851,12725,12775,12954,13468,13544,13925,13840,13584,13875,13643,13598,13345,13087,12946,12907,13255,13342,13199,13475,13757,13848,14139,14356,14890,14809,15074,14797,14501,14759,14562,14566,14571,14025,14109,14136,13943,14207,14139,13773,14124,14959,15208,15992,16560,16856,16679,18126,18320,18299,18527,19140,19066,18601,19161,19279,19529,19455,19728
"18","34","    Electronic machinery","ST36W0",3932,4054,4199,4393,4507,4627,4680,4785,4946,5108,5211,5117,4962,4895,4901,4920,4728,4591,4489,4459,4470,4379,4532,4550,5018,5352,5708,6106,6272,6286,6224,5974,5620,5668,5600,5514,5562,5623,5633,5964,6051,6332,6567,6836,7140,7313,7508,7701,8142,8459,8915,9207,9230,9080,9094,9122,9357,9544,9655,9504,9345,9376,9192,9197,9047,9229,9164,9621,9709,9838,10211,10278,10148,10193,10036,9643,9503,9330,9194,8970,8861,8958,9013,9158,9071,9044,9125,9269,9372,9414,9408,9435,9424,9409,9451,9381,9276,9171,8934,8845,8791,8701,8948,9073,9263,9373,9423,9427,9707,10119,10503,10749,10876,10624,10768,11190,11485,11821,11906,11762,11872,11980,12389,12696
"19","35","    Transportation","ST37W0",36934,38214,39519,40905,42415,43448,44511,44623,45281,44629,45577,46989,45479,44133,43485,40843,40723,38622,38837,37972,37966,37738,37785,38416,38513,38252,39529,39624,39800,40024,39097,38381,37805,38405,37198,36908,36077,35867,35966,35902,36145,33856,34786,35105,35511,36621,36088,37518,37772,39425,39713,41217,41553,41216,41318,40427,40714,40527,39870,38602,37926,38794,39170,40639,38989,38469,38188,38726,40791,43481,46476,47688,47176,47445,47272,45837,47029,46483,44976,43125,42835,42830,44703,45888,47009,49068,48764,51792,53374,55583,56829,59323,61243,62568,63885,62549,61969,60295,59348,57111,54683,51902,49250,49049,48853,49302,48964,48187,48243,47961,48097,47375,45977,44597,44008,41938,41717,42363,42654,44378,44023,42858,41992,42917
"20","36","      Motor vehicles","ST371W0",6213,5950,6134,6121,6124,6148,6390,6280,6360,6258,6485,6411,6210,5809,6075,6039,5984,5669,5742,5781,5670,5920,5929,5975,6288,6577,7084,6858,6972,6675,6660,6449,6342,6609,5998,5871,6004,6166,6348,6920,7000,7327,7179,7478,7559,7672,7637,7915,7976,7821,7300,6899,6459,6069,6358,5819,5487,5392,5291,4958,5130,5097,4852,4417,4638,4827,5019,5289,5325,5315,5385,5392,5208,5253,5084,4827,5016,4952,4545,4797,4678,4680,4842,4890,4839,4894,4679,5059,5004,4965,4989,4766,4645,4693,5019,5048,4861,4779,4795,4627,4716,4810,4789,4618,4898,5247,4960,5335,5339,5487,5520,5858,6108,6185,5840,5758,5407,5328,5802,5746,5647,5647,6340,5708
"21","37","      Other","ST37XW0",30438,32013,33128,34538,36056,37072,37879,38111,38688,38143,38850,40353,39050,38132,37188,34562,34502,32730,32865,31946,32066,31551,31589,32176,31922,31332,32057,32405,32457,33018,32096,31611,31150,31449,30934,30787,29780,29374,29260,28525,28680,25953,27083,27055,27373,28377,27872,29005,29191,31068,31987,34014,34886,35007,34764,34488,35173,35095,34541,33639,32767,33695,34356,36332,34421,33690,33199,33454,35501,38233,41188,42404,42086,42310,42318,41145,42146,41664,40583,38433,38269,38261,39981,41129,42321,44347,44272,46924,48584,50865,52099,54868,56944,58233,59211,57826,57444,55838,54862,52779,50228,47320,44663,44640,44147,44232,44195,43015,43066,42627,42729,41650,39981,38509,38278,36279,36419,37152,36953,38749,38644,37379,36096,37311
"22","38","    Instruments","ST38W0",3658,3639,3685,3701,3642,3658,3669,3720,3770,3787,3756,3769,3800,3861,3841,3734,3700,3659,3699,3739,3743,3717,3820,3856,3899,3961,3987,4140,4136,4214,4276,4337,4340,4317,4217,4219,4230,4286,4375,4471,4461,4429,4556,4611,4714,4754,4821,4869,4897,4926,4959,4974,5098,5125,5056,5115,5118,5102,5119,5121,5078,5070,5029,4999,5005,5122,5093,5226,5390,5644,5933,6329,6600,6878,7117,7194,7235,7366,7556,7597,7601,7739,7962,8132,7997,7773,7680,8077,8377,8458,8457,8124,8285,8340,8342,8240,7954,7992,7963,7952,7847,7670,7649,7610,7460,7446,7324,7122,6987,7054,7029,6999,7233,7297,7488,7854,8007,7903,7983,7869,7883,7925,8079,8317
"23","39","    Other manufacturing","ST39W0",1194,1159,1159,1231,1333,1321,1325,1310,1314,1350,1413,1416,1437,1515,1490,1476,1552,1545,1590,1645,1610,1807,1763,1753,1737,1698,1669,1786,1771,1689,1759,1649,1587,1585,1541,1598,1609,1602,1699,1757,1794,1852,1858,1912,1894,1836,1883,1913,1884,1853,1784,1705,1732,1850,1764,1633,1696,1627,1640,1680,1651,1651,1583,1546,1387,1343,1422,1472,1565,1565,1499,1556,1579,1579,1605,1545,1537,1437,1558,1556,1532,1444,1551,1532,1564,1636,1431,1615,1563,1662,1597,1490,1561,1538,1608,1543,1537,1532,1485,1470,1481,1483,1451,1449,1428,1519,1447,1547,1551,1445,1485,1353,1278,1248,1184,1168,1188,1118,1140,1118,1091,1093,1077,1080
"24","40","  Nondurable goods","STMNW0",15610,15804,15704,15990,16010,16466,16857,17334,17658,17562,17960,17896,17536,18063,17845,18096,18379,18821,18951,19250,19912,19517,19753,19802,20227,19974,19486,19513,19312,19815,19742,19978,19681,20102,20776,21152,21940,22381,22577,22691,23020,23148,23692,24152,23983,24089,24283,24715,24743,25172,25678,25258,25971,25692,25496,25827,25736,25315,25003,24988,24887,25013,24877,24058,24357,24543,25261,25100,25809,26514,26358,26135,25414,25205,25370,26065,25227,25934,25757,26666,27264,27321,27117,27331,27582,27919,27802,28244,28510,28685,28775,28602,28877,28977,29179,29057,28697,29588,30117,30077,30586,30801,31018,31113,31197,31029,31037,30985,31408,31569,31718,31782,31871,32109,32214,32133,32427,32623,32623,32607,32553,33013,34205,34947
"25","41","    Food and kindred products","ST20W0",2326,2334,2360,2395,2421,2488,2563,2646,2664,2665,2734,2680,2800,2886,2785,2791,2762,2826,2944,3105,3172,3232,3272,3227,3349,3314,3190,3274,3182,3230,3163,3054,3004,3257,3294,3481,3688,3688,4018,3915,3844,3796,3795,3812,3720,3774,3950,4168,4058,4367,4636,4467,4694,4520,4355,4226,4408,4328,4167,4222,3954,4018,4073,4259,4132,4029,3941,3972,3961,4019,4165,4135,4018,3982,3900,3893,4023,3979,3976,3914,3992,4271,4238,4224,4207,4498,4595,4512,4583,4535,4574,4590,4683,4847,4862,5052,5006,5078,5292,5283,5195,5314,5486,5446,5527,5576,5569,5770,5758,5877,5845,5773,5900,6092,6170,6268,6455,6590,6757,6672,6529,6733,7139,7258
"26","42","    Tobacco products","ST21W0",144,119,115,127,168,280,198,132,124,60,103,114,49,49,86,104,136,187,119,119,87,80,101,104,159,166,123,123,120,88,103,131,94,115,131,120,153,171,149,116,142,146,144,144,182,225,158,190,113,128,138,124,116,147,190,223,221,247,278,208,227,169,264,183,255,155,130,138,127,144,136,167,137,158,128,179,173,194,191,170,150,128,118,168,187,230,213,175,213,188,184,159,132,131,114,132,120,127,151,127,182,126,131,149,162,207,205,200,234,232,276,250,237,238,344,242,181,163,162,273,246,277,393,433
"27","43","    Textile mill products","ST22W0",1936,1974,2027,1974,2033,2029,2043,2112,2186,2203,2205,2219,2197,2215,2246,2269,2316,2347,2388,2341,2402,2398,2362,2358,2329,2222,2148,2105,2096,2118,2135,2149,2137,2156,2181,2165,2236,2289,2278,2263,2346,2410,2443,2554,2533,2535,2581,2520,2528,2478,2474,2479,2519,2487,2466,2474,2473,2475,2454,2362,2261,2179,2123,2064,2126,2249,2350,2482,2524,2437,2459,2414,2336,2291,2279,2359,2286,2348,2324,2323,2500,2439,2450,2409,2359,2438,2336,2440,2439,2429,2421,2404,2442,2358,2358,2310,2276,2297,2342,2283,2287,2351,2367,2387,2342,2388,2401,2465,2515,2530,2545,2547,2591,2535,2546,2481,2490,2489,2490,2502,2453,2481,2482,2506
"28","44","    Apparel products","ST23W0",1207,1172,1155,1242,1232,1319,1297,1333,1350,1372,1332,1357,1236,1343,1363,1365,1447,1420,1495,1495,1607,1520,1518,1620,1686,1634,1604,1622,1534,1505,1501,1521,1282,1390,1534,1654,1778,1954,1762,1736,1762,1773,1803,1876,1887,1844,1854,1887,1938,1943,1968,1842,1857,1831,1728,1800,1737,1748,1796,1863,1859,1843,1779,1732,1774,1866,2027,1947,2196,2108,1952,2034,1950,1954,2241,2066,1998,2017,1911,2070,2224,2122,2080,2152,2110,2242,2080,2218,2201,2188,2324,2149,2095,2057,2135,2096,1966,2024,2019,2064,2108,2114,2089,2129,2189,2145,2108,2060,2067,2104,2150,2204,2262,2174,2091,2047,1905,1900,1895,1887,1889,1950,1993,2073
"29","45","    Paper and allied products","ST26W0",778,814,773,765,798,823,835,827,823,799,858,827,784,839,780,854,811,841,864,864,931,792,901,926,1001,1018,1002,988,915,973,1046,1130,1037,1035,1008,1020,1076,1145,1107,1102,1190,1148,1177,1236,1135,1202,1213,1179,1213,1190,1138,1235,1276,1299,1307,1308,1345,1346,1349,1340,1279,1357,1401,1281,1327,1392,1378,1426,1466,1469,1544,1620,1646,1623,1601,1629,1564,1533,1627,1626,1653,1655,1649,1608,1586,1580,1667,1702,1687,1727,1698,1675,1696,1660,1596,1626,1642,1643,1604,1611,1602,1552,1591,1630,1634,1645,1661,1625,1625,1662,1634,1618,1651,1673,1700,1718,1763,1781,1757,1723,1723,1709,1749,1766
"30","46","    Printing and publishing","ST27W0",1694,1735,1589,1654,1497,1493,1689,1801,1782,1794,1906,1818,1788,1852,1733,1730,1828,1810,1742,1817,2007,1896,1961,1906,1869,1936,1913,1910,1830,1822,1815,1764,1801,1744,1764,1807,1806,1851,1868,1952,2054,1948,2051,2015,2111,2211,2151,2025,2157,2114,2055,2130,2007,1973,1988,2032,2094,2055,2084,2049,1821,1986,2002,1998,1991,2115,2183,2179,2271,2279,2365,2473,2465,2273,2276,2511,2485,2569,2437,2561,2694,2777,2749,2643,2684,2665,2728,2723,2685,2745,2671,2703,2718,2769,2695,2694,2638,2659,2656,2753,2892,2930,2867,2757,2691,2525,2522,2553,2605,2688,2657,2622,2653,2646,2657,2510,2595,2782,2627,2619,2551,2596,2809,2802
"31","47","    Chemical and allied products","ST28W0",2871,2867,2858,2965,3015,3055,3207,3288,3485,3481,3601,3601,3352,3516,3546,3632,3776,3902,3819,3895,3924,3836,3869,3936,4017,4030,4054,3951,4154,4084,3978,4215,4265,4439,4501,4336,4382,4490,4605,4736,4805,4828,4904,4982,4920,4941,5124,5293,5287,5238,5520,5106,5504,5471,5441,5588,5783,5549,5485,5378,5314,5495,5276,5085,5086,4976,5119,5325,5291,5966,6168,5784,5877,5951,6041,5847,5616,5765,5837,5984,6022,6097,5998,6004,6341,6106,6052,6210,6255,6262,6513,6516,6586,6683,6670,6805,6870,7052,7160,7321,7406,7593,7694,7868,7953,7940,8002,8047,8059,7983,8042,7990,7889,7970,8096,8182,8283,8336,8257,8210,8194,8211,8266,8778
"32","48","    Petroleum products","ST29W0",1955,2248,2223,2427,2350,2525,2613,2562,2700,2320,2407,2565,2798,2739,2665,2801,2437,2905,2995,2972,2984,2927,3015,2634,2559,2374,2046,2189,2490,3440,3524,3774,4095,3618,4149,4402,4482,4258,4166,4195,4060,4362,4764,4783,4640,4335,4143,4375,4608,4769,4897,5073,5212,5370,5471,5593,5035,4918,4720,4908,5610,5323,5420,5065,5386,5252,5489,4856,5111,5098,4783,4678,4148,4254,3905,4753,4026,4930,4668,5420,5274,5074,5085,5376,5356,5155,5333,5507,5605,5937,5511,5722,5971,5886,6298,5758,5634,6432,6540,6067,6614,6372,6378,6104,6138,6033,6071,5414,6059,5729,5662,6094,5661,5856,5706,5971,5994,5705,5867,5937,6253,6405,6853,7012
"33","49","    Rubber and plastic products","ST30W0",1046,1091,1098,1073,1051,1121,1106,1186,1143,1175,1226,1201,1232,1232,1215,1201,1233,1257,1212,1257,1278,1313,1323,1392,1484,1484,1527,1537,1458,1457,1463,1458,1461,1515,1527,1478,1566,1588,1681,1733,1807,1816,1835,1885,1887,1945,1941,1989,1942,2017,1928,1950,1949,1766,1827,1884,1960,1947,1921,1923,1993,2024,1965,1795,1629,1792,1904,1953,2046,2289,2060,2063,2032,2026,2142,2077,2090,1968,2012,2100,2010,1955,1989,2107,2125,2182,2109,2120,2225,2191,2184,2134,2125,2142,2181,2184,2161,2226,2359,2322,2289,2278,2254,2332,2292,2353,2275,2291,2241,2299,2368,2386,2438,2434,2382,2456,2515,2454,2484,2467,2485,2557,2586,2576
"34","50","    Leather and leather products","ST31W0",660,637,633,642,624,580,628,645,641,637,624,636,615,594,557,569,532,540,548,564,576,576,570,542,545,570,558,561,573,585,568,523,526,514,540,566,579,549,553,591,555,581,574,593,643,625,600,621,525,569,590,565,597,618,557,550,553,547,570,560,441,515,499,522,579,567,564,558,514,503,507,482,478,423,466,487,449,472,490,467,499,503,481,489,497,491,509,473,499,510,522,527,495,485,447,459,452,442,409,430,394,419,423,446,433,379,411,382,393,388,408,384,404,435,396,356,355,347,368,386,382,386,373,380
