"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"64","56","  Clothing and clothing accessories stores","KS4480",26861,27648,27985,28164,28691,29045,29579,29508,29907,30431,29887,30991,31554,32240,33145,34054,33696,33428,33484,32901,32560,33534,34320,34750,35187,34834,35010,35252,35512,36473,37054,37694,38603,38923,39091,39164,40121,40975,41125,42485,42407,41901,41743,41426,40710,40162,40207,39197,38289,37136,35804,34953,34926,35501,35486,35555,35879,35896,35866,35469,35282,35935,36017
"65","57","  General merchandise stores","KS4520",61489,62331,62015,61742,61695,61652,62302,62123,62913,63475,63996,64935,65034,65704,65485,66013,67344,67530,67491,66175,65712,65624,66606,67641,67786,68036,68506,68652,70187,70976,71325,73177,74617,74603,75169,75387,74827,74496,76093,77026,77267,77398,76569,76829,75307,74904,75108,73716,72993,72232,70957,70704,70610,71181,71745,71837,72884,72505,72332,72949,72697,73141,72744
"66","58","    Department stores","KS45210",43490,44043,43731,43618,43216,42940,43144,42627,42970,43003,42855,43277,42983,43110,42425,42633,43076,42767,42463,40709,39818,39153,39016,39181,38663,38390,38005,37520,37908,38010,37788,38237,39224,38242,38296,38286,37384,36877,37577,38104,37970,38126,37616,37687,36720,35887,35628,34503,33969,33669,33103,32453,32206,32169,31700,31892,32058,31720,31539,31612,30768,30912,30087
"67","59","    Other general merchandise stores","KS45290",17667,17955,17958,17795,18172,18419,18875,19234,19688,20231,20921,21443,21850,22402,22887,23210,24108,24615,24889,25353,25798,26392,27529,28410,29087,29619,30485,31122,32274,32961,33534,34941,35393,36362,36874,37102,37442,37617,38513,38918,39291,39267,38946,39134,38574,38980,39427,39141,38943,38485,37778,38149,38291,38882,39871,39780,40639,40588,40591,41120,41669,41964,42347
"68","60","  Other retail stores","KS44X0",66534,68283,70042,71045,74111,75444,76481,78610,79422,80596,80923,81892,82100,83075,83159,83443,83086,82720,83489,83082,82407,82898,83121,81828,82672,81971,82078,82665,83324,83759,84742,85539,85479,85890,85665,85853,87061,88091,88837,89956,90347,90957,91157,91219,90543,89772,89292,89071,87464,86289,84828,85027,85178,85469,86274,86317,86466,86930,87049,87281,87211,87751,87918
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2005 equals the current-dollar change in inventories for 2005 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2005) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2005 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
