"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","  Nonfarm \2\","A358RX1",2905.9,2908.9,2925.3,2903.4,2900.5,2906.1,2935.8,2888.6,2988.5,3008,3034.8,3041.5,3119,3207.1,3244.6,3304.6,3431.4,3470.4,3461.2,3456.1,3434.3,3434.5,3386.5,3361.3,3281.8,3305.3,3374.3,3432.9,3540.8,3575.5,3594.5,3622.7,3680.3,3769.2,3848.5,3834.1,3853.8,4045.5,4078.4,4152.2,4140.8,4145.3,4174.8,4177.7,4183.6,4062.8,4059.5,4153.8,4243.7,4188.3,4223.9,4154.2,4060.2,4084.6,4062.3,4060.6,4134.3,4277,4399.6,4503,4587.3,4676.8,4718.2,4755.9,4803.2,4847,4924.6,4970.8,5026.8,5052.5,5100.1,5125,5153.1,5217.9,5253.3,5356.6,5375.5,5471,5499.7,5591.7,5621.1,5664.2,5710.5,5716.8,5773.6,5791.3,5776.6,5698.1,5651.5,5700.4,5728.4,5747.7,5815.3,5881.5,5951.5,6037.1,6044.9,6089.9,6142.1,6235.8,6294.8,6395.8,6433.9,6532.3,6554.7,6568.6,6645.7,6702.4,6750.1,6881.7,6957.8,7048,7102.2,7225.1,7326.5,7391.6,7475.6,7554.2,7668.7,7835.3,7913.3,7974.7,8094.6,8259.9,8262.3,8452.9,8453.1,8502.9,8462.1,8525.5,8478.9,8501,8607.4,8634.2,8688.7,8693.3,8720.5,8807.2,9026.9,9104.3,9162.8,9251.2,9317.1,9396.8,9508.3,9545.2,9631.5,9688.9,9850.1,9873.8,9871.4,9974,9980.7,10083.4,10145.6,10208.7,10143.3,10134.7,9974.1,9727.1,9567.6,9562.2,9596,9753.5,9874.1,9913,10005.3
"12","4","  Farm","B359RX1",27.3,27.4,27.8,27.7,27.8,28.1,28.5,28.9,29.4,29.8,30,30,27.7,30.4,29.8,31.3,27.9,30.1,26.5,33.5,28,29.3,28.8,29.1,33.1,34.6,35.1,34.5,33.1,32.5,32.4,32.9,32.2,33.9,34.4,37.4,32.4,33.1,35.9,31.8,35.5,35.4,36.9,37.4,36.8,36.2,33.4,34.5,40.2,43,52.9,50,49.5,49.3,47.6,48.8,42,32,25.4,28.2,38.4,43,45.4,46.4,50,50.6,57.8,53.3,52,48.1,52.1,50.7,50.4,50.1,52.6,51.9,52.7,47,44.7,38.1,52,51.7,52.6,52.8,55,54.6,56.3,58.3,56.7,56.8,56,58.3,65.3,68.1,67.8,63.8,57.8,60.1,52.1,61.4,71,72,72.7,66.4,57.8,56.5,53.7,57.6,64,67.1,64.6,65.5,69,71.8,75.4,73.8,69.5,68.1,70,69.9,70.2,74.5,72,74.3,82.5,83.3,85.5,82.8,79.2,73.3,71.1,87.3,65.9,78.9,88.4,91.5,93.7,99.1,90.8,82.5,100.9,91.3,95.3,104.1,99.4,103,104.4,101.3,93.8,107.3,99.5,96,93.7,89.8,85.1,92.9,103.7,99.7,101.3,104.7,108.7,106.6,111.5,107.4,107.2,113.2,114.8
"13","5","Households and institutions","A193RX1",494.2,499.9,503.8,506.7,506.5,506.7,510.8,517,523.7,528.2,534.3,540.5,549.1,552.7,556.5,560.7,565.4,571.1,577.5,584.4,591.1,595.5,599.9,604.5,611,616.7,620.8,623.2,623.4,626.4,629.9,633.1,632,633.6,639.9,644.4,657.1,661.9,668.2,678.3,687.4,691.1,697.4,705.4,720.3,731.7,733.6,738.2,746,750.4,755.9,764.2,771,776,783.1,785.3,790.4,795.8,802.1,815.8,820,819.1,829.3,838.7,836.3,839.4,840,849.1,856.1,860.2,866.7,870.5,879.2,884.4,905.3,914.2,925.1,929.6,940,954.2,963.2,973.1,978.4,984.5,995.3,1006.8,1014.5,1021.9,1029,1032.7,1041.8,1050.7,1053.7,1067.5,1078.9,1085.5,1101.3,1105.6,1108.8,1111.8,1118.5,1132,1149.9,1159.5,1168.5,1175,1175.4,1183.2,1187.2,1194.9,1203.7,1213.7,1224.5,1235.2,1245.4,1256.8,1267.1,1275.4,1286.3,1292.2,1303.7,1318.7,1330.9,1348.7,1360.1,1368.7,1379.3,1396.9,1396.5,1404.1,1416,1411.3,1415.1,1428.7,1416.6,1408.9,1418.2,1414.5,1399.7,1438.9,1439.4,1448.6,1464.9,1476.8,1491.7,1504.7,1509.7,1519.6,1533.8,1542.3,1546.1,1537,1559.8,1563.5,1574.9,1589.5,1606.1,1630.6,1639.8,1643.9,1633.2,1608.7,1620.9,1624,1623,1628.1,1624.7
"14","6","  Households","B701RX1",281.1,284.9,287.6,290.1,290.1,290.6,292.9,297.1,300.6,303.2,307.5,312.2,315.5,318.1,319.9,322.7,325.1,328.3,332.4,336.5,341.3,343.7,346.1,348.9,350.7,353.6,355.6,356.8,357.4,360,362.3,363.9,360.9,361.8,367,370.2,381.1,383.8,388.4,396.1,401.5,401.4,405.1,412,423.1,433.2,431.6,434.6,439.4,442.5,445.4,448.8,450.5,451.2,453.7,452.8,454.8,456.8,460.1,470.5,471.7,468.9,478.6,486.2,485.5,487.2,486.2,490.8,492.1,491.6,495.3,495.7,499.1,498.9,512.1,517,521,521.2,526.3,534.4,537.2,542.5,543.9,544.5,548.4,554.6,557.7,562,566.1,568.2,574.9,579.1,578.2,587.8,594.3,595.7,603.4,602.5,602.4,605.8,614.1,626,640.5,646.9,649.9,651.9,649.2,654.4,657.2,662,668,674.3,680.2,685.6,689.8,694.8,696.6,700.5,707.4,710.6,722.8,734.7,745.5,758.4,765.9,770.2,775.5,784.7,786,790.5,800.8,794.9,793.6,801.1,786.5,778.3,787.2,784.8,770.8,805.6,805.8,812.9,828.6,839.4,852.8,863.4,865.3,876.1,890.6,900.8,905.7,894.8,901.6,905,917.9,932.4,942.1,960.6,966.2,968.5,959.6,945.2,952.1,952.7,947.3,946.8,940.8
"15","7","  Nonprofit institutions serving households \3\","B702RX1",213.1,214.8,215.8,215.9,215.6,215.3,217,218.8,222,224,225.5,226.5,232.4,233.3,235.3,236.5,239,241.5,243.7,246.4,248.1,250,252.2,253.9,258.9,261.8,264,265.2,264.7,265,266,267.7,270.1,270.8,271.6,272.6,273.7,276,277.5,279.7,283.3,287.4,290,290.6,294.1,295,298.8,300.4,303.3,304.5,307.1,312.2,317.6,322.2,327,330.4,333.6,337.2,340.2,343.1,346.2,348.6,348.5,350,348.1,349.6,351.4,355.9,361.9,367,369.8,373.4,378.9,384.7,392.2,396.3,403.4,408,413.4,419.4,425.9,430.6,434.7,440.6,447.8,453,457.8,460.9,463.9,465.5,467.7,472.5,476.6,480.6,485.6,490.9,499.2,504.6,508.2,507.6,505.6,506.6,509.7,512.8,519.1,523.6,527.1,529.5,530.7,533.5,536.1,539.8,544.7,550.1,556.3,562.9,571.9,576.3,580.3,582.9,581.5,584.3,585.4,590,593.8,598.2,603.4,611.9,610.1,613.2,614.5,615.9,621.4,627.5,630.5,631.3,631.5,630.1,629.5,633.5,633.8,635.8,636.4,637.4,638.9,641.3,644.4,643.5,643.3,641.8,640.7,642.4,658.2,658.5,657.2,657.5,664.4,670.5,674.1,675.9,674,663.9,669.2,671.7,675.8,681.2,683.6
"16","8","General government \4\","A765RX1",937,944.4,951.8,955.4,949.8,950.2,951.2,951.9,953.2,951.3,952,952.9,947.3,947.1,951.3,956.9,953.8,953,953.7,959.1,968.7,972.3,975.7,980.7,987.6,989.2,991.3,992.4,994.7,996,1000.1,1004,1004.9,1006.1,1011.2,1014.4,1020.8,1023.7,1031.6,1038.1,1039.3,1037,1036.9,1044.8,1050.5,1056.7,1056.8,1053.8,1054.8,1056.6,1063.2,1066.4,1068.7,1071.7,1071.2,1072.6,1076.2,1077.7,1079.5,1078,1081.1,1087.5,1095.8,1100.8,1108.7,1116.9,1129.7,1134.8,1140.1,1146,1152.3,1162.1,1166.2,1171.1,1175.8,1188.2,1198.2,1201.2,1207.4,1216.6,1222.8,1230,1239.5,1246.2,1258.2,1263.5,1270.4,1272.7,1281.8,1280.5,1277.8,1277.6,1282,1283.1,1285.7,1283.9,1287.4,1287,1287.3,1284.3,1286.3,1287.7,1288.6,1284.6,1289,1290.7,1290.7,1280.6,1280,1293.6,1293.1,1292.6,1295.3,1297.9,1302.2,1303.1,1308,1312.7,1317.3,1319.3,1322.1,1322.6,1327.2,1333.4,1341.3,1353.7,1350.3,1352.2,1361.5,1370.8,1378.8,1383.7,1392.3,1399.9,1405.8,1407.7,1415.3,1419.2,1419.2,1419.3,1422.8,1424.7,1427.3,1432.5,1434.9,1434.7,1437.5,1438.8,1437.6,1440.1,1448.7,1453.5,1454.7,1458,1464.5,1472.8,1482.7,1491.4,1503.2,1509.8,1513.1,1521.8,1522.2,1525,1527,1533.3,1528
"17","9","  Federal","A766RX1",464.9,467.3,469.4,466.7,455.1,449.5,444.4,439.3,435.4,428.9,423.6,418.1,410.9,404.5,403.8,404.2,397.2,391.7,387,386.9,390.5,389.7,388.6,388.9,388.3,387.1,386.7,386.9,387.7,387.7,388,388.3,387.9,388.5,389.8,389.8,392.2,394,395.2,394.2,393.5,393.2,393.8,393.3,395.7,401.2,401.9,400,403.3,404.9,407.1,408.2,409.2,411.2,413.6,415.8,419,421.3,423.8,424.1,427.1,430.4,433.6,435.3,438.9,442.7,446.6,447.3,449.5,450.5,452.6,454.4,458.6,460.8,465.7,469.3,469.3,467.2,468.9,472,472.3,473.7,476.5,478.1,482.3,483.2,485,484.7,492.5,488.7,484.3,481.4,480.1,477.7,475.5,472.8,473.1,469.8,466.3,460.5,459,454.5,450.9,444.5,441.5,440,437.1,422,422.6,426.6,424.2,419.2,418.1,416.6,415.4,410.7,410.8,410.3,410.5,410.2,410.1,406.8,405.7,405.7,408.6,416.9,409.3,407.2,410.8,412.7,413.2,411.8,416.4,419.2,421.9,423.4,428.8,432.3,432.6,432.5,434.6,434.1,435.9,438.7,439.3,438.2,437.9,439.6,436.4,436.6,440.4,440.5,439.5,439,443.3,445.1,449.6,454.5,462.2,469.8,475,485.3,489.5,492.8,497.5,504.8,503.6
"18","10","  State and local","A767RX1",482.2,487.2,492.3,498.2,503.4,508.9,514.6,519.9,524.9,529.2,534.9,541.1,542.6,548.7,553.6,558.8,562.7,567.4,572.7,578.2,584.2,588.6,593.1,597.8,605.4,608.2,610.6,611.6,613.2,614.5,618.2,621.9,623.2,623.8,627.6,630.9,634.9,636,642.8,650.4,652.3,650.1,649.4,658,661.2,662.1,661.4,660.3,658,658.3,662.6,664.8,666.1,667,664.2,663.4,663.8,663.1,662.4,660.6,660.7,663.8,669,672.3,676.7,681,690.1,694.5,697.7,702.6,706.8,714.7,714.8,717.5,717.4,726.3,736.2,741,745.6,751.7,757.6,763.2,769.9,775,782.8,787.2,792.2,794.7,796.4,798.6,800,802.5,808,811.3,815.9,816.7,819.9,822.4,826,828.4,831.7,837.3,841.4,843.4,850.4,853.6,856.2,860.4,859.2,868.9,870.6,874.8,878.5,882.6,887.9,893.3,898.1,903.2,907.4,909.7,912.5,916.1,921.7,927.7,932.9,937.2,941,944.9,950.6,958,965.3,971.4,975.5,980.4,983.6,984.1,986.4,986.9,986.6,986.8,988.2,990.6,991.4,993.7,995.6,996.6,999.6,999.2,1001.2,1003.5,1008.3,1013.1,1015.1,1019,1021.3,1027.6,1033.2,1036.9,1041.1,1040.1,1038.3,1036.9,1033.2,1032.7,1030.1,1029.3,1025.3
"19","11","Residual","A961RX1",-130.4,-134,-134.8,-138.7,-135.9,-134.2,-130.9,-136,-126.8,-124.3,-122.4,-123.1,-122.3,-109,-109.5,-103.6,-107.1,-96.8,-117.2,-84.5,-116.8,-113.6,-121.8,-125.6,-122.9,-118.7,-113,-110.4,-106.2,-106.3,-107.3,-105.9,-102.8,-91.9,-87,-84.2,-98.7,-83.8,-77.9,-88.2,-81,-81.4,-76.7,-79.5,-86,-103.1,-110,-100.1,-82.2,-83.7,-68.8,-83.1,-95.8,-96.4,-102,-100.8,-103.5,-109.8,-114,-103.9,-83.1,-71.9,-70,-68.8,-62.1,-60.8,-53.2,-56.7,-57.2,-61.3,-57.7,-60.5,-61.9,-60.4,-60.7,-59.4,-61.5,-62.5,-66.5,-73.3,-59.5,-60.9,-60.7,-63.1,-62.2,-64.3,-66.1,-69.8,-76.9,-74.4,-73.8,-72.5,-65.9,-62.7,-61.2,-60,-65.8,-62.9,-66,-55.7,-48.3,-44.9,-44.8,-43.1,-48.1,-49.5,-48.3,-42,-36.6,-32.7,-32.4,-29.1,-26.5,-22.2,-18.6,-18.2,-19.1,-18.3,-15.5,-11,-9.2,-7.1,-5,-1.7,-3,-0.2,0.1,0.1,-1.6,-1.9,-3.7,-2.2,-2.3,-2.5,-3.2,-3.1,-2.3,-1.7,-1.7,-2.4,1.5,-2.1,-1.2,0.2,-0.2,-0.2,0.1,0.1,0.5,-1.3,-0.1,-0.1,0.5,-0.6,-1.9,-0.7,2.9,2.1,4.5,7.6,9.4,9.9,9.3,8.2,6.8,6.6,5.1
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
