"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"21","13","    Gross investment","B788RA3",55.818,44.315,48.062,39.959,46.203,42.561,40.546,41.903,29.674,27.042,29.813,22.537,19.282,23.876,17.445,20.881,26.533,24.475,19.859,21.003,25.21,27.478,29.322,30.102,28.725,25.043,35.148,35.511,34.733,31.228,34.948,34.776,35.895,36.249,34.302,32.008,31.105,34.174,34.265,38.109,36.207,36.788,43.122,41.263,43.65,41.669,39.947,43.133,42.306,46.599,47.694,48.936,47.328,53.72,51.498,56.108,56.056,59.699,62.393,66.701,67.709,68.725,66.774,76.451,74.886,83.424,89.647,88.715,85.981,92.159,106.128,101.409,99.722,106.114,110.302,105.003,97.399,97.803,97.144,97.375,97,95.986,102.755,96.346,98.528,101.338,102.024,102.156,95.601,99.352,96.224,89.497,90.627,92.768,93.507,89.339,81.631,81.238,77.721,80.831,70.851,74.379,80.464,72.165,73.123,73.399,69.306,68.607,73.381,73.749,70.507,64.253,59.655,60.305,66.1,66.016,59.804,62.927,68.576,64.903,61.253,66.495,69.92,67.918,67.282,67.279,68.56,67.994,67.048,71.062,72.745,73.439,73.485,80.149,84.629,83.206,83.268,87.325,89.681,91.733,91.684,93.724,100.116,97.726,95.764,100.344,103.543,100.348,102.97,109.641,104.551,110.675,107.153,114.877,115.473,115.274,115.644,130.368,135.694,136.388,128.662,136.236,141.271,142.838,143.089,149.875,152.189
"22","14","      Structures","B808RA3",155.265,163.407,164.505,149.3,130.644,126.074,131.311,131.711,147.012,155.302,176.758,175.278,152.691,147.961,147.219,142.28,138.994,141.821,149.156,150.221,143.175,144.44,124.267,118.889,122.406,121.954,136.734,134.97,133.114,107.935,102.87,112.406,125.747,126.424,106.804,102.11,103.348,129.603,117.674,116.307,99.201,96.328,102.063,99.002,113.43,113.211,128.485,107.174,104.274,117.673,98.061,120.752,124.123,121.058,129.701,144.769,154.103,153.897,152.861,156.215,144.58,147.219,153.243,153.117,159.595,188.297,192.274,190.828,192.355,196.678,212.025,193.316,205.973,212.388,212.095,225.618,200.204,217.282,188.059,186.053,167.717,157.001,159.657,151.973,154.481,153.851,154.441,128.693,114.278,113.432,103.368,105.63,121.353,127.181,110.558,123.037,110.879,114.396,124.223,116.619,110.28,120.484,130.733,123.656,140.055,132.87,135.91,131.447,129.132,128.418,120.035,116.485,114.458,114.754,122.966,113.95,107.854,113.153,114.717,96.785,102.558,99.939,94.515,86.881,88.019,89.916,99.203,91.451,83.825,92.146,85.374,88.805,86.789,91.851,97.928,97.675,108.731,111.883,118.399,115.068,111.173,103.821,106.89,97.096,104.1,98.541,102.966,94.393,95.41,100.068,96.56,107.848,106.834,135.207,120.473,109.247,100.243,131.774,141.511,142.19,158.302,155.428,201.764,207.231,209.013,209.254,218.552
"23","15","      Equipment and software","B873RA3",49.306,37.596,41.276,33.846,40.766,37.327,35.105,36.401,23.612,20.688,22.656,15.502,13.14,17.56,11.669,15.083,20.591,18.498,13.74,14.799,19.182,21.335,23.979,24.992,23.481,19.822,29.323,29.77,29.062,26.599,30.494,29.925,30.485,30.818,29.715,27.62,26.662,28.629,29.212,33.094,31.936,32.658,38.801,37.065,38.79,36.795,34.314,38.591,37.88,41.581,43.607,43.8,42.022,48.617,45.977,49.937,49.463,53.138,55.897,60.086,61.655,62.56,60.3,70.111,68.209,75.461,81.6,80.715,77.828,83.913,97.396,93.578,91.151,97.397,101.762,95.446,89.069,88.461,89.56,89.923,90.708,90.336,97.255,91.036,93.162,96.153,96.836,98.677,92.755,96.75,94.143,86.92,87.053,88.913,90.814,85.582,78.309,77.652,73.254,77.07,66.986,69.992,75.69,67.429,67.268,68.077,63.531,63.12,68.334,68.784,65.965,59.577,54.829,55.496,61.045,61.666,55.493,58.416,64.358,61.87,57.464,63.321,67.468,65.959,65.186,65.025,65.602,65.673,65.324,68.931,71.387,71.822,72.067,78.875,83.193,81.659,80.646,84.786,86.725,89.309,89.645,92.635,99.369,97.767,94.845,100.532,103.598,101.025,103.84,110.752,105.479,110.981,107.146,112.303,114.812,115.996,117.549,130.146,134.917,135.619,124.864,133.785,133.577,134.652,134.711,142.306,143.747
"24","16","  Nondefense","B825RA3",43.058,43.445,43.841,41.734,41.994,43.084,42.558,42.633,42.116,44.732,46.601,44.851,47.411,48.209,47.823,47.446,47.879,47.44,47.544,46.854,49.34,47.09,50.917,52.216,51.189,51.648,51.428,52.111,52.184,51.9,51.673,52.584,52.674,53.69,54.645,56.288,56.154,57.654,57.968,59.024,58.653,58.392,58.483,57.706,59.889,64.479,61.525,60.399,61.893,63.69,62.222,61.777,60.409,58.097,58.601,60.5,62.243,63.26,68.597,55.785,57.162,62.704,62.463,62.786,64.182,64.907,65.768,64.745,64.914,65.826,68.094,69.688,68.284,67.097,64.23,68.713,63.309,62.313,62.316,66.056,67.239,68.991,69.123,69.827,73.559,74.492,75.544,74.264,74.647,76.02,76.293,77.719,80.891,80.465,80.931,82.583,81.701,80.665,80.369,80.014,79.718,78.223,79.429,80.729,80.565,79.878,80.19,76.197,77.99,79.198,78.389,78.73,80.646,81.173,81.154,79.976,81.924,82.594,78.732,82.245,82.544,82.461,82.879,84.496,84.278,86.733,85.239,84.015,86.369,89.387,89.607,90.416,92.933,95.098,96.42,96.976,98.458,96.789,99.352,97.687,98.537,99.178,98.599,99.955,99.436,98.176,99.796,102.592,106.163,102.927,103.653,100.203,100.325,101.492,103.5,104.363,106.119,108.578,109.383,113.223,113.952,116.946,116.687,118.283,119.738,123.41,126.236
"25","17","    Consumption expenditures","B542RA3",46.483,47.069,47.957,45.571,46.143,47.227,46.61,46.545,46.03,49.053,51.057,49.149,52.127,52.981,52.72,52.367,52.284,52.007,52.194,51.281,54.841,50.589,56.462,57.438,55.894,57.002,56.695,57.062,57.054,56.169,55.988,57.207,57.504,58.368,58.79,61.185,60.378,61.514,60.892,62.802,62.909,62.56,62.064,62.281,63.686,69.383,65.376,64.36,65.949,68.468,66.582,66.122,65.03,62.022,62.982,65.377,66.081,67.454,73.565,57.792,58.902,65.504,65.4,65.454,66.606,67.993,68.213,67.093,67.075,68.584,71.44,72.635,70.726,68.292,64.904,70.284,64.919,63.674,63.389,68.239,69.35,70.874,70.985,71.594,74.906,76.13,77.824,76.718,76.547,77.23,77.321,77.847,81.399,81.218,81.739,82.692,81.067,80.353,80.366,80.755,81.676,80.434,81.373,82.024,81.37,81.232,81.312,76.713,77.644,78.638,77.627,78.807,80.61,81.169,81.09,80.879,80.935,81.337,77.086,81.338,81.093,80.131,80.843,81.233,83.345,86.471,84.783,83.953,86.459,89.847,90.181,90.781,92.797,95.295,96.574,97.314,99.241,96.765,99.744,98.081,99.242,99.517,99.117,100.781,100.171,98.753,99.555,101.521,105.35,102.491,103.205,99.266,99.471,100.474,102.448,103.507,105.289,107.604,108.141,112.102,113.339,116.611,115.8,117.321,118.171,121.627,124.012
"26","18","    Gross investment","B798RA3",29.202,28.907,27.638,26.58,25.774,26.83,26.642,27.173,26.682,27.787,29.104,27.978,28.991,29.557,28.759,28.316,30.502,29.524,29.342,29.455,28.163,32.789,29.55,31.845,32.591,30.871,30.951,32.66,33.005,34.771,34.4,34.202,33.569,35.082,37.876,36.777,39.036,41.779,45.416,43.381,41.32,41.394,43.567,39.273,44.171,44.621,45.542,44.063,45.173,44.287,44.382,44.015,41.694,41.987,40.806,40.801,46.356,45.99,48.269,47.026,49.404,50.773,50.014,51.378,53.707,51.777,55.185,54.573,55.505,54,53.853,57.045,57.693,61.61,60.906,61.683,56.153,56.196,57.388,56.527,57.974,60.651,60.875,61.99,67.485,67.19,65.508,63.456,66.176,70.541,71.599,77.005,78.503,76.994,77.232,82.126,84.726,82.181,80.419,76.49,70.309,67.572,70.083,74.569,76.834,73.434,74.883,73.897,80.099,82.395,82.62,78.621,81.158,81.513,81.813,75.365,87.66,89.776,88.027,87.412,90.719,95.591,94.347,103.03,89.393,87.995,87.644,84.115,85.549,86.359,85.9,87.963,93.564,93.645,95.223,94.61,93.215,96.769,96.616,94.936,93.724,96.86,95.046,94.286,94.351,94.161,101.46,110.028,111.827,105.95,106.779,106.809,106.328,108.686,110.936,110.375,111.929,115.442,118.213,121.129,118.079,118.973,122.874,125.021,131.075,136.377,142.555
"27","19","      Structures","B830RA3",141.55,138.564,134.313,126.909,125.686,135.518,139.73,144.383,144.506,149.028,157.989,151.25,159.07,158.728,153.48,151.088,172.635,160.693,167.841,167.974,154.773,173.453,154.104,169.448,172.575,165.761,165.454,173.497,175.595,186.943,181.022,179.284,173.16,182.579,200.888,190.132,195.297,212.811,236.726,218.653,199.292,200.672,210.036,196.46,206.484,205.525,204.519,200.004,210.858,202.551,196.37,195.809,176.539,166.053,161.05,155.741,157.124,157.97,170.657,156.549,160.774,171.162,161.923,168.146,163.551,163.453,180.063,169.998,185.266,179.692,176.532,180.095,194.122,207.102,203.102,191.336,150.287,146.611,152.878,136.466,134.167,138.269,144.279,152.241,164.57,162.522,160.959,149.324,151.673,176.514,176.305,209.341,199.859,196.966,186.112,210.995,219.844,206.407,213.212,209.75,183.744,173.086,177.656,213.016,202.179,188.941,192.459,176.618,194.239,206.658,197.313,172.451,176.664,171.28,178.339,140.922,177.721,173.411,180.43,171.288,175.115,167.348,164.852,168.897,141.327,130.078,121.685,108.734,113.003,113.811,121.16,128.132,140.6,140.26,142.364,146.215,143.213,148.437,147.335,136.781,129.872,130.83,120.963,97.78,97.267,89.199,99.778,113.756,99.855,105.169,103.893,119.049,113.094,117.038,123.922,118.335,107.235,110.832,117.749,124.753,115.582,117.537,126.678,129.417,141.343,154.301,160.143
"28","20","      Equipment and software","B880RA3",9.74,9.761,9.192,9.012,8.538,8.538,8.095,8.116,7.765,8.195,8.434,8.154,8.263,8.699,8.544,8.418,8.254,8.525,7.786,7.858,8.01,9.911,9.128,9.536,9.841,9.109,9.203,9.815,9.891,10.229,10.503,10.512,10.594,10.913,11.406,11.571,12.947,13.46,14.058,14.239,14.546,14.461,15.347,13.017,16.309,16.826,17.796,16.958,16.669,16.864,17.73,17.45,17.666,19.292,18.785,19.474,24.751,24.284,24.839,25.504,27.287,27.239,27.737,28.248,31.205,29.291,30.41,31.195,29.992,29.253,29.55,32.279,30.937,33.064,32.919,35.425,35.725,36.302,36.611,38.139,39.978,42.14,41.478,41.434,45.276,45.276,43.761,43.402,45.891,46.647,47.789,48.32,51.368,50.224,52.195,53.412,54.764,54.224,51.253,47.623,45.267,44.085,46.029,44.904,49.21,47.758,48.725,50.415,54.144,54.45,56.443,56.577,58.645,60.064,59.048,58.984,65.88,69.237,65.75,66.926,69.986,77.39,76.43,85.878,75.662,76.504,77.983,76.687,77.474,78.291,76.018,76.877,80.721,80.891,82.311,80.601,79.63,82.718,82.789,83.373,83.612,87.289,87.67,93.168,93.46,95.602,101.98,108.959,115.599,106.239,107.726,102.841,104.121,105.926,106.597,107.769,113.761,117.263,118.558,119.978,119.171,119.659,121.648,123.58,127.549,130.127,136.433
"29","21","State and local","B829RA3",42.268,42.623,42.713,42.625,43.021,43.251,44.228,44.451,44.653,44.952,45.063,45.642,45.792,45.695,46.068,46.717,46.928,47.009,47.503,48.085,48.713,49.339,49.286,49.317,50.778,50.401,51.025,51.675,52.238,51.342,50.983,50.821,51.31,51.614,51.56,51.645,51.657,53.172,53.768,54.268,53.375,53.869,54.066,54.683,54.936,54.218,53.456,53.223,53.623,52.596,52.427,52.844,52.68,52.846,52.85,53.217,53.408,53.279,53.7,53.667,54.281,54.984,55.942,56.569,57.256,58.439,59.565,60.258,61.759,62.514,63.114,63.29,63.449,63.446,63.393,64.012,64.922,65.773,66.099,66.939,67.29,67.965,68.595,69.512,70.609,70.73,71.172,71.939,72.031,72.317,72.733,73.258,74.201,74.106,74.153,74.165,74.467,75.107,75.523,75.88,76.093,76.899,77.761,78.034,78.659,79.279,79.329,79.72,79.556,80.706,81.434,82.662,83.534,83.832,84.135,84.419,85.101,86.686,88.313,89.063,90.065,90.636,91.435,92.579,93.332,93.347,93.827,94.47,95.564,97.518,96.931,98.931,100.03,100.302,100.711,100.848,100.511,100.201,100.608,100.31,100.325,100.575,100.14,99.895,99.806,99.922,99.995,100.277,100.205,100.851,101.149,101.437,101.96,102.288,102.334,102.661,102.585,102.781,102.852,102.225,101.777,102.024,101.77,101.179,100.213,100.367,100.541
"30","22","  Consumption expenditures","B991RA3",39.407,39.985,40.564,41.241,41.863,42.341,43.025,43.625,44.131,44.531,45.036,45.566,45.873,46.309,46.763,47.113,47.337,47.757,48.438,48.975,49.529,50.045,50.551,51.155,52.167,52.738,53.167,53.168,53.236,53.327,53.643,53.954,54.198,54.324,54.72,54.998,55.324,55.362,55.759,56.189,56.31,55.96,55.725,56.107,56.128,56.013,55.842,55.637,55.41,55.447,55.827,56.054,56.295,56.536,56.523,56.669,57.192,57.11,57.127,57.154,57.376,57.861,58.525,59.106,59.762,60.594,61.818,62.825,64.084,64.881,65.459,66.126,65.876,65.935,65.646,66.196,67.337,67.85,68.374,69.005,69.51,70.017,70.639,71.265,71.945,72.36,72.89,73.224,73.578,73.926,74.206,74.557,75.119,75.553,76.136,76.405,76.878,77.068,77.527,77.862,78.532,79.14,79.607,79.889,80.548,80.939,81.261,81.674,81.642,82.561,82.844,83.323,83.731,84.36,85.136,85.949,86.941,87.945,88.874,89.618,90.485,91.184,91.916,92.569,92.817,93.299,93.737,94.296,95.21,96.214,97.257,98.32,99.282,99.926,100.293,100.25,99.95,99.733,99.481,99.349,99.501,99.602,99.6,99.761,99.849,99.893,100.14,100.118,100.167,100.372,100.848,101.481,101.935,102.295,102.357,102.585,102.441,102.323,102.417,102.129,101.952,101.868,101.444,101.354,101.076,100.847,100.48
"31","23","  Gross investment","B799RA3",50.539,50.127,48.55,45.85,45.458,44.837,46.776,45.716,44.875,44.82,43.592,44.311,43.926,42.019,42.103,43.753,43.918,42.837,42.67,43.375,44.21,45.153,43.344,41.61,44.35,41.091,42.298,44.98,47.124,43.107,40.58,38.871,40.13,41.001,39.433,38.855,37.799,44.262,45.512,46.23,41.963,45.266,46.901,48.279,49.288,46.584,43.888,43.571,46.026,41.537,39.577,40.598,39.116,39.032,39.092,40.173,39.256,38.967,40.753,40.507,42.47,43.926,45.914,46.7,47.5,49.955,50.711,50.243,52.618,53.214,53.883,52.26,53.919,53.686,54.504,55.374,55.42,57.519,57.104,58.719,58.489,59.787,60.446,62.458,65.141,64.139,64.24,66.683,65.749,65.791,66.741,67.961,70.433,68.23,66.128,65.102,64.71,67.161,67.401,67.845,66.208,67.821,70.283,70.517,71.003,72.546,71.497,71.801,71.105,73.186,75.701,79.964,82.736,81.688,80.062,78.188,77.616,81.564,86.037,86.814,88.377,88.424,89.503,92.699,95.563,93.62,94.275,95.268,97.128,103.122,95.598,101.575,103.259,101.954,102.543,103.452,102.947,102.224,105.525,104.488,103.897,104.802,102.476,100.475,99.619,100.047,99.376,100.957,100.353,102.892,102.435,101.27,102.086,102.279,102.256,102.991,103.191,104.715,104.686,102.655,101.117,102.691,103.135,100.474,96.642,98.399,100.828
"32","24","    Structures","B842RA3",69.517,68.746,66.232,62.117,61.352,60.5,63.276,61.779,60.546,60.417,58.458,59.35,58.492,55.455,55.363,57.658,57.676,55.871,55.393,56.098,57.113,58.368,55.745,53.327,57.386,52.597,54.387,58.39,61.644,55.706,51.985,49.473,51.482,52.799,50.453,49.533,47.815,57.25,58.908,59.755,53.224,57.927,60.141,61.967,63.251,59.143,55.122,54.673,58.384,51.857,48.959,50.338,47.972,47.696,47.61,48.991,47.241,46.436,48.617,47.821,50.214,51.864,54.241,54.839,55.478,58.575,59.281,58.206,61.248,61.817,62.644,60.172,62.46,61.911,62.882,63.929,63.818,66.394,65.234,66.883,65.624,66.568,66.734,68.907,72.295,70.673,70.791,74.193,73.224,73.356,74.709,76.216,79.413,75.867,72.566,70.889,70.393,73.804,73.696,73.964,70.784,72.534,75.511,75.319,75.58,77.254,75.577,75.694,74.776,77.543,80.806,86.393,88.876,86.996,84.132,81.02,79.068,83.54,88.85,89.129,90.488,89.735,90.66,94.64,98.021,94.957,95.63,96.551,98.65,106.503,97.066,104.723,106.42,104.775,105.367,106.777,105.765,104.759,108.363,106.73,106.108,107.145,103.936,101.12,100.115,100.245,99.094,100.545,99.201,101.809,100.878,99.286,99.133,98.732,98.11,98.552,98.519,100.24,100.397,98.359,96.965,98.751,99.21,95.736,91.207,92.999,95.81
"33","25","    Equipment and software","B881RA3",10.025,10.237,10.429,10.485,10.749,10.628,10.847,10.695,10.642,10.711,10.896,11.189,11.644,11.944,12.3,12.57,12.95,13.285,13.682,14.277,14.676,14.925,14.865,14.625,14.554,14.537,14.521,14.451,14.312,14.304,14.265,14.221,13.976,13.93,13.956,14.055,14.303,14.608,14.951,15.331,15.66,16.015,16.376,16.74,17.091,17.3,17.395,17.364,17.156,17.065,17.125,17.348,17.732,18.03,18.367,18.747,19.544,20.288,21.113,21.954,22.876,23.799,24.815,25.884,26.91,27.852,28.626,29.397,30.211,30.805,31.093,31.332,31.566,31.999,32.433,32.857,33.223,34.148,35.33,36.739,38.685,40.623,42.271,43.783,44.749,45.162,45.222,45.415,44.632,44.476,44.484,44.983,45.698,46.553,47.21,47.689,47.565,47.731,48.733,49.544,51.5,52.693,53.81,55.002,55.964,57.1,57.638,58.415,58.366,58.636,59.109,59.717,63.018,64.181,65.942,67.557,70.973,73.366,75.301,77.532,79.623,82.091,83.593,84.206,85.326,87.09,87.685,88.926,89.974,89.455,88.751,88.668,90.261,90.201,90.764,89.782,91.206,91.563,93.651,94.922,94.426,94.779,96.095,97.573,97.383,99.138,100.647,102.831,105.733,107.928,109.831,110.866,116.665,119.979,123.201,125.571,127.127,127.543,126.478,124.559,122.213,122.488,122.825,124.943,125.262,126.76,126.88
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
