"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RG3",32.32,32.376,32.819,33.569,33.541,34.196,34.124,34.25,35.245,35.332,35.169,35.387,36.434,36.72,36.861,37.696,38.763,40.502,42.847,45.023,48.163,49.816,52.624,55.309,56.86,56.695,56.525,56.871,57.695,58.325,58.666,59.714,60.395,61.289,60.986,61.277,62.477,64.034,65.083,67.218,69.197,72.013,73.699,75.052,77.262,78.321,80.535,83.252,85.327,85.703,85.835,86.112,86.625,86.559,85.935,85.434,85.794,86.104,86.585,87.43,87.54,88.1,87.207,86.274,85.331,85.005,84.117,83.984,83.545,83.234,82.925,83.667,84.035,85.239,85.543,86.986,87.991,89.825,90.937,90.751,91.632,91.766,91.185,90.908,91.016,91.27,92.153,93.53,93.824,93.333,92.753,92.939,92.829,92.916,92.899,92.688,92.728,92.927,92.822,92.754,93.181,93.537,94.023,94.628,95.661,96.414,96.179,95.732,95.548,95.228,94.543,93.589,93.351,93.306,93.069,92.685,91.759,91.295,90.577,90.259,90.099,90.244,90.438,90.85,91.417,91.965,92.239,92.375,92.372,91.967,91.507,90.66,90.459,91.002,91.683,91.866,92.762,92.969,93.193,93.941,95.13,96.3,96.781,97.857,98.929,99.627,100.342,101.102,101.828,103.125,104.395,104.438,105.319,106.465,107.154,108.672,110.719,113.553,115.137,108.089,104.841,105.031,106.212,107.424,108.771,110.06,110.122
"24","16","    Goods","B253RG3",37.015,36.909,37.425,38.464,38.691,39.511,39.169,39.199,40.381,40.327,39.895,40.15,40.705,41.003,41.084,42.231,43.926,46.168,49.252,52.19,56.191,58.318,62.074,65.811,67.941,67.401,66.878,67.187,68.052,68.792,69.081,70.374,71.204,72.188,71.457,71.51,72.958,74.892,76.062,78.956,81.715,85.349,87.248,88.542,90.984,91.959,94.706,98.173,100.637,100.723,100.493,100.493,100.888,100.243,98.832,97.78,97.858,98.21,98.744,100.033,100.476,100.987,99.343,97.466,95.955,95.307,93.858,93.231,92.195,91.497,90.673,91.585,91.973,93.648,93.864,95.927,97.275,99.872,101.456,100.983,101.942,101.848,100.844,100.153,99.717,99.846,100.262,101.125,101.233,100.594,99.355,99.348,98.941,98.783,98.389,97.992,98.022,98.134,97.963,97.76,98.342,98.701,99.129,99.889,101.211,101.903,101.531,100.822,100.13,99.683,98.426,96.757,96.542,96.291,95.958,95.294,94.174,93.45,92.439,91.907,91.588,91.513,91.674,92.158,92.447,92.936,93.03,93.175,93.148,92.724,92.153,91.259,91.005,91.384,92.162,92.325,93.143,93.391,93.302,94.251,95.539,96.864,97.168,98.134,99.148,99.781,100.196,100.876,101.541,102.915,104.306,104.548,105.238,106.403,106.974,108.568,110.843,114.324,115.832,106.88,102.983,103.664,104.892,106.072,107.565,108.965,109.072
"25","17","    Services","B646RG3",23.25,23.581,23.89,24.112,23.623,23.971,24.383,24.677,25.309,25.627,25.951,26.115,27.944,28.231,28.503,28.763,28.57,29.292,30.133,30.729,32.061,32.72,33.56,34.1,34.533,35.097,35.638,36.068,36.807,37.206,37.651,38.208,38.597,39.305,39.836,40.577,41.291,42.099,42.899,43.495,43.89,45.034,46.28,47.792,49.552,50.853,51.966,53.152,54.474,55.46,56.312,57.136,57.876,58.917,59.804,60.333,61.192,61.422,61.8,61.798,61.292,61.925,62.421,63.287,63.43,63.704,63.889,64.689,65.335,65.7,66.289,66.703,67.021,67.382,67.831,68.115,68.473,68.833,69.039,69.403,70.105,70.669,70.919,71.438,72.596,73.083,74.835,77.142,77.789,77.598,78.292,78.846,79.308,79.87,80.589,80.751,80.809,81.17,81.193,81.394,81.506,81.856,82.457,82.738,83.159,84.035,84.094,84.2,85.093,85.049,85.608,86.213,85.945,86.38,86.369,86.644,86.168,86.298,86.246,86.428,86.639,87.278,87.546,87.792,89.014,89.704,90.423,90.538,90.594,90.235,90.037,89.301,89.226,90.145,90.602,90.834,91.907,92.015,92.96,93.25,94.212,95.039,95.911,97.231,98.432,99.274,100.674,101.62,102.485,103.606,104.596,104.186,105.499,106.598,107.567,108.921,110.456,111.756,113.501,110.86,108.981,108.105,109.164,110.437,111.451,112.48,112.435
"26","18","  Imports","B021RG3",21.959,22.055,22.215,22.787,23.028,23.291,23.861,24.101,24.708,24.793,25.097,25.471,25.903,26.574,27.002,27.6,28.412,30.649,32.109,34.523,39.999,44.584,46.872,48.371,49.133,49.261,48.164,48.238,49.026,49.777,50.67,51.189,52.984,54.451,55.172,55.735,56.669,58.042,59.008,60.043,62.387,65.63,70.525,75.194,81.465,84.418,86.785,88.294,90.557,91.101,88.723,88.909,88.645,87.089,86.051,85.39,83.595,83.595,83.754,83.22,83.469,83.933,82.443,81.435,79.487,79.832,79.762,81.318,81.469,78.946,79.493,80.48,82.558,84.722,85.588,86.922,88.153,89.719,88.726,89.446,90.876,91.875,90.303,90.772,92.175,90.55,93.178,98.351,95.341,92.715,91.324,91.75,92.184,92.547,93.724,92.969,92.405,92.726,91.905,91.54,91.495,92.36,93.912,94.269,95.05,96.416,95.812,94.95,94.747,94.254,93.301,93.261,92.549,90.622,90.025,89.313,87.108,86.047,84.938,84.899,84.67,85.682,86.715,87.931,89.542,89.522,90.154,90.633,90.225,88.51,87.127,85.185,85.013,86.843,87.367,87.914,90.41,89.114,89.546,90.114,92.123,93.415,94.385,96.654,97.47,98.831,100.863,102.836,103.243,104.322,105.121,103.889,104.892,105.936,106.671,112.623,117.728,122.345,122.999,111.669,103.127,103.719,105.879,111.222,114.514,112.234,109.892
"27","19","    Goods","B255RG3",22.345,22.432,22.56,23.322,23.59,23.827,24.56,24.842,25.284,25.219,25.492,25.786,26.432,27.239,27.664,28.245,29.108,31.461,32.896,35.694,42.296,47.917,50.694,52.369,53.246,53.193,51.577,51.451,52.451,53.406,54.36,54.849,56.964,58.642,59.352,59.811,60.847,62.311,63.099,64.17,66.882,70.574,76.234,81.609,88.788,92.306,94.859,96.667,99.511,100.104,96.901,96.849,96.414,94.64,93.616,92.806,90.488,90.51,90.691,90.008,90.248,90.86,89.511,88.589,86.265,86.239,85.557,87.011,86.418,82.945,83.4,84.581,87.579,90.187,91.037,92.598,93.67,95.492,94.308,95.146,97.243,98.596,96.525,96.847,98.141,95.681,98.4,104.138,100.174,97.365,95.465,95.862,96.192,96.471,97.359,96.716,96.042,96.234,95.349,94.793,94.704,95.739,97.24,97.521,98.714,99.806,98.989,97.963,97.602,96.886,95.583,95.376,94.619,92.259,91.712,90.936,88.652,87.201,85.825,85.527,85.268,86.223,87.297,88.71,90.581,90.662,91.339,91.929,91.377,89.407,87.674,85.47,85.198,87.065,87.394,88.065,90.696,88.591,88.975,89.64,91.821,93.148,94.04,96.477,97.293,98.672,100.837,103.198,103.394,104.419,105.238,103.779,104.833,105.747,106.301,113.076,118.848,123.676,124.208,111.679,101.9,102.403,104.68,110.65,114.497,111.653,108.977
"28","20","    Services","B656RG3",19.588,19.697,19.925,20.009,20.173,20.48,20.636,20.755,21.705,22.159,22.524,23.084,22.923,23.186,23.603,24.218,24.832,26.601,28.073,29.146,30.818,32.028,32.722,33.643,34.059,34.688,35.13,35.809,35.942,36.037,36.709,37.31,37.973,38.676,39.412,40.315,40.876,41.904,43.461,44.339,45.347,46.959,49.103,51.232,54.212,55.164,56.844,57.347,57.658,58.011,58.345,59.259,59.515,58.699,57.693,57.533,57.402,57.361,57.446,57.406,57.651,57.617,55.793,54.615,53.941,55.356,57.155,58.948,61.429,62.136,62.97,63.263,62.267,62.933,63.799,64.355,65.997,66.684,66.347,66.668,65.936,65.778,65.841,66.731,68.379,69.384,71.572,74.74,74.775,72.878,73.146,73.649,74.408,75.041,77.186,76.058,75.912,76.697,76.142,76.502,76.633,76.825,78.551,79.215,78.237,80.739,81.056,80.907,81.388,81.878,82.478,83.194,82.695,82.771,81.942,81.523,79.685,80.454,80.593,81.783,81.722,83.029,83.877,84.114,84.411,83.892,84.3,84.233,84.562,84.111,84.421,83.784,84.117,85.772,87.283,87.181,88.966,91.839,92.507,92.566,93.702,94.813,96.188,97.589,98.408,99.679,101.007,100.906,102.446,103.817,104.505,104.455,105.189,106.933,108.655,110.223,111.897,115.478,116.842,111.469,108.506,109.511,111.179,113.65,114.351,114.813,114.164
"29","21","Government consumption expenditures and gross investment","B822RG3",17.025,17.32,17.727,17.998,18.491,18.797,19.111,19.382,19.927,20.296,20.578,20.882,21.582,21.798,22.067,22.511,22.965,23.384,23.78,24.249,24.793,25.499,26.372,27.246,27.814,28.318,28.797,29.414,29.825,30.236,30.609,31.207,31.83,32.325,32.7,33.478,33.902,34.377,34.874,35.525,36.231,36.954,38.002,39.111,40.044,41.085,42.012,43.536,44.625,45.43,45.971,47.046,47.787,48.472,49.06,49.781,50.103,50.534,50.968,51.263,52.645,53.157,53.585,53.889,54.577,54.814,54.995,55.512,55.591,55.741,56.046,56.532,57.007,57.351,57.805,58.001,58.502,58.984,59.242,59.568,60.326,60.753,61.13,61.488,62.384,62.979,63.622,64.636,65.131,65.332,65.802,66.161,66.621,67.149,67.563,67.773,68.312,68.773,69.175,69.536,70.069,70.624,71.014,71.57,72.158,72.53,72.817,73.508,74.323,74.132,74.505,74.993,75.509,75.663,75.875,76.371,76.444,76.634,77.013,77.427,78.185,78.993,79.722,80.448,81.576,81.986,82.864,83.625,84.268,84.656,84.98,85.15,86.064,86.647,87.153,88.147,90.122,90.361,90.844,91.272,92.767,93.889,95.041,96.425,98.167,99.248,100.686,101.898,103.232,104.644,105.437,106.055,108.223,109.453,110.245,111.529,113.5,115.29,116.391,114.853,114.356,114.516,114.635,115.067,116.358,116.606,116.706
"30","22","  Federal","B823RG3",17.71,17.971,18.498,18.724,19.326,19.551,19.859,20.06,20.792,21.212,21.528,22.001,23.098,23.284,23.458,24.044,24.43,24.804,25.287,25.799,26.181,26.743,27.624,28.71,29.35,29.765,30.333,31.184,31.546,31.913,32.411,33.338,34.06,34.491,34.637,35.78,36.127,36.497,36.992,37.935,38.482,39.067,39.856,41.502,42.259,43.238,43.94,46.164,46.952,47.671,48.194,49.845,50.531,51.156,51.587,52.464,52.758,53.089,53.458,53.566,55.719,56.241,56.657,56.814,57.553,57.532,57.446,58.01,57.867,57.856,57.953,58.077,58.473,58.574,58.755,58.765,59.46,59.917,59.997,60.161,61.184,61.38,61.753,61.699,62.619,63.198,63.638,64.738,65.599,65.718,66.254,66.709,67.526,68.009,68.469,68.4,69.047,69.52,70.191,70.561,70.978,71.814,71.798,72.309,73.157,73.252,73.521,74.938,75.968,75.335,75.63,76.118,76.846,76.924,77.012,77.407,77.683,77.822,78.042,78.177,79.179,79.636,80.089,80.642,82.08,81.833,82.901,83.283,83.661,83.895,84.378,84.871,86.909,87.094,87.129,88.14,90.63,90.869,91.144,91.454,93.996,95.18,95.755,96.408,99.173,99.68,100.42,100.728,103.101,104.187,104.502,104.637,106.849,107.773,107.882,108.509,110.23,111.515,111.958,110.772,110.979,110.743,110.716,111.141,112.375,112.615,112.756
"31","23","    National defense","B824RG3",17.233,17.518,18.032,18.246,18.757,18.937,19.27,19.499,20.215,20.611,20.937,21.476,22.821,23.007,23.182,23.826,24.174,24.614,25.199,25.66,26.12,26.597,27.578,28.597,29.153,29.486,30.03,30.852,31.277,31.676,32.187,33.09,33.793,34.209,34.33,35.61,36.088,36.502,37.061,37.982,38.547,39.164,40.027,41.673,42.47,43.57,44.206,46.47,47.193,48.034,48.607,50.333,51.024,51.713,52.153,52.921,53.204,53.613,54.026,54.256,56.976,57.514,57.907,58.016,58.709,58.549,58.49,59.037,58.744,58.558,58.591,58.673,59.126,59.195,59.346,59.279,59.91,60.316,60.395,60.682,61.663,61.784,62.156,61.923,63.028,63.477,64.057,65.106,65.668,65.732,66.408,67.081,68.037,68.552,69.021,68.477,68.956,69.453,70.046,70.392,70.698,71.489,71.566,71.998,72.657,72.851,73.165,73.972,75.388,75.1,75.398,75.84,76.462,76.445,76.443,76.716,77.098,77.217,77.365,77.63,78.645,79.043,79.397,79.815,81.421,81.361,82.141,82.361,83.037,83.175,83.677,84.046,85.848,86.244,86.471,87.932,90.201,90.473,90.796,91.165,93.453,94.651,95.316,96.159,99.135,99.669,100.397,100.799,103.336,104.499,104.883,104.965,107.113,108.191,108.434,109.259,110.975,112.673,113.245,111.544,111.562,111.063,111.153,111.59,113.046,113.377,113.529
"32","24","    Nondefense","B825RG3",18.83,18.981,19.534,19.792,20.728,21.115,21.32,21.41,22.171,22.663,22.943,23.207,23.566,23.745,23.915,24.342,24.823,25.016,25.226,25.859,26.04,26.821,27.442,28.677,29.512,30.119,30.738,31.651,31.859,32.148,32.607,33.584,34.34,34.8,35,35.831,35.891,36.16,36.512,37.493,37.998,38.507,39.128,40.765,41.424,42.139,42.97,45.09,46.014,46.46,46.865,48.329,48.997,49.454,49.851,50.999,51.311,51.447,51.721,51.526,52.065,52.584,53.085,53.383,54.237,54.595,54.426,55.039,55.332,55.835,56.124,56.37,56.605,56.803,57.078,57.327,58.225,58.852,58.933,58.705,59.869,60.293,60.675,61.151,61.54,62.47,62.518,63.745,65.421,65.682,65.843,65.744,66.239,66.657,67.097,68.142,69.166,69.579,70.42,70.843,71.507,72.438,72.219,72.902,74.149,74.042,74.217,76.913,77.13,75.773,76.067,76.654,77.601,77.87,78.136,78.771,78.838,79.013,79.378,79.252,80.236,80.807,81.449,82.26,83.379,82.785,84.387,85.075,84.897,85.311,85.758,86.481,88.956,88.754,88.435,88.611,91.508,91.68,91.858,92.05,95.108,96.264,96.651,96.915,99.255,99.702,100.466,100.577,102.622,103.551,103.728,103.972,106.321,106.926,106.755,106.969,108.695,109.122,109.294,109.198,109.794,110.096,109.822,110.222,110.997,111.053,111.17
"33","25","  State and local","B829RG3",16.537,16.869,17.164,17.483,17.88,18.263,18.585,18.916,19.304,19.632,19.886,20.06,20.461,20.702,21.041,21.382,21.881,22.33,22.665,23.103,23.755,24.556,25.42,26.149,26.666,27.226,27.643,28.105,28.546,28.983,29.274,29.655,30.209,30.744,31.268,31.801,32.275,32.815,33.311,33.768,34.574,35.384,36.598,37.349,38.393,39.473,40.555,41.587,42.887,43.752,44.309,44.953,45.735,46.465,47.172,47.773,48.117,48.63,49.117,49.563,50.332,50.836,51.273,51.695,52.346,52.793,53.193,53.674,53.933,54.213,54.689,55.474,56.014,56.558,57.238,57.588,57.933,58.435,58.831,59.284,59.841,60.447,60.827,61.501,62.381,62.989,63.786,64.74,64.961,65.225,65.647,65.938,66.145,66.705,67.085,67.491,67.953,68.406,68.63,68.986,69.597,69.977,70.623,71.207,71.633,72.171,72.469,72.735,73.425,73.493,73.911,74.397,74.795,74.99,75.269,75.821,75.785,76.003,76.466,77.025,77.659,78.644,79.514,80.328,81.299,82.038,82.821,83.771,84.548,85.013,85.256,85.259,85.602,86.385,87.133,88.12,89.822,90.061,90.661,91.155,92.053,93.139,94.624,96.432,97.578,98.993,100.842,102.588,103.307,104.916,105.99,106.892,109.033,110.445,111.644,113.326,115.451,117.555,119.075,117.313,116.356,116.779,116.998,117.434,118.76,119.014,119.083
