"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","       Change in private inventories","A014RX1",37,31.2,34.9,18,3.9,16.7,16.2,-14.3,38.5,33,31.5,-3,10.8,38,39,14.9,23.1,52.9,23.2,56.8,26.4,37,12.7,40.2,-15.4,-29.6,-5.8,-0.3,31.8,47.1,43.9,14.2,24,40.2,71.1,37.1,43.2,42.5,44.8,51.9,39.8,44.9,17,10.3,13.4,11.4,-48.8,-13.3,55.4,14.3,57.9,28.3,-27.2,-5.4,6.8,-52.8,-47.7,-6.7,-5.6,29.4,88.7,83.1,86.9,54.4,17.2,25.1,20.8,38.6,35.3,17.2,-9.5,-9.2,36.6,20.1,-0.7,76.8,17.9,22.9,20.7,26.2,54.4,41,10.8,16.3,15.1,37,24.9,-10.8,-17.2,-21,-0.5,33,2.7,23.9,21.1,23.8,40.3,26.8,6.3,15.6,50.5,90.5,56,80.1,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-8.2,-20.6,-27.4,-94.3,-125.8,-161.8,-128.2,-36.7,44.1,68.8,121.4
"12","4","       Residual","A958RX1",-14.7,-17.3,-16.1,-20.1,-24.3,-21.1,-20.9,-28.1,-16.7,-16.5,-18.5,-24.9,-21.3,-16.5,-14.7,-21.8,-12.7,-10,-12.6,-5.1,-12.2,-15.6,-24.9,-0.6,-41.7,-40.6,-27.1,-26.8,-14.9,-9.1,-12.2,-16.7,-14.9,-11.1,-2.2,-13.2,-7.6,-7.3,-5.7,-10.2,-6.6,-5.9,-20.1,-24,-19.6,-22.8,-49,-30,-5.7,-24.3,-2.5,-12.7,-38.3,-25.8,-21.9,-44.8,-40,-32.8,-27.4,-16.2,5,5.4,5.6,-3.1,-15.2,-17.4,-17.2,-10.8,-11.9,-18.4,-22.9,-29.4,-16.4,-19,-21.9,-7.1,-18.8,-17.9,-12.6,-14.1,-7,-10.5,-16.6,-14.7,-16.7,-10.2,-14,-20.3,-20.6,-20.6,-18.5,-13.1,-18.6,-11.6,-14.2,-15.9,-11.4,-14.5,-15.7,-14.6,-11.6,-5.4,-8.9,-5.3,-7,-12.4,-14.3,-12.3,-15.4,-11.8,-6.1,-5.7,-9.6,-3.6,-5.2,-4,-2.1,-6,-6.1,-6.4,-5.5,-5.3,-4.4,-2.3,-3.3,-0.5,-1.6,-1.7,-3.1,-3.2,-2.9,-2,-3.4,-3.5,-3.1,-3.2,-2.2,-1.6,-0.9,-0.8,-1,-1.2,-0.3,-0.5,-0.5,0,0.2,0.5,-1.2,-1,0.1,1.1,0.9,2.8,2,-1.3,1.2,-2.8,1.3,-6.1,-5.8,0.4,4.5,4.6,9.2,11.4,11.8
"13","5","Goods","A353RX1",919.4,911.6,919.4,911.1,907.3,917.1,921.6,884.9,936.2,932.5,941.4,928.6,947.9,997.1,1012.9,1036.2,1085,1113.2,1096.4,1124.3,1105.2,1106.3,1085.5,1079.5,1038,1046.9,1084.8,1097.5,1135.2,1153.5,1161.2,1152.2,1166,1194.2,1235.4,1227.4,1218.7,1294,1302.4,1332.3,1337.2,1329.6,1349.2,1344,1356.3,1320.4,1301,1335.5,1404.2,1363.7,1418.2,1366.7,1314.9,1341.9,1321,1289.4,1297.8,1355.7,1382.2,1459.3,1510.8,1542.2,1557,1566.1,1559.5,1566.5,1596.1,1601.8,1617.5,1613.5,1636,1641.5,1645.6,1676.2,1699.3,1749.7,1760.7,1797.1,1800.1,1834.2,1875.4,1903,1918.6,1903.7,1931,1932.7,1927.8,1888.7,1869.7,1878.5,1899.5,1902.8,1913.7,1954.8,1982,2008.3,2014.9,2036.7,2029.6,2080,2129.2,2174.9,2181.7,2249.4,2254.6,2241.5,2259,2301,2308.8,2371.4,2425.2,2445.5,2482.4,2558.5,2614.3,2640.3,2688,2666.4,2721.8,2815.8,2849.3,2875,2923.6,3008.1,2981.9,3088,3073,3082.1,3011.7,3022.3,2983.9,3009.5,3040.4,3055.9,3086.3,3054.3,3087.2,3093.3,3210.8,3264.9,3279.1,3299.4,3340,3386.6,3441.7,3444,3481,3524.8,3624.5,3640.6,3640.9,3704.9,3723,3779.9,3810.8,3899.6,3887.6,3886.2,3776.9,3587,3565.5,3562.3,3621.2,3820.4,3994.7,3987,4058.5
"14","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202.1,2214.9,2256.6,2290.7,2311.4,2352.6,2374.2,2417.4,2449.1,2471.6,2551.5,2567.1,2588.3,2630.6,2671.6,2761.7,2774.6,2840.7,2885.7,2922,2965.6,2998.3,3016.9,3030.2,3042.5,3031.9,3011,3089,3053.8,3043.8,3068.1,3024,3057.1,3095.2,3205.8,3226.4,3227.4,3222.7,3277.8,3315.9,3351.6,3428.5,3468.9,3442.7,3559.5,3568.5,3573,3672.9,3706.4,3732.4,3773.4,3890.7,3898.4,3914.6,3807.9,3698.8,3711.3,3740.2,3758.4,3857.8,3937.8,3900.7,3913.9
"15","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-8.2,-20.6,-27.4,-94.3,-125.8,-161.8,-128.2,-36.7,44.1,68.8,121.4
"16","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034.4,1028.7,1051,1082,1079.5,1116.6,1150.4,1154.1,1195.2,1241.1,1285.7,1306.6,1347.4,1337,1380,1444.6,1465.5,1477,1533.2,1571.9,1593.3,1643.2,1629.3,1634.8,1590.1,1587.5,1551.5,1570.6,1600,1611,1637.6,1609.5,1606.7,1632.8,1695.2,1747.3,1747.2,1762,1793.9,1810.6,1859.1,1864.9,1909.2,1931.3,1964.2,1986.9,2005.3,2001.4,2043.5,2086.6,2121.1,2194,2141.2,2136.2,2132.4,1960.2,1828.1,1833.1,1899.1,1972.1,2118.8,2175.7,2238.7
"17","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996.4,1003.5,1033.5,1058.5,1072.9,1102.9,1119.7,1148,1173.1,1195.9,1256.5,1265.5,1284.6,1316.2,1351.3,1413.9,1416.8,1465.9,1508.3,1514.7,1576.3,1587.1,1597.5,1601.3,1630,1607.8,1580.7,1640.2,1594.6,1593.4,1623.7,1575.1,1578.6,1629.8,1704,1712.8,1711.7,1714.5,1756.7,1778.7,1797.8,1856.3,1897,1872.5,1943.8,1953.8,1962.4,1997.6,2033.8,2082.4,2115.3,2174.8,2162.2,2170.8,2134.2,2012.2,1980.7,1987.6,2016.4,2036.4,2091,2118,2157.7
"18","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,30.9,21.6,28,9.4,18,36.2,8.1,27.6,53.3,33.3,46.8,72.3,23,32.5,34.8,55.7,11.3,27,63.9,17.9,62.1,34.4,36.2,-46.8,-24.6,-34.4,-80,4.4,18,13.7,36.3,29.3,1.6,-11.6,34.7,35.5,48.1,37.1,31.9,61.6,8.6,12.2,58.6,20.6,32.9,42.4,5.2,11.1,5.7,7.1,19.2,-17.8,-29.3,-1.6,-44.9,-133.7,-135.3,-102.1,-55.6,24.4,50,69.9
"19","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261,1253.3,1243.9,1251.7,1264.3,1288.1,1306.2,1325,1314,1342.2,1349.2,1352.4,1355.2,1343.7,1352.9,1379,1390.9,1405.4,1392.4,1439.2,1386,1443.3,1443.2,1446.7,1422,1436.1,1435.2,1441.2,1441.5,1445.7,1448.6,1445.3,1482.3,1460.8,1515.9,1517.4,1531.9,1537.4,1546.1,1576,1582.6,1579.1,1571.8,1593.6,1660.4,1653.8,1636.2,1702.8,1679.7,1694,1691.5,1709,1747.1,1750.3,1649.3,1624.8,1723.7,1716.5,1713.8,1836,1868.9,1811.1,1822.8
"20","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,1255.4,1264.2,1270.6,1275.6,1284,1287.1,1300.1,1304,1300.5,1314.4,1320.8,1320.7,1328.9,1331.8,1355.9,1366.7,1380.9,1380.1,1412.3,1388,1411,1419.1,1429.2,1409.9,1423.5,1431.3,1448.1,1461,1451.7,1444.2,1450.5,1481,1465.9,1501.6,1513.5,1515.7,1508.3,1521.1,1537.3,1553.8,1572.1,1572,1570.2,1615.9,1614.9,1611,1675,1672.8,1651.8,1660.6,1718.1,1737.6,1745.2,1677,1684,1724.2,1745.4,1737.1,1812.4,1839,1780.3,1758.4
"21","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,3.5,-17.4,-15.8,-7.9,7.7,24.3,25.9,14.1,49.4,42.2,38.8,41.6,19.6,27.1,29.7,31,30.9,16.4,32.3,-0.3,37,28,20.9,14.6,15.6,5.5,-6.6,-20.6,-5.7,5.7,-4.9,1.4,-5.2,15,3.3,16.8,30.4,25.4,39.6,29.5,7,-0.3,22.8,45.1,39.7,25.1,26.6,6.1,38.6,28.5,-5.8,8.4,6.6,-24.4,-49.2,3.5,-29.8,-28.5,16.3,20,19.8,52.3
