"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195"
"23","15","      Steam engines","BA13RC0",512,494,394,384,403,490,445,414,365,330,324,493,355,322,335,264,289,304,291,288,317,300,275,244,182,290,290,386,294,343,366,373,591,583,548,522,612,697,713,894,809,878,1099,676,862,957,1158,1209,1306,1258,1123,1239,1436,1509,1444,1319,1093,1390,1573,1504,1383,1542,1333,1666,1398,1479,1468,1287,1578,1345,1116,1445,1273,1009,1225,1485,1242,992,1281,1125,1194,1324,1290,1000,1304,1125,1093,1130,1685,1369,1313,1573,1394,1550,1220,1096,1217,1210,1043,1230,615,989,1277,1823,1647,1484,1286,1187,1269,872,870,1109,1204,1735,2087,1982,1436,1591,1828,1999,2110,2210,2265,2434,1962,2139,2406,2161,2540,3182,3079,2293,2843,2746,2358,2389,2258,2104,2612,2607,2350,2781,2271,3128,2244,2153,1921,1242,2081,2104,2732,3072,3059,1254,2662,1194,3439,3343,2350,2130,2601,2950,3624,3947,6758,4677,4344,4483,9275,7803,9195,7582,11342,8917,8548,9133,8268,9259,8588,5879,3582,1463,1326,2205,1866,1541,2739,3348,1904,2280,3405,3430
"24","16","      Internal combustion engines","BA14RC0",139,153,131,129,122,117,98,135,90,106,102,98,101,105,109,109,118,121,145,136,132,136,147,157,159,161,166,166,196,203,198,211,197,186,202,211,206,209,201,222,211,226,256,260,240,225,200,218,196,226,226,235,254,238,259,281,328,323,267,286,326,328,338,348,299,312,352,377,376,407,399,414,465,472,489,530,646,655,728,727,706,679,666,649,745,753,719,851,820,837,884,859,795,688,585,564,524,582,607,663,769,761,760,746,750,752,814,808,830,869,825,828,768,701,753,806,931,1019,1068,1003,1113,1034,965,913,1037,896,865,994,979,1085,1103,1055,1046,1074,1111,1085,1079,1098,1104,1209,1159,1266,1296,1293,1374,1349,1425,1457,1480,1478,1478,1491,1656,1715,1701,1735,1614,1556,1610,1720,2037,2216,2362,2246,2060,2108,1919,2083,2237,2297,2361,2453,2130,2272,2293,1853,2158,2233,2072,2206,2426,2496,2561,2513,2615,2543,2550,2746,2817,2851,2862,2972
"25","17","    Metalworking machinery","C271RC0",1175,1270,1341,1440,1483,1579,1613,1520,1439,1368,1380,1410,1487,1559,1607,1651,1756,1864,1989,2016,1957,1976,2076,2123,2335,2533,2701,2931,3061,3185,3362,3552,3992,4260,4215,4426,4195,3904,3732,3827,3801,3868,4031,4179,4258,4114,3929,3619,3309,3250,3092,2926,3166,3521,3879,4302,4608,4823,4991,5255,5676,5978,6267,6352,6101,5992,5936,6205,6078,6334,6699,6649,6710,7044,7369,7875,8243,9229,9832,10086,10741,11248,11936,12365,13506,13141,12664,13763,13483,13679,14558,14697,13866,12955,11817,10027,9256,8922,9408,9711,10678,11303,11436,11820,11852,12225,12613,13134,13388,13467,13175,12383,12459,12376,12246,12789,13541,13093,14035,14842,15737,17223,16899,16914,15672,16018,16775,15372,15249,15980,16068,15410,16138,16478,17166,17677,18788,18273,18148,19493,20817,20964,23190,24069,25487,26473,26781,26802,26839,26874,27464,28675,29275,30584,29874,29166,30466,30171,29976,29805,28992,28656,29342,30172,30077,30110,30595,29401,28452,26336,24553,22914,22289,22799,23456,23824,23901,23305,21867,21409,24170,21738,23501,23387,25563,27371,28970,31568,33565,32152,32068,32220
"26","18","    Special industry machinery, n.e.c.","C272RC0",1615,1489,1668,1866,1939,2088,1875,1810,1727,1819,1809,2056,2082,2151,2020,1913,1937,1998,2150,2178,2317,2197,2363,2705,2873,3027,3300,3233,3294,3547,3487,3535,3479,3452,3216,3148,3279,3382,3545,3635,3831,3754,3691,3705,3925,3970,3872,3918,3825,3701,3745,3893,3621,3952,4505,4788,4753,4838,4800,4970,5312,5468,5447,5198,5133,5236,5201,5078,5329,5408,5331,6029,5747,5962,6151,6658,7504,7840,8640,8998,9231,9305,9388,9537,9673,10533,10944,10781,11972,10633,10923,11818,11706,11864,11703,12253,11399,12301,12875,12939,13693,14432,14487,15006,14773,16228,15465,16690,16045,16654,17708,18067,19324,18334,18321,18945,19036,20496,21244,22676,23609,23330,24893,22876,23856,22027,22064,22256,23185,20907,20206,20814,20845,20893,22002,23457,22797,22916,24622,26930,26276,25906,26050,27269,29779,30904,32237,31712,33991,34486,31473,31199,30241,32707,33632,34647,35542,33582,32239,32088,33260,33622,32370,32357,31812,36553,39163,38061,34883,31418,28090,28014,26753,24131,25911,26312,29834,31959,29806,24643,25370,27121,30109,29647,29543,26289,27986,28733,25869,30590,32282,29553
"27","19","    General industrial, including materials handling, equipment","C273RC0",2164,2168,2193,2421,2454,2659,2452,2328,2139,2236,2400,2541,2499,2616,2523,2401,2664,2849,2910,3076,3142,3246,3497,3884,3825,3851,4038,3993,4146,4577,4688,4872,4630,4244,4038,4170,4426,4354,4328,4281,4742,4988,5121,5261,5414,5215,5370,5026,4977,5008,5276,5539,5252,5506,5644,5552,5941,6668,7140,7672,7923,8139,8412,8649,8420,8363,8463,8558,8902,9217,9647,9710,10804,11078,12761,13310,13583,14938,15158,15346,17066,16856,17109,17719,17900,18087,17889,18005,17765,19544,19333,19228,18223,18003,18254,17834,16493,16037,17182,17536,19500,19572,20930,21242,21720,21654,21509,22587,23680,23559,24901,24570,22953,22985,24529,23892,24269,26806,27248,25730,26355,26479,27540,27687,28668,26623,27022,27211,26407,25313,25898,25651,24686,26713,28316,29805,31058,32094,31682,33828,33759,34699,36033,36917,38653,40181,40311,40352,40514,41660,42325,43381,43977,44447,43683,45105,47211,47653,46892,47478,45870,45902,46050,45156,48623,49487,48850,47357,48158,44526,43227,41751,41792,43081,44639,45027,47102,48040,48985,50272,47592,50167,51563,53900,57608,58368,60187,62366,63736,65896,64714,65301
"28","20","    Electrical transmission, distribution, and industrial apparatus","C276RC0",1769,1740,1793,1852,1896,2042,1949,1890,1832,1914,1847,1926,2016,1967,1832,1814,1845,1849,1887,1937,1983,2053,2120,2312,2229,2300,2427,2497,2706,2844,2969,2947,2965,2941,2827,3015,3023,2907,2798,2927,3016,3068,3163,3098,3103,3287,3351,3387,3079,3034,3028,3271,3397,3392,3280,3278,3482,3777,4183,4717,4533,4641,4805,4690,4468,4464,4692,4721,4936,4813,5018,4914,5669,6007,6283,6491,6613,6291,6458,6537,7129,7418,7435,7549,8048,7613,7718,8259,8190,8914,9286,9045,9190,9163,9089,8647,8777,9063,9646,10318,10997,11555,11619,11808,11152,11683,11421,11935,11160,10878,10951,11703,11802,12258,12509,12560,12384,12523,12823,13273,13727,13621,13753,13772,14116,14082,14013,13649,13190,13304,13296,13567,13697,13505,13705,13713,13449,14057,14415,14910,15342,15481,15928,16086,17118,17286,17475,17778,17568,18120,18467,18591,18867,19345,19313,19640,19908,19854,20303,20427,20542,21396,22593,22647,24398,24115,24755,25498,24536,23545,21562,21515,20530,20690,20074,19399,18686,18219,17849,18481,18987,19192,19381,19744,20427,20939,21575,22347,22416,22972,23071,23661
"29","21","  Transportation equipment","A681RC0",7563,8396,9094,8038,8992,8647,8688,7708,7414,7687,8025,8978,9291,9647,10117,10101,9485,8991,9313,9938,10173,10554,11321,10260,12870,12834,13342,13814,14720,14737,14248,14367,13341,13965,14661,15099,17211,16625,17711,18968,19393,19136,18969,18058,16758,16535,17081,14603,17653,18280,18168,19549,20961,21248,21022,24165,25197,26928,27079,27036,26758,26786,27408,24164,23963,23856,25849,27003,28346,29007,30168,32436,36855,38357,39283,42613,43087,48364,48262,49574,54113,52482,55355,52607,51703,45634,48128,48075,50469,49994,51999,49762,49515,46817,43885,47066,47193,49349,54767,62734,60397,64428,66083,66724,66421,68924,70504,69967,67352,70913,72222,71392,65569,71215,69966,65511,71850,72439,71507,75647,68936,68895,69437,64402,68716,65852,73212,72055,72990,70311,72862,69958,66806,78142,72759,81151,80893,92476,85913,98421,105236,102381,105123,118190,124621,112902,111602,115187,113497,118270,130372,130466,130812,134373,143075,133864,133457,138514,145235,158873,162263,166707,173416,168147,165587,166697,160252,150847,142662,142320,138229,143651,130579,126948,123069,124661,110380,117338,121266,124341,122889,136925,146627,159784,155547,158001,165026,154574,165726,155886,157454,154759
"30","22","    Trucks, buses, and truck trailers","C279RC0",2592,2775,2732,2365,2644,2623,2594,2407,2305,2448,2723,3164,3065,3231,3574,3770,3606,3437,3610,3731,3650,3689,4020,3585,4193,4496,4753,5178,5511,5456,5416,5245,4944,4790,4948,4746,5549,5725,5975,6455,6912,7078,7272,7370,6602,6386,6508,5336,6188,6925,7444,8435,9068,9640,9132,9896,11351,10996,11096,11413,11562,11968,11833,11085,9006,8490,9284,9972,10819,11631,13327,12735,15526,15978,15778,17554,18025,20272,19634,21797,22524,22031,22026,20723,18462,15937,17407,16582,17210,18708,18498,18120,19371,18117,16777,16843,18285,18920,21155,24964,26285,28285,28407,29762,30687,31790,31526,34013,29035,28854,28254,27508,26904,29720,29744,28684,28434,28076,28503,31483,29549,30363,28318,25840,25208,23668,23629,22385,20936,21631,22115,23416,23238,25680,26865,29265,31792,36244,38193,42485,48023,48030,52040,56028,59087,56652,58319,60437,59799,61595,66458,70638,73383,71333,73447,74601,73863,78576,77398,87842,86964,87382,92659,90913,90622,84547,80726,71397,68352,66500,61996,63581,57985,60525,62894,62775,55862,59474,64389,67868,71621,76971,88392,95478,95604,98505,104522,100253,106920,102230,104771,103626
"31","23","      Light trucks (including utility vehicles)","W178RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9863,10933,10955,11014,11824,11359,12176,12556,11152,11298,11011,9560,10266,9747,9602,9238,9130,10253,9934,10165,9693,10359,9630,10990,11881,15074,15702,18309,23982,23988,26527,29107,29354,28162,29832,31270,33526,35440,40599,46360,50426,48628,49546,48817,46599,50132,45880,53473,52684,53172,57150,54695,55740,51414,50675,45446,43398,43163,40198,42296,37658,36911,37052,38261,37018,38902,42687,44650,46287,49893,58003,61002,59350,62543,67954,61473,66113,61264,63631,60197
"32","24","      Other trucks, buses, and truck trailers","W179RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17041,18787,18789,17670,16610,16717,16326,18927,18396,19065,17306,16280,14942,13921,14027,13147,11806,11378,12181,13252,13545,15321,17235,18275,19911,21170,22492,24175,24041,24042,25514,26922,29733,28490,28487,29167,26273,26155,25860,24277,22957,22705,23900,25784,27265,28444,31518,34368,34280,34210,35508,36217,34881,33134,30051,25951,24954,23336,21798,21284,20327,23613,25842,24514,18845,20572,21701,23218,25335,27078,30389,34476,36254,35962,36568,38780,40807,40966,41141,43429
"33","25","    Autos","C280RC0",3407,3678,4132,3426,4173,3832,3873,3405,3315,3467,3583,3823,4102,4117,4338,4447,4232,3881,3802,4120,4131,4191,4551,3843,5451,5089,4895,4881,5145,4591,4502,4834,4297,4665,4733,4667,5573,5725,6185,6457,6345,6454,6403,6118,5570,5735,5483,4256,7130,7130,7674,7681,7554,7594,7708,8592,8994,9317,9159,7950,8253,8203,8997,7715,7354,8035,9444,9594,10420,10473,10884,11704,13590,14301,14198,14907,15013,17317,17093,17052,17136,15800,16422,14123,15219,12474,14070,15269,17087,16006,18305,15446,15834,16254,17027,17260,18350,20542,23087,25792,25776,26352,25499,24798,25478,26504,29339,24483,28106,30103,32479,28640,26893,27851,27846,22998,29447,30093,28755,29652,26261,27388,26725,24153,27755,28236,30625,29935,30773,31057,32507,30857,30655,30549,29130,31845,30307,35165,31757,35831,40023,39976,40912,43521,37184,36204,37471,37547,36167,38226,39442,37950,37445,37657,39039,39043,34063,34952,32039,36730,36379,38237,38355,38561,39734,36680,34905,34791,36044,34903,32350,32080,32094,33334,33969,32172,29999,28753,30353,28947,29257,30116,31343,34109,34211,34046,36777,35916,34982,33638,33424,34435
"34","26","    Aircraft","C281RC0",537,773,1056,1078,887,781,889,559,674,845,824,917,958,943,746,477,446,379,503,624,747,852,822,943,1026,1182,1414,1510,1919,1892,1800,1653,1728,2300,2718,3210,3858,3316,3619,3871,3572,2858,2584,1998,2438,2206,2637,2403,1605,1572,791,1336,1830,1461,1566,2799,2564,3224,2875,3297,3106,2806,2555,1305,2608,2079,2128,2397,2429,2525,1542,2920,2511,2749,3981,4423,4404,4499,4699,3598,6390,5998,7466,8158,8249,8024,7825,7958,7743,6889,7155,9137,7470,6671,5561,8818,7094,6725,7091,8322,5109,5891,7981,7715,6844,7174,6461,8389,7549,9166,7937,11348,9090,10944,8148,10694,10785,10165,10396,10451,8702,6621,9158,9419,10447,9130,14307,14581,16158,12874,13744,10893,9088,18312,12175,15310,13779,16373,11414,11980,11285,7283,5618,12270,20543,11950,10233,10372,10080,10613,16526,14436,11942,16278,21785,12039,16296,15859,26614,24345,29181,30880,32384,28670,24380,34549,35442,35948,29944,33532,36534,40943,33211,26277,19719,23009,17768,21982,19624,20283,14467,22194,19383,22484,17261,17567,16522,11968,16831,12871,11588,10076
"35","27","    Ships and boats","C282RC0",498,533,478,439,454,486,430,446,403,387,376,414,400,425,431,400,338,364,393,353,384,400,426,486,487,504,455,510,574,458,546,538,506,557,597,564,766,657,749,851,868,931,832,789,755,773,975,1062,1094,972,766,615,966,1008,1140,1294,541,1680,2097,2414,1710,1484,1486,1588,2235,2376,2260,2221,2372,2171,2094,2447,2529,2536,2321,2618,2461,2475,2685,2723,2903,2848,3350,3759,3675,3334,3505,3326,4197,4828,4615,4164,3861,3425,2768,2462,2065,1708,1945,2018,1202,1646,1753,2243,1383,1360,1214,1219,1318,1378,1639,1569,1503,1556,2670,1572,1569,1598,1654,1586,1582,1179,1422,1757,1760,1505,1500,1450,1574,1729,1524,1566,1338,868,1192,1309,1628,1404,1930,3672,1857,2346,1792,1367,2135,1812,1606,1636,2001,2091,2828,2329,2497,2830,2482,3050,2673,2630,2704,3362,2818,2702,2900,2961,3495,3397,3437,3158,3278,2775,2745,3051,3349,3464,3428,3870,3897,3943,4160,4100,4196,4455,4404,4741,5628,5083,4076,4077,4383,4397,4587,3880
"36","28","    Railroad equipment","C283RC0",529,637,696,730,834,925,902,891,717,540,519,660,766,931,1028,1007,863,930,1005,1110,1261,1422,1502,1403,1713,1563,1825,1735,1571,2340,1984,2097,1866,1653,1665,1912,1465,1202,1183,1334,1696,1815,1878,1783,1393,1435,1478,1546,1636,1681,1493,1482,1543,1545,1476,1584,1747,1711,1852,1962,2127,2325,2537,2471,2760,2876,2733,2819,2306,2207,2321,2630,2699,2793,3005,3111,3184,3801,4151,4404,5160,5805,6091,5844,6098,5865,5321,4940,4232,3563,3426,2895,2979,2350,1752,1683,1399,1454,1489,1638,2025,2254,2443,2206,2029,2096,1964,1863,1344,1412,1913,2327,1179,1144,1558,1563,1615,2507,2199,2475,2842,3344,3814,3233,3546,3313,3151,3704,3549,3020,2972,3226,2487,2733,3397,3422,3387,3290,2619,4453,4048,4746,4761,5004,5672,6284,3973,5195,5450,5745,5118,5113,5545,6275,6322,5131,6562,6497,6480,6594,6921,7506,7118,7042,7356,7524,5742,5553,5044,4610,4604,3996,3940,3348,3059,2835,2854,3186,2740,3143,3348,3189,3105,2972,2843,2800,3129,2360,2610,2750,3084,2742
"37","29","  Other equipment","A682RC0",7444,7649,7801,7878,7481,7477,6914,6893,7101,7291,7214,7147,7234,7679,7866,8064,8476,8805,9259,9673,9807,10092,10117,10780,11097,10949,11721,12238,12838,13169,13265,13531,12560,12859,12564,13086,12772,12885,13481,14406,14898,14773,14858,15197,15533,15950,16703,16557,16339,16786,16949,16748,17861,18738,19771,21216,23134,23839,24188,23602,24227,25486,26997,29357,27428,28436,28553,30151,30103,30608,32185,32229,35601,36876,38146,40509,41092,44903,46582,49788,50694,52100,54027,51474,55748,50316,50078,52758,56166,59651,61748,59739,55207,53517,53542,50570,47177,50957,52617,57384,58372,59573,60940,61303,61721,62165,60611,62286,62240,62986,61453,63267,62987,65169,68400,69247,70724,71053,72473,73714,79117,81689,86024,85227,84215,82623,83216,82231,74467,73317,72023,71893,71777,71822,75336,76909,81228,83222,84547,87585,89391,91541,93127,95331,99120,99399,99525,101387,102724,104193,107418,108919,111755,113721,120316,121765,126259,129202,128364,126257,130082,127762,128650,130720,134301,136958,133917,133149,134662,130249,131918,127786,125350,128901,129215,129937,131555,133890,141173,143640,143089,145899,150426,154622,156832,165423,167512,171743,175813,179786,183017,184008
"38","30","    Furniture and fixtures","A667RC0",1443,1319,1325,1353,1426,1505,1380,1305,1239,1372,1393,1420,1342,1370,1513,1511,1571,1607,1630,1628,1661,1707,1743,1949,1890,1906,1932,2048,2136,2269,2219,2248,2340,2266,2279,2307,2318,2274,2271,2459,2679,2680,2718,2723,2679,2666,2861,2715,2445,2627,2764,2722,2974,3415,3418,3761,4092,3925,3834,3605,3758,3945,4049,4040,3760,3642,3700,3638,3758,4067,4279,4696,5109,5486,5895,5894,6097,6573,7244,7494,8115,7732,7949,8152,8859,8924,8955,9330,9388,10019,10154,10290,10811,11146,11160,11055,10884,11428,12752,13586,14281,14195,14508,14982,15345,16150,15666,15512,15896,16273,16930,17668,17968,18174,18475,18934,18499,18430,18703,19371,20532,21701,22548,21726,21596,21356,21046,20011,18637,18815,18843,19167,20010,20477,21935,21186,21015,20781,21753,21988,22267,22677,22433,22851,23818,24585,24738,24681,23968,24761,25799,27653,30090,29240,29619,30192,32295,32041,32667,33892,34835,34309,34641,34375,34347,37150,36694,36809,35710,33600,31791,30595,30536,30524,30497,29783,30504,30946,32815,33124,32008,33572,34567,34894,36521,38666,38497,40303,40736,42109,41708,43218
"39","31","      Household furniture","BA15RC0",156,152,147,137,144,145,135,140,119,134,133,138,139,140,136,133,135,142,147,156,159,158,156,167,164,167,172,173,173,173,170,176,186,192,196,210,244,256,279,307,321,349,369,381,407,442,471,509,509,522,556,587,595,629,637,699,699,703,666,652,669,675,633,571,485,465,492,498,557,608,635,656,648,653,651,704,739,796,815,814,814,821,846,847,897,853,808,890,915,928,936,933,880,896,895,865,920,974,984,1022,1046,1057,1078,1147,1109,1107,1143,1177,1192,1212,1254,1270,1287,1320,1319,1382,1370,1313,1266,1285,1255,1258,1240,1265,1175,1155,1172,1116,1038,1039,1037,1045,1033,1041,1034,1033,1111,1161,1146,1250,1289,1311,1341,1371,1414,1370,1446,1461,1497,1547,1588,1583,1542,1584,1616,1690,1760,1750,1803,1851,1929,1949,2000,2038,2035,2082,2110,2094,2081,2007,2059,2068,2180,2246,2251,2210,2266,2204,2223,2261,2321,2392,2379,2466,2524,2541,2596,2593,2637,2664,2637,2522
"40","32","      Other furniture","BA16RC0",1287,1167,1178,1216,1282,1360,1245,1165,1120,1238,1260,1282,1203,1230,1377,1378,1436,1465,1483,1472,1502,1549,1587,1782,1726,1739,1760,1875,1963,2096,2049,2072,2154,2074,2083,2097,2074,2018,1992,2152,2358,2331,2349,2342,2272,2224,2390,2206,1936,2105,2208,2135,2379,2786,2781,3062,3393,3222,3168,2953,3089,3270,3416,3469,3275,3177,3208,3140,3201,3459,3644,4040,4461,4833,5244,5190,5358,5777,6429,6680,7301,6911,7103,7305,7962,8071,8147,8440,8473,9091,9218,9357,9931,10250,10265,10190,9964,10454,11768,12564,13235,13138,13430,13835,14236,15043,14523,14335,14704,15061,15676,16398,16681,16854,17156,17552,17128,17117,17437,18085,19277,20444,21308,20461,20421,20202,19873,18895,17599,17776,17805,18122,18976,19436,20901,20152,19904,19619,20608,20738,20978,21366,21093,21480,22404,23215,23292,23221,22471,23214,24210,26070,28548,27655,28003,28503,30535,30291,30864,32040,32906,32360,32641,32337,32312,35067,34584,34715,33628,31593,29732,28528,28356,28277,28247,27572,28238,28742,30593,30862,29687,31179,32188,32427,33996,36125,35902,37711,38099,39445,39071,40696
"41","33","    Agricultural machinery","C268RC0",1949,2015,1993,1823,1613,1523,1522,1634,1858,1704,1529,1456,1535,1729,1827,2036,2093,2158,2309,2402,2436,2532,2515,2344,2584,2595,2781,3002,3148,3208,3175,3547,3360,3499,3415,3375,2971,2820,3421,3898,3667,3584,3182,3296,3459,3902,4334,4346,4449,4102,3888,3232,3615,3988,5451,6133,6217,6517,6746,6084,6255,6588,6836,7548,7913,8630,8349,9292,9176,8854,8914,8394,9577,9413,9115,9750,9637,10675,11166,11456,11707,12769,14077,12441,12932,11421,10911,11137,12489,12615,13480,11859,9960,9268,9227,9598,7910,8619,8093,9201,9647,9041,9112,8686,7814,7394,6941,7058,6869,6955,6734,6696,6564,6772,7564,7817,9096,9637,9913,10403,10581,11531,12737,13092,12797,12939,13893,14758,11899,11912,11009,10900,11269,9806,9611,10122,11142,12274,11779,12260,13078,13406,13533,13695,14445,14083,13731,13522,14315,13882,14322,13833,13381,15753,18204,17643,18434,18543,16342,14313,13896,12513,11228,12141,14011,14515,13608,12680,13425,14100,15359,15505,15603,15914,17901,18806,18530,17640,18140,19271,19318,19620,20588,21111,20216,21540,21226,21126,20103,20978,22189,24337
"42","34","      Farm tractors","BA17RC0",626,800,819,619,500,369,409,570,670,612,507,418,505,619,642,697,708,708,713,901,897,1006,942,798,941,771,932,1122,1132,1226,1346,1318,1204,1272,1186,1055,1229,1249,1222,1150,1029,1053,1030,1133,1217,1192,1171,1101,1005,1021,1221,1060,1370,1401,1590,1734,1850,2093,2158,2095,1880,1853,1999,2059,2314,2557,2523,2978,3050,2943,3048,2529,3083,3027,2717,2916,2886,3239,3519,3746,4056,4345,4267,4065,4201,3694,3326,4108,4188,4447,4427,4060,3258,3010,2929,3135,2435,3094,2873,3502,3558,3660,3194,3161,2774,2375,2196,2098,2041,1941,1886,1878,1852,1976,2125,2362,2833,3011,3090,2985,2879,3091,3169,3240,3342,3375,3726,4083,3418,3416,3099,3102,3230,2901,3051,3098,3224,3685,3580,3792,4216,4246,4289,4366,4574,4444,4093,3950,4070,3792,3996,4060,4339,5182,6733,6464,6229,6106,5563,4889,4316,3750,3590,4107,4829,5116,5046,4581,4768,4376,4637,4629,4952,5251,6431,6837,5975,5806,6197,7093,7034,7089,7510,7681,7513,7872,8042,7627,7033,7259,8095,8667
"43","35","      Other agricultural machinery","W213RC0",1323,1215,1174,1204,1113,1154,1113,1064,1188,1092,1022,1038,1030,1110,1185,1339,1385,1450,1596,1501,1539,1526,1573,1546,1643,1824,1849,1880,2016,1982,1829,2229,2156,2227,2229,2320,1742,1571,2199,2748,2638,2531,2152,2163,2242,2710,3163,3245,3444,3081,2667,2172,2245,2587,3861,4399,4367,4424,4588,3989,4375,4735,4837,5489,5599,6073,5826,6314,6126,5911,5866,5865,6494,6386,6398,6834,6751,7436,7647,7710,7651,8424,9810,8375,8732,7728,7584,7029,8300,8168,9052,7799,6702,6259,6297,6463,5475,5525,5220,5699,6088,5381,5919,5525,5040,5020,4745,4960,4829,5014,4848,4818,4712,4796,5438,5455,6263,6626,6823,7418,7702,8440,9568,9852,9455,9564,10167,10675,8482,8495,7910,7799,8039,6905,6560,7024,7918,8590,8199,8468,8862,9161,9245,9329,9871,9639,9638,9573,10245,10090,10327,9773,9043,10571,11472,11179,12205,12437,10779,9424,9580,8763,7638,8034,9182,9399,8561,8098,8657,9724,10722,10877,10651,10662,11470,11969,12555,11834,11944,12178,12284,12532,13078,13430,12703,13669,13184,13500,13071,13720,14094,15670
"44","36","    Construction machinery","C269RC0",1192,1396,1396,1400,1330,1139,947,980,990,1031,1123,1076,1020,1145,1172,1207,1286,1460,1603,1787,1784,1855,1869,2040,2245,1885,2252,2370,2483,2382,2510,2553,1955,2272,2305,2616,2315,2566,2547,2620,2960,2786,2866,2840,2836,2781,2988,2915,2954,3066,2980,3012,3563,3823,3746,3864,4701,4633,4589,4593,4677,4828,5653,6890,5392,5314,5202,6004,4933,5169,6109,6317,7641,8071,8105,8515,9390,10642,10576,11956,11775,11571,11674,8302,11220,9135,8337,8681,9608,9439,9668,9953,7546,6342,7275,4704,4330,7148,7889,9677,9040,9576,10901,10327,10686,10048,10166,12666,12093,11701,9191,10226,9496,10180,11223,10879,10688,10119,10582,10871,13180,12749,13755,14601,15168,14265,13623,13165,10973,9347,8877,8459,8152,8986,10047,10478,11676,12019,12188,12977,13175,13349,14445,14972,15584,15513,15914,16328,17200,17648,18410,18990,18493,18815,19923,20883,21053,21353,23717,23292,23196,22434,22696,23346,24380,24670,22073,21793,21903,20103,20219,19396,18523,18879,17993,18089,17421,19299,20862,21278,22846,23057,24960,27382,27327,28984,30646,32011,33242,33141,33098,31554
"45","37","      Construction tractors","BA18RC0",278,341,335,306,276,170,131,147,168,197,235,212,208,201,195,236,214,279,302,333,307,351,389,409,459,380,475,486,532,524,509,583,278,373,336,421,261,461,416,394,646,449,496,473,468,438,511,471,524,517,431,548,601,758,658,651,821,865,912,930,903,1014,1066,1489,1226,1213,1181,1172,985,992,1189,1222,1399,1614,1779,2040,2222,2081,1873,2186,2204,2304,2200,1027,1456,1239,1355,1431,1788,1841,1958,1682,1081,967,961,440,414,961,1154,1662,1424,1489,1447,1572,1549,1244,1304,1385,1577,1519,1131,1389,1284,1608,1890,1742,1375,1152,1371,1531,2131,1985,2306,2193,2298,2061,2064,1870,1432,1337,1326,1264,1096,1000,957,843,1312,1293,1315,1311,1388,1177,1452,1521,1573,1512,1551,1644,1726,1750,1824,1837,2273,2417,2641,2876,2798,2783,3149,2992,2872,2854,3029,3251,3326,3258,3066,3032,3004,2714,2736,2594,2495,2421,2386,2453,2360,2612,2820,2864,2996,3009,3305,3557,3569,3827,4107,4240,4519,4270,4506,4310
