"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249"
"11","3","Less: Income payments to the rest of the world","A655RG3",13.811,14.16,14.532,14.898,15.2,15.458,15.595,15.655,15.69,15.7,15.703,15.738,15.823,15.951,16.147,16.392,16.896,17.057,17.11,16.978,16.843,16.834,16.854,16.883,17.149,17.226,17.253,17.261,17.136,17.101,17.092,17.14,17.285,17.412,17.542,17.698,17.813,17.98,18.133,18.302,18.562,18.679,18.759,18.769,18.644,18.671,18.745,18.857,19.165,19.356,19.447,19.505,19.656,19.653,19.727,19.633,19.588,19.688,19.782,19.858,20.062,20.106,20.165,20.256,20.228,20.23,20.285,20.427,20.489,20.605,20.692,20.811,21.016,21.118,21.254,21.441,21.683,21.901,22.084,22.329,22.418,22.489,22.688,22.966,23.302,23.595,23.902,24.259,24.585,24.963,25.349,25.636,25.935,26.337,26.494,26.759,27.237,27.641,27.961,28.151,28.549,28.794,28.998,29.407,29.699,30.263,30.872,31.69,32.318,32.994,33.944,34.689,35.572,35.964,36.619,37.099,37.415,37.794,38.322,38.947,39.476,40.287,41.025,41.744,42.374,43.509,44.365,45.34,46.211,47.174,48.206,49.166,50.296,51.446,52.597,54.01,55.558,56.452,57.739,58.933,59.749,60.39,61.179,61.801,62.122,62.67,63.175,63.606,64.265,64.787,65.305,65.85,66.516,66.836,66.934,67.772,68.262,68.595,69.328,70.031,70.563,70.802,71.501,72.198,72.829,73.569,74.377,74.97,75.872,76.61,77.044,77.718,78.702,79.831,80.708,81.724,82.604,82.934,83.519,84.221,85.106,85.599,86.261,86.753,87.199,87.677,87.746,88.119,88.708,89.187,90.318,90.778,91.188,91.554,91.935,92.333,92.837,93.095,93.542,94.173,94.794,94.976,95.165,95.543,95.655,95.75,96.056,96.477,96.755,97.282,97.762,98.285,99.337,99.841,100.18,100.642,101.324,102.058,102.305,102.525,102.931,103.556,103.999,104.497,105.531,105.704,106.263,106.724,107.745,108.882,109.623,110.561,111.595,112.485,113.726,114.807,115.559,116.738,117.407,117.473,118.502,119.626,120.197,121.302,122.572,124.018
"12","4","Equals: Gross national product","A001RG3",15.094,15.316,15.573,15.895,16.076,16.259,16.543,16.534,16.493,16.384,16.247,16.251,16.187,16.259,16.587,16.859,17.445,17.54,17.598,17.825,17.837,17.919,18.058,18.124,18.138,18.18,18.242,18.303,18.381,18.415,18.408,18.434,18.508,18.614,18.749,18.876,19.063,19.242,19.461,19.58,19.807,19.946,20.099,20.205,20.381,20.472,20.53,20.564,20.657,20.688,20.747,20.83,20.881,20.972,21.07,21.162,21.186,21.226,21.283,21.338,21.46,21.517,21.574,21.65,21.712,21.734,21.774,21.903,21.98,22.053,22.16,22.262,22.361,22.46,22.559,22.698,22.838,23.052,23.274,23.479,23.592,23.74,23.957,24.222,24.484,24.758,24.997,25.347,25.601,25.944,26.323,26.656,27.028,27.415,27.633,27.986,28.407,28.788,29.076,29.308,29.791,29.967,30.242,30.6,31.006,31.523,32.127,32.685,33.348,34.085,35.137,36.21,37.049,37.595,38.299,38.981,39.42,39.844,40.384,41.076,41.759,42.431,43.017,43.741,44.471,45.331,46.113,47.055,47.91,49.071,50.08,51.065,52.183,53.334,54.543,56.074,57.54,58.555,59.638,60.682,61.538,62.302,63.165,63.839,64.388,64.859,65.52,66,66.816,67.417,67.965,68.366,69.152,69.52,69.864,70.286,70.642,70.979,71.43,71.932,72.492,72.892,73.437,73.935,74.548,75.28,76.161,76.773,77.575,78.334,78.909,79.43,80.39,81.317,82.051,82.694,83.659,84.193,84.769,85.195,85.754,86.203,86.574,87.032,87.726,88.202,88.603,89.039,89.604,89.989,90.524,90.959,91.557,91.9,92.29,92.744,93.312,93.626,94.073,94.463,94.968,95.297,95.549,95.869,96.099,96.288,96.623,96.899,97.276,97.702,98.022,98.476,99.287,99.775,100.245,100.693,101.51,102.286,102.685,103.114,103.543,103.935,104.339,104.919,105.736,106.067,106.607,107.194,108.175,109.178,109.799,110.671,111.769,112.355,113.487,114.533,115.531,116.315,117.109,117.736,118.932,119.529,119.978,120.822,121.601,121.938
"13","5","Less: Consumption of fixed capital","A262RG3",18.165,18.655,19.27,19.719,19.956,20.216,20.546,20.674,20.821,20.718,20.601,20.614,20.548,20.623,20.917,21.441,22.18,22.615,22.992,23.268,23.209,23.306,23.437,23.433,23.444,23.458,23.396,23.389,23.461,23.612,23.675,23.801,23.731,23.83,24.129,24.476,25.067,25.48,25.861,26.2,26.487,26.699,26.866,26.936,26.758,26.82,26.946,27.062,27.189,27.251,27.325,27.366,27.402,27.435,27.445,27.447,27.423,27.41,27.426,27.444,27.511,27.515,27.595,27.684,27.688,27.739,27.76,27.77,27.812,27.854,27.902,27.985,28.102,28.235,28.365,28.495,28.63,28.854,29.124,29.315,29.483,29.681,29.935,30.201,30.532,30.794,31.073,31.444,31.817,32.228,32.572,32.974,33.345,33.769,34.205,34.675,35.189,35.615,35.979,36.34,36.728,37.043,37.425,37.856,38.23,38.765,39.405,40.172,41.397,42.744,44.277,45.752,47.161,48.371,49.485,50.425,50.77,51.38,52.011,52.75,53.937,54.885,55.827,56.902,58.029,59.199,60.416,61.608,62.833,64.259,65.767,67.314,68.947,70.715,72.457,74.265,76.097,77.801,79.362,80.751,81.991,82.95,83.572,83.81,83.559,83.501,83.567,83.585,83.969,84.158,84.316,84.54,84.688,84.917,85.3,85.714,86.224,86.688,87.05,87.354,87.411,87.646,88.033,88.533,89.374,90.011,90.623,91.229,91.656,92.144,92.637,93.134,93.599,94.056,94.544,95.017,95.554,95.852,96.062,96.1,95.79,95.812,95.857,96.089,96.611,96.926,97.213,97.514,97.776,98.149,98.505,98.929,99.422,99.702,99.868,99.978,99.782,99.692,99.655,99.619,99.729,99.716,99.595,99.516,99.178,98.992,98.862,98.778,98.754,98.832,98.952,99.191,99.568,99.881,100.161,100.39,100.452,100.522,100.516,100.478,100.355,100.316,100.313,100.372,100.677,101.02,101.382,101.802,102.297,103.096,104.107,105.368,106.221,107.365,108.585,109.619,110.851,111.915,112.755,113.489,114.12,114.548,114.879,115.095,114.142,113.974
"14","6","        Private","A024RG3",18.346,19.06,19.691,20.22,20.629,20.939,21.156,21.298,21.415,21.463,21.494,21.534,21.547,21.697,21.953,22.334,23.126,23.672,24.138,24.469,24.432,24.517,24.556,24.567,24.563,24.567,24.585,24.626,24.759,24.824,24.883,24.94,24.891,25.024,25.25,25.578,26.185,26.65,27.09,27.472,27.708,27.926,28.073,28.153,28.078,28.111,28.167,28.253,28.444,28.545,28.629,28.693,28.739,28.77,28.781,28.773,28.718,28.696,28.681,28.677,28.711,28.713,28.712,28.71,28.693,28.705,28.729,28.766,28.816,28.872,28.941,29.024,29.133,29.245,29.371,29.511,29.664,29.839,30.028,30.231,30.425,30.653,30.903,31.175,31.493,31.806,32.135,32.481,32.857,33.239,33.625,34.009,34.337,34.721,35.121,35.537,36.031,36.447,36.835,37.194,37.49,37.841,38.2,38.563,38.868,39.359,39.993,40.795,42.003,43.208,44.555,46.011,47.618,49.078,50.364,51.396,51.646,52.287,52.967,53.75,55.014,56.072,57.175,58.318,59.477,60.714,62.002,63.336,64.667,66.103,67.621,69.211,70.935,72.684,74.476,76.287,78.138,79.876,81.487,82.912,84.139,85.032,85.597,85.84,85.474,85.368,85.291,85.295,85.655,85.809,85.985,86.187,86.335,86.657,87.06,87.529,88.206,88.639,88.992,89.27,89.257,89.562,89.982,90.536,91.448,92.151,92.821,93.436,93.865,94.37,94.865,95.355,95.799,96.244,96.684,97.115,97.668,97.974,98.14,98.168,97.822,97.754,97.776,97.912,98.336,98.602,98.872,99.133,99.315,99.603,99.882,100.179,100.619,100.859,100.998,101.024,100.757,100.649,100.553,100.482,100.594,100.515,100.376,100.177,99.812,99.57,99.363,99.209,99.111,99.097,99.166,99.319,99.635,99.886,100.131,100.348,100.367,100.397,100.377,100.318,100.112,100.026,99.978,99.988,100.32,100.674,101.108,101.618,102.113,102.775,103.684,104.803,105.637,106.789,107.971,109.005,110.287,111.194,111.967,112.568,112.995,113.285,113.456,113.515,112.213,111.821
"15","7","        Government","A264RG3",16.508,16.683,17.227,17.527,17.486,17.646,18.134,18.231,18.446,18.076,17.685,17.64,17.399,17.305,17.661,18.483,19.078,19.24,19.402,19.543,19.438,19.561,19.886,19.847,19.889,19.92,19.694,19.585,19.53,19.851,19.92,20.181,20.071,20.094,20.532,20.901,21.428,21.71,21.948,22.178,22.557,22.745,22.95,22.995,22.596,22.72,22.998,23.174,23.152,23.124,23.172,23.163,23.177,23.212,23.217,23.24,23.286,23.294,23.376,23.443,23.579,23.586,23.835,24.116,24.165,24.299,24.311,24.263,24.285,24.294,24.294,24.375,24.503,24.676,24.812,24.913,24.996,25.324,25.771,25.93,26.027,26.147,26.402,26.64,26.987,27.117,27.269,27.688,28.038,28.506,28.729,29.158,29.628,30.142,30.657,31.252,31.803,32.246,32.536,32.895,33.527,33.726,34.168,34.786,35.367,36.027,36.671,37.31,38.555,40.335,42.456,43.966,44.689,45.036,45.551,46.167,46.817,47.306,47.76,48.336,49.234,49.779,50.13,50.948,51.942,52.844,53.782,54.422,55.233,56.602,58.064,59.432,60.695,62.523,64.061,65.842,67.587,69.147,70.507,71.744,73.025,74.237,75.078,75.297,75.506,75.637,76.268,76.342,76.817,77.143,77.234,77.544,77.698,77.549,77.845,78.041,77.899,78.484,78.877,79.281,79.603,79.568,79.823,80.112,80.678,81.066,81.452,82.019,82.432,82.855,83.334,83.85,84.389,84.891,85.552,86.178,86.645,86.912,87.281,87.359,87.192,87.546,87.679,88.268,89.152,89.651,89.999,90.443,91.01,91.712,92.362,93.283,93.993,94.436,94.713,95.162,95.257,95.245,95.458,95.572,95.673,95.945,95.905,96.36,96.144,96.22,96.437,96.686,97.005,97.527,97.893,98.551,99.23,99.856,100.309,100.605,100.887,101.166,101.237,101.307,101.621,101.824,102.053,102.369,102.544,102.825,102.811,102.758,103.258,104.763,106.314,108.332,109.272,110.378,111.851,112.951,113.882,115.758,116.932,118.359,120.114,121.257,122.423,123.471,124.403,125.463
"16","8","          General government","A265RG3",16.961,17.179,17.724,18.021,17.958,18.102,18.584,18.68,18.925,18.531,18.121,18.083,17.833,17.732,18.078,18.936,19.547,19.692,19.857,20.007,19.89,20.02,20.353,20.28,20.343,20.371,20.099,19.992,19.946,20.296,20.36,20.643,20.534,20.548,20.996,21.382,21.92,22.199,22.431,22.673,23.08,23.255,23.467,23.525,23.105,23.226,23.516,23.699,23.697,23.687,23.738,23.731,23.746,23.782,23.786,23.806,23.864,23.875,23.962,24.028,24.173,24.169,24.447,24.752,24.808,24.948,24.953,24.89,24.917,24.918,24.92,25.003,25.125,25.308,25.445,25.551,25.623,25.955,26.44,26.602,26.688,26.813,27.075,27.321,27.674,27.8,27.947,28.366,28.721,29.199,29.413,29.835,30.32,30.841,31.37,31.986,32.55,32.973,33.241,33.567,34.222,34.408,34.864,35.51,36.092,36.765,37.419,38.066,39.328,41.114,43.198,44.696,45.333,45.628,46.146,46.765,47.455,47.929,48.405,48.991,49.949,50.489,50.73,51.597,52.655,53.509,54.412,55.001,55.787,57.159,58.6,59.935,61.175,63.072,64.565,66.388,68.211,69.829,71.188,72.559,74.009,75.244,76.058,76.288,76.489,76.617,77.317,77.412,77.916,78.19,78.217,78.532,78.623,78.433,78.779,78.938,78.705,79.275,79.667,80.031,80.397,80.285,80.487,80.782,81.355,81.662,81.992,82.547,82.972,83.331,83.757,84.302,84.875,85.311,85.952,86.68,87.202,87.464,87.826,87.947,87.774,88.094,88.171,88.766,89.662,90.123,90.544,90.947,91.444,92.185,92.871,93.88,94.578,94.987,95.2,95.605,95.706,95.677,95.882,95.97,96.073,96.296,96.209,96.652,96.347,96.44,96.648,96.858,97.168,97.707,98.068,98.669,99.315,99.865,100.292,100.528,100.811,101.093,101.137,101.135,101.369,101.492,101.674,101.998,102.197,102.48,102.41,102.231,102.732,104.182,105.605,107.537,108.411,109.449,110.898,112.02,112.99,114.777,115.94,117.299,119.037,120.137,121.268,122.286,123.312,124.385
"17","9","          Government enterprises","A266RG3",13.217,12.582,13.285,13.752,14.108,14.573,15.281,15.421,15.22,15.116,14.92,14.771,14.603,14.584,15.111,15.608,16.102,16.488,16.634,16.674,16.705,16.758,17.035,17.388,17.18,17.253,17.564,17.409,17.237,17.255,17.387,17.408,17.283,17.42,17.801,18.007,18.475,18.836,19.186,19.299,19.401,19.755,19.906,19.82,19.607,19.775,19.948,20.071,19.829,19.603,19.62,19.587,19.593,19.626,19.645,19.702,19.621,19.593,19.636,19.716,19.777,19.891,19.876,19.944,19.928,20.013,20.1,20.191,20.167,20.262,20.237,20.3,20.497,20.587,20.727,20.792,20.975,21.29,21.422,21.57,21.77,21.85,22.052,22.24,22.558,22.735,22.932,23.38,23.711,24.112,24.432,24.932,25.301,25.774,26.21,26.659,27.131,27.754,28.226,28.84,29.317,29.616,29.967,30.394,30.981,31.563,32.154,32.749,33.905,35.664,38.052,39.65,40.919,41.595,42.098,42.691,43.1,43.681,44.005,44.522,45.06,45.636,46.651,47.18,47.792,48.979,50.126,51.065,52.02,53.373,54.96,56.511,57.908,59.34,61.131,62.673,63.973,65.202,66.568,67.052,67.386,68.466,69.462,69.616,69.863,70.012,70.259,70.217,70.532,71.145,71.59,71.878,72.389,72.475,72.481,72.889,73.266,73.947,74.339,74.982,75.047,75.461,76.035,76.286,76.811,77.679,78.41,79.051,79.387,80.201,80.999,81.339,81.675,82.579,83.361,83.368,83.503,83.8,84.215,84.033,83.903,84.465,84.934,85.488,86.301,87.03,86.941,87.63,88.605,89.084,89.521,89.936,90.714,91.357,92.002,92.707,92.766,92.85,93.108,93.372,93.461,94.013,94.232,94.76,95.034,95.01,95.283,95.746,96.119,96.545,96.935,97.907,98.768,99.806,100.4,101.027,101.302,101.562,101.776,102.202,102.955,103.596,104.081,104.355,104.395,104.67,104.954,105.574,106.083,107.871,110.101,112.564,113.828,115.28,116.855,117.851,118.572,120.922,122.158,123.943,125.788,127.159,128.517,129.721,130.151,131.143
"18","10","Equals: Net national product","A027RG3",14.703,14.898,15.119,15.427,15.602,15.776,16.055,16.033,15.975,15.866,15.729,15.732,15.669,15.74,16.068,16.316,16.884,16.949,16.981,17.201,17.22,17.299,17.438,17.509,17.523,17.566,17.638,17.704,17.782,17.807,17.793,17.81,17.896,18.001,18.122,18.229,18.38,18.537,18.74,18.839,19.059,19.191,19.341,19.45,19.655,19.748,19.8,19.827,19.916,19.944,20,20.086,20.138,20.234,20.338,20.437,20.465,20.51,20.57,20.627,20.753,20.814,20.869,20.943,21.009,21.028,21.07,21.208,21.287,21.362,21.473,21.575,21.672,21.767,21.862,22.001,22.14,22.351,22.567,22.77,22.878,23.02,23.232,23.495,23.749,24.021,24.255,24.599,24.841,25.176,25.554,25.878,26.248,26.629,26.825,27.165,27.574,27.948,28.227,28.445,28.933,29.095,29.358,29.706,30.112,30.624,31.22,31.754,32.362,33.038,34.038,35.066,35.846,36.324,36.984,37.637,38.082,38.487,39.014,39.697,40.328,40.969,41.518,42.204,42.892,43.716,44.452,45.364,46.179,47.307,48.262,49.187,50.248,51.332,52.481,53.976,55.398,56.34,57.369,58.374,59.186,59.926,60.812,61.531,62.166,62.692,63.416,63.943,64.802,65.445,66.033,66.452,67.303,67.686,68.025,68.447,68.785,69.107,69.566,70.089,70.702,71.119,71.68,72.176,72.764,73.504,74.412,75.024,75.864,76.652,77.235,77.757,78.77,79.748,80.508,81.17,82.182,82.743,83.363,83.835,84.498,84.996,85.405,85.89,86.604,87.099,87.513,87.965,88.566,88.951,89.507,89.945,90.555,90.905,91.322,91.818,92.481,92.844,93.351,93.793,94.348,94.72,95.018,95.39,95.692,95.93,96.324,96.648,97.077,97.549,97.896,98.379,99.248,99.761,100.256,100.735,101.658,102.536,102.996,103.495,104.003,104.458,104.922,105.578,106.47,106.799,107.365,107.977,109.031,110.065,110.626,111.437,112.568,113.071,114.191,115.247,116.205,116.944,117.728,118.338,119.621,120.242,120.708,121.644,122.685,123.099
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",14.724,14.916,15.135,15.443,15.617,15.793,16.074,16.053,15.995,15.886,15.748,15.751,15.687,15.758,16.087,16.337,16.907,16.972,17.002,17.223,17.242,17.322,17.462,17.533,17.546,17.589,17.661,17.727,17.806,17.83,17.815,17.832,17.917,18.022,18.142,18.249,18.401,18.558,18.762,18.861,19.082,19.213,19.364,19.472,19.679,19.771,19.822,19.849,19.937,19.965,20.021,20.107,20.158,20.254,20.359,20.459,20.487,20.531,20.59,20.647,20.773,20.834,20.888,20.962,21.028,21.046,21.088,21.226,21.306,21.38,21.491,21.594,21.689,21.784,21.879,22.018,22.156,22.368,22.584,22.787,22.895,23.038,23.25,23.513,23.766,24.038,24.272,24.618,24.86,25.195,25.574,25.898,26.268,26.648,26.845,27.185,27.593,27.967,28.245,28.464,28.954,29.114,29.377,29.724,30.128,30.639,31.236,31.769,32.382,33.06,34.061,35.092,35.869,36.346,37.004,37.655,38.099,38.502,39.028,39.711,40.343,40.983,41.529,42.217,42.906,43.727,44.463,45.374,46.188,47.318,48.273,49.199,50.263,51.348,52.499,53.996,55.413,56.354,57.379,58.382,59.197,59.94,60.826,61.546,62.179,62.703,63.427,63.953,64.815,65.459,66.05,66.47,67.325,67.701,68.029,68.453,68.796,69.123,69.585,70.111,70.718,71.124,71.686,72.183,72.773,73.512,74.422,75.029,75.87,76.652,77.231,77.752,78.761,79.75,80.504,81.157,82.18,82.738,83.36,83.835,84.505,85,85.415,85.897,86.603,87.096,87.503,87.949,88.555,88.937,89.505,89.938,90.547,90.891,91.308,91.803,92.466,92.828,93.337,93.782,94.34,94.711,95.007,95.382,95.688,95.923,96.32,96.649,97.075,97.547,97.895,98.378,99.255,99.766,100.252,100.728,101.656,102.542,103.002,103.506,104.017,104.471,104.934,105.589,106.48,106.812,107.379,107.991,109.041,110.077,110.638,111.446,112.581,113.077,114.194,115.253,116.213,116.949,117.73,118.347,119.627,120.247,120.717,121.653,122.706,123.122
