"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"44","37","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","  Exports","B020RG3",17.011,15.401,12.118,10.51,10.509,12.186,12.496,12.917,13.775,13.139,12.962,14.059,15.35,18.547,20.288,22.851,22.663,21.904,25.434,26.79,25.192,24.532,27.718,27.886,27.808,27.43,27.665,28.59,29.674,29.373,29.433,29.846,30.3,30.375,30.307,30.556,31.529,32.481,33.725,34.461,35.627,36.993,38.358,40.146,45.425,55.965,61.682,63.707,66.302,70.342,78.808,86.801,93.217,93.645,94.015,94.887,91.983,90.639,92.874,97.687,99.31,99.982,101.313,100.892,100.898,102.033,104.376,102.988,101.232,98.905,98.313,100,99.624,99.273,101.429,104.997,108.814,112.618,116.586
"46","39","    Goods","B253RG3",20.374,18.226,13.989,12.061,12.619,14.761,15.123,15.487,16.414,15.186,14.852,15.927,17.069,20.782,22.912,26.238,26.136,24.803,29.512,31.413,29.103,28.137,32.257,32.115,31.789,31.337,31.633,32.834,33.902,33.531,33.857,34.084,34.732,34.461,34.35,34.583,35.787,37.009,38.56,39.157,40.373,42.194,43.321,44.472,51.617,65.323,72.603,74.46,77.171,81.62,92.396,101.28,108.429,107.188,106.407,107.331,101.962,98.62,101.17,107.685,109.078,108.03,107.907,106.185,105.592,106.718,109.249,106.409,103.495,100.222,98.867,100,99.315,98.661,100.64,104.323,107.536,111.131,115.062
"47","40","    Services","B646RG3",8.719,8.721,8.121,7.289,5.527,6.028,6.22,6.827,7.558,8.586,8.888,10.243,12.282,14.435,15.439,16.628,16.242,16.891,17.165,16.979,17.353,17.524,18.445,19.499,20.08,19.863,19.955,20.216,21.485,21.339,20.839,21.569,21.643,22.389,22.403,22.689,23.204,23.633,24.289,25.257,26.309,26.814,28.575,31.471,32.937,36.742,39.21,41.578,43.92,47.102,50.767,57.017,61.972,65.73,68.305,69.058,70.941,73.339,74.937,76.445,78.495,82.541,86.694,88.864,90.07,91.213,93.143,94.952,95.856,95.771,96.969,100,100.393,100.762,103.333,106.632,111.855,116.156,120.211
"48","41","  Imports","B021RG3",12.541,10.693,8.642,6.927,6.639,7.542,7.667,8.203,9.155,8.46,8.88,9.472,10.004,11.458,12.334,12.956,13.32,14.851,17.792,19.336,18.429,19.575,23.659,22.802,21.823,22.121,22.002,22.39,22.645,21.704,21.901,22.11,22.11,21.849,22.273,22.743,23.059,23.596,23.688,24.048,24.675,26.135,27.739,29.682,34.841,49.847,53.997,55.622,60.523,64.798,75.879,94.513,99.594,96.235,92.629,91.829,88.813,88.871,94.251,98.774,100.944,103.826,103.42,103.552,102.671,103.634,106.412,104.529,100.816,95.353,95.96,100,97.497,96.341,99.685,104.526,111.154,115.932,120.168
"49","42","    Goods","B255RG3",12.606,10.401,8.134,6.375,6.379,7.283,7.402,7.945,8.878,7.958,8.102,8.649,9.276,10.745,11.651,12.443,12.747,14.36,17.634,19.473,18.434,19.94,25.033,23.799,22.779,23.268,23.205,23.661,23.872,22.625,22.789,23.032,22.812,22.268,22.473,23.079,23.193,23.716,23.75,24.068,24.747,26.428,27.783,29.912,35.256,52.758,57.177,58.706,64.084,68.358,80.607,101.713,107.376,103.039,98.732,98.052,94.194,92.084,98.651,103.35,106.267,108.183,106.701,106.204,104.946,105.759,108.573,105.866,101.465,95.332,95.456,100,96.998,95.288,98.063,102.915,109.568,114.171,118.326
"50","43","    Services","B656RG3",11.865,11.359,10.086,8.548,7.235,8.072,8.215,8.664,9.62,9.929,11.514,12.251,12.248,13.692,14.598,15.027,15.511,16.943,18.928,19.597,19.054,19.092,20.219,20.262,19.389,19.336,19.129,19.388,19.707,19.299,19.539,19.682,20.06,20.323,21.158,21.337,22.081,22.635,22.855,23.301,23.775,24.624,26.853,28.191,32.609,38.78,41.923,43.818,46.933,51.196,57.816,67.098,70.011,70.062,68.914,67.731,67.649,75.247,76.323,80.106,79.659,85.676,88.876,91.26,91.873,93.456,96.058,98.045,97.687,95.551,98.631,100,100.128,101.878,108.291,113.049,119.496,125.257,129.928
"51","44","Government consumption expenditures and gross investment","B822RG3",7.754,7.515,7.137,6.497,6.703,7.212,7.273,7.492,7.65,7.667,7.544,7.457,7.916,7.954,8.083,7.978,8.071,9.993,10.796,11.215,11.532,11.539,12.304,12.552,12.685,12.956,13.498,14.26,14.89,15.34,15.404,15.597,15.909,16.314,16.669,17.132,17.588,18.33,19.099,20.128,21.341,23.079,24.875,26.788,28.743,31.646,34.824,37.118,39.694,42.235,45.775,50.761,55.752,59.414,61.778,64.955,66.97,68.175,70.056,71.899,74.139,77.139,79.787,81.719,83.789,86.002,88.358,90.491,92.139,93.469,96.079,100,102.544,105.507,109.849,114.754,121.47,127.239,132.941
"52","45","  Federal","B823RG3",8.388,8.016,7.952,7.572,7.654,8.18,8.275,9.04,9.187,9.342,9.168,8.806,9.267,9.09,9.175,9.014,9.1,11.608,12.319,12.206,12.719,12.645,13.196,13.326,13.42,13.736,14.48,15.23,15.914,16.569,16.45,16.59,16.871,17.228,17.597,18.191,18.658,19.33,19.913,20.995,22.13,23.915,25.957,28.495,30.449,33.162,36.615,39.217,42.18,44.785,48.231,53.299,58.476,62.446,64.612,68.426,69.974,70.352,71.2,72.704,74.677,77.142,80.232,82.602,84.788,87.061,89.503,91.982,93.533,94.511,96.884,100,101.907,105.631,110.094,115.322,120.834,125.806,130.076
"53","46","    National defense","B824RG3",8.57,8.275,8.163,7.993,7.813,8.232,8.476,8.682,8.969,9.001,8.943,8.502,9.076,8.88,8.969,8.823,8.884,11.392,12.219,12.156,12.559,12.547,13.061,13.114,13.172,13.53,14.287,15.102,15.786,16.389,16.257,16.383,16.619,16.94,17.32,17.822,18.314,18.95,19.518,20.539,21.664,23.321,25.387,28.319,30.396,33.217,36.46,39.117,42.079,45.035,48.628,53.908,59.229,63.392,65.617,70.29,71.621,71.554,72.281,73.631,75.528,78.01,80.821,83.628,85.313,87.412,89.598,92.379,93.716,94.643,96.886,100,102.002,105.792,110.751,115.932,121.944,127.381,131.874
"54","47","      Consumption expenditures","B997RG3",7.334,7.099,7.052,6.954,6.786,7.095,7.305,7.495,7.598,7.636,7.597,7.032,7.343,7.123,7.204,7.359,7.718,10.175,10.86,10.745,11.118,11.065,11.406,11.408,11.57,11.95,12.714,13.338,13.91,14.529,14.32,14.468,14.69,15.002,15.4,15.961,16.488,17.131,17.687,18.694,19.721,21.241,23.186,25.471,27.437,30.17,33.271,35.685,38.407,41.109,44.596,49.814,54.883,58.768,60.928,65.957,67.782,68.449,69.868,71.512,73.486,76.101,79.079,82.232,83.792,85.783,87.919,91.05,92.856,94.038,96.396,100,102.495,107.018,112.731,118.48,125.176,131.213,136.22
"55","48","      Gross investment","B788RG3",16.392,15.103,13.698,12.374,12.344,13.757,14.171,14.374,15.833,15.819,15.653,15.99,17.636,17.405,17.534,16.327,15.101,16.871,19.597,20.789,21.281,21.782,23.755,24.137,23.581,23.832,24.543,26.683,28.14,28.516,28.962,28.951,29.288,29.672,29.919,29.901,29.987,30.393,30.919,31.728,33.44,35.861,38.15,50.819,52.721,54.731,58.071,62.512,67.029,71.705,75.388,79.98,86.475,92.335,94.827,96.543,94.707,90.456,87.439,87.18,88.662,90.454,92.36,93.191,95.646,98.449,100.972,101.472,99.599,98.703,100.16,100,98.763,97.835,98.033,99.711,101.656,103.657,105.255
"56","49","    Nondefense","B825RG3",8.398,7.936,7.918,7.332,7.609,8.189,8.227,9.192,9.292,9.491,9.277,8.941,9.213,9.479,9.226,8.649,9.651,11.784,12.107,11.821,12.616,12.358,13.016,13.699,14.055,14.065,14.668,14.96,15.589,16.549,16.591,16.798,17.296,17.808,18.116,19.036,19.408,20.19,20.815,22.116,23.251,25.478,27.4,28.78,30.394,32.819,36.746,39.209,42.152,43.983,47.099,51.683,56.516,60.02,62.038,63.577,65.74,67.395,68.616,70.609,72.826,75.26,79.1,80.411,83.728,86.375,89.351,91.216,93.192,94.268,96.88,100,101.739,105.345,108.898,114.218,118.744,122.803,126.636
"57","50","      Consumption expenditures","B542RG3",6.819,6.419,6.579,6.339,6.424,6.814,6.768,7.829,7.884,8.108,7.903,7.513,7.603,7.679,7.656,6.854,8.213,10.522,10.748,10.307,11.114,10.888,11.391,11.982,12.35,12.423,13.045,13.238,13.744,14.798,14.771,14.959,15.498,15.979,16.236,17.095,17.644,18.448,18.952,20.197,21.26,23.299,25.099,26.392,27.895,30.018,33.59,35.978,38.863,40.607,43.471,47.792,52.32,55.629,57.801,59.464,61.781,63.519,64.761,66.735,68.952,71.426,75.603,77.238,80.939,83.831,86.998,89.312,91.861,93.393,96.493,100,101.986,106.342,110.509,116.53,121.462,125.964,130.378
"58","51","      Gross investment","B798RG3",20.285,19.451,17.886,15.168,16.437,18.184,18.568,19.355,19.816,19.757,19.534,19.971,21.462,22.777,20.989,22.826,20.98,21.123,21.645,22.959,23.382,22.79,24.483,25.824,26.046,25.343,25.226,26.599,28.229,28.155,28.929,29.255,29.389,30.098,30.761,32.103,31.422,32.165,33.578,35.211,36.778,40.28,42.888,44.744,47.017,51.821,58.221,60.761,63.56,65.863,70.635,76.735,83.392,87.994,88.389,88.829,89.693,90.612,91.633,93.679,95.794,97.848,99.366,98.649,99.639,100.707,102.405,101.632,100.298,98.848,98.965,100,100.272,99.364,99.211,100.268,102.368,103.916,104.556
"59","52","  State and local","B829RG3",5.857,5.694,5.354,4.819,5.003,5.399,5.437,5.413,5.547,5.504,5.425,5.474,5.842,6.456,6.935,7.203,7.442,8.132,9.115,10.191,10.277,10.371,11.435,11.927,12.159,12.36,12.601,13.408,13.987,14.174,14.475,14.738,15.093,15.564,15.911,16.234,16.685,17.507,18.488,19.475,20.78,22.488,24.087,25.524,27.477,30.5,33.481,35.563,37.872,40.359,43.944,48.858,53.709,57.14,59.666,62.336,64.739,66.624,69.361,71.485,73.94,77.357,79.681,81.3,83.294,85.472,87.778,89.709,91.414,92.934,95.667,100,102.868,105.435,109.712,114.431,121.862,128.109,134.671
"60","53","    Consumption expenditures","B991RG3",5.061,5.01,4.83,4.536,4.574,4.828,4.927,4.736,4.862,4.819,4.779,4.849,5.099,5.546,5.961,6.229,6.459,7.059,7.839,8.769,8.921,9.154,9.923,10.421,10.74,11.134,11.426,11.989,12.542,12.893,13.301,13.727,14.182,14.701,15.077,15.441,15.885,16.732,17.843,18.847,20.108,21.748,23.261,24.688,26.568,28.989,31.727,34.017,36.435,38.869,42.27,46.913,51.454,54.745,57.546,60.611,63.253,65.09,67.868,70.01,72.588,76.249,78.82,80.723,82.773,84.963,87.175,89.165,90.895,92.489,95.403,100,103.034,105.774,110.726,115.403,122.562,128.485,134.517
"61","54","    Gross investment","B799RG3",8.767,8.243,7.389,6.006,6.859,7.984,7.684,8.311,8.487,8.435,8.231,8.219,9.097,10.618,11.349,11.12,11.056,12.093,14.153,15.798,15.542,15.033,17.27,17.73,17.622,17.15,17.242,18.897,19.599,19.273,19.259,19.008,19.052,19.398,19.678,19.895,20.401,21.21,21.87,22.876,24.418,26.471,28.487,30.019,32.356,38.267,42.476,43.485,45.173,47.913,52.438,58.727,65.172,69.305,70.105,70.477,71.59,73.698,76.2,78.217,80.053,82.31,83.487,83.783,85.51,87.626,90.366,92.021,93.616,94.813,96.763,100,102.199,104.081,105.711,110.597,119.114,126.675,135.383
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
