"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","    Motor vehicles and parts","A165RV1",-3.7,-6.7,-6.2,-6.3,4.7,-1.5,0.5,2.5,4,-2.3,0.2,8.7,28.1,5.3,7.4,1.6,25.1,9.9,7.7,3.5,0.3,5.1,4.1,-1.9,-3.4,1.1,4.5,6.3,3.8,5,-1.8,0.5,1.6,0.8,0.8,-0.8,-0.6,1.4,3.4,2.1,2.8,5.2,0.4,0.6,6.4,9.9,7.5,5.9,6.9,7.5,7.5,7.7,4.7,3,2.9,2.3,2.6,4.4,1.6,2.9,0.4,2.8,1.9,3.8,4.5,3.9,1.9,0.3,-1,0.4,0.4,0.5,-0.4,-2.4,-0.8,1.7,0.6,-0.5
"12","5","    Furniture and household equipment","A166RV1",-8.6,-14.7,-15.4,-1.2,7.8,0.4,0.6,6.3,-1.5,-0.9,0.9,6.5,15.2,12.5,14.3,7.8,0.1,8.1,4.4,-0.7,1.4,8.2,-1.8,-0.3,-1.2,-1.5,0.7,2.1,0.2,-0.8,0.6,-0.2,-0.8,-0.3,-0.2,-1.2,-0.3,1.5,3,2.8,1.8,1.7,1.3,1.8,6.4,8.3,3.6,2.8,4.4,5.4,6.7,6.1,3.6,0.4,-0.3,-0.7,-1.2,0.2,-0.1,-0.5,-0.6,-1,-1.4,-2,-0.7,-3.1,-4.8,-5.7,-5.8,-6.2,-4.5,-5.9,-5.7,-6,-4.1,-3.8,-4.6,-4.6
"13","6","    Other","A167RV1",-1.3,-2.3,-6.3,-3,-1.2,-1.7,1.1,0.3,-1.3,1.2,3.1,5.7,11.9,1.8,9.6,2.5,0.2,7.6,1.5,1.3,-1.7,6.2,1.3,0.9,-1.5,-1.2,1.3,1.9,1.8,-0.5,0.9,0.6,0.6,0.9,1.6,-0.4,-0.2,2.3,3.6,4.7,1.6,4.3,2.6,3.1,5.9,9.1,5.2,3.9,5.5,7.2,14.4,5.9,2.7,2.7,1.6,1.6,1.6,4.3,4.3,3.3,4.6,3.2,1.9,0.6,1.4,0.6,-0.3,-1,-0.7,-1.6,-0.8,0.3,-0.8,-1.6,0.1,-0.4,0.8,1
"14","7","  Nondurable goods","A004RV1",-5.3,-14.5,-14.5,-0.6,10.5,3.7,0.3,3.5,-4.9,-1.7,0.9,8.5,16.4,11.7,5.6,4.3,9.1,12.9,5.9,-3.3,0.4,8.3,1.1,-0.5,0.3,-0.6,1.4,2.9,2.4,0.6,1.4,0.6,0.8,1.2,1.3,1.8,3.3,2.4,3.8,4.6,4.9,3.1,3.3,7.9,14.4,7.8,3.9,5.9,6.7,10.5,11.6,7.7,2.8,2.1,2.4,2.2,-0.4,3.4,3.4,4.8,5.5,3,1.5,1,0.7,1.1,2.1,1.4,0,2.5,4,1.5,0.5,2,3.3,3.7,3,3
"15","8","    Food","A168RV1",-6.4,-18.4,-17.8,-0.1,11.8,7.8,0.1,3.1,-7.1,-1.2,0.7,10.1,18.7,14.1,3,3.1,11.3,14.7,4.9,-3.8,0.8,9.6,2.3,-1.7,0.2,-1.5,0.8,3.1,3.8,0,1.3,0.9,1.2,1.4,1.9,2,4.2,1.6,3.7,4.9,6.1,3.1,4.5,10.9,14.2,7.9,3.3,6.3,9.1,10,8.7,7.6,3.5,2.1,3.3,2,2.9,3.3,3.4,5,4.8,3.4,1.2,1.5,1.7,2.2,2.8,2.3,1.8,1.9,2.3,2.9,2,1.9,3.1,2.2,2.3,3.8
"16","9","    Clothing and shoes","A169RV1",-4.5,-12.6,-17.9,2,16,-1.8,0.1,5.3,-2.5,-2.3,1.1,9.8,19.8,11.7,13.1,8.7,8.1,7.8,6.1,-4.3,-0.8,8.7,-1.7,-0.2,0.2,-0.3,1.9,1.5,0.4,0.8,1.3,0.6,0.3,1,0.7,1.1,2.8,4.3,5.6,5.8,4.1,3.2,2.2,3.6,7.1,3.8,3.3,4.1,2,2,3.6,2.9,1.2,1.1,0.4,2,-0.7,3.2,3.3,1.4,3.3,1.9,0.7,-0.5,-1.7,-2.4,-1.4,0.1,-1.9,-1.6,-1.3,-2,-2.7,-2.5,-0.4,-1,-0.4,-0.8
"17","10","    Gasoline, fuel oil, and other energy goods","A173RV1",-3.3,-11.1,-2.4,-2.1,5.5,-0.8,2.7,2,-1.8,-3.4,0.1,4.6,5.9,3.5,2.1,-0.1,4,12.4,13.9,1.5,1.1,2.8,1.8,3.8,1.6,1.1,3.1,4.6,-1.1,1.4,1.9,-0.2,0.6,0.2,-0.7,3.4,2.3,3.3,1.8,3.1,1.5,1.7,1.2,10.4,39,7.2,4.7,7.1,4.5,34,38.9,12.7,-4.5,-3.6,-1,0.3,-21.2,3.4,0.8,8.7,14.4,-1.5,-0.7,-0.9,0.3,1.4,6.6,0.1,-12.6,8.2,28.6,-3.3,-6.4,16.6,17.6,22.4,12.6,8.3
"18","11","    Other","A172RV1",-3.6,-4.9,-5.7,-4.8,2.6,-0.3,-0.5,3.6,-1.8,-1.1,1.9,3.3,10,6.9,6.3,3.6,4.5,14,5.6,-2.6,0.4,6.6,0,1.4,0.1,1,1.7,3.1,2.3,1.6,1.5,0.2,0.2,1.2,1,1.2,1.9,2.3,3.7,3.7,4.4,3.6,2.4,2.6,9.5,11.7,5.5,5.9,5.7,6.5,8.9,8.3,8,7,3.6,3.9,4,4,4.4,5.3,5,5,3.7,1.6,0.6,1.4,1.5,0.9,2.2,4.4,2.6,2.8,2.2,0.1,0.9,1.5,1.9,1.1
"19","12","  Services","A005RV1",-2.5,-6.4,-9.2,-6.7,-2.1,1.4,2,3.7,0.9,0.1,0.7,2.6,5.2,5,4.6,3.3,4.7,6.1,5.6,2.8,2.8,4.5,4,5,3,2.3,2.7,2.9,2.6,2.7,2.6,1.8,1.8,1.4,1.9,1.9,2.7,3,4.2,5.1,5.3,5.5,4.3,4.6,8.1,8.5,7,7.6,7.7,8,10.5,10.4,8.1,6.5,5.4,4.6,4.6,3.6,5,4.8,4.9,4.4,4.1,3.3,2.9,3,2.9,2.7,2.2,2.2,2.7,3.3,2.7,3.2,3.2,3.3,3.5,3.3
"20","13","    Housing","A174RV1",-2.8,-5.7,-10.4,-10.3,-8.7,0.4,2.3,4.7,3.1,0,0.3,1.7,2.6,0.7,0.9,1.2,2.3,3.8,6.2,3.3,3.4,4.4,4.3,5.1,3,1.5,1.7,1.9,2,1.7,1.6,1.4,1.2,1.2,1,1,1.5,2,2.5,3.4,4.4,4.6,3.6,4.3,3.9,6.5,6.6,8.4,7.1,7.9,9.3,10.2,8.3,6,5.3,6,5.8,4.6,4.5,4.2,4.7,3.2,2.7,2.7,2.8,3.1,3.1,2.9,3.2,2.8,3.2,3.9,3.8,2.5,2.5,2.6,3.6,3.7
"21","14","    Household operation","A186RV1",-4,-6.1,-6.1,-3.4,0.1,0.6,0.4,2.7,-2.1,0.4,0.9,2.4,6.4,9.8,8.4,5.2,2,2.9,3.3,2,2.3,2.9,4.2,3.3,1.1,1.5,1.5,2.3,3.2,2.9,3.3,1,0.8,1.1,1,0.8,1,1.7,3,3.2,4.1,6.9,5,4.7,10.6,9.5,8.9,7.1,5.9,6.7,10.6,12.5,11.5,6.8,5.1,3.1,1.5,-0.5,1.5,2.4,1.8,3.6,2.2,2.6,1.8,1.2,1.9,1.7,-0.9,-0.1,1.9,4.6,-0.9,3.8,2.1,5.1,5.2,2.7
"22","15","      Electricity and gas","A175RV1",-2.7,-2.9,-2.7,-1.5,-1.9,-1.9,-2.1,-1.7,-0.3,-0.6,-0.9,-0.8,-0.5,-0.5,-0.3,-0.8,-3.2,-0.4,1.9,2.1,0.2,0.4,1.3,1.9,1,2.3,0.8,0.9,3,2.1,3.3,0.9,0,-0.2,0,-0.2,0.2,0.4,0.9,2,4.1,6.8,4.9,5.7,16.3,15,9.8,10.4,7.2,10.3,17.1,14.6,13,7.9,4.4,2.2,-0.7,-1.5,0.8,2.8,1.7,3.1,1.9,3.1,0.5,0.2,2.3,2.3,-3.3,-0.4,5.7,11.2,-5.3,7.7,3.7,10.3,8.9,2.4
"23","16","      Other household operation","A176RV1",-4.6,-7.7,-8,-4.7,1.5,2.1,1.8,5.2,-3,1,2,4.4,10.2,15.2,12.6,7.8,4.3,4.4,3.9,1.9,3.4,4.3,5.9,4.1,1.2,1,2,3.2,3.3,3.5,3.3,1,1.3,2,1.7,1.5,1.5,2.6,4.5,4.1,4.2,7,5.1,4,6.7,5.4,8,4.4,4.7,3.5,4.6,10.4,9.9,5.6,6,4.2,3.6,0.5,2,2.1,1.9,4.1,2.5,2.2,2.7,1.9,1.7,1.4,0.7,0.1,-0.2,0.9,1.9,1.5,1,1.8,2.6,2.9
"24","17","    Transportation","A177RV1",-0.8,-4.7,-7.1,-5.1,1.9,2,-0.6,-0.4,0.7,0.5,-1.6,1.8,6.2,1.8,-0.6,1.1,3.6,7.2,7.8,7.4,3.9,7.1,4.9,5.3,2.8,1.8,2.2,3.6,3.6,3.1,2.4,2.8,1.9,0.6,1.5,2.4,2.6,3.8,4.3,6.4,8.2,7.8,3.8,3.9,7.1,10.1,8.9,6.9,6.3,8.9,14.6,11,5.1,4.4,4.9,2.8,2.3,4.6,5.1,5,4.1,3.3,4.1,5.1,2.3,2.7,2.1,2,2.2,2.2,2.5,1.7,1.2,2.9,2.2,4,3.1,2.7
"25","18","    Medical care","A494RV1",0.4,-8.1,-12.1,-0.7,4.8,5.6,2.7,3.1,2,-0.5,2.8,2.1,6.9,7.5,5.9,5.3,8.2,8.6,4.5,-0.8,1,1.7,5.7,6,4.2,2.4,1.9,4.3,3.6,2.9,3.8,2.8,2.7,2.2,3.1,3.3,4.7,6,7.4,6.7,7.1,6.1,5.1,4.3,8.5,10.4,9.1,9.6,9,8.1,10.5,12,10.6,8.3,7.4,5,3.6,4.3,7.6,8.3,7.5,5.9,5.4,4.7,4.1,3.7,2.6,2.5,2.5,2.4,2.9,3.6,2.4,3.8,4.1,3.4,3,3.7
"26","19","    Recreation","A490RV1",-2,-4.8,-5.1,-5.6,1.1,1.4,2.2,4,1.7,-0.7,0.6,3.5,5.4,7.7,12.1,5.1,6.9,8,3.8,1.6,1.1,3.5,3.5,4.6,4.3,3.4,3.1,3.7,3.8,2.4,3.2,2.3,2.1,2.1,3.1,2.7,3.4,3.6,5.8,4.7,5,4.6,2.5,3.6,6.6,6.9,4.3,4.3,5.5,6.6,7.3,6.7,5,4.1,4.3,3.8,3.7,3.5,3.9,4.5,5.2,4.9,2.9,3,2,2.4,3.3,3.1,2.6,3,3.7,3.4,2.9,2.7,2.6,2.7,3,1.6
"27","20","    Other","A178RV1",-2.8,-8,-9.2,-5.2,3.3,1.6,3.1,4.5,-0.8,0.4,1.1,4.1,7.2,7.9,7.1,4.3,7.8,8.8,6.4,2.7,3.2,6.2,2.3,5.2,3.3,4.1,5.7,3.6,2.2,4,2.9,1.9,2.8,1.6,2.9,2.5,4.3,3,4.9,7.1,5.1,4.8,4.9,5.9,13,9.1,4.7,6.1,9.5,9,11.3,8.6,4.7,6.3,3.8,4,6.9,3.6,4.8,2.9,4.1,4.8,5.5,2.1,2.4,3.1,3.4,3.4,1.8,2,2,2.1,3.6,3.1,3.9,3.4,3.5,3.3
"28","21","Gross private domestic investment","A006RV1",-4.3,-8.6,-16.6,-9.3,-0.4,-1.6,1,7.6,-3.2,-0.8,2.5,7.3,10.7,4,3,2.6,9.7,18.9,8.3,1.3,2,9,1.8,0.1,0.7,1.5,5.9,3.4,0.2,0.9,0.5,-0.3,0.1,-0.3,0.6,1.6,2.1,2.6,3.7,4.7,4.2,5,4.2,5.4,9.9,12.3,5.5,7.5,8.2,9.1,9.4,9.2,5.1,-0.3,0.7,1,2.2,1.9,2.3,2.4,1.9,1.4,-0.4,1.2,1.3,1.1,-0.4,-0.4,-1.1,-0.1,1,1,0.6,1.5,3.4,4.4,4.2,1.4
"29","22","  Fixed investment","A007RV1",-4.1,-7.5,-11.7,-1.7,5,0.5,1,8.7,1.4,-0.5,2.5,7.4,9.6,4.4,3.4,3.2,10.5,17.4,8.5,1.9,2.2,8.6,2.4,0.8,0.8,1.6,5.9,3.5,0.3,0.9,0.5,-0.3,0.1,-0.3,0.6,1.7,2.1,2.8,4,4.9,4.3,5,4.3,5.5,9.8,12.5,5.8,7.8,8.4,9.1,9.4,9.3,5.5,-0.2,0.6,1.3,2.4,1.8,2.6,2.4,2,1.5,-0.3,1.2,1.4,1.2,-0.3,-0.2,-0.9,0,1.1,1,0.6,1.6,3.4,4.5,4.2,1.4
"30","23","    Nonresidential","A008RV1",-4.7,-6.9,-9.5,-1.8,3.5,1.1,-0.1,8.4,0.8,-1.1,2.3,6.6,10.5,3.2,2,2.6,10.6,16.3,8.6,2.3,2,9.6,2.3,0.9,1,1.4,7.9,5.1,0.5,1.3,0.5,-0.6,0,0,0.5,1.1,1.5,2.5,3.5,4.1,4.7,4.7,3.4,3.9,9.6,13.8,5.5,6.8,6.7,8.1,8.8,9.7,5.5,-0.9,-0.2,0.8,1.7,0.9,2.2,2.1,1.9,1.5,-0.8,0.1,0.5,0.2,-1.2,-1.3,-2.2,-1.3,-0.1,-0.3,-0.2,0.1,1.3,2.9,3.3,1.4
"31","24","      Structures","A009RV1",-5.3,-8.5,-13.3,0.9,0.4,4.8,-0.1,13.6,-1.8,-1.1,1.5,7,11.5,8.7,2.2,4.5,12,21.2,11.3,-0.4,1.2,11.5,2.7,1.9,-1.2,2,8.6,4.3,-1.6,0.6,-0.1,-0.6,0.8,0.9,1.4,2.9,3.6,3.1,5,6.6,6.6,7.7,7.2,7.8,13.8,11.9,4.9,8.7,9.7,11.6,9.4,13.8,8,-2.6,0.9,2.4,1.9,1.6,4.3,3.9,3.2,1.8,0,3,3.6,4.3,2.6,3.9,4.6,3,3.9,5.4,4.4,3.5,6.2,11.8,12.3,3.8
"32","25","      Equipment and software","A010RV1",-4,-5.2,-5.7,-3.9,5.6,-0.9,-0.2,5.7,2.4,-1.1,2.7,6.4,10,0.5,1.9,1.7,9.5,13.3,7.2,3.9,2.5,8.5,2,0.2,2.4,0.9,7.4,5.7,2,1.8,0.8,-0.5,-0.5,-0.5,0,0.1,0.3,2.2,2.7,2.8,3.7,3,1.2,1.7,7.4,14.8,5.9,5.9,5.3,6.3,8.5,7.1,3.9,0.2,-0.9,-0.1,1.6,0.5,1.2,1.3,1.3,1.4,-1.2,-1,-0.6,-1.2,-2.4,-3,-4.5,-2.8,-1.3,-2.3,-1.8,-1.1,-0.3,-0.1,0.1,0.3
"33","26","        Information processing equipment and software","A679RV1",-7,-6.8,-3.3,-7.1,7.8,-0.5,0.3,0.8,-0.2,-0.8,1.3,3.2,4.6,-1.4,-1.3,0.4,24.5,13.9,2.2,0.7,2.2,6,-1.8,-0.3,1,1.2,2.8,4.8,1.2,0.9,-0.5,-1.4,-2.3,-3.5,-1.5,-2.6,-5,-1.4,-0.7,0.8,1,-2.3,-2.2,0.7,1.9,6.1,0.9,-1.3,-3.7,-0.7,0.7,2.4,1,-2.6,-4.3,-3.7,-3,-2.8,-1.3,-2.2,-2.5,-1.8,-5.3,-3.8,-4,-4.7,-7.9,-7.7,-9.7,-6.7,-3,-4.8,-4.1,-3.7,-3.3,-2.8,-2.1,-2.1
"34","27","          Computers and peripheral equipment","B935RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.5,-26.1,-29.1,-34.3,-16.3,-17.4,-29.9,-18.8,-14.7,-9.5,-10.2,-23.9,-19.3,-5.2,-18.4,-7.5,-16.5,-13,-32.4,-17.1,-22,-12.1,-10.5,-16.6,-19.1,-15,-13.9,-14.8,-7.1,-6.6,-9.3,-10.2,-14.7,-15,-12.1,-16.3,-23.7,-22.9,-25.7,-22.3,-12.8,-17.8,-13.7,-10.9,-7.3,-12.3,-12.9,-10.5
"35","28","          Software \1\","B985RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2,-1.8,-3.8,-3.8,0.8,-2.5,-3.2,-1.3,0.1,0.9,1.7,-2.4,-1.8,1.9,3.9,4.2,0.2,1,-2.2,3,2.5,3.6,2.7,-1,-1.7,-1.8,-3.6,-0.7,-1.1,-4.9,-3.5,-0.4,-8.3,-0.6,-3.3,-0.6,-2.4,-2.9,-3,1.3,3,0.5,-1.7,-2.1,-2.3,-0.3,1.3,0.4
"36","29","          Other","A937RV1",-7,-6.8,-3.3,-7.1,7.8,-0.5,0.3,0.8,-0.2,-0.8,1.3,3.2,4.6,-1.4,-1.3,0.4,24.6,13.9,2.2,0.7,2.2,6,-1.8,-0.3,1,1.2,2.8,4.8,1.2,1,0.1,0.1,-0.3,0.6,0.7,0.1,1.2,3,2.6,3.3,3.6,3.6,2.5,2,6.4,9.4,4.6,0.8,4.1,2.9,7.4,7,4.7,2.8,2.2,1.5,2.5,2.4,1.4,1.3,1.2,1.3,1,-0.2,-0.5,-0.9,-1.5,-1.3,-4.4,-3.2,-2.8,-2.6,-1.5,-1.8,-2.5,-0.8,-0.3,-0.6
"37","30","        Industrial equipment","A680RV1",-6,-7,-6.8,-0.1,13,1,0.2,10.3,1.3,-0.2,4.5,5.4,3.1,-0.2,0.9,0.7,7.7,8.3,8.4,4.8,4.1,12.8,0.6,2.8,1.8,3.7,10.4,7.5,2.4,2.3,2,-0.8,0,0.3,0.9,1.5,2.7,4.3,4.2,3.4,5,4.5,2,2.8,9.4,20.5,8.4,9.1,8.8,9.8,13,9.5,4.8,2.1,1.1,1.7,4.6,4.3,4.5,3.6,4.8,3.6,2.2,1.4,2,3.4,2.1,0.7,0.6,0.6,0.6,0.7,0.2,0.8,2.6,3.7,3.2,4
"38","31","        Transportation equipment","A681RV1",-4.5,-4.5,-5.2,-8.4,3.3,-1.1,0.3,3.5,5.4,-0.8,2.4,8.8,20.9,2.1,6.6,4.6,5.4,15.9,7.1,4.6,1.8,6.3,6,-3.7,4.4,-2,9.8,4.5,1.4,2.1,-0.2,-0.2,-1.1,-0.5,-0.9,-0.3,-0.1,1.6,2.8,3,4.8,5,2.1,1.1,9.3,11.2,7.2,7.8,9,8.6,10.5,7.5,4.5,1.5,1,3,6.3,1.6,1.5,3.5,3.6,5.1,2.6,1,2.8,-0.4,2,1.6,-0.7,0.9,0,-0.8,1,3.7,5.2,0.5,0.9,1.7
"39","32","        Other equipment","A862RV1",0,-3.7,-6.5,0.2,1.1,-2.6,-1.5,7.1,1,-2.3,1.9,5.4,6.7,1,1.2,1.3,8.1,15.9,8.1,3.3,2.2,8.1,0.8,2,1.5,1,3.5,5,2.4,1.5,1.4,0,1.1,0.7,0.9,0.9,2.3,3.4,3.7,3.6,3.6,4.8,2.8,2.1,8.9,21.6,7.4,8.8,8.3,8.7,12.2,11.2,7.1,2.2,1.9,2,3.2,2.5,3,4.1,4,3.3,2.2,1.8,1.7,2.1,2.7,1.3,1.5,1.2,0.5,1.5,0.8,0.9,0.9,3.9,2.3,2.3
"40","33","    Residential","A011RV1",-2.2,-9.5,-18.5,-1.4,11,-1.4,4.9,9.7,3.1,0.7,3,9.2,7.5,8.2,9.7,6.7,9.4,19.8,8.4,1.3,2.5,7.2,2.7,0.7,0.4,2.1,2.5,0.3,-0.3,0.3,0.7,0.2,0.2,-0.8,0.8,2.8,3.6,3.5,5.3,6.9,3.2,5.8,6.1,8.9,10.3,9.3,6.4,10.1,12.2,11.2,10.8,8.2,5.4,2.3,2.9,2.6,4.2,4.1,3.5,3.2,2.3,1.3,1.2,4,3.5,3.6,2.1,2.5,2.7,3.8,4.4,4.6,2.5,4.8,7.3,7.2,5.9,1.5
"41","34","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
