"","Table 4#4# Real Exports and Imports of Goods and Services by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"36","29","    Durable goods","A820RX",43.7,42.9,41.1,41.1,39.2,43.1,47.4,56.9,58.9,63.1,68,78.1,81,86.3,81,85.2
"37","30","    Nondurable goods","B696RX",39.7,41.4,41.2,42.5,42.9,47.2,50.9,55.8,59.3,62.1,67.6,71.8,75.4,80.7,79.7,81.3
"38","31","  Petroleum and products","B648RX",49.2,54.4,58.7,59.5,56.5,58.6,64.6,68.6,67.6,72.7,76.1,81,81.4,86.2,89.2,86.7
"39","32","  Capital goods, except automotive","A650RX",63.2,72.8,82.3,88.8,95.5,110.2,128.3,157.6,194,228.1,286,328.1,376.4,452.2,400,393.2
"40","33","    Civilian aircraft, engines, and parts","B932RX",9.7,11.2,12.8,13.5,13.6,14.3,12.4,12.1,11.2,12.7,16,20.7,22.1,23.9,27.3,21.9
"41","34","    Computers, peripherals, and parts \*\","B852RX",6.2,8.2,10.3,11.6,14.9,20.5,27.3,36.3,48.3,61.5,81.2,101.2,130.4,152.6,138.4,152.3
"42","35","    Other","B853RX",52.5,58.7,64.4,68.9,70.9,78.4,90.1,109.9,134.5,153.9,188.9,206.5,227.4,279.8,236.6,229.5
"43","36","  Automotive vehicles, engines, and parts","B651RX",106.5,103.8,101.1,101.6,94.7,99.7,109.5,122.5,124.6,128.9,139.5,148.2,177.1,192.5,186.7,200.1
"44","37","  Consumer goods, except automotive","A652RX",108.1,109.7,114.7,112.8,114.8,126.8,137.5,148.9,160.6,172.1,196.3,222.8,250.1,293.9,298.9,326.6
"45","38","    Durable goods","B697RX",58.9,59.6,62.7,59.6,60.1,65.9,71.6,78.1,83.8,90.4,101.7,118.5,134.4,160.8,159.6,177.5
"46","39","    Nondurable goods","B698RX",49.1,50,52,53.2,54.7,61,66,70.9,76.8,81.7,94.6,104.3,115.8,133.5,139.4,149.4
