"","Table 5#4# Private Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"13","6","    Mining exploration, shafts, and wells","E318RC",0.8,0.9,1.2,1.2,1.4,1.7,2,2.1,2.3,2.5,2.7,2.6,2.4,2.5,2.3,2.3,2.5,2.3,2.4,2.4,2.5,2.4,2.6,2.8,2.8,2.7,3.1,3.5,5.2,7.4,8.6,11.5,15.4,19,27.4,42.5,44.8,30,31.3,27.9,15.7,13.1,15.7,14.9,17.9,18.5,14.2,17.7,17.4,17.2,21.1,30.1,30.2,22.8,29.2,42.7,30.6
"14","7","    Other structures","A861RC",0.8,0.5,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.4,0.1,0.2,0.2,0.2,0.2,0.1,0,0.1,0.1,0.4,0.6,0.6,0.8,0.9,1,1,0.9,1,1.2,1.3,1.4,1.8,2.2,2.6,2.6,2.8,3.2,3.5,4.7,6.8,5.7,6.5,5.5,6.2,7.2,6.9,8.2,7.7,7,7.3,6.2,7,6.5,6.7,7.4,10.5,6.4
"15","8","  Equipment and software","B010RC",9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187.2,216.7,227,253.8,250.3,264.7,314.3,334.3,346.8,354.7,386.8,420,427.8,425.4,453.9,502.8,561.1,620.5,674.4,743.6,818.9,889.8,951.6,877.1,848.1
"16","9","    Information processing equipment and software","A679RC",1.2,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.9,5.2,5.7,6.5,7.3,8.5,10.6,11.2,11.9,14.6,16.7,17.3,19.3,23,26.8,28.2,32.4,38.6,48.3,58.6,69.6,82.4,88.9,100.8,121.7,130.8,137.6,141.9,155.9,173,176.1,181.4,197.5,215,233.7,262,287.3,325.2,363.4,402.3,446.9,404.3,399.7
"17","10","      Computers and peripheral equipment \1\","B935RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.2,51.3,64.6,70.9,79.6,84.2,90.4,93.3,74.2,74.2
"18","11","      Software \2\","B985RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.6,8.7,10.7,12.9,15.4,18,22.1,25.6,27.8,31.4,36.7,44.4,50.2,56.6,60.8,69.4,75.5,83.5,95.1,116.5,140.1,162.5,179.4,180.4,182.8
"19","12","      Other","A937RC",1.2,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.5,4.8,5.1,5.3,5.8,6.6,7.9,8.1,8.6,10.4,11.6,12.1,13.1,16.3,19,19.9,22.8,27.5,34.2,39.8,46.4,52.3,54.6,58.9,68,71.5,76.4,74.8,81.2,85.5,87.3,87.1,93.1,98.4,106.9,113.8,121.3,129.2,139.2,149.4,174.2,149.8,142.7
"20","13","    Industrial equipment","A680RC",3.1,4.6,4.6,3.7,4.4,5.6,5.9,6.7,7,7.2,8.8,9.6,8.1,8.4,9.3,8.7,9.2,10,11.4,13.6,16.1,16.8,17.2,18.9,20.2,19.4,21.3,25.9,30.5,31.1,33.9,39.2,47.4,55.9,60.4,65.2,62.3,58.4,67.6,71.9,74.8,76.1,83.5,92.7,91.5,88.7,92.4,101.8,113.3,128.7,136.4,141,147.6,150.4,164.9,159,152.2
"21","14","    Transportation equipment","A681RC",3,4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9,16.2,18.4,21.8,26.6,26.3,25.2,30,39.3,47.3,53.6,48.4,50.6,46.8,53.7,64.8,69.7,71.8,70.4,76.1,71.4,75.7,79.5,86.1,98.1,117.8,126.1,138.9,151.4,168.2,194.7,189.7,165.8,148.9
"22","15","    Other","A862RC",2.7,4.1,5.4,4.7,5.1,5.5,5.6,5.6,5.4,6.4,6.8,6.7,7,7.6,7.1,7.1,7.6,8.9,10,11.2,12.9,12.6,13.1,14.5,15.6,16.4,19.2,22.8,24.6,27.9,30.1,37.1,44.1,48.6,48.6,55.6,52.3,51.8,60.2,61.8,62.6,66.2,71.3,83,84.5,75.8,77.9,87.9,96.3,103.7,111.8,126,139.8,142.4,150.1,148,147.4
"23","16","Residential","A011RC",7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.5,179.8,186.9,218.1,227.6,234.2,231.8,216.8,191.5,225.5,251.8,286,285.6,313.3,328.2,364.4,403.7,426,444.8,471.9
"24","17","  Structures","A012RC",7.6,11.8,15.3,14.3,20.2,18.1,18.2,19,20.7,24.6,23.1,21.7,21.9,27.5,25.8,25.9,28.4,31.5,33.6,33.5,31.6,31.6,37.9,41.6,40.2,54.5,68.1,73.6,64.1,60.8,80.4,107.9,128.9,137.9,119.9,119,102,148.3,175.1,181.9,212.6,221.8,228.2,225.7,210.8,185.8,219.6,245.4,279.1,278.3,305.6,320.4,356.1,394.8,416.8,435.4,462.4
"25","18","    Single family","A944RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,16.7,14.9,14.1,15.1,16,17.6,17.8,16.6,16.8,19.5,19.7,17.5,25.8,32.8,35.2,29.7,29.6,43.9,62.2,72.8,72.3,53,52,41.5,72.2,85.6,86.1,102.2,114.5,116.6,116.9,108.7,95.4,116.5,133.3,153.8,145,159.1,163.2,185.8,208.6,220.7,232.1,247
"26","19","    Multifamily","C292RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,2.6,3.3,4.8,6.4,6.4,6,5.2,4.7,7.2,9.5,9.5,12.9,17.2,19.4,13.7,6.7,6.9,10,12.8,17,16.7,17.5,15.5,22.4,28.2,28.5,31,25.5,22.3,22.3,19.3,15.1,13.1,10.8,14.1,17.9,20.3,22.9,24.6,27.4,28.3,30.7,33.6
"27","20","    Other structures","A863RC",2.4,3.5,4.2,3.7,4,4.3,4.9,5.1,5.3,6,6.6,6.6,6.4,7.9,8.3,8.5,8.5,9.1,9.5,9.7,9.8,10.1,11.1,12.4,13.2,15.8,18,19,20.7,24.5,29.6,35.7,43.3,48.6,50.2,49.5,45,53.7,61.3,67.2,79.4,81.9,89.2,86.5,82.9,75.2,90,101.3,111.2,115.4,126.2,134.3,145.8,158.8,167.9,172.7,181.8
"28","21","  Equipment","B013RC",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1,1.1,1.3,1.5,1.7,1.9,1.9,2.1,2.4,2.7,3.2,3.4,3.6,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.1,6,5.7,5.9,6.4,6.9,7.3,7.7,7.9,8.2,8.8,9.3,9.3,9.6
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30"," 1. Includes new computers and peripheral equipment only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31"," 2. Excludes software ``embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
