"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","3","Less: Income payments to the rest of the world","A655RA3",4.611,5.138,5.755,5.976,6.051,5.913,5.789,5.515,5.138,5.261,5.708,5.935,5.86,6.318,6.384,6.866,7.719,8.51,8.777,8.98,9.308,10.077,10.674,10.644,10.403,9.85,9.811,9.36,9.952,9.836,9.595,9.414,9.07,9.595,10.033,10.964,11.487,13.087,13.651,15.344,16.507,17.54,18.476,20.208,21.606,20.293,18.323,21.953,23.307,25.219,26.095,23.892,24.857,26.139,25.867,24.259,22.927,23.603,25.426,26.243,28.859,31.522,32.827,32.177,30.813,30.502,30.476,30.377,32.32,33.139,31.067,32.375,33.055,34.403,35.719,37.233,39.113,39.69,42.201,44.064,46.207,48.469,47.138,45.564,46.289,45.681,46.529,44.249,42.873,40.396,39.191,35.467,34.62,35.09,33.498,32.55,31.389,33.667,32.701,36.938,36.686,40.357,44.569,48.256,49.47,51.159,54.095,52.595,51.712,53.439,55.693,57.697,62.01,63.108,65.654,65.751,65.732,67.079,67.395,66.704,66.568,68.861,74.033,75.571,79.398,83.52,82.447,81.337,74.636,66.78,65.522,46.482,57.233,64.251,64.338,57.389,63.13,62.465,64.833,65.369,67.961,76.244,78.084,89.091,91.461,96.353,99.402,112.785,119.009,130.681,137.613,140.567,145.5,155.41,150.207,140.721,140.792,137.468,128.255,120.13,94.796,92.486,90.671,96.024,95.515,95.092,94.755,102.487,97.763,100.154,96.531
"12","4","Equals: Gross national product","B001RA3",33.583,33.671,33.872,33.714,33.667,33.736,34.031,33.653,34.614,34.822,35.073,35.183,35.818,36.658,37.028,37.632,38.63,39.094,38.944,39.314,39.043,39.116,38.693,38.486,37.966,38.256,38.92,39.486,40.363,40.679,40.88,41.184,41.714,42.525,43.273,43.214,43.422,45.036,45.509,46.168,46.256,46.358,46.794,46.916,47.077,46.076,45.956,46.687,47.679,47.273,47.871,47.343,46.545,46.86,46.59,46.608,47.176,48.257,49.208,50.234,51.157,52.034,52.53,52.898,53.301,53.773,54.541,54.988,55.47,55.605,56.166,56.356,56.689,57.338,57.827,58.834,59.2,59.929,60.209,61.035,61.6,62.048,62.56,62.761,63.391,63.652,63.597,63.287,62.851,63.155,63.385,63.713,64.404,65.08,65.715,66.413,66.61,66.965,67.374,68.105,68.835,69.732,70.156,70.928,71.195,71.373,71.833,72.441,72.995,74.167,74.778,75.64,76.139,77.338,78.232,78.772,79.596,80.286,81.222,82.643,83.482,84.178,85.217,86.836,87.021,88.743,88.779,89.518,89.102,89.755,89.31,90.163,90.591,90.915,91.499,91.679,91.94,92.83,94.345,95.408,96.178,96.58,97.379,97.96,99.24,99.588,100.446,100.726,102.001,102.37,102.276,103.044,103.164,104.153,105.391,106.218,105.595,105.947,105.089,102.137,100.515,100.398,100.981,101.977,102.931,104.074,104.786,105.218,105.598,106.164,106.665
"13","5","Less: Consumption of fixed capital","A262RA3",21.265,21.515,21.771,22.028,22.282,22.485,22.632,22.716,22.959,23.177,23.388,23.565,23.752,23.976,24.253,24.57,24.923,25.265,25.586,25.896,26.184,26.456,26.715,26.951,27.172,27.388,27.599,27.811,28.017,28.24,28.485,28.747,29.033,29.331,29.641,29.961,30.287,30.641,31.012,31.403,31.816,32.223,32.622,33.008,33.388,33.754,34.104,34.438,34.758,35.094,35.451,35.826,36.222,36.585,36.916,37.217,37.486,37.783,38.104,38.458,38.839,39.271,39.759,40.299,40.898,41.467,42.006,42.518,42.99,43.477,43.978,44.493,45.021,45.529,46.024,46.505,46.969,47.445,47.931,48.43,48.939,49.45,49.965,50.476,50.994,51.474,51.918,52.326,52.699,53.08,53.468,53.864,54.27,54.625,54.936,55.196,55.768,56.326,56.874,57.41,57.937,58.498,59.091,59.717,60.376,61.065,61.782,62.525,63.299,64.101,64.94,65.81,66.71,67.673,68.692,69.766,70.898,72.07,73.279,74.525,75.809,77.126,78.471,79.849,81.137,82.579,83.933,85.141,86.281,87.271,88.115,88.883,89.734,90.45,91.192,91.881,92.538,93.129,93.791,94.559,95.382,96.124,96.924,97.789,98.667,99.523,100.441,101.369,102.179,103.194,104.207,105.228,106.308,107.312,108.249,109.143,109.804,110.602,111.365,112,112.446,112.637,112.778,112.925,113.121,113.493,114.028,114.672,115.255,115.883,116.606
"14","6","        Private","A024RA3",18.308,18.569,18.835,19.105,19.379,19.595,19.753,19.852,20.136,20.404,20.658,20.897,21.121,21.396,21.722,22.099,22.523,22.921,23.295,23.646,23.976,24.282,24.564,24.822,25.054,25.28,25.5,25.713,25.92,26.15,26.405,26.684,26.988,27.303,27.631,27.972,28.325,28.7,29.096,29.515,29.955,30.382,30.797,31.198,31.586,31.957,32.311,32.646,32.963,33.301,33.66,34.04,34.441,34.803,35.126,35.409,35.651,35.919,36.213,36.533,36.879,37.28,37.737,38.249,38.819,39.351,39.845,40.299,40.714,41.143,41.587,42.047,42.521,42.983,43.43,43.863,44.282,44.714,45.16,45.619,46.092,46.564,47.035,47.504,47.972,48.403,48.796,49.152,49.469,49.8,50.145,50.504,50.878,51.201,51.474,51.696,52.28,52.859,53.433,54.001,54.564,55.167,55.811,56.496,57.224,57.98,58.766,59.582,60.429,61.313,62.235,63.196,64.196,65.257,66.382,67.571,68.825,70.115,71.443,72.807,74.208,75.648,77.125,78.64,80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.236,111.011,111.751,112.337,112.702,112.755,112.75,112.753,112.816,113.092,113.568,114.178,114.714,115.29,115.962
"15","7","        Government","A264RA3",38.423,38.59,38.767,38.934,39.048,39.161,39.234,39.216,39.206,39.112,39.052,38.855,38.811,38.724,38.701,38.66,38.587,38.592,38.596,38.664,38.714,38.789,38.917,39.034,39.186,39.341,39.493,39.697,39.897,40.071,40.25,40.407,40.581,40.768,40.954,41.143,41.289,41.5,41.706,41.913,42.136,42.399,42.69,42.962,43.274,43.598,43.914,44.227,44.548,44.86,45.19,45.522,45.869,46.23,46.597,46.999,47.418,47.885,48.361,48.906,49.485,50.094,50.758,51.446,52.2,52.974,53.773,54.618,55.42,56.237,57.066,57.905,58.741,59.516,60.283,61.034,61.758,62.484,63.203,63.925,64.638,65.372,66.136,66.885,67.69,68.453,69.189,69.902,70.6,71.272,71.908,72.516,73.104,73.646,74.169,74.649,75.132,75.552,75.935,76.275,76.578,76.89,77.177,77.454,77.709,77.997,78.312,78.632,78.985,79.309,79.67,80.024,80.35,80.752,81.178,81.607,82.053,82.566,83.116,83.71,84.352,85.003,85.63,86.266,86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.665,105.477,106.311,107.201,107.619,108.528,109.41,110.277,111.117,111.964,112.799,113.628,114.45,115.275,116.087,116.887,117.689,118.56,119.527
"16","8","          General government","A265RA3",40.727,40.87,41.025,41.165,41.253,41.332,41.358,41.294,41.236,41.079,40.948,40.678,40.558,40.408,40.309,40.208,40.056,39.991,39.932,39.945,39.932,39.964,40.041,40.113,40.224,40.35,40.462,40.641,40.822,40.96,41.115,41.254,41.411,41.579,41.746,41.914,42.039,42.236,42.419,42.604,42.794,43.041,43.312,43.553,43.846,44.153,44.45,44.746,45.046,45.336,45.649,45.957,46.29,46.643,46.999,47.4,47.82,48.291,48.777,49.34,49.94,50.575,51.268,51.987,52.777,53.59,54.439,55.332,56.183,57.055,57.938,58.832,59.725,60.555,61.364,62.157,62.923,63.686,64.445,65.208,65.951,66.722,67.524,68.315,69.155,69.958,70.722,71.455,72.175,72.855,73.493,74.099,74.682,75.2,75.699,76.147,76.592,76.97,77.316,77.613,77.868,78.145,78.388,78.628,78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.943,105.794,106.671,107.614,108.038,109.012,109.944,110.846,111.707,112.568,113.412,114.252,115.08,115.906,116.727,117.532,118.35,119.225,120.193
"17","9","          Government enterprises","A266RA3",24.949,25.276,25.603,25.942,26.228,26.561,26.932,27.195,27.486,27.79,28.173,28.424,28.848,29.146,29.592,29.92,30.334,30.765,31.156,31.561,32.001,32.335,32.769,33.152,33.555,33.874,34.262,34.617,34.93,35.309,35.63,35.891,36.17,36.466,36.766,37.076,37.345,37.646,37.986,38.312,38.727,39.082,39.489,39.934,40.36,40.779,41.2,41.611,42.057,42.491,42.92,43.391,43.82,44.238,44.669,45.081,45.493,45.944,46.362,46.816,47.277,47.735,48.238,48.757,49.31,49.861,50.383,50.956,51.485,51.993,52.529,53.06,53.575,54.052,54.583,55.108,55.598,56.123,56.626,57.124,57.671,58.209,58.767,59.291,59.901,60.458,61.037,61.645,62.225,62.855,63.481,64.1,64.726,65.397,66.058,66.717,67.406,68.056,68.648,69.22,69.786,70.293,70.824,71.3,71.757,72.234,72.749,73.271,73.849,74.346,74.806,75.254,75.496,75.972,76.535,77.072,77.635,78.272,78.986,79.731,80.56,81.401,82.162,82.948,83.743,84.476,85.16,85.818,86.414,87.016,87.62,88.267,88.885,89.558,90.313,91.13,92.017,92.921,93.805,94.723,95.728,96.69,97.538,98.299,99.007,99.661,100.329,101.003,100.681,101.332,101.982,102.63,103.277,103.899,104.521,105.146,105.539,106.128,106.759,107.454,108.193,108.974,109.757,110.54,111.333,112.15,112.92,113.692,114.42,115.267,116.233
"18","10","Equals: Net national product","A027RA3",35.668,35.726,35.916,35.682,35.581,35.624,35.945,35.485,36.572,36.777,37.034,37.131,37.846,38.793,39.178,39.832,40.943,41.427,41.192,41.571,41.199,41.235,40.688,40.398,39.74,40.042,40.787,41.417,42.417,42.747,42.939,43.248,43.821,44.724,45.551,45.419,45.602,47.448,47.936,48.641,48.665,48.707,49.146,49.215,49.331,48.068,47.857,48.66,49.775,49.226,49.866,49.163,48.134,48.436,48.051,48.014,48.636,49.86,50.925,52.07,53.087,54.04,54.533,54.867,55.232,55.683,56.488,56.92,57.402,57.471,58.04,58.171,58.467,59.138,59.623,60.719,61.066,61.836,62.078,62.957,63.53,63.964,64.474,64.62,65.267,65.489,65.35,64.919,64.349,64.64,64.843,65.159,65.896,66.623,67.309,68.075,68.211,68.532,68.919,69.679,70.44,71.389,71.786,72.579,72.783,72.88,73.3,73.886,74.404,75.632,76.208,77.067,77.505,78.738,79.613,80.071,80.85,81.468,82.362,83.806,84.576,85.182,86.181,87.843,87.863,89.621,89.466,90.137,89.499,90.104,89.476,90.342,90.711,90.979,91.541,91.651,91.858,92.789,94.422,95.525,96.288,96.643,97.441,97.984,99.319,99.597,100.447,100.637,101.977,102.256,102.009,102.742,102.729,103.716,104.995,105.812,105.01,105.301,104.222,100.779,98.877,98.72,99.365,100.475,101.528,102.773,103.507,103.911,104.264,104.821,105.292
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",35.694,35.763,35.967,35.731,35.622,35.657,35.984,35.543,36.593,36.785,37.074,37.156,37.864,38.824,39.188,39.848,40.918,41.382,41.077,41.457,40.998,41.065,40.561,40.336,39.74,40.041,40.764,41.326,42.348,42.664,42.852,43.153,43.663,44.585,45.424,45.351,45.462,47.415,47.866,48.503,48.513,48.484,48.799,48.875,48.977,47.764,47.593,48.533,49.621,49.101,49.712,48.928,47.926,48.153,47.873,47.858,48.493,49.69,50.752,51.884,52.959,53.918,54.421,54.824,55.301,55.728,56.619,57.013,57.549,57.723,58.265,58.491,58.765,59.385,59.882,60.961,61.237,62.046,62.323,63.181,63.764,64.216,64.703,64.774,65.453,65.665,65.587,64.866,64.446,64.877,65.123,65.348,66.096,66.835,67.566,68.328,68.377,68.782,69.104,70.051,70.738,71.743,72.17,72.976,73.073,73.141,73.724,74.189,74.643,75.979,76.596,77.407,77.941,79.101,80.068,80.599,81.29,81.941,82.982,84.42,85.077,85.636,86.676,88.245,88.312,90.052,89.939,90.368,89.867,90.396,89.992,90.241,90.999,91.449,91.873,91.813,92.158,92.966,94.617,95.483,96.085,96.685,97.393,98.18,99.211,99.595,100.368,100.826,102.165,102.495,102.369,103.021,103.03,103.95,104.688,105.069,104.442,104.725,103.507,100.684,98.639,98.417,98.879,99.928,101.018,102.051,102.707,103.308,103.336,103.647,104.087
