"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"11","3"," Durable goods","PSMD3",31.18,31.203,31.363,31.75,32.192,32.319,32.458,32.841,33.299,33.425,33.641,34.149,34.681,35.061,35.305,35.703,36.065,36.456,36.795,36.874,37.41,37.757,37.97,37.915,38.466,39.668,39.896,40.434,41.87,44.796,47.549,49.363,51.005,51.659,51.914,52.814,53.625,54.388,55.001,56.147,56.9,57.791,58.581,59.384,60.392,61.776,63.195,64.412,66.313,68.452,69.784,71.544,74.208,74.888,76.079,77.761,78.995,80.434,81.662,82.678,83.211,83.355,83.882,84.377,84.986,85.081,85.513,85.545,86.193,86.838,86.826,86.973,86.959,87.185,87.146,87.358,87.23,87.644,87.834,88.283,87.9,88.048,88.445,89.14,89.855,90.457,91.251,92.126,93.189,93.616,94.019,94.36,94.306,94.824,95.372,95.649,95.843,95.897,95.923,96.236,96.595,96.846,96.914,97.004,97.726,98.126,98.248,98.523,99.198,99.615,100.031,100.366,101.182,101.354,101.13,101.086,100.623,100.083,99.812,99.519
"12","4","  Lumber & wood products","PS243",19.984,20.136,20.528,20.66,21.437,22.416,23.163,24.493,27.007,26.145,24.183,23.978,23.508,23.533,23.454,22.988,23.94,25.426,26.918,26.736,27.694,28.611,29.501,29.902,31.937,36.121,35.564,36.314,36.82,38.916,36.934,33.767,33.974,36.116,36.277,36.383,39.372,40.567,41.651,43.152,44.803,46.204,47.618,48.895,51.059,53.822,55.617,56.722,58.206,60.494,60.445,61.185,61.194,59.772,60.539,61.265,61.476,61.786,61.908,61.674,61.797,61.54,61.279,61.083,61.89,61.772,62.256,62.837,63.185,62.998,63.05,63.386,63.526,63.908,63.859,63.43,63.353,64.55,64.845,65.389,64.606,65.198,67.044,68.593,69.434,69.941,70.172,70.149,71.801,74.041,75.327,75.681,75.474,76.304,75.628,74.49,74.481,76.927,78.087,77.913,81.814,83.732,84.156,86.639,94.745,98.569,96.647,99.71,102.531,100.193,100.565,101.734,101.624,100.733,101.067,99.849,98.221,99.302,100.762,101.58
"13","5","  Furniture & fixtures","PS253",28.748,28.839,28.983,29.225,29.64,29.983,30.229,30.586,31.206,31.422,31.747,31.923,32.283,32.53,32.736,32.852,33.333,33.635,33.881,33.775,34.214,34.418,34.607,34.745,35.161,36.039,36.426,37.198,38.204,39.568,40.716,42.397,42.835,42.798,42.932,43.735,44.361,44.779,45.41,46.434,46.933,47.775,48.761,49.49,50.539,51.186,52.475,53.514,55.089,55.768,56.599,57.82,59.205,59.829,61.375,62.525,63.621,64.612,65.659,66.667,67.713,68.412,68.686,69.015,69.434,69.973,70.656,71.098,71.924,72.449,72.91,73.463,73.96,74.848,75.451,75.815,76.189,76.6,76.9,77.362,77.71,78.161,78.637,79.519,80.783,81.803,82.795,83.316,84.068,84.89,85.732,86.328,86.938,87.611,87.971,88.581,89.231,89.456,89.651,89.742,90.093,90.339,90.632,90.837,91.261,91.902,92.44,93.421,94.259,95.446,95.639,96.119,96.871,97.641,98.208,98.918,99.442,99.674,100.085,100.766
"14","6","  Stone clay glass prod.","PS323",22.248,22.248,22.387,22.579,23.035,23.297,23.481,23.636,24.133,24.401,24.537,24.722,25.47,25.627,25.702,26.122,27.377,27.924,28.321,28.401,28.542,28.937,29.169,29.352,29.646,30.089,30.042,30.499,32.541,34.517,36.248,37.572,39.073,39.863,40.468,40.934,41.795,42.947,43.387,43.868,44.524,45.595,46.378,46.935,49.015,49.819,51.171,52.119,54.328,55.203,56.674,58.763,62.032,63.856,65.159,66.587,68.492,71.338,72.307,72.88,74.162,74.187,74.453,74.851,75.7,76.445,77.067,77.786,78.679,79.825,80.711,80.952,81.439,82.291,82.964,83.525,83.984,84.17,84.226,84.376,83.081,83.096,83.189,83.818,84.027,84.203,84.519,85.006,85.32,85.989,86.392,86.701,87.299,87.466,87.508,87.932,88.738,89.124,89.323,89.551,89.516,89.332,89.754,90.08,90.741,91.377,92.033,92.614,93.368,94.454,95.446,96.316,97.603,98.691,98.925,99.252,99.548,99.696,100.125,100.601
"15","7","  Primary metals","PS333",26.49,26.435,26.429,27.04,27.836,27.374,27.15,27.203,27.554,27.823,28.881,29.792,31.189,31.94,32.125,32.018,31.668,31.841,32.282,32.148,32.075,32.31,32.44,32.14,32.871,35.482,36.246,37.379,40.665,49.091,55.129,57.403,60.23,59.84,59.629,59.656,59.441,60.386,61.69,61.839,61.932,62.65,62.394,62.475,62.943,63.722,65.425,67.234,71.309,75.881,77.931,80.895,85.654,82.62,82.628,83.033,82.362,82.802,83.091,83.46,81.93,79.824,79.69,80.199,80.918,80.639,81.322,81.328,82.551,84.544,82.568,80.807,80.311,80.384,79.827,79.67,78.742,78.575,78.714,78.763,78.839,80.116,82.735,87.279,90.334,92.168,93.888,97.747,99.914,99.108,97.192,96.667,94.493,95.283,96.078,95.58,93.524,91.581,90.497,90.145,89.726,90.221,90.784,89.082,88.975,88.683,89.412,89.367,90.809,92.693,95.483,99.739,105.638,105.463,104.807,103.301,101.116,100.93,99.084,98.962
"16","8","  Fabricated metals","PS343",25.821,25.816,25.985,26.13,26.469,26.693,26.797,27.213,28.038,28.081,28.049,28.416,28.85,29.299,29.697,29.914,30.223,30.843,31.481,31.526,32.272,32.665,33.023,33.172,33.748,34.888,35.224,35.981,37.462,40.157,43.611,44.741,45.955,46.617,46.852,47.22,48.217,49.028,50.025,50.836,51.756,53.053,54.134,54.414,55.467,57.071,58.63,59.936,62.124,65.065,66.539,68.908,72.286,71.815,73.033,73.968,74.433,75.592,76.781,77.037,76.936,76.642,76.515,76.763,77.092,77.397,77.932,78.177,78.731,79.344,79.208,79.674,79.849,79.973,80.023,80.11,80.184,79.982,80.075,80.349,80.804,81.044,81.476,82.44,83.721,85.237,86.471,87.565,88.549,89.533,90.086,90.756,91.214,91.47,91.834,92.215,92.517,92.632,92.788,92.772,92.887,93.053,93.161,93.296,93.316,93.595,93.942,94.303,94.574,94.961,95.594,96.406,97.781,98.78,99.385,99.72,99.682,99.85,100.1,100.352
"17","9","  Industrial machinery","PS353",61.13,61.114,61.484,61.961,62.648,63.119,63.676,64.092,64.98,65.508,66.266,67.248,68.1,68.765,68.815,69.147,68.986,69.246,69.216,69.407,70.28,70.833,70.821,70.583,71.161,72.067,71.807,72.135,73.199,76.34,81.42,85.511,88.809,90.347,91.334,92.467,93.297,93.819,94.785,96.201,97.918,98.757,99.99,101.439,102.63,103.91,105.591,107.736,109.23,110.94,112.65,114.803,117.184,119.152,120.563,122.611,125.423,127.875,130.363,132.243,133.883,134.382,134.659,133.997,132.752,131.549,130.052,129.131,127.61,126.535,125.561,124.784,123.899,122.788,122.051,120.926,119.328,118.789,119.348,119.247,117.934,116.785,115.721,115.88,116.201,115.762,116.27,116.963,117.786,117.532,118.224,118.001,117.464,117.736,118.276,118.462,118.298,117.866,116.759,116.575,116.033,114.962,113.895,113.327,112.799,111.786,111.091,110.429,110.26,110.219,109.746,108.751,107.887,107.394,105.887,104.4,102.651,100.522,99.232,97.791
"18","10","  Electronic machinery","PS363",37.637,37.747,37.837,37.978,38.269,38.457,38.592,38.584,38.536,38.552,38.602,38.74,39.161,39.552,40.024,40.405,40.947,41.007,41.179,41.173,41.451,41.718,41.806,41.878,42.061,42.456,42.636,42.862,43.876,45.549,48.192,50.774,52.27,52.736,53.406,54.262,54.921,55.247,55.748,56.602,57.135,57.642,58.517,59.626,60.601,61.492,62.33,63.767,64.724,66.05,67.806,69.524,72.177,74.516,76.386,77.773,79.531,81.005,82.766,84.107,85.225,85.97,86.077,86.755,87.526,88.337,89.615,90.018,90.928,91.807,92.573,93.251,93.755,93.673,94,94.272,94.813,95.329,96.046,96.413,95.248,95.307,95.635,96.016,96.318,96.48,96.931,97.392,98.044,98.589,99.187,99.339,99.591,99.803,100.035,100.238,100.663,100.637,100.558,100.384,100.571,100.732,100.573,100.726,101.075,101.343,101.389,101.674,101.648,101.826,101.586,101.215,101.178,101.078,100.799,100.965,100.761,99.953,99.835,99.492
"19","11","  Transportation equipment","PS373",26.424,26.436,26.567,27.134,27.285,27.374,27.457,27.963,27.949,28.091,28.205,28.788,29.005,29.178,29.386,30.527,30.932,31.162,31.155,31.417,32.037,32.303,32.45,32.231,32.442,32.725,33.007,33.362,34.14,34.706,35.943,37.952,39.083,39.686,39.633,41.376,42.146,42.9,42.767,44.661,44.975,45.708,46.455,47.485,48.122,49.14,50.251,50.888,52.059,53.56,54.202,55.002,56.463,58.172,59.436,62.442,64.66,66.579,67.729,69.182,70.056,71.087,72.97,73.544,74.675,74.806,75.658,75.48,76.707,77.613,78.157,78.811,78.65,79.535,79.607,80.584,80.844,81.714,81.551,82.377,82.448,82.494,82.101,81.641,81.773,82.326,83.264,83.642,84.61,84.733,85.301,85.993,86.361,86.951,87.997,88.859,89.692,90.053,90.595,91.787,92.316,92.813,93.068,93.373,94.039,94.829,95.378,95.583,96.597,97.436,97.87,97.55,98.166,98.652,98.602,99.69,100.302,99.969,100.011,99.741
"20","12","    Motor vehicles","PS3713",28.788,28.692,28.726,29.55,29.644,29.641,29.644,30.309,30.183,30.246,30.147,30.907,31.037,31.102,31.194,32.847,33.229,33.477,33.506,33.953,34.427,34.55,34.584,34.303,34.584,34.837,34.809,35.329,36.167,36.742,38.199,40.922,41.554,42.028,42.189,44.343,44.721,44.815,45.1,47.039,47.727,48.473,49.454,50.57,51.22,52.304,53.393,53.99,55.403,57.007,57.401,58.482,59.822,61.573,63.39,65.405,68.64,70.701,71.764,73.619,74.082,74.731,76.743,76.458,76.626,76.963,77.33,77.547,78.432,78.853,79.281,78.805,80.071,80.626,80.701,81.614,81.835,82.858,83.108,84.738,83.737,84.21,84.153,83.742,83.694,84.422,85.24,85.924,86.603,86.729,86.918,87.886,87.525,88.066,89.205,89.827,91.113,90.933,91.418,92.872,93.103,93.605,93.72,93.98,94.953,95.645,96.084,96.13,97.173,98.068,98.843,98.18,98.79,98.949,98.999,99.932,99.791,100.202,100.234,99.766
"21","13","    Other","PS37X3",23.144,23.278,23.504,23.803,23.995,24.184,24.363,24.666,24.79,25.026,25.404,25.759,26.082,26.375,26.709,27.264,27.654,27.841,27.76,27.701,28.589,29.113,29.457,29.337,29.414,29.762,30.602,30.679,31.341,31.901,32.833,33.817,35.638,36.427,36.083,37.223,38.577,40.512,39.569,41.431,41.045,41.793,42.09,42.985,43.622,44.541,45.733,46.473,47.196,48.547,49.589,50.008,51.632,53.256,53.93,57.983,58.976,60.69,61.924,62.902,64.177,65.625,67.366,68.937,71.245,71.167,72.747,71.955,73.645,75.33,76.028,78.611,76.055,77.484,77.548,78.635,78.959,79.582,78.776,78.411,80.089,79.461,78.563,78.032,78.421,78.705,79.817,79.689,81.131,81.245,82.407,82.666,84.11,84.776,85.684,86.862,87.165,88.165,88.787,89.614,90.539,91.022,91.484,91.852,92.011,92.964,93.709,94.213,95.19,95.922,95.583,96.064,96.679,97.93,97.637,99.095,101.582,99.394,99.474,99.687
"22","14","  Instruments","PS383",31.926,32.081,32.366,32.518,32.825,33.148,33.311,33.569,33.596,33.759,34.019,34.311,34.628,34.883,35.224,35.541,35.905,36.181,36.39,36.525,37.761,37.717,37.588,37.671,38.074,38.425,38.576,38.393,38.905,40.443,42.133,44.187,45.58,46.37,47.119,48.237,48.382,48.854,49.717,50.553,51.37,51.766,52.682,52.84,53.763,55.484,56.307,57.517,58.62,59.877,61.483,62.182,63.88,65.965,66.386,68.536,69.047,70.031,72.325,73.482,74.26,74.93,75.329,77.387,78.691,79.162,78.912,79.053,79.778,80.547,80.851,81.49,82.133,82.191,82.173,82.616,82.391,83.591,83.71,84.519,83.908,84.494,85.905,85.707,85.97,86.373,86.499,87.023,88.047,89.305,89.999,90.768,90.817,91.851,92.391,92.55,92.953,93.088,93.42,94.075,94.581,95.222,95.713,96.183,96.807,96.973,97.222,97.287,97.779,97.794,97.866,98.118,98.502,98.957,99.435,100.141,100.049,99.968,99.997,99.982
"23","15","  Other manufacturing","PS393",24.988,25.061,25.155,25.425,25.709,25.256,25.377,25.58,25.504,25.779,26.557,26.846,27.055,27.254,27.629,27.785,28.232,28.349,28.47,28.47,28.516,28.638,28.971,29.045,29.285,30.023,30.397,30.789,31.84,35.169,36.951,37.619,38.655,38.832,38.908,39.227,39.779,40.212,40.513,40.617,42.436,43.663,43.806,44.551,45.363,50.46,53.397,52.748,55.66,57.513,59.959,64.379,73.783,73.194,77.115,77.104,75.65,75.295,74.073,75.218,75.387,74.393,74.3,76.085,76.87,76.887,76.933,77.168,77.701,77.616,77.978,77.983,78.201,78.61,78.442,78.587,78.925,79.386,79.81,80.295,80.295,80.893,81.494,82.219,82.801,83.503,84.509,85.067,86.057,86.825,87.558,88.173,88.973,89.425,89.881,90.416,91.042,91.545,92.031,92.433,92.792,93.188,93.683,94.023,94.158,94.715,95.199,95.506,95.733,96.109,96.484,96.889,97.721,98.143,98.654,99.056,99.565,99.736,100.165,100.577
"24","16"," Nondurable goods","PSMN3",25.458,25.481,25.618,25.559,25.674,25.784,25.985,26.056,26.457,26.758,27.178,27.338,27.611,27.61,27.795,27.639,27.883,28.186,28.399,28.311,28.598,28.822,29.145,29.299,30.265,31.301,32.648,33.15,35.619,37.854,40.879,42.677,43.467,44.124,45.486,45.631,45.204,45.814,46.678,47.077,47.974,48.947,48.84,49.613,50.455,51.666,52.137,53.731,55.156,57.502,60.705,63.468,66.539,69.118,71.18,72.714,74.817,76.824,76.917,76.854,76.969,76.349,77.076,76.826,76.132,76.139,77.444,77.892,78.614,79.445,79.467,79.35,78.813,79.152,78.744,79.206,77.438,75.289,74.905,75.13,75.613,77.086,78.441,79.032,79.515,81.205,82.915,83.453,85.115,87.155,86.533,86.85,88.085,88.465,90.257,93.435,91.06,89.93,89.83,90.062,89.314,90.875,91.403,91.181,91.117,91.842,91.087,90.739,90.576,91.377,92.748,93.59,95.525,97.818,98.302,98.315,98.644,100.104,100.432,100.803
"25","17","  Food and kindred product","PS203",29.531,29.515,29.675,29.334,29.665,29.767,30.281,30.486,31.238,31.997,33.174,33.609,34.134,33.956,34.318,33.475,33.728,34.276,34.597,34.438,35.253,35.339,35.992,36.085,38.307,40.372,44.346,43.682,46.989,46.529,50.338,53.146,52.826,53.778,56.771,55.282,52.206,52.713,53.189,53.293,55.011,56.017,54.253,56.415,58.912,61.8,61.414,64.449,66.309,67.498,69.013,70.516,70.354,70.08,75.59,79.208,77.459,76.1,76.427,75.411,75.655,77.035,76.345,75.187,76.686,77.793,78.726,79.171,80.732,81.722,81.412,80.328,80.299,79.526,78.512,79.211,79.409,79.415,81.131,81.213,79.246,80.811,81.454,81.466,82.136,83.622,86.208,86.78,88.107,88.777,88.906,89.468,90.609,92.074,92.475,91.766,91.926,91.889,91.353,91.436,91.405,92.097,91.959,91.8,92.273,93.266,93.515,93.821,94.887,94.892,93.998,93.644,94.622,94.327,95.669,97.208,97.745,99.465,101.631,101.19
"26","18","  Tobacco products","PS213",12.915,13.111,13.508,13.507,13.508,13.507,13.506,13.586,13.626,13.854,14.336,14.335,14.337,14.625,15.165,15.167,15.166,15.166,15.165,15.167,15.285,15.283,15.284,15.285,15.636,15.958,15.995,15.996,15.995,16.854,17.495,18.363,19.156,19.194,19.194,19.656,20.38,20.735,20.734,21.492,22.255,22.474,23.007,24.084,24.296,24.895,26.29,25.898,27.178,27.611,28.006,28.453,30.174,31.347,31.828,32.084,32.561,34.497,34.661,35.364,37.636,39.176,40.516,47.306,45.575,45.601,48.783,49.302,51.32,52.101,54.18,53.954,56.42,56.928,59.103,59.161,61.576,61.951,64.791,64.839,63.339,63.395,66.379,67.252,70.642,70.484,74.121,75.479,78.789,80.074,83.245,85.309,88.893,90.86,93.743,95.621,99.07,102.259,106.044,108.406,111.475,116.268,114.494,116.238,121.34,122.124,99.472,91.801,94.688,94.743,94.612,94.821,95.373,97.59,98.338,98.337,98.13,100.047,100.998,100.8
"27","19","  Textile mill products","PS223",43.58,43.559,43.509,43.824,44.077,44.315,44.766,45.003,45.174,45.291,45.567,45.644,45.666,45.553,45.29,44.962,44.777,45,45.229,45.139,45.5,45.907,46.476,47.313,49.302,51.516,52.994,54.007,54.594,54.577,54.369,51.96,50.986,50.984,51.63,54.934,56.768,58.487,59.558,60.695,61.794,63.051,63.473,63.406,64.255,65.512,67.075,68.288,68.577,69.82,71.853,73.337,76.185,77.922,78.99,80.896,82.609,84.179,85.441,85.387,85.254,85.08,84.334,83.946,83.303,83.824,84.914,86.029,86.745,87.037,87.263,86.937,86.738,86.722,86.686,86.881,87.017,87.26,87.446,87.637,86.807,87.556,88.819,89.901,91.08,91.754,92.232,92.436,93.076,93.845,94.639,95.135,95.39,95.254,95.027,95.125,95.387,95.62,95.913,96.093,96.355,96.502,96.384,96.323,95.983,95.945,96.091,95.993,95.527,95.697,96.075,96.503,97.66,98.84,99.246,99.449,99.642,99.906,100.124,100.33
"28","20","  Apparel products","PS233",39.439,39.499,39.859,40.152,40.567,40.993,41.506,41.993,42.418,42.645,43.289,43.58,43.905,44.2,44.55,44.88,45.269,45.435,46.075,46.14,46.013,46.141,46.466,46.823,47.207,47.792,48.152,49.247,50.289,51.699,53.136,53.747,53.751,53.297,53.427,54.202,55.3,55.984,56.922,57.539,58.661,59.116,59.972,60.623,61.108,61.614,62.424,63.182,64.13,64.989,65.957,66.842,68.319,69.97,71.715,72.856,74.304,75.876,77.066,78.405,79.411,79.837,79.868,79.892,79.995,80.479,81.192,81.471,81.967,82.245,82.533,82.864,83.286,83.612,83.934,84.386,84.789,84.884,84.99,85.228,84.714,85.191,85.826,86.339,87.205,87.782,88.339,88.979,89.611,90.118,90.952,91.519,92.224,92.715,93.313,93.885,94.362,94.975,95.359,95.74,96.23,96.275,96.711,97.098,97.25,97.456,97.586,97.569,97.65,97.721,97.853,97.924,98.248,98.391,98.596,98.678,99.193,99.758,100.373,100.673
