"","Table 4AU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","52","  Durable goods","STMDF0",38406,39537,40181,40077,39363,38995,39576,40357,40873,42536,42774,43034,43464,44509,45867,47203,47657,46702,46442,46174,46929,47812,47880,47219,47182,47897,47874,47560,47201,46530,47664,49666,50499,50274,49496,48554,48211,49214,50563,51989,51906,52062,51692,52501,53086,53557,53579,54708,56421,57138,57008,56826,57685,58405,57853,58458,58683,59157,60783,61528,61774,62145,62733,59791,57927,58291,58166,58558,58831,60510,62462,63772,63898,64235,62897,61988,61627,61532,61350,61505,61453,61098,61123,62007,62363,62432,63646,65344,65765,66515,67395,66943,68147,68814,68783,69056,67917,67383,67685,68134,68296,68736,69959,68551,68528,68961,68619,69059,70157,70805,70070,71723,73625,75471,76832,78401,79151,79171,80635,80653,81108,84262,85210,86483
"12","53","    Lumber and wood products","ST24F0",4182,4337,4304,4194,3860,3833,3773,3992,3887,4144,4271,4399,4343,4478,5017,5225,4863,4731,4733,4409,4665,4762,4354,4263,4035,4085,3971,4183,4047,4433,4640,4479,4125,4159,4220,4019,4138,4224,4428,4514,4750,4350,4292,4402,4372,4297,4065,4364,4571,4666,4482,4488,4512,4167,4473,4649,4428,4797,4738,4387,3942,3944,4149,4159,4536,4542,4429,4465,4778,4677,4575,4866,4627,4779,4790,4920,5422,5137,5064,5015,5028,5061,5006,4824,4944,4896,4915,4912,4558,4791,4747,4537,4661,4816,5235,4864,4559,4471,4405,4318,4278,4205,4093,4137,4467,4189,4098,4218,4510,4502,4344,4461,4540,4457,4710,4733,4603,4870,4984,4838,4687,4751,4935,5003
"13","54","    Furniture and fixtures","ST25F0",1132,1150,1161,1175,1171,1161,1137,1174,1221,1244,1326,1319,1332,1358,1412,1415,1437,1449,1461,1483,1489,1564,1561,1588,1594,1551,1563,1588,1641,1645,1765,1740,1685,1571,1551,1601,1633,1698,1662,1738,1705,1855,1812,1722,1775,1793,1891,1858,1885,1860,1808,1882,1920,1996,1980,1933,1891,1888,1959,2006,1995,1960,1881,1897,1912,1989,2060,2075,2155,2184,2277,2254,2263,2222,2193,2285,2190,2293,2249,2360,2394,2435,2463,2470,2607,2568,2611,2500,2528,2494,2545,2509,2521,2597,2501,2633,2482,2455,2463,2538,2471,2562,2595,2566,2617,2621,2753,2709,2825,2740,2681,2802,2863,2916,2910,2840,2667,2769,2769,2843,2889,2933,2841,2827
"14","55","    Stone, clay, and glass products","ST32F0",4266,4306,4237,4134,3763,3730,3796,4124,4611,4585,4511,4286,4520,4606,4621,4488,4597,4560,4496,4533,4474,4501,4629,4660,4664,4853,4766,4766,4783,5034,5089,4986,5089,4819,4811,5051,4482,4806,4989,5178,4700,4835,4799,4841,5231,5113,5202,5314,5371,5574,5630,5588,5883,5890,5593,5596,5606,5467,5728,5540,5393,5375,5348,5260,5256,5205,5330,5485,5587,5827,5977,6102,6327,6355,6110,6090,6039,6155,6076,6215,6377,6382,6347,6259,6094,6100,6346,6507,6535,6726,6808,6652,6668,6647,6853,6987,6823,6755,6566,6619,6603,6774,6798,6687,6737,6568,6458,6494,6462,6212,6293,6403,6476,6767,6920,6789,6767,6692,6775,6972,7071,7383,7093,7006
"15","56","    Primary metals","ST33F0",9397,9769,9942,9862,10107,9433,9131,9164,9122,9476,9802,9758,9732,10199,10340,10661,11726,10898,10338,10410,10711,11115,11462,11028,10304,10037,9570,8956,8414,7706,7843,8600,9585,10085,9738,9895,10031,10090,10724,10721,10502,10667,10693,10704,10443,10688,10559,10499,10083,10350,10175,10347,10341,10043,9892,10219,10533,10817,11493,11770,11657,10953,10875,10360,9956,10354,9871,9316,9695,9813,9980,9987,9541,9462,9539,9459,9219,9232,8251,8314,7704,7731,8051,7842,8074,7720,7992,8226,8395,8907,8898,9011,9141,9398,9529,9560,9489,9302,9166,9332,9418,9157,9708,9225,9081,9431,9512,9676,9705,9442,9348,9388,9620,9931,9798,9758,10059,9810,9905,9979,9698,9757,9883,10258
"16","57","    Fabricated metals","ST34F0",6217,6432,6673,6700,6629,6740,6854,7092,6828,7380,6999,7137,6784,6719,6827,7104,7158,7043,7297,6957,7305,7451,6687,7097,7026,7332,7199,7103,7218,7283,7661,7744,7991,8215,8280,8053,7934,8009,7932,8245,8294,7988,8182,8466,8310,8470,8521,8730,9091,8982,9064,9154,9309,9165,9171,9324,9104,9251,9476,9384,9386,9735,9869,9031,8817,8887,8884,9170,9209,9161,9273,9662,9706,9611,9331,9602,9528,9360,9656,9650,9684,9549,9705,9483,9503,9499,9891,9841,9910,10137,10401,10202,10479,10335,10449,10242,10416,10214,10026,10587,10654,10671,10988,10735,10769,10872,10976,10585,10742,10825,10959,10873,11447,11516,11594,11458,11531,11513,12047,12320,12295,12623,12484,12660
"17","58","    Industrial machinery","ST35F0",5915,6155,6254,6304,6115,6243,6355,6272,6409,6706,6856,6943,7380,7594,7953,8422,8337,8043,8043,8006,7947,7821,8006,8056,8286,8468,8457,8534,8231,8149,8529,9122,9207,9132,8873,8436,8359,8359,8501,8730,8727,8736,8465,8822,8927,9033,9006,9518,9989,10311,10499,10279,10425,11068,11080,11096,11281,11268,11470,11806,12311,12510,12472,11822,11157,11128,11146,10993,10599,10869,11229,11602,11644,11821,11169,10699,10891,10432,10541,10441,10284,10006,9781,10379,10421,10638,10795,11227,11072,11089,11271,11269,11626,11916,11468,11335,11421,11250,11810,11404,11232,11522,11633,11683,11274,11442,11592,12067,12565,12370,12742,13447,13790,14589,14997,15758,16339,16164,16706,16321,16491,17269,17370,17510
"18","59","    Electronic machinery","ST36F0",2508,2549,2526,2521,2452,2416,2456,2518,2604,2681,2662,2675,2793,2861,3093,3156,3022,3016,2976,2940,2985,3160,3197,3164,3220,3336,3445,3445,3528,3447,3429,3530,3467,3258,3088,2948,2973,3184,3382,3486,3649,3737,3659,3749,3876,4103,4125,4006,3901,3728,3883,4179,4408,4503,4283,4231,4327,4369,4554,4596,4595,4615,4737,4533,4300,4376,4468,4617,4721,4962,5200,5410,5452,5568,5363,5133,5086,5287,5407,5359,5554,5366,5473,5605,5595,5516,5462,5625,5532,5495,5618,5839,5903,5948,6014,5888,5702,5568,5535,5459,5743,5908,5887,5603,5617,5752,5616,5911,5929,6057,6342,6508,6933,7240,7611,7752,7464,7448,7499,7645,7682,8229,8500,8392
"19","60","    Transportation","ST37F0",4487,4607,4829,4824,4742,4742,5276,5327,5269,5522,5286,5422,4983,5004,4771,4937,4928,4965,5082,5127,5514,5656,6099,5185,5233,5504,6019,5780,6129,5508,5404,5758,6065,6143,6105,5942,5919,6162,6164,6588,6340,6476,6579,6439,6712,6341,6396,6607,7826,8183,7944,7300,7393,7504,7573,7622,7423,7381,7444,7798,7754,7783,8130,7997,7788,7594,7325,7831,7345,7873,8304,8072,8242,8113,8440,8158,7800,7925,7900,8108,8374,8737,8675,9048,9297,9516,9554,9570,10079,9941,10079,9689,9304,9377,9228,10572,9998,10407,10235,10470,10261,9835,10309,9850,9733,9779,9404,8854,8872,10030,8245,8854,8953,8605,8585,9020,9356,9322,9069,8900,9712,10577,10893,10871
"20","61","      Motor vehicles","ST371F0",2052,1887,2169,2310,2333,2403,2626,2486,2368,2326,2224,2324,2211,2072,2130,2197,2117,2264,2276,2299,2365,2391,2408,2254,2259,2460,2692,2406,2635,2208,2166,2341,2435,2499,2394,2214,2188,2297,2533,2848,2785,2910,3039,2928,3030,2845,2720,2882,3385,3487,3302,3005,2899,2886,2687,2633,2499,2447,2467,2408,2299,2311,2434,2417,2417,2363,2354,2598,2559,2778,3002,2954,2999,3006,3211,3064,2943,2940,2892,3022,3095,3209,3225,3323,3458,3366,3259,3475,3628,3757,3996,3702,3574,3671,3610,3700,3675,3603,3672,3676,3459,3313,3692,3456,3477,3146,3214,3278,3286,3334,3399,3515,3502,3359,3387,3479,3807,3755,3625,3531,3877,3843,3634,3729
"21","62","      Other","ST37XF0",2093,2469,2309,2101,1974,1873,2154,2413,2517,2859,2739,2749,2422,2637,2300,2390,2491,2326,2439,2456,2797,2919,3386,2587,2635,2655,2903,3033,3103,3005,2950,3099,3308,3306,3410,3481,3488,3601,3286,3318,3133,3110,3047,3047,3205,3051,3282,3291,3937,4188,4179,3881,4124,4261,4599,4722,4684,4706,4748,5205,5292,5306,5519,5403,5192,5054,4795,5039,4595,4887,5077,4895,5018,4880,4985,4862,4634,4764,4792,4858,5048,5288,5207,5476,5577,5904,6061,5836,6184,5899,5772,5706,5458,5422,5339,6612,6050,6548,6300,6534,6560,6290,6356,6149,6011,6413,5963,5345,5353,6454,4613,5095,5205,5011,4962,5295,5285,5306,5192,5122,5521,6432,7089,6850
"22","63","    Instruments","ST38F0",1720,1778,1822,1812,1868,1826,1821,1860,1917,1946,1947,1971,2027,2070,2061,1987,2050,2063,2075,2171,2144,2112,2083,2056,2052,2072,2109,2118,2235,2341,2350,2363,2278,2174,2312,2261,2264,2263,2290,2367,2364,2395,2398,2439,2468,2505,2538,2524,2628,2668,2605,2578,2592,2613,2568,2641,2704,2713,2719,2711,2624,2755,2808,2693,2585,2616,2723,2763,2974,3068,3200,3221,3285,3331,3365,3409,3347,3477,3508,3457,3329,3370,3361,3388,3299,3352,3443,3848,4109,4178,4218,4054,4310,4231,4282,4155,4149,4272,4319,4419,4473,4569,4598,4661,4845,4700,4668,4590,4527,4619,4609,4497,4567,4787,4909,5157,5208,5294,5473,5419,5474,5687,5807,5902
"23","64","    Other manufacturing","ST39F0",1438,1396,1459,1471,1387,1451,1573,1677,1757,1773,2009,1942,1916,2005,2070,2177,2229,2467,2374,2381,2263,2496,2497,2588,2872,2679,2592,2667,2509,2431,2457,2732,2532,2452,2329,2445,2374,2484,2565,2605,2802,2880,2845,2754,2844,2814,2889,2958,2978,2850,2739,2626,2467,2630,2504,2512,2486,2406,2519,2710,2980,3125,3117,2724,2738,2750,2794,2757,2865,3061,3275,3318,3369,3336,3305,3315,3146,3241,3308,3422,3567,3584,3488,3442,3403,3363,3576,3643,3652,3590,3570,3684,3823,3830,3826,3748,3620,3430,3515,3738,3780,3844,3875,3764,3830,4023,3947,4008,4031,3969,4052,3948,3757,3702,3595,3634,3749,3851,3912,3997,3995,3952,3894,4070
"24","65","  Nondurable goods","STMNF0",56325,56638,57234,58331,59044,60075,61319,62157,62876,63137,64185,64555,65194,66978,66971,66133,67177,67590,67305,67332,66464,67462,67893,66727,65315,65228,62243,62924,64178,66025,66311,69160,69443,68120,68175,69447,70524,72012,72848,72491,72015,73162,74624,75371,74660,74983,75533,75788,74224,74135,73650,73898,75631,76672,74768,72998,75054,76869,77209,77614,77990,73114,74218,74952,73175,73234,75568,75647,77451,80841,82961,81722,81393,81142,81453,82441,82887,83530,82488,83422,83660,82399,82918,84909,85230,85990,86257,88193,88767,91684,93288,92417,93817,94935,96063,96185,97211,95708,95022,96608,96586,96322,98938,99317,99834,100125,99944,98201,98692,98688,98919,99756,101321,102490,103155,103177,104139,103074,103504,104861,105612,106991,107207,109077
"25","66","    Food and kindred products","ST20F0",16249,16369,16462,17094,17175,17489,18147,18086,17935,18117,18503,18158,18614,19030,18141,17931,18392,18952,18571,18575,18006,18564,19054,18092,17244,17310,15639,17251,18639,19873,19046,18771,18483,18074,18637,19505,19927,20640,20584,20011,19784,19960,20285,20261,19995,19989,20191,20419,20797,21307,20783,20337,20478,20263,20388,20032,20580,21077,20964,20836,20387,19170,20293,20383,19882,19698,19629,19600,20111,20371,20170,19894,20149,19903,20426,20440,20225,20063,19722,20114,20257,20444,20142,20364,20223,20203,19491,20833,20783,21695,22414,22496,22490,22615,23374,23208,23210,22523,22532,23063,23051,23401,23970,23902,23746,23733,23276,22878,22919,23113,23675,23758,24164,23946,24115,24410,24403,24267,24499,25074,24695,25090,24879,25813
"26","67","    Tobacco products","ST21F0",990,1002,1030,1022,1022,1046,1046,1058,1087,1040,1013,1028,906,902,928,968,996,989,1000,1004,1004,1022,1043,1094,979,985,968,1034,1123,1130,1108,1057,1057,1074,1140,1135,1140,1148,1178,1184,1164,1135,1109,1134,1079,1078,1086,1114,1138,1138,1230,1119,1108,1076,1019,1046,1082,1111,1146,1158,1187,1193,1117,1131,989,1194,1291,1188,1177,1149,1138,1150,1285,1119,1161,1178,1250,1187,1409,1150,1188,1156,1114,1173,1232,1253,1284,1283,1253,1377,1320,1249,1481,1502,1616,1572,1670,1700,1693,1500,1566,1365,1377,1617,1796,1908,1680,1359,1197,1274,1170,1280,1087,955,1147,1083,992,1000,1062,1048,1019,1030,1030,1123
"27","68","    Textile mill products","ST22F0",2904,2983,2990,2942,3073,3135,3155,3253,3356,3329,3410,3432,3483,3575,3646,3651,3642,3511,3390,3399,3254,3357,3279,3248,3051,2967,2904,2831,2817,2883,3045,3295,3184,3067,2948,2879,2913,3013,3046,3049,3111,3138,3234,3277,3312,3324,3372,3296,3299,3208,3115,3116,3162,3150,3079,3038,3044,2986,2969,3077,3034,2931,2860,2857,2901,3038,3125,3232,3310,3502,3608,3518,3488,3395,3495,3487,3437,3442,3524,3470,3656,3641,3629,3661,3619,3711,3664,3773,3664,3731,3757,3752,3833,3829,3877,3817,3650,3614,3729,3660,3693,3748,3920,3881,4076,4142,4202,4344,4490,4435,4319,4348,4385,4409,4374,4429,4371,4273,4321,4282,4242,4382,4391,4368
"28","69","    Apparel products","ST23F0",2983,2849,2979,2944,2979,3039,2955,3150,3220,3220,3323,3248,2977,3209,3436,3347,3558,3536,3436,3349,3584,3443,3476,3600,3884,3813,3777,3572,3320,3158,3257,3617,3560,3336,3350,3279,3376,3560,3580,3595,3433,3558,3561,3751,3741,3946,4171,4099,4305,4270,3906,3705,3730,3751,3785,3750,3840,3764,3728,4018,4043,3828,3845,3828,3641,3696,3862,4180,4308,4855,5126,4998,4865,4982,4754,5081,5435,5342,5347,4983,5027,4733,4836,5076,5251,5521,5543,5127,4628,4487,4597,5004,5170,5255,5223,4991,4830,4735,4526,4818,4943,4990,4993,5107,5342,5527,5674,5315,5332,5328,5355,5578,5889,5895,5872,5636,5676,5439,5437,5471,5433,5749,5920,5915
"29","70","    Paper and allied products","ST26F0",2773,2812,2908,2884,2900,3017,2997,2989,2927,2862,2873,3035,3161,3245,3329,3431,3544,3460,3513,3588,3509,3531,3527,3517,3460,3569,3385,3458,3478,3470,3561,3794,3911,3804,3879,3762,3715,3904,4084,4120,4103,4056,4252,4307,4389,4487,4541,4347,4208,4300,4109,4286,4429,4514,4511,4509,4476,4442,4504,4781,5080,5119,5194,4980,4987,4983,4935,4936,4916,4998,5332,5475,5779,5672,5695,5658,5477,5719,5697,5680,5891,5845,5755,5820,5627,5592,5683,5997,5944,6247,6507,6534,6588,6650,6779,6783,7136,7047,6963,7219,7325,7398,7552,7385,7369,7292,7293,7382,7395,7513,7229,6954,6926,7139,7305,7588,8070,7952,8061,7822,8038,7945,8089,8213
"30","71","    Printing and publishing","ST27F0",2540,2716,2828,2851,2856,2800,2814,2833,2896,2824,2959,3044,2987,2874,2961,2664,2613,2650,2983,2725,2817,2773,2797,2869,2734,3014,2995,2933,2933,2832,2787,2907,3093,3156,3187,3344,3211,3151,3321,3332,3385,3291,3194,3158,3081,3161,3103,3191,3259,3384,3343,3294,3331,3314,3264,3208,3193,3231,3310,3358,3413,3332,3331,3307,3297,3379,3386,3522,3606,3805,3758,3861,3715,3853,3956,4169,4198,4263,4417,4329,4431,4426,4444,4556,4596,4813,4826,4821,5030,5134,5326,5347,5390,5462,5521,5509,5623,5639,5493,5538,5505,5351,5710,5552,5387,5439,5567,5528,5561,5414,5536,5533,5969,5913,5599,5602,5424,5457,5359,5690,5867,6061,5954,6028
"31","72","    Chemical and allied products","ST28F0",14120,14180,14406,14618,14726,14748,15140,15505,16240,16508,16709,16991,17239,18091,18544,18284,18221,18304,18294,18544,18366,18797,18667,18637,18183,17893,17491,16778,16654,16806,17111,18864,19101,19012,18481,18973,19685,20338,20914,20564,20096,20407,21127,21504,21811,21593,21554,21543,20081,19587,19881,20463,20680,21614,20430,20130,20478,21514,21916,22414,22640,21446,20904,20709,20302,20900,21352,21277,22164,23196,24705,24032,23066,23734,24383,23982,24613,24220,23345,24485,23635,23161,23652,24473,24643,24556,25498,26109,27039,28066,28171,27426,27351,28028,28261,28699,29419,28904,28829,29286,29363,28799,29884,30117,30162,30141,30401,29836,30073,30083,29651,29861,29986,31170,31986,31302,31532,31296,31610,32193,32128,32398,32589,33650
"32","73","    Petroleum products","ST29F0",9319,9720,9826,10102,10391,10564,10773,10580,9805,9723,9712,10355,10684,10986,10448,10119,10608,10592,11010,10967,10297,9970,9908,9445,9192,9240,8795,8411,8569,9449,10303,10677,11347,10766,10319,10350,10556,10462,10657,10558,10569,11327,11500,11518,10513,10204,10108,10452,9012,8903,9557,10452,11563,12183,11582,10718,11688,12197,11959,11335,11664,9398,10199,11315,10628,9710,11413,11060,11319,11939,12119,11718,11812,11357,9987,10839,10255,11893,11471,12031,11967,11448,11884,12657,13092,13402,12839,12471,12712,13353,13208,11964,13431,12956,12452,12614,12906,12658,12562,12864,12482,12491,12391,12321,12466,12248,11917,11919,11895,11526,11819,12457,12586,12977,12606,12841,13213,13126,12560,12388,12993,13007,13212,12957
"33","74","    Rubber and plastic products","ST30F0",3793,3677,3471,3686,3727,3915,4064,4199,4275,4337,4447,4500,4698,4646,4775,4771,4715,4799,4768,4895,4923,5110,5207,5179,5231,5210,5167,4989,4962,4980,5027,5235,5248,5381,5467,5462,5381,5028,4862,5307,5598,5772,5929,5912,5921,6056,6057,6166,6163,6104,6247,6049,5974,5742,5572,5521,5546,5669,5846,5748,5728,5715,5439,5466,5487,5437,5517,5430,5394,5805,5904,5900,6048,5960,6259,6184,6260,6368,6127,6247,6383,6228,6430,6297,6262,6293,6565,6717,7041,7101,7243,7184,7122,7403,7491,7711,7721,7848,7723,7725,7492,7524,7713,8012,8033,8124,8237,8118,8233,8233,8473,8526,8692,8713,8759,8854,9112,8992,9086,9253,9490,9639,9473,9480
"34","75","    Leather and leather products","ST31F0",981,940,968,1005,1036,1076,1129,1082,1202,1243,1114,1164,1147,1167,1117,1134,1118,1082,1110,1110,1098,1082,1017,935,1087,1050,1079,1060,1013,1000,1037,1163,1112,1033,1042,1022,975,998,973,1047,1001,986,966,1052,1042,1117,1150,1107,1099,1001,1010,1029,1188,1256,1129,1024,1090,1001,1089,1123,1046,1149,1165,1092,1144,1200,1163,1173,1159,1207,1235,1210,1098,1148,1200,1232,1345,1225,1202,1165,1156,1101,1036,1101,1170,1115,1209,1161,1052,1064,1065,1105,1034,1092,1088,1056,1008,940,905,919,953,988,985,975,977,902,865,787,812,841,837,869,867,865,862,886,939,915,935,934,888,937,936,961
