"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"11","3","  Durable goods manufacturing industries","KS30D0",295842,300358,304482,309540,318231,323085,325850,328431,330172,329089,332245,335992,335461,338305,339595,343403,339181,335451,328837,320470,317328,315782,315796,316572,317044,314066,309822,310870,309884,311671,312711,315131,322522,324787,328432,332939,335610,338548,343151,345628,348993,350064,352074,358271,357453,350535,349199,353092,348006,338836,330700,329033,331289,335552,341017,345863,352283,357868,361011,366208,370371,374289,379637,380478,382007,384248,388220,391808,395703,400669,404790,410473
"12","4","    Wood product manufacturing","KS3210",9827,9828,10359,10413,10284,10484,10861,10989,11073,11171,11239,11747,11873,11975,11838,11950,11645,12053,11932,11343,11780,11847,12004,11850,12097,11713,11388,11713,12161,12281,12673,12531,13446,13218,13014,13365,13120,13535,13478,13298,13094,12972,12728,12567,11662,11567,11534,10963,10234,9603,9338,8999,9280,9506,9603,9541,9596,9464,9657,9863,9759,9912,10074,10118,10412,10527,10570,10828,11044,11175,11054,11313
"13","5","    Nonmetallic mineral product manufacturing","KS3270",13582,13777,13627,13694,13750,13661,13675,13635,13451,13436,13783,13981,13796,13908,13948,14169,14012,13890,13766,13487,13325,13433,13573,13810,14047,14182,14045,13640,13670,13647,13759,14003,14021,14126,14040,14114,14189,14311,14617,14712,14759,14831,14937,15111,15001,14778,14576,14567,14168,13636,13061,12571,12500,12398,12506,12552,12467,12614,12636,12836,12823,12801,12843,12796,12736,12829,12945,13016,13121,13294,13113,13215
"14","6","    Primary metal manufacturing","KS3310",29908,30039,30377,30930,31018,31826,32906,33027,32605,32904,32893,33422,33133,33025,32913,32597,31822,30666,30127,29550,28780,29030,29357,29782,29702,28743,27710,27247,27624,28168,29177,30415,32032,32532,32234,32246,32452,32557,33422,33697,33858,33634,33467,33831,33806,33478,33471,32391,30303,27711,26510,25797,26224,27311,27268,27732,28531,29480,29961,30572,30702,30704,30917,31266,31351,30996,31425,31323,31668,32187,33037,34404
"15","7","    Fabricated metal product manufacturing","KS3320",40302,40882,40954,41715,41884,42813,42798,42899,43004,42885,43308,43891,43869,44699,44773,44965,44676,44505,44236,43330,43496,43628,43668,43739,45179,43920,42773,42913,42754,42681,42752,42778,43864,44596,44777,45364,45937,46028,46414,47195,47679,47402,47337,48045,47846,46796,46806,47476,47070,45220,43773,43044,42918,42826,43236,43576,43948,44833,45184,46065,45996,46519,46954,46834,47102,47177,47536,47887,48229,48591,49106,49961
"16","8","    Machinery manufacturing","KS3330",45171,46094,45865,46831,47698,47451,48492,48284,48266,47751,47707,48404,48554,49627,50461,51617,51189,49541,47961,46130,46179,45480,45468,46074,45019,44656,43968,43790,43456,43686,43623,43724,44511,45034,46161,46659,47169,47661,48848,49662,49592,49663,50312,50487,50968,49386,49330,50616,50133,48728,46887,45904,45282,45496,46771,48103,49418,50932,52033,53177,54959,56062,57407,56955,56452,56086,56589,56286,55683,56749,57377,57290
"17","9","    Computer and electronic product manufacturing","KS3340",36600,38188,40130,41287,42987,42999,41938,41605,43433,43887,44107,44827,45504,48242,49617,53652,53335,52676,49690,47220,46539,45549,45105,43937,44355,44298,44330,45530,45649,46762,47112,47710,48012,48496,49502,50602,50913,51024,51237,50867,51460,51304,51423,52114,53398,53570,54727,55879,55267,54687,54631,55541,55041,56189,56940,56822,58240,58996,59054,59444,60257,59641,60297,60253,60179,61074,61265,62027,62186,62846,62999,63106
"18","10","    Electrical equipment, appliance, and component manufacturing","KS3350",17041,17591,17793,17796,18091,17914,18163,18349,18104,18225,18366,18309,18312,18481,19195,19400,19281,18650,18218,18103,18077,18055,18042,17843,17728,17545,17174,17260,16930,17046,17133,16873,16971,16946,16921,16891,17129,17066,17087,17674,17817,17625,17553,18439,18442,18332,18202,18301,17790,17214,16751,16381,16123,16258,16694,16544,16647,16912,16932,17102,17347,17476,17584,17515,17730,17649,17486,17578,17536,17154,17471,17570
"19","11","    Transportation equipment manufacturing","KS3360",82295,82076,82335,83041,87756,91393,93159,96177,95474,93803,95507,95518,93675,90285,87612,84309,81790,82140,82877,82337,80548,80288,79855,81326,80392,80277,79545,78968,77977,77732,76892,77120,79805,79446,80478,81747,82558,84370,85382,85834,88083,90067,91719,94873,94387,91673,88794,90248,90259,89556,87728,89044,92026,93155,95166,97834,100196,101646,102479,104042,105925,108350,110732,112078,113579,115709,118082,120263,123284,125627,127197,129760
"20","12","      Motor vehicle and parts manufacturing","KS3MV0",27126,27068,27554,27048,27856,27640,27072,27783,28253,28033,28316,29611,29174,29545,29643,29330,27975,27940,27137,26343,25984,26902,27652,27744,27803,27788,28031,28434,28572,28522,28848,28540,29424,29548,28882,29334,29507,29714,29636,29961,29875,29376,29314,28968,28234,27124,26078,25495,25017,23355,23078,23457,24880,24785,24998,25200,25422,25936,26614,26909,27207,27411,27596,27800,26850,26999,27357,27016,27801,27970,28523,28997
"21","13","      Other transportation equipment manufacturing","KS3OT0",54969,54808,54567,55803,59713,63603,65966,68259,67083,65633,67051,65762,64354,60596,57837,54853,53689,54070,55614,55869,54440,53272,52095,53466,52475,52373,51411,50453,49336,49141,47988,48516,50316,49837,51521,52339,52974,54574,55664,55790,58121,60615,62334,65861,66122,64528,62699,64755,65247,66212,64656,65589,67145,68371,70168,72637,74785,75718,75862,77134,78723,80953,83157,84300,86767,88752,90767,93289,95527,97700,98718,100808
"22","14","    Furniture and related product manufacturing","KS3370",8342,8500,8476,8561,8569,8656,8665,8686,8737,8750,8785,9075,9218,9309,9463,9393,9686,9299,9128,8886,8855,8922,9278,9386,9363,9195,8842,8951,8816,8979,9090,9231,9222,9286,9412,9578,9617,9598,9660,9601,9527,9533,9473,9470,9286,9072,8976,8773,8611,8249,8039,7904,7818,7903,7918,7869,7870,7750,7720,7662,7577,7685,7688,7739,7590,7549,7499,7474,7552,7589,7619,7688
"23","15","    Miscellaneous durable goods manufacturing","KS3390",17172,17041,17048,17431,17779,17805,18082,17950,18137,18196,18531,18752,19061,19310,19890,19911,20172,20288,20047,19794,19606,19822,19981,19869,20200,20249,20390,20818,20816,20523,20414,20675,20669,21156,21817,22213,22382,22302,22939,23067,23072,23035,23186,23391,22714,21898,22762,23982,24293,24309,24058,23952,24187,24594,25031,25404,25486,25251,25337,25393,25003,25110,25146,24932,24906,24782,24969,25332,25620,25711,26014,26322
"24","16","  Nondurable goods manufacturing industries","KS30N0",227840,230344,232369,235408,236170,235844,234967,234558,236884,239929,241697,245537,244991,246612,247134,246530,244696,242553,242031,241198,239108,240398,244249,244550,244023,244277,243362,241401,241773,242054,242040,243557,247580,246501,245538,248383,251530,253712,254290,254664,253491,257677,259573,259589,264990,265478,259958,247124,246324,244997,243269,244921,245191,242364,245785,250427,249034,252752,249397,252218,251520,250709,252580,249635,248453,248037,247447,246569,245933,248011,247127,243954
"25","17","    Food manufacturing","KS3110",43373,43884,44058,44505,44560,44355,44051,44041,44432,44685,45288,45878,46738,46511,46555,46546,45806,45667,45616,45942,45565,46844,47191,47180,47652,47204,46541,46317,45711,44855,45598,45291,45567,46063,46664,46875,47652,47516,46686,47122,46021,47405,47470,46567,46285,46235,45695,46891,47705,47731,47736,48457,47729,47759,48362,48000,46576,46686,46448,47598,47821,47681,46833,46950,45884,45750,45855,45172,44521,44496,45046,45287
"26","18","    Beverage and tobacco product manufacturing","KS3120",13910,14210,14492,14629,14870,14478,14224,14592,14366,14492,13929,14367,14402,14488,14452,14326,14447,14573,14783,15024,14851,15090,15120,15116,14732,14966,14948,14882,14653,14777,15200,14782,14725,14784,14817,15196,15068,14987,15097,15221,15130,15116,14915,14851,14815,14713,14763,14682,15203,15437,15754,15881,15729,15851,15626,15701,15797,15713,15764,15992,16226,16395,16456,16667,16637,16791,16945,16947,17113,17359,17721,17710
"27","19","    Textile mills","KS3130",7330,7327,7326,7297,7339,7325,7369,7368,7462,7508,7526,7564,7336,7268,7161,7072,6874,6897,6822,6601,6579,6405,6404,6353,6389,6482,6372,6202,6214,6148,6163,6135,6070,6095,6008,6067,6100,6027,6083,5913,5804,5809,5795,5760,5683,5403,5436,5388,5237,5041,4791,4743,4727,4721,4782,4867,4835,4870,4847,4815,4760,4709,4705,4673,4672,4689,4700,4738,4779,4745,4768,4811
"28","20","    Textile product mills","KS3140",3762,3892,3954,3978,3981,3889,3847,3753,3886,4004,4033,4106,4205,4340,4451,4546,4589,4723,4713,4735,4392,4214,4034,3719,3839,3855,3821,3854,3840,3831,3888,3848,3970,3949,3911,4058,3999,4055,4103,4078,3956,3982,3967,3988,3974,3871,3916,3883,3541,3344,3300,3299,3328,3430,3550,3605,3532,3502,3477,3452,3408,3400,3399,3445,3468,3455,3473,3488,3513,3491,3403,3422
"29","21","    Apparel manufacturing","KS3150",10340,10696,10844,10766,10854,10751,10779,10761,11053,11336,11533,11534,11346,11063,10996,11142,10753,10330,9568,9020,8980,8978,9054,9114,9397,9426,9216,9132,8914,8851,8889,8851,8960,8866,8826,8696,8624,8469,8342,8701,8607,8606,8527,8502,8411,8394,8283,8183,8038,7946,7811,7768,7714,7727,7752,7736,7694,7684,7717,7772,7785,7834,7911,7934,8006,8063,8116,8266,8399,8586,8670,8883
"30","22","    Leather and allied product manufacturing","KS3160",1943,2053,2037,2057,2082,2124,2112,2068,2036,2081,2093,2072,2038,2035,2038,1949,1953,1893,1868,1759,1615,1565,1596,1624,1627,1612,1572,1567,1547,1518,1516,1562,1599,1598,1623,1620,1588,1635,1705,1755,1760,1757,1737,1719,1693,1853,1780,1720,1765,1718,1679,1642,1622,1618,1653,1696,1730,1740,1748,1771,1769,1810,1831,1865,1862,1832,1816,1799,1794,1799,1809,1821
"31","23","    Paper manufacturing","KS3220",19474,18963,19250,19647,19456,19502,19393,19042,19379,19658,20217,20196,20161,20099,19886,19477,19120,19088,19194,19408,19747,20145,20500,20883,20387,20472,20324,20033,19960,20000,20064,20129,20304,20350,20091,20099,20209,20080,20145,20167,20151,20132,20095,20259,20161,20200,19877,19600,19292,19045,18972,18446,18249,18466,18395,18377,18397,18269,18463,18402,18326,18282,18057,17959,17863,17789,17650,17507,17563,17542,17713,17780
"32","24","    Printing and related support activities","KS3230",7148,7284,7178,7396,7074,6984,7136,6783,7020,7205,7218,7488,7478,7191,7178,7126,7182,7020,6880,6812,7006,7434,7179,7292,7159,6924,6925,6942,6834,6909,7039,6973,6924,6995,6995,6944,6819,6980,7100,7055,7072,7216,7328,7544,7530,7217,6814,6793,6439,6310,6378,6265,6221,6261,6190,6314,6360,6241,6244,6107,6139,6178,6096,6041,5981,6023,6072,6152,6275,6407,6473,6514
"33","25","    Petroleum and coal product manufacturing","KS3240",29255,29418,30034,30428,30153,30370,29496,29027,28943,28204,29098,29168,28959,30076,29366,29079,29867,30193,30207,30581,29732,30183,30496,29453,29577,30125,30478,29426,30466,31039,30030,30538,32158,30337,30958,31669,32018,33781,33357,32771,32675,34240,35393,36243,41476,44569,43147,32576,32186,34306,33364,36214,36496,32777,34245,36147,36668,38717,35941,36835,37060,36881,38946,36493,35733,35762,35744,35715,34897,36843,35050,31086
"34","26","    Chemical manufacturing","KS3250",69971,70942,71732,73166,74125,74321,74306,74617,75229,76902,76816,78893,78508,79757,81211,81360,80753,79609,79685,79001,78623,78379,80792,80437,79776,79540,80247,80139,81092,81853,80616,82573,83935,84250,82934,84053,85690,85798,87157,87563,87652,88526,89170,88637,87734,84945,83744,83550,83899,81693,81493,80166,80965,82056,83159,85284,84618,85219,85623,86119,84714,84113,84367,84330,85350,84994,84112,83798,84580,84067,84191,84813
"35","27","    Plastics and rubber product manufacturing","KS3260",21137,21429,21428,21597,21742,22082,22127,22338,22610,22824,23247,23520,23043,23450,23431,23512,23305,22653,22872,22673,22111,21283,22197,23337,23489,23793,23309,23079,23110,23073,23422,23451,24108,23883,23351,23715,24439,24819,24998,24940,25259,25292,25347,25391,25509,25136,24867,23889,23104,22762,22455,22071,22376,22437,22636,22985,22939,23494,23526,23488,23495,23462,23508,23495,23534,23416,23472,23516,23403,23057,23114,22929
"36","28","Merchant wholesale industries","KS42W0",289364,298501,303097,310605,318804,322800,330720,334574,340735,342100,347674,354828,358794,364642,367375,372950,372015,371247,366591,363084,362188,363220,364379,364202,363277,362247,362436,366551,370238,374410,381836,388568,396552,401511,404428,410387,414275,421237,427454,428261,430026,432420,435923,438204,436021,439718,443933,444086,431296,413634,397564,397987,398003,401110,413346,418633,418702,426197,423966,431127,433907,438678,445814,447818,452994,453518,460681,470002,478996,484546,492327,503368
"37","29","  Durable goods merchant wholesale industries","KS42WD0",164544,171026,173106,176975,183014,185418,190884,193720,197758,200168,202799,207820,210279,215591,216974,219656,218592,213225,208630,204252,202165,202122,203744,201803,203464,203345,202210,204796,209103,214231,220809,225111,230776,235458,237121,242428,244953,250988,255768,257469,259463,258364,258146,260148,262013,262662,267933,266655,252464,238906,227637,222156,224132,224927,230439,235031,237630,244249,248261,252196,256552,262222,266430,268880,273415,274237,279421,283957,289932,296748,301890,305780
"38","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",21461,22499,22960,22711,23824,22858,23508,23514,24053,24739,25825,26378,27250,28014,27209,27701,27213,26562,26582,26505,26562,27499,28424,28683,28822,29687,28943,30200,30521,30303,32078,32090,32453,34935,34896,35949,37094,38048,37796,37687,39111,38965,39159,38989,39433,40759,42045,42934,37508,34792,33714,33573,34552,33705,34416,36062,38100,39655,41343,42039,41525,43005,43181,42573,42809,43397,43175,44156,46836,47604,49080,48857
"39","31","    Furniture and home furnishings wholesalers","KS42120",5776,6009,6122,6169,6130,6409,6486,6547,6699,6817,6835,6974,7040,7373,7405,7647,7711,7379,7336,7135,7076,7315,7519,7570,7672,7815,7751,7999,8163,8141,8257,8324,8443,8370,8626,8808,8673,9016,9110,9225,9307,9222,9210,9171,9171,8811,8520,8405,7720,7089,6703,6505,6387,6699,7041,7112,7021,6982,6797,6847,6952,6865,6949,6954,7027,7130,7424,7377,7400,7449,7639,7646
"40","32","    Lumber and other construction materials wholesalers","KS42130",6339,6554,6698,6939,6848,6842,6640,6767,6799,6946,6992,7233,7370,7555,7464,7774,7679,7157,7518,7706,7667,7684,7895,8019,8458,8589,8674,9355,9806,10417,10982,11374,12307,11809,11325,12051,12066,12468,12685,12313,11891,11455,11316,11503,10861,11191,11089,10361,9501,8538,8297,8171,8395,8505,8285,8502,8702,8596,8745,8608,8652,8859,9067,9236,9443,9326,9398,9831,9998,10204,10444,10350
"41","33","    Professional and commercial equipment wholesalers","KS42140",9618,10674,11280,11646,12538,12520,12810,13024,13791,14121,14287,15089,14941,14978,15544,15648,15373,15072,14680,14711,14300,14475,14490,14262,14586,14267,14592,14875,15285,15875,16270,16793,17015,17669,17838,18540,19250,19938,21094,21782,22260,22734,23219,23589,24119,24374,24939,24610,23423,22230,21723,22751,23289,24498,24745,25804,25732,26765,27923,27800,28410,29273,29940,30889,31795,32194,33115,33633,34611,34928,36643,37557
"42","34","      Computers and software wholesalers","KS42430",2188,2547,2773,2892,3206,3242,3337,3593,3821,4040,4091,4394,4233,4203,4467,4377,4386,4177,4131,4190,4167,4286,4343,4278,4577,4646,4661,5003,5141,5515,5552,5825,6109,6284,6548,6692,7054,7147,7685,7952,8016,8315,8677,8668,9078,9151,9547,9497,8981,8878,8888,10183,10673,11724,11964,12611,12213,13327,14294,13868,14184,14749,15092,15674,16388,17162,17685,17839,18557,19135,20199,20675
"43","35","      Other professional and commercial equipment wholesalers","KS424X0",10851,11191,11292,11480,11803,11549,11707,10943,11516,11254,11369,11724,12041,12216,12308,12790,12292,12419,11914,11805,11235,11206,11094,10916,10713,10114,10534,10221,10503,10567,11020,11201,10986,11518,11299,11929,12225,12895,13468,13886,14336,14478,14558,14967,15054,15239,15391,15107,14431,13331,12811,12562,12623,12807,12825,13252,13542,13535,13785,14030,14329,14653,14981,15372,15620,15368,15784,16128,16442,16279,16982,17427
"44","36","    Metal and mineral (except petroleum) wholesalers","KS42150",21730,22170,22189,22324,22929,23131,23915,24320,23954,24639,24330,24405,25241,25532,25276,24676,24109,23865,23409,22980,22883,22854,23540,22949,22695,22498,22169,22412,23876,23983,24905,26325,27188,27263,27245,26968,27172,28320,29328,29393,29134,28429,27689,27961,28771,29396,29248,29390,28952,26494,24070,22413,22813,22278,22728,23399,23359,23919,23730,24686,25391,25558,26499,26892,26804,26336,26611,26860,26999,28814,28868,29671
"45","37","    Electrical goods wholesalers","KS42160",19656,19617,19565,19697,20236,20910,21348,21668,21994,22445,23341,24756,25266,26404,27408,28399,28599,27586,25851,24065,23506,23268,23708,23083,23312,23552,23554,23296,24340,25383,25811,26383,27273,27818,28259,28745,29262,29989,31419,31792,32214,32881,33161,34379,34658,35351,36571,35552,32812,30770,29968,30286,30895,31669,32883,33117,32967,33745,34500,34903,35568,35897,35661,36680,36821,36862,37527,37790,37583,39195,39467,39703
"46","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",12151,12513,12585,12548,12943,13261,13242,13591,13682,13695,13638,13786,13902,14547,14607,14912,14613,14334,14378,13941,13894,14094,14305,14298,14933,14729,14619,14935,15161,15701,16304,16561,16898,17148,17240,17961,18396,18641,19000,19336,19487,19814,19784,19782,19132,18728,18853,17970,17229,16774,16060,15672,15501,15395,15956,16133,16519,16847,16742,16956,16957,17256,17152,17217,17387,17326,17181,17234,17695,18097,18517,19117
"47","39","    Machinery, equipment, and supplies wholesalers","KS42180",52925,55588,54653,57053,58530,60353,62701,64241,65337,65605,65868,66625,66449,67634,68112,67950,68468,67953,66415,64952,64498,63061,62392,61570,61049,59893,59233,58718,59493,61082,61864,63053,64417,65322,66620,67723,67666,69795,70702,71105,71521,71189,71337,72377,73260,71525,73566,73267,71852,69012,65789,62941,62294,63423,64918,65922,67598,69143,70613,71477,73484,76140,78251,78907,81297,81519,84027,86307,88707,89802,91098,92418
"48","40","    Miscellaneous durable goods wholesalers","KS42190",20971,20397,21113,22088,22436,23100,24636,24562,25194,24590,24589,24593,25140,26047,25833,26476,26416,24955,24243,23956,23708,23479,23021,22847,23181,23470,23619,23778,23264,24083,25049,24910,25542,25652,25657,26116,25631,24998,24687,24857,24582,23785,23457,22649,22713,22435,23236,24248,23519,23209,21279,19926,20065,19100,19821,19448,18428,19366,19060,19757,20363,20324,20572,20490,21073,21314,22151,22014,21542,21956,21733,22059
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",125851,128139,130838,134626,136407,137978,140178,141025,143023,141540,144646,146569,148046,148174,149572,152577,152812,158281,158568,159872,161346,162532,161926,163934,161074,160108,161585,163104,162276,161054,161653,164030,166241,166345,167600,168129,169491,170284,171653,170692,170384,173946,177696,177957,174060,176961,176045,177392,178863,174757,169944,175792,173868,176157,182828,183637,181365,182529,176972,180146,178961,178484,181443,181221,182106,181882,184019,188694,191837,191098,193839,200732
"50","42","    Paper and paper products wholesalers","KS42210",9248,9239,9749,9936,10132,10030,9870,9966,9922,9781,9783,9734,9882,9709,9752,10037,9788,9652,9380,9261,9012,9309,9130,9368,9173,9336,9171,9434,9563,9876,10042,10150,9917,10256,10454,10594,10445,10427,10429,10294,9986,10207,10309,10396,10355,10248,10219,10171,9691,9647,9573,9571,9374,9566,9399,9597,9430,9535,9265,9554,9367,9760,9700,9764,9594,9836,9631,9802,9728,9936,9777,9835
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",18510,18991,20086,20322,20802,20522,20737,21795,22392,24008,24851,26260,27941,29193,30276,32243,33005,36536,39367,41393,42052,42116,41370,42492,42333,41447,41817,42192,42229,41303,41253,41348,40916,39965,39088,38954,39346,40052,40196,39459,38880,40163,40152,40303,39803,39005,39731,39710,39856,38823,38650,39286,39219,40168,40363,40571,41037,41482,41980,41837,41644,40751,41280,40674,41247,42669,43574,45107,47043,48447,48982,51172
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",12091,12423,12403,13125,13142,13341,13307,13415,13373,12599,12323,12740,12655,12529,12770,12859,13473,13645,13121,12830,12949,13165,14153,13968,14071,14300,13737,13699,13727,13508,14416,14514,15057,15488,15656,15957,16053,15908,16030,16044,16086,16251,16371,16393,16989,16385,16452,16946,16412,15488,14475,13872,14136,14474,16260,16569,16802,17335,17196,16999,16910,16965,16358,16647,17250,17031,17390,17873,18451,18787,19454,19038
"53","45","    Grocery and related products wholesalers","KS42240",21430,21709,21554,22591,22166,22734,22493,22338,22802,22239,23117,23867,23524,23155,23665,23754,23032,22717,21954,21733,22093,23921,23626,23556,23443,22309,22457,21970,21931,21744,21443,21598,22013,22018,22798,23358,23563,23830,24165,24602,25350,25995,25547,25725,25674,26187,26682,26762,26259,26249,26061,25589,25314,26598,26593,26774,26997,27270,27945,28055,28228,28719,28287,28666,29426,29151,29965,29650,29371,28964,29563,30111
"54","46","    Farm product raw material wholesalers","KS42250",17481,17790,18022,18844,19177,19853,21535,20845,21090,21564,23185,22581,23033,22958,22941,23226,22877,23458,23318,23471,23560,22667,21786,22109,21127,21611,22567,24186,24277,22454,20805,20566,22837,23299,23369,22892,22999,23384,22200,23180,21629,22053,25383,24984,24263,25814,23586,23155,24090,23891,21558,26646,25014,25078,29028,29940,27153,26242,23473,24357,24571,24570,25668,24368,24063,23676,22961,26382,26753,24415,25892,28322
"55","47","    Chemical and allied products wholesalers","KS42260",7640,7795,7593,7769,7823,8007,8292,8574,8897,8951,8834,8989,8995,8835,8418,8534,8509,8801,8854,9050,9196,9180,9178,9292,8959,9036,8837,9054,8704,8974,8917,8786,8984,9106,8887,8908,8851,8884,8793,8783,9026,9239,9138,9220,9340,9166,9527,9442,8873,8487,8300,8025,8088,8382,8663,8703,8763,9096,9055,9196,9100,9122,9474,9794,9391,9518,9610,10319,9883,10285,10034,10278
"56","48","    Petroleum and petroleum products wholesalers","KS42270",12410,12563,12404,12557,13029,14179,15654,14544,14269,12582,12105,11561,11208,11261,10899,10822,11564,12410,12495,14264,14293,12834,12702,12534,10877,12330,12523,12116,11817,11898,13089,13607,13795,12863,13799,13793,14467,14338,15446,14281,14061,15137,15105,14762,11969,12806,13044,14212,17258,16493,16281,18174,17973,17651,17689,16704,16701,16506,15092,15735,15296,14747,15445,15909,15680,15717,15888,14878,15252,15654,15083,16039
