"","Table 4#2#6U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"63","55","    Civilian aircraft, engines, and parts","B932RX0",33193,34121,37834,35359,33936,35804,37971,42925,43232,42761,42057,44154,38608,33348,30004,35027,31017,31563,29980,33968,27260,31351,30388,34622,31829,34662,29362,30472,33788,32671,32043,35515,37778,39342,38849,38513,40328,40599,36024,33102,30646,31881,29606,30598,29333,29917,30958,31730,32478,32347,32440,36019,32886,35045,36463,38544,39299,40222,42199,42372,44352,45860,48142,44563
"64","56","    Computers, peripherals, and parts \2\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","57","    Other","B853RX0",175948,186108,194500,205093,216478,234230,243412,243407,230642,199846,185724,178587,182827,195334,198223,196171,198543,203356,205049,215657,230570,240653,247848,251725,256141,269629,273038,281277,288392,295479,301207,300964,300968,308794,316582,317062,321735,324204,320997,302842,259158,235938,243994,257694,268743,294678,317632,334684,343064,349351,356598,368353,382381,388347,387003,378126,381809,388107,392960,395795,406989,423707,427377,432635
"66","58","  Automotive vehicles, engines, and parts","B651RX0",187105,191845,200708,204057,215333,211128,212550,208743,204038,205917,207145,202893,208709,219550,225021,224942,220558,227243,219830,233429,236042,242901,242515,242870,242490,245129,250422,262491,268098,267440,261435,271577,264668,267453,274843,261546,262935,254784,230252,193842,130288,129932,174270,202262,202476,224930,232703,236871,247256,223170,250972,261846,280569,280184,282590,282084,275322,290910,301011,303429,293330,316342,319540,322518
"67","59","  Consumer goods, except food and automotive","A652RX0",235762,241908,254797,265613,276833,291762,299085,307531,304274,300198,296902,292891,304034,325638,337888,341652,347955,350044,356778,371477,377568,399445,396463,412113,425631,430575,426182,432580,448431,456238,466161,482042,496769,488392,483176,491312,493469,495780,492890,453776,423788,419582,426670,449368,455292,478107,503905,504325,508515,513097,504698,503250,494265,501960,507317,508162,507970,518341,520621,527272,522926,543123,537425,561541
"68","60","    Durable goods","B697RX0",115538,122695,128964,133772,143487,148749,151839,157383,152958,148223,147749,147320,155031,168259,172049,171264,170957,173855,181893,192171,195206,208453,208914,220033,226352,228041,233568,234930,243883,243361,249809,261901,267801,262204,265768,272134,268813,271444,271798,242927,221019,221826,223039,234269,242174,257904,275472,274553,276105,273420,269131,271768,267566,273980,277993,283953,280971,293029,294418,300210,292122,308012,302722,325800
"69","61","    Nondurable goods","B698RX0",120933,119518,126182,132271,133411,143317,147614,150403,151815,152706,149776,146063,149359,157594,166243,170967,177791,176865,175301,179586,182659,191231,187705,192128,199358,202640,192534,197615,204504,212964,216403,220072,228954,226201,217279,219014,224581,224249,220977,210835,202760,197756,203633,215105,213144,220282,228618,229930,232558,239653,235549,231605,226833,228224,229630,224859,227456,226267,227173,228219,231427,236224,235588,237726
"70","62","  Other","A653RX0",79947,82016,83399,81778,87235,84959,98369,95417,90017,95043,94394,94460,93577,96083,97692,98095,90011,93316,88332,93577,87480,89229,94709,93029,98975,91240,95831,92598,97123,102712,91196,89153,101308,95393,96162,87464,87309,88402,82283,79931,82399,81991,79002,76562,88544,81573,85307,106727,87245,98279,88113,90170,94723,98720,97358,90396,99204,108112,94014,92249,98341,101158,99632,104975
"71","63","Imports of services \1\","B656RX0",241056,240275,246995,253432,264529,276015,285983,279087,276798,282722,275459,263521,285000,278051,277515,293811,286231,275042,293968,303137,317091,330076,326357,332077,334192,340295,341735,348205,364695,367741,364688,384783,388714,393962,395668,395637,407791,404198,406771,414215,392624,390045,391940,396925,397195,402747,414578,416569,408657,423453,432395,432374,433245,437544,440101,443754,439153,448172,451228,455099,456253,462549,463738,469783
"72","64","  Transport","Y804RX0",67411,64721,66413,67644,69688,71734,75065,71799,70140,69202,64603,59990,61036,63715,63313,66736,66589,63782,65578,66000,71505,73035,74022,75012,78817,76833,75180,77503,76720,79416,80656,81352,78762,82225,82174,79954,80760,78630,76726,74426,65348,62954,64235,63993,66101,68457,70704,67883,69868,69636,70801,71721,72376,72520,72487,72704,75790,76505,77168,77753,76145,77824,78223,79887
"73","65","    Sea Transport","Y997RX0",21351,19630,20152,20318,21550,22572,25230,25195,24477,23486,21234,22614,22033,23847,24198,25203,27229,25998,25319,24972,28169,27932,29020,30838,32831,31160,29606,31660,31065,32667,34689,34019,33338,34958,34094,32080,31377,31070,30119,29143,24652,22709,22063,23453,26353,27696,28846,26219,26665,26936,27918,28986,29533,29873,29875,29840,31816,32968,33534,33188,31980,31488,31655,NA
"74","66","      Freight","Y998RX0",19062,17394,17931,18158,19457,20450,23358,23288,22938,21773,19448,20721,20352,22087,22175,23269,25546,24196,23598,23370,26556,26325,27524,29192,31223,29466,28075,29990,29258,30783,32655,32133,31534,32837,32026,30189,29431,28918,28092,27371,23150,21075,20487,21912,24845,26120,27210,24613,25130,25350,26321,27393,27954,28239,28205,28106,30045,31108,31606,31268,30021,29493,29625,NA
"75","67","      Port","Y999RX0",2512,2473,2441,2357,2252,2274,1959,1994,1570,1783,1895,2007,1768,1845,2136,2020,1715,1863,1767,1617,1582,1586,1428,1592,1508,1645,1457,1598,1782,1850,2003,1843,1758,2097,2046,1867,1931,2162,2035,1751,1494,1636,1578,1545,1507,1568,1623,1603,1525,1581,1589,1582,1568,1623,1660,1725,1761,1848,1916,1907,1946,1984,2018,NA
"76","68","    Air Transport","Y810RX0",44793,43661,44528,45843,46322,47220,47526,44236,43392,43576,41628,34379,36731,37156,36449,38946,36493,34198,37520,38305,40188,42084,41923,40552,41916,41941,41804,41583,41688,42658,41681,42546,41468,42842,43819,43739,45530,43625,42509,41660,37531,37160,37932,37017,36167,37114,38143,38016,39250,38862,39037,38895,38927,38785,38787,38930,40172,39900,40082,40929,40545,42476,42672,NA
"77","69","      Passenger","Y811RX0",28013,26827,27485,28549,29346,29786,30850,28008,26526,27615,26612,19421,20684,20513,20024,21559,20324,19317,22828,22606,24703,25895,25490,25341,25317,25484,26072,26365,25853,26017,25478,26011,23817,24541,25500,26372,26779,25075,24133,25078,21420,21121,22380,21207,20165,20046,20854,21544,21824,21644,22043,22367,22809,22929,22992,22463,23917,23776,23820,24320,24159,25674,26100,NA
"78","70","      Freight","Y812RX0",5181,5635,5950,6078,6485,6601,6671,6498,6214,5635,5215,5634,6013,6742,6828,7433,6369,6276,5953,6168,6630,7014,7062,7120,6823,6551,6532,6494,6762,6554,6643,6576,6627,6837,6525,6509,6426,5971,5496,4842,4436,4574,4770,4972,5079,5742,5900,5296,5586,5404,4915,4666,5127,4688,4726,5088,4907,4911,5061,5308,5275,5644,5536,NA
"79","71","      Port","Y813RX0",11495,11020,10882,11003,10281,10614,9854,9549,10421,10062,9531,9302,10007,9913,9613,9950,9788,8563,8617,9449,8812,9138,9303,8091,9693,9834,9187,8751,9050,10028,9502,9903,10926,11364,11700,10769,12261,12570,12949,11617,11670,11449,10802,10840,10932,11328,11364,11144,11839,11830,12172,11931,10872,11079,10957,11340,11198,11056,11039,11114,10903,10816,10635,NA
"80","72","    Other modes of transport","Y814RX0",2923,2979,3191,3109,3308,3406,3416,3160,3066,3073,2799,3258,2846,3153,3040,2984,2960,3473,3074,3205,3371,3539,3426,3515,3799,3713,3979,4087,3894,3900,3818,4425,3649,4082,4017,3984,3787,3832,4007,3535,3170,3116,4218,3510,3646,3685,3724,3647,3969,3843,3856,3896,4004,3970,3932,4042,3955,3871,3808,3815,3718,3816,3856,NA
"81","73","  Travel","Y805RX0",85215,83422,85532,88328,92296,99064,100111,94970,93544,96600,91656,77398,90712,85650,78400,87092,81493,73001,86263,84655,89980,97300,92271,88041,94251,95336,92659,92833,93932,93931,92351,95426,95396,91806,90767,89760,93898,88634,87553,87859,82788,78217,82889,81791,83660,84577,85647,85299,81598,86061,85748,88423,94049,95714,95827,96164,96437,97722,98038,99784,100327,105167,105830,107701
"82","74","    Business","Y815RX0",29910,29663,30532,30353,31910,33455,34918,30972,31241,31887,30285,23876,27880,26871,24831,26081,24504,20737,26102,25050,27367,28160,26641,25455,27196,27118,26045,25914,25483,25812,25272,25749,25536,24708,24241,23896,24048,22333,21570,21103,19500,18659,19755,19179,20495,20448,20936,21651,19954,19705,19629,19840,19700,19426,19395,18639,19820,20378,20131,20006,20643,22399,26414,NA
"83","75","      Expenditure of seasonal, border, and other short-term workers","Y816RX0",476,486,487,491,510,529,534,550,546,574,573,583,475,457,448,449,665,656,657,643,729,751,714,686,735,746,722,720,914,902,910,911,957,936,932,901,930,911,942,988,997,1010,1027,1020,1039,1053,1054,1037,1064,1063,1077,1068,1095,1106,1115,1090,1123,1129,1143,1129,1151,1156,1169,NA
"84","76","      Other business travel","Y817RX0",29434,29177,30044,29861,31399,32926,34384,30421,30694,31313,29712,23292,27404,26414,24383,25632,23839,20081,25445,24407,26638,27409,25927,24769,26461,26371,25323,25194,24568,24909,24361,24838,24578,23772,23308,22994,23118,21422,20628,20115,18503,17649,18729,18159,19455,19395,19882,20615,18890,18642,18552,18772,18605,18319,18280,17549,18698,19248,18988,18877,19492,21244,25245,NA
"85","77","    Personal","Y818RX0",55199,53650,54884,57879,60282,65511,65074,63922,62217,64630,61293,53478,62779,58724,53516,60970,56949,52240,60115,59568,62566,69102,65595,62552,67018,68185,66584,66891,68425,68094,67055,69654,69839,67077,66506,65845,69838,66294,65979,66756,63289,59558,63133,62610,63165,64129,64711,63652,61645,66351,66114,68575,74328,76261,76403,77487,76592,77323,77882,79745,79659,82753,79459,NA
"86","78","      Education related","Y819RX0",2419,3434,3470,3465,3639,3805,3779,3884,3789,3962,3910,4262,4233,4189,4281,4676,4728,4562,4742,4549,4647,5006,4865,4675,4965,5093,5018,5437,5340,5327,5413,5046,5185,5178,5329,5063,5290,5281,5633,5796,5401,5111,5079,4983,5097,5200,5176,5215,5285,5186,5267,5243,5164,5285,5268,5275,5344,5353,5378,5330,5369,5411,5471,NA
"87","79","      Health-related","Y820RX0",271,268,265,257,286,281,275,266,271,266,262,252,244,238,234,225,248,246,241,233,584,577,570,557,671,663,657,642,716,708,706,707,714,770,763,756,788,795,807,829,863,875,879,900,933,946,955,975,985,998,1019,1032,1056,1071,1093,1113,1132,1161,1177,1200,1219,1238,1267,NA
"88","80","      Other personal travel","Y821RX0",52187,49769,50959,53912,56125,61142,60745,59543,57940,60180,56934,48923,58147,54178,48950,55983,51941,47430,55065,54700,57267,63429,60086,57255,61316,62362,60847,60786,62327,62015,60904,63830,63877,61089,60388,59983,63707,60195,59554,60150,57029,53572,57173,56726,57136,57985,58586,57459,55357,60174,59829,62318,68183,69987,70125,71192,70184,70880,71398,73317,73161,76230,72781,NA
"89","81","  Charges for the use of intellectual property n.e.c.","Y908RX0",16150,16749,17013,17827,18997,19302,23108,21053,20297,19937,19974,20870,23819,22968,24194,22477,21385,21962,23315,23581,24563,25818,28968,28370,26671,28297,29524,27657,26721,24917,24203,30377,27235,27104,26859,27922,29103,28274,31857,28970,30416,30859,30610,33302,33653,29754,31578,33240,33831,32619,35499,36703,35588,36983,37558,39079,37474,36394,35174,36579,39870,37860,37684,37862
"90","82","  Other business services","Y806RX0",49566,51038,53215,55134,57897,59640,60474,63437,64805,68063,69063,69811,73478,70453,74097,79069,78723,78378,79675,87158,90985,93237,91284,100693,95731,99970,104806,110434,126367,130822,129345,139583,148890,154671,159060,162549,169430,175680,177326,185261,175612,179900,177232,181218,176278,181039,186699,192915,186284,200035,205167,200123,196231,197909,200127,203693,198208,206232,210597,211751,211716,213561,214116,216443
"91","83","    Maintenance and repair services","Y822RX0",1319,1581,1904,2481,3158,3633,3955,3725,2975,2800,2698,2744,2959,3048,3203,3286,3221,3040,3090,3073,2981,3058,2918,3262,3089,3633,3563,3850,4804,4769,4741,5623,5346,6084,5147,5251,4965,5428,5388,6156,5313,6515,5961,5965,5923,6713,5939,7174,6756,6762,7376,7358,7077,6956,6559,6652,6348,6649,6772,6153,6314,6360,6427,6595
"92","84","    Insurance services","Y823RX0",13050,13240,13607,14201,14851,16141,17991,20176,23015,24673,26058,27152,27675,28689,29737,30752,30066,30997,32316,34032,36496,37016,35995,40415,35420,35905,40467,40911,45161,45610,46518,46794,51954,50896,55246,52090,56834,59767,62754,68351,66310,64409,62573,61911,58439,60491,61351,58004,52490,55230,56619,53543,52895,53858,55212,55580,54006,55589,57317,55613,54388,53368,51941,51986
"93","85","    Financial services","Y824RX0",6118,6995,7800,8010,9619,10166,10492,10228,10820,11280,10307,10231,10624,10346,9615,10018,9906,9447,9840,10898,11601,11927,11969,12884,12165,12347,12411,12782,13083,14481,14617,15862,17330,18790,18164,17612,17709,16440,15809,14629,13037,15050,14502,15070,13890,14178,14448,15622,15737,15851,15012,15294,14835,14326,14491,15392,14714,15043,14839,15830,15172,15354,15045,15319
"94","86","    Telecommunications, computer, and information services","Y825RX0",2548,2499,2822,3211,3124,3204,2889,3301,3304,3613,3725,3719,3800,2976,3595,4552,4922,5131,5118,6363,6977,7080,7046,8582,9035,9992,11040,12139,13200,15414,14856,18359,19290,24105,22858,26566,25214,27242,25727,25680,23608,25837,25183,28509,30579,31669,36802,40745,39937,42156,45277,44649,42813,42975,44201,42827,42332,46439,46240,46682,47675,49871,50386,50401
"95","87","    Other other business services","Y826RX0",30020,31176,30626,29819,30364,29881,30244,30744,30106,30975,31786,31816,34761,33814,35318,36418,35662,34401,34265,36731,36641,38021,36961,38745,37779,39351,38778,41710,51416,50945,49230,52582,54670,54067,57176,60533,64339,66753,67665,70552,67406,68090,68985,69730,67681,68249,69250,73061,73118,81849,83321,81657,80713,81957,82187,85052,82810,85309,88069,89753,90683,91506,93151,94682
"96","88","  Government goods and services n.e.c.","Y827RX0",23764,24776,25023,24265,25453,26882,28014,26490,25902,26752,27195,31377,33498,32628,33127,34429,33235,31934,34991,36537,34260,35397,33788,32859,32355,33684,33258,33221,34313,31380,30601,30056,30406,29997,28729,27605,27009,26061,26761,31385,32431,31940,30849,30621,31435,32924,34034,31752,31257,29875,30037,29809,29082,28486,28250,26312,24771,25243,24435,23382,22553,22387,22138,22043
"97","89","  Other","Y828RX0",6036,5996,6042,6193,6316,6448,6528,6594,6668,6700,6759,6847,6792,6768,6786,6796,6743,6749,6767,6901,6913,6992,7066,7066,6675,6675,6592,6559,6520,6540,6635,6829,6888,6912,6901,6808,6611,6406,6160,6212,6225,6192,6037,5875,5900,5815,5739,5667,5576,5500,5521,5606,5639,5645,5649,5627,5584,5586,5531,5493,5435,5379,5351,5325
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","relative importance or its contribution to the growth rate of more aggregate series; accurate estimates of these contributions ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","are shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","value of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","chained-dollar estimates are usually not additive. For exports and for imports, the residual line is the difference between the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","aggregate line and the sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
