"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",145.758,144.595,143.092,141.899,140.657,139.902,138.215,136.08,134.633,133.224,131.494,129.488,128.798,128.115,127.203,125.939,124.132,122.202,120.36,118.725,117.053,116.079,114.552,112.879,111.17,109.317,107.562,106.427,105.728,104.84,103.402,102.39,101.478,100.881,99.395,98.392,97.545,96.203,95.036,93.825,92.775,91.653,89.975,88.488,87.935,86.527,85.803,84.36,83.191,82.408,79.97,78.286
"62","54","  Building material and garden equipment and supplies dealers","PK4443",97.016,97.688,97.21,95.97,95.673,94.506,93.78,92.361,93.009,94.019,95.303,93.777,94.496,93.921,92.862,92.766,92.753,93.651,93.387,91.652,91.941,92.398,92.298,91.62,91.852,91.948,93.334,94.754,96.742,99.547,99.539,98.112,99.484,100.076,100.104,100.313,101.177,101.082,99.863,99.407,101.03,101.468,101.418,101.006,101.752,103.544,104.894,103.273,100.58,100.394,99.914,99.634
"63","55","  Food and beverage stores","PK4453",82.955,83.067,83.275,83.585,83.925,84.288,84.752,85.334,86.063,86.384,86.914,87.48,87.998,88.785,89.648,90.066,90.872,91.628,92.354,92.576,93.077,93.413,93.452,93.574,94.185,94.493,95.388,96.345,96.897,97.864,98.33,99.171,98.981,99.862,100.258,100.891,101.399,101.583,102.313,102.656,103.864,105.074,106.003,107.243,108.614,110.671,113.046,113.839,113.747,113.519,113.216,113.349
"64","56","  Clothing and clothing accessories stores","PK4483",113.691,114.639,113.448,112.812,111.736,111.189,111.526,110.928,109.459,110.089,109.776,109.664,109.081,108.322,107.774,108.014,108.51,107.053,106.171,105.298,104.767,104.527,103.849,103.181,101.949,101.051,101.522,101.078,100.841,101.403,100.903,100.81,100.655,100.124,99.751,99.501,99.215,100.282,100.292,100.301,100.751,99.871,99.26,99.947,100.077,99.856,100.868,100.069,100.463,100.758,101.66,101.408
"65","57","  General merchandise stores","PK4523",102.482,102.886,102.371,102.184,102.035,102.063,102.204,102.107,101.941,102.146,102.234,102.279,102.209,102.352,102.482,102.491,102.818,102.502,102.437,102.185,101.954,101.824,101.388,100.908,100.404,100.017,100.164,100.07,100.108,100.362,100.038,100.185,100.009,100.189,99.902,99.905,99.94,100.043,100.004,99.816,100.061,99.966,99.673,100.023,100.381,100.73,101.5,101.301,101.225,101.262,100.648,99.777
"66","58","    Department stores","PK45213",108.79,109.315,108.549,108.21,107.873,107.772,107.861,107.54,106.959,107.223,107.194,107.149,106.859,106.737,106.619,106.513,106.75,105.984,105.594,105.163,104.706,104.42,103.81,103.184,102.256,101.637,101.675,101.257,101.074,101.171,100.581,100.545,100.404,100.319,99.756,99.522,99.386,99.601,99.354,99.024,98.99,98.442,97.725,97.892,97.869,97.556,97.949,97.34,97.393,97.434,97.085,96.004
"67","59","    Other general merchandise stores","PK45293",95.524,95.729,95.63,95.697,95.857,96.092,96.314,96.552,97.001,97.121,97.378,97.549,97.771,98.263,98.706,98.857,99.294,99.48,99.765,99.697,99.689,99.709,99.435,99.087,98.956,98.77,99.01,99.18,99.393,99.766,99.644,99.928,99.727,100.095,100,100.163,100.313,100.341,100.436,100.339,100.756,100.936,100.895,101.353,101.928,102.64,103.614,103.63,103.487,103.523,102.775,102.003
"68","60","  Other retail stores","PK44X3",81.26,79.829,79.97,80.099,78.269,77.527,77.558,77.23,76.918,79.566,81.425,82.821,85.824,86.842,87.71,88.23,87.756,88.874,87.274,83.777,82.795,85.643,86.305,87.383,91.066,87.149,89.004,89.389,91.876,92.812,93.781,96.858,96.639,97.049,102.768,103.525,103.184,104.92,106.362,102.231,104.039,106.423,106.723,110.84,113.639,115.415,118.388,105.343,100.68,101.83,105.993,107.983
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
