"","Table 5#4#5U# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","  Commercial and health care","W001RC0",4274,4631,4744,4576,4762,4724,4720,5139,5406,5388,5544,5630,5543,5897,6969,6336,6049,6261,6150,5921,6023,6669,7075,7265,7731,7987,8131,8832,8522,7986,8339,8179,8373,8099,7959,8313,9020,9418,9386,9789,10590,11143,12324,12606,12853,12554,12351,12398,13139,14386,15794,16236,16892,17380,17608,18336,18973,19814,20329,20156,20501,21150,20521,20400,19266,17098,17169,17115,17919,17886,18080,18315,19008,19877,21093,21226,22129,24852,26276,28069,27828,32147,35712,38332,40996,40426,40255,42195,45555,47336,49025,51168,53381,55874,56829,57056,54781,52786,56997,58778,63533,70117,72438,76290,81613,84235,84095,86596,85174,80449,78724,79077,77420,78897,82000,84992,84110,87411,87283,86485,88495,85334,90122,89126,90435,88533,88419,82474,74920,72183,66687,61899,62616,63368,64837,67132,68026,68900,68590,71937,69209,76939,77221,78167,81796,83429,83659,83340,83995,89774,93616,98595,103641,100114,106828,106633,109283,116207,116180,122206,122577,124898,126496,127704,130452,137646,143256,145928,146004,141686,133922,127599,125582,120575,116749,114768,112207,113253,116286,118469,118928,126146,128883,127357,132169,134498,136248,140777,146741,153949,161023,163934,173942,180138,184986,188426,188158,189676,186495,176326,159200,147608,130900,115988
"12","4","    Office \1\","W031RC0",1609,1772,1827,1748,1824,1810,1798,1954,2048,2017,2073,2104,2060,2186,2582,2253,2171,2271,2242,2155,2164,2370,2460,2547,2706,2870,2984,3269,3090,2867,3033,2941,3090,2967,2886,3022,3242,3431,3450,3539,3828,3959,4364,4425,4495,4356,4211,4239,4504,4912,5526,5714,5317,5283,5351,5737,5965,6221,6475,6296,6466,6585,6520,6365,6011,5377,5208,5191,5290,5361,5332,5462,5703,6024,6242,6094,6530,7227,8176,9090,8988,10556,12172,13231,14754,15507,15754,16806,18596,19907,20761,22712,24964,26850,27959,27359,24744,23558,25007,25566,27517,30332,31972,34523,36924,38192,38158,38792,37599,35242,33418,33298,31960,31609,32582,33781,33050,34744,34681,34413,35148,34171,34850,34116,34285,33124,33157,31253,28356,27355,25731,23518,22696,22012,21094,23083,23655,23672,22406,22404,23194,24931,24430,25672,27434,29479,29234,27169,26512,30431,32612,34125,35812,34462,39252,41314,43141,46367,45721,50461,51916,51879,52454,50852,53536,59612,62652,65112,65124,60951,54236,48365,44366,41292,39258,37339,34274,33492,35096,37708,36515,37667,38273,38689,43227,43355,41702,43068,46538,51894,55461,56091,60028,59986,62008,65359,66252,66063,67043,63050,55997,50561,45031,39079
"13","5","    Health care","W032RC0",776,784,777,773,801,791,811,898,960,1009,1042,1056,1063,1144,1371,1444,1332,1326,1281,1236,1318,1519,1731,1735,1850,1755,1647,1735,1813,1753,1752,1797,1677,1655,1687,1736,1974,1966,1898,2108,2279,2547,2848,3001,3100,3098,3209,3195,3360,3722,3802,3838,3937,4108,4089,4326,4219,4230,4304,4373,4470,4493,4420,4420,4566,4316,4440,4400,4458,4586,4855,4901,4805,4716,4751,4784,4908,5154,5194,5392,5504,5802,6107,6326,6895,6955,7318,7941,8273,8780,9378,10004,10951,12180,12998,13796,13584,12806,13492,13672,13874,14237,13861,13729,13745,14128,14055,13571,13288,13565,13152,13363,13375,13074,13822,15016,15858,15590,15554,15916,15851,15775,16818,15340,16244,16673,17579,17195,16451,15770,14578,14610,15227,15437,15390,15737,15820,16265,17171,17354,16328,17473,16586,15881,16057,15797,15748,15911,15135,16396,17239,18301,19712,19078,19887,19616,19249,20297,20172,20132,20490,20296,20960,21040,20410,21681,22411,23088,22800,21826,21412,21780,23545,25029,25784,26430,26764,27307,26866,28092,28514,30256,29852,29658,30371,30874,33870,33172,33978,35504,36884,37775,39350,39361,40338,41172,41601,43760,44966,45711,43047,43955,41796,38779
"14","6","      Hospitals and special care","C311RC0",583,573,560,564,583,576,596,665,716,767,795,806,819,886,1067,1168,1068,1054,1015,983,1063,1239,1434,1428,1519,1410,1295,1352,1446,1409,1393,1444,1313,1302,1340,1373,1581,1557,1492,1686,1825,2073,2328,2474,2568,2582,2703,2687,2819,3128,3148,3165,3312,3489,3463,3652,3519,3501,3544,3636,3712,3723,3655,3674,3860,3682,3828,3790,3839,3957,4229,4259,4136,4011,4024,4077,4148,4316,4239,4326,4449,4564,4674,4768,5148,5104,5431,5923,6036,6377,6869,7246,7902,8890,9561,10435,10557,9929,10444,10561,10531,10560,9983,9537,9268,9496,9428,8877,8746,9304,9125,9353,9532,9288,9921,10968,11896,11425,11397,11787,11638,11672,12648,11270,12155,12723,13618,13452,13051,12490,11487,11782,12509,12813,12897,12993,13005,13451,14517,14719,13599,14537,13706,12850,12814,12312,12299,12719,12038,12839,13404,14235,15483,15009,15220,14676,14600,15607,15726,15593,15108,15138,15079,15355,14897,15820,16674,17390,17297,16946,16362,16332,18224,19483,20270,20643,20221,20534,20291,20663,20457,21282,21057,21200,21576,22021,24179,24351,25611,27396,28986,29890,30977,30691,30972,31650,31676,32958,34482,36424,34444,35286,34488,32028
"15","7","        Hospitals","W033RC0",470,462,451,455,470,464,480,536,577,618,641,650,660,714,860,942,861,850,818,792,857,999,1156,1151,1225,1137,1044,1090,1166,1136,1123,1164,1059,1050,1080,1107,1275,1255,1203,1359,1471,1671,1877,1995,2070,2082,2179,2166,2273,2522,2538,2552,2670,2813,2792,2944,2837,2823,2857,2931,2993,3001,2947,2962,3112,2968,3086,3055,3095,3190,3409,3434,3334,3234,3244,3287,3344,3480,3417,3488,3587,3679,3769,3844,4150,4115,4379,4775,4866,5141,5538,5842,6371,7167,7708,8413,8511,8005,8420,8514,8490,8513,8048,7689,7472,7656,7601,7157,7051,7501,7357,7540,7684,7488,7998,8842,9591,9211,9188,9503,9382,9410,10196,9086,9799,10257,10978,10845,10521,10069,9261,9499,10085,10330,10398,10475,10485,10844,11704,11867,11116,11955,11288,10538,10417,9830,9583,9619,8703,9109,9481,10203,11781,11299,11227,10651,10486,10663,10727,10755,10970,10673,10572,10514,10337,10926,11942,12641,13269,12954,12406,12304,14143,15345,16321,16883,16636,17235,17178,17537,17426,18359,18365,18545,19029,19630,21639,21867,22863,24232,25436,26129,27470,27190,27505,28286,27840,28545,30150,32416,30860,31844,30717,28162
"16","8","        Special care","W034RC0",113,111,109,109,113,112,116,129,139,149,154,156,159,172,207,226,207,204,197,191,206,240,278,277,294,273,251,262,280,273,270,280,254,252,260,266,306,302,289,327,354,402,451,479,498,500,524,521,546,606,610,613,642,676,671,708,682,678,687,705,719,722,708,712,748,714,742,735,744,767,820,825,802,777,780,790,804,837,821,838,862,884,906,924,998,989,1053,1148,1170,1236,1331,1404,1531,1723,1853,2022,2046,1924,2024,2047,2041,2046,1935,1848,1796,1840,1827,1720,1695,1803,1768,1813,1847,1800,1923,2126,2305,2214,2209,2284,2255,2262,2451,2184,2356,2466,2639,2607,2529,2421,2226,2283,2424,2483,2499,2518,2520,2607,2813,2853,2483,2583,2418,2313,2398,2482,2716,3100,3335,3730,3923,4032,3701,3710,3993,4025,4114,4944,4999,4838,4139,4464,4506,4841,4560,4894,4732,4749,4028,3992,3956,4029,4082,4138,3949,3760,3585,3299,3113,3126,3031,2923,2692,2654,2547,2392,2541,2484,2748,3164,3550,3760,3507,3501,3467,3365,3837,4413,4332,4008,3584,3443,3771,3866
"17","9","      Medical buildings","W035RC0",193,211,217,209,218,215,215,233,244,242,247,250,244,258,304,276,264,272,266,253,255,280,297,307,331,345,352,383,367,344,359,353,364,353,347,363,393,409,406,422,454,474,520,527,532,516,506,508,541,594,654,673,625,619,626,674,700,729,760,737,758,770,765,746,706,634,612,610,619,629,626,642,669,705,727,707,760,837,955,1066,1055,1238,1432,1558,1747,1850,1886,2018,2237,2403,2509,2758,3048,3290,3436,3360,3027,2877,3047,3112,3342,3677,3878,4192,4477,4632,4628,4693,4542,4261,4027,4010,3843,3786,3901,4049,3962,4165,4157,4129,4213,4103,4170,4070,4090,3950,3961,3743,3400,3280,3091,2828,2718,2624,2493,2745,2815,2815,2654,2635,2729,2936,2880,3030,3243,3485,3449,3192,3097,3556,3835,4066,4230,4069,4667,4940,4649,4690,4446,4539,5382,5158,5881,5685,5513,5860,5737,5698,5502,4880,5051,5448,5321,5546,5514,5788,6543,6772,6575,7429,8057,8974,8795,8458,8796,8853,9691,8821,8367,8108,7898,7885,8373,8671,9366,9522,9925,10802,10483,9286,8603,8668,7307,6751
"18","10","    Multimerchandise shopping","W036RC0",679,749,772,739,772,767,763,830,871,858,883,895,876,929,1096,955,919,960,947,910,915,1002,1042,1080,1149,1220,1269,1392,1314,1219,1290,1250,1313,1262,1227,1287,1382,1464,1474,1514,1640,1696,1872,1898,1929,1870,1808,1822,1937,2114,2379,2460,2815,2945,3012,3050,3241,3453,3520,3493,3519,3703,3520,3529,3188,2714,2756,2754,2988,2900,2882,2905,3113,3353,3711,3802,3920,4562,4709,4951,4854,5753,6355,6846,7051,6539,6247,6332,6772,6750,6831,6675,6315,6089,5736,5745,5955,5946,6705,7087,8038,9284,9670,10192,11256,11607,11594,12459,12485,11516,11708,11801,11681,12464,12967,13183,12818,13506,13497,13165,13651,12874,14002,14450,14532,14097,13711,12365,10934,10556,9574,8619,8964,9426,10336,10329,10428,10587,10610,11786,10481,11815,11850,11420,11361,10992,11020,11530,12442,12754,12744,12800,12166,11199,11715,11085,11626,12775,12969,13497,14318,14927,14994,14845,14743,13829,14520,15344,16377,16565,16141,15745,16682,15773,15011,14857,14841,15146,15563,16051,17167,18661,19907,19576,20591,21483,23061,25865,27757,29099,30622,29395,32138,35481,35089,36292,34293,33220,31690,29705,25800,23576,19667,16732
"19","11","    Food and beverage establishments","W037RC0",367,404,417,399,417,414,412,448,471,463,477,483,473,501,592,516,496,518,511,491,494,541,562,583,621,659,686,751,710,659,696,675,709,682,663,695,746,791,795,818,885,916,1011,1025,1041,1009,976,983,1046,1142,1285,1329,1520,1590,1626,1647,1750,1864,1901,1886,1900,2000,1900,1905,1721,1465,1488,1487,1614,1566,1556,1569,1681,1810,2004,2053,2117,2463,2543,2673,2621,3106,3431,3696,3807,3531,3373,3419,3657,3645,3689,3604,3410,3288,3097,3102,3215,3211,3620,3827,4340,5013,5221,5503,6078,6267,6260,6727,6741,6218,6322,6372,6307,6730,7001,7118,6921,7293,7288,7109,7371,6951,7560,7803,7847,7612,7403,6677,5904,5700,5170,4654,4840,5090,5581,5577,5631,5716,5729,6364,5204,5763,5879,6005,6529,6675,6778,6899,6961,6938,7049,7514,8634,7410,8283,8202,8555,9272,8505,8662,6974,8293,8086,8749,8858,8834,8547,8192,7966,8373,9693,8672,7832,7751,7752,8321,8520,7935,8296,8726,8348,8805,8530,7245,8198,8065,7072,7844,7847,7163,7461,7297,7339,7797,9074,7973,8600,9474,7967,6631,6156,5117,4502,4950
"20","12","    Warehouses","W038RC0",307,337,348,333,348,346,344,374,393,387,398,404,395,420,495,431,415,433,427,411,413,453,469,487,518,550,573,628,593,550,582,564,593,569,554,580,623,661,665,683,739,765,845,856,870,843,815,822,874,954,1074,1110,1270,1329,1359,1376,1462,1558,1588,1576,1588,1671,1588,1592,1438,1224,1243,1242,1348,1308,1300,1311,1404,1512,1674,1715,1768,2058,2124,2234,2190,2595,2867,3088,3181,2950,2818,2857,3055,3045,3082,3011,2849,2747,2588,2592,2686,2683,3025,3197,3626,4188,4362,4598,5078,5236,5230,5621,5632,5195,5282,5324,5270,5623,5850,5947,5783,6093,6089,5939,6158,5808,6317,6519,6556,6360,6185,5578,4933,4762,4319,3888,4044,4253,4663,4660,4705,4776,4787,5317,4856,5696,6194,6728,7729,8392,9036,9718,10324,10650,10983,11655,11962,12220,12224,11300,11263,11569,12669,13232,13174,13046,13194,13728,14147,14236,14492,15212,15810,16349,15454,14515,13719,12098,10875,10940,11892,12378,12938,12172,11506,11923,12869,11997,12401,12689,12861,13357,13852,13849,14683,15576,16071,17700,16896,16968,17291,17416,16996,15649,12842,10957,9228,7600
