"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",87.573,87.67,87.619,87.693,87.733,87.793,87.873,87.912,87.858,88.006,88.122,88.177,88.306,88.33,88.443,88.412,88.455,88.465,88.455,88.509,88.67,88.808,88.951,88.961,89.074,89.136,89.124,89.245,89.191,89.172,89.187,89.207,89.284,89.421,89.528,89.567,89.67,89.813,89.79,89.842,89.862,89.894,90.037,90.057,90.168,90.206,90.2,90.306,90.436,90.536,90.549,90.67,90.737,90.798,90.785,90.866,90.959,91.073,91.098,91.091,91.067,91.088,91.21,91.214,91.248,91.338,91.524,91.677,91.774,91.806,91.846,91.967,92.08,92.179,92.32,92.401,92.454,92.683,92.759,92.84,92.886,93.016,93.253,93.395,93.645,93.878,94.19,94.62,94.913,95.163,95.458,95.754,96.099,96.627,97.035,97.488,98.083,98.474,99.037,99.411,99.939,100.061,100.266,100.412,100.63,100.84,101.17,101.429,101.782,102.194,102.348,102.539,102.903,103.233,103.652,103.871,104.179,104.463,104.718,104.905,105.491,105.864,106.1,106.366,106.616,106.888,107.205,107.426,107.588,107.817,108.28,108.519,109.074,109.564,109.897,110.561,111.108,111.616,112.807,113.345,113.897,114.189,114.686,114.835,115.227,115.122,115.109,115.032,115.025,114.913,114.877,114.736,114.758,114.776,114.842,115.039,114.969,115.161,115.308,115.548,115.753,115.8,115.901,116.117,116.037,116.192,116.298,116.576,117.06,117.68,118.016,118.53,119.194,119.642,120.065,120.388,120.77,120.871,121.134,121.317
"48","40","    Miscellaneous durable goods wholesalers","PK42193",92.339,92.291,92.632,92.358,92.036,91.964,91.618,92.502,91.849,92.141,92.333,92.026,91.932,91.852,91.404,91.068,90.759,89.76,88.92,88.299,88.224,87.607,87.016,86.78,86.633,87.032,86.733,86.524,86.659,87.332,87.908,88.365,88.897,89.974,91.118,91.513,91.888,91.793,91.622,91.579,91.354,91.518,90.696,89.216,89.444,89.502,89.064,88.277,87.812,87.346,87.766,87.176,87.489,87.158,86.354,86.479,86.682,86.317,86.195,85.59,85.3,85.437,85.549,86.095,86.47,87.547,87.704,87.053,87.394,88.634,87.663,87.616,88.054,88.635,88.864,88.244,89.287,89.428,88.838,89.426,90.396,90.923,91.966,93.699,95.351,96.963,97.928,96.816,94.564,95.056,98.432,99.949,98.944,101.176,102.144,101.522,100.776,99.429,99.477,99.657,98.284,96.612,96.843,99.075,101.343,101.354,102.582,104.142,104.467,105.811,105.728,106.449,110.803,110.638,111.387,110.274,110.414,110.044,111.234,112.464,113.087,115.2,118.522,116.558,115.787,116.286,116.371,118.035,119.067,121.813,122.355,122.956,124.138,125.746,128.639,131.615,132.8,133.77,137.018,134.328,126.746,117.951,107.109,107.464,108.472,108.677,107.641,106.542,108.812,111.458,113.305,116.991,118.555,120.803,123.809,127.924,130.143,129.441,132.306,132.889,129.526,127.452,124.643,125.646,129.33,135.713,141.15,144.698,145.393,146.445,145.535,145.079,143.84,146.3,146.749,147.695,151.169,151.35,152.526,153.549
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",80.834,80.297,80.299,79.636,79.185,78.299,78.104,78.535,78.459,78.948,78.423,78.501,77.165,76.896,76.304,76.112,75.757,75.21,75.615,74.109,73.892,74.724,74.356,73.943,74.665,73.687,74.442,75.907,75.991,76.172,76.54,77.789,78.653,78.381,78.956,80.173,80.419,82.051,82.974,82.013,82.461,82.962,82.684,81.95,83.373,84.01,84.616,84.581,85.011,84.656,84.208,84.201,84.362,83.859,82.777,83.051,83.665,81.738,81.203,80.837,80.841,81.12,82.163,82.186,81.85,82.202,83.371,84.038,84.829,85.845,85.204,85.19,86.606,89.235,89.437,86.582,85.81,86.486,86.375,87.148,87.612,88.36,89.061,90.283,91.288,91.256,91.579,92.309,93.345,92.595,92.735,92.752,93.494,95.694,96.239,94.966,95.528,96.605,98.334,98.135,97.355,98.221,99.329,100.499,103.37,105.658,102.833,104.062,104.817,103.537,103.625,105.612,106.063,107.153,107.234,108.284,105.397,106.017,107.405,109.048,107.443,110.164,110.997,112.182,112.788,112.838,113.852,113.233,116.553,119.078,125.279,125.856,128.569,129.766,133.107,133.195,136.358,140.196,142.175,138.417,139.411,128.315,118.558,109.589,111.225,110.649,108.649,110.28,112.315,116.302,112.461,117.2,116.927,119.843,122.19,123.809,127.189,125.616,127.264,126.698,123.599,120.025,120.687,123.393,126.725,131.538,134.531,138.726,141.841,146.945,147.811,150.152,147.229,145.827,146.351,145.708,149.43,147.695,150.673,150.435
"50","42","    Paper and paper products wholesalers","PK42213",85.634,84.838,83.45,82.771,82.787,83.238,83.506,84.822,86.023,86.765,87.969,88.884,89.182,88.948,88.508,87.992,87.67,87.757,87.283,86.668,85.792,85.123,84.375,84.031,83.718,83.627,84.183,84.579,85.034,85.704,86.59,87.617,88.92,89.619,90.116,90.488,91.229,91.673,93.879,95.269,96.629,97.138,97.128,97.197,97.294,97.621,97.659,97.565,97.736,97.254,96.922,96.479,95.544,94.879,94.269,92.916,92.619,92.171,91.911,92.081,91.592,91.036,90.542,90.267,89.742,90.006,90.316,91.242,91.656,92.195,92.153,92.013,92.031,92.211,92.306,92.654,92.774,92.752,92.247,92.136,91.642,91.527,91.47,91.678,90.975,91.031,91.44,92.828,93.952,95.568,96.813,98.008,98.488,98.603,98.639,99.086,99.68,100.303,100.88,100.974,100.847,100.103,99.768,98.667,98.782,99.074,100.357,100.742,101.37,103.568,104.182,104.281,106.54,107.853,108.172,108.94,109.363,109.407,109.234,109.437,109.522,109.435,109.381,109.415,109.146,109.402,109.509,109.847,110.645,112.145,112.514,112.909,114.038,114.707,115.126,115.804,116.12,116.664,117.792,121.933,123.204,123.208,123.087,122.731,121.496,120.341,119.19,117.639,115.678,114.95,113.856,113.492,113.286,112.598,112.922,112.897,113.071,115.438,116.547,117.687,121.691,122.992,123.443,123.428,124.194,124.065,124.077,124.279,124.802,124.05,125.108,125.432,126.126,126.625,126.649,126.331,125.639,125.611,125.595,125.551
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",80.925,80.583,80.308,80.072,80.218,80.303,80.343,80.571,80.71,80.982,81.228,81.507,81.584,81.997,85.604,85.59,85.931,86.266,86.569,86.653,86.743,87.054,87.293,87.442,87.305,87.166,87.297,87.083,87.171,87.989,88.215,88.279,88.652,88.894,89.089,89.061,89.245,89.245,89.082,89.145,89.34,89.199,89.507,89.94,90.021,89.96,89.919,90.065,90.172,90.352,90.292,90.418,90.008,90.385,90.152,90.185,90.32,90.55,90.67,90.679,90.719,90.852,90.94,91.014,91.075,91.34,91.448,91.795,91.975,92.297,92.274,92.347,92.532,92.468,92.764,92.968,93.142,93.417,93.622,93.664,93.979,94.191,94.466,94.626,95.135,95.223,95.432,95.929,96.026,95.905,95.917,96.196,96.279,96.679,96.984,97.512,97.661,98.387,98.553,98.952,99.534,99.947,100.813,100.99,100.818,101.046,101.599,101.637,101.962,102.191,102.368,102.16,102.903,103.001,103.315,103.345,103.468,103.724,103.939,104.392,104.839,105.069,105.037,105.342,105.506,105.73,106.01,106.672,106.982,107.394,107.625,107.839,108.203,109.05,109.269,109.75,110.142,110.781,111.278,111.566,112.061,112.535,112.939,113.034,113.9,113.511,114.132,114.473,114.695,114.998,115.656,115.93,116.125,116.698,117.075,117.634,118.158,118.418,119.131,119.208,119.468,119.734,120.275,120.541,120.984,121.389,121.651,121.733,122.274,122.419,121.62,121.772,122.023,121.554,121.809,121.778,121.97,121.804,122.455,123.234
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",100.593,100.767,100.855,100.903,101.045,100.977,101.066,101.181,101.312,101.301,101.3,101.326,101.741,101.632,101.549,101.521,101.512,101.343,101.225,101.258,101.384,101.351,101.189,100.972,100.95,100.807,100.907,100.855,100.772,100.605,100.684,100.594,100.724,100.614,100.455,100.716,100.66,100.721,100.753,100.746,100.682,100.235,100.475,100.5,100.573,100.496,100.396,100.35,100.354,100.429,100.99,100.825,100.676,100.582,100.486,100.615,100.246,100.079,99.998,99.885,99.63,99.502,99.064,98.902,98.909,98.825,98.757,98.8,98.656,98.845,98.801,99.417,99.207,99.13,99.278,99.339,99.437,99.241,99.164,99.368,99.484,99.436,99.461,99.517,99.61,99.545,99.474,99.558,99.599,99.582,99.602,99.517,99.609,99.63,99.653,99.626,99.779,99.8,99.841,99.777,99.851,99.914,99.992,100.076,100.448,100.219,100.134,100.175,100.371,100.491,100.323,100.523,100.634,100.599,100.644,100.774,100.72,100.86,100.868,100.768,101.087,101.086,101.284,101.316,101.272,101.252,101.334,101.433,101.645,101.682,101.736,101.882,102.043,102.072,102.185,102.451,102.427,102.402,102.771,103.17,103.227,103.388,103.629,103.57,103.757,103.849,103.825,103.686,103.508,103.569,103.421,103.454,103.488,103.546,103.525,103.186,103.333,103.377,103.434,103.713,103.648,103.901,104.309,104.459,104.46,104.505,104.912,105.463,106.662,107.593,108.251,109.134,109.75,110.273,111.17,111.754,112.166,112.158,112.505,112.517
"53","45","    Grocery and related products wholesalers","PK42243",87.658,87.733,88.657,87.752,88.185,87.096,86.731,87.228,87.233,88.245,87.297,87.912,87.176,87.747,87.451,88.093,87.316,86.97,87.864,87.296,87.575,88.1,87.609,87.969,89.048,87.805,88.254,87.983,88.167,88.465,88.034,87.986,88.951,88.683,87.945,88.781,88.077,88.202,88.45,88.799,89.558,88.308,88.35,87.663,88.677,89.245,89.464,88.644,89.825,90.312,90.899,90.719,91.305,90.918,90.196,91.051,91.684,91.361,90.962,91.461,92.088,92.638,93.628,89.86,90.261,90.128,90.332,90.144,89.921,90.406,90.227,90.056,91.547,91.28,91.572,92.188,92.639,92.173,92.222,93.234,94.491,95.638,95.435,96.069,94.621,94.169,95.337,96.286,97.915,97.068,95.913,96.407,97.691,100.196,99.971,99.449,98.891,99.535,100.07,100.414,100.223,99.674,98.812,98.865,100.013,100.2,100.936,102.377,102.219,99.92,100.19,101.132,100.262,101.202,101.976,103.852,104.56,104.409,103.329,105.411,105.731,107.609,108.842,109.57,108.21,108.041,108.062,107.994,109.091,110.79,110.743,112.781,113.781,112.873,114.25,114.127,114.737,115.869,115.934,116.033,117.426,117.354,117.747,116.905,116.078,114.885,114.577,115.368,113.905,114.853,114.051,114.247,114.409,116.264,116.66,118.616,118.648,119.149,122.368,121.522,120.694,117.661,118.44,118.406,118.968,119.014,119.868,121.566,122.77,126.895,126.259,125.112,123.778,126.041,127.242,128.139,128.947,128.15,130.408,129.554
"54","46","    Farm product raw material wholesalers","PK42253",119.855,119.58,124.375,126.848,123.54,122.138,122.022,120.093,120.123,120.187,116.296,115.642,111.119,112.013,109.967,105.66,105.007,104.688,106.425,97.083,92.896,97.59,97.5,94.367,94.407,92.631,90.558,90.206,90.632,90.478,83.473,90.651,87.684,85.989,86.223,84.766,87.229,91.592,94.171,92.627,94.883,90.95,86.684,83.049,86.748,91.662,92.474,94.756,95.993,92.004,92.493,89.475,88.439,88.438,93.612,93.39,91.655,89.693,87.777,88.726,88.428,88.581,87.591,86.36,87.046,88.22,98.417,107.041,112.987,110.96,105.109,103.349,102.081,106.757,101.926,103.285,105.796,104.887,100.391,102.746,109.288,115.097,118.457,118.21,120.088,120.456,124.64,124.297,125.837,119.024,114.734,105.229,105.054,99.675,97.108,98.04,99.389,96.164,104.188,98.275,99.596,99.295,102.698,101.259,98.043,99.999,100.584,101.092,100.389,99.4,97.744,101.515,102.088,101.425,108.189,104.943,106.663,125.868,139.031,133.398,130.694,141.794,138.195,133.264,136.007,141.131,139.424,143.929,156.651,163.11,173.454,184.624,200.844,203.369,215.946,215.123,209.47,221.08,223.25,210.115,205.302,165.073,160.382,140.059,150.004,147.895,144.878,150.782,158.868,164.867,147.466,152.128,143.824,152.687,154.663,152.871,149.943,143.512,144.393,145.324,146.336,140.848,151.648,165.923,181.174,198.267,209.495,211.224,218.586,236.009,221.747,243.588,234.633,243.999,243.191,256.188,259.896,239.495,245.006,224.298
"55","47","    Chemical and allied products wholesalers","PK42263",75.521,75.383,75.002,74.729,74.678,74.506,74.724,75.061,75.035,74.822,74.912,74.87,74.699,74.216,74.626,74.338,74.282,74.169,74.072,73.798,73.589,73.502,73.638,73.453,73.169,72.773,72.552,72.52,72.795,73.079,73.38,73.499,74.07,74.772,75.162,75.445,75.769,76.254,76.775,77.04,77.294,77.762,78.853,78.354,78.478,78.499,78.521,78.741,79.554,80.013,80.102,79.53,79.347,78.993,77.577,76.819,77.483,76.596,76.117,75.325,75.344,75.241,76.154,77.169,77.225,77.34,77.954,78.441,78.726,79.417,79.545,79.257,80.916,83.653,84.684,82.662,82.631,82.976,82.312,82.576,82.423,82.715,82.75,83.589,85.506,85.604,85.679,86.871,87.234,88.214,89.242,91.281,93.083,94.12,95.116,95.342,95.601,96.341,98.118,98.152,97.466,96.744,98.084,98.632,102.527,106.9,106.047,106.28,107.672,107.715,107.694,107.957,109.482,111.083,111.506,112.315,110.845,110.272,108.95,109.639,109.878,109.879,110.714,111.285,113.513,114.124,115.429,113.5,114.929,117.005,121.204,120.805,123.804,124.508,127.161,129.931,134.294,137.456,143.942,142.84,144.525,134.708,126.408,118.249,117.19,117.678,117.399,116.743,118.025,120.332,120.761,122.241,123.192,123.409,124.663,126.898,129.089,131.348,132.889,133.946,133.232,131.036,129.409,130.265,131.341,132.97,135.949,138.286,142.222,146.287,146.916,151.403,153.064,155.475,155.394,154.739,155.519,154.153,151.143,148.477
"56","48","    Petroleum and petroleum products wholesalers","PK42273",50.97,48.983,46.455,43.762,42.18,40.433,39.919,41.277,40.465,41.392,41.258,40.876,37.565,35.714,32.965,32.964,32.395,30.792,30.877,28.526,28.768,29.943,29.087,26.757,28.503,26.796,29.701,35.794,35.637,35.48,39.155,41.956,43.869,43.072,46.11,50.841,51.656,56.379,59.197,54.272,53.317,58.617,58.071,56.242,59.915,60.017,62.384,61.915,60.29,59.379,56.084,57.744,58.348,56.696,51.631,52.448,55.195,47.549,46.009,43.72,43.315,44.046,47.76,51.8,49.602,50.521,52.205,52.375,54.207,58.223,57.053,58.318,62.987,73.251,74.006,59.467,54.452,58.456,59.647,61.362,59.868,59.662,61.898,66.103,70.567,70.477,68.938,70.123,72.926,71.955,74.615,75.917,77.746,86.706,89.797,82.996,83.86,88.474,92.63,92.384,87.48,92.435,96.844,103.05,116.393,125.875,108.986,113,115.969,111.792,112.059,119.557,121.205,125.234,121.771,126.055,110.296,107.01,111.003,117.024,108.752,115.014,118.143,123.374,126.27,124.434,128.645,123.896,133.525,140.193,166.421,162.048,166.136,169.495,177.8,175.908,189.088,198.843,203.104,187.292,190.764,153.959,112.563,83.637,89.048,89.631,81.083,86.225,94.281,109.709,99.125,118.54,119.214,126.751,135.455,140.521,157.386,149.914,151.929,148.933,133.905,122.902,121.18,128.064,136.593,151.297,158.389,174.046,182.128,194.682,204.364,206.978,197.259,183.946,184.138,176.481,190.955,189.799,199.022,205.922
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",85.439,85.25,85.692,85.692,85.881,85.439,85.629,85.692,84.619,84.556,84.556,84.871,85.25,85.187,85.187,85.187,85.124,85.124,85.124,85.061,84.998,85.692,86.007,86.133,86.323,86.575,85.755,85.818,86.007,85.881,86.764,86.197,86.323,86.386,86.26,86.638,86.701,87.206,87.08,86.638,89.225,89.099,89.099,89.667,89.667,90.109,89.604,90.235,91.182,90.803,91.497,91.497,91.623,91.813,91.749,91.813,91.623,92.254,92.317,92.57,92.507,92.444,92.38,92.444,92.57,92.759,92.696,92.57,92.759,92.885,93.516,93.579,93.075,92.759,94.147,94.21,93.958,93.958,94.21,93.832,93.201,94.652,93.832,95.409,97.492,97.555,97.744,97.681,95.283,95.22,95.22,96.608,95.409,96.23,96.545,95.977,99.385,99.637,99.953,99.7,99.953,99.826,100.079,100.079,100.016,100.394,100.457,100.521,100.962,101.215,101.972,102.224,101.719,101.846,101.909,99.637,99.637,99.637,100.268,101.404,100.647,101.404,99.511,100.457,100.521,100.962,100.962,101.278,101.404,101.972,102.035,102.098,102.54,104.307,104.433,104.559,104.433,104.685,104.748,104.811,104.811,105.947,105.884,105.821,107.272,108.345,108.408,108.345,108.408,108.661,108.345,107.651,108.03,109.67,109.796,109.733,109.67,109.481,109.733,109.607,109.67,109.607,109.544,109.607,110.238,112.573,112.762,113.015,113.204,113.141,113.267,113.52,113.456,113.52,113.456,113.456,113.646,115.979,116.042,116.358
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",80.057,79.869,80.111,80.529,80.528,79.893,79.783,79.707,80.324,79.928,79.835,79.654,79.17,78.873,78.535,78.569,78.912,78.76,79.134,78.933,79.016,79.202,79.217,82.202,82.3,81.969,82.124,82.291,82.224,82.447,82.279,82.551,84.374,84.378,84.416,84.457,84.115,85.727,85.454,85.272,85.582,85.449,85.568,85.909,86.307,87.002,87.063,87.675,90.215,90.17,90.414,89.91,90.499,90.014,89.889,89.787,89.554,89.293,89.68,89.539,89.331,89.184,89.675,90.569,90.666,91.054,91.608,91.971,92.373,92.22,92.131,90.609,90.984,91.703,92.677,92.761,92.951,92.617,91.744,91.922,92.472,92.859,93.614,94.138,94.687,95.268,95.824,96.3,96.272,95.904,96.048,95.659,95.769,95.719,96.052,96.172,97.578,97.658,98.496,99.195,99.6,100.202,100.457,100.661,100.909,101.433,101.869,102.289,103.181,102.927,103.009,103.222,103.269,103.015,103.072,103.076,103.013,103.883,104.758,104.981,105.68,108.367,109.868,110.688,110.927,111.531,112.585,112.529,113.211,114.099,115.6,117.282,120.258,122.576,125.597,128.445,131.359,136.268,140.795,142.678,143.483,140.726,136.738,130.786,126.462,123.441,124.299,124.317,124.645,122.951,120.848,120.456,120.165,120.721,122.034,122.722,123.512,123.773,124.977,125.61,126.308,126.316,126.407,126.837,127.656,129.461,131.391,133.417,136.891,136.953,138.031,140.381,139.497,141.091,142.673,142.689,143.324,142.838,143.838,143.198
"59","51","Retail trade industries","PK443",94.3,94.523,94.49,94.295,94.049,93.857,93.797,93.881,94.035,94.007,93.775,93.667,93.476,93.154,92.767,92.758,92.768,92.672,92.904,92.952,92.705,92.758,92.697,92.661,92.785,92.551,92.612,93.577,93.505,93.595,94.074,94.375,94.722,94.652,94.594,94.892,95.075,95.511,96.322,95.98,95.907,96.406,96.41,95.882,96.568,96.502,96.581,96.684,96.784,96.776,96.533,96.634,97.169,97.192,96.608,96.276,96.53,95.955,95.216,94.717,94.767,94.71,95.22,95.874,95.692,95.585,95.715,95.857,95.804,95.98,95.886,95.707,96.135,96.738,96.674,95.816,94.828,94.878,95.281,95.72,96.216,95.661,95.702,95.889,96.448,96.836,97.117,97.151,97.749,98.006,97.732,97.584,97.848,98.519,98.941,98.741,98.558,98.855,99.097,99.534,99.017,98.945,99.614,100.381,102.302,102.075,100.9,100.72,101.361,101.188,101.197,101.709,101.829,101.753,102.186,102.573,101.613,100.658,100.604,101.149,101.097,101.539,102.264,102.474,102.881,102.936,103.061,102.752,103.18,103.454,104.659,104.967,105.232,105.347,105.633,105.787,106.279,107.35,108.386,107.988,108.013,106.171,102.061,99.867,100.331,101.322,100.933,101.149,101.407,103.011,103.027,103.542,103.799,103.933,104.324,104.388,104.956,104.896,104.845,104.741,104.207,103.473,103.995,104.258,104.509,104.928,104.932,105.645,106.379,107.182,108.04,108.655,108.703,108.165,108.839,109.269,109.531,109.227,109.13,108.918
"60","52","  Motor vehicle and parts dealers","PK4413",97.845,98.221,98.486,98.055,97.875,97.659,97.773,97.721,97.846,98.171,97.751,97.587,97.686,97.508,97.281,97.398,96.954,96.825,97.375,97.559,97.659,97.642,97.995,97.998,98.012,97.9,97.884,97.901,97.962,98.178,98.534,98.784,98.983,98.946,99.037,98.745,98.805,98.788,99.15,99.245,99.511,99.592,99.379,98.999,99.267,99.384,99.693,100.218,100.343,100.23,100.229,100.203,100.282,100.272,100.548,100.461,99.389,100.296,100.447,100.516,100.313,99.968,99.999,100.145,100.222,99.97,100.274,100.393,100.437,100.538,100.32,100.076,99.383,99.123,99.197,99.012,98.812,98.575,98.579,98.085,97.897,97.1,97.169,97.213,97.443,97.845,98.07,98.282,98.531,98.712,98.276,97.787,98.314,98.438,99.127,99.399,99.532,99.738,99.747,99.896,100.206,100.222,99.839,99.506,99.818,100.351,100.51,100.674,100.812,100.823,100.915,101.02,100.951,100.855,101.16,101.259,101.016,101.106,100.887,100.713,100.803,100.671,100.877,100.878,100.86,100.818,100.959,101.047,101.201,101.292,101.657,101.582,101.319,101.057,100.912,100.64,100.561,100.435,100.535,100.452,100.269,99.742,99.419,98.93,99.055,99.32,99.543,99.899,100.366,100.98,100.86,101.316,102.053,102.957,103.767,104.213,104.404,104.713,104.816,105.038,105.201,105.431,105.681,105.947,105.945,105.815,105.92,105.926,106.082,106.604,107.044,107.681,108.644,109.333,109.519,109.688,109.628,109.456,109.506,109.52
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",145.597,145.799,145.502,144.452,144.534,144.448,143.523,142.746,142.673,142.28,141.608,141.481,140.797,140.33,140.511,140.741,139.542,139.108,139.034,137.965,137.314,136.839,135.811,135.278,135.12,134.528,133.945,134.051,132.897,132.43,132.146,131.249,130.794,130.022,129.181,128.95,128.849,128.489,128.749,128.174,128.266,127.594,127.499,126.703,127.103,126.46,125.843,125.168,124.684,124.228,123.175,122.975,121.904,121.434,121.057,120.1,119.619,119.14,118.717,118.071,117.61,116.873,116.398,116.223,116.12,115.617,115.001,114.504,113.883,113.516,112.72,112.139,111.619,111.063,110.554,110.253,109.043,108.421,108.102,107.435,106.864,106.783,106.342,105.863,105.781,105.696,105.366,105.127,104.546,104.479,103.741,103.152,102.925,102.891,102.244,101.699,101.718,101.143,101.202,101.186,100.978,100.227,99.946,99.353,99.065,98.716,98.442,98.442,98.106,97.703,97.405,96.996,96.351,95.782,95.486,95.37,94.622,94.422,93.873,93.396,92.749,92.76,92.394,91.861,91.328,91.024,90.392,89.727,89.379,88.94,88.289,87.885,87.815,87.561,87.428,86.411,86.103,85.956,85.919,86.008,85.863,85.736,85.2,84.736,84.598,84.586,84.416,84.335,84.068,83.745,82.851,81.973,81.555,81.009,80.776,80.299,79.915,79.175,78.943,78.41,78.103,77.58,77.073,76.726,76.604,76.458,75.981,75.407,74.692,74.555,74.205,73.955,73.68,73.582,73.166,72.665,72.201,71.887,71.458,71.291
"62","54","  Building material and garden equipment and supplies dealers","PK4443",96.764,97.407,97.97,98.014,98.336,97.833,97.829,97.541,97.376,96.418,96.422,96.168,96.064,96.063,95.987,95.591,94.868,94.149,94.344,94.521,93.559,92.694,92.613,92.83,92.974,93.384,93.733,93.748,94.177,95.209,96.328,95.866,94.813,93.97,94.035,94.394,94.598,94.711,95.243,94.861,94.011,93.97,93.707,92.915,93.031,93.126,93.102,93.13,93.072,93.076,93.171,93.01,94.36,94.675,93.751,93.858,93.618,92.477,91.951,91.578,91.837,92.157,92.888,93.037,92.691,92.521,92.627,92.812,92.51,92.038,91.994,91.873,91.905,92.387,92.318,92.227,92.285,92.371,92.979,93.204,94.881,94.978,95.228,95.116,95.558,97.185,98.459,99.682,100.544,99.52,99.236,100.202,100.281,99.075,98.031,98.335,99.077,99.862,100.133,100.292,99.728,100.194,99.996,99.765,100.295,100.635,99.956,100.026,100.745,101.204,101.255,101.241,101.241,100.429,100.073,99.515,99.687,98.76,99.285,99.828,100.296,100.928,101.405,101.264,101.101,101.502,101.693,101.053,100.916,100.793,100.672,100.948,100.658,100.682,101.007,101.1,101.588,101.307,101.665,101.937,102.213,101.962,101.242,101.169,100.491,100.336,100.122,100.307,100.55,100.702,100.865,99.885,99.875,99.631,99.595,99.618,99.831,100.308,100.819,101.442,101.807,100.974,100.473,99.939,99.816,99.84,99.674,99.891,100.519,100.957,101.46,101.51,101.449,101.22,101.425,102.121,102.026,101.919,101.809,101.805
"63","55","  Food and beverage stores","PK4453",82.747,83.116,82.999,83.085,83.019,83.093,83.151,83.287,83.382,83.474,83.651,83.626,83.919,83.939,83.912,84.126,84.367,84.367,84.589,84.826,84.838,85.162,85.202,85.632,86.119,86.108,85.957,86.33,86.377,86.44,86.663,86.805,87.267,87.31,87.517,87.604,87.699,87.968,88.317,88.525,88.868,88.958,89.416,89.666,89.857,89.858,89.945,90.387,90.471,91.001,91.14,91.399,91.564,91.916,92.253,92.278,92.526,92.682,92.618,92.425,92.806,93.162,93.26,93.753,93.211,93.276,93.41,93.445,93.499,93.398,93.673,93.647,93.835,94.254,94.463,94.348,94.281,94.844,95.042,95.422,95.695,95.889,96.333,96.814,96.689,96.813,97.185,97.333,98.048,98.212,98.31,98.398,98.274,98.94,99.339,99.229,98.989,98.881,99.08,99.922,99.895,99.772,100.091,100.22,100.609,100.705,100.858,100.95,101.274,101.203,101.325,101.26,101.388,101.702,101.915,102.179,102.449,102.601,102.47,102.496,103.107,103.903,104.343,104.704,105.028,105.479,105.702,105.963,106.357,106.772,107.294,107.575,108.325,108.815,109.172,110.393,110.895,111.75,112.987,113.552,114.162,114.318,113.885,113.401,113.649,113.693,113.553,113.607,113.323,113.74,113.463,113.625,113.417,113.513,113.639,113.782,114.03,114.301,114.557,114.734,114.704,114.451,114.659,114.815,115.186,115.386,115.376,115.795,116.407,117.362,118.357,118.76,119.1,119.152,119.565,120.278,121.026,121.24,121.223,121.452
