"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"11","3","  Goods","DGDSRG3",32.356,32.744,33.112,33.421,33.743,34.018,34.255,34.637,34.82,35.151,35.344,35.445,35.804,35.918,36.195,36.447,37.029,37.882,38.602,39.461,41.016,42.38,43.697,44.974,45.634,45.984,46.858,47.493,47.725,47.884,48.474,49.163,49.941,50.647,51.174,51.801,52.507,53.619,54.495,55.433,56.772,58.407,59.923,61.384,63.583,65.125,66.453,67.807,69.483,70.348,71.039,71.635,72.042,72.196,72.938,73.028,73.034,73.758,74.268,74.387,74.984,75.165,75.328,75.559,76.041,76.413,76.472,76.939,76.687,75.594,75.945,76.208,77.533,78.3,78.98,79.414,79.531,80.202,81.089,81.687,82.556,83.991,84.01,84.36,85.909,86.235,87.453,89.037,88.983,89.159,89.322,89.691,89.795,90.176,90.637,90.858,91.022,91.101,90.998,91.485,91.388,91.706,92.551,92.668,92.778,92.968,92.993,93.015,93.635,94.048,93.87,94.287,94.397,93.887,93.622,93.497,92.77,92.402,92.376,92.212,92.118,92.78,93.241,93.561,94.289,94.726,94.978,95.082,95.075,95.229,94.75,93.735,93.325,93.983,93.972,93.942,94.475,93.171,93.616,93.549,94.315,94.85,94.925,96.031,95.86,96.217,97.814,97.912,97.845,98.604,99.178,97.481,98.173,99.253,99.479,100.708,101.735,102.949,104.684,100.081,98.386,99.422,100.687,101.505,101.786,101.147,101.307,102.308,103.795,105.584,106.095,106.178,106.661,106.543,106.683,106.96,106.638,105.986,106.301,105.917,105.769,106.243
"12","4","    Durable goods","DDURRG3",58.436,58.874,59.155,59.52,59.622,59.857,60.297,61.3,62.168,62.61,62.471,62.15,62.686,63.007,63.329,63.126,63.387,63.886,64.202,64.407,65.12,66.769,69.313,71.48,72.6,73.905,74.715,75.864,76.889,77.743,78.684,80.015,80.838,81.249,82.094,83.192,84.385,85.672,87.059,88.583,90.021,91.605,92.657,94.326,97.091,99.383,101.195,102.929,104.237,106.202,107.772,109.175,110.092,110.949,111.346,111.67,112.47,112.89,113.508,114.214,114.247,114.956,115.184,115.395,115.983,116.253,116.055,116.356,116.382,116.918,117.894,118.562,119.561,120.498,121.36,121.854,121.642,122.315,123.186,124.102,124.731,124.832,125.113,125.523,126.19,126.203,126.259,126.514,127.596,127.917,128.391,128.667,128.661,129.012,129.118,129.32,129.255,129.936,130.569,131.431,131.735,132.521,133.455,133.682,134.217,134.071,133.639,133.342,133.442,132.563,132.217,131.645,131.137,129.873,129.003,128.283,127.341,126.391,125.425,124.492,123.445,122.831,122.264,121.538,120.973,120.717,119.978,119.689,119.152,118.306,117.525,116.946,115.926,115.36,114.801,114.051,112.601,111.388,110.274,109.278,109.19,109.104,108.28,108.432,108.211,108.074,107.312,107.078,106.653,106.186,105.737,105.086,104.56,104.09,103.408,102.999,102.678,101.892,101.61,100.853,100.346,100.216,99.539,99.899,99.506,98.902,98.275,97.803,97.672,98.068,97.841,97.317,97.132,96.761,96.205,95.766,95.52,95.06,94.45,93.82,93.148,92.721
"13","5","    Nondurable goods","DNDGRG3",23.63,23.96,24.295,24.553,24.869,25.114,25.283,25.509,25.55,25.817,26.043,26.209,26.495,26.557,26.791,27.1,27.678,28.513,29.238,30.136,31.69,32.848,33.773,34.731,35.226,35.353,36.14,36.605,36.651,36.649,37.105,37.586,38.274,38.976,39.38,39.841,40.372,41.341,42.021,42.739,43.932,45.422,46.894,48.165,50.018,51.24,52.325,53.457,55.037,55.582,56.02,56.39,56.651,56.648,57.379,57.411,57.252,57.969,58.406,58.379,59.059,59.095,59.229,59.444,59.859,60.227,60.348,60.825,60.519,59.075,59.228,59.357,60.681,61.348,61.932,62.319,62.521,63.15,63.984,64.454,65.337,67.06,67.003,67.315,69.016,69.411,70.87,72.706,72.345,72.465,72.531,72.897,73.023,73.387,73.915,74.129,74.35,74.255,73.947,74.295,74.084,74.244,75.012,75.09,75.067,75.347,75.508,75.627,76.374,77.172,77.058,77.773,78.081,77.844,77.794,77.877,77.254,77.102,77.413,77.536,77.8,78.926,79.773,80.493,81.725,82.438,83.087,83.354,83.574,84.142,83.796,82.603,82.457,83.644,83.878,84.174,85.585,84.256,85.423,85.79,86.954,87.777,88.282,89.844,89.694,90.291,93.062,93.321,93.427,94.792,95.873,93.66,94.963,96.824,97.506,99.564,101.258,103.455,106.172,99.727,97.471,99.042,101.224,102.262,102.868,102.216,102.763,104.492,106.784,109.27,110.151,110.548,111.386,111.407,111.925,112.595,112.232,111.477,112.316,112.075,112.23,113.228
"14","6","  Services","DSERRG3",15.785,16,16.214,16.439,16.661,16.893,17.103,17.356,17.59,17.823,18.073,18.243,18.443,18.596,18.779,18.955,19.114,19.412,19.75,20.121,20.535,21.02,21.508,21.982,22.484,22.857,23.281,23.74,24.134,24.446,24.879,25.306,25.807,26.318,26.826,27.26,27.786,28.345,28.874,29.462,29.876,30.65,31.377,32.128,32.928,33.739,34.609,35.588,36.547,37.285,38.097,38.887,39.589,40.197,41,41.766,42.396,42.767,43.531,43.982,44.544,45.22,45.757,46.148,46.888,47.404,48.029,48.386,49.093,49.489,49.756,50.14,50.333,50.797,51.298,51.863,52.489,53.161,53.861,54.494,55.124,55.709,56.228,56.801,57.458,58.167,58.84,59.428,59.931,60.376,60.968,61.518,62.08,62.58,63.025,63.64,64.172,64.826,65.317,65.707,66.117,66.566,66.96,67.41,67.874,68.397,68.818,69.286,69.633,70.181,70.73,71.303,71.748,72.248,72.653,73.062,73.375,73.741,74.102,74.47,74.818,75.141,75.551,76.107,76.767,77.115,77.749,78.375,79.194,79.712,80.027,80.586,81.009,81.661,82.304,82.901,83.55,84.287,84.864,85.43,86.057,86.726,87.467,87.981,88.771,89.502,90.212,91.249,91.931,92.636,93.364,93.975,94.96,95.563,96.276,97.126,97.878,98.831,99.5,99.578,99.56,99.727,100.048,100.665,101.037,101.518,101.887,102.202,102.61,103.28,103.853,104.353,104.941,105.526,105.973,106.541,107.122,107.641,108.154,108.759,109.39,110.089
"15","7","Gross private domestic investment","B006RG3",27.562,27.854,28.097,28.468,28.696,29.293,29.233,29.578,30.094,30.521,30.854,31.118,31.483,31.7,32.03,32.485,32.777,33.361,34.057,34.463,35.177,36.228,37.644,39.04,40.376,41.302,41.793,42.359,42.732,43.457,44.068,44.739,45.647,46.491,47.4,48.353,49.273,50.272,51.263,52.309,53.374,54.716,56.054,57.205,58.543,59.914,61.159,62.447,64.232,65.654,66.738,68.024,68.785,69.616,70.073,70.227,70.049,69.788,69.754,69.966,70.179,70.568,70.833,70.99,71.186,71.285,71.575,72.022,72.353,72.826,73.395,73.922,74.24,74.436,74.641,75.272,75.838,76.296,76.603,77.355,77.797,78.29,78.693,79.101,79.571,79.849,80.342,80.669,81.385,81.483,81.617,81.355,81.166,81.303,81.491,81.764,82.02,82.326,82.522,82.715,83.197,83.429,83.729,84.076,84.604,84.913,85.144,85.071,84.882,84.727,84.976,84.896,84.913,84.925,84.981,84.869,84.489,84.285,84.212,84.251,84.371,84.426,84.341,84.618,85.142,85.473,85.857,86.029,86.111,86.375,86.592,86.665,86.601,86.637,86.725,87.171,87.533,87.545,87.834,88.453,89.281,90.238,91.1,91.963,92.943,93.899,95.061,96.273,97.216,97.851,98.413,99.241,99.855,100.008,100.024,100.116,100.282,100.475,100.983,102.371,101.684,100.262,99.058,98.996,98.798,98.932,99.1,99.608,99.926,100.371,100.645,100.87,101.308,101.643,102.02,102.329,102.794,103.37,103.897,104.465,105.094,105.353
"16","8","  Fixed investment","B007RG3",26.728,27.016,27.263,27.618,27.84,28.438,28.379,28.711,29.21,29.621,29.966,30.24,30.613,30.819,31.122,31.562,31.881,32.444,33.128,33.571,34.231,35.215,36.556,37.984,39.282,40.208,40.686,41.287,41.686,42.41,43.005,43.677,44.592,45.424,46.433,47.432,48.335,49.333,50.295,51.3,52.367,53.701,54.994,56.108,57.415,58.736,60.001,61.275,62.877,64.27,65.364,66.719,67.543,68.4,68.844,69.035,68.823,68.622,68.637,68.785,68.936,69.276,69.555,69.778,70.023,70.155,70.481,70.931,71.297,71.839,72.439,72.905,73.181,73.347,73.561,74.26,74.909,75.389,75.772,76.487,76.914,77.41,77.798,78.227,78.7,79.009,79.491,79.919,80.585,80.726,80.8,80.538,80.406,80.551,80.74,81.016,81.299,81.577,81.734,81.979,82.428,82.694,83.047,83.374,83.885,84.199,84.45,84.435,84.308,84.155,84.381,84.347,84.373,84.425,84.544,84.45,84.141,83.964,83.918,83.956,84.089,84.171,84.098,84.384,84.94,85.299,85.689,85.873,85.926,86.221,86.435,86.49,86.404,86.453,86.567,87.031,87.425,87.433,87.725,88.354,89.176,90.138,91.005,91.866,92.868,93.854,95.051,96.255,97.202,97.854,98.394,99.218,99.844,100.002,100.024,100.084,100.293,100.518,101.227,101.944,101.367,100.158,99.22,99.255,98.987,99.024,99.138,99.571,99.95,100.455,100.718,100.973,101.45,101.766,102.151,102.453,102.94,103.545,104.071,104.734,105.461,105.756
"17","9","    Nonresidential","B008RG3",33.324,33.639,34.01,34.429,34.811,35.381,35.609,36.079,36.59,37.018,37.345,37.579,38.005,38.296,38.541,38.772,39.109,39.663,40.279,40.759,41.521,42.808,44.543,46.475,48.196,49.431,50.067,50.751,51.311,51.971,52.663,53.433,54.473,55.294,56.253,57.229,58.078,59.044,60.011,61.045,62.328,63.699,65.042,66.263,67.743,69.298,70.77,72.236,74.201,75.998,77.397,79.08,80.015,80.983,81.479,81.67,81.24,80.873,80.75,80.748,80.819,81.122,81.3,81.396,81.649,81.791,82.096,82.452,82.663,83.203,83.746,84.13,84.194,84.169,84.198,84.989,85.78,86.239,86.608,87.417,87.871,88.257,88.752,89.19,89.691,90.041,90.66,91.259,92.154,92.233,92.177,91.899,91.808,91.719,91.779,91.785,91.869,91.943,91.897,92.163,92.411,92.6,92.789,92.867,93.256,93.563,93.809,93.605,93.291,92.917,92.929,92.738,92.633,92.562,92.488,92.13,91.596,91.133,90.766,90.548,90.458,90.25,89.894,90.066,90.352,90.564,90.864,90.863,90.518,90.529,90.318,90.207,90.135,89.998,90,90.055,89.801,89.747,89.895,90.096,90.388,90.949,91.331,91.898,92.795,93.512,94.046,94.966,95.623,96.169,96.796,97.656,98.304,98.621,98.649,98.722,99.139,99.559,100.697,101.952,101.425,100.236,99.237,99.102,98.735,98.953,99.095,99.496,99.909,100.445,100.761,101.065,101.68,101.984,102.263,102.402,102.62,103.058,103.364,103.701,104.059,104.374
"18","10","      Structures","B009RG3",11.701,11.894,12.058,12.288,12.411,12.799,12.835,13.048,13.317,13.62,13.922,14.166,14.444,14.624,14.815,15.103,15.327,15.655,16.089,16.482,16.926,17.663,18.486,19.263,19.826,20.184,20.363,20.603,20.728,21.1,21.409,21.707,22.395,22.799,23.314,23.805,24.316,24.995,25.609,26.307,27.041,27.87,28.733,29.344,29.85,30.456,31.106,32.079,33.455,34.618,35.598,36.802,37.6,37.973,38.077,37.908,37.258,36.884,36.806,36.75,36.794,37.164,37.404,37.626,37.913,38,38.198,38.419,38.578,38.776,38.949,39.151,39.162,39.328,39.54,39.924,40.549,40.952,41.354,41.796,42.153,42.65,42.983,43.315,43.678,43.984,44.347,44.617,45.014,45.091,45.079,44.642,44.642,44.819,45.035,45.373,45.702,46.095,46.469,46.878,47.241,47.532,48.115,48.793,49.378,49.701,50.242,50.661,50.709,50.899,51.55,51.905,52.408,52.886,53.479,54.119,54.879,55.465,55.918,56.374,56.775,57.145,57.546,58.046,58.741,59.279,59.905,60.614,61.47,62.4,63.395,63.783,64.385,65.091,65.681,66.459,67.262,67.305,67.803,68.723,70.144,71.736,73.702,75.931,78.184,80.271,83.199,86.57,88.871,91.144,92.849,95.327,96.536,97.007,97.868,99.067,100.183,101.062,102.859,104.931,103.757,100.651,97.895,97.696,98.05,98.554,99.077,99.693,100.089,101.342,102.398,103.575,104.47,105.479,105.77,106.138,106.864,108.194,108.778,109.829,110.452,110.826
"19","11","      Equipment","Y033RG3",54.456,54.738,55.226,55.707,56.31,56.845,57.272,57.942,58.578,58.95,59.034,59.031,59.442,59.719,59.831,59.693,59.942,60.546,61.036,61.197,61.954,63.507,66.107,69.356,72.557,74.871,76.028,77.211,78.396,79.151,80.166,81.41,82.733,83.952,85.303,86.744,87.767,88.826,89.935,91.02,92.71,94.4,95.943,97.62,100.149,102.692,104.91,106.436,108.477,110.56,111.962,113.494,113.987,115.555,116.391,116.915,116.744,116.241,115.674,115.521,115.323,115.243,114.999,114.823,114.708,114.826,115.136,115.717,115.915,116.984,118.073,118.663,118.631,118.051,117.491,118.521,119.13,119.437,119.64,121.025,121.491,121.634,122.312,122.957,123.638,123.898,124.79,126.05,127.065,126.772,126.409,126.575,127.112,126.672,126.499,125.769,125.608,125.206,124.796,124.527,124.977,125.208,124.936,124.125,123.615,123.834,123.478,122.854,121.856,120.734,120.272,119.72,118.665,117.749,116.973,115.883,114.111,112.62,111.364,110.121,109.347,108.185,107.004,106.376,106.064,105.641,105.292,104.547,103.261,102.627,101.887,101.344,100.902,100.427,99.915,99.738,98.859,98.421,98.354,98.446,98.241,98.579,98.3,98.322,98.806,98.938,98.444,98.368,98.24,98.024,98.327,98.675,98.975,99.111,98.515,97.805,97.645,97.645,98.793,100.682,100.739,100.433,99.897,98.931,97.875,97.817,98.049,98.293,98.486,98.833,98.941,99.173,99.579,99.586,99.878,100.267,100.196,100.231,100.339,100.287,100.477,100.752
"20","12","      Intellectual property products","Y001RG3",34.929,35.293,35.756,36.148,36.672,37.008,37.403,37.816,38.237,38.487,38.725,38.901,39.259,39.579,39.903,40.214,40.706,41.277,41.986,42.852,43.938,45.049,46.164,47.24,48.166,49.065,49.638,50.162,50.413,51.137,51.765,52.425,52.83,53.372,53.978,54.59,55.339,56.015,56.838,57.758,58.65,59.712,60.758,61.849,63.077,64.283,65.514,66.707,67.962,69.144,70.219,71.629,72.448,73.31,74.098,74.939,75.631,76.067,76.801,77.306,77.951,78.4,78.989,79.036,79.58,79.796,80.117,80.112,80.303,80.423,80.583,80.784,81.127,81.58,82.141,83.013,83.941,84.472,84.759,84.909,85.269,85.513,85.757,85.803,85.993,86.356,86.747,86.727,88.028,88.608,88.931,88.455,87.359,87.294,87.365,87.826,87.81,88.02,87.837,88.606,88.263,88.156,88.37,88.898,90.402,90.748,91.456,90.997,91.337,91.419,91.238,90.853,91.413,91.928,92.053,91.507,91.264,91.114,91.138,91.762,92.203,92.904,93.046,94.142,94.901,95.77,96.738,97.101,96.875,96.814,95.973,95.968,95.741,95.25,95.464,95.178,94.873,95.313,95.449,95.138,95.15,95.11,95.109,95.07,95.439,95.902,96.066,96.54,97.09,97.409,97.619,97.916,98.646,99.11,99.365,99.601,100.225,100.838,101.317,100.927,100.315,99.74,99.564,100.382,100.295,100.636,100.381,100.851,101.584,101.945,102.087,101.914,102.649,102.896,103.143,102.741,103.045,103.487,103.901,104.339,104.77,105.104
"21","13","    Residential","B011RG3",15.485,15.707,15.772,16.008,15.994,16.586,16.142,16.274,16.708,17.051,17.366,17.634,17.883,17.966,18.267,18.828,19.074,19.555,20.221,20.572,21.039,21.536,22.226,22.826,23.408,23.815,24.036,24.471,24.622,25.341,25.748,26.219,26.862,27.587,28.501,29.385,30.23,31.131,31.964,32.806,33.469,34.611,35.712,36.584,37.551,38.437,39.314,40.219,41.14,41.766,42.259,42.941,43.557,44.217,44.569,44.776,45.017,45.134,45.388,45.775,46.051,46.436,46.877,47.318,47.544,47.655,48.007,48.605,49.217,49.73,50.38,50.944,51.526,51.972,52.462,52.975,53.362,53.85,54.235,54.76,55.121,55.789,55.981,56.385,56.804,57.033,57.252,57.332,57.524,57.801,58.147,57.921,57.72,58.298,58.726,59.499,60.141,60.793,61.323,61.524,62.33,62.729,63.373,64.169,64.93,65.262,65.533,65.909,66.172,66.474,67.15,67.453,67.769,68.101,68.659,69.167,69.366,69.845,70.538,71.166,71.829,72.604,73.211,73.794,75.041,75.795,76.433,77.103,78.183,79.209,80.483,80.944,80.818,81.28,81.633,82.984,84.753,84.899,85.511,87.034,88.936,90.709,92.541,93.999,95.218,96.756,99.302,101.137,102.748,103.684,104.054,104.798,105.339,105.061,105.104,105.201,104.797,104.365,103.439,101.985,101.153,99.837,99.141,99.868,100.027,99.328,99.325,99.898,100.112,100.472,100.482,100.512,100.36,100.745,101.618,102.644,104.271,105.571,106.982,108.968,111.244,111.451
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","B020RG3",30.959,31.011,31.434,32.161,32.16,32.789,32.711,32.832,33.787,33.862,33.694,33.9,34.825,35.098,35.232,36.031,37.051,38.713,40.954,43.036,46.037,47.617,50.3,52.866,54.349,54.191,54.029,54.359,55.147,55.75,56.076,57.077,57.729,58.583,58.293,58.571,59.718,61.206,62.209,64.25,66.142,68.834,70.446,71.739,73.851,74.863,76.981,79.579,81.573,81.932,82.059,82.324,82.814,82.752,82.155,81.676,82.02,82.317,82.777,83.586,83.691,84.228,83.374,82.483,81.587,81.264,80.606,80.408,79.983,79.559,79.107,79.735,80.04,81.216,81.461,82.809,83.768,85.511,86.541,86.38,87.201,87.333,86.811,86.535,86.619,86.784,87.587,88.855,89.08,88.572,87.965,88.125,87.985,88.071,88.062,87.898,87.997,88.237,88.177,88.145,88.547,88.898,89.315,89.875,90.835,91.553,91.324,90.898,90.718,90.43,89.759,88.843,88.602,88.548,88.323,87.925,87.03,86.564,85.87,85.568,85.355,85.49,85.59,85.879,86.46,87.092,87.537,87.545,87.446,86.969,86.552,85.63,85.329,85.962,86.545,86.531,87.387,87.564,87.838,88.356,89.414,90.675,91.205,92.084,93.769,94.385,95.057,95.657,96.357,97.673,98.989,98.896,99.573,100.615,101.357,102.885,104.466,107.347,108.977,102.444,99.014,98.962,100.236,101.788,102.684,103.818,104.064,106.487,109.204,111.523,112.162,110.953,111.696,111.931,111.889,112.244,112.528,111.663,111.868,111.945,112.716,112.701
"25","17","    Goods","B253RG3",35.354,35.26,35.751,36.745,36.963,37.746,37.422,37.452,38.579,38.526,38.119,38.364,38.902,39.188,39.258,40.338,41.924,44.037,46.919,49.601,53.323,55.307,58.813,62.26,64.218,63.74,63.348,63.637,64.499,65.209,65.467,66.678,67.516,68.428,67.768,67.864,69.244,71.045,72.129,74.8,77.364,80.755,82.553,83.777,86.078,87.039,89.572,92.822,95.127,95.3,95.162,95.185,95.609,95.162,93.894,92.907,92.986,93.335,93.909,95.087,95.469,95.956,94.426,92.824,91.307,90.619,89.268,88.625,87.571,86.889,86.084,86.81,87.207,88.661,88.758,90.656,91.906,94.288,95.72,95.283,96.198,96.117,95.197,94.524,94.149,94.271,94.707,95.541,95.64,95.053,93.9,93.901,93.516,93.386,93.015,92.664,92.698,92.821,92.682,92.5,93.047,93.457,93.844,94.565,95.788,96.452,96.101,95.476,94.903,94.352,93.174,91.627,91.421,91.179,90.837,90.233,89.189,88.514,87.534,86.967,86.678,86.619,86.824,87.316,87.688,88.37,88.633,88.77,88.635,88.243,87.748,86.774,86.451,86.869,87.691,87.809,88.648,88.862,88.834,89.618,90.676,92.207,92.609,93.5,94.479,95.207,95.764,96.427,96.96,98.481,99.886,99.986,100.555,101.751,102.374,104.066,105.757,109.408,110.957,102.693,98.56,99.095,100.363,101.982,103.034,104.402,104.765,107.931,111.162,113.823,114.402,112.806,113.44,113.516,113.517,113.716,113.897,112.729,112.786,112.621,113.471,113.127
"26","18","    Services","B646RG3",21.848,22.158,22.449,22.66,22.251,22.58,22.957,23.238,23.839,24.13,24.412,24.556,26.106,26.369,26.641,26.885,26.708,27.392,28.223,28.94,30.288,30.948,31.747,32.33,32.792,33.335,33.697,34.145,34.778,35.141,35.63,36.171,36.407,37.153,37.713,38.399,39.04,39.842,40.675,41.303,41.69,42.83,44.038,45.538,47.281,48.487,49.686,50.814,52.16,52.974,53.716,54.531,55.18,55.975,56.853,57.454,58.355,58.536,58.757,58.789,58.337,58.968,59.494,60.087,60.481,60.902,61.662,62.372,63.174,63.247,63.477,63.902,64.025,64.635,65.176,65.399,65.758,66.156,66.343,66.755,67.369,67.935,68.252,68.797,69.822,70.071,71.616,73.746,74.229,73.895,74.413,74.897,75.269,75.804,76.556,76.792,77.025,77.503,77.607,77.89,77.986,78.211,78.691,78.896,79.266,80.103,80.149,80.168,80.871,81.182,81.688,82.252,81.944,82.362,82.435,82.553,82.024,82.073,82.072,82.438,82.435,83.051,82.903,82.7,83.791,84.297,85.207,84.879,84.878,84.186,83.961,83.165,82.917,84.063,84.075,83.753,84.652,84.74,85.73,85.62,86.674,87.32,88.148,89.004,92.319,92.68,93.633,94.085,95.188,96.01,97.116,96.564,97.492,98.189,99.217,100.395,101.754,102.86,104.656,101.981,99.96,98.699,99.962,101.378,101.96,102.596,102.593,103.414,105.009,106.582,107.346,106.973,107.955,108.545,108.409,109.105,109.612,109.403,109.932,110.541,111.138,111.851
"27","19","  Imports","B021RG3",20.685,20.775,20.926,21.465,21.692,21.94,22.477,22.703,23.274,23.355,23.641,23.993,24.4,25.032,25.435,25.999,26.763,28.871,30.246,32.52,37.678,41.997,44.152,45.564,46.282,46.403,45.37,45.439,46.182,46.888,47.73,48.218,49.91,51.292,51.97,52.501,53.38,54.674,55.584,56.559,58.767,61.822,66.433,70.831,76.738,79.52,81.749,83.171,85.303,85.815,83.576,83.752,83.504,82.038,81.06,80.438,78.746,78.746,78.895,78.393,78.627,79.063,77.66,76.711,74.876,75.2,75.134,76.6,76.743,74.367,74.883,75.813,77.769,79.808,80.624,81.88,83.04,84.516,83.58,84.258,85.606,86.547,85.066,85.508,86.83,85.299,87.775,92.649,89.814,87.34,86.03,86.431,86.841,87.183,88.293,87.58,87.05,87.352,86.579,86.235,86.193,87.007,88.47,88.807,89.541,90.829,90.26,89.448,89.256,88.793,87.895,87.858,87.188,85.373,84.808,84.134,82.053,81.055,80.016,79.991,79.789,80.771,81.734,82.827,84.351,84.462,85.089,85.372,85.157,83.373,82.15,80.185,79.983,81.848,82.329,82.686,85.104,83.813,84.326,84.804,86.468,87.611,88.867,90.936,91.49,92.503,94.712,96.503,96.688,97.719,98.727,97.517,97.874,99.503,101.294,105.424,108.915,114.564,117.702,105.17,96.382,97.906,101.327,104.385,105.925,105.391,104.739,107.144,111.485,114.902,114.826,114.553,115.633,114.656,113.323,114.393,114.496,113.048,113.287,113.286,114.082,113.858
"28","20","    Goods","B255RG3",21.004,21.085,21.206,21.921,22.174,22.397,23.086,23.351,23.766,23.705,23.962,24.238,24.845,25.604,26.003,26.55,27.36,29.573,30.921,33.551,39.757,45.04,47.65,49.225,50.049,49.999,48.48,48.362,49.302,50.2,51.097,51.556,53.544,55.122,55.789,56.221,57.194,58.57,59.311,60.318,62.867,66.337,71.658,76.71,83.458,86.765,89.165,90.864,93.537,94.095,91.083,91.035,90.626,88.959,87.996,87.235,85.056,85.076,85.247,84.605,84.83,85.405,84.137,83.272,81.088,81.062,80.421,81.787,81.23,77.966,78.393,79.504,82.321,84.773,85.572,87.039,88.047,89.76,88.647,89.434,91.405,92.678,90.73,91.033,92.249,89.937,92.493,97.886,94.16,91.52,89.734,90.107,90.418,90.68,91.515,90.91,90.276,90.457,89.625,89.103,89.019,89.992,91.402,91.667,92.788,93.815,93.047,92.083,91.744,91.071,89.845,89.649,88.935,86.717,86.207,85.484,83.347,81.979,80.671,80.364,80.078,81.047,82.115,83.509,85.365,85.626,86.261,86.7,86.277,84.391,82.867,80.654,80.41,82.208,82.604,83.117,85.708,83.732,84.137,84.634,86.479,87.993,89.067,91.259,91.904,93.195,95.561,97.663,97.697,98.747,99.831,98.387,98.819,100.536,102.355,107.042,111.09,117.306,120.821,106.193,95.724,97.664,101.589,105.024,106.953,106.313,105.51,108.171,113.286,117.207,117.183,117.037,118.301,117.081,115.467,116.649,116.772,115.098,115.377,115.175,116.043,115.77
