"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","  Nondefense","A825RZ2",1.35,0.63,0.44,5.44,9.83,-0.99,14.23,-4.25,3.71,1.9,-2.46,-2.94,-3.32,-1.02,0.02,-0.43,1.08,1.61,3.95,3.34,-2.36,-1.96,1.05,1.58,-0.43,-0.47,-0.61,0,0.32,2.71,-0.64,0.4,2.02,1.23,1.26,1.04,0.49,0.24,0.16,0.46
"35","26","    Consumption expenditures","A542RZ2",0.71,-0.24,-0.75,3.65,8.62,-4.2,15.41,-3.65,3.76,2.61,-2.21,-4.51,-2.89,-0.86,0.34,-0.28,1.21,1.03,2.79,2.3,-2.86,-1.73,1.06,1.87,-0.21,-0.21,-1.02,-0.41,-0.11,2.64,-1.26,-0.11,1.25,-0.02,0.29,0.25,-0.23,0.72,0.06,0.64
"36","27","    Gross investment","A798RZ2",0.65,0.86,1.19,1.78,1.21,3.21,-1.17,-0.6,-0.04,-0.71,-0.25,1.57,-0.42,-0.15,-0.32,-0.15,-0.13,0.59,1.16,1.04,0.5,-0.23,-0.01,-0.29,-0.22,-0.25,0.42,0.4,0.43,0.07,0.62,0.51,0.77,1.25,0.97,0.79,0.72,-0.48,0.1,-0.18
"37","28","      Structures","A830RZ2",0.53,0.7,1.19,1.6,0.25,2.01,-0.49,-0.63,-0.4,-0.58,-0.15,0.15,-0.5,-0.09,-0.2,-0.04,-0.16,0.69,0.76,0.89,0.15,-0.23,-0.07,-0.07,-0.14,-0.3,0.24,0.17,0.27,0.06,0.16,0.15,0.16,0.12,0.12,0.09,-0.01,-0.37,-0.11,-0.14
"38","29","      Equipment","Y066RZ2",0.01,0.02,-0.13,0.2,1.07,1.21,-0.71,0.02,0.31,-0.17,-0.17,1.37,0,-0.14,-0.11,-0.09,0.07,-0.12,0.19,-0.04,0,0.06,0.15,-0.1,-0.06,-0.04,0.02,0.01,-0.05,0.01,0.01,0.07,-0.03,0.04,0.09,0,0.05,0,-0.08,0.02
"39","30","      Intellectual property products","Y067RZ2",0.1,0.14,0.14,-0.02,-0.11,-0.02,0.03,0,0.05,0.04,0.06,0.06,0.08,0.08,-0.01,-0.03,-0.03,0.02,0.21,0.2,0.35,-0.05,-0.09,-0.12,-0.02,0.08,0.16,0.23,0.22,0,0.45,0.29,0.64,1.09,0.76,0.71,0.67,-0.1,0.28,-0.06
"40","31","        Software","Y068RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.01,0,0.01,0.02,0.02,0.01,0.04
"41","32","        Research and development","Y069RZ2",0.1,0.14,0.14,-0.02,-0.11,-0.02,0.03,0,0.05,0.04,0.06,0.06,0.08,0.08,-0.01,-0.03,-0.03,0.02,0.21,0.2,0.35,-0.05,-0.09,-0.12,-0.02,0.08,0.16,0.23,0.22,0,0.45,0.29,0.64,1.08,0.75,0.7,0.66,-0.12,0.27,-0.1
"42","33","State and local","A829RZ2",8.03,3.52,-3.55,-8.32,3.45,2.28,0.04,0.1,3.4,5.71,-1.85,-3.45,-2.89,-1.15,-0.3,0.28,0.87,3.51,2.22,5.66,3.15,0.34,0.53,1.37,2.37,2.24,1.13,2.11,3.05,1.26,1.66,2.43,1.19,2.3,2.71,2.79,2.72,2.16,2.54,1.53
"43","34","  Consumption expenditures","A991RZ2",3.42,3.03,0.89,-1.2,1.14,3.19,-9.94,3.01,0.19,2.31,2.16,1.38,0.61,-0.01,-0.14,0.18,0.25,1.5,0.25,2.5,1.73,-0.08,0.3,0.66,0.81,1.4,0.86,1.28,1.91,0.91,1.49,1.52,0.76,1.3,1.84,1.91,1.86,1.37,1.98,2.03
"44","35","  Gross investment","A799RZ2",4.61,0.48,-4.43,-7.12,2.31,-0.92,9.97,-2.91,3.21,3.4,-4.01,-4.83,-3.5,-1.14,-0.16,0.11,0.61,2.02,1.97,3.15,1.42,0.42,0.23,0.71,1.56,0.84,0.27,0.83,1.14,0.35,0.17,0.91,0.43,1,0.87,0.88,0.87,0.79,0.56,-0.5
"45","36","    Structures","A842RZ2",4.93,0.23,-4.31,-6.75,2.38,-0.95,9.99,-3.23,3.06,3.19,-3.74,-4.52,-3.35,-1.08,-0.16,0.1,0.55,1.82,1.76,3.09,1.39,0.38,0.17,0.66,1.48,0.86,0.16,0.62,1.13,0.28,0.04,0.86,0.35,0.85,0.71,0.78,0.73,0.72,0.5,-0.6
"46","37","    Equipment","Y070RZ2",-0.34,0.23,-0.13,-0.36,-0.08,-0.01,-0.04,0.31,0.13,0.21,-0.28,-0.32,-0.14,-0.05,0,0,0.06,0.21,0.21,0.05,0.02,0.04,0.06,0.04,0.07,-0.02,0.1,0.2,0,0.06,0.11,0.03,0.06,0.13,0.13,0.07,0.1,0.04,0.05,0.07
"47","38","    Intellectual property products","Y071RZ2",0.02,0.03,0.01,-0.01,0.01,0.04,0.02,0.01,0.01,0,0.01,0.01,-0.01,-0.01,0,0,0,-0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.03,0.02,0.03
"48","39","      Software","Y072RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0.01
"49","40","      Research and development","Y073RZ2",0.02,0.03,0.01,-0.01,0.01,0.04,0.02,0.01,0.01,0,0.01,0.01,-0.01,-0.01,0,0,0,-0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
