"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"54","46","  Other","B910RX1",6,6,6,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.8,6.9,6.9,7,7.1,7.1,6.7,6.7,6.6,6.6,6.5,6.5,6.6,6.8,6.9,6.9,6.9,6.8,6.6,6.4,6.2,6.2,6.2,6.2,6,5.9,5.9,5.8,5.7,5.7,5.6,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.4
"55","47","Residual","A978RX1",-60.1,-42.7,-37,-24.4,-29.4,-20.5,-18.3,-21.5,-33.3,-35.4,-33.3,-40.4,-25.6,-21,-15.9,-25.5,-17.1,-23.1,-24.8,-12.2,-15.8,-8.9,-6.8,-7.7,-5.9,-3.9,-1.5,0.1,-1.2,0.5,3.8,0.3,-0.7,-0.5,-1.7,-0.2,-3.3,-8.3,-7.1,6.2,1.1,1.9,0.8,-3.5,-2.1,-2.7,-5.4,-12.5,-8.6,-14.2,-21.5,-22.6,-32.8,-33.6,-36.6,-41.2,-43.1,-45.8,-51.2,-56.7,-50.1,-63.6
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","A332RX1",515.7,521.3,539.4,558.8,574.6,597.3,616.1,609,597.8,564.8,526.8,508.7,504.2,525,530.7,514.9,511.4,516.2,526.2,558.1,572,584,591.2,596.8,612.5,634.1,644.4,673,696.6,705.6,706.7,731.5,742.9,758.9,781.8,799.6,811,840.1,835.9,753.8,655.1,636.7,671.6,723.2,744.9,781.5,795.5,817.4,828.7,849.5,859.2,870.7,893.6,890.7,892.6,888.1,887.5,913.3,910.5,922.3,913.1,938.8
"58","49","  Exports of nondurable goods","A339RX1",280.9,287.3,288.6,295.1,294.5,296.4,311.3,305.4,303.7,303.4,295.6,297.7,301.9,308.4,307.4,305,311.9,306.1,313.6,316.3,319.1,320,321,333.3,334.6,341.9,328.9,327.1,348.4,354.5,355,362.7,365.9,367,377.3,385.5,403.7,412.6,409,391.4,372.8,384.2,399,417.8,428.8,423.5,435.2,448.6,446.6,443.1,444.8,458.1,443.7,461.5,466,460.3,458.2,460.8,480.2,510.5,478.2,497.4
"59","50","  Exports of agricultural goods \5\","B181RX1",72.2,77.2,82.3,78.8,81.7,81.3,87.7,82.7,85,86,85.2,87.4,87,85.9,82,80,83.8,83.3,87.4,84.8,80.5,75.3,78.9,86.7,84.4,84.9,82.4,85.7,91,92.8,91.2,90.8,91.6,94.3,102.2,103.5,106.3,105.9,103.1,102,96.7,100.2,99.8,107.2,112.1,105.6,111.5,118,114.6,110.4,106.3,110,106.9,114,118.3,105.8,109.6,103.4,110.5,127.8,119.9,114.2
"60","51","  Exports of nonagricultural goods","A182RX1",721.7,729,745.8,774.1,788.3,814.1,841.7,832.8,818,782.2,736.3,717.1,716,744.1,752.2,735,734.4,734.9,748.4,786.2,806.4,824.1,829.3,839.8,859,887.3,888,912.3,951.4,964.7,967.4,1000,1013.9,1028.7,1054.3,1078.6,1105.6,1143.7,1138.6,1042.1,931,920.5,971.1,1034.1,1061.8,1098.5,1118.5,1147.2,1159.5,1179.8,1195.5,1217.2,1225.7,1235.3,1237.2,1241.4,1233.7,1268.5,1279.5,1304.8,1268.5,1321.5
"61","52","  Imports of durable goods","A333RX1",679.4,711.4,741.2,765.6,800.4,827.1,854.6,855.3,824.3,782.5,765.5,756.3,781.6,817,829.6,832.9,823.9,840.9,843,893.8,914.6,964,986.3,1012.4,1023,1043,1053.5,1087.1,1131.9,1140.7,1147.4,1160.8,1172.5,1174,1185.6,1165.7,1179.2,1175.6,1137.8,1023.4,867.6,834.5,898.9,974.2,1006.2,1081.2,1133.2,1160.2,1177.7,1175.5,1206.6,1231.7,1274.2,1288.3,1284.8,1284.6,1288.3,1324.1,1339.8,1354.9,1352.2,1422.5
"62","53","  Imports of nondurable goods","A340RX1",559.2,563.7,582.2,586.3,602.6,614.7,637.2,643.1,653.4,642.9,634.1,633.9,628.7,652.4,667.3,689,680.1,704.2,706.1,705.1,730.2,745.3,745.3,761.9,774.4,771.4,764.3,789.2,775.9,791.5,805.1,778.2,800.1,804.3,790.8,781.6,780.4,768.1,755.4,760.6,726.3,680.6,685.8,693.5,714.4,736.4,752.1,740.4,748.6,753.7,739.2,742.2,718.1,723.9,721.7,701.1,700.7,708.1,696.7,689.2,701.8,699.6
"63","54","  Imports of nonpetroleum goods","A187RX1",990.8,1029.3,1072,1105.1,1145.9,1184.2,1227,1228.1,1196.3,1151.7,1133.2,1118.9,1147,1198.1,1222.3,1233.9,1224.2,1247.5,1249.6,1307.1,1336.2,1404,1425.3,1455.4,1481.9,1501.1,1505.2,1551.4,1601.3,1622,1625.5,1641.7,1671.5,1673.1,1677.7,1645.3,1664.2,1659.6,1614.1,1476.9,1299.3,1249.9,1325.1,1416,1459.9,1542.4,1607.4,1642.6,1654.9,1668.8,1691.2,1718.8,1751.5,1769,1775.3,1761.3,1774.8,1814.1,1825.2,1838.9,1838.5,1928.3
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","relative importance or its contribution to the growth rate of more aggregate series; accurate estimates of these contributions ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","are shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","value of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","chained-dollar estimates are usually not additive. For exports and for imports, the residual line is the difference between the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","aggregate line and the sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
