"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"11","3","  Foods, feeds, and beverages","B638RG3",32.017,31.94,31.81,31.078,31.873,32.309,33.139,34.088,35.017,35.35,35.503,34.514,34.925,35.714,36.336,39.125,45.508,51.887,62.737,68.398,76.097,75.773,75.785,85.055,83.826,76.293,73.148,71.795,69.757,68.804,69.755,68.838,71.751,75.031,65.377,63.767,69.255,73.234,74.738,73.554,77.667,79.403,84.558,83.943,83.703,81.012,85.544,93.251,96.024,93.558,87.297,83.333,83.591,81.635,77.557,75.019,78.048,80.383,83.871,89.078,88.679,89.467,84.313,79.226,77.555,76.797,72.953,73.961,72.174,71.295,67.218,68.922,67.004,70.288,67.939,74.955,74.499,83.553,93.983,89.275,91.659,90.66,86.336,83.926,83.681,85.269,82.329,79.398,81.815,83.114,81.43,83.811,83.672,83.564,80.692,80.34,81.263,81.457,84.024,85.437,88.034,86.758,83.766,84.944,86.439,89.692,96.085,100.824,103.095,110.453,106.404,97.494,97.732,97.999,95.755,93.712,89.841,88.402,86.892,85.676,84.923,84.119,83.149,82.423,82.526,83.539,80.718,82.447,83.151,81.841,83.963,81.785,82.086,82.187,86.869,87.83,88.95,90.657,91.823,98.215,102.276,107.909,98.868,96.059,97.982,100.528,101.223,100.267,100.483,100.532,104.455,109.105,115.204,116.998,122.748,132.259,143.963,153.616,156.749,133.256,130.121,136.118,134.208,132.628,133.52,132.459,137.193,150.81,162.02,165.037
"12","4","  Industrial supplies and materials","B639RG3",19.847,19.859,20.187,20.608,20.656,21.268,21.331,21.467,21.481,21.551,21.809,21.283,21.784,22.042,22.293,22.724,23.646,24.482,26.163,28.286,32.034,35.679,40.084,42.956,44.247,42.463,41.703,40.899,41.883,42.42,42.016,42.783,43.467,43.968,44.434,44.199,44.428,44.752,45.852,49.204,51.93,55.265,56.189,59.813,63.226,62.689,62.143,62.696,64.857,65.061,65.208,64.904,64.545,63.862,62.288,61.452,60.988,60.855,60.992,62.139,62.768,64.136,63.309,62.414,61.07,60.703,59.844,59.279,58.16,56.96,56.521,57.56,60.284,63.325,65.146,66.679,68.676,71.58,71.417,71.282,72.463,72.796,71.622,71.338,71.667,71.149,72.535,75.526,73.685,70.977,69.719,69.415,68.047,68.728,69.709,69.352,69.325,69.893,69.282,68.803,69.944,71.837,75.042,78.756,83.277,85.716,84.037,81.732,80.736,79.818,79.338,79.458,79.673,79.622,79.73,79.005,77.222,76.128,74.456,73.258,72.621,73.008,74.742,76.258,77.813,79.131,79.517,79.697,79.093,77.986,76.003,73.875,73.282,75.196,76.674,77.292,80.045,80.527,80.513,82.284,85.744,88.341,91.124,94.773,97.39,98.886,100.284,103.44,105.125,109.036,112.021,110.933,112.341,116.9,118.328,122.303,127.057,136.187,140.725,114.459,101.525,102.902,106.98,111.079,115.548,120.627,120.373,127.233,136.92,144.808
"13","5","    Durable goods","B686RG3",18.784,18.799,19.124,19.502,19.545,20.109,20.166,20.298,20.308,20.378,20.636,20.12,20.626,20.888,21.101,21.779,22.41,23.193,24.767,26.729,30.208,33.594,37.753,40.503,41.805,40.155,39.463,38.709,39.635,40.12,39.714,40.477,41.118,41.575,42.037,41.798,42.019,42.294,43.346,46.522,49.112,52.278,53.157,56.601,59.833,59.337,58.795,59.305,61.365,61.562,61.703,61.4,61.036,60.401,58.921,58.14,57.724,57.595,57.726,58.764,59.37,60.647,59.898,59.106,57.898,57.375,56.973,57.197,58.183,57.885,58.403,58.806,59.818,61.593,65.53,67.309,69.283,71.646,72.131,72.565,73.173,73.739,73.517,72.67,72.416,72.474,73.558,73.228,73.265,72.24,72.041,71.533,71.61,72.757,74.539,74.868,76.655,78.933,78.427,77.904,79.25,79.92,80.93,83.303,86.401,87.293,86.797,85.878,85.273,84.181,82.539,82.407,83.198,83.266,83.287,81.665,80.665,80.094,78.955,78.053,77.344,77.03,77.245,77.896,78.533,79.194,79.082,79.033,78.347,77.768,77.584,76.858,76.923,77.497,78.187,78.69,79.936,80.563,81.28,83.266,87.143,89.935,93.326,96.355,99.256,99.349,98.943,102.452,106.897,111.807,114.9,116.673,117.74,120.534,119.274,121.539,124.201,127.313,128.913,109.07,102.08,101.82,106.37,111.605,114.601,117.472,116.62,121.714,127.929,130.536
"14","6","    Nondurable goods","B687RG3",20.216,20.226,20.55,20.995,21.045,21.68,21.745,21.88,21.896,21.966,22.221,21.695,22.189,22.442,22.712,22.999,24.077,24.933,26.655,28.846,32.706,36.457,40.954,43.864,45.134,43.294,42.505,41.681,42.687,43.248,42.849,43.611,44.311,44.831,45.294,45.064,45.293,45.643,46.757,50.172,52.943,56.337,57.276,60.961,64.44,63.884,63.342,63.913,66.107,66.313,66.461,66.159,65.803,65.103,63.494,62.638,62.155,62.022,62.159,63.35,63.985,65.388,64.531,63.596,62.201,61.901,60.842,59.947,57.953,56.37,55.545,56.843,60.305,63.918,64.763,66.177,68.17,71.332,70.829,70.399,71.881,72.088,70.431,70.441,71.084,70.251,71.787,76.526,73.707,70.121,68.293,68.095,66.01,66.464,67.055,66.362,65.448,65.192,64.536,64.079,65.114,67.579,71.827,76.201,81.444,84.691,82.391,79.369,78.173,77.338,77.481,77.729,77.635,77.522,77.68,77.444,75.243,73.864,71.901,70.535,69.926,70.704,73.307,75.329,77.447,79.181,79.866,80.162,79.575,78.141,75.136,72.256,71.353,73.971,75.869,76.55,80.063,80.467,80.073,81.734,84.979,87.474,89.934,93.9,96.36,98.599,101.027,104.014,104.078,107.449,110.397,107.643,109.29,114.838,117.753,122.668,128.537,140.923,147.092,117.331,101.301,103.504,107.365,110.917,116.098,122.267,122.307,130.045,141.439,151.908
"15","7","  Capital goods, except automotive","B640RG3",80.02,79.202,79.877,84.234,85.181,86.812,84.604,84.276,87.634,86.491,82.399,85.823,86.922,86.188,85.122,85.862,85.551,88.055,87.677,91.102,95.366,95.897,101.298,103.623,109.584,115.217,117.328,120.797,121.831,124.732,125.08,129.32,127.052,127.391,130.487,132.785,132.126,135.389,133.775,140.478,138.623,144.162,145.846,142.981,145.9,152.351,158.29,164.292,167.424,169.201,171.703,174.064,175.126,175.823,175.613,174.767,173.013,171.51,169.022,167.799,168.079,166.476,164.365,162.038,158.557,156.276,153.561,151.153,149.293,148.051,147.902,147.621,144.835,143.738,142.655,143.484,145.228,145.275,145.1,145.114,145.467,144.593,143.814,141.795,139.153,138.852,139.207,138.706,139.593,139.491,137.485,136.596,136.042,134.381,132.723,131.55,130.918,130.45,129.548,128.884,128.26,127.632,126.566,124.746,123.625,122.118,120.449,118.862,116.936,114.421,112.265,109.779,108.762,108.012,107.425,106.661,105.859,105.153,104.104,103.754,103.529,103.205,102.583,102.721,102.261,102.346,102.76,102.749,102.951,102.889,102.318,101.979,101.857,101.454,101.242,100.883,100.604,100.506,99.871,99.481,99.365,99.736,99.853,100.108,100.132,100.125,100.05,99.693,100.014,100.499,100.949,101.352,100.833,100.138,99.528,98.969,99.04,99.544,99.843,99.893,99.458,99.096,99.452,100.084,100.125,100.125,99.791,99.454,99.15,99.451
"16","8","    Civilian aircraft, engines, and parts","B688RG3",16.513,16.667,16.865,17.163,17.308,17.61,17.815,18.075,18.284,18.496,18.547,18.651,18.7,18.645,18.801,19.111,19.268,19.428,19.741,20.107,20.881,21.751,22.349,22.683,22.797,22.879,23.286,23.921,24.934,25.883,26.661,27.373,27.808,28.264,28.842,29.453,30.033,30.646,31.415,32.147,32.95,33.751,34.751,35.84,36.945,38.153,39.223,40.155,40.807,41.583,42.463,43.632,44.953,45.738,46.375,47.234,47.89,48.301,48.662,49.087,49.431,49.664,49.916,50.234,50.607,50.853,51.116,51.473,51.472,51.853,51.927,52.134,50.567,50.759,50.868,51.018,51.322,52.194,52.688,53.212,53.877,54.553,55.128,55.534,56.464,57.542,58.196,58.704,60.871,62.628,63.339,63.33,63.99,64.298,64.776,64.991,65.678,66.194,66.399,66.88,67.664,68.051,68.49,68.83,69.787,70.384,70.774,71.371,72.136,72.998,73.996,74.441,75.536,75.499,76.164,76.41,76.622,76.814,76.768,77.303,78.127,78.388,78.534,79.259,80.354,81.864,83.122,84.272,85.602,86.807,87.749,88.233,88.567,88.931,89.835,90.596,91.236,91.86,93.154,93.81,93.793,94.776,96.611,97.903,98.887,99.525,100.385,101.204,102.641,103.714,104.454,105.651,107.098,107.91,109.458,110.766,111.303,112.978,114.797,117.099,119.309,119.195,119.533,120.539,121.504,122.147,123.434,124.563,125.7,126.731
"17","9","    Computers, peripherals, and parts","B850RG3",8380.955,8242.292,8159.333,7962,7802.188,7456.335,7148.869,6943.496,6716.176,6439.679,6220.712,5919.869,5666.522,5536.531,5389.342,5211.322,5194.76,5083.656,4821.538,4523.271,4201.741,3930.056,3734.212,3609.296,3611.958,3599.968,3532.911,3419.366,3265.581,3130.088,2999.468,2899.114,2813.357,2718.228,2607.305,2490.474,2388.704,2289.767,2199.488,2103.562,2059.398,1998.39,1907.808,1803.47,1699.362,1589.625,1498.593,1443.497,1441.081,1441.834,1433.479,1419.943,1398.702,1373.543,1333,1294.541,1203.009,1127.892,1049.986,993.749,950.646,905.007,855.561,814.311,786.796,754.216,719.864,679.55,646.976,628.809,627.373,611.006,567.256,542.292,518.894,518.357,519.701,505.338,494.242,484.948,482.362,463.698,452.833,432.53,411.67,407.147,407.944,399.137,388.004,375.898,354.617,346.925,342.254,326.106,310.317,300.038,290.995,282.374,274.581,266.378,261.554,258.433,253.369,244.474,235.984,231.311,223.538,215.72,205.006,194.462,184.984,176.451,170.741,165.403,161.288,157.141,152.018,146.632,139.498,137.111,133.778,131.474,128.451,127.933,125.161,123.795,123.648,123.436,122.829,121.358,118.904,117.076,115.638,113.86,111.301,109.665,110.474,110.3,109.437,109.648,110.064,110.166,107.888,105.38,103.202,101.258,98.945,96.595,96.839,95.883,95.067,94.203,90.989,88.246,87.289,86.658,84.092,81.903,79.736,77.865,75.908,75.168,74.724,75.817,74.153,74.81,72.804,72.061,70.537,70.335
"18","10","    Other","B689RG3",52.617,51.971,52.47,55.927,56.749,58.22,56.56,56.373,59.301,58.463,55.179,58.312,59.49,59.024,58.226,58.908,58.602,60.765,60.624,63.778,67.595,68.091,72.847,74.934,80.112,84.982,86.759,89.724,90.592,93.083,93.417,97.182,95.333,95.812,98.784,101.127,100.704,104.05,102.432,109.513,107.209,112.909,114.607,111.484,114.709,121.946,128.816,135.7,138.833,140.257,142.578,144.648,145.288,145.977,146.066,145.372,144.882,144.669,143.749,143.914,145.708,145.442,144.871,143.664,140.06,138.433,136.365,135.021,134.344,133.434,133.265,133.786,134.017,134.137,134.343,135.543,137.886,138.553,138.91,139.403,139.665,139.363,138.597,136.94,134.052,133.105,133.018,132.589,133.361,133.047,131.404,130.773,129.863,128.743,127.601,126.784,126.402,126.358,125.795,125.52,124.777,124.069,122.966,121.316,120.483,118.802,117.338,116.003,114.615,112.388,110.474,108.109,107.22,107.006,106.629,106.117,105.677,105.429,105.066,104.743,104.685,104.532,104.105,104.162,103.664,103.638,103.939,103.697,103.771,103.615,102.96,102.666,102.654,102.276,102.146,101.695,100.977,100.713,99.664,98.919,98.697,98.991,99.159,99.667,99.864,100.05,100.168,99.917,100.015,100.62,101.218,101.657,101.168,100.5,99.493,98.554,98.959,99.671,100.075,100.01,99.285,98.92,99.414,99.869,100.024,99.786,99.466,98.95,98.634,98.908
"19","11","  Automotive vehicles, engines, and parts","B641RG3",19.958,20.203,20.847,21.169,21.085,21.002,20.837,20.511,21.795,22.276,22.519,22.685,22.935,23.02,23.422,23.578,23.89,24.611,25.501,25.593,26.419,27.239,28.616,30.952,31.666,33.106,33.336,33.567,34.602,34.752,35.948,37.384,38.177,38.578,39.715,40.3,40.253,41.964,44.386,44.462,48.216,50.282,50.494,51.671,54.446,56.22,59.401,62.141,64.338,65.852,66.844,68.17,69.74,70.651,71.228,71.531,71.945,72.753,74.088,74.467,75.049,75.581,75.858,75.348,76.253,77.171,77.547,77.576,77.905,78.686,79.278,79.785,79.982,80.324,80.783,80.769,80.977,81.364,82.806,83.197,83.078,83.415,84.112,85.479,85.623,86.253,86.692,87.108,88.03,88.635,89.226,89.418,89.957,90.395,90.833,90.946,91.207,91.419,91.373,91.259,91.685,92.04,92.419,92.598,92.896,93.01,93.347,94.084,94.171,94.279,94.492,94.492,94.944,95.171,95.234,95.117,95.123,95.103,95.162,95.472,95.579,95.642,95.784,96.202,96.385,96.552,96.733,96.717,96.778,97.011,96.988,96.935,97.199,97.26,97.435,97.777,97.949,98,98.192,98.297,98.431,98.769,98.995,99.334,99.667,99.857,100.077,100.399,100.659,101.064,101.464,101.686,102.073,102.289,102.432,102.757,103.095,103.512,103.776,104.185,104.279,104.162,104.033,104.256,104.671,104.557,104.67,105.046,105.358,105.864
"20","12","  Consumer goods, except automotive","B642RG3",31.057,30.309,31.587,33.045,32.044,33.594,31.733,30.343,33.125,32.634,32.87,33.935,33.409,34.849,34.186,37.016,36.706,36.965,38.809,40.77,39.208,39.894,42.075,43.009,45.69,46.71,44.532,45.735,49.296,49.919,49.666,49.197,51.448,51.758,50.627,50.009,54.402,54.623,56.722,59.214,63.531,65.53,66.402,67.384,66.26,66.572,70.766,71.811,71.264,70.52,71.528,73.119,73.771,71.698,72.404,72.142,72.114,73.359,74.234,73.729,74.608,74.414,74.547,74.521,74.066,74.169,74.545,74.389,75.911,76.764,77.082,78.233,78.7,79.162,79.67,80.277,81.697,82.281,82.643,83.924,84.756,85.434,86.052,86.517,87.653,88.48,88.729,89.427,90.753,92.077,91.398,91.864,93.311,93.302,93.285,94.051,94.624,94.576,94.498,94.647,94.909,94.946,94.742,95.068,95.563,96.233,96.466,96.558,97.141,97.475,97.587,97.705,97.979,98.038,98.321,98.46,98.509,98.264,98.065,97.988,97.781,97.781,97.827,98.083,98.302,98.328,98.349,98.105,97.942,97.677,97.917,98.138,97.409,97.204,97.498,97.569,97.707,97.833,97.991,98.37,98.524,98.633,99.188,99.256,99.917,99.999,99.952,100.131,100.418,101.075,101.818,101.797,102.518,103.291,103.63,104.196,104.922,105.783,106.102,105.643,105.704,105.143,106.172,106.368,106.33,106.636,106.845,108.141,107.96,108.298
