"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140"
"11","3","    Durable goods manufacturing industries","PK30D3",102.822,102.794,102.835,102.811,102.509,102.441,102.307,102.202,102.104,101.93,101.815,101.641,101.44,101.321,101.231,101.099,100.922,100.773,100.806,100.698,100.666,100.531,100.47,100.232,100.088,100.076,99.99,99.928,99.998,99.978,99.925,99.946,99.866,100.039,99.947,99.942,100.01,100.055,100.077,100.039,99.942,99.953,100.057,100.022,100.1,99.969,99.95,99.822,99.807,99.619,99.613,99.569,99.686,99.638,99.572,99.417,99.497,99.004,99.011,99.056,98.967,99.004,99.054,98.929,98.874,98.947,98.783,98.713,98.822,98.773,98.761,98.569,98.61,98.537,98.756,98.431,98.468,98.457,98.582,98.583,98.751,99.003,99.198,99.145,99.148,99.693,100.409,101.071,101.652,101.825,101.843,102.53,102.839,103.158,103.184,103.535,103.968,104.137,104.203,104.181,104.055,103.973,104.178,104.179,104.53,104.775,104.877,105.149,105.716,105.952,106.285,106.837,107.586,107.87,107.993,108.485,108.817,108.476,108.982,109.077,108.994,108.913,109.081,109.538,109.676,109.823,109.967,109.791,109.584,109.66,109.817,109.816,110.068,110.595,111.38,112.136,113.098
"12","4","      Wood product manufacturing","PK3213",100.098,101.005,101.429,102.043,102.378,101.975,102.068,101.61,101.209,100.899,101.346,101.003,100.335,100.384,99.933,100.028,98.997,97.824,98.994,99.935,99.662,98.941,98.764,99.041,99.771,100.442,101.44,101.355,102.619,105.153,107.8,106.421,104.394,102.646,102.344,102.856,103.211,102.682,102.457,102.06,100.011,99.771,98.897,97.784,97.924,98.471,98.165,97.616,96.489,96.449,96.476,96.516,101.051,102.114,99.438,99.324,99.073,97.432,97.147,96.535,97.16,97.376,98.413,98.329,97.643,96.97,97.114,97.634,97.124,97.313,97.122,97.312,97.184,97.579,96.631,96.767,97.137,97.928,100.41,101.318,106.021,107.185,108.297,106.63,105.129,108.763,112.344,114.582,117.111,114.183,112.019,116.641,117.231,113.73,110.686,111.967,112.718,114.586,114.728,113.85,111.355,114.506,112.921,111.97,114.828,116.913,113.153,113.918,115.039,114.392,114.243,114.226,114.543,112.724,111.545,110.402,110.318,108.792,109.343,109.494,110.228,109.367,109.204,109.106,108.884,109.895,111.111,110.621,109.401,109.078,108.681,108.085,106.736,105.869,105.92,106.194,109.176
"13","5","      Nonmetallic mineral product manufacturing","PK3273",94.413,94.427,94.534,94.726,94.718,94.713,94.754,94.93,94.928,95.191,95.256,95.276,95.068,95.149,95.22,95.671,95.918,96.225,96.604,96.809,96.917,97.074,97.086,97.14,97.268,97.847,97.942,98.028,98.306,98.513,98.539,98.908,98.98,99.324,99.39,99.36,99.821,99.947,100.037,100.038,100.114,100.186,100.093,99.915,100.107,100.016,99.96,99.76,100.102,100.702,100.624,100.709,100.815,100.649,100.985,101.042,101.235,101.451,101.667,101.546,101.523,101.172,101.092,101.293,101.587,101.749,101.733,102.05,102.125,102.091,102.067,102.118,101.994,102.073,102.057,102.288,102.246,102.159,102.206,102.35,102.463,102.536,102.859,102.961,102.951,103.662,103.669,104.093,104.639,105.059,105.6,106.327,107.099,107.54,107.781,108.033,109.195,109.865,110.431,110.955,111.3,111.804,112.743,113.47,113.97,114.606,115.291,115.824,117.97,118.656,119.166,119.595,120.161,120.553,121.419,121.58,121.758,121.604,121.799,121.876,122.46,122.426,122.66,122.84,122.756,122.984,122.571,122.469,122.748,123.063,123.195,123.958,124.213,124.216,124.587,124.749,125.123
"14","6","      Primary metal manufacturing","PK3313",104.518,104.959,105.602,105.557,105.655,106.021,105.581,105.673,105.484,105.266,105.103,104.423,103.668,103.357,102.83,102.702,102.19,101.45,100.745,100.348,99.865,99.213,98.493,97.443,96.531,95.878,95.496,95.376,95.792,95.671,96.145,96.406,96.806,97.691,97.943,98.401,99.502,100.26,100.208,100.41,100.38,100.013,100.183,100.148,100.367,100.179,99.182,99.119,98.761,98.414,97.99,97.174,97.222,96.789,96.486,96.079,95.847,95.348,95.124,95.057,94.797,94.721,95.308,95.547,96.076,97.105,97.52,97.498,98.2,98.333,99.064,99.244,99.015,98.907,98.621,98.072,98.186,98.487,98.618,98.94,99.392,100.399,101.392,102.593,104.985,108.743,112.232,116.815,119.457,119.72,121.913,125.552,127.489,129.7,130.919,132.504,134.229,134.9,133.973,132.737,131.019,129.464,128.372,127.353,129.371,132.108,135.594,138.057,140.425,142.202,142.79,147.091,154.49,156.996,161.337,162.575,164.033,164.06,161.557,161.804,157.547,158.227,160.968,166.982,168.829,168.897,169.187,166.033,164.436,163.928,163.406,163.391,163.998,168.805,177.252,182.339,190.747
"15","7","      Fabricated metal product manufacturing","PK3323",96.85,96.945,97.108,97.219,97.344,97.419,97.637,97.814,97.884,98.012,98.051,98.055,98.14,98.233,98.321,98.359,98.488,98.638,98.611,98.607,98.671,98.684,98.845,98.763,98.741,98.707,98.687,98.79,98.814,98.881,98.891,98.927,99.032,99.176,99.335,99.359,99.514,99.632,99.892,99.995,99.874,100.01,100.018,100.056,100.147,100.231,100.288,100.36,100.547,100.559,100.624,100.703,100.787,100.747,100.798,100.8,100.819,100.91,100.902,101.009,101.083,101.022,101.011,101.035,101.099,101.148,101.332,101.347,101.393,101.497,101.519,101.545,101.568,101.594,101.603,101.593,101.581,101.598,101.76,101.798,101.902,102.026,102.26,102.457,103.133,103.981,105.491,106.794,107.97,108.652,109.104,109.966,110.54,111.004,111.405,111.595,112.336,113.168,113.517,113.752,113.851,113.965,113.943,114.137,114.356,114.789,115.205,115.545,116.215,116.472,116.914,117.413,117.844,118.508,119.518,120.177,120.567,121.14,121.402,121.794,122.461,122.873,123.43,123.743,124.089,123.839,124.035,124.529,124.53,125.039,125.471,126.18,127.34,128.268,128.763,130.985,132.679
"16","8","      Machinery manufacturing","PK3333",96.501,96.571,96.698,96.869,96.971,96.96,97.105,97.236,97.289,97.394,97.434,97.52,97.582,97.67,97.808,97.94,98.014,98.137,98.183,98.271,98.459,98.452,98.579,98.664,98.813,98.882,98.9,99.039,99.135,99.163,99.204,99.265,99.249,99.371,99.372,99.469,99.559,99.646,99.701,99.777,99.84,100,100.084,100.156,100.251,100.262,100.328,100.425,100.56,100.651,100.716,100.835,100.945,101.041,101.069,101.17,101.2,101.24,101.373,101.379,101.371,101.408,101.547,101.447,101.493,101.5,101.606,101.613,101.728,101.91,101.967,102.018,102.1,102.094,102.087,102.181,102.2,102.357,102.38,102.508,102.703,102.817,102.779,102.957,103.033,103.328,103.65,104.025,104.254,104.503,104.919,105.059,105.394,105.709,106.053,106.32,106.979,107.282,107.718,107.933,108.444,108.655,108.943,109.195,109.419,109.683,109.959,110.275,110.684,110.899,111.112,111.265,111.579,111.934,112.307,112.616,113.05,113.481,113.784,113.996,114.493,114.769,115.003,115.351,115.364,115.558,115.765,116.046,116.339,116.528,116.921,117.183,117.496,117.732,118.405,118.807,119.354
"17","9","      Computer and electronic product manufacturing","PK3343",121.271,120.544,120.027,119.686,117.947,117.389,117.052,116.003,115.482,114.673,114.209,113.867,113.208,112.412,111.806,110.968,110.41,110.028,109.505,108.841,108.377,107.849,107.484,106.842,106.406,106.054,105.683,105.179,104.782,104.244,103.35,103.236,102.759,102.421,102.051,101.558,101.108,100.785,100.522,100.287,99.787,99.874,100.049,100.075,99.88,99.588,99.378,98.846,98.711,98.381,97.992,97.484,97.257,96.791,96.448,95.729,95.566,95.38,95.228,95.058,94.948,94.583,94.582,93.96,93.674,93.414,92.781,92.49,92.345,91.832,91.459,90.697,90.418,89.772,89.627,89.599,89.418,88.98,88.62,87.669,87.327,86.958,86.957,86.389,85.928,85.727,85.51,85.459,85.313,85.231,84.931,84.839,84.622,84.466,84.07,84.156,83.821,83.717,83.564,83.38,83.162,83.076,83.075,83.16,82.659,82.448,82.162,81.861,81.744,81.616,82.063,82.283,82.222,82.155,82.187,82.285,82.36,81.994,81.963,81.888,82.001,80.949,80.491,80.379,79.851,79.834,79.279,78.742,78.529,78.193,77.953,77.638,77.515,77.675,77.528,77.536,77.495
"18","10","      Electrical equipment, appliance, and component manufacturing","PK3353",98.988,99.132,99.475,99.49,99.717,99.773,99.607,99.471,99.419,99.351,99.247,99.225,99.132,98.954,99.145,99.106,99.102,99.292,99.199,99.243,99.31,99.129,99.055,98.931,98.889,98.581,98.511,98.427,98.572,98.458,98.72,98.888,99.25,99.387,99.347,99.366,99.561,99.895,100.012,99.863,99.977,99.932,100.015,100.15,100.154,100.26,100.119,100.074,100.162,100.106,100.117,99.958,99.893,99.869,99.745,99.657,99.725,99.574,99.636,99.675,99.739,99.739,99.428,99.469,99.306,99.402,99.376,99.404,99.292,99.282,99.327,99.262,99.402,99.036,99.036,99.086,99.1,99.199,99.138,99.25,99.256,99.387,99.593,99.897,100.086,100.613,101.762,102.555,103.2,103.303,103.324,103.642,103.933,104.486,104.623,104.864,106.012,106.478,106.976,107.163,107.172,107.483,107.813,107.873,108.361,109.252,110.766,111.578,112.238,112.551,112.928,114.438,117.138,118.975,118.999,120.062,119.934,120.053,119.765,119.552,119.017,118.949,119.478,120.911,122.201,122.443,123.294,123.975,123.822,124.754,124.617,124.556,125.525,126.202,128.58,127.965,128.665
"19","11","      Transportation equipment manufacturing","PK3363",99.568,99.558,99.572,99.396,99.173,99.19,98.874,99.063,99.092,98.951,98.76,98.553,98.521,98.6,98.702,98.659,98.502,98.382,98.807,98.707,98.885,99.003,99.107,98.909,98.735,98.942,98.8,98.84,98.94,98.853,98.709,98.841,98.963,99.588,99.445,99.509,99.545,99.617,99.747,99.744,100.065,99.982,100.218,100.14,100.385,100.018,100.346,100.315,100.318,99.781,100.091,100.434,100.192,100.284,100.649,100.646,101.032,99.701,99.808,100.152,99.856,100.223,100.145,100.06,99.982,100.167,99.76,99.577,99.858,99.839,99.87,99.649,99.904,100.089,101.111,99.998,100.171,100.157,100.342,100.675,100.613,101.167,101.3,101.249,101.316,101.286,101.704,101.782,102.163,102.668,102.285,102.532,102.64,103.461,103.534,103.799,104.071,103.627,103.654,103.812,103.88,103.254,104.077,104.086,104.397,103.872,103.553,103.499,103.93,104.217,104.469,104.692,104.799,104.807,103.588,104.553,105.055,103.86,105.844,105.915,105.743,105.885,105.771,105.644,105.809,106.128,106.624,106.715,106.464,106.636,107.136,106.95,107.076,107.257,107.222,107.578,107.625
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.781,100.753,100.757,100.548,100.191,100.209,99.723,99.956,100.006,99.861,99.585,99.279,99.319,99.404,99.51,99.39,99.113,98.954,99.416,99.281,99.473,99.688,99.827,99.537,99.269,99.527,99.316,99.452,99.568,99.437,99.237,99.393,99.5,100.127,99.875,99.884,99.894,99.761,99.899,99.814,100.18,99.97,100.169,100.028,100.279,99.786,100.173,100.104,100.042,99.212,99.599,99.997,99.585,99.646,100.096,100.021,100.472,98.574,98.715,99.136,98.728,99.179,99.025,98.937,98.794,99.023,98.349,98.04,98.382,98.3,98.274,97.903,98.138,98.332,99.601,98.047,98.19,98.096,98.293,98.658,98.514,99.009,99.163,99.003,98.923,98.833,99.327,99.255,99.726,100.244,99.511,99.699,99.78,100.675,100.641,100.853,100.987,100.332,100.131,100.366,100.347,99.483,100.52,100.401,100.743,99.804,99.323,99.113,99.316,99.699,99.892,99.982,100.088,100.041,98.283,99.501,100.127,98.287,100.862,100.83,100.487,100.569,100.346,100.164,100.323,100.638,101.204,101.204,100.759,100.784,101.396,101.059,101.129,101.263,101.175,101.677,101.489
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.379,96.406,96.435,96.336,96.447,96.456,96.578,96.648,96.613,96.476,96.517,96.564,96.357,96.417,96.51,96.655,96.813,96.787,97.13,97.113,97.256,97.143,97.163,97.203,97.267,97.339,97.384,97.164,97.218,97.252,97.254,97.317,97.473,98.089,98.244,98.46,98.562,99.223,99.318,99.548,99.74,99.988,100.33,100.423,100.653,100.63,100.808,100.895,101.105,101.295,101.413,101.6,101.807,101.975,102.128,102.314,102.554,102.619,102.651,102.81,102.797,102.948,103.06,102.986,103.09,103.153,103.496,103.677,103.78,103.928,104.112,104.285,104.633,104.792,105.091,105.29,105.547,105.772,105.925,106.153,106.348,107.084,107.151,107.436,107.733,107.896,108.072,108.626,108.721,109.187,109.869,110.296,110.485,111.068,111.463,111.878,112.545,112.753,113.477,113.417,113.728,113.804,114.012,114.379,114.563,115.263,115.396,115.764,116.912,116.937,117.37,117.985,118.09,118.262,118.619,118.851,119.013,119.593,119.954,120.319,120.619,120.923,121.112,121.124,121.299,121.631,121.946,122.273,122.512,123.052,123.278,123.453,123.721,124.012,124.095,124.166,124.673
"22","14","      Furniture and related product manufacturing","PK3373",95.452,95.571,95.544,95.872,95.96,95.985,96.214,96.16,96.373,96.336,96.579,96.643,96.775,96.916,96.966,96.967,97.212,97.145,97.146,97.252,97.288,97.479,97.503,97.65,97.77,97.816,97.824,97.903,98.061,98.269,98.421,98.707,98.807,98.912,99.012,99.141,99.248,99.367,99.642,99.837,99.95,100.016,100.136,100.268,100.252,100.3,100.424,100.498,100.652,100.851,100.98,101.101,101.28,101.396,101.473,101.438,101.551,101.605,101.644,101.639,101.759,101.878,101.849,101.813,101.888,102.029,102.391,102.494,102.793,102.864,102.934,102.897,103.061,103.015,103.048,103.185,103.243,103.304,103.381,103.402,103.157,103.365,103.335,103.542,103.427,103.811,104.036,104.098,104.435,104.687,104.911,105.495,105.622,105.744,106.72,107.054,107.328,107.699,107.739,108.107,108.573,108.745,109.196,109.136,109.48,109.845,110.148,110.574,110.964,111.226,111.368,111.385,111.833,112.007,112.249,112.372,112.618,112.918,112.984,112.965,113.455,113.834,113.809,113.958,114.021,114.095,114.072,114.123,114.35,114.475,114.998,115.056,115.483,115.747,115.713,117.026,117.569
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.431,97.413,97.558,97.736,97.78,97.92,97.93,98.039,98.084,98.142,98.1,98.043,98.07,98.116,98.22,98.212,98.279,98.291,98.408,98.487,98.679,98.73,98.804,98.816,98.821,98.738,98.981,99.126,99.094,99.024,99.063,99.022,98.975,99.25,99.219,99.355,99.416,99.724,99.752,99.628,99.597,99.827,99.996,100.128,100.24,100.384,100.519,100.697,100.904,100.909,101.017,101.097,101.331,101.417,101.59,101.729,101.932,101.955,102.076,102.11,102.107,102.373,102.311,102.52,102.513,102.689,102.747,102.813,102.936,103.119,103.202,103.207,103.482,103.532,103.625,103.756,103.725,103.828,104.004,104.075,104.048,104.183,104.245,104.325,104.628,104.81,104.805,104.975,105.005,105.328,105.39,105.741,106.081,105.706,105.744,106.075,106.439,106.599,106.794,106.734,107.006,107.075,107.261,107.383,107.576,107.863,107.939,108.143,108.305,108.195,108.519,108.825,109.212,109.214,109.601,109.774,109.533,109.643,110.066,110.181,110.55,110.868,111.12,111.146,111.357,111.393,111.326,111.479,111.674,111.898,112.121,112.245,112.772,112.838,113.472,113.777,113.891
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.875,94.669,94.457,93.905,93.627,93.436,93.174,93.783,93.703,93.577,93.644,93.668,92.659,92.32,92.025,91.98,91.975,91.874,91.869,91.479,91.117,91.14,90.96,90.885,91.081,90.462,90.915,92.037,92.123,92.372,93.204,94.165,94.928,95.225,95.799,96.832,97.046,98.56,99.754,98.916,99.028,100.516,100.542,99.901,100.9,101.051,101.716,102.14,102.108,102.155,101.668,102.286,102.539,102.068,100.381,100.413,101.219,98.89,97.947,96.917,96.78,96.757,97.855,98.977,98.234,98.885,99.721,99.843,101.407,101.72,101.475,101.834,103.244,106.062,106.746,103.787,102.892,104.115,104.379,105.068,104.832,105.412,106.156,106.957,108.364,108.52,108.754,110.054,111.659,111.499,112.426,112.446,113.311,115.45,117.126,115.962,117.027,118.249,119.966,120.087,118.846,120.158,121.897,123.574,127.06,129.051,126.39,128.167,129.105,127.864,128.209,129.658,130.26,132.82,132.54,133.618,129.154,126.385,129.095,131.418,129.938,131.87,133.52,135.168,136.231,137.374,138.584,137.038,138.436,137.472,146.216,146.515,148.365,149.938,152.353,152.678,156.835
"25","17","      Food manufacturing","PK3113",102.787,102.582,103.612,103.751,104.393,103.543,102.885,103.255,103.023,102.308,102.537,102.251,100.585,100.755,100.118,99.823,100.246,100.578,100.694,101.144,100.702,100.113,100.263,99.825,100.202,99.076,98.472,97.333,98.185,98.621,98.131,99.052,99.574,99.676,99.227,98.999,98.776,99.105,99.43,100.031,100.801,100.866,100.619,99.633,99.633,99.864,100.079,101.13,101.582,101.844,102.56,103.114,103.958,104.273,104.562,105.293,105.023,104.525,102.894,102.443,102.272,102.461,102.549,101.974,101.361,101.751,102.176,102.067,105.778,102.554,102.537,103.577,104.786,105.423,105.494,105.66,106.314,107.823,107.641,108.428,109.829,112.38,112.831,112.329,110.965,111.674,113.77,117.174,119.545,118.699,116.784,114.529,113.695,113.402,113.128,114.001,114.693,114.823,115.87,116.079,116.577,116.04,115.818,115.491,115.688,116.375,115.967,115.991,116.164,114.902,114.838,113.794,114.078,115.391,116.338,116.407,116.602,116.606,118.087,118.77,120.307,122.288,123.935,124.981,126.136,127.744,127.573,127.535,128.058,128.441,129.23,130.662,133.276,134.714,136.993,136.972,139.49
