"","Table 2AU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"11","3","  Durable goods","KHPMD0",79134,79555,80653,82328,84615,84845,83990,86660,87741,86608,88077,87625,82457,81091,80745,76144,80971,82262,81341,82847,86354,87937,89707,95796,99286,98777,100378,101554,99305,97509,96259,92445,83859,82675,85352,84781,89291,91842,94153,94485,99597,100564,102149,104545,103246,108962,108948,112401,112826,110686,109577,106877,106397,97649,99455,105488,104714,106940,104049,97899,96637,97361,94757,89610,93455,97652,101851,108196,111175,111540,113438,115416,114900,115389,116886,117269,117300,117965,117159,117800,120401,120553,122590,125254,126563,129866,131002,133241,133552,131672,130097,129231,130055,132052,131497,126580,121184,125822,129382,128314,129379,132311,133105,135862,136964,137016,136404,142886,145282,147431,150565,154267,158010,156470,158368,161551,160755,166949,169061,170831
"12","4","    Lumber and wood products","KHP240",5044,5006,5253,5547,5360,5337,5408,5475,5322,5342,5439,5437,5313,5197,5773,6109,6061,5872,5788,5846,6171,6628,7097,7800,7518,6781,6545,6151,6357,6162,6137,5924,5571,5630,6127,6307,6271,6327,6440,6396,6757,6910,7285,7525,7095,7435,7029,7116,6887,6950,7088,6817,6858,5831,6490,6961,6858,6802,6122,5648,5743,5800,5840,6047,6525,7056,7180,7241,7296,7450,7448,7743,7356,7636,7611,7332,8198,8174,7907,7931,8510,8420,8924,9188,8395,8634,8472,8853,8569,8272,8298,8309,8432,8391,8139,7780,7311,7748,7805,7668,8019,8034,8146,8113,8158,7827,7962,8281,8218,8479,8555,8785,8844,8544,8688,8591,8376,9027,9102,8943
"13","5","    Furniture and fixtures","KHP250",2101,2047,2161,2207,2229,2189,2169,2269,2319,2337,2291,2221,2158,2157,2233,2218,2161,2208,2313,2415,2497,2735,2721,2975,3083,2957,2845,2743,2813,2807,2745,2578,2361,2335,2469,2413,2521,2592,2636,2725,2858,2892,2932,3041,3001,3163,3246,3145,3170,3089,3152,3052,3203,3086,2923,3034,3032,3099,3075,3004,2994,2980,2938,2825,2915,3085,3275,3430,3449,3453,3524,3610,3574,3614,3582,3618,3651,3718,3821,3852,3909,3947,3971,4072,4038,3975,3931,3932,4013,4090,4002,4030,3976,3955,4007,3830,3634,3705,3717,3763,3886,3985,4163,4107,4165,4170,4237,4332,4372,4377,4357,4397,4538,4507,4595,4561,4483,4602,4682,4788
"14","6","    Stone, clay, and glass products","KHP320",5202,5118,5320,5415,5347,5510,5518,5682,5663,5523,5612,5717,5371,5316,5351,5302,5216,5447,5440,5569,5969,5922,6019,6079,6201,6359,6432,6634,6272,6053,5958,5859,5401,5335,5480,5605,5704,5596,5756,5898,6118,6228,6230,6269,6260,6802,6677,6741,6335,6743,6645,6474,6128,5503,5615,5849,5772,5587,5313,4984,4932,4907,4842,4826,4978,5076,5266,5384,5514,5434,5530,5647,5544,5662,5682,5643,5890,5896,5843,5833,6208,6032,6000,6361,6154,6191,6212,6347,6267,6233,6016,6151,6275,6122,6012,5839,5517,5615,5760,5490,5567,5787,5983,5857,5717,5926,6000,6178,6162,6263,6236,6352,6452,6189,6449,6592,6630,6899,6940,6987
"15","7","    Primary metals","KHP330",14486,13680,13968,14549,14297,15437,14604,14849,15689,15334,15678,16013,14412,13258,13930,12921,13809,15006,12148,12544,13643,14402,15454,17090,17528,16598,16837,17443,17162,16001,15462,14912,12278,10742,11045,10993,11990,12903,13194,12883,13419,13852,13699,14236,13991,15307,15594,15918,15501,15233,15119,14174,14069,12668,12643,14108,14420,14843,14765,13031,12164,11319,10353,9476,10053,10910,11402,12673,12419,12110,12039,11890,11631,11720,11816,11538,11779,11575,11142,11105,11304,11872,12459,13060,12797,13402,13510,13625,13575,13371,13151,12673,13014,12960,13081,12940,12116,12290,12715,12633,12699,12891,12753,12918,13240,13293,13191,13662,13735,14082,14256,14682,14557,14291,14124,14368,14432,14695,15024,15313
"16","8","    Fabricated metals","KHP340",12508,12699,12883,13369,13500,13553,13668,13566,13472,13626,13582,13916,13383,12493,12402,11843,11821,11793,12489,12729,12778,13076,12990,13470,14053,13975,13875,14227,14548,13721,13184,12731,11718,11776,12548,12835,13086,13257,12901,12992,13885,13917,13881,14462,13974,14732,14628,15036,14933,14418,14387,13921,13543,12633,12906,14120,14005,14042,13539,12632,12974,13390,13136,12285,12518,12904,13342,14098,14505,14362,14554,14689,14651,14635,15244,15165,14626,14915,14958,14959,15203,15075,15085,14926,15374,15699,15300,15564,15786,15206,15053,14886,15039,15275,15083,14567,14005,14164,14463,14781,14522,14818,15027,15259,15355,15487,15385,16003,16384,16473,16797,16944,17428,17019,17192,17261,17296,17965,18049,18003
"17","9","    Industrial machinery","KHP350",6737,6724,6734,6743,6710,6662,6688,6979,6975,7190,7240,7164,7162,6959,6888,6611,6740,6734,6787,6886,7232,7529,8008,8502,8870,9092,9124,9180,9553,9680,9957,9964,9153,8857,8635,8766,8951,9286,9549,9528,9940,10113,10397,10682,10760,11440,11567,11888,12221,12456,12669,12396,12682,12267,12440,12796,13156,13045,13018,12692,12556,11761,11342,10641,10502,10986,11693,12319,13146,13739,14205,14629,14564,14812,14828,15220,15289,15259,14510,14541,14886,15125,15934,16329,16750,17436,17957,17831,17904,18319,18015,18132,18507,18163,18250,18344,17414,17532,17660,17798,18077,18741,19002,19439,20048,20153,20812,22003,22395,23198,24259,25137,26283,27226,27926,29397,30578,31350,32220,33025
"18","10","    Electronic machinery","KHP360",8171,7967,8245,8490,8503,8412,8469,8678,9046,9102,9048,8706,8368,8646,8779,8838,8493,8401,8557,8954,9572,9303,9399,9682,10121,10447,10911,11306,11322,11049,10158,9216,8562,8801,8858,8892,9257,9513,9891,10356,10834,10926,11244,11504,11420,11775,12090,12300,12610,12807,12723,12785,12982,12098,12220,12710,12370,12663,12574,12104,12298,12438,12222,11753,12169,12547,12707,13504,14208,14651,14824,14965,14529,14526,14400,14693,14306,14294,14340,14443,14535,14739,15121,15335,15751,15984,16388,16281,16663,16579,16287,16140,16454,16423,16313,16136,15981,16436,16616,16920,17218,17622,18271,18598,18473,18944,19409,19773,20755,21542,22138,22854,23628,24331,25418,25842,25939,26500,26516,27729
"19","11","    Transportation equipment","KHP370",21921,23193,22771,22776,25621,24941,24358,25933,25729,24237,25596,25120,22062,23007,21391,18123,23318,23489,24210,24340,24743,24173,23254,25412,26972,27410,28874,28644,25116,25646,26296,24117,22476,23454,25207,23968,26393,26976,28117,27934,30206,29856,30397,30289,30100,31778,31313,33600,34642,31529,29798,29046,28422,24569,25188,26985,25546,27230,25603,23615,22277,24755,24039,22368,25099,26428,27841,29750,30586,29609,30429,31354,31874,31482,32637,32607,32117,32746,33260,33714,34329,33484,32856,33861,34704,35376,35538,37319,37123,36059,35866,35163,34145,36918,36633,32689,30831,33871,36177,34793,35074,35985,35318,37041,37177,36593,34315,37453,38419,37921,38598,39545,40292,38431,38134,38742,36680,39349,39827,39116
"20","12","      Motor vehicles","KHP3710",11749,12336,11418,10930,13276,13694,13180,14746,14164,13374,14534,14006,11918,12711,11806,8925,13870,13794,15366,15131,15568,15280,14524,16173,17851,17663,18197,17650,14906,15195,16276,13935,12256,13517,15167,14236,16604,17353,18398,18056,20107,19772,20218,20042,19762,20847,20520,22310,22512,19838,17524,16711,15699,12189,12945,14889,13526,15005,13932,12350,11416,13516,13235,11520,14021,15118,16889,18459,19534,18462,19187,20023,19795,19578,20379,20087,19860,19971,20223,19808,21209,20220,19524,20407,20674,21577,21845,23267,23600,22311,21610,21523,19663,22107,21476,17991,16413,18895,21037,19965,20100,21307,21161,22463,23372,22903,21920,24825,26054,26203,26915,27905,28466,26793,27104,27615,26295,27956,28364,27199
"21","13","      Other","KHP37X0",10413,11135,11784,12395,12732,11447,11415,11280,11763,11042,11170,11270,10352,10463,9747,9539,9415,9705,8624,9060,8980,8688,8565,9008,8760,9464,10445,10824,10158,10400,9851,10203,10358,9957,9954,9683,9586,9370,9419,9612,9717,9721,9794,9881,10001,10579,10449,10873,11785,11490,12285,12404,12892,12744,12544,12265,12266,12392,11857,11519,11140,11424,10962,11086,11227,11430,11002,11314,11054,11181,11273,11361,12121,11944,12296,12567,12300,12830,13097,14013,13165,13334,13422,13527,14123,13859,13744,14083,13523,13790,14333,13696,14598,14900,15263,14835,14569,15108,15253,14946,15093,14781,14251,14671,13877,13763,12451,12667,12390,11730,11689,11637,11824,11643,11029,11126,10386,11393,11461,11917
"22","14","    Instruments","KHP380",3695,3912,4168,4332,4455,4327,4409,4520,4687,4616,4572,4468,4428,4387,4390,4258,4239,4273,4297,4303,4299,4494,4748,5049,5126,5074,5099,5231,5432,5551,5500,5574,5294,5298,5264,5180,5367,5496,5715,5844,6047,6134,6164,6432,6386,6662,6799,6802,6769,6863,6964,7291,7609,7266,7590,7648,7730,7927,7805,7713,8121,8390,8497,8047,8042,8131,8452,8945,8883,9282,9318,9393,9625,9716,9755,9846,9989,9909,10080,10180,10328,10454,10585,10651,10689,11162,11431,11343,11470,11092,11209,11431,11609,11555,11579,11655,11528,11916,12012,11960,11754,11847,11710,11788,11701,11682,11831,11968,11631,11755,11872,11900,12215,12077,12037,12281,12345,12528,12656,12827
"23","15","    Other manufacturing","KHP390",2688,2748,2788,2782,2855,2930,2941,2975,3155,3071,3040,3042,3106,2939,2904,2878,2816,2976,3043,3016,3287,3521,3576,3653,3730,3605,3485,3616,3282,3268,3197,3368,3044,3152,3229,2975,3315,3242,3417,3469,3457,3514,3759,3854,3760,3371,3238,3396,3195,3310,3245,3162,2820,2768,2683,2785,2809,3056,3092,2986,3054,2994,3022,2881,2790,2808,2932,3190,3193,3093,3106,3031,3075,3070,2961,2964,3032,3129,3155,3116,3204,3292,3388,3232,3415,3431,3473,3672,3610,3580,3381,3447,3573,3562,3574,3551,3535,3501,3568,3458,3510,3484,3551,3536,3663,3639,3784,3775,3734,3778,3849,3975,4022,3968,3887,3953,3988,4037,4045,4105
"24","16","  Nondurable goods","KHPMN0",82129,82641,82886,85238,85507,86936,87961,89085,88166,89478,90004,90208,89438,88708,88758,89417,90807,91759,91888,94252,96282,98710,100416,105277,106133,104614,101982,105714,106650,105185,103015,99660,94088,94734,96546,99414,103409,104147,103745,105867,108939,109757,111010,112653,111032,114726,114630,114551,115676,115762,114559,113916,113054,108117,107906,111681,113317,110305,110311,108350,110113,110677,109333,107938,109465,112901,114281,116165,117050,117389,116982,117037,118424,118028,117299,118218,119248,120394,120966,122436,125672,126171,126770,127647,129150,129634,129424,130895,132772,131680,130497,130411,132395,131788,132965,130676,129919,131520,132408,132877,133140,134294,134300,135484,137637,135845,136439,137090,138929,139957,141406,143689,144208,141940,142010,142030,141500,142235,142603,143922
"25","17","    Food and kindred products","KHP200",23293,23686,23482,24315,23796,23936,24502,24586,23720,24039,24089,23901,24064,24190,23719,24740,25076,25071,24976,25738,25475,26421,26873,28699,28273,27265,25658,27414,27633,27494,27404,27055,26362,26607,25583,26383,28433,28644,28382,28601,28385,28747,29371,29452,28964,29310,29517,28938,29022,28766,28476,28887,29233,29242,28764,28480,29487,30195,29685,29533,30800,30559,30578,31035,30816,30808,30759,31067,30893,31140,31170,32062,32397,32349,32354,32458,32742,32940,33042,33348,34189,33796,33875,34232,34674,34875,34800,34964,35927,35695,35436,35559,35679,35302,35287,36025,35636,36126,36311,36553,36379,37024,36975,37290,37524,37575,38100,37693,37610,37159,38034,39348,38716,38797,39235,39249,38860,38274,38043,38610
"26","18","    Tobacco products","KHP210",3089,3109,3072,3050,3048,3016,3055,3047,2994,3022,2953,2886,2978,2958,3011,3086,3002,3018,3093,3037,3188,3165,3243,3313,3266,3300,3324,3397,3526,3473,3487,3364,3332,3381,3459,3724,3593,3447,3442,3570,3424,3365,3228,3139,3234,3343,3108,3388,3210,3013,3268,3217,3112,3183,3240,3407,3266,3065,3263,3174,3685,3375,3488,2709,2836,2754,2848,3007,2904,2784,2827,2571,2814,2709,2528,2614,2449,2627,2429,2468,2428,2629,2708,2695,2580,2788,2713,2715,2648,2703,2503,2641,2659,2837,2722,2626,2508,2612,2465,2613,2426,2592,2541,2564,2195,1962,2211,2431,2648,2669,2636,2736,2817,2890,2748,2866,2851,2823,2907,2915
"27","19","    Textile mill products","KHP220",3562,3700,3826,4032,4108,4128,4146,4059,4130,4173,4256,4289,4219,4078,4126,4208,4410,4400,4388,4591,4748,5053,5184,5198,5202,5034,4866,4871,4956,5142,5139,5050,4817,4842,5072,5097,5280,5147,5050,5135,5267,5329,5375,5500,5308,5454,5223,5304,5182,5285,5322,5427,5344,5017,4823,4903,5039,5082,5044,4683,4607,4647,4649,4786,4933,5263,5418,5545,5666,5503,5276,5129,5120,5194,5245,5384,5343,5319,5523,5616,5834,5944,6046,5862,5785,5886,5827,5945,6186,5957,5876,5790,5951,5836,5610,5566,5347,5601,5848,5955,5962,6098,6185,6228,6382,6396,6421,6481,6610,6763,6803,6921,6936,6754,6677,6591,6514,6734,6720,6763
"28","20","    Apparel products","KHP230",4493,4484,4342,4574,4726,4806,4570,4219,4601,4774,4716,4595,4364,4296,4605,4375,4478,4590,4518,4650,4669,4819,4966,5514,5652,5443,4970,4805,5072,5139,4740,4573,4363,4601,5145,5339,5192,5106,5083,5142,5403,5596,5669,5733,5665,5816,5727,5721,5441,5458,5492,5562,5541,5338,5162,5586,5438,5592,5482,5223,5743,5538,5591,5431,5467,5645,5928,6167,6263,6088,5903,5877,5748,5838,6033,6180,6142,6194,6038,5921,6232,6258,6331,6181,6193,6392,6214,6073,6102,6025,5895,5852,5852,5944,6041,6007,5830,5884,6048,6166,6109,6174,6243,6237,6508,6316,6242,6252,6412,6508,6629,6680,6699,6671,6575,6482,6322,6464,6429,6637
"29","21","    Paper and allied products","KHP260",6585,6452,6592,6834,6944,7165,7180,7236,7318,7445,7595,7652,7612,7480,7475,7566,7520,7522,7647,7695,8164,8039,8150,8270,8541,8730,8759,9089,9409,9394,9230,9139,8267,8129,8365,8695,8971,9090,9154,9323,9712,9658,9314,9525,9777,10036,10114,10147,10115,10278,10449,10068,10074,9723,9987,10198,10217,10197,10181,10023,10128,9947,10115,10099,10315,10733,10882,11212,11218,11340,11169,11079,11043,11097,11040,11174,11460,11641,11787,11623,11733,11803,12121,12228,12220,12324,12350,12518,12673,12573,12304,12293,12452,12443,12554,12503,12211,12400,12725,12729,12797,12641,12851,12844,12843,12880,13047,13056,13114,13341,13692,13729,13960,13683,13190,12958,12997,13444,13545,13574
"30","22","    Printing and publishing","KHP270",10938,11119,11004,11135,11562,11431,11455,12135,11799,12177,12537,12614,11947,12221,12191,12159,12159,12207,12007,12162,12355,12628,13383,13798,13825,13681,13711,13314,12830,12032,11767,11549,10265,10286,10541,10860,11118,10877,10767,11023,11310,11530,11861,12063,12352,12816,12683,12351,12317,12621,12701,12810,12703,12483,12469,12376,12401,12569,12643,12722,13130,12882,12920,13048,13259,13361,13403,13849,13756,14295,14553,14498,14987,14956,14839,14863,15225,15284,15426,15884,16051,16204,16147,16394,16410,16393,16489,16384,16359,16410,16405,16256,16672,16749,16459,16170,16253,15697,15719,16026,15600,16055,15922,16505,16408,16211,16001,16061,15983,16173,16371,16104,16259,16350,16239,16136,16141,16391,16325,16167
"31","23","    Chemical and allied products","KHP280",15118,14846,15196,15271,15342,15963,16685,17148,16875,17153,17431,17715,17641,17332,17440,17363,17648,17912,18106,18542,19606,20141,20063,21416,22089,22427,22434,23222,24035,23425,22330,19800,18050,17709,18701,19291,19808,20085,20526,21288,22140,22528,22721,23132,23056,24699,24175,24218,25155,25710,25099,24576,24295,22789,23329,25010,24685,24320,24059,22827,22268,22276,21995,21225,22016,22918,23791,24525,24227,24563,24620,24352,24283,24082,23718,23896,24002,23910,24217,24788,25802,26412,26477,26867,27140,26993,27067,27871,27871,27993,27938,28092,28278,28436,29032,29035,28157,28560,28711,28770,28794,29030,29066,29041,29694,29575,29321,29605,30177,30767,30926,30891,30849,30059,30623,30441,30025,30464,30809,31286
"32","24","    Petroleum products","KHP290",9557,9652,9770,10143,10263,10236,10338,10832,10587,10733,10879,11016,10988,10875,10879,10864,10936,11004,10993,11302,11607,11453,11421,11460,11384,11346,11875,12854,12148,11663,11512,11639,11451,11778,12188,12511,12865,13362,13275,13567,14278,13882,14126,14343,13590,13922,14556,15045,15520,15336,15089,14751,14190,13000,12846,13766,14292,12129,12494,12713,12577,13394,12561,12262,12434,13276,13014,12590,13408,13150,12928,12781,13321,13199,12736,12774,13085,13497,13595,13590,13598,13388,13444,13365,14313,14080,14005,14096,14642,13868,13947,13835,14358,13726,14405,12738,14026,14413,13961,13427,14169,13542,13277,13424,14349,13287,13335,13409,14203,13941,13520,14142,14930,13946,13930,14370,14881,14189,14377,14544
"33","25","    Rubber and plastic products","KHP300",3477,3482,3483,3445,3445,3749,3761,4080,4065,4003,3872,4016,3990,3828,3793,3599,3882,4201,4276,4361,4586,4835,5019,5232,5537,5559,5554,5680,5612,5386,5262,5059,4516,4597,4839,4817,5068,5186,5075,5282,5866,6041,6069,6380,6205,6570,6526,6497,6763,6547,6107,5950,5984,5384,5581,5936,5824,6182,6228,5872,6096,6087,6159,5932,6054,6394,6747,7198,7189,7357,7581,7701,7679,7589,7761,7869,7729,7954,7946,8215,8764,8730,8623,8947,8903,8979,9086,9374,9449,9495,9275,9186,9553,9598,9948,9547,9200,9424,9827,9825,10066,10197,10325,10478,10882,10858,10904,11206,11416,11812,11928,12255,12286,12007,12006,12199,12200,12688,12645,12604
"34","26","    Leather and leather products","KHP310",1635,1652,1683,1755,1718,1755,1680,1752,1714,1656,1572,1557,1602,1574,1580,1457,1368,1429,1518,1594,1592,1449,1376,1289,1363,1354,1364,1342,1378,1418,1374,1328,1258,1276,1411,1550,1499,1437,1297,1309,1397,1301,1367,1401,1327,1375,1344,1333,1267,1187,1195,1247,1326,1287,1302,1301,1297,1312,1307,1276,1213,1255,1182,1133,1159,1178,1203,1221,1192,1102,1075,1031,1003,971,1065,1026,1019,934,862,914,911,986,985,934,967,926,887,940,867,947,907,883,879,902,845,818,784,758,779,800,852,895,878,833,876,874,862,879,783,823,821,818,750,739,783,785,762,757,783,794
"35","27","Trade total","KHP50",143633,144183,145299,149155,150757,152109,155155,157700,157004,159201,160016,163025,161851,162539,164891,165097,168607,172360,175278,179598,181641,185422,189519,197930,204226,202436,202791,209989,209524,210574,208767,198815,197491,194531,197281,198739,204417,206814,209416,211562,215285,219728,221710,225445,227325,238114,239597,243516,242234,245076,246650,246894,244809,236183,242587,250165,250176,244600,244433,239542,236586,237774,234200,236072,239640,244699,250656,258077,264799,271106,270798,273503,275982,279959,282969,282497,286840,292642,301433,303013,299818,304633,308611,308146,313952,318183,320182,326663,325597,327059,330155,331701,334341,334917,334094,326738,323956,330185,332358,330669,336753,337341,343361,348099,351338,355884,361090,364198,370712,376301,382800,390949,392413,395149,400075,406260,409005,413310,418483,425303
