"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",11103,11426,11565,11879,11968,11763,11958,11997,11984,12126,12373,12297,12801,12850,12811,12888,12730,12200,11200,10643,10514,10814,10472,10555,10349,10155,10287,10602,10396,10456,10705,10702,10731,10687,10956,11090,10966,10916,10763,10776,11294,11381,11278,11228,11202,11197,11100,10086,9057,8748,8627,8746,8709,8925,9051,9378,9443,9456,9599,9640,9741,9695,9534,9598,9641,9669
"19","11","    Transportation equipment manufacturing","KP3360",50655,52900,54897,55506,55671,54834,55079,62251,63159,63041,62480,62645,61198,60924,57471,55603,54375,55771,54680,56135,56596,59369,60199,58774,60040,59010,60497,60818,61536,59139,57756,58462,59030,61453,61018,63820,62248,61556,59966,62714,63204,64964,67657,64183,62972,60278,56855,48151,44135,41930,45706,48427,49524,50832,56331,54656,56504,54656,57234,57293,59641,61643,62130,62383,62934,65333
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",34829,35455,37291,37873,37402,36568,36330,41580,42969,43117,42866,43375,43161,41663,39460,37988,36606,37527,36179,37651,38316,41964,42738,41562,42942,42235,43497,43774,44255,42419,41169,42240,42204,43384,43637,44289,44457,44005,41791,43382,42709,43517,45073,41520,40039,36908,34447,28900,24149,22412,26111,28418,29501,31770,36088,35304,36872,35173,37157,37115,37947,40141,40267,39784,41512,43028
"21","13","      Other transportation equipment manufacturing","KP3OT0",15903,17821,17840,17820,18634,18706,19309,21150,20446,20114,19764,19314,17868,19444,18144,17792,18070,18554,18943,18822,18543,17313,17329,17117,16917,16596,16786,16820,17058,16522,16431,15992,16653,17952,17209,19468,17643,17401,18081,19248,20451,21415,22556,22661,22946,23384,22414,19250,19985,19516,19595,20011,20027,19078,20278,19395,19690,19524,20133,20231,21735,21562,21917,22641,21487,22371
"22","14","    Furniture and related product manufacturing","KP3370",6834,6752,6793,6990,7288,7173,7415,7408,7615,7553,7526,7483,7438,7772,7748,7663,7504,7232,7237,7179,7378,7606,7602,7740,7554,7287,7534,7468,7466,7579,7656,7682,7850,7963,7815,8011,8037,7907,7666,7647,7597,7581,7670,7625,7273,7217,6851,6069,5277,5021,4989,4840,4865,4944,4887,4959,5110,5110,5013,4996,5072,5107,5132,5167,5168,5235
"23","15","    Miscellaneous durable goods manufacturing","KP3390",9962,10138,10108,10309,10612,10567,10595,10684,10955,10761,10738,10982,10823,11389,11596,11654,11510,11311,11273,10996,11586,12016,12204,12254,12133,11990,12214,12514,12214,12025,11921,12807,13057,13016,12934,13201,13411,13512,13652,13514,13063,12828,12960,13212,13164,13410,12935,12463,12030,11861,12048,12054,12274,12271,12269,12185,12338,12232,12246,12314,12421,12415,12443,12523,12564,12431
"24","16","  Nondurable goods manufacturing industries","KP30N0",205194,207862,209893,211345,212032,210416,210007,208594,210421,209411,210556,212533,211010,213476,212025,210040,209098,203141,205010,206876,207387,208201,207530,207731,204870,204988,208694,206951,205992,209083,212430,214845,218272,220309,220917,216491,220051,218807,218572,216659,223037,218689,219863,228168,222639,218852,207672,199775,197640,193054,195116,200711,200321,197337,199084,202327,205269,200545,201375,203632,203045,197977,202046,204604,204461,200269
"25","17","    Food manufacturing","KP3110",45258,45662,45945,46429,48013,47302,47222,47343,47634,47561,47614,47846,47251,48123,48342,48122,48911,47744,47698,48515,49222,48522,49088,50339,49626,50306,50979,49299,48291,48431,50391,50978,50921,50907,51196,50882,51305,51433,50925,51481,51238,51703,52566,52862,52016,52990,52160,51997,52702,52412,52189,51963,52798,51927,51445,51178,52076,52009,51394,51398,51071,51470,50844,50836,51722,51749
"26","18","    Beverage and tobacco product manufacturing","KP3120",12959,12939,13239,13610,13403,13374,13277,12616,12369,12213,11966,11943,12010,12172,12022,12157,12028,12209,12298,11751,10915,10477,10324,10144,10660,11086,11185,11003,10899,11263,11398,11372,11079,11983,12248,11973,11613,11776,11644,11569,11475,11920,11836,11459,10743,10992,11009,10901,10693,10791,10682,10498,10337,10573,11131,10750,10639,11070,10887,10902,10803,11110,10991,10685,10506,10932
"27","19","    Textile mills","KP3130",5336,5208,5153,5194,5364,5077,5071,5000,5009,5039,4950,5022,4896,4852,4801,4639,4504,4260,4135,4097,4159,4381,4405,4331,4246,4006,3991,3979,3823,3760,3832,3906,3988,3995,3727,3660,3593,3412,3342,3252,3278,3154,3058,2987,2831,2745,2676,2387,2137,2125,2204,2335,2373,2378,2365,2361,2384,2305,2294,2272,2305,2293,2289,2292,2290,2346
"28","20","    Textile product mills","KP3140",3009,3059,3118,3153,3116,3056,3051,3102,3162,3214,3278,3319,3419,3356,3265,3130,3137,3069,3145,3050,3085,3218,3061,3056,2918,2920,2992,3194,3251,3143,3169,3177,3221,3154,3240,3212,3174,3043,2898,2754,2624,2525,2476,2456,2405,2439,2298,2023,1860,1743,1757,1785,1800,1772,1717,1742,1766,1765,1753,1803,1803,1811,1814,1843,1899,1900
"29","21","    Apparel manufacturing","KP3150",5732,5902,6008,6012,5759,5674,5618,5415,5505,5425,5310,5231,5302,5184,5122,5038,5064,4808,4631,4219,3907,3717,3502,3354,3366,3390,3410,3185,2982,2859,2763,2723,2709,2749,2659,2743,2735,2810,2538,2389,2240,2050,1947,1844,1757,1696,1609,1393,1264,1157,1099,1128,1116,1136,1102,1088,1059,1048,1028,1057,1044,1030,1065,1062,1045,1059
"30","22","    Leather and allied product manufacturing","KP3160",1056,1042,1018,1004,1028,978,941,937,903,905,936,940,880,926,907,914,925,869,729,714,587,543,512,514,524,516,518,516,494,518,532,507,567,581,524,516,534,521,512,498,507,474,456,417,355,506,466,398,364,351,358,373,395,399,418,440,443,449,447,444,445,450,430,435,438,420
"31","23","    Paper manufacturing","KP3220",16396,16649,16562,16885,16717,16869,16755,16726,17015,16618,17063,17228,17135,16697,16433,16358,16038,15279,15860,15616,15369,15792,16148,15992,15949,15556,15190,15158,15592,15571,15462,15281,15754,15752,15081,15310,15501,15363,15036,15461,15425,15649,15665,15583,15397,15146,14889,13886,13398,13332,13506,13709,13853,13625,13720,13644,13812,13641,13577,13579,13460,13426,13438,13258,13018,12909
"32","24","    Printing and related support activities","KP3230",9514,9572,9574,9625,9645,9600,9693,9684,9767,9629,9703,9745,9659,9915,9780,9600,9682,9359,9159,8913,8791,8711,8825,8888,8690,8569,8335,8361,8305,8444,8480,8529,8682,8574,8600,8527,8539,8718,8634,8697,8753,8741,8756,8878,8598,8475,8020,7606,7228,6873,6844,6752,6821,6995,6863,6830,6937,6915,6743,6633,6541,6670,6575,6530,6527,6495
"33","25","    Petroleum and coal product manufacturing","KP3240",36083,37806,39506,37727,37077,38167,38535,37430,38393,37628,38199,39303,37799,37999,37561,37474,37125,36461,37293,41831,42482,39409,39146,37636,34257,37148,37518,38486,38397,39725,40003,40737,43223,44209,44113,40751,43286,41382,42190,40867,45517,39594,40304,46398,45555,42818,39037,40292,43351,39146,39834,43154,40895,38233,38290,40842,41918,37916,39561,41583,41806,38980,42078,43836,43926,40834
"34","26","    Chemical manufacturing","KP3250",51295,51675,51783,52232,52113,51434,50897,50633,50850,51221,51688,52018,52215,53428,53568,53002,52418,50629,50607,51232,52295,55229,54608,55099,55368,53343,56117,55853,56233,57675,58486,59739,60186,60512,61531,60880,61507,62530,63045,62366,64220,66085,66175,66979,64955,64097,60443,53969,51095,51209,52152,53830,54843,55583,57381,57973,58429,59368,58491,57642,57121,55289,55675,56151,55278,54956
"35","27","    Plastics and rubber product manufacturing","KP3260",16675,16974,17261,17754,17617,17541,17813,18034,18485,18372,18496,18927,18952,19347,18772,18270,17852,17220,18426,17999,18171,18604,18260,18262,18425,17996,18410,18311,18239,18458,18550,18585,18696,18656,18808,19216,19114,19067,18882,18581,18677,18796,18407,18422,17863,17767,16833,15352,14099,13898,14374,14769,15135,15304,15294,15516,15543,15464,15634,15887,16054,15939,16089,16271,16294,16232
"36","28","Merchant wholesale industries","KP42W0",222745,225916,229502,231281,237540,241321,244765,249133,254090,260981,265243,271020,271819,276310,278572,279492,279770,276185,278285,279025,281833,287247,289209,288038,287961,289994,294259,297772,303197,309295,311671,314970,319739,322706,326321,330550,334649,336285,340609,341132,341944,348212,348457,346872,344479,347527,338072,324739,309867,304815,308792,309732,311365,324071,330831,328229,328798,332893,337861,337201,338990,347026,344141,347393,347479,356818
"37","29","  Durable goods merchant wholesale industries","KP42WD0",92262,94437,96735,98256,101442,103539,104908,106286,110697,114281,117285,121121,122619,124030,125033,125073,124831,122590,122374,120983,122808,125490,126771,124936,125652,127630,130323,133778,137973,144121,144883,147953,150288,152625,155693,161239,164295,164788,168079,170751,171058,172072,172948,173725,173188,174368,168212,153846,139327,135424,139005,142666,145833,152761,157093,159021,162706,164298,171703,172847,175089,174759,175373,177736,179243,183280
"38","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",14388,14572,14439,14461,15064,15489,15837,15900,16917,17623,18206,18696,18457,18587,18648,18811,19162,19804,19770,20243,20651,21338,22268,21917,21619,22235,22561,23417,23503,24817,24574,24534,24858,25220,26485,27193,27971,28265,29069,30622,29760,29398,29641,29286,28565,28007,25761,22029,19290,19653,21838,22941,23263,24016,24612,24596,25881,24492,26823,29029,30604,30862,31628,31246,31437,32674
"39","31","    Furniture and home furnishings wholesalers","KP42120",4137,4017,4124,4293,4353,4356,4414,4477,4581,4679,4877,4995,5169,5326,5377,5363,5358,5190,5171,5252,5302,5430,5325,5220,5367,5398,5561,5530,5658,5759,5896,5743,5732,5844,5911,6030,6195,6213,6293,6349,6300,6263,5972,5935,5855,5733,5546,4844,4441,4216,4217,4130,4314,4435,4300,4322,4269,4350,4498,4496,4521,4430,4394,4367,4339,4592
"40","32","    Lumber and other construction materials wholesalers","KP42130",6689,6754,6831,6762,6931,7110,7419,7573,7513,7767,7729,7999,7871,7802,7732,7792,7940,8005,8068,8347,8756,8705,8458,8466,8859,9026,9646,9752,9838,10341,10206,10302,10872,10723,11064,11690,12108,11194,10972,10792,10692,10638,10073,9850,9785,10030,9471,8467,7795,7703,7546,7075,6987,7591,7245,7176,7035,7483,7627,7856,8160,8220,8279,8632,8719,8718
"41","33","    Professional and commercial equipment wholesalers","KP42140",6371,6820,7155,7719,8341,8871,9428,9860,10745,11485,12087,12706,12718,12764,12965,12974,13531,13929,13983,13948,14571,15154,15901,16043,16228,16491,16563,17162,18107,18520,19012,19667,20067,20834,21857,22444,23064,23337,24153,25257,25833,26744,27502,28083,28407,28714,29022,27781,26610,27260,27858,29633,30271,31649,32637,33416,35260,35931,37792,37557,37625,38231,37885,38699,38910,39380
"42","34","      Computers and software wholesalers","KP42430",1419,1587,1748,1938,2178,2477,2627,2752,3198,3474,3815,4084,4143,4148,4222,4249,4483,4523,4630,4669,4838,5111,5619,5544,5604,5720,5696,6010,6474,6695,6904,7266,7712,8066,8594,8653,8996,9232,9752,10308,10454,11198,11771,12542,12677,13194,13631,13145,12446,13069,13871,15601,16214,17717,18484,19016,20744,21605,22914,22702,22735,23199,22874,23322,23386,24202
"43","35","      Other professional and commercial equipment wholesalers","KP424X0",8967,9027,8816,9134,9313,8890,9491,9888,9736,10120,9931,10128,9928,10016,10152,10068,10316,10916,10673,10491,11063,11287,11163,11586,11741,11878,12045,12236,12613,12741,13019,13224,12931,13322,13748,14400,14623,14589,14802,15313,15777,15830,15951,15645,15846,15581,15417,14646,14173,14185,13977,14039,14076,13991,14231,14490,14672,14539,15131,15098,15135,15297,15255,15618,15755,15521
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",11367,11702,11799,11978,11772,11690,11888,11953,12509,12075,11854,12564,13038,12630,12553,12847,12265,12282,12166,11657,11381,11736,11484,10897,10473,10614,10867,11066,11937,12414,12476,12383,12538,12797,12864,13714,13340,13192,13135,13459,13368,12621,12379,12756,12208,10901,10875,12245,10071,8523,7999,8087,8262,8567,9159,9158,9200,9159,9936,10663,10792,10738,10842,11203,11067,10991
"45","37","    Electrical goods wholesalers","KP42160",14094,14464,14923,14731,15046,15361,15392,15617,16037,16768,17616,18808,19654,20326,20966,20707,20055,18217,17825,18045,17953,18226,18000,17929,18317,18601,19280,20115,20803,22472,22405,22588,23141,23862,24000,24526,25268,25623,27195,28025,28708,28368,29188,30171,29620,30775,30204,27225,25629,25168,25548,27087,27651,29214,30211,29908,30232,30809,30145,30152,29961,29702,29977,31012,30655,31450
"46","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",6753,6888,6976,7052,7148,7186,7229,7289,7433,7475,7513,7502,7705,7855,7760,7747,7520,7168,7267,7474,7615,7493,7455,7234,7491,7704,7951,8042,8223,8575,8588,8643,8885,8943,9209,9891,10010,10447,10215,10070,9908,10081,10028,9940,9625,9535,9031,8323,7814,7341,7418,7325,7536,7868,7919,7956,8082,8123,8167,8370,8487,8554,8591,8553,8750,9009
"47","39","    Machinery, equipment, and supplies wholesalers","KP42180",23669,24147,24789,25146,26439,26737,26237,26071,26232,26591,26797,26730,27066,27343,27522,27353,27300,26296,26218,24504,23775,24438,23795,23365,23303,23782,24242,23951,24965,25634,25910,27080,26707,27605,27596,28607,28818,29000,29144,28812,28766,29089,29746,29881,30185,31136,29642,28005,23715,22548,22196,21644,22479,23571,25430,26616,26233,27290,28562,29279,29360,29131,28725,29038,30493,32011
"48","40","    Miscellaneous durable goods wholesalers","KP42190",15543,15350,15836,15572,15226,14936,14484,14468,15173,15488,15691,15930,16059,16481,16360,16424,15872,15336,15520,14470,15346,15370,15945,15239,15164,14907,14888,15773,15959,16673,16805,18018,18351,17506,17108,17665,17896,17977,18248,17543,17782,18888,18444,17790,18808,19704,18733,14602,13884,12976,14417,14825,15148,15925,15695,16013,16714,16922,18155,15739,15823,15285,15378,15371,15263,14955
"49","41","  Nondurable goods merchant wholesale industries","KP42WN0",136589,137143,138023,137854,140738,142198,144394,147752,147015,150090,150819,152224,151068,154471,155776,156816,157467,156310,159046,161814,162617,165300,165853,166875,165855,165642,167039,166677,167581,166886,168585,168540,170976,171472,171865,170273,171240,172397,173366,171072,171580,176929,176322,174055,172309,174165,170637,170961,170585,169400,169735,167064,165668,171503,173986,169709,167060,169500,167916,166370,166186,173801,170661,171705,170573,175786
"50","42","    Paper and paper products wholesalers","KP42210",7603,7551,7519,7402,7402,7597,7671,7929,8014,8192,8187,8067,8035,7711,7764,7805,7835,7853,7729,7630,7584,7737,7759,7647,7724,7613,7691,7919,8139,8310,8166,8299,8253,8182,8582,8649,8506,8299,7954,7930,8060,8054,7957,7801,7565,7624,7334,6769,6513,6749,6875,6955,6986,6643,6594,6609,6647,6669,6597,6666,6628,6617,6763,6635,6652,6775
"51","43","    Drugs and druggists' sundries wholesalers","KP42220",12004,12502,12957,13034,13916,13373,13869,14552,15412,16306,16606,17165,17525,18529,19129,19837,20726,21265,22694,24109,25107,25597,25402,26209,26737,27638,28315,28260,28104,28594,29405,29859,30823,30900,30688,31241,31621,32088,31658,31638,31731,31723,31364,32053,32225,32027,31957,30974,31450,31174,31380,31462,30879,31185,32038,31580,32245,32575,32536,32165,31462,30787,29992,30447,30349,30967
"52","44","    Apparel, piece goods, and notions wholesalers","KP42230",7103,7141,7332,7217,7581,7298,7237,7424,7616,7750,7734,7812,8025,8349,8260,8413,8298,8472,8417,8773,8917,9263,9454,9116,9111,9041,9377,9591,9784,9726,9743,9953,10181,10669,10336,10657,10678,10781,11097,11490,11624,11896,12139,11816,11608,11773,11862,10371,10425,10122,10241,10358,10715,11065,11039,11063,10859,10776,10553,10746,10742,11253,11244,11132,11304,10754
"53","45","    Grocery and related products wholesalers","KP42240",36198,36315,36074,35685,36813,37263,37611,37541,37399,38202,38851,39825,40053,40393,40585,40753,39932,39760,39398,39434,39340,40421,41382,41746,41809,41949,41639,39791,40118,38854,39619,39361,39547,40144,41034,40708,40889,40807,41115,40993,41630,41902,41839,41618,40868,40607,40100,40312,41027,40216,39788,39074,39035,40120,41069,40027,39302,40706,40654,40856,41496,41429,41707,41521,41415,42603
"54","46","    Farm product raw material wholesalers","KP42250",13558,13113,13083,14165,13094,12480,12986,13689,13193,13676,13878,13729,12937,13644,14403,13153,13897,13537,13248,12753,13006,13631,12552,13211,12877,12349,12290,12464,12252,11868,12288,13323,12598,12595,12545,12689,12914,13261,12888,10964,11419,12392,13236,12286,12582,12376,12601,13846,13100,13176,13488,15039,14917,13047,12465,13706,13025,12774,11010,11793,11694,12619,11359,12391,11955,12888
"55","47","    Chemical and allied products wholesalers","KP42260",7249,7516,7666,7499,7565,7511,7589,7788,7646,7888,7894,7943,7812,8031,8053,8229,8110,8075,8289,8427,8643,8892,8827,8522,8458,8565,8582,8713,8686,8737,8825,8867,9091,9344,9227,8896,8629,8658,8690,8842,9011,8822,8927,9242,8944,8886,8576,8627,7504,7335,7354,7473,7661,7755,7887,7859,7812,7478,7575,7937,7887,8112,8328,8434,8355,8365
"56","48","    Petroleum and petroleum products wholesalers","KP42270",30039,30744,32202,30841,32494,35761,37658,38609,38187,36091,34600,32686,30295,31699,32507,33107,34004,33078,34388,37617,36955,36712,36292,36512,34505,35063,34617,34984,35284,35184,34022,32242,33218,33290,33475,31389,31574,32229,33094,32205,31793,34741,33945,31981,32376,34082,32510,34432,34002,34254,34325,31662,30214,34911,36422,33009,31952,33014,33370,30995,30833,35416,34706,33750,33277,35038
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",6002,6015,6286,6388,6309,6422,6663,6709,6810,6963,7098,7285,7208,7241,7263,7380,7378,7345,7353,7453,7663,7716,7736,7731,7820,7789,8128,8096,7886,8090,8146,8297,8243,8415,8379,8328,8505,8622,8941,9182,9012,9190,9347,9530,9299,9437,9552,9296,9287,9088,9136,8757,9032,9112,8980,9115,9148,9117,9266,9134,9223,9320,9244,9239,9201,9176
"58","50","    Miscellaneous nondurable goods wholesalers","KP42290",19358,19122,18309,18220,18743,19587,19055,19693,18403,19071,19173,19879,20388,20502,19770,19969,19418,18636,19573,18674,18041,17637,18321,18117,18145,17011,17391,18010,18464,18659,19260,19173,19826,18646,18327,18801,19009,18644,18619,18381,17937,18514,18049,18967,17605,17362,16796,16104,17056,17185,17111,16647,17062,17373,17033,16761,16516,16666,16980,17479,17754,17671,17264,18200,18428,18928
"59","51","Retail trade industries","KP440",235091,235107,240585,242128,245344,252178,251589,259629,265220,268240,271968,276885,280592,279175,281004,282212,283357,285504,284583,298466,294269,294325,297410,298326,298838,305686,312201,313406,316106,317125,321118,325327,327694,332773,333451,334145,342685,340806,340830,346894,347772,346310,347883,347860,342196,340281,330502,317625,315987,312666,314741,314146,317566,324523,325868,331647,333600,334075,335075,340719,343925,345172,348508,352422,356483,362663
"60","52","  Motor vehicle and parts dealers","KP4410",58125,57335,59520,59432,59830,63037,60538,64287,65631,67497,69311,69679,72689,69843,69697,68272,69116,70137,68701,77156,70864,70251,73179,71653,72231,74221,76540,75980,76107,75575,77612,78649,77196,78920,79293,75096,78355,77407,78277,79112,78574,78518,79028,77962,74869,71683,66907,58734,57637,57189,60115,57851,58294,61615,62725,64902,66491,65106,65253,68190,68823,68970,70327,71583,72816,75075
"61","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",7614,7826,8038,8200,8443,8539,8779,9027,9254,9591,10004,10279,10703,10826,10859,10775,10965,11009,11231,11720,12083,12183,12181,12426,12331,12929,13493,13919,14184,14526,14994,15305,15693,16000,16475,16819,17415,17535,17792,17984,18213,18165,18420,18728,18269,18552,17854,17065,16778,16129,16281,16676,17220,17578,17816,17947,18305,18580,18946,19606,19820,20122,20534,20899,21057,21553
