"","Table 5#2#3U# Real Gross and Net Domestic Investment by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","3","      Equals: Net domestic investment","W171RA3",692.522,750.467,712.872,700.009,621.568,622.408,575.097,509.541,553.85,560.738,556.296,547.374,550.711,553.332,602.414,643.166,632.333,681.731,693.711,709.404,741.867,711.741,718.166,757.833,770.427,753.628,720.13,666.859,638.156,656.002,635.192,592.618,527.885,500.309,450.773,303.613,133.58,65.443,57.372,143.605,175.524,248.481,289.801,267.531,222.292,268.27,262.658,356.129,363.2,378.161,371.347,334.452,344.871,364.66,419.118,422.903,370.529,444.21,464.506,474.061,458.967
"12","4","Gross private domestic investment","A006RA3",121.815,129.095,127.476,127.552,121.678,121.242,119.087,113.245,117.287,118.465,118.449,118.238,119.241,119.869,124.108,128.487,128.561,133.158,135.209,137.937,141.863,140.061,141.518,145.765,147.692,146.728,145.231,141.793,140.488,142.414,141.531,138.714,134.043,131.655,127.989,116.608,103.171,96.935,96.09,103.804,107.177,112.714,116.378,115.336,113.194,117.563,117.885,126.39,128.516,130.343,130.86,129.08,131.46,133.681,138.983,140.284,137.809,143.96,146.468,147.811,148.074
"13","5","Less: Consumption of fixed capital","B024RA3",70.843,72.81,74.426,75.607,76.501,77.188,77.83,78.5,79.316,80.046,80.761,81.415,82.031,82.596,83.234,83.963,84.795,85.511,86.31,87.173,88.08,88.927,89.83,90.736,91.661,92.623,93.54,94.445,95.359,96.193,96.953,97.657,98.231,98.867,99.484,99.938,100.103,100.084,99.97,99.843,99.874,100.016,100.217,100.449,100.736,100.996,101.339,101.774,102.29,102.849,103.371,103.93,104.573,105.209,105.827,106.448,107.056,107.674,108.387,109.122,109.828
"14","6","Equals: Net private domestic investment","A557RA3",-1942.995,-2150.903,-2021.504,-1976.636,-1708.411,-1663.321,-1552.19,-1294.254,-1420.845,-1437.859,-1408.243,-1373.427,-1388.074,-1390.019,-1531.619,-1675.144,-1644.329,-1796.982,-1845.594,-1918.442,-2036.806,-1931.281,-1952.281,-2083.405,-2122.027,-2044.975,-1948.674,-1776.211,-1687.63,-1729.926,-1664.273,-1524.441,-1316.63,-1196.512,-1026.692,-558.675,-21.145,224.512,253.285,-56.652,-188.659,-401.688,-538.274,-487.706,-391.452,-553.55,-552.385,-870.774,-933.86,-983.379,-982.716,-889.708,-957.691,-1019.666,-1204.136,-1230.336,-1107.974,-1325.949,-1396.149,-1419.398,-1401.207
"15","7","  Fixed investment","A007RA3",112.162,114.673,115.142,115.393,114.798,113.279,112.363,109.782,109.135,108.86,108.497,108.155,108.939,111.291,114.82,117.041,116.627,119.604,122.032,124.312,126.316,128.313,130.345,130.596,133.322,132.145,130.799,129.478,129.25,129.582,128.795,127.674,125.344,123.581,119.67,111.754,103.139,99.273,99.148,98.44,98.629,101.832,101.733,103.823,103.59,105.652,109.961,112.584,115.056,116.288,117.182,119.07,119.858,121.29,123.257,125.141,125.198,128.079,130.487,131.945,131.521
"16","8","  Less: Consumption of fixed capital","B024RA3",70.843,72.81,74.426,75.607,76.501,77.188,77.83,78.5,79.316,80.046,80.761,81.415,82.031,82.596,83.234,83.963,84.795,85.511,86.31,87.173,88.08,88.927,89.83,90.736,91.661,92.623,93.54,94.445,95.359,96.193,96.953,97.657,98.231,98.867,99.484,99.938,100.103,100.084,99.97,99.843,99.874,100.016,100.217,100.449,100.736,100.996,101.339,101.774,102.29,102.849,103.371,103.93,104.573,105.209,105.827,106.448,107.056,107.674,108.387,109.122,109.828
"17","9","  Equals: Net fixed investment","A560RA3",907.565,920.537,898.948,881.276,852.029,808.042,777.133,711.971,683.161,663.551,642.421,622.915,626.928,663.671,722.856,753.808,729.395,775.906,809.681,839.244,862.354,886.484,910.265,897.923,935.307,892.95,848.042,803.878,781.662,772.327,741.773,705.511,647.269,599.337,508.253,339.211,161.585,83.65,83.317,71.448,74.68,136.783,130.929,168.762,158.531,195.278,275.93,320.684,360.815,374.983,383.047,410.514,414.101,430.853,458.794,484.979,474.447,520.878,555.925,571.278,549.107
"18","10","    Nonresidential","A008RA3",97.947,101.045,102.11,102.38,101.554,99.248,97.951,95.113,93.181,91.944,91.401,90.305,90.52,92.707,94.565,95.919,94.853,96.962,99.597,101.712,102.969,104.449,106.363,106.79,110.728,112.111,113.449,114.186,116.145,118.427,120.263,122.292,122.325,121.62,118.337,111.429,103.357,100.033,98.753,97.856,98.874,101.581,103.632,105.794,105.552,107.807,112.695,115.286,116.935,118.191,118.431,119.494,119.931,120.41,122.028,125.09,125.591,128.538,131.308,132.833,131.885
"19","11","    Less: Consumption of fixed capital","A753RA3",70.784,72.107,73.394,74.575,75.854,76.786,77.558,78.26,79.019,79.675,80.339,80.951,81.528,82.031,82.597,83.252,84.032,84.652,85.375,86.18,87.037,87.807,88.639,89.493,90.404,91.388,92.349,93.312,94.302,95.22,96.082,96.916,97.617,98.414,99.191,99.783,100.04,100.084,100,99.876,99.977,100.206,100.513,100.865,101.26,101.618,102.077,102.644,103.301,103.997,104.637,105.313,106.084,106.834,107.549,108.278,109.017,109.788,110.665,111.562,112.421
"20","12","    Equals: Net nonresidential","A593RA3",560.035,593.329,590.621,575.38,538.757,481.365,444.853,381.8,334.098,300.663,279.583,249.426,243.482,274.327,298.165,311.405,278.942,306.383,341.536,365.928,374,387.547,407.879,401.026,456.46,464.64,472.387,469.273,487.736,513.209,531.624,553.977,542.635,516.378,444.045,309.552,159.783,99.164,77.548,63.505,80.111,124.97,156.695,189.641,178.575,213.096,293.316,330.334,348.88,359.64,353.097,360.731,355.502,351.369,368.331,411.09,407.538,447.505,482.462,494.692,462.996
"21","13","      Structures","B009RA3",115.878,120.726,124.958,125.4,121.869,122.521,123.496,111.693,105.759,99.958,95.224,93.89,93.22,95.685,95.278,95.397,93.394,93.923,95.364,95.329,96.542,96.049,95.531,96.377,99.905,102.898,104.718,104.598,108.358,114.229,119.576,122.495,123.001,124.993,124.07,121.019,111.925,103.434,96.435,88.206,82.081,84.399,83.146,84.712,78.275,83.681,88.583,91.496,95.496,97.899,97.547,95.871,92.981,94.628,97.167,100.134,100.84,103.88,105.113,106.625,100.597
"22","14","      Less: Consumption of fixed capital","B188RA3",90.14,90.56,91.005,91.448,91.865,92.291,92.719,93.097,93.385,93.59,93.752,93.896,94.036,94.189,94.352,94.507,94.648,94.774,94.903,95.032,95.163,95.313,95.464,95.617,95.801,96.037,96.303,96.578,96.875,97.202,97.568,97.956,98.341,98.733,99.141,99.532,99.835,100.01,100.076,100.079,100.168,100.25,100.336,100.409,100.446,100.499,100.626,100.816,101.04,101.286,101.546,101.826,102.102,102.379,102.702,103.032,103.316,103.639,103.996,104.373,104.692
"23","15","      Equals: Net structures","A594RA3",202.427,222.165,239.13,239.569,222.762,224.175,226.99,174.222,147.369,121.372,100.174,93.869,90.476,100.718,98.394,98.388,89.179,91.062,96.916,96.328,101.177,98.526,95.758,98.936,113.708,125.967,133.017,131.567,146.973,171.485,193.582,205.008,205.925,213.294,207.896,193.272,152.58,114.947,84.192,48.281,21.261,31.097,25.342,31.931,3.719,27.127,48.088,60.157,76.851,86.509,84.098,75.844,62.312,68.563,78.553,90.388,92.515,104.69,108.87,114.201,86.828
"24","16","      Equipment","Y033RA3",109.644,113.695,114.087,113.871,113,108.308,105.497,105.074,103.289,102.115,102.349,100.762,100.809,104.185,107.24,109.316,107.532,111.726,115.57,119.105,120.153,122.767,126.937,127.796,134.489,134.96,135.318,135.84,137.53,139.101,139.83,141.244,139.587,136.058,129.071,114.348,101.488,98.028,99.308,101.175,108.28,114.099,118.912,122.277,125.811,127.161,135.182,138.252,139.487,139.819,140.08,142.845,144.54,145.087,146.757,151.674,151.298,155.374,159.494,159.738,160.812
"25","17","      Less: Consumption of fixed capital","Y080RA3",68.78,70.155,71.488,72.7,74.037,74.965,75.705,76.371,77.122,77.773,78.448,79.07,79.657,80.158,80.737,81.428,82.28,82.953,83.763,84.687,85.687,86.606,87.631,88.717,89.9,91.177,92.431,93.7,95.009,96.188,97.253,98.242,99.025,99.815,100.457,100.745,100.51,100.162,99.801,99.528,99.209,99.163,99.322,99.651,100.147,100.566,101.065,101.654,102.319,103.052,103.735,104.485,105.383,106.254,107.07,107.9,108.757,109.643,110.656,111.687,112.688
"26","18","      Equals: Net equipment","Y081RA3",-349.968,-376.009,-365.034,-349.181,-325.221,-266.713,-229.585,-217.753,-191.015,-171.666,-166.469,-143.214,-137.091,-166.052,-190.852,-204.345,-176.486,-211.889,-242.178,-268.008,-267.493,-283.941,-315.148,-311.736,-367.016,-357.485,-347.043,-338.12,-340.713,-343.547,-339.047,-342.411,-316.624,-271.572,-192.76,-38.651,90.48,122.024,104.854,82.643,6.252,-53.892,-101.417,-132.2,-162.845,-171.957,-248.539,-273.37,-278.549,-273.709,-268.703,-288.596,-295.877,-291.681,-299.615,-340.664,-327.169,-358.972,-389.802,-380.696,-380.453
"27","19","      Intellectual property products","Y001RA3",76.124,77.201,77.601,78.412,78.98,78.079,77.434,76.249,76.195,77.297,78.067,77.677,78.602,79.248,80.986,82.207,82.532,83.104,85.056,86.843,88.404,89.847,90.747,90.397,91.438,92.757,94.921,96.589,97.481,97.817,98.216,100.266,101.871,102.25,101.315,100.286,98.669,99.724,99.994,101.613,101.213,100.692,102.189,103.455,103.803,104.612,105.921,107.689,107.885,109.233,109.931,111.299,113.054,112.494,113.275,114.289,115.595,117.153,119.655,122.616,123.698
"28","20","      Less: Consumption of fixed capital","Y083RA3",63.831,65.387,66.901,68.3,69.812,70.941,71.89,72.768,73.724,74.573,75.435,76.234,76.988,77.649,78.377,79.205,80.18,80.961,81.853,82.834,83.866,84.76,85.695,86.627,87.585,88.612,89.596,90.57,91.56,92.5,93.407,94.324,95.13,96.214,97.434,98.593,99.513,100.023,100.229,100.235,100.939,101.656,102.32,102.893,103.382,103.859,104.486,105.275,106.213,107.163,107.998,108.84,109.771,110.675,111.522,112.386,113.279,114.202,115.257,116.331,117.373
"29","21","      Equals: Net intellectual property products","Y084RA3",191.324,187.915,177.878,173.167,164.895,144.973,129.384,108.869,99.35,102.823,102.73,91.202,93.735,94.231,105.443,110.338,104.566,103.188,115.077,124.413,130.928,137.527,138.085,125.73,127.547,131.602,144.83,152.992,152.97,147.645,143.279,155.946,165.049,158.813,137.684,116.155,90.758,96.925,97.79,114.527,103.776,91.657,100.965,108.719,107.748,111.671,119.373,130.314,123.55,128.638,128.043,134.345,143.821,129.541,129.699,132.123,137.305,144.807,160.878,181.513,182.964
"30","22","    Residential","A011RA3",164.505,163.661,161.116,161.282,161.975,164.484,165.508,164.446,169.837,174.054,174.568,177.711,180.959,183.814,194.356,200.131,202.472,208.922,210.396,213.302,218.336,222.386,224.83,224.316,222.224,211.05,199.276,189.972,181.305,174.048,162.957,149.424,137.673,131.637,125.151,113.085,102.224,96.102,100.801,100.873,97.635,102.871,93.845,95.635,95.449,96.708,98.605,101.364,107.292,108.416,112.039,117.355,119.566,124.87,128.238,125.412,123.725,126.348,127.36,128.557,130.127
"31","23","    Less: Consumption of fixed capital","A754RA3",75.265,75.945,76.616,77.279,77.932,78.581,79.24,79.888,80.586,81.375,82.163,82.966,83.833,84.717,85.686,86.719,87.738,88.814,89.903,90.985,92.094,93.237,94.408,95.505,96.484,97.365,98.121,98.806,99.443,99.967,100.342,100.559,100.647,100.665,100.657,100.564,100.354,100.084,99.853,99.71,99.458,99.248,99.018,98.764,98.616,98.47,98.334,98.224,98.16,98.155,98.188,98.272,98.396,98.573,98.801,99.002,99.098,99.131,99.219,99.347,99.477
"32","24","    Equals: Net residential","A748RA3",3821.594,3758.297,3623.961,3603.732,3606.082,3684.805,3700.795,3629.682,3827.385,3972.069,3961.394,4060.432,4161.205,4244.853,4647.709,4847.83,4904.325,5131.009,5148.214,5225.908,5391.799,5514.965,5569.611,5503.009,5375.083,4869.895,4344.663,3926.009,3536.009,3209.94,2728.941,2151.961,1655.003,1400.873,1128.909,626.199,178.879,-67.084,139.666,148.538,22.922,251.352,-118.132,-32.606,-34.312,24.488,109.703,230.063,481.524,528.949,679.67,899.389,987.116,1202.528,1334.588,1207.72,1132.965,1241.687,1280.61,1325.569,1386.193
"33","25","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","Gross government investment \1\","A782RA3",77.64,76.679,77.351,77.809,78.792,82.584,79.566,82.901,84.605,85.319,86.749,87.495,87.542,88.422,90.309,90.061,90.128,91.321,91.1,90.001,89.625,90.54,91.02,91.48,92.169,94.256,93.717,93.984,94.053,95.787,96.091,96.575,96.698,99.386,100.43,99.746,98.636,100.656,101.173,99.535,98.135,100.664,101.089,99.795,96.282,95.86,94.911,94.465,91.812,92.022,90.6,88.633,86.263,86.641,86.468,85.69,82.262,84.379,84.424,85.301,83.261
"35","27","Less: Consumption of fixed capital","A264RA3",76.88,77.282,77.682,78.089,78.5,78.902,79.312,79.703,80.096,80.528,81.011,81.522,81.981,82.548,83.131,83.75,84.375,85.018,85.673,86.332,86.996,87.671,88.351,89.057,89.752,90.478,91.211,91.945,92.698,93.454,94.218,94.986,95.774,96.57,97.401,98.256,99.124,99.825,100.35,100.701,101.526,102.263,102.919,103.483,104.033,104.54,105.017,105.455,105.846,106.173,106.437,106.639,106.785,106.986,107.258,107.594,107.99,108.398,108.816,109.21,109.621
"36","28","Equals: Net government investment","A889RA3",79.286,75.372,76.633,77.204,79.425,90.561,80.117,89.832,94.375,95.702,99.184,100.439,99.592,101.15,105.864,103.738,102.596,104.98,102.861,97.953,95.321,96.758,96.803,96.729,97.406,102.445,99.149,98.402,96.989,100.841,100.149,100.017,98.7,105.49,106.994,102.974,97.579,102.456,102.957,97.009,90.786,97.198,97.123,91.801,79.485,77.048,73.013,70.651,61.398,61.356,56.281,49.612,41.789,42.553,41.416,38.225,26.509,32.327,31.566,33.488,26.139
"37","29","    Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","      National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","31","      Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","32","    State and local","B893RA3",116.711,111.531,112.291,113.871,116.537,128.809,111.459,123.705,126.637,122.934,123.37,124.521,122.079,119.356,125.43,122.179,120.021,120.749,114.082,108.907,107.031,107.347,104.936,107.457,105.356,110.27,108.582,105.059,105.631,106.808,106.031,106.765,104.728,106.751,106.468,100.754,99.877,103.222,101.839,95.062,87.699,92.757,92.469,84.975,77.694,74.553,72.378,70.778,64.678,63.415,58.565,54.001,50.627,54.017,53.669,52.683,46.668,52.836,53.441,55.098,47.718
"41","33","  Structures","A760RA3",97.753,94.387,95.12,95.648,97.198,104.772,96.118,103.288,105.612,104.205,104.993,106.446,105.423,104.794,107.903,105.594,105.092,105.931,102.787,99.409,98.739,98.598,97.872,98.645,97.933,100.513,99.104,97.633,98.153,99.265,98.681,98.354,97.553,99.731,100.451,99.414,99.244,101.121,101.389,98.246,95.385,99.782,100.154,96.321,93.69,91.749,89.943,88.706,85.438,84.341,81.655,79.599,77.148,78.644,78.297,77.318,74.937,77.85,78.081,78.928,75.397
"42","34","  Less: Consumption of fixed capital","B894RA3",83.661,84.101,84.542,84.984,85.432,85.881,86.368,86.838,87.327,87.83,88.324,88.823,89.334,89.827,90.317,90.822,91.312,91.785,92.23,92.658,93.073,93.466,93.859,94.246,94.615,94.992,95.396,95.8,96.217,96.621,97.019,97.424,97.824,98.214,98.617,99.015,99.415,99.806,100.199,100.579,100.976,101.366,101.741,102.088,102.613,103.054,103.421,103.717,103.938,104.143,104.336,104.521,104.713,104.903,105.118,105.36,105.613,105.866,106.096,106.308,106.527
"43","35","  Equals: Net structures","A895RA3",113.662,105.998,107.063,107.687,110.482,126.098,107.124,121.859,126.255,122.692,123.812,126.34,123.587,121.691,127.756,122.272,120.649,121.902,114.706,107.031,105.136,104.392,102.403,103.612,101.679,106.746,103.29,99.703,100.337,102.25,100.556,99.403,97.248,101.444,102.522,99.864,99.051,102.606,102.732,95.612,89.073,97.994,98.362,89.812,83.617,78.986,74.727,71.76,64.553,61.986,56.049,51.463,46.029,49,48.018,45.66,40.305,46.221,46.454,48.017,40.252
"44","36","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","38","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","39","      State and local","B899RA3",119.562,112.819,113.991,115.747,118.912,134.437,114.609,129.699,132.661,128.731,129.389,131.731,128.668,125.722,132.256,128.151,126.315,127.792,120.622,114.581,112.622,112.749,110.06,112.865,109.982,114.506,111.177,105.516,106.603,106.419,104.903,104.558,102.72,104.945,104.685,100.698,99.939,103.59,102.241,94.23,87.699,94.613,95.153,87.074,80.612,77.287,74.997,74.206,67.901,66.181,61.299,56.153,52.617,55.928,55.167,53.598,48.067,54.212,54.496,55.524,48.37
"48","40","  Equipment","Y054RA3",53.23,53.503,54.302,54.143,53.986,55.873,56.732,57.592,59.016,62.236,64.609,63.826,63.617,66.154,66.865,67.891,68.193,70.241,72.824,73.152,72.014,74.696,76.838,76.872,80.308,83.082,82.258,84.948,83.427,87.995,89.959,92.016,93.114,99.792,102.556,101.604,96.673,100.731,101.634,100.962,100.097,101.813,101.56,103.908,94.964,97.54,97.106,97.205,92.979,96.202,96.464,92.759,88.351,88.781,90.265,91.068,82.818,86.896,86.261,87.76,84.886
"49","41","  Less: Consumption of fixed capital","Y085RA3",69.559,70.092,70.596,71.11,71.613,72.078,72.515,72.889,73.245,73.65,74.168,74.744,75.085,75.713,76.32,76.977,77.588,78.242,78.939,79.64,80.349,81.12,81.929,82.834,83.738,84.75,85.753,86.776,87.86,88.991,90.188,91.399,92.698,94.034,95.466,96.981,98.528,99.747,100.599,101.126,102.513,103.683,104.691,105.517,106.16,106.744,107.281,107.753,108.136,108.414,108.599,108.66,108.623,108.679,108.864,109.149,109.529,109.953,110.41,110.82,111.253
"50","42","  Equals: Net equipment","Y086RA3",-9.667,-10.394,-8.459,-11.209,-13.912,-6.545,-4.066,-1.332,4.208,18.273,27.786,21.775,19.446,29.337,30.444,32.893,32.004,39.423,49.272,48.161,39.909,49.951,57.229,53.906,67.093,76.656,68.794,77.906,66.352,84.157,89.079,94.394,94.714,121.969,129.865,119.409,89.527,104.524,105.618,100.331,90.795,94.61,89.5,97.712,51.841,62.088,57.912,56.578,34.594,49.165,49.72,31.512,10.27,12.139,18.622,21.426,-20.069,-1.916,-6.757,-1.062,-16.676
"51","43","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","      State and local","Y090RA3",116.563,119.339,116.384,112.283,109.313,99.271,87.537,84.397,90.421,79.302,72.778,62.293,62.83,58.321,59.168,59.856,50.052,41.061,29.525,29.843,29.097,30.552,28.348,26.568,31.815,46.025,71.335,105.449,91.667,128.813,146.154,173.408,157.148,154.829,154.254,103.812,101.496,98.088,92.338,108.078,77.912,44.374,21.773,24.679,-3.339,0.553,1.493,-23.475,-24.606,-14.82,-20.156,-11.554,-16.666,-0.541,10.044,27.881,8.362,15.866,21.797,40.925,19.367
