"","Table 5#2#5U# Gross and Net Domestic Investment by Major Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","3","      Equals: Net domestic investment","W171RC1",852.5,948.8,919.2,918.6,798.4,790,728.1,636.7,704.2,712.5,706.6,702.7,713.6,715.1,785.5,849.8,847.2,933.9,959.6,993.1,1051.3,1019.8,1045.7,1118.4,1151.7,1131.6,1087.4,1017.2,982.3,1009,979,916.1,810.6,773,701.9,498.7,229.3,110.8,82.6,204.3,255.1,373.1,442.6,413.4,341.8,408.9,403.1,554.7,568.9,595.3,579.7,529.7,550.2,579.3,667.4,671.4,590.3,712.4,747.7,769.6,738.8
"12","4","Gross private domestic investment","A006RC1",1945.9,2071.8,2055.8,2061.6,1967.5,1967,1937.3,1842.7,1910,1925.6,1927.9,1936.5,1960.2,1970.5,2048.3,2132.8,2155.2,2259.5,2311.3,2380.8,2475.2,2469.5,2527.2,2636.5,2699.7,2697,2684.4,2641.6,2634.2,2671.9,2658.2,2610.6,2527,2493.3,2435.9,2243.1,1972.1,1825.9,1786.4,1928,1989.5,2092.7,2164.6,2156.5,2123.5,2212.7,2228.2,2395.2,2445.4,2489.3,2500.4,2481.5,2543.3,2594.6,2708.9,2745.2,2714.4,2843.6,2905.1,2943.3,2947.2
"13","5","Less: Consumption of fixed capital","A024RC1",1208.2,1232.5,1248.7,1256.8,1287,1313.2,1328.9,1341.6,1349.3,1359.6,1374.1,1389,1401.6,1413.2,1428.6,1446,1470.1,1494.4,1520.7,1552,1584.9,1616,1650.8,1689.5,1721.4,1751.1,1779,1808.6,1837.5,1857.5,1874,1891,1911.7,1930.3,1949.6,1955.9,1944.4,1924.8,1912.6,1920.7,1919.7,1918.9,1921.9,1933.6,1947.8,1965.5,1979.8,1991.1,2008.2,2026.6,2042.9,2059.2,2083.9,2108.2,2132.5,2158.7,2183.5,2203.8,2228.6,2249.2,2267.6
"14","6","Equals: Net private domestic investment","A557RC1",737.7,839.2,807,804.7,680.5,653.8,608.4,501,560.7,566,553.8,547.5,558.6,557.3,619.7,686.8,685.1,765.1,790.6,828.8,890.2,853.5,876.4,947,978.3,945.9,905.4,833,796.7,814.5,784.3,719.6,615.3,562.9,486.3,287.2,27.7,-98.9,-126.2,7.3,69.9,173.8,242.6,222.9,175.7,247.2,248.4,404,437.2,462.7,457.5,422.3,459.4,486.4,576.4,586.5,530.9,639.8,676.4,694.2,679.6
"15","7","  Fixed investment","A007RC1",1929.8,1981.3,1998.5,2007.2,1998.2,1978.6,1967.5,1923.5,1910.2,1906.5,1902.6,1906.7,1929.2,1970.9,2040.1,2094.4,2106.3,2183.3,2249,2312.7,2375.7,2438.9,2509.3,2546.2,2625.2,2619.7,2607.3,2602.5,2614,2624.8,2609.6,2588.7,2547.2,2517.2,2454.7,2308.3,2117.8,2013.8,1992.3,1978.8,1977.5,2042.6,2043,2094.1,2097.2,2149.6,2243.1,2302.5,2364.3,2397.1,2424.7,2471,2499.1,2543.8,2598.1,2654.6,2674.3,2743.4,2810.6,2850,2841.5
"16","8","  Less: Consumption of fixed capital","A024RC1",1208.2,1232.5,1248.7,1256.8,1287,1313.2,1328.9,1341.6,1349.3,1359.6,1374.1,1389,1401.6,1413.2,1428.6,1446,1470.1,1494.4,1520.7,1552,1584.9,1616,1650.8,1689.5,1721.4,1751.1,1779,1808.6,1837.5,1857.5,1874,1891,1911.7,1930.3,1949.6,1955.9,1944.4,1924.8,1912.6,1920.7,1919.7,1918.9,1921.9,1933.6,1947.8,1965.5,1979.8,1991.1,2008.2,2026.6,2042.9,2059.2,2083.9,2108.2,2132.5,2158.7,2183.5,2203.8,2228.6,2249.2,2267.6
"17","9","  Equals: Net fixed investment","A560RC1",721.5,748.8,749.8,750.4,711.1,665.4,638.5,581.9,560.9,546.9,528.5,517.7,527.6,557.7,611.5,648.4,636.2,688.8,728.3,760.7,790.7,822.9,858.5,856.8,903.9,868.6,828.3,793.9,776.5,767.4,735.6,697.7,635.5,586.9,505,352.4,173.3,89,79.7,58.1,57.8,123.7,121.1,160.5,149.4,184.1,263.3,311.4,356.1,370.5,381.8,411.9,415.2,435.6,465.7,495.9,490.7,539.6,582,600.8,573.9
"18","10","    Nonresidential","A008RC1",1445.5,1494.7,1515.5,1519.4,1501.5,1467.6,1445,1401.5,1371.9,1351.6,1343.7,1328.4,1327.8,1359.1,1388.5,1411.5,1400.3,1440.2,1485.6,1526.5,1560.5,1595.2,1633.8,1656.4,1729.4,1761,1793.6,1821.2,1864.7,1907.5,1937.9,1972.3,1981.6,1978.7,1947.3,1856.2,1712.3,1637.5,1600.3,1583.6,1594.4,1641.8,1677.4,1719.3,1722.4,1768.5,1854.5,1902.9,1942,1968.8,1978.3,1998.7,2010.3,2026.9,2060.2,2118.7,2134.6,2191.2,2244.3,2272,2256.8
"19","11","    Less: Consumption of fixed capital","A753RC1",985.5,1005.4,1017.3,1021.3,1046.1,1066.7,1076.9,1087,1092.5,1098.6,1109.1,1117.5,1122.7,1130.2,1139.8,1149.1,1164.7,1179.9,1196.2,1218.3,1242.5,1264.3,1285.5,1313.3,1336.1,1359.7,1383.1,1408.9,1432.9,1451.3,1466.1,1482.9,1504.5,1526,1550.6,1563.3,1556.6,1541.9,1533.1,1539.4,1539.3,1542.6,1546.7,1557.6,1572.7,1590.5,1605.3,1616.7,1634.7,1651.9,1664.7,1676.7,1695.5,1713.6,1730,1748.4,1763.2,1781.7,1800.1,1815.4,1831.1
"20","12","    Equals: Net nonresidential","A593RC1",460,489.4,498.1,498.1,455.3,400.9,368.1,314.5,279.4,253.1,234.6,210.9,205.2,228.9,248.7,262.4,235.6,260.3,289.4,308.3,318.1,330.9,348.3,343.1,393.2,401.2,410.5,412.4,431.8,456.2,471.7,489.4,477.1,452.7,396.7,292.8,155.7,95.6,67.2,44.2,55.1,99.2,130.7,161.7,149.7,178,249.2,286.2,307.4,317,313.5,322,314.8,313.3,330.2,370.4,371.3,409.5,444.2,456.6,425.7
"21","13","      Structures","B009RC1",298.2,313.5,327.9,333,328.3,335.1,343.2,312.4,298.6,285.3,274.2,273.5,274.8,282.2,283.1,287.2,287,295.2,307.9,317.1,330.8,337.9,348.3,365.6,389,410.8,425.9,436.7,458.1,485.3,512.6,531.7,540.2,553.8,559.3,556.2,508,455.2,412.7,376.9,352.4,364.5,361.1,370.1,343.2,371.3,397.1,415,437,452.5,452.2,445.9,435.4,448.5,463,481.7,487.9,504.4,513.3,522.1,491.6
"22","14","      Less: Consumption of fixed capital","B188RC1",169.7,172.1,175.2,178.5,182.6,187.1,191.3,193.1,196.3,199.8,202.6,205.6,208.5,209,211.2,214.7,219.7,225.2,232.2,240.3,248.9,256.5,267,279.4,287.8,296.3,302.7,312,316.8,319.5,323.4,328.7,334.6,339,346.7,355.2,351.1,339.7,330.5,329.8,330.6,332.3,334.5,337.6,339,342.1,345.4,348.6,350.5,353.3,354.7,356.7,361.1,366.4,370.3,375.5,378.9,381.5,385.3,387.8,388.8
"23","15","      Equals: Net structures","A594RC1",128.4,141.4,152.7,154.5,145.6,148,151.9,119.3,102.3,85.5,71.6,67.9,66.3,73.2,71.8,72.6,67.3,70,75.7,76.9,81.8,81.4,81.4,86.2,101.2,114.6,123.1,124.7,141.2,165.8,189.2,203.1,205.7,214.8,212.7,201,156.9,115.4,82.3,47.2,21.8,32.2,26.6,32.6,4.2,29.2,51.7,66.4,86.5,99.2,97.5,89.2,74.3,82.2,92.7,106.3,109,122.9,128,134.3,102.8
"24","16","      Equipment","Y033RC1",749.4,774,774,767,751.7,716,692.4,686,671.4,660.7,658.9,647.5,642.2,660.7,679.6,693.4,680.6,709.6,732,754.6,765,782.6,805.2,810,851.3,852.4,857.3,863.6,876.9,888.2,887.6,890.4,878.9,856.9,822.4,742.4,659,634.4,639.1,644.8,682.7,719,751.2,774.4,798.3,809.7,861.7,883.3,894.9,897.1,901.4,922.8,933.1,937,948.8,980,979.5,1008.6,1038.2,1042.9,1053.3
"25","17","      Less: Consumption of fixed capital","Y080RC1",513.9,521.1,519.6,512.5,527.4,537.7,541.6,545.2,544.6,545.2,547.8,550.4,550.6,552.7,555.8,558.5,564.7,570.7,576,585.5,595,602.6,607.8,616.4,624,633.2,644.5,654.8,665.9,674.8,680.3,686.5,694.4,703.1,712.6,714.2,711,707.3,705.5,705,702.1,700.8,702.5,706,714,722.3,728.9,733.5,741.5,747.7,753.7,759.8,766.2,772.5,779,785.8,790.2,799.3,808.3,817.6,827
"26","18","      Equals: Net equipment","Y081RC1",235.5,252.8,254.4,254.5,224.2,178.3,150.8,140.7,126.9,115.6,111.1,97.2,91.6,108.1,123.8,134.9,115.9,138.9,156,169,169.9,180,197.4,193.6,227.3,219.2,212.8,208.7,211,213.4,207.3,204,184.5,153.8,109.8,28.2,-52,-72.9,-66.4,-60.3,-19.4,18.3,48.7,68.4,84.3,87.4,132.7,149.8,153.4,149.5,147.7,163,166.9,164.4,169.8,194.2,189.3,209.3,229.9,225.4,226.3
"27","19","      Intellectual property products","Y001RC1",397.9,407.3,413.6,419.4,421.5,416.4,409.4,403.1,401.9,405.6,410.6,407.3,410.8,416.1,425.9,430.9,432.6,435.4,445.7,454.8,464.8,474.7,480.3,480.8,489.1,497.7,510.5,521,529.7,534.1,537.6,550.2,562.5,568,565.5,557.6,545.3,548,548.5,561.9,559.2,558.3,565.1,574.8,580.9,587.5,595.7,604.6,610.1,619.2,624.7,630,641.8,641.4,648.4,657,667.2,678.2,692.7,706.9,712
"28","20","      Less: Consumption of fixed capital","Y083RC1",301.8,312.1,322.5,330.2,336,341.9,344.1,348.6,351.6,353.6,358.7,361.5,363.6,368.5,372.7,376,380.3,384,388,392.5,398.5,405.1,410.7,417.5,424.4,430.3,435.9,442.1,450.2,457,462.4,467.8,475.5,483.9,491.3,493.9,494.5,494.9,497.2,504.6,506.6,509.6,509.7,514.1,519.7,526.1,530.9,534.6,542.6,550.9,556.3,560.2,568.2,574.7,580.7,587.1,594.2,600.9,606.4,610,615.3
"29","21","      Equals: Net intellectual property products","Y084RC1",96.1,95.1,91.1,89.2,85.5,74.5,65.3,54.5,50.3,52,51.9,45.8,47.3,47.6,53.2,54.9,52.4,51.5,57.7,62.4,66.3,69.5,69.5,63.3,64.7,67.5,74.6,78.9,79.6,77.1,75.3,82.4,87,84.1,74.2,63.7,50.8,53.1,51.3,57.3,52.6,48.7,55.4,60.7,61.2,61.4,64.8,70,67.5,68.3,68.4,69.8,73.6,66.6,67.6,69.9,73,77.3,86.3,96.9,96.7
"30","22","    Residential","A011RC1",484.2,486.6,483.1,487.8,496.7,511,522.4,522.1,538.3,554.8,558.9,578.3,601.4,611.9,651.6,682.9,706,743.1,763.4,786.2,815.1,843.7,875.5,889.9,895.9,858.7,813.7,781.3,749.3,717.3,671.7,616.4,565.5,538.4,507.4,452.1,405.5,376.3,392,395.2,383.1,400.8,365.6,374.7,374.8,381.1,388.6,399.6,422.3,428.3,446.4,472.3,488.9,516.9,538,535.9,539.7,552.2,566.4,578,584.7
"31","23","    Less: Consumption of fixed capital","A754RC1",222.7,227.2,231.4,235.5,240.9,246.5,252,254.7,256.9,261.1,265,271.6,279,283.1,288.8,296.9,305.4,314.6,324.5,333.7,342.5,351.7,365.3,376.2,385.2,391.4,395.9,399.8,404.6,406.1,407.8,408.1,407.2,404.3,399,392.5,387.8,383,379.5,381.3,380.3,376.3,375.3,376,375.1,375,374.5,374.4,373.5,374.8,378.2,382.5,388.4,394.6,402.5,410.3,420.3,422.1,428.6,433.8,436.5
"32","24","    Equals: Net residential","A748RC1",261.5,259.4,251.7,252.3,255.8,264.5,270.4,267.4,281.5,293.8,293.9,306.8,322.4,328.8,362.8,386,400.6,428.5,439,452.4,472.7,492,510.3,513.7,510.6,467.4,417.8,381.5,344.7,311.2,263.9,208.3,158.3,134.1,108.3,59.5,17.6,-6.7,12.5,13.9,2.7,24.5,-9.6,-1.2,-0.3,6.1,14.1,25.2,48.7,53.5,68.2,89.8,100.4,122.3,135.5,125.6,119.4,130.1,137.8,144.3,148.2
"33","25","  Change in private inventories","A014RC1",16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,26.3,63,-14.9,92.6,81.1,92.2,75.7,10.4,44.2,50.8,110.7,90.5,40.1,100.3,94.5,93.3,105.8
"34","26","Gross government investment \1\","A782RC1",387.7,386,391.6,395.7,401.7,421.7,406.7,424.4,434.4,439.4,448,452.5,455.3,461,472.2,472.4,475.3,487.6,494.4,496.6,498.2,509.6,519.4,527.4,534.3,553.7,555.8,565.7,575.6,590.7,597.2,605.3,611.4,632.8,645.8,648.6,642.7,651.9,651.4,642.1,635.4,655.3,660.5,656,637.7,639.1,637.5,637.3,623.3,627.7,620.1,606.6,592.4,597.4,598.7,596.7,574.6,591,593,599.7,585.1
"35","27","Less: Consumption of fixed capital","A264RC1",273,276.4,279.4,281.9,283.8,285.6,287,288.8,290.8,292.9,295.2,297.3,300.4,303.2,306.4,309.4,313.2,318.7,325.4,332.3,337.1,343.3,350.1,356.1,360.9,368,373.8,381.4,389.9,396.2,402.5,408.9,416,422.7,430.1,437.2,441.2,442.1,442.5,445.1,450.2,456,460.5,465.5,471.6,477.4,482.7,486.6,491.5,495.1,498,499.2,501.5,504.5,507.8,511.8,515.2,518.5,521.8,524.2,526
"36","28","Equals: Net government investment","A889RC1",114.8,109.6,112.2,113.8,117.9,136.2,119.7,135.7,143.6,146.6,152.8,155.2,155,157.8,165.8,163,162.1,168.8,169,164.3,161.1,166.3,169.2,171.3,173.4,185.7,182,184.2,185.6,194.5,194.7,196.5,195.3,210.1,215.7,211.4,201.5,209.8,208.9,197,185.2,199.3,200,190.5,166.1,161.7,154.7,150.7,131.8,132.6,122.1,107.4,90.8,92.9,91,84.9,59.4,72.6,71.2,75.4,59.1
"37","29","    Federal","A890RC1",-3.7,-4.7,-3.6,-4.5,-4.2,0.2,2.4,3.8,7.8,14,19.2,20,21.2,26.9,27.9,28.2,28.6,31.6,35.6,33.7,31.5,33.5,36.3,32.8,36.6,39.1,35.2,38.4,34.8,40.4,40.3,39,39.5,50,53.6,54.6,44.7,49.4,52.5,51.1,49.9,55.4,55.9,57.3,43.7,43,38,35.3,25.5,27.5,24.5,17.2,5.7,1.7,-0.3,-5.3,-21.1,-18.8,-21.7,-20.5,-24.1
"38","30","      National defense","B891RC1",-16.6,-16.7,-15.4,-15.3,-15.5,-11.7,-9.5,-8.5,-7,-1.1,3.4,3.9,5.1,8.9,10.3,11.9,12.7,14.8,19.5,17.6,16.2,18.8,20,16.8,17.8,22.5,18.5,22.1,19.5,24.7,24.1,23,23.8,33.1,35.9,36.3,27,31.9,32.9,29.6,25.9,28.6,28.8,30.4,16.8,18.5,15.5,14.8,5.7,8.5,6.8,0.4,-7.6,-9.5,-9.6,-12.2,-25.9,-21.8,-23.6,-23.1,-26
"39","31","      Nondefense","B892RC1",12.9,12,11.8,10.8,11.4,11.9,11.9,12.3,14.8,15.1,15.8,16.1,16.1,18,17.6,16.3,15.9,16.9,16.1,16.1,15.4,14.7,16.2,16,18.8,16.6,16.7,16.3,15.4,15.7,16.2,16,15.7,16.9,17.7,18.3,17.7,17.6,19.6,21.5,24,26.8,27.1,26.9,26.8,24.5,22.4,20.5,19.8,19,17.7,16.8,13.4,11.2,9.3,6.9,4.8,3,1.9,2.6,1.8
"40","32","    State and local","A893RC1",118.4,114.3,115.8,118.3,122.1,135.9,117.3,131.8,135.8,132.6,133.6,135.2,133.8,130.9,138,134.8,133.5,137.2,133.4,130.6,129.6,132.8,133,138.5,136.7,146.7,146.8,145.8,150.8,154.1,154.5,157.5,155.8,160.1,162.1,156.8,156.8,160.3,156.4,145.9,135.3,143.9,144.1,133.2,122.4,118.7,116.7,115.4,106.3,105.1,97.6,90.2,85.1,91.2,91.2,90.2,80.5,91.4,92.9,96,83.3
"41","33","  Structures","A760RC1",190.4,186.6,189.6,192.3,197.6,213.9,197.3,214.2,220.4,219.3,222.1,226,226.4,225.7,233,229,230,237.3,238.2,237.3,238.4,243.8,249,255.9,256.3,270.4,271.7,275.5,285.3,292.4,294.5,297.9,298.9,308.3,315.4,318.8,320.7,323.4,320.9,310.7,302.7,318.3,321,310.6,304.4,301.6,299.7,298.8,290.1,289,281.6,275.2,268.2,275,275.7,274.3,267.3,278.9,281.5,285.4,272.4
"42","34","  Less: Consumption of fixed capital","A894RC1",86.2,88,89.2,90.5,92,92.9,93.9,95.4,96.5,97.8,98.9,99.7,101.6,102.4,103.3,104.2,105.6,108.6,113.1,117.2,118.9,122.4,126.6,129.7,131.5,135.8,139.1,143.6,148.3,151.2,154,157.1,159.7,162,165,168.6,170.3,169.1,168.2,168.7,169.8,171.2,172.6,174.3,176.8,179.8,182.8,185.4,187.3,189.4,191,192,193.5,195,196.7,198.8,200.2,201.5,203.3,204.4,204.6
"43","35","  Equals: Net structures","A895RC1",104.2,98.6,100.4,101.9,105.6,121,103.4,118.8,123.9,121.4,123.2,126.2,124.9,123.3,129.7,124.8,124.4,128.6,125.1,120.2,119.4,121.4,122.4,126.2,124.9,134.6,132.7,131.9,136.9,141.2,140.5,140.8,139.1,146.4,150.4,150.2,150.4,154.3,152.6,141.9,133,147.1,148.3,136.3,127.6,121.9,116.8,113.4,102.8,99.6,90.6,83.2,74.8,80.1,79,75.6,67.1,77.4,78.1,81,67.8
"44","36","      Federal","A896RC1",-1.4,-2.5,-2.6,-3.7,-3.9,-3.3,-3.2,-3,-1.5,-1.3,-0.9,-0.6,-0.4,0.5,0.3,-1.3,-1.1,-1.3,-1.7,-3.9,-3.9,-5,-4.5,-6.4,-5.4,-4.7,-5.2,-2.8,-3.5,-0.6,-0.9,-2.1,-2.7,0.3,2.2,4,3.9,4,6,6.9,6.6,10,9.9,8.8,9,6.9,3.7,0.3,-1.5,-2.9,-4.9,-4.4,-7.7,-8.2,-8.6,-10.1,-10.2,-10.2,-10.4,-9.6,-11
"45","37","        National defense","B897RC1",-4,-4,-3.4,-3.9,-4.4,-3.9,-4.3,-4.1,-3.9,-3.7,-3.3,-3.3,-2.8,-2.7,-2.6,-3,-2.9,-3.4,-3.2,-4.2,-3.7,-4.1,-3.9,-4.5,-4.6,-4.3,-4.7,-3.9,-3.9,-1.5,-2.6,-3.5,-2.7,-0.1,1.3,2.7,3.1,3.7,4.6,4.2,2.9,3.6,4.1,3.4,2,0.9,-1,-2.8,-4.3,-5.5,-6.8,-6.5,-7.3,-7.3,-7.4,-8.7,-8.9,-9.1,-9.1,-9.6,-9.9
"46","38","        Nondefense","B898RC1",2.6,1.4,0.8,0.2,0.4,0.6,1.1,1.1,2.4,2.3,2.4,2.7,2.4,3.2,2.9,1.7,1.8,2,1.5,0.3,-0.2,-0.9,-0.5,-1.8,-0.9,-0.4,-0.5,1.1,0.5,0.9,1.7,1.4,0,0.4,1,1.4,0.8,0.3,1.4,2.7,3.8,6.4,5.8,5.4,6.9,5.9,4.7,3.1,2.8,2.5,1.9,2.1,-0.4,-0.8,-1.2,-1.5,-1.2,-1.1,-1.3,0,-1
"47","39","      State and local","B899RC1",105.6,101.2,103,105.5,109.6,124.3,106.7,121.8,125.4,122.8,124.1,126.8,125.3,122.8,129.4,126.1,125.5,130,126.8,124.1,123.3,126.4,126.9,132.6,130.3,139.3,137.8,134.7,140.4,141.8,141.4,143,141.8,146.1,148.2,146.1,146.5,150.3,146.6,135,126.4,137.1,138.5,127.5,118.7,115,113.1,113.2,104.3,102.5,95.5,87.6,82.5,88.2,87.6,85.7,77.2,87.6,88.6,90.5,78.8
"48","40","  Equipment","Y054RC1",87,87,88.1,87.4,86,88.5,89.2,89.1,91.1,95.4,98.5,97.3,96.7,100.1,101.2,102.6,103,106.2,109.3,110.4,109.1,112.5,115.3,115.1,120.2,123.9,122.6,126.3,124.1,130.3,132.8,135.7,137.4,147.5,152.1,151.5,143.7,149.4,150.4,149.5,148.4,151.1,150.7,154.6,142.4,146.3,145.9,145.8,140.2,145.3,145.6,139.3,132.5,133.2,135.5,137.2,124.9,131.1,130,132.1,128
"49","41","  Less: Consumption of fixed capital","Y085RC1",82.5,83,83.6,84,84,84.4,84.7,84.4,84.7,85,85.3,86,86.3,86.8,87.6,88.4,89.2,90.3,91.2,92.2,93.4,94.3,95.2,96.1,97.3,98.6,99.6,100.9,102.4,103.5,104.8,106.2,107.9,110,112.3,114.6,116.1,117.5,118.3,118.9,120.7,122.3,123.6,124.5,126.1,127.4,128.5,128.9,130.2,130.6,130.9,130.8,130.7,131,131.2,131.6,132.5,133,133.4,133.9,134.8
"50","42","  Equals: Net equipment","Y086RC1",4.5,3.9,4.5,3.5,2,4,4.5,4.7,6.5,10.4,13.2,11.3,10.4,13.3,13.6,14.3,13.8,15.8,18.2,18.2,15.6,18.3,20.1,19,23,25.3,23,25.4,21.7,26.7,28,29.5,29.5,37.5,39.8,36.9,27.6,31.9,32.1,30.7,27.7,28.8,27.1,30.1,16.3,18.8,17.5,16.9,10,14.6,14.7,8.5,1.8,2.3,4.3,5.6,-7.6,-1.9,-3.4,-1.9,-6.7
"51","43","      Federal","Y087RC1",-5.6,-6.3,-5.5,-6.2,-7.3,-4.6,-3.4,-2.8,-1.4,3.3,6.6,5.4,4.6,7.7,8,8.7,8.8,11.5,14.7,14.7,12.2,14.9,17,16.3,19.9,21.7,18.1,18.6,15.7,18.8,19.2,19.4,20.3,28.5,30.9,30.9,21.7,26.4,27,24.8,23.5,26.4,26,28.8,16.6,19,17.6,18.4,11.7,15.8,16.2,9.5,3.1,2.7,4.2,4.5,-7.5,-2.2,-4.1,-3.6,-7.3
"52","44","        National defense","Y088RC1",-7.4,-8,-7.6,-7.6,-8,-5.5,-4,-4.3,-3.9,0.5,3.3,2.3,1.7,4.3,4.6,5.6,5.6,7.4,11.2,10,7.8,10.7,11.7,9.6,11.2,15.5,11.7,14.1,11.2,14.1,14.8,14.8,15.2,22.7,25.2,25.2,16.5,21.5,22.1,20,17.7,20.4,20.1,23.1,11.7,14.7,13.6,14.3,7.2,11.5,12.2,6.4,1,1.3,3.1,3.6,-8.3,-2.9,-4.5,-3.7,-7
