"","Table 3#5U# Taxes on Production and Imports                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228"
"11","3","  Excise taxes","B234RC0",10884,11000,11368,11396,12076,12044,12020,11884,11880,12064,12092,12488,12728,12736,13188,13064,13192,13444,13540,13660,13744,14052,14144,14484,14944,14028,13048,13236,12044,12716,12628,12932,12964,13268,13384,13404,14024,14484,14900,15048,15288,15228,15744,15508,15436,15680,15676,15596,16844,16012,15652,15012,15044,15460,15608,15824,16120,16556,16572,16864,16388,16512,16400,16324,15664,16156,16436,16596,16504,16776,16920,17056,16928,17216,17432,17704,17508,18264,18168,18772,18268,18352,18064,18236,20408,26640,28932,30032,42808,43484,40304,38764,34388,31264,31748,31988,33448,36264,35828,35628,36028,35344,35196,35020,34100,33956,34768,32752,31652,29484,29468,29400,29228,29964,30964,31472,33248,33172,33780,33460,33772,31716,32292,31260,32608,32952,33656,34472,43156,45164,45092,46304,45940,45076,43180,45676,43540,44556,44916,53180,54879,57379,58471,59447,56578,55750,55806,54802,52497,51813,52001,58221,52989,59289,60141,60461,60082,60554,61622,62190,63071,63783,64059,66087,66171,66419,65963,65959,65207,65755,63739,63887,65820,67500,67460,66764,68434,68738,68120,69706,71712,71775,72404,72030,72153,76075,74804,73273,73192,72344,72418,72289,65487,65499,66394,65948,63734,65515,64449,65281,62326,71930,70049,68906,66836,68536,68908,68428,74011,76884,76482,79552,82935,80956,80271,82110,84072,85416,85864,86484,95411,96122,97932,97332,97112
"12","4","    Gasoline","B2000C0",1728,1756,1760,2300,2364,2372,2364,2336,2372,2356,2404,2440,2424,2472,2492,2492,2516,2592,2580,2676,2696,2688,2560,2732,2784,2772,2808,2816,2876,2888,2928,2932,2924,3000,3016,3060,3092,3148,3196,3200,3240,3312,3376,3448,3532,3532,3516,3592,3700,3584,3684,3732,3872,3788,3912,3988,4056,4276,4136,4028,3828,4024,4004,3956,4056,3932,4156,4136,4200,4296,4260,4300,4404,4404,4356,4384,4384,4448,4556,4692,4576,4436,4300,4252,4444,4040,3944,3960,4200,3912,4020,4076,4008,4080,4100,4028,5708,8644,8752,8688,8936,8928,8836,8780,8920,8916,8900,8912,9148,9156,9232,9240,8932,9044,8996,9016,9824,9704,9792,9868,9456,9472,9540,9412,10116,9908,10196,9972,15008,15304,15400,15240,15628,15500,15248,15796,14404,14280,14248,21060,19844,21084,21796,22472,21232,21192,21208,21112,22292,22332,22332,22244,21880,22244,22252,22196,23340,23204,23584,23584,23492,23416,23348,23492,23388,23504,23468,23368,22928,23664,23284,23328,23236,23296,23304,23284,23676,23868,24208,24372,24356,24060,23976,24380,26112,26104,25504,25564,25516,25818,26305,25733,22835,22596,22546,21964,21346,19546,18067,19628,20311,20545,20300,20344,19867,19819,19748,18466,17286,17367,18519,20215,25262,24940,24634,24716,24709,24527,24205,24231,24688,25144,24920,24832,24360
"13","5","    Alcoholic beverages","B2001C0",2928,2916,3244,2988,3064,3100,3052,3092,3136,3180,3180,3232,3304,3212,3256,3392,3268,3352,3416,3344,3540,3512,3612,3664,3688,3600,3520,3680,3668,3788,3856,3832,3924,4040,3940,4200,4036,4256,4376,4212,4444,4388,4680,4380,4652,4532,4460,4616,4612,4632,4924,4824,4788,4936,4828,4920,4920,4944,4948,5124,5288,5160,5076,5004,5020,5324,5228,5184,5096,5032,5172,4996,5080,5104,5152,5228,5280,5276,5228,5344,5300,5232,5176,5388,5340,4884,5272,5160,5152,5348,5272,5052,4960,4900,5024,5072,5112,5364,4992,5052,5224,4700,4420,4648,4500,4792,5532,4220,5700,5104,5200,5024,5172,5296,5656,5280,5364,5172,5172,5164,5204,5180,5160,5088,5240,5076,5132,5464,7144,6908,6808,7300,7356,7144,7064,7072,7256,7536,6864,7148,6651,6571,6451,6759,6934,6950,7462,6610,7093,7113,7029,7101,6913,7037,6929,6933,6950,6946,7034,7158,7195,7275,7111,7419,7243,7451,7231,7199,7255,7307,7287,7375,7564,7272,7816,7660,7612,7845,7980,8038,7857,8091,8234,8258,8142,7834,8072,8396,8405,8466,8625,8430,8405,8798,8316,8766,8797,8570,9116,8187,8585,8714,8680,8601,8848,8996,8784,8764,8608,9092,9044,9296,9320,9468,9404,9500,9088,9036,8912,9064,8932,8876,8988,9204,9092
"14","6","    Tobacco","B2002C0",1792,1792,1912,1904,1924,1956,1956,1932,2036,2024,1976,2044,2044,2016,2040,2072,2064,2124,2120,2104,1864,2100,2104,2196,2164,2116,2036,2032,2120,2068,2060,2040,2036,2164,2148,2112,2136,2076,2196,2132,2128,2088,2092,2060,2060,2148,2236,2268,2168,2148,2120,2188,2260,2236,2220,2216,2300,2352,2404,2544,2428,2356,2328,2280,2220,2416,2416,2456,2552,2528,2448,2440,2384,2344,2396,2392,2408,2596,2376,2488,2580,2464,2424,2408,2404,2476,2472,2592,2552,2532,2656,2488,2564,2496,2608,2316,5208,5184,4968,4632,4680,4644,4712,4544,4420,4216,4736,4496,4612,4656,4624,4488,4556,4604,4616,4628,4568,4332,4544,4324,4400,4172,4264,4300,4240,4396,4148,4084,4972,5052,5020,4956,5200,5248,5204,5784,5656,5752,5656,5788,5836,5828,5756,5892,5992,5896,5860,5928,5864,5804,5812,5804,5840,5900,5952,5760,5680,5680,5572,5292,5284,5320,5316,6492,6824,6668,6588,6884,7068,6948,6892,7612,7624,7748,7352,7040,7688,7968,8100,8074,7974,8007,7954,8131,7394,9730,9631,8866,8760,8768,8156,9336,8448,7716,8468,8876,7928,8060,7376,8632,7456,19236,19484,19060,18072,17518,17426,16932,17336,17424,16560,16516,17032,16352,16280,16432,15788,16132,15920,15284,15816,15080,15632,14408,14216
"15","7","    Diesel fuel","B2003C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,416,420,436,436,468,472,464,480,512,500,576,432,524,504,536,504,504,528,580,552,552,596,588,576,632,564,624,964,1144,1324,1500,1640,1820,2008,2196,2436,2572,2660,2700,2680,2656,2624,2596,2420,2544,2792,3144,3940,4196,4252,4116,3472,3200,3016,2928,3016,3136,3332,3588,4024,4248,4392,4448,4396,4308,4184,4060,3608,3780,4220,4904,6424,7048,7388,7420,6572,6448,6488,6700,7504,7768,7892,7876,7472,7364,7312,7332,7528,7648,7784,7928,8080,8212,8332,8432,8512,8568,8600,8612,8584,8584,8616,8676,8796,8892,8956,8984,8972,8964,8972,9000,9016,9092,9208,9364,9680,9800,9844,9812,9392,9166,9061,9082,9396,9417,9272,8962,8354,7997,7738,7578,7665,7687,7643,7537,7359,7321,7420,7652,8055,8368,8588,8717,8847,8832,8871,8966,9116,9247,9360,9453,9527,9598,9664,9732,9844
"16","8","    Air transport","B2004C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,924,908,976,904,1040,1060,1104,1056,1224,1188,1244,1208,1448,1476,1572,1536,1684,1736,1072,1092,1224,1136,1120,1140,1220,1348,1848,1860,2024,2156,2252,2276,2324,2360,2388,2404,2432,2460,2496,2564,2592,2608,2616,2568,2600,2664,2756,2940,3032,3104,3148,3136,3156,3192,3240,3240,3392,3624,3920,4440,4704,4872,4944,4772,4756,4760,4792,4888,4976,5084,5208,5388,5496,5572,5620,5584,5628,5684,5768,1500,700,856,6864,1760,7396,8160,8600,7808,8232,8540,8724,8536,8656,8840,9092,9568,9820,9996,10096,10084,10032,8532,7784,9336,11036,10712,10444,11194,10836,9492,10582,12541,12022,12264,11582,11117,13419,13121,12559,12148,11554,12410,12776,12363,13772,14800,13805,12368,14418,14127,12898,13761,13825,13574,13352,12030,13225,12673,12142,13561,14165,12356,14529,13760,13712,13860,14200,14732,15084,15256,15248,15132,15132,15836,15252,14756
"17","9","    Health insurance","Y700RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,509,371,298,290,7517,7892,8576,9584,10144
"18","10","    Medical devices","Y701RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1791,1816,1866,1942,2043,2116,2164,2188,2288
"19","11","    Pharmaceutical","Y702RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2425,2455,2515,2605,2724,2802,2839,2834,2788,2774,2793,2844,2927,2988,3032,3052,3136
"20","12","    Crude oil windfall profits tax","B2005C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2688,9696,11640,13364,25840,26480,23140,21876,17888,14672,15088,15212,11088,9852,9424,9136,8944,8420,8348,7628,6248,5584,4872,4236,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","    Other \1\","B2006C0",4436,4536,4452,4204,4724,4616,4648,4524,4336,4504,4532,4772,4956,5036,5400,5108,5344,5376,5424,5536,5644,5752,5868,5892,6308,5540,4684,4708,3380,3972,3784,4128,4080,4064,4280,4032,4760,5004,5132,5504,5476,5440,5596,5620,5192,5468,5464,5120,6364,5648,4924,4268,4124,4500,4648,4700,4844,4984,5084,5168,4844,4972,4992,5084,4368,4484,4636,4820,3440,3580,3712,3908,3720,3856,3996,4132,3900,4208,4320,4428,4172,4248,4184,4080,3492,3356,3340,3304,3420,3436,3484,3564,3252,3264,3016,2888,3508,4052,4212,4368,4328,4508,4512,4836,5172,5444,5608,5692,5348,5320,5180,5436,5580,5876,6240,6648,6612,6736,6916,6840,8104,6536,7120,6292,6756,7044,7224,7444,7568,8948,8600,9416,8588,8120,6720,8172,7728,8232,8844,9072,10736,11352,11508,11284,10264,9636,9104,8684,8244,8096,8080,8332,9124,9348,9536,9640,8776,8844,9108,9504,10484,10904,11112,11160,10636,10408,10080,9800,9288,9220,9128,9112,9264,9256,9320,9352,9292,9256,9368,9640,9968,10504,10768,10316,9708,9188,8632,8076,8972,8572,7860,6932,4040,3200,2992,3576,4940,6924,8024,8356,4548,1924,368,12,660,1656,2856,4472,6739,8013,8900,7674,5989,4850,4383,4750,5550,6427,7255,8128,8829,9297,9120,9080,9276
"22","14","  Customs duties","B235RC0",952,1076,1092,1076,1176,1084,1016,988,976,956,1068,1120,1192,1212,1184,1220,1200,1228,1236,1244,1236,1288,1340,1408,1424,1624,1676,1728,1796,1888,1892,1900,1924,1892,1820,2000,2132,2220,2364,2316,1992,2600,2484,2404,2420,2424,2512,2580,2556,2708,3216,3968,3148,2800,2904,3136,3420,3296,3156,3212,3396,3564,3820,3852,4136,5172,6864,7284,4300,4564,4748,4628,5028,5312,5768,5504,6444,7100,7308,7548,7588,7584,7280,7364,7204,6912,7212,7312,7852,8344,8840,9320,9084,8700,8308,8344,7616,8992,9624,10132,10944,12124,12252,12292,12264,11696,12020,12652,12840,13432,14348,14168,14900,15872,15448,15912,16316,16144,16460,16728,17044,17520,17748,17612,17668,17812,17476,17004,16548,16160,16736,17900,17700,17988,18680,18940,18680,20200,20444,19916,20584,21264,22016,21904,19992,19976,19628,19680,20148,19364,19700,17672,18976,20424,19808,19260,19400,19556,19840,19548,18216,17856,19708,20948,19952,21960,21576,21004,21864,20584,19900,20196,18648,19736,20524,20768,21452,21096,21764,21416,22288,22872,23684,24216,25004,25332,25524,25408,25884,27172,27592,26020,28556,28340,28780,29416,29624,29844,29068,28356,24048,21848,21828,24524,26216,27792,30000,30312,30780,32184,32720,31796,32052,34004,33992,33876,35108,34544,35036,37012,36612,37228,37092,38676,37708
"23","15","  Other","B036RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","16","State and local","W072RC0",27934,28216,29262,29952,30444,31219,31825,32412,32920,33443,34096,34769,35476,35958,36516,37054,37613,38266,39143,39778,40691,41406,42397,42886,43816,44688,45792,46832,47525,48223,49228,50072,50676,51672,53542,55202,57211,58720,60429,61780,63309,65073,66989,68805,70610,72431,74324,75963,78252,80227,82806,84719,86368,88526,90350,92544,95060,96333,98669,99622,101022,103992,106834,107504,109021,111683,114899,117257,120870,123516,126025,129645,132880,135500,138332,141052,142960,147695,144235,147590,150585,152557,155558,158968,161901,163344,168150,173273,180182,183668,188322,190688,193929,198298,201721,205960,209600,215983,222042,227967,234672,240280,244724,250216,254683,260049,265063,268529,273003,276559,282339,286799,291907,298533,305966,310014,315524,323271,327395,332358,340281,348136,353804,354283,369086,368737,375747,382742,384567,390279,399339,407119,412607,418002,424049,425666,427584,433188,439626,446670,456437,465531,469682,473398,478312,477949,483732,489407,498112,506536,509928,517024,523680,530547,536611,544274,549643,555414,561529,568514,576204,585419,595252,603737,612440,618924,623769,630087,637015,637747,641772,653094,660492,669364,683848,689484,698684,710860,724904,736844,749352,760832,772475,792121,811254,828055,844322,856917,876594,888751,896858,908666,927959,938135,943581,950154,944750,952582,955730,938734,927739,925586,938256,947545,949155,957878,964165,970214,982849,995133,994819,1003293,1014522,1017063,1013396,1022876,1035620,1032273,1046177,1052178,1052455,1064587,1077368,1081857,1079749
"25","17","  Sales taxes","B248RC0",10703,10881,11402,11542,11787,12119,12278,12440,12554,12792,13174,13560,13909,13944,14047,14152,14296,14672,15284,15648,16066,16291,16746,16713,17230,17760,18513,19237,19541,19740,20168,20363,20391,20673,21755,22661,23847,24577,25564,26240,27095,28095,29125,29933,30587,31336,32099,32558,33557,34495,36139,37265,38075,39369,40312,41448,42951,43332,44925,45112,45708,47845,49733,49354,49534,50842,52608,53828,55915,57189,57966,59970,61844,63116,64675,66437,67291,70772,71973,73964,75393,76253,77906,79572,81164,80847,83457,85964,89554,89552,91754,92128,92949,95514,97041,99292,101492,106199,109851,113058,116787,119871,121993,125349,127272,130561,132827,133836,136075,137802,142044,143479,145133,148616,152891,154664,157811,162274,163723,165760,168673,172850,174553,173200,183732,181184,185337,186911,184795,187859,193068,196922,200641,201560,207369,207654,210945,214724,217447,222456,225725,230942,233128,235889,240359,239551,243727,247303,252409,255711,256763,259861,262845,266783,270497,274475,277533,281522,285534,290891,292846,298854,305208,309364,314093,316600,316599,319964,322287,320146,319478,325301,325168,328600,334964,335688,339336,345596,352404,358076,363376,367660,371488,381680,391208,399744,408280,410644,424416,431008,434212,437608,444012,448740,450396,452516,449544,447348,446944,435284,425164,417712,424724,428008,431784,443384,452172,456472,460080,469224,465792,471720,480024,482076,479868,486100,497212,494244,503512,509344,511786,520540,529720,536631,537952
"26","18","    State","A1666C0",9605,9747,10224,10352,10533,10790,10911,11034,11139,11375,11736,12102,12449,12489,12597,12693,12820,13154,13697,13981,14293,14393,14729,14673,15120,15694,16501,17225,17548,17766,18160,18346,18404,18715,19827,20758,21716,22357,23228,23779,24448,25303,26193,26828,27347,27965,28565,28895,29800,30620,32081,33071,33743,34874,35664,36615,37908,38203,39621,39628,40020,41878,43290,42860,42889,44011,45532,46564,48357,49444,50021,51650,53193,54241,55589,57077,57745,60696,61646,63245,64344,64888,66171,67537,68770,68299,70413,72658,75844,75524,77144,77292,77690,79863,81016,82755,84847,88785,91858,94350,97372,99862,101761,104529,105955,108653,110347,111057,112774,114095,117564,118639,120203,122996,126771,128482,131359,135338,136257,137642,139580,143028,144132,142280,152498,149610,153390,154606,152133,154868,159744,163259,166685,167208,172541,172286,174931,178066,180120,184439,186992,191529,193043,195152,198963,197575,201191,204251,208960,211712,212130,214534,216630,219813,222763,225978,228323,231466,234498,238749,239464,244076,248901,251347,254215,255394,254611,257724,260340,258339,257718,263383,262972,265900,271568,271384,273904,279164,285076,289992,294396,297808,300516,309356,317292,324040,330556,330708,342072,346552,347968,349900,355156,358976,359984,361724,358616,356536,356564,345628,336432,329484,336580,339800,342116,352508,360316,363884,365840,373632,369088,374124,381768,383144,380228,385692,396020,392248,400760,405864,407784,415636,423127,429527,430695
"27","19","      General","L305130",3943,3997,4140,4156,4318,4425,4460,4561,4607,4698,4907,5180,5372,5421,5389,5394,5444,5584,5948,6176,6344,6437,6551,6424,6720,6937,7550,8097,8298,8383,8748,8839,8861,9038,9845,10316,11030,11514,11878,12290,12577,13135,13581,13923,14268,14709,14948,15183,15520,16132,17134,17714,18094,18669,19096,19657,20406,20590,21754,21622,22226,23941,25046,24383,24490,25238,26269,27023,28088,28926,29545,30561,31666,32596,33440,34586,35074,37410,38059,39445,40267,41163,42271,43399,44126,43399,45125,46610,48761,48713,49339,49035,49723,50711,51465,52797,54368,57412,59239,61605,64181,66299,66768,68924,70282,71861,73504,73689,74654,75349,78230,78851,79442,82000,84730,85764,87918,91769,91839,93162,94993,96788,98017,95474,104752,100964,104102,103774,102759,102715,106046,108592,110164,111120,112944,114292,115062,116714,119693,121279,123228,127043,129210,132163,133612,134012,135468,137436,141044,143486,144078,146660,148111,150157,152678,154786,156180,157644,161475,162685,164555,167786,170899,173080,176228,178252,177260,179288,181353,178595,177113,181095,179424,181164,184068,182928,183712,187436,192276,196576,200532,202004,205228,210564,215592,220704,224372,225176,232736,235460,234964,237300,239192,242040,241072,242272,239480,238336,240156,229520,222532,214292,220032,220236,222244,230188,231804,234876,235580,242492,238252,242876,248460,249156,246512,250380,258880,254888,259316,264620,265679,272029,278227,282457,282052
"28","20","      Gasoline","L305140",3111,3134,3294,3325,3308,3430,3424,3426,3428,3519,3619,3682,3778,3745,3798,3847,3895,3946,4027,4084,4170,4190,4244,4244,4295,4486,4568,4667,4696,4748,4786,4786,4823,4933,5078,5250,5387,5379,5596,5574,5729,5848,6128,6203,6287,6332,6493,6516,6658,6764,6966,7076,7306,7463,7729,8002,8328,8176,8307,8289,7950,8081,8218,8279,8294,8333,8460,8453,8946,8865,8909,9124,9196,9248,9377,9439,9462,9815,9859,9840,10046,9556,9640,9718,9720,9455,9455,9650,10140,9579,10261,10392,10100,10495,10574,10695,10974,11397,12088,11977,12316,12535,13244,13533,13363,13917,14301,14239,14383,14778,15232,15403,15864,16113,16977,17114,17386,17476,17615,17739,17761,18909,18833,18965,19913,19767,19980,20824,20681,21232,21530,22153,22628,22396,23215,23225,23315,24839,23673,24241,24775,25348,25102,25471,25837,24985,25820,26110,26072,26273,27167,26912,27401,27217,27903,28315,28027,28927,28890,28656,29224,30050,29277,29909,30387,29978,29823,31284,31655,31622,31630,31581,31896,32456,32852,32380,31924,32164,33208,33536,33808,34188,32876,34904,35344,35160,35976,34076,36040,36600,36112,36420,36500,37316,37600,38016,37768,36988,36264,36644,36576,36500,36824,35832,35988,37484,40004,39600,40424,39960,39420,39624,40448,40260,39816,39952,39556,40248,41004,40452,40484,41087,40511,41191,41449
"29","21","      Alcoholic beverages","L305150",620,618,632,634,633,645,696,694,695,689,725,747,770,737,770,787,803,839,841,841,846,870,899,933,926,935,955,972,990,1002,1009,1047,1072,1072,1070,1094,1107,1149,1206,1246,1280,1291,1323,1346,1420,1481,1525,1546,1599,1607,1617,1657,1704,1716,1769,1807,1824,1852,1874,1894,1946,1958,2023,2029,2012,2034,2066,2064,2068,2124,2147,2141,2157,2160,2196,2259,2266,2312,2373,2369,2359,2353,2458,2454,2554,2517,2492,2545,2673,2686,2708,2745,2714,2735,2699,2700,2674,2761,2870,2967,2938,2941,3019,3018,3047,3040,3132,3093,3102,3071,3056,3027,3099,3137,3192,3272,3210,3107,3017,3122,3113,3141,3142,3156,3244,3210,3377,3353,3414,3490,3553,3527,3601,3626,3618,3387,3829,3520,3546,3669,3565,3605,3532,3674,3675,3567,3594,3600,3685,3718,3749,3736,3677,3663,3724,3720,3746,3827,3808,3831,3911,4061,4000,4116,4115,4074,4291,4116,4220,4130,4047,4447,4204,4168,4312,4332,4340,4652,4476,4564,4620,4632,4652,4576,4720,4880,4836,4896,4992,4972,5072,5200,5180,5208,5308,5232,5300,5340,5372,5324,5376,5332,5392,5488,5484,5628,5708,5852,5624,5596,5776,5972,5996,6008,5904,5812,5964,6188,6040,6056,6269,6382,6493,6411,6496
