"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","2","Goods","DGDSRX0",1882213,1858507,1878849,1861519,1884926,1911031,1896634,1905419,1923953,1899654,1927703,1952725,1920293,1945855,1960224,1977926,1980991,1981067,1984895,1998382,1998926,2013872,2018546,2022341,2034057,2042057,2060311,2039775,2032707,2059254,2085536,2108310,2098265,2104050,2135506,2138482,2132141,2143678,2151791,2179357,2205084,2212113,2212802,2228953,2255470,2281132,2293117,2327483,2305274,2334910,2347182,2362654,2388233,2401817,2394456,2414806,2429579,2424419,2437765,2502573,2462890,2499989,2514273,2499596,2512809,2505759,2505548,2528234,2564636,2556464,2546327,2563429,2558044,2574387,2553833,2555139,2575966,2577276,2586246,2613334,2566778,2717336,2684323,2647769,2666487,2686378,2680541,2703775,2666091,2701809,2729555,2745976,2699878,2705377,2726690,2766351,2760978,2733873,2762267,2782629,2789203,2828306,2847067,2905293,2876915,2870149,2907635,2893889,2910073,2903151,2945098,2920602,2963433,2911255,2949018,2955713,2994410,2993063,2991527,3026081,3023549,3041515,3032820,3088576,3037399,3099310,3140949,3098515,3055819,3076456,3085458,3106643,3149877,3143078,3144124,3158066,3142074,3152281,3180219,3158760,3190229,3210079,3209054,3248500,3242482,3235426,3245265,3243519,3264493,3249297,3264434,3263268,3287911,3283202,3279142,3280695,3249863,3211363,3236603,3236691,3238613,3230162,3190890,3195843,3127411,3100891,3094890,3050970,3102976,3106250,3077894,3070289,3090051,3091667,3110513,3192635,3111558,3136615,3160101,3158618,3159871,3192968,3233336,3223701,3221807,3222311,3231927,3249206,3253787
"12","3","  Durable goods","DDURRX0",500653,492218,502574,491113,502061,517479,508393,519549,525355,514824,526204,539250,520949,535585,540903,550198,553112,544948,547808,555116,557003,561392,565832,565121,578047,576222,583927,576765,572417,583405,596128,611796,601916,605913,622116,627993,618306,625757,627509,642019,664115,660870,658878,674560,690354,707437,707904,728580,703499,720040,725683,737070,751322,764191,762586,769863,774986,769112,773840,793177,810439,832553,824550,805711,811340,806083,806851,818509,839672,831807,825241,826110,829521,852738,842993,828927,839322,855748,847131,867450,839972,957230,924264,887663,903029,919552,914862,940435,904012,921784,950252,969527,927446,919278,928668,961744,948390,923697,940303,964234,972557,985544,997560,1032696,1009356,1008654,1028073,1022524,1020759,1030376,1041975,1031795,1061892,1021127,1051884,1048343,1075908,1066992,1067211,1094045,1076331,1081995,1091553,1127953,1080376,1132448,1175852,1118023,1086169,1077623,1099115,1118476,1149493,1133624,1143715,1144466,1129070,1144554,1158106,1137985,1160219,1160181,1164297,1179284,1179512,1179079,1184875,1185536,1207487,1190388,1191312,1203204,1222470,1220032,1213153,1205546,1191109,1175345,1169485,1172084,1174775,1163132,1136216,1150779,1112491,1072741,1067838,1051162,1085076,1082011,1062674,1055683,1070998,1077996,1100598,1176453,1077854,1101089,1119016,1125233,1116541,1131036,1169238,1159085,1158180,1156247,1171797,1171964,1181792
"13","4","    Motor vehicles and parts","DMOTRX0",251001,247126,256542,242553,247913,263599,249153,261053,262523,251738,260751,273388,257116,268454,268424,274406,270927,261041,264856,269920,269727,270899,273642,266687,286089,277587,283787,273157,269913,275489,285346,301682,285103,288798,300888,305773,287885,290140,291441,302279,321952,312280,302595,316198,330486,343621,339192,354564,325288,330902,332689,345839,353043,360431,354216,355569,352697,339568,342506,348999,366695,383485,368494,345878,349753,342701,341862,349994,364883,358078,351039,350674,348930,375203,365211,344687,354323,371977,355806,371540,356430,465512,414779,367540,379992,391377,387568,407766,369947,387666,417895,432691,388139,376648,380100,408639,397074,381226,388101,407127,403270,405652,410462,434031,407959,403961,416706,407814,406203,409453,412012,404828,429353,388266,407838,402079,426997,413332,410898,424569,409575,402267,414652,436888,396957,437187,482041,414610,386031,360377,379775,395402,398506,387681,393569,396727,385403,397612,412659,392230,396143,399201,397778,402086,399468,407254,398102,403248,415258,403762,394956,402091,416264,411509,399627,394838,388592,386251,374227,369772,362203,354352,328611,353295,337436,308316,308426,306906,320774,316961,313442,303964,318617,318013,336061,393986,298029,317917,322939,327322,310759,313364,337786,327929,328544,321562,328601,324830,328181
"14","5","    Furnishings and durable household equipment","DFDHRX0",132396,130055,129952,130204,132385,133303,134160,133272,134264,133516,136525,136371,131380,134936,136812,138418,139773,139434,139181,138570,140094,141311,142466,143201,141327,143451,143632,142889,142909,144271,145911,146680,147057,147272,149027,149178,151603,152902,152742,153301,154850,156279,156949,158232,159965,161403,163896,165262,165041,169020,170789,169200,172751,174855,174583,178259,181033,181749,182881,186045,186082,188421,190012,190531,192719,192121,192731,194875,195398,196628,195989,193816,200221,197549,197432,199081,200437,201027,202629,204489,199205,204275,208646,211758,213230,215328,215888,216919,217011,216048,215683,217239,216108,217836,220559,221771,220719,214808,221567,221704,228282,231204,233765,236873,238012,238243,241298,241049,240516,241647,248004,246013,246602,247510,252671,251810,252419,252311,253244,258969,255974,258528,256501,261023,258123,263862,262220,265583,268329,272649,272801,271113,279654,278595,279608,277660,274832,276034,275491,276564,280611,277854,277475,280997,283545,280312,283250,279899,281980,278190,280623,281361,282017,281793,282649,281952,278695,274085,274348,279016,280016,278352,277532,272119,264659,262628,258910,255867,255711,255908,249135,248864,249389,249609,250840,254538,255223,256931,259845,261081,262057,267901,273640,275304,272984,272876,274976,277826,279818
"15","6","    Recreational goods and vehicles","DREQRX0",71535,70255,71974,71531,73342,75415,76086,77844,79619,79263,79278,81098,81209,81567,82824,84916,86793,87468,87665,89402,89626,90894,91724,93555,93367,94998,96567,98260,98429,100148,101930,102895,104290,104803,106908,108002,109866,112614,112936,115094,117877,119077,123045,124780,126909,129347,129972,132720,132790,138097,139141,140884,143457,145637,147776,150357,153447,155884,155901,161145,165195,167079,170764,171058,168964,170237,171545,173790,178129,177122,178302,179704,181298,180768,182018,185567,186253,187649,191322,192867,188290,195323,202076,204299,206747,208939,207849,211312,210304,211902,212346,213592,216099,215995,218562,220813,220723,219924,222583,226279,230123,235521,239292,246533,247624,249381,251441,254094,255458,259077,261456,260949,266124,265773,271563,273741,274896,278012,279717,286434,285179,294024,295532,300162,297350,301808,303309,307251,305457,313927,316812,319419,337394,331476,334754,336888,335309,337610,338019,339568,351297,352895,358153,365371,366752,362162,370827,369764,376710,376739,382878,387600,391101,394201,398044,397896,392647,388935,392221,397004,406810,405037,405320,400431,391071,383627,383827,377034,391812,391894,384584,385414,384995,391326,395549,403808,409135,410542,421060,421997,424887,431477,435741,436674,438756,445579,449012,452580,458337
"16","7","    Other durable goods","DODGRX0",70188,68956,69025,69321,71219,69610,70368,69814,70759,70147,71630,71614,70779,72504,74317,73912,75693,74897,74496,75583,75928,76330,76152,78047,76445,77563,77543,77614,75589,78308,78594,78232,80319,80231,81583,81602,82445,82953,83303,85100,84998,87237,87623,87976,86720,87742,88931,91292,92127,93006,94060,92999,94198,95748,97279,96469,97692,100071,101090,105251,101175,103647,103152,104048,106772,107005,106318,105703,107618,105901,104974,106743,103573,105803,103916,103169,102446,100153,100946,102970,99782,101590,104474,107098,106526,107833,107415,108942,109465,109507,108926,111190,110150,111474,112088,114122,112969,110053,110523,112056,113479,115511,116335,117923,117464,118509,120459,120908,119793,121331,121653,120918,121199,119830,120406,121040,122464,123774,123670,124388,125741,127109,124820,129886,127881,129503,128176,130440,126315,130837,129896,132611,134300,136179,136099,133604,134093,133767,132215,130370,133258,131487,132441,132682,131782,131025,134823,134618,135644,134319,136059,135590,136244,136123,137110,135477,135524,130768,133755,132151,132862,132640,132899,131927,126769,125797,124654,119542,125437,125933,124022,126055,125989,127603,126435,129627,128159,127464,128196,127752,132764,132948,134569,133100,132321,132663,134966,133846,133372
"17","8","  Nondurable goods","DNDGRX0",1435387,1420548,1428498,1425709,1436364,1443423,1440404,1433781,1446599,1434204,1449700,1459167,1448951,1456743,1465496,1472253,1471532,1483575,1483783,1488605,1486469,1497264,1496180,1501523,1496354,1508074,1517868,1504642,1502761,1517379,1529235,1532939,1535446,1536358,1549246,1544343,1550718,1553340,1560099,1570980,1569163,1581630,1585154,1581666,1589768,1595175,1608055,1618419,1627677,1638463,1644577,1646568,1656088,1654165,1648213,1661251,1670938,1672911,1681553,1727943,1662559,1675144,1700836,1708530,1715887,1714785,1713556,1723666,1736934,1737755,1734830,1752124,1742050,1731281,1720912,1739229,1748999,1730823,1750848,1755335,1738139,1758844,1762905,1767948,1769563,1771091,1770532,1765074,1767942,1784999,1781071,1775920,1776098,1791277,1802849,1806536,1816213,1815686,1826664,1820955,1818356,1844567,1850701,1872252,1868497,1862306,1879850,1871737,1890297,1872932,1903576,1889445,1901285,1891132,1897267,1907808,1918364,1926281,1924537,1931917,1947623,1959940,1941325,1960305,1957404,1966871,1965248,1980747,1969534,1997972,1986013,1988114,2000813,2009542,2000800,2013811,2012788,2008077,2022663,2020541,2030411,2049899,2044889,2069323,2063172,2056650,2060832,2058526,2058767,2059657,2073469,2061631,2068143,2065988,2068373,2076675,2060010,2037168,2066301,2064257,2063871,2065729,2051186,2044025,2011665,2019977,2018743,1991621,2011443,2017348,2007276,2006142,2011604,2007123,2005723,2019122,2025720,2029816,2036901,2030317,2038693,2057733,2064032,2063367,2062320,2064394,2060544,2076594,2072832
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",554628,546804,548279,544334,548759,548551,546976,547206,547657,546491,548112,554390,552492,551310,552672,554983,554291,554987,554630,553401,553097,554694,555081,556653,558263,558194,561711,558354,555237,555806,560323,558978,560009,559928,561542,557860,557591,559371,560809,561839,563223,566302,567069,566351,569384,568226,570274,576132,575736,578808,580289,583535,585206,583381,585748,588499,592967,588567,591697,614174,584861,591908,599753,600374,597926,604505,601231,600695,603231,607472,606621,608680,609332,604609,602314,609447,611423,607362,606071,606412,609377,607169,606359,611432,605104,605318,606970,602487,608344,609504,611428,609006,607042,611179,615893,616022,621988,622692,623198,620183,613710,617623,625020,627597,626848,623297,625283,621440,634993,631601,636951,634842,636690,635428,635488,637367,644499,646443,647732,648708,653438,657947,658482,657620,656598,661678,662337,670290,677182,681093,672625,670887,672757,680419,676816,682589,686370,683523,685516,688902,685405,696681,693887,702069,700712,696832,694289,692953,693722,693722,697944,694090,697105,699539,701191,707498,702083,696918,701784,698773,698689,701804,696689,692838,684169,679707,679025,666705,676001,673872,675678,678581,682348,682559,683642,686140,693611,694797,698632,695590,698059,707045,703107,698596,696468,697645,696526,707197,708159
"19","10","    Clothing and footwear","DCLORX0",199169,195352,198376,197535,199566,202077,204076,199869,205982,199847,204843,205823,201763,207066,205868,209323,209165,211385,210956,214838,214662,215865,213730,214906,213727,215445,215612,211665,211733,215634,218171,221782,220320,221773,223501,223357,224841,228874,229198,233284,230623,230485,232209,227838,229291,233813,234883,236656,240666,243561,246617,244162,246086,246903,246002,248013,248037,247406,247670,248890,247477,251841,256770,256235,259109,257121,256996,260065,263839,261621,263281,262601,262979,259212,252676,261039,260636,258249,260665,264536,253806,262023,263997,266423,267605,266995,266817,268119,264607,269061,267436,265788,263683,274811,271772,275263,274654,270363,277639,277647,282956,284780,287439,289356,289639,286045,288769,291767,293668,295841,299708,291979,295235,291386,294740,296501,299338,301996,300754,306132,305482,312167,304637,313939,311937,318094,314750,316793,313611,325525,324186,325384,329809,330855,327802,329500,325556,326432,330143,328128,336875,337389,333828,341399,341610,337904,345435,339934,344250,344416,345947,345698,345526,345255,346327,343428,341752,341860,345669,349836,350772,354264,349410,342424,332508,330307,333477,328657,330713,331674,322229,324137,327176,322339,322762,325906,326164,328981,330790,328807,330603,339628,346785,346643,343593,342658,339485,343658,346676
"20","11","    Gasoline and other energy goods","DGOERX0",261497,266636,264070,264356,266166,268095,264207,263190,262292,260874,266165,264366,266602,262872,272638,267682,267446,272118,270851,271011,265630,269432,269006,266787,264833,271371,274315,272574,271756,277482,277795,273437,274193,272138,279999,277209,278103,276808,281480,284156,282245,283356,284060,286759,286956,286291,287007,287999,287210,290540,289342,292964,295631,297853,297482,289951,288333,295915,285455,298799,284150,282361,282123,287075,291798,286019,287640,291286,289687,286537,282533,294298,290355,288352,288460,290602,286708,278867,295466,286862,289852,289209,295503,290140,287144,294070,290577,289239,295013,297903,293461,298158,295547,290945,296767,298975,295381,296635,296291,297255,298502,302352,297710,310294,306829,307823,310171,306599,308605,303218,308747,306203,310203,306211,303359,308363,305059,307710,306662,303985,315588,308764,305194,305850,309615,303754,306770,307563,293759,300879,300104,300046,298721,297246,293308,298301,297413,295975,302653,296724,300595,302146,298434,299017,298333,301912,294855,301740,294083,293294,297991,291723,298655,293165,289296,295859,288737,278462,294338,288265,283480,280279,273595,279042,271575,284678,283572,278368,283785,287668,289410,283061,288809,287550,283161,287908,284208,283805,285009,281604,284693,284564,282615,283827,289238,285207,284211,283645,275047
