"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167"
"26","18","    Beverage and tobacco product manufacturing","KP3120",11205,11098,11754,11008,11584,11357,11470,11704,11594,11892,12270,11528,11276,12027,11899,11431,11649,12021,11520,11715,11570,11549,10956,10638,10540,10747,11107,10437,10523,11086,10540,10721,10128,10649,10694,9962,10559,10045,10879,10222,11069,10642,10442,10827,10250,10590,10809,10460,10401,10585,10572,10200,11221,10595,10664,11501,10051,11026,9759,10030,9783,9113,9697,8929,9383,9146,9079,9151,8882,8864,8764,8905,9079,9048,9816,9549,9683,9867,9900,9752,9683,9740,9459,9566,9306,9078,10172,9649,9731,10219,9834,10022,10069,9948,9890,9919,9655,9601,9773,10190,10629,10668,10670,11003,10386,10495,10510,10420,10353,10029,10136,10038,10571,10435,10090,10618,9935,10323,10366,9882,10006,9921,10355,10301,10649,10578,10491,10801,10148,10623,10117,9824,9752,9308,9749,9866,9886,9812,9894,9735,9672,9585,9239,9428,9163,9099,8576,8981,8751,9002,8728,8838,8799,8799,8589,8781,8574,8375,9029,9178,9016,9340,9009,9259
"27","19","    Textile mills","KP3130",4967,4946,4999,4843,4744,4718,4751,4615,4776,4743,4706,4764,5075,4898,4984,4682,4680,4676,4709,4645,4539,4572,4610,4521,4857,4605,4535,4668,4628,4599,4513,4530,4556,4539,4611,4635,4529,4505,4559,4502,4433,4502,4420,4393,4376,4306,4203,4214,4178,4226,4064,3891,3976,3926,3667,3908,3794,3765,3675,3843,3671,3926,3946,3991,4056,3996,4073,4076,4005,3983,4045,3862,3914,3920,3902,3758,3611,3720,3650,3647,3683,3757,3588,3589,3579,3489,3496,3560,3496,3338,3505,3506,3543,3479,3551,3734,3703,3748,3636,3653,3672,3643,3514,3414,3347,3326,3373,3371,3315,3302,3259,3200,3114,3092,3093,3080,3044,3038,2997,2914,3069,3044,2954,2940,2993,2884,2882,2815,2801,2761,2739,2699,2662,2573,2604,2581,2510,2530,2561,2451,2385,2251,2144,1973,1920,1905,1875,1922,1928,1919,1930,1964,1995,1988,2051,2033,2085,2094,2120,2107,2124,2117,2124,2126
"28","20","    Textile product mills","KP3140",2709,2785,2804,2785,2758,2776,2833,2830,2851,2875,2876,2933,2915,2890,2709,2831,2750,2770,2802,2741,2819,2814,2817,2871,2917,2893,2841,2943,2937,2925,2986,2980,2997,3056,3063,2970,3098,3097,3132,3096,3066,3040,2998,3025,2935,2896,2871,2758,2863,2931,2794,2708,2824,2893,2852,2887,2853,2759,2774,2784,2687,2919,2884,2915,2960,2906,2792,2789,2800,2767,2762,2798,2649,2675,2697,2721,2643,2633,2715,2688,2770,2811,2773,3144,3025,2924,2979,2902,2856,2836,2884,2891,2869,2903,2886,2895,2983,2974,2917,2903,2859,2863,2875,2924,3053,2934,2932,2835,2848,2857,2821,2751,2782,2713,2713,2605,2607,2551,2529,2569,2521,2465,2419,2390,2383,2393,2319,2338,2282,2314,2298,2265,2250,2213,2243,2244,2265,2267,2175,2122,2027,1974,1863,1804,1775,1774,1706,1716,1677,1628,1661,1648,1671,1660,1686,1735,1746,1739,1748,1751,1730,1694,1666,1653
"29","21","    Apparel manufacturing","KP3150",5415,5713,5544,5667,5684,5623,5800,5697,5907,5820,5933,5666,5583,5638,5471,5531,5388,5525,5424,5455,5361,5197,5190,5319,5350,5374,5245,5289,5239,5170,5215,5071,5085,5036,5051,5044,5157,5006,5247,5055,5008,4895,4875,5076,4875,4925,4786,4874,4851,4985,4954,4739,4646,4491,4351,4634,4366,4205,3938,4041,3896,3933,3594,3565,3503,3525,3421,3407,3303,3165,3329,3297,3290,3285,3201,3205,3220,3368,3355,3275,3232,3163,3101,2965,2903,2794,2879,2795,2763,2684,2714,2645,2654,2655,2632,2658,2687,2639,2606,2562,2563,2790,2602,2545,2543,2576,2688,2645,2476,2474,2700,2621,2683,2634,2539,2437,2460,2490,2412,2455,2403,2368,2269,2276,2140,2009,1975,2119,1994,1982,1997,1892,1951,1788,1797,1767,1753,1710,1700,1665,1653,1552,1542,1492,1446,1441,1334,1336,1301,1302,1292,1246,1216,1369,1349,1362,1326,1318,1335,1333,1347,1328,1320,1322
"30","22","    Leather and allied product manufacturing","KP3160",973,1011,1019,994,973,990,974,955,950,928,934,1001,994,981,951,939,913,920,870,891,885,824,880,990,859,848,848,839,870,847,886,863,886,888,869,963,842,784,850,888,866,860,884,854,818,850,835,955,873,854,894,821,846,790,687,678,683,697,664,694,577,571,515,521,506,501,478,476,495,480,508,492,495,497,487,493,491,480,503,498,471,489,499,488,468,459,468,482,487,508,504,508,499,498,513,431,564,524,509,536,581,529,498,517,495,468,501,487,485,506,518,494,489,499,504,488,494,519,461,484,508,516,518,489,486,467,462,458,461,439,411,407,366,350,334,551,512,457,465,470,485,441,420,415,420,400,409,413,401,420,414,393,404,398,401,394,392,403,393,397,396,390,385,379
"31","23","    Paper manufacturing","KP3220",14084,14585,14561,14594,14436,14525,14275,14545,14588,14644,14877,14833,14697,14659,14607,14725,14751,14678,14609,14773,14511,14554,14420,14977,14904,15410,14422,14523,14453,14502,14471,15205,15010,14742,15245,15196,15086,14982,14915,14939,14319,14373,14517,14064,14482,14062,14405,14414,13912,14360,13804,13446,13492,13035,13821,14046,13716,13934,13727,13237,13601,13283,13525,13669,13908,13642,14050,14071,14245,14123,13845,13931,13864,13923,13994,13647,13479,13574,13476,13186,13239,13328,13229,13178,13790,13422,13655,13560,13401,13848,13621,13614,13375,13217,13332,13316,13647,13727,13761,13620,13583,13755,13356,13241,13020,13412,13513,13542,13894,13635,13659,13634,13748,13530,13312,13373,13140,13118,13023,13871,13085,13090,13131,13268,13352,13288,13404,13281,13330,13260,13261,13272,13381,13032,13037,13061,12820,12754,12845,12695,12516,12170,11776,11344,10947,11906,11212,11228,11280,11378,11493,11458,11499,11580,11569,11788,11789,11799,11945,11778,11612,11499,11642,11610
"32","24","    Printing and related support activities","KP3230",8948,9115,8894,8960,9063,9087,8998,8930,9202,9142,9090,9075,9094,9091,9143,9160,9024,9005,9141,9154,9187,9230,9367,8862,9256,9243,9195,9133,8971,9153,9166,9145,9170,9082,9239,9285,9182,9105,9100,9170,9424,9434,9350,9169,9126,8992,8983,9117,9086,9154,9096,8791,8923,8735,8720,8719,8456,8531,8392,8350,8348,8239,8317,8249,8185,8190,8219,8401,8307,8462,8325,8300,8168,8243,8162,8244,8087,7898,7784,7879,7879,7753,7924,7955,7835,7756,7917,7838,7857,8198,8090,7828,8011,7972,7943,8122,8170,8181,8160,8098,8042,8098,7981,8062,8210,8112,7928,7949,8063,8103,8042,8144,8301,8239,8161,8090,8022,7954,8099,8117,8076,8121,8175,8120,8125,8122,8118,8192,8063,8232,8368,8017,8116,7768,7901,8074,7760,7697,7583,7403,7362,7260,7025,6973,6909,6821,6737,6679,6603,6534,6619,6523,6489,6411,6443,6470,6411,6433,6631,6767,6792,6687,6625,6638
"33","25","    Petroleum and coal product manufacturing","KP3240",33164,33642,32030,33959,35104,35334,36441,36662,36083,35620,35238,33215,33298,34404,34582,35083,35306,34904,34386,35129,36365,34596,33897,35266,33663,36195,35329,33455,34362,35957,35331,34791,35505,36462,37076,34832,35565,34610,33538,34959,35288,34792,34449,34829,34134,35173,35186,33586,34096,33569,33523,34362,34807,32053,34721,35162,33519,36753,37303,40107,41344,37895,38341,35468,37408,36686,36011,35581,35366,34059,34152,35535,33965,29599,30051,32179,36453,34892,34777,34987,34005,35548,35022,34470,33882,34176,36943,36945,37316,37083,37183,37331,36167,36537,35960,38476,38685,37103,41334,40415,41931,41579,42238,41521,38126,34641,38328,38863,40347,37605,40738,39400,40323,39031,42125,38489,36603,36517,36166,37187,40625,41155,39206,36399,34924,34941,34058,34628,37071,39383,40683,42377,42609,41266,38723,40129,37314,36705,34963,35560,30848,34787,35740,38339,40141,41116,40777,36800,35458,34988,34521,33331,36006,38707,38637,40453,38431,39939,39902,37504,33654,33797,33929,33610
"34","26","    Chemical manufacturing","KP3250",42438,43642,43230,43226,43359,43432,43234,43480,43480,43834,44162,43497,43876,44290,43172,43039,43082,43086,42450,42447,42795,41824,42322,43127,41907,43217,42736,43116,42482,43254,43046,43198,43532,43634,43615,43772,43967,43879,44073,45290,44200,45135,44900,44700,44999,44124,44027,45529,44055,44883,43373,42758,43174,41282,42413,42887,41570,42296,43227,43727,43699,43985,43988,44644,45850,48247,44240,44652,47748,46316,45983,46801,46260,46619,46953,44410,44360,45138,47600,45789,47089,47448,46740,46915,46960,46469,48424,47555,48374,49016,49215,49284,48551,50133,50797,49808,50437,49908,50780,50704,50488,50453,51046,52305,51084,50646,52324,51294,52879,51387,52138,52622,53045,52639,53255,53628,51384,50815,50877,50864,51223,52193,52799,53756,54029,53589,53830,53835,53719,54485,53555,53871,53386,52279,51501,51698,51499,51911,50589,49170,46596,47193,43016,41849,42358,43023,42425,42938,43321,44077,43864,44268,44599,44602,44938,44897,45137,45527,46026,45935,45039,44885,44933,45192
"35","27","    Plastics and rubber product manufacturing","KP3260",14610,14833,15086,14988,14864,15163,15225,15254,15461,15456,15902,15868,15587,15656,15531,15639,15643,15459,15650,15867,15882,15937,16031,16082,16166,16640,16268,16211,16342,16360,16246,16479,16478,16659,16922,16912,17023,16394,16841,17406,16974,17183,16730,16544,16645,16407,16150,16093,15771,15968,15669,15378,15389,15149,16557,16373,16038,16005,15910,16087,16020,16133,16249,16520,16754,16095,16338,16244,16031,16264,16161,16127,16291,16181,16472,15863,16049,16106,16464,16114,16393,16473,15873,16339,16240,15501,16757,16530,16217,16507,16428,16481,16444,16287,16383,16703,16677,16564,16767,16467,16552,16424,16362,16600,17169,16983,17099,16963,16949,16984,16779,16575,16993,17167,16724,16949,16804,16346,16350,16650,16535,16390,16736,16909,16765,16458,16438,16316,16137,16501,16479,15950,16044,15818,15697,15716,15632,15611,15353,14703,14669,14093,13474,13414,12541,13023,12690,12723,12592,12645,13014,12926,12870,12957,13169,13298,13233,13356,13616,13541,13273,13061,13120,13054
"36","28","Merchant wholesale industries","KP42W0",202373,208115,206625,206633,208879,209965,211117,210108,213977,212930,213844,213379,217942,218762,221344,222494,223099,223297,224528,226118,228035,228604,229449,232616,231138,235728,237864,237013,242227,244022,244584,244670,245624,249247,250853,250872,252586,249667,251398,254382,254279,257046,256336,258377,258600,258773,256938,260150,259472,259176,256338,255247,256720,252416,256311,256994,255943,254954,256780,256751,258491,260197,257695,262972,264422,265780,265221,266997,265151,262456,267754,265009,267441,263842,265582,265022,264906,268056,270738,268898,269738,272622,273764,274540,272886,278059,285631,283893,283651,284740,284906,286991,286187,285990,289454,294302,296001,294881,291292,295859,295849,295986,297224,298892,300149,303671,304221,306535,307869,310410,310728,308643,310455,310575,312434,312660,312785,312638,312572,316894,314747,315603,318582,321471,323180,322033,318459,320202,320950,319772,320516,316422,319888,315459,317251,320913,319784,320439,313618,310826,304037,304433,297816,298401,287855,292026,288057,287646,287238,284801,291947,287159,289450,287964,295839,294774,292639,298112,303637,306219,308831,312719,314597,312299
"37","29","  Durable goods merchant wholesale industries","KP42WD0",89120,92460,91101,92436,92855,93711,94921,94013,96754,96356,97093,96679,98936,99665,100964,101824,101561,102261,102860,103359,103388,104003,104181,105374,106752,109579,110231,110561,112803,113780,114847,115175,116046,118148,118723,120381,121209,119995,120483,121674,121847,122095,121810,123222,123204,123564,122699,121936,122635,122989,122231,120759,121314,118788,120088,120979,119043,117848,119255,118860,119946,121461,120187,122122,123106,123947,123676,125075,124075,122221,123459,121606,123066,121206,123802,123375,123344,125167,126356,125290,127119,128111,129907,130159,129450,132932,137727,138772,138884,139334,139932,139932,138477,139833,141995,145105,144433,144448,143573,145453,145629,145979,146839,148168,149020,152777,152490,155954,156511,157603,156603,154965,157489,156770,158014,158853,158686,159989,160860,163509,162546,160962,162955,164211,162732,162784,161436,163379,163664,164331,166511,161437,165049,160120,163204,166138,164213,164393,161713,157983,156815,151976,145821,141603,132398,135781,130730,129941,129796,132251,133964,134790,135676,136909,139747,142463,140839,141483,144714,147033,147818,148796,150309,150876
"38","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",13920,14162,14146,13844,14428,14491,14310,13500,14543,14593,14455,13363,14621,14494,15073,15144,15215,15080,15290,15498,15676,15388,15565,15701,15715,17281,16633,16969,17243,17490,17900,17556,17970,18420,18111,18339,18186,18172,17920,18381,17921,18222,18010,18338,18274,18435,18424,18402,18677,18733,19015,19076,19618,19373,19467,19678,18837,19883,19966,19551,20016,20383,20390,20756,20823,20952,21268,22483,21593,20865,21893,21521,21637,20462,21156,21377,21416,21713,21785,21623,21872,21687,22575,23113,21584,22870,23268,24032,23424,23734,23400,23346,23593,23641,22975,23451,23111,23872,23920,23568,23735,24101,24697,25528,24730,25567,25407,26117,26525,27173,26330,26200,27102,26764,27573,27530,26923,28407,28222,29954,28553,28417,28488,29200,27518,27695,27783,28336,29318,28807,28256,26995,28045,26818,27819,27352,27400,26022,25590,24184,24575,23177,20747,18847,18067,18482,18382,17448,17975,19729,20087,20936,20578,21658,21488,21471,21638,22082,21653,22031,22007,22764,22809,22633
"39","31","    Furniture and home furnishings wholesalers","KP42120",3665,3848,3594,3676,3556,3553,3602,3556,3911,3869,3781,3875,3970,3802,3913,3872,3860,3961,3911,3966,3973,3903,4083,4032,4053,4141,4103,4145,4213,4203,4420,4353,4320,4475,4418,4516,4573,4664,4625,4731,4801,4791,4741,4789,4888,4848,4797,4767,4773,4778,4801,4698,4613,4640,4619,4676,4603,4696,4713,4639,4753,4694,4794,4800,4790,4999,4771,4758,4739,4667,4794,4545,4728,4814,4790,4706,4797,4840,4896,4892,4889,4841,4846,4885,4915,4918,5011,5037,5115,4951,5017,5201,5162,4976,4970,5034,4989,4984,4934,5054,5008,5147,5081,5149,5089,5235,5090,5258,5288,5331,5310,5294,5324,5325,5350,5336,5394,5337,5455,5449,5385,5328,5437,5326,5492,5318,5233,5055,5037,5148,5002,4924,5105,4882,4824,5041,4797,4782,4752,4733,4716,4271,4204,4083,3903,3975,3867,3872,3834,3829,3918,3932,3959,3854,3800,3998,4104,4166,4233,4181,4291,4419,4130,4329
"40","32","    Lumber and other construction materials wholesalers","KP42130",6913,7283,7192,7338,7047,7248,7246,7309,7297,7198,7084,7326,7413,7374,7305,7421,7494,7664,7824,7862,7833,7966,7994,8027,7811,7978,8083,8142,8261,8337,8270,8122,8295,8422,8638,8413,8457,8241,8329,8171,8263,8251,8088,8121,8182,8131,8117,8305,8284,8332,8376,8453,8516,8268,8480,8525,8359,8575,8686,8923,8989,9354,9166,9320,8993,9004,8733,8854,8966,8962,8829,8801,9398,9034,9385,9278,9281,9707,10045,10007,10409,10566,10575,9976,10161,10282,11105,11158,11157,10881,10948,11097,10762,10639,10874,11325,11787,11641,11353,11401,11436,11361,11619,11708,11958,12278,12453,12620,13599,12680,12443,12076,11843,11830,11771,11763,11346,11288,11261,11615,11392,10889,11491,11161,11260,11137,10623,10541,10334,10295,10297,9948,9983,9908,9906,10249,10073,9946,9768,9064,9021,8942,8111,7473,7309,7609,7349,7310,7205,7340,7224,7312,7113,6989,7064,6724,6712,6620,7613,8177,7401,7304,7248,7222
"41","33","    Professional and commercial equipment wholesalers","KP42140",7769,8253,8126,8378,8581,8832,8785,8930,9307,9415,9806,9917,10182,10571,10732,11072,11020,11383,11565,12002,11992,12346,12184,12632,13128,13475,13843,14008,14461,14732,14980,15261,15209,15832,15900,16040,15873,15830,16086,16133,16009,15758,15865,16396,16398,16641,16237,15692,16740,17027,17003,17319,17556,17234,17503,17417,17285,17018,17365,17741,18004,18206,18215,18162,18871,19572,19363,19830,20169,19934,20106,19671,19779,20051,20400,20546,20132,20194,20549,20155,20282,20541,21165,21319,21939,22224,22310,22258,22417,23129,23822,22883,22775,23280,23909,24466,24234,24368,24474,24807,25512,25315,25709,26328,27066,26830,26815,27792,27467,27876,29006,28333,28408,28507,28730,29148,29519,30259,30294,30563,31041,31212,31393,31581,32081,32951,32765,33183,32911,33592,34399,33581,33965,34050,34509,34682,34429,35017,34748,34907,35411,34102,33668,32923,31570,32495,32866,33301,32956,33227,33914,33664,34084,35052,35782,36794,36874,36416,36876,37652,37936,37984,38040,38140
"42","34","      Computers and software wholesalers","KP42430",2327,2471,2454,2599,2695,2807,2832,2969,3120,3131,3369,3389,3503,3720,3880,4129,4139,4345,4383,4510,4463,4590,4629,4758,5162,5429,5627,5693,5992,5918,6328,6529,6455,6895,6807,6960,6937,6874,7130,7173,7064,6710,6890,7268,7125,7343,7301,6762,7514,7528,7528,7487,7728,7554,7592,7680,7906,7654,7754,7987,8031,8122,8081,8019,8553,9014,9099,9483,9471,9424,9144,9103,9108,9363,9447,9832,9330,9317,9639,9309,9393,9854,9998,10144,10650,10756,10892,11053,10916,11428,12001,11134,11087,11417,12102,12506,12709,12786,12720,13102,13678,13220,13623,14102,14518,14180,14089,14377,14450,14873,15120,15254,14979,15263,15549,15862,16113,16750,17052,17082,17351,17325,17698,17714,18502,19629,19278,19460,19186,20050,21063,20214,20353,20698,21091,21308,21411,22002,21467,21928,22835,21260,21069,20912,19436,20703,21496,21588,21446,22391,23044,22768,23644,24826,25814,26628,26813,26461,26696,27829,28534,28574,28452,28601
"43","35","      Other professional and commercial equipment wholesalers","KP424X0",8176,8705,8484,8434,8496,8608,8397,8150,8393,8606,8529,8704,8843,8871,8632,8460,8322,8361,8605,9056,9179,9455,9030,9476,9222,9099,9209,9321,9322,9970,9348,9319,9411,9371,9695,9567,9364,9449,9280,9261,9315,9709,9480,9478,9790,9703,9182,9483,9507,9887,9852,10369,10255,10123,10416,10144,9586,9659,9947,10058,10321,10433,10505,10532,10603,10778,10394,10403,10836,10619,11227,10764,10889,10863,11159,10820,11005,11094,11083,11059,11096,10806,11329,11319,11383,11567,11498,11246,11586,11758,11844,11835,11773,11932,11833,11975,11522,11584,11768,11709,11832,12099,12088,12231,12554,12650,12720,13390,13003,13004,13845,13096,13401,13247,13205,13323,13450,13594,13379,13594,13807,13979,13846,13993,13828,13736,13843,14070,14039,13992,13952,13867,14093,13929,14041,14036,13761,13847,13978,13805,13625,13587,13362,12869,12719,12658,12463,12742,12559,12207,12344,12312,12117,12164,12144,12435,12396,12252,12463,12404,12220,12233,12341,12333
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",9952,10203,9816,10312,10121,10417,10308,10309,10489,10497,10522,10569,10262,10256,10564,10304,10274,10282,10351,10461,10562,10455,10496,10517,11078,10912,10949,10635,10629,10533,10545,10290,10369,10781,11003,11291,11728,11265,11373,11134,11067,11051,11010,11032,10997,10950,11286,11400,10708,10869,10513,10643,10860,10717,10559,10812,10627,10304,10290,10039,10066,10001,9899,10241,10181,10511,10311,10036,9919,9997,9496,9270,9282,9023,9291,9202,9386,9384,9627,9466,9602,9540,9770,10023,10045,10276,11331,11136,10709,11095,10900,11191,10998,10784,10908,11291,11198,11119,10950,11153,11233,11378,11118,11329,11219,11905,11674,12255,11569,11677,11646,11379,11400,11608,11315,11229,11439,11428,11871,11666,11806,11584,11433,11288,11163,10917,10797,10794,10310,10779,10845,10713,10645,10041,10192,9638,9523,9353,9298,9412,9507,10179,10254,10245,8656,8510,8047,7823,7165,7423,7167,6931,6838,6735,7008,7010,6976,7067,7249,7283,7635,7887,7917,7922
"45","37","    Electrical goods wholesalers","KP42160",13871,14094,14191,14249,14514,14501,14869,14922,14841,14526,14628,14877,14794,14975,15177,15242,15406,15234,15372,15276,15309,15710,15456,15466,15579,16068,16245,16433,16677,16962,17315,17516,17764,18132,18658,19360,19759,19437,19492,19811,20110,20734,20587,20993,20963,20574,20445,20791,20446,19777,19642,18777,18305,17254,17849,17696,17658,17712,18464,17696,17841,17996,17723,18109,18444,17865,18014,17866,17861,17610,17932,17879,17796,18035,18338,18063,17839,18482,18636,18358,18876,19439,19399,19142,19368,20169,20260,21022,22024,21370,21280,21514,21060,21010,21289,21649,22021,21226,21754,22473,22131,22079,22088,22212,22111,22832,22511,22660,23059,23524,23293,23028,23929,23672,24184,24818,24953,24736,25602,26048,26023,25772,25840,25479,25423,25913,25772,25956,26614,26797,28008,26624,27164,25624,26258,27492,27565,27740,27842,26671,26245,25386,24149,24303,23587,24181,21980,23656,23693,22964,23688,24357,23673,25095,26921,26309,26181,26705,27419,28305,28543,28952,29325,29607
"46","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",5776,5813,5832,6044,5855,5870,6042,5938,6015,6081,6044,6067,6221,6180,6040,6081,6197,6259,6296,6186,6167,6128,6314,6361,6384,6355,6435,6408,6454,6420,6471,6498,6411,6412,6448,6490,6583,6605,6693,6691,6800,6779,6660,6642,6693,6735,6579,6667,6511,6529,6406,6049,6358,6060,6209,6261,6237,6389,6451,6457,6485,6653,6544,6572,6399,6337,6352,6514,6312,6263,6251,6162,6397,6231,6419,6319,6418,6378,6430,6408,6504,6492,6539,6457,6496,6425,6877,6819,6788,6810,6754,6723,6732,6739,6807,6869,6932,6869,6813,6748,6752,6795,6791,6808,6843,7252,7374,7377,7156,7416,7420,7501,7744,7360,7279,7269,7063,7051,6926,7167,6981,7035,6909,7316,6958,7119,7033,7174,7109,7094,7074,6889,6956,6565,6850,6831,6739,6694,6703,6242,6188,6032,5772,5781,5532,5564,5438,5175,5266,5231,5384,5284,5297,5248,5284,5274,5484,5340,5549,5696,5730,5725,5810,5806
"47","39","    Machinery, equipment, and supplies wholesalers","KP42180",19960,21191,20577,20820,20958,21183,21771,21225,21638,21901,21736,21925,22947,23095,22888,23285,23255,23160,22666,22778,22951,22414,22704,22847,22589,22624,23172,22777,23205,23334,23308,23397,23149,23216,23235,23231,23811,23439,23310,23773,23527,24031,24045,23959,23814,23997,24093,23171,23433,24007,23744,23089,22993,22495,22567,22991,22832,21058,21563,21235,20713,20736,20547,21180,21384,21179,20919,20393,20774,20519,20163,20224,20576,19936,20278,20399,20777,20948,21069,21231,21096,20873,20611,21102,20797,21517,22940,22433,22254,22355,22773,22874,22157,23218,23345,24418,23525,23553,22948,24119,23974,24148,24216,23788,24054,24752,24817,25249,25091,25469,25165,25458,25249,25294,25258,25656,25395,24940,25288,25142,25388,24618,25388,24971,25404,25308,25455,25526,26175,26167,26168,26330,26382,26352,26270,26783,26892,27788,26290,26585,26022,26779,25533,24648,21669,21813,21550,21322,20713,20826,20840,20886,21311,20207,20594,22465,20958,21457,21982,21669,22259,22895,23770,24112
"48","40","    Miscellaneous durable goods wholesalers","KP42190",13892,14248,14024,14226,13864,13567,14211,14193,14598,14006,14371,13935,13688,13711,14057,13892,13290,13471,13688,13070,12664,13121,13041,13212,13728,13852,13713,13738,14249,14174,13878,14208,14672,14383,14265,14685,14508,14434,14691,14845,15428,14603,14864,14750,14796,14992,14695,14914,14580,14486,14101,13902,13747,14077,14019,14293,13904,13274,12632,13430,13872,14214,13565,13794,13790,14095,14470,14677,13948,13683,14064,13596,13609,13601,13758,13431,13395,13611,13421,13284,13748,14233,14480,14209,14154,14252,14860,15033,15065,15054,15042,15192,15307,15607,16935,16640,16669,16844,16441,16141,15849,15655,15505,15303,15945,16112,16326,16610,16727,16478,16095,15801,16571,16474,16686,16309,16800,16839,16207,16279,16328,16497,16960,18167,17788,17062,16651,17460,16699,16526,17324,16280,17529,16833,17497,18948,17934,18228,17997,17394,16598,14193,14393,14280,13532,14749,13121,12168,13141,13838,14043,13839,15073,14811,14740,15298,14967,14624,15063,15196,15115,14088,14377,14237
"49","41","  Nondurable goods merchant wholesale industries","KP42WN0",115910,118072,118215,116355,118455,118549,118217,118302,119057,118369,118426,118450,120716,120666,121912,122067,123159,122400,123020,124211,126462,126268,127018,129110,125424,126926,128551,127098,130154,130930,130155,129823,129781,131181,132280,130182,131101,129371,130709,132565,132245,135021,134588,135123,135399,135174,134204,138614,137030,136289,134102,134655,135598,133906,136602,136291,137435,137782,138102,138547,139154,139210,137998,141445,141857,142339,142047,142340,141511,140755,144978,144144,145055,143313,142312,142180,142083,143369,144873,144116,142985,144913,144151,144684,143733,145361,148064,145155,144788,145433,144961,147116,147836,146188,147461,149155,151600,150435,147693,150392,150202,149984,150361,150698,151101,150936,151741,150656,151430,152869,154153,153680,153025,153828,154454,153882,154168,152780,151891,153597,152397,154714,155734,157363,160356,159219,157034,156943,157414,155755,154623,155099,155334,155328,154484,155422,155930,156360,152403,152797,147645,151785,150861,155185,153569,154385,155233,155527,155232,150694,155892,150589,151927,149425,154262,150936,150390,154869,157228,157635,159378,162157,162586,159954
"50","42","    Paper and paper products wholesalers","KP42210",6398,6742,6610,6830,6406,6390,6471,6547,6519,6462,6506,6255,6306,6361,6556,6570,6569,6593,6557,6600,6771,6777,6822,7005,6997,7077,6750,7011,7097,7171,7112,7080,7067,7134,7058,6751,7010,6946,6914,6734,6670,6574,6683,6720,6736,6735,6723,6802,6783,6808,6726,6772,6820,6755,6694,6773,6582,6563,6678,6590,6542,6596,6553,6647,6660,6791,6809,6680,6648,6564,6659,6635,6674,6619,6749,6589,6523,6631,6666,6480,6758,6825,6741,6890,6804,7049,7199,7183,7178,7131,7046,6964,7083,7064,7206,7161,7238,7226,6975,7095,7120,7072,7189,7487,7669,7516,7448,7582,7475,7346,7377,7271,7265,7110,7007,6940,6815,6902,6921,6881,6977,7104,7105,7077,7094,7107,7068,7039,7064,6963,7000,7016,6917,6805,6675,7043,6807,6638,6815,6598,6221,6209,6005,5912,5789,5840,5860,5968,6039,6025,5957,6123,6158,6172,6125,6110,6177,6080,5968,5917,5660,5589,5637,5626
"51","43","    Drugs and druggists' sundries wholesalers","KP42220",10333,10503,10791,10835,10985,11129,11350,11400,11385,11345,11464,11514,12147,12319,12138,11671,11758,11689,12035,12062,12302,12511,12628,13041,13305,13472,13671,14167,14298,14331,14433,14643,14498,14536,15023,15472,14956,15193,15788,15871,16191,16510,16629,16801,16727,17160,17299,17603,18358,18080,17866,18103,18584,19011,19277,19655,20515,21301,20876,21195,21704,21866,22171,22278,22117,22703,21960,22080,22538,22378,23297,22999,23095,23381,23625,23948,24308,24378,24956,25117,24570,25001,24849,24984,24517,24555,25269,25125,25384,25237,25915,25770,26197,26442,26659,25906,28184,27116,26490,27515,27219,27714,27129,26743,28251,27791,27994,27804,27712,28283,28198,28285,28475,28435,28106,28188,27946,27885,27924,28166,28089,27833,27945,27953,27961,27728,27869,27999,26989,27889,28072,28344,28293,28219,28184,28084,27954,28193,28373,28336,27986,27969,26803,27204,27924,28152,27662,27936,28128,27068,27779,27631,28674,28219,27935,26994,27020,26548,27525,26874,27112,27209,27447,27678
