"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"11","4","    Computers, software, and communication","W175RG3",688.065,674.897,654.507,628.035,591.381,577.324,550.696,504.146,485.638,479.988,483.773,485.15,465.234,449.833,451.341,453.007,473.345,468.44,448.121,413.084,400.199,389.484,392.868,392.016,372.941,348.817,329.81,310.563,294.143,286.022,275.266,263.705,255.594,235.31,222.826,210.605,196.889,177.825,161.749,143.633,131.908,127.685,120.282,113.682,108.112,103.52,100,97.63,94.515,90.307,85.991
"12","5","      Computers and peripheral equipment","B935RG3",496994.018,390218.261,288279.839,204491.235,134308.468,112350.991,92836.263,65071.71,52870.884,45117.102,40850.203,36693.407,27938.532,22535.253,21365.718,17444.393,16136.926,13477.47,11728.537,7933.086,6573.387,5130.361,4508.726,4034.679,3363.776,2721.382,2313.526,1992.948,1697.542,1576.791,1472.397,1335.949,1200.159,1024.233,870.349,765.419,640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.581,70.639,64.734
"13","6","      Software \1\","B985RG3",157.855,149.653,146.999,141.353,135.995,137.107,133.618,129.357,127.722,127.897,129.05,131.191,128.067,125.794,128.221,133.221,138.818,139.13,140.482,137.376,141.433,144.926,150.144,154.135,152.592,149.999,147.368,142,141.008,139.435,132.55,127.943,127.403,116.787,116.037,112.209,111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.724,101.916,100.364
"14","7","      Communication equipment","B275RG3",70.05,69.558,69.134,68.537,69.007,70.001,69.695,70.428,72.731,76.327,80.497,84.227,88.456,92.622,94.873,102.813,113.053,119.093,115.745,120.643,122.997,131.363,141.973,149.994,154.115,158.948,161.99,162.608,163.803,163.803,163.887,163.819,164.378,163.114,161.356,158.745,153.908,151.088,149.94,141.321,132.065,127.316,120.358,113.672,107.977,102.034,100,98.944,93.197,83.146,74.27
"15","8","    Medical equipment and instruments","W176RG3",28.486,28.827,28.905,28.994,28.932,28.77,28.903,29.719,30.38,31.164,32.083,33.576,34.559,34.853,35.752,38.517,44.51,47.38,50.065,54.026,58.729,64.709,70.775,74.739,77.098,79.016,79.399,82.783,86.351,88.13,90.02,92.518,94.565,96.988,98.703,99.51,100.718,101.132,99.794,98.942,98.257,97.598,98.026,98.683,99.991,99.962,100,99.933,99.931,100.52,100.626
"16","9","      Electro-medical equipment","W878RG3",31.717,32.067,31.717,31.184,30.65,30.563,31.096,31.979,30.921,31.892,33.396,36.055,37.296,36.588,36.947,39.334,46.242,49.793,51.83,57.327,65.232,73.413,82.828,87.542,90.394,92.168,93.42,97.633,101.201,103.248,103.846,105.551,107.653,110.044,111.134,110.779,111.584,110.483,107.993,106.85,105.063,103.112,102.41,102.446,102.452,100.831,100,99.73,98.831,98.578,97.852
"17","10","      Medical instruments","W879RG3",26.687,27.014,27.198,27.457,27.543,27.361,27.373,28.143,29.293,30.006,30.764,31.94,32.831,33.401,34.46,37.294,42.755,45.265,48.196,51.275,54.307,59.191,63.791,67.337,69.422,71.394,71.287,74.199,77.716,79.333,81.792,84.627,86.608,88.993,90.934,92.219,93.576,94.699,93.995,93.327,93.311,93.435,94.562,95.642,97.918,99.175,100,100.114,100.921,102.309,103.191
"18","11","    Nonmedical instruments","W177RG3",22.448,23.123,23.475,23.794,24.033,23.864,23.91,24.953,26.239,27.142,28.036,29.04,30.396,31.04,31.551,33.576,38.333,41.047,43.899,46.357,49.068,52.858,57.461,61.213,64.513,65.01,66.902,69.357,71.598,74.203,76.608,79.571,81.84,84.132,85.877,87.297,88.82,90.249,91.788,92.445,93.081,94.066,94.896,96.105,97.433,98.417,100,101.671,104.092,106.389,108.711
"19","12","    Photocopy and related equipment","B285RG3",85.907,86.531,88.461,90.21,89.916,89.586,90.721,90.551,92.791,89.797,88.093,88.456,88.455,87.368,87.747,89.755,93.376,97.099,98.34,102.119,106.639,120.282,125.059,126.093,128.558,130.183,133.062,140.153,145.831,150.966,155.956,159.293,162.443,167.887,162.177,159.519,162.236,150.643,138.895,123.406,119.747,114.884,111.381,103.526,102.184,100.899,100,98.719,98.7,96.874,98.402
"20","13","    Office and accounting equipment","B936RG3",68.573,68.577,68.749,68.34,68.895,69.241,69.513,69.926,71.458,71.533,72.344,73.952,74.887,74.848,76.401,79.065,83.733,82.965,86.529,84.913,82.333,83.264,84.795,86.704,87.452,87.618,86.602,91.647,96.335,98.468,99.57,98.737,98.951,100.09,101.749,103.44,104.515,103.179,102.39,102.15,101.955,101.514,100.01,99.669,99.702,100.468,100,99.574,99.907,101.87,103.263
"21","14","  Industrial equipment","B680RG3",18.107,18.469,18.316,18.315,18.373,18.537,18.814,19.312,20.152,20.998,21.708,22.786,23.804,24.29,24.973,27.322,32.928,35.686,38.924,42.334,46.49,52.54,57.558,60.299,61.537,62.224,63.257,66.138,68.991,72.092,74.712,78.292,81.083,82.881,84.014,85.726,88.652,90.491,91.108,91.622,92.154,92.669,93.272,93.308,94.013,96.367,100,103.192,107.317,112.44,113.766
"22","15","    Fabricated metal products","B263RG3",19.853,20.444,19.966,19.956,20.07,19.999,20.019,20.24,20.749,21.275,21.88,22.896,24.133,25.001,25.806,28.695,35.044,36.978,40.443,45.098,50.313,57.099,61.883,66.459,67.849,67.624,68.24,67.621,67.281,71.809,75.447,77.464,78.935,79.994,79.357,79.545,83.14,86.002,86.242,85.749,84.966,84.747,85.663,86.784,87.919,93.405,100,107.446,118.8,131.956,131.783
"23","16","    Engines and turbines","B668RG3",18.068,18.108,17.63,16.703,16.615,16.791,16.952,17.093,17.805,18.795,19.711,21.374,23.105,23.879,24.671,25.967,30.88,35.975,39.663,43.974,46.216,56.471,61.594,61.992,63.454,63.677,63.849,64.966,66.555,68.439,74.121,81.924,85.314,86.761,86.83,89.502,92.138,93.781,95.174,95.561,96.957,97.443,97.622,98.408,99.146,99.782,100,102.53,106.095,112.698,118.583
"24","17","      Steam engines","BA13RG3",18.895,18.937,18.251,16.984,16.88,17.043,17.134,17.221,18.144,19.307,20.275,22.11,24.01,24.82,25.723,26.881,31.727,37.471,41.65,46.348,47.432,60.261,64.869,62.915,63.817,63.903,63.993,64.491,65.968,67.84,74.991,85.456,89.113,90.201,89.537,92.471,95.073,96.352,97.759,98.3,99.594,99.827,99.769,100.371,101.036,101.203,100,102.372,107.246,116.488,123.62
"25","18","      Internal combustion engines","BA14RG3",16.913,16.951,17.146,17.257,17.209,17.424,17.73,17.977,18.266,18.807,19.628,20.79,21.957,22.664,23.051,25.061,30.783,34.058,36.656,40.333,44.387,50.887,56.696,61.197,63.78,64.25,64.563,66.637,68.412,70.336,73.185,75.498,78.364,80.633,82.203,84.388,87.051,89.183,90.523,90.708,92.232,93.197,94.094,95.618,96.699,98.197,100,102.727,104.285,105.658,108.749
"26","19","    Metalworking machinery","B271RG3",15.71,16.408,16.515,16.871,16.917,17.154,17.588,18.167,18.836,19.701,20.358,21.434,21.915,22.4,23.128,25.555,30.621,32.84,36.249,39.93,44.884,51.39,56.172,59.441,60.177,61.022,62.339,66.221,69.392,72.322,74.345,77.517,80.833,82.814,84.504,86.804,89.934,91.971,92.607,93.346,93.786,94.441,94.718,94.524,94.68,96.313,100,101.239,102.609,105.843,106.813
"27","20","    Special industry machinery, n.e.c.","B272RG3",13.914,14.274,14.32,14.452,14.792,15.13,15.399,15.857,16.709,17.46,18.255,19.15,20.069,20.608,21.384,24.343,29.287,31.843,35.127,38.493,42.565,47.753,52.932,55.382,57.152,58.577,59.773,63.85,67.695,71.217,73.399,77.186,80.635,83.135,84.564,86.459,89.703,91.868,92.642,93.319,94.296,94.391,94.721,94.16,94.89,97.563,100,102.438,105.636,108.673,109.26
"28","21","    General industrial, including materials handling, equipment","B273RG3",17.688,18.056,18.097,18.136,18.271,18.453,18.857,19.527,20.308,21.112,21.958,23.233,24.417,24.961,25.519,27.317,32.902,35.926,38.876,41.773,45.559,51.114,56.047,57.715,58.553,59.097,59.985,63.327,66.637,70.06,72.221,75.708,78.23,80.14,81.654,83.531,86.009,87.631,88.41,89.135,89.843,90.387,91.371,92.14,93.293,95.843,100,102.909,106.449,111.192,113.39
"29","22","    Electrical transmission, distribution, and industrial apparatus","B276RG3",30.246,30.12,29.159,28.695,28.032,27.822,27.751,28.083,29.625,30.857,31.147,31.867,32.893,32.499,32.987,35.355,42.687,46.328,49.619,52.301,55.511,61.525,67.379,70.949,72.76,73.355,74.64,76.156,78.367,79.514,83.283,87.319,89.719,90.496,91.084,92.086,94.816,95.586,95.588,95.574,95.67,97.049,97.67,96.24,96.188,97.098,100,104.838,110.565,116.051,115.893
"30","23","  Transportation equipment","B681RG3",26.132,26.091,26.034,25.754,25.634,25.409,25.341,25.315,25.726,26.438,27.241,28.547,29.963,30.606,30.938,33.817,37.594,40.291,43.42,47.333,51.394,56.79,61.021,63.782,64.739,65.413,67.388,71.606,72.735,73.851,76.448,79.17,83.181,85.373,86.192,88.64,88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.376,102.921,109.977
"31","24","    Trucks, buses, and truck trailers","B279RG3",22.561,22.018,22.022,21.943,21.707,21.63,21.944,22.025,22.495,23.124,23.753,24.859,26.576,27.483,27.824,30.573,34.466,37.485,41.305,44.985,48.797,53.752,60.902,64.619,66.402,68.736,69.942,73.073,72.803,74.386,77.633,79.203,82.833,86.384,89.39,92.799,93.442,94.397,94.87,93.55,95.613,95.052,92.358,92.268,95.568,100.126,100,99.537,100.463,99.338,110.358
"32","25","      Light trucks (including utility vehicles) \2\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.246,76.497,79.747,81.521,87.533,92.055,94.898,99.007,96.301,97.752,98.745,95.901,98.059,96.509,92.504,91.895,96.415,102.114,100,97.474,96.969,93.83,125.121
"33","26","      Other trucks, buses, and truck trailers \2\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.675,69.791,72.892,74.263,76.144,78.934,81.878,84.634,88.297,88.674,88.291,89.541,91.447,92.489,92.3,93.262,94.15,96.495,100,103.38,107.339,110.634,114.015
"34","27","    Autos \2\","B280RG3",48.033,48.167,47.661,46.299,45.838,45.101,43.937,43.295,43.317,44.449,45.548,47.215,49.004,48.627,47.837,51.056,53.664,55.703,58.276,64.074,68.929,75.854,75.051,74.098,73.615,72.18,75.622,83.104,86.131,86.564,88.285,91.921,97.061,97.942,95.843,97.365,93.338,96.154,100.076,100.132,98.2,96.053,93.627,95.452,97.037,101.737,100,101.242,102.345,102.694,113.281
"35","28","    Aircraft","B281RG3",13.726,13.786,13.92,14.375,15.032,14.704,15.032,15.226,15.816,16.271,16.861,17.906,18.689,19.085,19.802,21.959,23.526,26.467,28.557,30.736,34.188,38.307,42.014,46.566,47.985,49.017,50.276,51.652,52.551,53.634,56.009,59.48,62.92,65.642,67.195,69.279,72.238,74.703,75.8,75.882,76.769,80.504,84.711,86.073,89.805,94.532,100,104.455,107.63,112.492,115.011
"36","29","    Ships and boats","B282RG3",14.914,15.426,15.437,15.492,15.725,15.966,16.166,16.555,17.042,17.708,18.577,19.675,20.592,21.556,23.014,26.169,29.226,30.913,33.193,35.92,39.294,43.04,47.171,52.811,54.447,56.727,58.419,60.532,61.746,63.246,65.952,68.49,70.313,71.727,74.175,75.991,77.243,79.215,81.078,82.199,83.207,85.452,87.645,89.993,93.838,97.12,100,103.493,107.833,110.653,114.029
"37","30","    Railroad equipment","B283RG3",16.204,16.639,16.918,16.918,16.918,16.918,16.918,16.992,17.206,17.641,18.429,19.644,20.079,21.794,23.017,25.669,33.418,36.784,40.584,43.639,47.544,52.974,58.054,60.368,61.739,62.152,63.009,62.702,62.374,64.591,68.932,71.102,72.601,72.768,73.267,75.68,80.194,82.191,80.823,81.167,81.241,81.64,81.467,81.507,82.922,88.405,100,106.122,110.877,112.919,112.058
"38","31","  Other equipment","B682RG3",18.453,18.661,18.685,18.799,18.922,19.186,19.407,19.837,20.415,21.128,21.982,22.877,23.796,24.478,25.325,28.345,33.245,35.734,38.602,41.792,45.578,51,56.558,60.331,61.693,62.879,64.106,66.042,68.062,70.97,73.698,76.463,78.593,80.155,81.661,83.585,85.759,87.508,88.633,89.378,90.285,91.097,92.148,92.961,94.175,96.328,100,102.911,105.788,110.336,112.812
"39","32","    Furniture and fixtures","B667RG3",20.328,20.407,20.308,20.326,20.294,20.552,20.654,21.056,21.851,22.682,23.846,24.866,25.78,26.407,28.115,32.093,35.391,37.125,40.294,44.145,47.694,50.919,54.58,57.274,58.968,60.641,62.825,65.022,67.053,70.775,73.466,76.216,77.78,78.576,79.823,82.42,84.85,86.761,88.109,88.509,88.777,89.487,90.664,91.482,92.79,95.286,100,101.943,104.195,109.592,112.416
"40","33","      Household furniture","BA15RG3",23.027,23.108,23.511,23.664,23.906,24.067,24.157,24.874,25.681,26.729,27.85,28.737,29.544,30.101,31.396,34.466,37.496,39.114,41.749,44.883,48.48,53.844,58.087,61.287,62.424,64.247,66.086,67.894,69.981,73.147,75.652,77.831,79.578,80.825,82.287,84.291,86.493,88.272,89.281,89.715,89.786,90.362,91.128,91.869,93.066,95.371,100,102.544,103.805,109.139,111.09
"41","34","      Other furniture","BA16RG3",19.88,19.958,19.813,19.82,19.764,20.027,20.128,20.502,21.286,22.089,23.252,24.291,25.234,25.881,27.681,31.85,35.203,36.962,40.22,44.173,47.726,50.73,54.341,56.994,58.735,60.397,62.607,64.835,66.863,70.627,73.331,76.114,77.668,78.439,79.675,82.306,84.75,86.669,88.037,88.436,88.715,89.432,90.633,91.456,92.771,95.28,100,101.904,104.22,109.621,112.499
"42","35","    Agricultural machinery","B268RG3",14.518,14.788,15.041,15.39,15.643,15.919,16.344,16.866,17.454,17.943,18.696,19.421,20.305,21.238,21.886,24.835,29.148,31.519,34.066,36.831,40.548,46.408,52.135,57.039,59.51,61.035,61.26,63.533,64.855,66.788,69.557,72.058,75.051,78.151,79.878,81.992,83.832,85.745,86.556,87.387,88.885,89.479,90.406,91.489,93.065,96.028,100,102.604,105.717,111.409,115.397
"43","36","      Farm tractors","BA17RG3",14.004,14.154,14.515,14.88,15.102,15.396,15.614,16.125,16.637,17.288,18.092,18.822,19.618,20.409,20.911,23.741,28.213,30.536,32.889,35.819,39.246,45.045,50.747,55.623,57.811,58.892,58.783,63.4,65.437,67.697,70.373,73.406,77.808,83.27,84.453,86.579,87.877,89.31,89.443,90.151,91.924,92.079,92.138,92.306,93.788,96.645,100,102.812,105.754,113.153,117.211
"44","37","      Other agricultural machinery","W213RG3",14.641,14.969,15.168,15.504,15.772,16.034,16.575,17.097,17.724,18.112,18.829,19.548,20.462,21.452,22.166,25.146,29.362,31.736,34.356,37.022,40.851,46.689,52.376,57.249,59.849,61.618,62.03,63.261,64.292,66.08,68.866,71.168,73.63,75.807,77.742,79.843,81.907,84,85.095,85.988,87.355,88.161,89.513,91.043,92.668,95.687,100,102.493,105.697,110.513,114.465
"45","38","    Construction machinery","B269RG3",13.342,13.682,13.872,13.923,14.167,14.583,14.888,15.307,15.819,16.69,17.491,18.354,19.399,20.159,20.873,23.336,29.026,31.492,35.17,38.422,42.312,47.436,52.612,55.576,56.583,56.807,57.539,59.541,63.031,66.628,69.029,72.185,74.16,75.968,77.859,79.721,82.056,83.759,85.207,86.664,88.782,89.966,90.652,91.519,93.054,95.788,100,103.873,106.28,110.087,113.353
"46","39","      Construction tractors","BA18RG3",12.943,13.271,13.573,13.626,13.943,14.496,14.837,15.146,15.675,16.704,17.508,18.289,19.348,20.176,20.81,24.639,30.456,32.612,36.189,39.919,44.441,49.513,55.669,60.532,61.632,61.861,63.13,63.396,65.881,69.684,72.359,74.82,76.421,78.182,79.575,82.273,83.133,83.466,85.005,86.264,88.755,89.097,90.124,90.973,94.001,96.257,100,103.216,105.746,111.994,115.108
"47","40","      Other construction machinery","W214RG3",13.513,13.856,14.022,14.073,14.301,14.687,14.986,15.436,15.948,16.796,17.602,18.487,19.536,20.286,21.024,23.176,28.876,31.437,35.163,38.32,42.093,47.247,52.26,54.9,55.893,56.117,56.773,59.007,62.659,66.229,68.59,71.873,73.912,75.721,77.669,79.439,81.931,83.784,85.219,86.705,88.773,90.062,90.709,91.578,92.973,95.748,100,103.931,106.328,109.929,113.207
"48","41","    Mining and oilfield machinery","B270RG3",13.188,13.542,13.497,13.679,13.703,13.895,14.012,14.219,14.768,15.389,16.157,16.919,17.535,18.076,18.717,20.984,26.868,30.08,33.824,37.074,40.853,48.298,56.434,60.733,58.882,58.54,59.148,59.25,59.026,61.763,63.993,66.799,69.583,70.564,71.508,73.084,75.536,77.58,80.302,81.575,82.377,83.47,86.164,87.391,89.075,93.044,100,106.299,111.473,120.352,123.136
"49","42","    Service industry machinery","B570RG3",25.183,25.236,24.869,24.83,24.824,24.961,24.923,25.266,25.813,26.61,27.322,28.298,29.294,29.616,30.109,32.524,37.479,39.958,42.66,45.413,48.33,53.585,58.306,61.385,63.159,64.76,66.496,68.068,69.378,71.67,74.597,77.397,79.643,81.363,82.965,84.55,86.946,88.709,90.079,90.783,91.773,92.411,93.34,94.348,95.198,96.768,100,102.623,106.985,110.157,112.029
"50","43","    Electrical equipment, n.e.c.","B670RG3",36.153,35.678,35.24,34.769,34.086,33.932,33.607,33.99,33.752,34.349,35.174,36.582,37.742,37.908,38.927,42.584,48.732,51.615,54.919,58.395,62.414,67.306,72.614,75.655,76.178,78.684,80.366,82.173,85.598,87.871,89.92,91.621,92.522,93.818,94.038,94.682,96.725,97.331,97.158,97.04,96.893,97.077,97.319,96.867,97.305,98.477,100,101.888,105.906,109.854,110.424
"51","44","      Household appliances","BA19RG3",36.724,35.669,35.152,34.531,33.625,33.402,32.36,32.006,32.074,32.026,32.171,32.644,33.168,33.669,35.31,38.971,44.537,46.356,50.911,53.706,56.277,60.975,65.656,71.012,73.252,74.252,75.171,76.444,78.031,80.522,83.429,85.467,87.161,88.024,89.285,90.444,92.309,93.637,93.191,93.56,93.79,93.776,93.425,94.107,94.937,97.093,100,101.723,104.874,108.628,111.358
"52","45","      Miscellaneous electrical","BA20RG3",33.99,34.064,33.703,33.349,32.838,32.738,32.956,33.856,33.385,34.546,35.908,37.981,39.568,39.454,39.91,43.408,49.714,53.206,55.428,59.186,63.737,68.636,74.081,76.598,76.755,79.582,81.431,83.352,87.158,89.389,91.29,92.936,93.701,95.078,95.092,95.618,97.703,98.122,98.022,97.791,97.556,97.789,98.176,97.456,97.802,98.761,100,101.923,106.142,110.136,110.206
"53","46","    Other","B286RG3",25.743,25.807,25.757,25.766,25.891,26.018,26.107,26.527,26.951,27.596,28.47,29.456,30.196,30.708,31.512,34.99,39.17,41.362,42.08,44.942,48.932,54.864,61.176,65.671,67.097,68.077,68.867,70.809,72.449,75.008,78.028,80.791,83.055,84.369,85.989,87.527,89.386,90.997,91.648,92.245,92.803,93.67,94.734,95.389,96.406,97.738,100,102.747,104.933,107.879,109.25
"54","47","  Less: Sale of equipment scrap, excluding autos","B287RG3",13.759,11.93,12.414,10.599,10.458,12.409,13.348,13.424,12.127,11.592,13.963,16.309,13.476,14.069,21.295,36.141,24.621,27.024,25.23,27.297,31.319,33.89,36.247,35.935,36.935,37.933,37.75,37.263,44.484,63.012,61.373,60.012,53.261,50.993,54.088,63.332,71.992,64.935,66.243,56.351,51.698,57.55,51.579,53.321,64.681,105.429,100,122.614,143.341,178.428,110.814
"55","48","Residential equipment","B013RG3",59.11,58.461,57.405,56.15,55.193,54.628,53.48,52.661,52.766,53.896,55.115,56.185,57.097,57.285,57.634,61.197,67.078,70.494,72.763,76.288,80.659,85.905,92.104,97.782,100.215,101.017,100.409,100.932,102.363,103.378,104.32,105.091,104.64,104.551,105.107,107.102,107.438,108.008,107.875,107.238,105.489,105.121,104.993,104.112,100.875,97.792,100,101.633,102.245,101.603,99.815
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Includes net purchases of used vehicles; additional detail is available in table 7.2.4U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
