"","Table 7#2#5U# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167"
"26","18","W492RC D         Net transactions","W492RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,786,1021,1230,1336,1405,1373,1461,1727,1724,2089,2179,2447,3073,3968,3608,3185,3778,3905,3968,4573,4798,4915,5126,5126,5188,5867,5999,7507,7583,7844,7966,7820,8323,9440,9570,10441,11411,12092,12276,11844,12297,11781,12282,11659,11396,11129,12248,13085,13723,14614,16123,17961,18436,19108,20168,21998,22667,23970,23329,23899,25332,31192,37534,32222,37218,37448,33591,37727,34208,35525,37564,38927,34362,40017,38161,34957,42335,44631,38904,36805,37593,37314,35070,34966,34179,35327,38043,39016,37234,38456,37356,39491,40199,40034,40278,40570,41910,43546,44258
"27","19","AB62RC B   Private fixed investment","AB62RC0",9240,9455,9680,9413,11122,11450,12160,12912,13257,13532,13675,13488,12172,12121,11991,9592,13318,14055,15118,16116,16622,17234,16840,18488,20345,20313,20255,19363,19815,20171,20830,18800,16360,16525,18728,19566,21239,22104,24211,24439,29116,30279,29976,32461,33039,37589,36727,38849,39661,37830,38448,34845,33681,28410,31477,31851,34297,34714,36803,33566,35205,34372,33804,34103,36635,39462,44243,50757,52061,54637,53906,54560,56165,58294,60865,58497,57141,58956,60734,56148,53797,57572,57590,51682,57880,58168,57258,61135,55809,57751,55043,49993,52964,51904,54254,52320,51709,52689,54622,54275,53893,56228,55995,61111,62099,71410,69951,78317,88046,88006,92953,99549,96271,92856,95789,97983,95963,99820,105901,108589,110794,108945,112428,113577,107858,113453,109356,124486,123253,125524,130917,129377,130260,121136,115547,106114,104355,101368,94316,95633,90047,93823,96830,94924,85863,88237,94761,96834,100957,107736,120495,128944,126211,129231,141561,139797,152253,147341,152061,148972,136226,126382,129379,125122
"28","20","AB68RC B     New motor vehicles","AB68RC0",11036,11637,11865,11426,13272,13591,14417,15156,15542,15945,16099,16038,14517,14842,14543,11254,15952,16326,17403,18347,18621,19464,19224,21339,23359,23342,23148,21759,22411,23114,24514,22309,19854,20292,23228,24045,25834,26970,28969,29228,34269,35438,34833,37444,37956,43231,42462,44963,46220,44286,45599,41303,40829,34399,38344,39284,42456,42308,45495,41065,43200,42781,42703,43171,45246,48222,53725,61760,65318,69708,71067,70779,74470,76811,81502,75257,73612,76275,79522,72979,70242,76538,80343,76643,80933,81304,81866,85251,78632,84222,80628,73651,78209,76990,81553,79953,78691,81045,86284,84508,84689,91329,91397,98517,97664,111434,106911,117549,129020,128541,134249,143548,141073,136971,143027,145480,147744,155016,162788,162095,166364,163236,168788,172794,169971,182811,170436,193900,194036,195047,205377,205039,208565,195662,191628,177639,182044,175072,167449,163548,154541,167722,172912,167374,152028,150008,161944,163457,162020,169723,185760,193649,188021,193536,209029,206044,222961,211191,215118,216284,207481,195521,202908,196337
"29","21","B139RC B       Autos","B139RC0",6072,6827,6896,6661,7700,7843,8418,8675,8602,8838,8798,8638,7888,8430,8009,5897,9739,9373,9930,9878,9518,9788,10055,11399,11953,12287,11985,10267,10765,11053,12577,11113,10747,11696,13821,13939,14872,15190,15482,16353,18602,19332,18928,19734,19743,22715,22564,22854,23384,21954,23254,20248,22040,18151,20566,22327,24844,23151,26550,22515,23385,24263,25566,25973,26407,28543,31665,35750,37901,40207,41429,39651,42104,43311,47935,39226,42674,45127,48308,42655,40414,43110,46582,43811,47987,48584,48701,48995,44409,49162,46971,42270,45778,46009,50409,50028,50595,51837,55567,52301,51592,54720,52804,57232,54291,63117,57112,62933,69345,69188,71320,75819,70169,68074,71621,70367,70573,75417,77766,72228,76220,73640,74909,74247,70631,75014,68943,79124,75479,77287,78293,78281,82086,75535,74434,73505,75885,73785,68912,64461,64273,69881,71074,67617,63727,59836,63143,60667,58694,62346,63324,65955,64283,65047,69732,71210,73318,69782,70953,72411,70626,70797,74630,72929
"30","22","GAP65  D         Domestic","GAP650",5980,6722,6785,6542,7563,7704,8265,8520,8455,8669,8628,8452,7707,8231,7812,5658,9489,9101,9656,9634,9252,9517,9761,11066,11603,11929,11662,9890,10407,10754,12211,10772,10332,11290,13379,13538,14476,14788,15020,15837,18036,18600,18202,18978,18973,21848,21628,21846,22185,20590,21932,18785,20263,16673,18792,20400,22689,21000,24346,20177,20973,21849,23182,23796,25074,27138,30215,34057,36178,38401,39723,37715,39972,41001,45516,36710,36815,38903,41410,35384,34438,36644,39400,37094,41004,41541,41797,42133,37343,41868,39814,35723,38651,39102,43863,43587,44297,45164,48797,45910,43964,47014,45589,49640,46304,54414,48621,54445,59344,58967,60785,65968,60917,58639,62803,61537,62776,67470,69207,63507,67423,65467,65887,64611,61482,65488,59646,69276,63929,64410,65191,63626,65704,59127,58077,56905,57902,54709,50488,44089,41978,48265,48766,45752,41923,39727,42431,40575,38723,41703,43758,44219,43774,43411,47365,49263,51896,46003,47209,47853,46635,46594,51478,49128
"31","23","GAP68  D         Foreign","GAP680",93,105,112,119,137,139,153,155,147,169,170,186,181,199,197,239,250,272,274,244,266,271,294,333,350,358,323,377,358,299,366,341,415,406,442,401,396,402,462,516,566,732,726,756,769,867,936,1008,1198,1364,1322,1464,1777,1478,1774,1927,2155,2151,2204,2338,2412,2414,2384,2177,1333,1405,1449,1693,1723,1806,1706,1936,2132,2309,2419,2515,5858,6225,6897,7272,5976,6466,7181,6716,6983,7043,6904,6862,7066,7294,7157,6547,7127,6907,6546,6441,6298,6673,6770,6391,7628,7705,7215,7592,7987,8703,8491,8488,10001,10221,10534,9851,9252,9435,8819,8830,7797,7947,8559,8721,8797,8172,9022,9637,9149,9526,9297,9848,11549,12877,13102,14655,16382,16408,16358,16601,17983,19077,18424,20372,22295,21616,22308,21865,21804,20109,20711,20091,19971,20643,19566,21736,20509,21636,22368,21947,21422,23779,23744,24559,23991,24203,23151,23801
"32","24","B705RC B       Trucks","B705RC0",4964,4810,4969,4765,5572,5748,5999,6481,6940,7107,7301,7400,6629,6412,6534,5357,6213,6953,7473,8469,9103,9676,9169,9940,11406,11055,11163,11492,11646,12061,11937,11196,9107,8596,9407,10106,10962,11780,13487,12875,15667,16106,15905,17710,18213,20516,19898,22109,22836,22332,22345,21055,18789,16248,17778,16957,17612,19157,18945,18550,19815,18518,17137,17198,18839,19679,22060,26010,27417,29501,29638,31128,32366,33500,33567,36031,30938,31148,31214,30324,29828,33428,33761,32832,32946,32720,33165,36256,34223,35060,33657,31381,32431,30981,31144,29925,28096,29208,30717,32207,33097,36609,38593,41285,43373,48317,49799,54616,59675,59353,62929,67729,70904,68897,71406,75113,77171,79599,85022,89867,90144,89596,93879,98547,99340,107797,101493,114776,118557,117760,127084,126758,126479,120127,117194,104134,106159,101287,98537,99087,90268,97841,101838,99757,88301,90172,98801,102790,103326,107377,122436,127694,123738,128489,139297,134834,149643,141409,144165,143873,136855,124724,128278,123408
"33","25","B196RC B         Light trucks (including utility vehicles)","B196RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12787,14641,14971,15162,16336,16003,16838,17329,15827,15995,16351,15101,17489,17060,17117,16779,16290,17829,18536,18955,19552,21288,21358,23010,23462,27147,27307,30441,35634,35311,37415,40808,41170,40407,42919,45947,50901,53445,59161,65587,67221,66937,70037,72830,72144,79428,70055,80493,84368,83644,91672,90637,91695,87085,87227,78256,81246,77985,76769,77831,69974,74263,76029,75265,69455,69590,77081,79552,77449,79932,91574,93289,87736,93017,103196,97144,108875,100433,103329,101043,101396,97961,105103,99511
"34","26","B197RC B         Other","B197RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17041,18787,18789,17670,16610,16717,16326,18927,18396,19065,17306,16280,14942,13921,14027,13147,11806,11378,12181,13252,13545,15321,17235,18275,19911,21170,22492,24175,24041,24042,25514,26922,29733,28490,28487,29166,26270,26154,25861,24280,22923,22659,23842,25717,27196,28369,31438,34283,34189,34116,35412,36121,34784,33042,29967,25878,24913,23302,21768,21256,20294,23578,25808,24491,18846,20582,21719,23238,25877,27445,30861,34405,36002,35472,36101,37690,40769,40976,40836,42830,35459,26763,23175,23897
"35","27","W242RC B     Net purchases of used autos and used light trucks","W242RC0",-1796,-2182,-2185,-2013,-2150,-2141,-2257,-2244,-2285,-2413,-2424,-2550,-2345,-2721,-2552,-1662,-2634,-2271,-2285,-2231,-1999,-2230,-2384,-2851,-3014,-3029,-2893,-2396,-2596,-2943,-3684,-3509,-3494,-3767,-4500,-4479,-4595,-4866,-4758,-4789,-5153,-5159,-4857,-4983,-4917,-5642,-5735,-6114,-6559,-6456,-7151,-6458,-7148,-5989,-6867,-7433,-8159,-7594,-8692,-7499,-7995,-8409,-8899,-9068,-8611,-8760,-9482,-11003,-13257,-15071,-17161,-16219,-18305,-18517,-20637,-16760,-16471,-17319,-18788,-16831,-16445,-18966,-22753,-24961,-23053,-23136,-24608,-24116,-22823,-26471,-25585,-23658,-25245,-25086,-27299,-27633,-26982,-28356,-31662,-30233,-30796,-35101,-35402,-37406,-35565,-40024,-36960,-39232,-40974,-40535,-41296,-43999,-44802,-44115,-47238,-47497,-51781,-55196,-56887,-53506,-55570,-54291,-56360,-59217,-62113,-69358,-61080,-69414,-70783,-69523,-74460,-75662,-78305,-74526,-76081,-71525,-77689,-73704,-73133,-67915,-64494,-73899,-76082,-72450,-66165,-61771,-67183,-66623,-61063,-61987,-65265,-64705,-61810,-64305,-67468,-66247,-70708,-63850,-63057,-67312,-71255,-69139,-73529,-71215
"36","28","B140RC B       Used autos","B140RC0",-1776,-2162,-2164,-1994,-2127,-2118,-2233,-2218,-2257,-2384,-2395,-2520,-2318,-2695,-2526,-1641,-2609,-2243,-2256,-2197,-1964,-2194,-2347,-2807,-2959,-2970,-2826,-2317,-2512,-2850,-3580,-3398,-3393,-3661,-4377,-4345,-4452,-4717,-4598,-4649,-5012,-5031,-4730,-4827,-4729,-5398,-5471,-5802,-6247,-6155,-6832,-6126,-6821,-5678,-6496,-7058,-7757,-7145,-8245,-7069,-7551,-8008,-8539,-8713,-8057,-8001,-8577,-9957,-12125,-13855,-15930,-14853,-16626,-16807,-18596,-14742,-14568,-15025,-15828,-14015,-13521,-15258,-18736,-20813,-18540,-18492,-19946,-19343,-18148,-21774,-20245,-18117,-18022,-17773,-19784,-20093,-19822,-20780,-23060,-21443,-20937,-24171,-23674,-25386,-23984,-27952,-25355,-27101,-29322,-29212,-30407,-32298,-32986,-31870,-34151,-32820,-34406,-37191,-38324,-34279,-38775,-35982,-35870,-35204,-36568,-40062,-36905,-42394,-39099,-39051,-39938,-39720,-42351,-38855,-39530,-38715,-39841,-38882,-36562,-32381,-32179,-36547,-37105,-35445,-33728,-31083,-32789,-31720,-29577,-31710,-31946,-32343,-31596,-31725,-33285,-34287,-34132,-30637,-31495,-33456,-33980,-33152,-33662,-32574
"37","29","GAP71  D         Margin","GAP710",84,86,88,90,94,95,97,102,105,101,102,104,96,100,103,97,112,124,124,128,130,142,140,148,155,152,151,150,131,145,162,150,155,161,175,197,217,221,232,246,290,309,332,337,310,332,317,293,291,264,249,233,218,198,199,213,234,237,246,235,226,205,222,239,250,277,288,289,277,291,291,277,274,291,301,290,291,302,346,341,334,397,438,422,385,367,378,386,431,419,411,439,403,366,370,353,386,363,372,374,372,385,398,416,433,469,509,522,567,586,624,719,709,732,726,706,791,824,838,824,897,848,895,901,838,844,883,931,862,935,948,874,966,882,892,945,960,1005,964,989,1016,986,918,911,924,847,907,915,848,1003,1022,1015,1066,1042,996,1022,1056,1028,1071,1033,958,1000,1076,986
"38","30","GAP74  D         Net transactions","GAP740",-1860,-2248,-2252,-2084,-2221,-2213,-2330,-2320,-2362,-2485,-2497,-2624,-2414,-2795,-2629,-1738,-2721,-2367,-2380,-2325,-2094,-2336,-2487,-2955,-3114,-3122,-2977,-2467,-2643,-2995,-3742,-3548,-3548,-3822,-4552,-4542,-4669,-4938,-4830,-4895,-5302,-5340,-5062,-5164,-5039,-5730,-5788,-6095,-6538,-6418,-7081,-6359,-7039,-5875,-6695,-7271,-7991,-7382,-8491,-7304,-7777,-8214,-8761,-8952,-8306,-8277,-8866,-10247,-12402,-14146,-16221,-15130,-16900,-17098,-18897,-15032,-14858,-15326,-16175,-14357,-13855,-15656,-19174,-21235,-18925,-18859,-20324,-19729,-18579,-22193,-20656,-18556,-18425,-18139,-20154,-20445,-20208,-21142,-23432,-21818,-21309,-24556,-24072,-25803,-24416,-28421,-25863,-27623,-29889,-29799,-31031,-33017,-33695,-32602,-34877,-33526,-35197,-38015,-39161,-35102,-39672,-36830,-36765,-36105,-37406,-40905,-37787,-43326,-39961,-39985,-40886,-40595,-43318,-39737,-40422,-39659,-40801,-39887,-37526,-33370,-33195,-37533,-38023,-36356,-34651,-31930,-33696,-32635,-30425,-32713,-32968,-33358,-32661,-32766,-34280,-35309,-35188,-31665,-32566,-34488,-34938,-34152,-34737,-33561
"39","31","W243RC B       Used light trucks (including utility vehicles)","W243RC0",-20,-20,-21,-19,-23,-23,-24,-26,-28,-29,-29,-30,-27,-26,-26,-21,-25,-28,-29,-34,-35,-36,-37,-44,-55,-59,-67,-79,-84,-93,-104,-111,-101,-106,-123,-134,-143,-149,-160,-140,-141,-128,-127,-156,-188,-244,-264,-312,-312,-301,-319,-332,-327,-311,-371,-375,-402,-449,-447,-430,-444,-401,-360,-355,-554,-759,-905,-1046,-1132,-1216,-1231,-1366,-1679,-1710,-2041,-2018,-1903,-2294,-2960,-2816,-2924,-3708,-4017,-4148,-4513,-4644,-4662,-4773,-4675,-4697,-5340,-5541,-7223,-7313,-7515,-7540,-7160,-7576,-8602,-8790,-9859,-10930,-11728,-12020,-11581,-12072,-11605,-12131,-11652,-11323,-10889,-11701,-11816,-12245,-13087,-14677,-17375,-18005,-18563,-19227,-16795,-18309,-20490,-24013,-25545,-29296,-24175,-27020,-31684,-30472,-34522,-35942,-35954,-35671,-36551,-32810,-37848,-34822,-36571,-35534,-32315,-37352,-38977,-37005,-32437,-30688,-34394,-34903,-31486,-30277,-33319,-32362,-30214,-32580,-34183,-31960,-36576,-33213,-31562,-33856,-37275,-35987,-39867,-38641
"40","32","W493RC D         Margin","W493RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,149,174,197,206,213,207,219,256,249,284,271,259,304,375,336,319,382,394,392,411,423,433,461,518,533,588,565,614,575,561,543,534,538,568,527,478,475,479,496,569,666,726,865,940,1027,1085,1250,1311,1380,1466,1613,1783,1838,1923,2057,2150,2331,2594,2602,2370,2468,2593,2906,2716,3015,3031,2827,3113,2859,2981,3007,3010,3188,3126,3374,3515,3485,3324,3380,3404,3213,3591,3687,3449,3911,4053,4023,4334,4064,3799,3819,4089,3995,4213,4247,3976,4126,4582,4219
"41","33","W494RC D         Net transactions","W494RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-664,-907,-1079,-1243,-1338,-1429,-1438,-1585,-1936,-1958,-2325,-2289,-2163,-2598,-3335,-3152,-3243,-4090,-4411,-4540,-4924,-5067,-5095,-5234,-5192,-5229,-5928,-6106,-7837,-7888,-8076,-8084,-7694,-8115,-9170,-9317,-10337,-11405,-12207,-12516,-12151,-12738,-12332,-12996,-12592,-12349,-11974,-12951,-13128,-13625,-14554,-16290,-19157,-19842,-20485,-21284,-18945,-20640,-23084,-26615,-27915,-31763,-26768,-29926,-34400,-33487,-37553,-38769,-39067,-38530,-39532,-35817,-40857,-38010,-39698,-38909,-35831,-40837,-42301,-40384,-35842,-33901,-37986,-38590,-34935,-34188,-37372,-36385,-34548,-36644,-37982,-35779,-40666,-37207,-35775,-38104,-41250,-40113,-44449,-42860
"42","34","AB64RC B   Gross government investment","AB64RC0",1276,1310,1303,1279,1224,1207,1199,1202,1207,1224,1228,1229,1243,1294,1318,1297,1397,1364,1355,1352,1350,1392,1472,1598,1645,1748,1953,2195,1914,2258,2488,2492,2446,2407,2449,2518,2558,2788,2947,3127,3347,3297,3160,3388,3405,3819,3806,4121,4262,4065,4502,4591,4584,4288,4807,4873,5183,5154,4999,4767,5013,4803,4749,5155,4369,5358,5975,6445,7150,8680,7437,7797,8363,8588,7970,7651,7256,8333,8996,7084,7103,6928,8597,6303,8283,7320,8116,7403,9297,9721,11615,8895,10689,9260,10723,10717,12634,8446,8931,8057,9422,10078,8671,13087,8734,11268,10034,8766,8472,8740,10965,8913,8404,9780,9327,11136,10903,8982,8827,9889,10115,10388,11209,9554,9833,12246,10425,12104,11311,10499,12132,13633,12786,11807,11911,13032,12601,12520,12028,11716,12384,12350,12386,12939,14997,13282,14118,12672,14348,13937,14439,13629,14868,14351,16994,15047,14261,15204,16754,17399,14992,13872,12819,13408
"43","35","B144RC B     Autos","B144RC0",396,400,407,429,427,433,442,454,456,475,486,499,502,530,525,475,575,558,570,577,586,600,603,623,600,590,584,567,617,670,734,703,690,716,752,738,773,795,825,879,1047,1040,1004,1037,1103,1235,1290,1319,1349,1270,1386,1259,1359,1294,1396,1479,1690,1543,1435,1383,1459,1505,1611,1721,1549,1490,1652,1661,1767,1931,1947,1862,2105,1870,1705,1756,2039,1697,1799,1965,1871,2038,1928,2005,2547,2173,2330,2582,2720,3055,2835,2438,3131,2913,2981,3871,3365,2628,2575,2484,2806,3318,3529,3611,3295,3309,3252,2867,3214,3338,3572,3237,3095,3751,3399,4047,3661,3059,3077,3951,3335,3091,3007,3259,3058,3651,3321,3447,3389,3251,3269,4007,3302,3292,3634,3409,3120,3583,3651,3429,3318,3146,3251,3530,3483,3229,3098,3246,3311,3132,2911,3414,3735,3195,3466,3372,3344,3796,3922,4091,3659,3818,3311,3891
"44","36","GAP80  D       New autos","GAP800",187,194,204,215,219,214,226,233,233,246,259,274,273,316,309,222,356,320,335,341,350,382,396,436,416,393,372,323,366,410,483,425,402,431,484,463,490,498,510,547,672,653,624,663,679,797,817,820,841,744,849,677,775,686,769,834,1060,875,713,623,686,731,847,945,858,829,1001,960,1158,1284,1304,1217,1367,1219,1108,1203,1537,1006,1114,1299,1199,1475,1337,1468,1866,1398,1523,1797,1830,2228,1904,1402,1994,1726,1808,2865,2378,1495,1444,1279,1483,2148,2348,2384,2152,2193,2135,1588,2081,2228,2511,2036,1871,2717,2211,3057,2602,1817,1861,3124,2240,1917,1981,2098,1857,2676,2227,2436,2259,2089,2151,3237,2210,2243,2681,2426,1939,2596,2702,2368,2256,2024,2163,2585,2483,2109,1932,2176,2296,2070,1744,2462,2931,2125,2491,2353,2294,2881,3025,3245,2634,2863,2179,2973
"45","37","GAP83  D       Net transactions in used autos","GAP830",-74,-92,-86,-79,-88,-91,-86,-83,-84,-93,-85,-90,-87,-116,-102,-67,-102,-98,-89,-91,-90,-119,-118,-138,-137,-140,-114,-89,-94,-113,-123,-109,-105,-116,-117,-110,-108,-119,-100,-97,-63,-74,-67,-72,-71,-88,-81,-84,-91,-94,-103,-85,-101,-101,-104,-114,-146,-131,-100,-90,-103,-128,-132,-145,-209,-253,-240,-190,-277,-266,-254,-254,-158,-263,-296,-339,-389,-219,-210,-234,-226,-338,-308,-360,-385,-291,-259,-281,-343,-406,-302,-197,-264,-213,-228,-395,-581,-435,-437,-363,-412,-566,-554,-508,-592,-619,-618,-456,-602,-625,-674,-534,-511,-701,-548,-745,-677,-492,-519,-908,-640,-561,-709,-574,-535,-760,-641,-724,-604,-573,-618,-965,-643,-687,-783,-752,-553,-748,-785,-674,-674,-613,-647,-790,-734,-616,-569,-665,-720,-673,-568,-783,-931,-665,-760,-716,-685,-820,-838,-889,-711,-781,-603,-817
"46","38","GAP86  D       Employee reimbursement","GAP860",283,298,290,293,296,310,302,304,307,322,312,315,316,330,318,320,321,336,324,327,326,336,325,325,321,336,326,333,345,373,375,387,392,402,386,384,391,416,416,429,438,460,447,447,495,527,554,584,599,619,639,667,684,708,732,760,777,799,822,850,876,903,896,921,900,914,891,891,886,913,897,899,896,914,893,893,891,911,894,900,898,902,899,898,1066,1066,1066,1066,1233,1233,1233,1233,1401,1401,1401,1401,1568,1568,1568,1568,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
"47","39","B708RC B     Trucks","B708RC0",880,910,896,850,797,774,757,748,751,749,742,730,741,764,793,822,822,806,785,775,764,792,869,975,1045,1158,1369,1628,1297,1588,1754,1789,1756,1691,1697,1780,1785,1993,2122,2248,2300,2257,2156,2351,2302,2584,2516,2802,2913,2795,3116,3332,3225,2994,3411,3394,3493,3611,3564,3384,3554,3298,3138,3434,2820,3868,4323,4784,5383,6749,5490,5935,6258,6718,6265,5895,5217,6636,7197,5119,5232,4890,6669,4298,5736,5147,5786,4821,6577,6666,8780,6457,7558,6347,7742,6846,9269,5818,6356,5573,6616,6760,5142,9476,5439,7959,6782,5899,5258,5402,7393,5676,5309,6029,5928,7089,7242,5923,5750,5938,6780,7297,8202,6295,6775,8595,7104,8657,7922,7248,8863,9626,9484,8515,8277,9623,9481,8937,8377,8287,9066,9204,9135,9409,11514,10053,11020,9426,11037,10805,11528,10215,11133,11156,13528,11675,10917,11408,12832,13308,11333,10054,9508,9517
"48","40","W495RC D       New trucks","W495RC0",880,910,896,850,797,774,757,748,751,749,742,730,741,764,793,822,822,806,785,775,764,792,869,975,1045,1158,1369,1628,1297,1588,1754,1789,1756,1691,1697,1780,1785,1993,2122,2248,2300,2257,2156,2351,2302,2584,2516,2802,2913,2795,3116,3332,3225,2994,3411,3394,3493,3611,3564,3384,3554,3298,3138,3434,2991,4087,4565,5041,5637,6997,5718,6164,6510,6947,6512,6119,5425,6875,7487,5377,5476,5183,6975,4606,6069,5490,6135,5186,6961,7050,9197,6856,8002,6772,8166,7268,9690,6260,6846,6057,7114,7292,5697,10041,6006,8568,7390,6564,5935,6089,8071,6409,6036,6754,6660,7854,8054,6714,6529,6720,7457,8061,9142,7045,7527,9567,7838,9544,8752,8026,9821,10657,10513,9408,9156,10628,10465,9887,9323,9268,10050,10244,10063,10396,12511,10928,12116,10353,12022,11988,12590,11212,12349,12124,14606,12812,12036,12503,13954,14411,12323,11228,10772,10762
"49","41","W496RC D       Net transactions in used light trucks","W496RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171,-219,-242,-257,-254,-248,-228,-229,-252,-229,-247,-224,-208,-239,-290,-258,-244,-293,-306,-308,-333,-344,-349,-365,-384,-384,-417,-399,-444,-424,-424,-422,-421,-441,-490,-483,-499,-531,-555,-565,-567,-609,-608,-665,-677,-687,-678,-733,-727,-725,-732,-765,-812,-791,-778,-781,-677,-764,-940,-749,-753,-972,-734,-887,-831,-779,-958,-1030,-1029,-893,-879,-1004,-984,-950,-946,-981,-984,-1040,-929,-987,-998,-875,-1096,-927,-985,-1183,-1062,-997,-1217,-969,-1078,-1137,-1119,-1095,-1123,-1103,-989,-1174,-1263,-1245
"50","42","AB63RC B   Net exports","AB63RC0",-604,-644,-744,-1076,-1256,-1716,-2160,-2312,-1660,-2596,-2816,-2900,-2976,-2768,-2908,-3400,-3584,-3700,-4560,-4636,-4800,-4832,-4428,-5216,-4952,-5308,-5028,-5092,-5184,-5412,-5340,-4192,-3228,-2684,-3392,-4104,-5824,-6036,-5476,-5356,-5661,-6834,-8225,-9750,-10103,-11100,-10790,-10743,-9729,-10531,-9972,-10075,-12735,-12493,-14479,-13788,-13255,-14553,-13766,-17124,-19480,-19828,-20495,-17919,-20925,-22974,-21897,-26191,-29244,-31232,-31081,-31780,-32050,-34960,-36367,-39944,-40162,-44111,-49264,-46585,-46581,-48041,-46611,-45951,-44102,-42632,-41189,-44389,-41094,-42059,-36203,-36493,-38087,-42169,-42690,-44830,-38462,-35461,-39660,-40662,-40735,-38189,-35771,-38140,-43855,-43417,-43295,-43314,-41229,-49631,-51126,-58256,-55870,-56564,-49246,-48693,-50910,-56143,-56627,-52716,-62150,-61579,-61233,-57958,-61993,-66160,-66543,-77587,-86290,-88483,-94311,-95028,-100765,-99697,-103795,-102599,-103570,-100185,-100183,-98061,-101906,-104124,-106217,-105653,-98431,-105862,-98585,-104740,-107075,-110749,-106180,-102832,-97033,-99192,-102202,-109937,-111689,-112406,-105126,-114018,-103257,-91051,-98477,-93010
