"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","3","  Commercial and health care","W001RG3",86.784,87.357,88.35,89.288,90.478,91.419,92.572,93.717,94.702,95.675,96.506,97.327,98.731,99.594,100.409,101.266,102.117,102.896,104.188,105.069,105.363,106.01,106.393,107.617,109.121,108.887,109.088,110.332,112.403,114.749,117.479,120.304,123.045,125.214,128.357,131.637,134.453,136.669,138.535,140.878,143.459,144.107,145.179,147.293
"12","4","    Office\1\","W031RG3",84.798,86.074,87.638,89.052,89.823,90.669,91.835,93.115,94.388,95.544,96.49,97.362,98.794,99.604,100.325,101.068,101.865,102.538,103.704,104.452,104.63,105.204,105.547,106.748,108.317,108.094,108.257,109.409,111.378,113.711,116.51,119.5,122.658,125.208,128.727,132.704,136.19,138.9,141.011,143.394,147.226,148.1,148.607,151.645
"13","5","    Health care","W032RG3",87.775,88.065,88.841,89.613,90.508,91.249,92.253,93.303,94.334,95.315,96.197,97.096,98.517,99.505,100.476,101.502,102.781,103.836,105.222,105.986,105.784,106.066,106.25,107.449,109.161,109.117,109.447,110.774,112.84,114.978,117.4,119.811,122.187,123.879,126.486,129.479,131.903,133.78,135.304,137.333,138.937,139.701,140.813,141.983
"14","6","      Hospitals and special care","C311RG3",87.535,88.012,88.964,89.905,90.498,91.246,92.258,93.312,94.333,95.315,96.198,97.098,98.516,99.505,100.476,101.503,102.779,103.836,105.223,105.988,105.786,106.066,106.249,107.448,109.152,109.115,109.452,110.78,112.832,114.976,117.405,119.822,122.206,123.904,126.518,129.517,131.947,133.829,135.356,137.387,138.992,139.756,140.868,142.039
"15","7","        Hospitals","W033RG3",87.593,88.051,88.997,89.933,90.504,91.252,92.268,93.329,94.372,95.351,96.222,97.099,98.447,99.42,100.395,101.444,102.803,103.894,105.293,106.049,105.782,106.035,106.205,107.403,109.13,109.109,109.453,110.786,112.876,115.016,117.435,119.834,122.171,123.842,126.433,129.415,131.849,133.727,135.252,137.281,138.885,139.648,140.759,141.93
"16","8","        Special care","W034RG3",87.393,87.986,88.992,89.944,90.502,91.224,92.21,93.248,94.28,95.264,96.153,97.063,98.503,99.503,100.484,101.519,102.808,103.854,105.234,105.996,105.795,106.091,106.283,107.482,109.171,109.115,109.475,110.853,112.823,115.013,117.46,119.865,122.185,123.843,126.427,129.407,131.845,133.726,135.254,137.284,138.888,139.651,140.762,141.933
"17","9","      Medical buildings","W035RG3",88.668,88.216,88.358,88.619,90.531,91.279,92.276,93.312,94.331,95.298,96.171,97.067,98.511,99.504,100.481,101.512,102.808,103.857,105.236,105.993,105.771,106.054,106.237,107.431,109.157,109.089,109.403,110.738,112.876,115.016,117.435,119.834,122.171,123.842,126.433,129.415,131.849,133.727,135.252,137.281,138.885,139.648,140.759,141.93
"18","10","    Multimerchandise shopping","W036RG3",88.095,88.192,88.774,89.33,90.995,92.109,93.327,94.412,95.159,95.965,96.667,97.396,98.676,99.532,100.402,101.365,102.238,103.088,104.513,105.571,106.13,106.978,107.469,108.709,110.036,109.657,109.795,111.05,113.216,115.686,118.551,121.521,124.565,126.795,129.808,133.058,135.567,137.502,139.074,141.162,142.812,143.597,144.739,145.942
"19","11","    Food and beverage establishments","W037RG3",88.024,88.217,88.759,89.254,91.128,92.208,93.378,94.414,95.124,95.908,96.606,97.351,98.722,99.595,100.459,101.395,102.208,103.012,104.41,105.459,106.049,106.917,107.418,108.658,109.957,109.615,109.802,111.141,113.216,115.686,118.551,121.521,124.565,126.795,129.808,133.058,135.567,137.502,139.074,141.162,142.812,143.597,144.739,145.942
"20","12","    Warehouses","W038RG3",88.144,88.18,88.762,89.314,90.969,92.087,93.311,94.403,95.155,95.963,96.667,97.395,98.665,99.521,100.395,101.365,102.249,103.109,104.544,105.608,106.17,107.018,107.509,108.744,110.041,109.666,109.809,111.08,113.216,115.686,118.551,121.521,123.101,125.044,128.849,130.549,132.574,134.557,137.229,141.155,142.815,142.734,144.718,147.43
"21","13","    Other commercial\2\","W039RG3",87.95,88.227,88.955,89.628,91.121,92.212,93.401,94.46,95.202,96.003,96.696,97.418,98.698,99.549,100.406,101.347,102.191,103.019,104.423,105.47,106.014,106.865,107.358,108.585,109.92,109.58,109.738,110.992,113.21,115.747,118.64,121.588,124.499,126.677,129.627,132.838,135.395,137.375,138.969,141.026,144.511,144.446,146.424,149.112
"22","14","  Manufacturing","B307RG3",87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.118,102.926,104.284,105.258,105.726,106.46,106.803,107.841,108.862,108.173,107.988,108.882,110.706,112.725,115.067,117.444,119.82,121.446,123.869,126.563,128.597,130.163,131.467,133.348,134.906,135.648,136.727,137.863
"23","15","  Power and communication","W003RG3",94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.859,102.497,103.473,103.742,104.269,104.766,105.735,106.127,106.665,107.235,108.024,109.001,110.705,114.556,117.664,120.53,122.298,124.322,125.887,128.506,131.063,133.272,135.308,137.532,137.784,138.689,140.078,141.35
"24","16","    Power","W028RG3",91.622,92.513,93.205,93.915,94.334,94.486,94.638,94.834,95.112,95.559,96.24,97.415,98.556,99.664,100.452,101.327,101.908,102.571,103.135,103.694,104.302,105.128,106.039,106.929,107.181,107.594,108.179,109.105,111.037,115.509,119.223,122.763,125.676,127.715,128.642,130.562,132.655,135.063,137.245,138.799,139.456,140.467,141.76,143.075
"25","17","      Electric","B571RG3",92.062,92.973,93.702,94.401,95.001,95.052,95.193,95.416,95.403,95.611,96.172,97.243,98.488,99.556,100.369,101.354,101.933,102.619,103.282,104.05,105.059,105.803,106.562,107.305,107.219,107.665,108.449,109.728,111.157,113.186,115.349,118.059,119.624,121.137,122.196,123.993,126.551,129.258,131.519,133.171,134.204,135.385,137.009,138.633
"26","18","      Other power","W029RG3",90.76,91.597,92.208,92.951,93.107,93.397,93.546,93.675,94.325,95.193,96.137,97.605,98.512,99.817,100.582,101.089,101.313,101.867,102.182,102.168,101.88,103.269,104.72,105.976,106.85,107.234,107.446,107.804,111.278,122.458,130.5,136.653,143.852,147.483,147.944,150.166,150.861,152.409,154.378,155.679,155.356,155.959,156.409,156.974
"27","19","    Communication","B314RG3",98.958,99.713,99.717,99.19,99.451,99.235,99.378,99.377,98.009,97.56,98.211,98.301,98.86,99.862,100.108,101.086,101.746,102.389,104.037,103.898,104.299,104.201,105.23,104.79,105.792,106.681,107.89,108.909,109.83,112.279,114.278,115.993,116.11,118.185,120.74,124.424,127.574,129.424,131.19,134.425,134.05,134.784,136.32,137.511
"28","20","  Mining exploration, shafts, and wells","B318RG3",85.062,87.717,89.424,92.116,98.662,102.564,101.273,99.782,98.675,96.506,95.333,96.607,96.301,96.962,101.158,105.58,113.05,122.193,127.663,126.55,133.502,142.785,150.036,154.353,156.015,155.855,158.965,160.266,162.072,162.492,167.518,177.118,190.703,198.655,213.747,236.285,252.161,266.144,270.187,269.632,267.105,260.237,255.43,254.667
"29","21","    Petroleum and natural gas","B319RG3",84.791,87.596,89.353,92.156,99.031,103.114,101.718,100.116,98.954,96.618,95.309,96.549,96.022,96.604,100.915,105.477,113.397,122.965,128.654,127.492,134.608,144.428,152.147,156.666,158.422,158.292,161.569,162.89,164.671,164.96,170.088,180.067,194.144,202.405,218.288,242.257,259.73,275.005,279.609,279.083,276.228,268.751,263.49,262.581
"30","22","    Mining","B320RG3",87.44,88.061,89.092,90.06,90.635,91.351,92.324,93.338,94.324,95.281,96.145,97.033,98.457,99.456,100.448,101.502,102.838,103.912,105.299,106.049,105.777,106.036,106.224,107.443,109.218,109.155,109.439,110.69,112.827,115.013,117.458,119.863,122.184,123.843,126.427,129.408,131.846,133.726,135.253,137.284,138.888,139.651,140.762,141.932
"31","23","  Other structures","W004RG3",88.415,89.053,89.924,90.846,91.298,91.997,92.898,93.82,94.706,95.581,96.387,97.239,98.57,99.509,100.409,101.512,102.662,103.606,104.901,105.75,105.752,106.162,106.425,107.528,108.966,108.903,109.171,110.324,112.18,114.119,116.338,118.476,120.456,121.943,124.242,126.801,128.845,130.517,131.915,133.763,137.175,137.815,138.884,140.022
"32","24","    Religious","C309RG3",87.358,87.958,88.975,89.94,90.474,91.207,92.21,93.26,94.343,95.334,96.223,97.125,98.532,99.513,100.476,101.496,102.778,103.82,105.203,105.975,105.776,106.076,106.27,107.471,109.192,109.133,109.46,110.772,112.876,115.016,117.435,119.834,122.171,123.842,126.433,129.415,131.849,133.727,135.252,137.281,138.885,139.648,140.759,141.93
"33","25","    Educational and vocational","W044RG3",87.282,87.955,89.022,90.011,90.841,91.753,92.841,93.885,94.756,95.642,96.435,97.255,98.726,99.593,100.383,101.177,102.071,102.906,104.287,105.279,105.761,106.532,106.945,108.1,109.342,108.873,108.876,109.948,111.86,113.934,116.319,118.72,121.099,122.738,125.202,127.96,130.074,131.701,133.051,134.969,146.589,146.922,147.714,148.963
"34","26","    Lodging","W045RG3",87.623,88.035,88.931,89.83,90.379,91.121,92.15,93.242,94.325,95.348,96.258,97.168,98.563,99.543,100.51,101.535,102.826,103.876,105.26,106.027,105.812,106.106,106.299,107.501,109.248,109.182,109.461,110.71,112.821,115.012,117.461,119.866,122.185,123.843,126.427,129.407,131.845,133.726,135.254,137.284,138.888,139.651,140.763,141.933
"35","27","    Amusement and recreation","W046RG3",87.754,88.569,89.528,90.638,90.487,91.167,92.155,93.225,94.307,95.342,96.27,97.198,98.617,99.604,100.562,101.577,102.813,103.826,105.192,105.962,105.783,106.092,106.287,107.478,109.172,109.097,109.414,110.729,112.824,115.013,117.46,119.865,122.185,123.843,126.427,129.407,131.845,133.726,135.254,137.284,138.888,139.651,140.762,141.933
"36","28","    Transportation","W047RG3",92.219,92.477,92.859,93.21,93.953,94.604,95.182,95.756,96.317,96.628,97.152,97.784,98.798,99.563,100.397,101.242,102.456,103.672,105.087,106.048,106.048,106.348,106.669,107.581,108.624,109.189,109.7,110.602,111.926,112.666,113.484,113.969,114.462,115.052,116.211,117.507,118.119,118.811,119.787,121.026,121.519,121.732,123.057,124.351
"37","29","      Air","W048RG3",87.529,88.492,89.569,90.739,90.65,91.298,92.244,93.255,94.263,95.227,96.103,97.011,98.326,99.309,100.314,101.428,102.884,104.016,105.398,106.151,105.851,106.082,106.236,107.43,109.167,109.144,109.491,110.83,112.828,115.013,117.458,119.863,122.184,123.843,126.427,129.408,131.846,133.726,135.253,137.284,138.888,139.651,140.762,141.933
"38","30","      Land\3\","W049RG3",93.401,93.506,93.747,93.942,94.856,95.509,96.008,96.488,96.946,97.086,97.496,98.025,98.901,99.59,100.375,101.134,102.305,103.595,105.04,106.079,106.129,106.437,106.801,107.635,108.523,109.23,109.774,110.584,111.739,112.201,112.721,112.889,113.123,113.573,114.553,115.646,116.04,116.583,117.491,118.65,119.043,119.199,120.537,121.837
"39","31","    Farm","B316RG3",87.377,87.976,88.993,89.959,90.52,91.257,92.257,93.304,94.311,95.296,96.177,97.077,98.449,99.434,100.412,101.44,102.801,103.898,105.303,106.066,105.789,106.04,106.215,107.424,109.125,109.081,109.445,110.825,112.829,115.013,117.457,119.861,122.183,123.843,126.428,129.408,131.846,133.726,135.253,137.284,138.888,139.651,140.762,141.932
"40","32","    Other\4\","W050RG3",90.212,91.619,92.448,93.567,92.93,92.991,93.488,94.005,94.618,95.252,95.944,97.06,98.274,99.606,100.552,101.568,102.423,103.01,103.512,104.244,104.922,105.508,106.079,106.576,107.114,107.617,108.31,109.239,110.134,112.365,115.652,119.084,121.08,123.35,125.811,127.972,129.5,132.402,134.576,137.077,139.595,141.861,144.139,146.353
"41","33","    Brokers' commissions on sale of structures","B321RG3",95.045,96.385,96.574,96.576,97.815,98.592,98.623,98.188,97.631,98.068,98.227,98.355,98.545,98.737,98.96,103.847,104.078,103.808,105.522,105.396,105.518,105.703,105.796,106.232,106.296,106.327,106.325,106.323,106.323,106.851,107.256,107.256,107.256,107.256,107.753,107.256,106.883,106.883,106.883,106.883,106.883,106.883,107.011,106.336
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",88.734,89.187,89.979,90.667,90.924,91.565,92.484,93.369,94.312,95.368,96.19,96.96,98.665,99.624,100.424,101.286,102.665,103.956,105.732,106.483,106.252,106.84,107.262,109.121,111.653,111.741,112.485,114.639,117.388,119.921,122.449,124.324,126.303,127.427,130.127,132.842,134.121,134.72,134.965,135.645,136.311,136.016,135.93,135.805
"44","36","  Permanent site","B943RG3",87.594,87.888,89.034,89.938,90.239,90.887,91.939,93.02,94.131,95.213,96.061,96.873,98.799,99.672,100.353,101.176,102.56,103.699,105.88,107.049,106.64,107.174,107.481,109.717,112.846,112.549,113.116,115.643,118.963,121.82,124.404,126.406,128.489,129.501,132.153,135.118,136.63,137.07,137.107,138.276,138.997,137.93,137.613,137.411
"45","37","    Single-family structures","B944RG3",88.162,88.41,89.5,90.277,90.293,90.758,91.713,92.783,94.015,95.199,96.122,96.957,98.802,99.671,100.373,101.226,102.717,103.938,106.166,107.34,106.858,107.339,107.625,109.878,113.05,112.825,113.49,116.139,119.582,122.528,125.172,127.198,129.26,130.218,132.793,135.642,137.001,137.303,137.24,138.354,139.076,138.008,137.69,137.488
"46","38","    Multifamily structures","B292RG3",83.256,83.874,85.422,87.224,89.529,91.581,93.462,94.681,94.866,95.195,95.509,96.214,98.912,99.855,100.381,100.912,101.316,101.731,103.476,104.574,104.766,105.674,106.097,108.121,110.734,109.772,109.487,110.926,113.226,115.302,117.373,119.172,121.335,122.849,126.27,130.392,133.592,135.36,136.297,137.906,138.625,137.56,137.244,137.042
"47","39","  Other structures","A863RG3",90.399,91.078,91.37,91.755,91.946,92.577,93.3,93.894,94.584,95.601,96.388,97.095,98.458,99.553,100.534,101.455,102.824,104.35,105.504,105.623,105.661,106.332,106.929,108.221,109.838,110.515,111.53,113.108,114.953,116.977,119.425,121.097,122.904,124.211,126.993,129.293,130.181,131.051,131.626,131.594,132.186,132.863,133.063,133.029
"48","40","    Manufactured homes","B945RG3",93.718,94.313,94.618,94.822,94.893,95.35,95.833,96.404,96.964,98.142,98.738,99.185,99.376,99.918,100.347,100.608,100.562,101.228,102.155,102.868,102.717,103.384,103.549,103.502,103.436,104.604,105.441,107.327,107.381,112.848,117.619,120.761,122.352,124.171,125.163,126.3,127.002,129.317,130.681,130.805,130.46,131.091,131.722,131.946
"49","41","    Dormitories","B295RG3",88.137,88.408,89.515,90.303,90.288,90.722,91.656,92.714,93.912,95.09,96.02,96.879,98.805,99.716,100.446,101.32,102.76,103.944,106.15,107.315,106.831,107.317,107.615,109.888,113.063,112.864,113.576,116.321,119.582,122.528,125.172,127.198,129.26,130.218,132.793,135.642,137.001,137.303,137.24,138.354,139.076,138.008,137.69,137.488
"50","42","    Improvements","B946RG3",90.036,90.775,91.106,91.44,91.59,92.198,92.888,93.607,94.524,95.554,96.445,97.103,98.705,99.668,100.418,101.21,102.331,103.479,104.829,105.416,105.229,105.678,106.043,107.459,109.565,109.766,110.452,112.369,115.004,117.641,120.492,121.468,123.304,124.517,126.948,129.433,130.712,132.093,132.628,133.066,134.04,134.71,134.931,135.364
"51","43","    Brokers' commissions on sale of structures","B758RG3",90.122,90.682,90.916,91.481,91.781,92.501,93.372,93.765,94.101,95.065,95.728,96.599,97.798,99.268,100.797,102.087,104.149,106.544,107.381,106.541,107.051,108.126,109.196,110.442,111.372,112.8,114.363,115.38,116.094,116.897,118.591,121.207,123.021,124.448,127.897,130.067,130.394,130.334,130.929,130.037,129.978,130.66,130.779,129.647
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RG3",88.276,88.876,89.788,90.625,91.36,92.165,93.022,93.892,94.753,95.609,96.365,97.148,98.656,99.54,100.41,101.394,102.771,104.132,105.951,106.749,106.986,107.858,108.505,110.248,112.478,112.367,112.988,114.923,117.613,120.223,122.991,125.355,127.99,129.63,132.807,136.578,139.049,140.83,141.704,142.949,144.045,143.593,143.608,144.178
"55","46","    Nonresidential structures","A771RG3",87.993,88.795,89.761,90.759,92.091,93.111,93.886,94.645,95.283,95.863,96.5,97.323,98.481,99.371,100.467,101.681,103.187,104.838,106.535,107.08,108.087,109.485,110.648,112.03,113.344,113.288,113.946,115.119,117.037,119.211,122.138,125.681,129.551,132.297,136.663,142.352,146.805,150.609,152.676,154.422,156.007,155.571,155.769,157.006
"56","47","    Residential structures","A756RG3",88.528,88.966,89.835,90.541,90.789,91.417,92.344,93.303,94.337,95.408,96.257,97.013,98.79,99.675,100.368,101.167,102.442,103.572,105.49,106.483,106.141,106.653,106.974,108.932,111.716,111.586,112.192,114.542,117.626,120.458,123.137,124.887,126.897,127.972,130.542,133.355,134.795,135.501,135.691,136.63,137.42,136.954,136.833,136.866
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
