"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"45","38","  Exports","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.5,363.9,444.1,503.3,552.4,596.8,635.3,655.8,720.9,812.2,868.6,955.3,955.9,991.2,1096.3,1032.8,1005.9,1045.6,1173.8
"46","39","    Goods","A253RC1",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.7,27.8,30.7,32.2,35.3,38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,369.4,396.6,423.5,448,459.9,510.1,583.3,618.3,687.7,680.9,697.2,784.3,731.2,697.6,724.3,818.1
"47","40","    Services","A646RC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.4,10.2,11.3,12.6,13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.5,106.4,118.3,134,155.7,173.3,187.4,195.9,210.8,228.9,250.2,267.6,275.1,294,311.9,301.6,308.4,321.3,355.7
"48","41","  Imports","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,453.3,509.1,554.5,591.5,630.3,624.3,668.6,720.9,814.5,903.6,964.8,1056.9,1115.9,1251.7,1475.8,1399.8,1430.3,1546.5,1797.8
"49","42","    Goods","A255RC1",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6,7.6,6.9,9.1,11.2,10.8,11,10.4,11.5,12.8,13.3,13,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.3,929,1045.5,1243.5,1167.9,1189.3,1283.9,1495.9
"50","43","    Services","B656RC1",1.1,1,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1,1.9,2.8,3.1,3.7,1.9,2,2.5,2.4,2.5,3.4,4.5,5,5.1,5.7,6.1,6.7,7.1,7,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,83.3,94.3,102.4,106.7,122.3,123.6,123.6,128.1,137.7,146.1,157.4,171.5,186.9,206.3,232.3,231.9,241,262.6,301.9
"51","44","Government consumption expenditures and gross investment","A822RC1",9.4,10,9.9,8.7,8.7,10.5,10.9,13.1,12.8,13.8,14.8,15,26.5,62.7,94.8,105.3,93,39.6,36.4,40.6,46.7,46.8,68.1,83.6,90.6,86.2,86.5,91.4,99.7,106,110,111.6,119.5,130.1,136.4,143.2,151.5,171.8,192.7,209.4,221.5,233.8,246.5,263.5,281.7,317.9,357.7,383,414.1,453.6,500.8,566.2,627.5,680.5,733.5,797,879,949.3,999.5,1039,1099.1,1180.2,1234.4,1271,1291.2,1325.5,1369.2,1416,1468.7,1518.3,1620.8,1721.6,1825.6,1961.1,2091.9,2215.9
"52","45","  Federal","A823RC1",1.7,1.8,1.9,1.8,2.3,3.3,3.4,5.6,5.1,5.7,6,6.5,18,54.1,86.5,97,84.1,28.9,22.7,24.2,27.7,26,45.1,59.2,64.4,57.3,54.9,56.7,61.3,63.8,65.4,64.1,67.9,75.3,76.9,78.5,80.4,92.5,104.8,111.4,113.4,113.5,113.7,119.7,122.5,134.6,149.1,159.7,175.4,190.9,210.6,243.8,280.2,310.8,342.9,374.4,412.8,438.6,460.1,462.3,482.2,508.3,527.7,533.9,525.2,519.1,519.2,527.4,530.9,530.4,555.8,578.8,612.9,679.7,754.8,827.6
"53","46","    National defense","A824RC1",0.9,0.9,0.9,0.9,0.9,0.8,1,1.2,1.3,1.4,1.5,2.5,14.3,51.1,84.2,94.5,82,25.2,18.2,18.3,19.8,19.6,39.3,52.4,55.9,49.2,47,49.2,53.6,55.4,53.8,53.4,56.5,61.1,61,60.3,60.6,71.7,83.5,89.3,89.5,87.6,84.6,87,88.2,95.6,103.9,111.1,120.9,130.5,145.2,168,196.3,225.9,250.7,281.6,311.2,330.9,350,354.9,362.2,374,383.2,376.9,362.9,353.7,348.7,354.6,349.6,345.7,360.6,370.3,392.6,437.1,496.7,552.7
"54","47","      Consumption expenditures","A997RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1,1.2,1.7,7.1,25.1,46.8,59.1,59.3,23.7,17.3,16.3,16.9,17.2,30.1,38.9,41.2,37.1,36.9,38.8,43.2,44.1,40.1,41,42.7,46.6,48.3,48.8,50.6,60,70,77.2,78.2,76.6,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.2,208.8,232.9,253.7,268,283.6,293.6,299.5,308.1,319.8,315.3,307.6,300.7,297.3,302.5,304.7,300.7,312.9,321.5,342.4,381.7,436.6,484.2
"55","48","      Gross investment","A788RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.8,7.2,26,37.4,35.4,22.7,1.5,0.9,2,2.9,2.4,9.1,13.4,14.7,12.1,10.1,10.5,10.5,11.3,13.7,12.3,13.9,14.5,12.6,11.5,10,11.8,13.5,12.2,11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.2,52.9,51.4,52.1,44.9,45,47.7,48.8,50.2,55.4,60.1,68.5
"56","49","    Nondefense","A825RC1",0.8,0.9,0.9,0.9,1.4,2.5,2.3,4.3,3.8,4.4,4.5,4,3.7,3,2.3,2.4,2.1,3.7,4.4,5.9,7.9,6.5,5.8,6.8,8.5,8.1,7.9,7.5,7.7,8.4,11.5,10.7,11.4,14.2,15.9,18.2,19.8,20.8,21.3,22.1,23.8,25.8,29.1,32.7,34.3,39,45.1,48.6,54.5,60.4,65.4,75.8,84,84.9,92.3,92.8,101.6,107.8,110,107.4,120,134.3,144.5,157,162.4,165.5,170.5,172.8,181.3,184.7,195.2,208.5,220.3,242.5,258.2,274.9
"57","50","      Consumption expenditures","A542RC1",0.7,0.7,0.7,0.6,0.9,1.7,1.3,3.3,2.9,3.5,3.7,3.2,2.3,2,1.5,1.9,1.5,3.3,3.6,4.9,6.4,4.9,4.3,5.3,7.1,6.9,7.1,6.3,6.3,6.8,9.8,8.7,9,11.3,12.4,14,15.1,15.9,17.1,18.3,20.2,22.1,24.9,28.2,29.4,33.4,38.7,41.4,46.5,50.6,55.1,63.8,71,72.1,77.7,77.1,84.7,90.3,90.6,88.9,99.7,111.7,119.7,129.8,134.2,140.1,143.2,143.8,153,153.9,162.2,177.8,189.5,209.9,225.3,241.4
"58","51","      Gross investment","A798RC1",0.2,0.2,0.3,0.3,0.5,0.8,1.1,1,0.9,0.9,0.8,0.8,1.4,1,0.8,0.5,0.6,0.4,0.8,1,1.4,1.6,1.5,1.6,1.4,1.2,0.9,1.2,1.4,1.6,1.7,2,2.4,2.9,3.5,4.2,4.7,4.9,4.2,3.8,3.6,3.8,4.2,4.5,4.9,5.6,6.5,7.3,8,9.8,10.2,12,13,12.7,14.5,15.7,16.9,17.5,19.4,18.6,20.3,22.6,24.8,27.2,28.1,25.4,27.3,29.1,28.3,30.8,33,30.7,30.8,32.7,32.8,33.4
"59","52","  State and local","A829RC1",7.6,8.2,8,6.9,6.4,7.2,7.5,7.5,7.7,8.1,8.8,8.6,8.6,8.6,8.4,8.4,9,10.8,13.7,16.3,19,20.7,23,24.4,26.1,28.9,31.6,34.7,38.3,42.2,44.7,47.5,51.6,54.9,59.5,64.8,71,79.2,87.9,98,108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.6,290.2,322.4,347.3,369.7,390.5,422.6,466.2,510.7,539.4,576.7,616.9,671.9,706.7,737,766,806.3,850,888.6,937.8,987.9,1065,1142.8,1212.8,1281.5,1337.1,1388.3
"60","53","    Consumption expenditures","A991RC1",5,5.2,5.4,5.1,5,5.5,5.9,4.6,5.1,5.1,5.4,5.8,6.3,7,7.5,7.7,8.2,9.2,10.9,12.3,13.7,14.9,16.1,17.1,18.2,19.7,21.6,23.4,25.8,28.6,30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.9,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,417.9,440.9,470.4,502.1,544.6,574.6,602.7,630.3,663.3,696.1,724.8,758.9,801.4,858.9,917.8,969.8,1025.3,1074.8,1117.7
"61","54","    Gross investment","A799RC1",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.5,206,225,243,256.1,262.3,270.6
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
