"","Table 7#2#3B# Real Motor Vehicle Output, Quantity Indexes       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","        Truck output","A716RA3",12.969,12.605,13.82,13.562,11.826,11.453,11.558,9.015,12.263,12.56,13.291,13.865,15.912,16.976,15.15,18.413,20.554,20.28,20.793,20.859,21.234,19.964,20.721,20.931,16.122,15.609,16.471,16.843,18.867,21.157,22.79,21.322,25.041,24.875,26.971,26.762,24.956,27.768,28.681,31.467,32.056,27.606,25.147,22.442,19.219,15.81,16.027,18.017,17.147,18.154,16.936,17.217,17.96,18.459,16.332,15.152,16.942,19.99,22.592,26.622,27.925,28.37,28.75,31.296,30.501,33.09,35.137,34.721,31.161,32.965,32.765,31.581,31.843,33.593,34.425,34.872,34.835,34.412,35.056,38.002,41.44,38.334,39.773,37.052,34.776,35.336,34.044,29.53,25.882,29.284,31.206,30.409,32.282,33.791,35.331,39.808,39.869,40.321,41.063,45.41,47.828,46.275,48.775,49.84,50.347,50.757,52.205,54.411,52.201,54.667,55.992,57.112,59.7,59.579,64.687,69.726,68.247,69.808,65.701,78.132,78.76,78.068,82.776,81.995,82.751,80.416,75.263,72.648,69.558,75.933,74.796,79.227,81.376,86.056,93.326,88.463,88.993,94.4,96.42,98.549,99.777,94.969,103.836,100.41,96.244,100.741,108.478,94.537,96.222,95.781,99.978,95.183,97.31,98.971,100.148,94.051,87.986,75.226,69.146,58.372,53.454,49.711,66.204,67.694,71.937,73.405,83.454
"12","4","Final sales of domestic product","AB60RA3",30.542,29.478,29.46,28.979,26.252,26.838,26.532,20.026,27.965,28.852,30.095,32.523,32.66,33.756,34.22,37.472,41.382,40.128,38.823,36.065,33.367,33.386,34.749,29.429,29.709,29.626,33.659,34.819,37.329,37.866,39.317,39.565,44.54,44.167,43.353,43.493,42.076,48.4,46.646,47.41,47.131,41.951,43.946,40.823,38.896,29.497,33.039,33.956,37.942,33.984,36.878,30.511,33.788,32.564,32.109,35.962,34.66,39.91,43.185,46.755,47.886,49.553,48.322,50.238,53.581,53.686,59.431,51.563,52.361,54.674,61.395,55.025,47.752,52.666,57.723,52.112,59.497,58.53,56.198,57.941,58.017,58.186,61.713,54.375,59.849,54.667,54.634,50.594,48.879,48.182,50.042,48.452,51.153,53.026,54.042,56.865,53.487,59.066,58.018,62.31,66.095,62.909,63.739,65.434,62.643,61.848,65.384,67.353,66.75,66.557,67.473,69.622,70.667,68.023,72.725,75.377,71.791,78.043,78.027,86.37,79.609,84.98,86.32,83.385,89.191,81.351,80.505,79.367,82.652,81.132,80.017,93.866,86.095,86.311,92.93,84.706,85.548,89.116,94.399,89.996,90.523,90.689,96.209,99.799,98.513,102.395,106.765,92.327,98.759,97.611,100.454,98.674,99.969,100.395,98.426,100.576,95.714,84.65,80.913,66.447,67.1,65.882,67.403,64.421,70.738,70.009,70.766
"13","5","  Personal consumption expenditures","AB61RA3",28.359,27.601,27.96,27.325,25.077,25.804,25.549,19.753,27.195,28.039,29.398,31.506,31.553,32.459,32.977,35.861,38.894,37.32,35.604,32.666,29.974,29.755,30.952,25.204,26.502,26.347,30.466,32.021,35.647,35.702,35.931,36.251,39.765,39.727,40.19,40.333,38.35,44.088,42.226,41.812,40.916,36.71,38.813,37.114,37.184,28.183,32.039,32.431,36.148,32.038,34.767,29.244,33.555,32.82,33.151,36.452,35.29,41.091,42.607,45.717,47.822,48.817,48.088,50.178,53.726,54.315,61.564,53.959,55.117,58.467,67.552,61.13,52.799,57.463,62.518,58.035,62.969,61.343,58.577,60.485,60.594,60.772,63.636,57.682,63.305,59.681,58.604,55.053,50.59,49.821,52.825,51.663,54.797,55.476,56.21,57.24,56.349,59.033,58.446,61.144,62.895,61.621,60.916,62.804,59.681,59.436,60.966,62.013,62.547,63.549,63.31,63.749,66.932,64.305,68.943,71.004,68.591,74.65,76.034,83.914,79.29,85.514,85.629,82.645,90.557,83.385,84.994,85.531,88.545,86.679,88.003,102.804,94.943,95.474,102.105,95.454,95.517,99.892,102.946,100.687,100.522,99.997,101.263,102.053,99.885,103.852,104.996,91.267,95.046,95.435,97.357,97.11,97.602,99.166,98.207,97.644,92.82,86.992,81.14,72.604,75.48,74.75,82.996,77.333,76.596,77.767,77.866
"14","6","    New motor vehicles","AB67RA3",29.449,28.731,29.012,28.24,25.849,26.397,26.296,19.459,28.795,29.386,30.911,33.479,33.533,34.821,35.2,38.664,42.355,40.591,38.374,35.161,31.608,31.19,32.867,25.675,27.983,27.131,32.241,34.077,38.2,38.067,38.505,39.465,43.501,44.155,43.862,43.956,41.791,49.108,46.473,45.876,44.852,39.757,41.84,40.056,39.616,29.174,33.712,34.125,39.024,33.46,37.299,30.608,36.095,35.518,35.293,39.936,38.81,46.426,47.736,51.602,53.711,54.253,51.928,55.823,59.264,59.719,68.932,58.84,60.394,64.888,76.254,67.527,57.913,63.482,68.552,61.146,68.489,66.642,63.902,66.201,66.164,65.381,70.093,59.765,67.536,62.732,60.987,56.127,48.963,49.082,51.124,50.453,53.606,53.736,54.835,56.182,54.374,58.201,57.918,62.144,61.504,61.092,59.759,61.954,57.212,57.694,57.375,60.188,59.785,59.199,57.855,59.72,60.256,58.226,64.004,66.712,63.882,71.856,67.286,73.949,73.688,77.445,78.222,79.758,84.872,80.747,81.946,78.393,84.294,83.621,82.666,107.194,96.351,91.89,101.524,95.335,94.696,102.085,105.002,101.866,103.216,100.743,101.901,101.823,97.304,106.01,108.196,88.49,93.265,93.473,95.774,94.448,96.81,96.491,93.628,94.422,88.371,81.059,74.275,63.325,63.609,63.125,75.946,69.025,67.862,69.63,69.196
"15","7","      Autos","A136RA3",67.324,65.681,66.378,64.428,59.188,60.651,60.196,44.193,66.117,66.651,69.338,74.401,73.86,76.307,77.643,84.583,91.407,87.915,82.142,73.698,66.463,64.945,68.395,52.907,59.384,56.25,66.605,69.608,77.6,76.353,75.708,78.838,85.103,86.689,85.828,83.352,78.855,92.892,87.614,86.973,86.774,78.225,82.524,78.942,82.644,59.796,70.394,72.363,83.935,69.461,77.791,63.127,72.451,72.094,71.713,81.734,77.938,91.466,91.758,98.799,103.005,103.337,98.073,105.113,107.307,108.661,125.352,102.933,110.779,117.288,137.918,122.858,102.169,108.984,120.95,103.907,119.288,114.331,107.862,112.141,109.311,107.766,115.98,94.667,110.162,103.178,101.425,92.767,78.827,78.596,80.171,79.66,85.189,82.371,82.496,84.745,80.672,85.934,85.812,91.418,88.918,87.855,86.39,87.894,79.664,81.126,81.059,84.972,82.076,80.78,77.786,79.765,80.651,74.78,82.379,84.488,81.383,88.752,83.249,89.336,88.745,95.078,95.893,99.894,104.96,101.192,98.399,94.186,97.759,93.696,89.984,113.384,98.421,95.371,101.092,93.436,95.409,93.263,95.094,92.443,96.302,93.912,92.866,97.783,96.688,101.88,104.703,96.729,102.012,101.406,103.391,99.905,100.044,99.491,93.148,99.688,99.059,101.306,83.04,68.193,66.188,65.007,89.521,72.423,70.086,67.142,67.153
"16","8","      Light trucks (including utility vehicles)","B704RA3",3.373,3.293,3.285,3.331,2.893,2.803,2.953,2.442,3.088,3.752,4.509,5.391,5.882,6.394,6.095,7.205,8.803,8.207,8.466,8.898,7.844,8.205,8.676,7.157,6.548,7.315,8.867,9.945,11.459,12.129,13.377,12.808,15.423,15.431,15.538,17.506,16.929,19.722,18.877,18.284,16.609,13.772,14.346,13.779,10.309,8.364,8.723,8.028,8.325,8.953,9.719,8.489,11.453,10.688,10.565,11.533,12.286,15.971,18.075,19.82,20.505,21.216,20.903,22.696,27.136,26.971,31.183,29.483,26.653,29.853,35.02,30.5,28.428,33.305,33.625,32.848,34.708,35.022,34.858,35.824,37.794,37.526,39.907,37.014,39.571,36.158,34.375,32.038,29.398,29.766,32.175,31.383,32.968,35.116,36.895,37.647,37.349,40.256,39.86,43.209,43.81,43.831,42.573,45.246,42.78,42.612,42.125,44.233,45.468,45.346,45.08,46.879,47.19,47.646,52.259,55.36,52.705,61.083,57.104,64.14,64.085,66.195,66.945,66.919,72.06,67.711,71.446,68.314,75.695,77.181,77.985,103.231,95.027,89.66,101.813,96.564,94.256,107.738,111.346,107.896,107.646,105.119,107.69,104.424,97.729,108.685,110.459,83.127,87.557,88.292,90.8,90.914,94.773,94.604,94.039,90.973,81.254,67.475,68.475,60.159,62.008,61.982,66.892,66.828,66.457,71.394,70.663
"17","9","    Net purchases of used autos and used light trucks","W240RA3",26.969,25.923,26.695,26.623,24.743,26.425,25.411,23.848,23.288,25.435,26.223,26.526,26.526,25.861,27.033,27.788,28.435,27.502,27.642,25.541,26.065,26.624,26.013,25.242,22.893,25.311,26.036,26.685,28.773,29.511,29.028,27.23,29.126,26.817,29.777,30.11,28.681,29.336,29.997,30.192,29.713,28.304,30.591,29.058,30.978,26.686,28.248,28.62,28.484,29.1,28.304,26.245,27.001,25.72,27.765,27.086,25.804,26.53,28.652,29.748,31.871,34.07,37.444,34.875,38.63,39.55,41.522,40.668,40.78,40.976,43.723,43.746,38.934,41.198,46.13,48.99,47.814,46.804,44.03,44.926,45.394,47.897,46.2,51.238,51.302,50.813,51.509,51.494,54.413,51.211,56.782,54.303,57.355,59.556,59.252,59.366,60.918,60.511,59.138,57.971,65.721,62.341,63.217,64.387,65.034,63.156,68.93,65.915,68.587,73.18,75.46,72.68,81.842,77.88,79.893,80.463,78.993,80.555,95.726,106.331,91.641,103.492,102.086,88.933,103.149,89.113,91.62,101.266,97.827,93.306,99.656,93.071,91.823,103.141,103.41,95.759,97.323,94.962,98.311,98.079,94.358,98.357,99.869,102.604,105.705,99.074,97.945,97.277,98.938,99.748,100.851,102.98,99.353,105.05,108.252,104.718,102.528,99.963,96.226,93.239,102.153,100.915,98.374,95.646,95.852,95.74,96.982
"18","10","      Used autos","B137RA3",56.395,54.122,55.667,55.318,51.372,54.892,52.542,49.685,48.156,52.573,54.101,54.55,54.464,53.271,55.809,57.085,57.991,56.015,56.33,51.824,52.919,54.198,53.002,51.448,46.467,51.694,53.263,54.698,58.779,59.962,58.579,54.477,58.326,53.27,59.419,60.108,57.046,57.855,59.271,59.329,58.447,56.08,59.682,55.014,59.784,50.915,53.317,54.846,54.674,55.652,53.928,50.803,50.693,48.769,53.705,52.194,50.139,49.582,52.916,54.375,58.588,63.314,71.034,64.914,71.314,73.382,75.26,73.5,73.182,69.973,70.926,73.089,64.77,67.22,77.34,83.306,78.936,76.135,69.955,70.844,71.086,75.763,68.916,79.393,74.805,74.093,75.043,74.724,81.422,73.739,82.38,78.118,83.269,85.699,83.859,83.961,87.92,86.356,84.955,81.432,97.752,91.102,93.62,94.18,94.52,89.35,98.712,89.351,91.477,99.078,101.804,93.631,107.678,98.175,97.908,100.397,96.956,96.141,115.407,123.581,104.488,117.164,115.648,97.419,116.116,96.549,98.359,116.036,106.586,103.664,106.97,95.836,97.542,107.612,106.378,97.888,100.081,96.857,100.034,99.737,94.084,99.112,99.503,102.034,105.496,99.587,97.712,97.204,97.695,97.859,97.488,96.703,91.833,95.988,98.606,97.108,96.761,94.359,88.857,81.971,88.604,86.208,84.847,83.989,84.083,82.023,82.912
"19","11","      Used light trucks (including utility vehicles)","W241RA3",1.183,1.19,1.265,1.381,1.308,1.379,1.474,1.158,1.348,1.487,1.598,1.732,1.79,1.631,1.621,1.859,2.199,2.178,2.168,2.165,2.188,2.131,2.047,1.973,1.943,1.897,1.88,1.838,2.134,2.45,2.752,3.002,3.153,3.295,3.419,3.439,3.455,3.949,3.948,4.251,4.136,3.614,4.649,5.76,5.23,4.976,5.722,5.151,5.052,5.318,5.327,4.329,5.65,5.018,4.622,4.645,4.099,5.728,6.669,7.355,7.622,7.627,7.281,7.725,8.998,8.939,10.736,10.68,11.109,13.898,17.81,16.122,14.642,16.691,16.865,16.876,18.579,19.163,19.473,20.343,21,21.471,24.536,24.482,28.726,28.444,28.888,29.134,28.628,29.489,32.147,31.333,32.412,34.358,35.515,35.656,34.902,35.608,34.268,35.329,34.912,34.642,33.926,35.683,36.624,37.928,40.254,43.306,46.489,48.206,50.059,52.523,56.894,58.374,62.564,61.295,61.725,65.58,76.814,89.774,79.316,90.375,89.071,80.799,90.688,81.967,85.132,87.151,89.405,83.378,92.614,90.371,86.308,98.821,100.541,93.702,94.654,93.125,96.642,96.475,94.618,97.617,100.231,103.165,105.91,98.576,98.172,97.342,100.16,101.599,104.128,109.084,106.682,113.896,117.665,112.142,108.166,105.424,103.401,104.237,115.361,115.24,111.543,106.999,107.314,109.092,110.675
"20","12","  Private fixed investment","AB62RA3",28.387,28.787,28.557,27.984,24.982,24.73,24.222,18.863,25.594,26.728,28.991,31.188,31.528,32.49,31.547,35.387,39.309,38.687,37.921,35.952,35.896,35.626,35.736,31.293,26.744,26.282,29.73,30.453,32.307,33.552,36.104,35.608,42.245,43.147,41.376,42.965,42.762,48.292,46.526,48.63,48.141,44.863,45.05,39.63,37.197,30.727,33.068,33.232,35.548,34.832,36.723,33.107,34.95,33.844,32.916,33.23,35.544,38.391,43.04,49.197,50.255,52.671,51.926,52.503,53.604,54.932,56.664,53.272,51.321,51.557,52.782,47.696,45.868,49.554,49.572,44.566,49.876,49.752,48.34,50.764,46.474,47.676,45.204,40.214,42.676,41.727,43.306,40.783,39.536,40.223,41.469,40.406,39.743,41.434,41.67,45.352,45.612,52.579,51.594,57.546,63.211,62.539,66.069,72.013,70.294,67.628,69.268,70.649,69.383,71.335,74.999,76.798,78.405,76.659,77.974,79.277,77.239,81.915,79.395,90.962,88.749,90.961,97.447,95.704,97.473,91.738,87.846,81.723,83.468,82.193,75.192,76.492,75.717,76.189,80.341,73.584,69.341,72.938,76.443,74.322,76.523,80.781,89.549,96.014,93.587,96.854,105.756,103.804,115.241,110.19,108.197,108.906,104.881,97.024,94.912,95.321,92.323,75.826,63.807,40.182,23.157,25.659,23.802,31.736,46.905,56.705,61.884
