"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","Less: Income payments to the rest of the world","A655RA3",4.611,5.138,5.755,5.976,6.051,5.913,5.789,5.515,5.138,5.261,5.708,5.935,5.86,6.318,6.384,6.866,7.719,8.51,8.777,8.98,9.308,10.077,10.674,10.644,10.403,9.85,9.811,9.36,9.952,9.836,9.595,9.414,9.07,9.595,10.033,10.964,11.487,13.087,13.651,15.344,16.507,17.54,18.476,20.208,21.606,20.293,18.323,21.953,23.307,25.219,26.095,23.892,24.857,26.139,25.867,24.259,22.927,23.603,25.426,26.243,28.859,31.522,32.827,32.177,30.813,30.502,30.476,30.377,32.32,33.139,31.067,32.375,33.055,34.403,35.719,37.233,39.113,39.69,42.201,44.064,46.207,48.469,47.138,45.564,46.289,45.681,46.529,44.249,42.873,40.396,39.191,35.467,34.62,35.09,33.498,32.55,31.389,33.667,32.701,36.938,36.686,40.357,44.569,48.256,49.47,51.159,54.095,52.595,51.712,53.439,55.693,57.697,62.01,63.108,65.654,65.751,65.732,67.079,67.395,66.704,66.568,68.861,74.033,75.571,79.398,83.52,82.447,81.337,74.636,66.78,65.522,46.482,57.233,64.251,64.338,57.389,63.13,62.465,64.833,65.369,67.961,76.244,78.084,89.091,91.461,96.353,99.402,112.785,119.009,130.681,137.613,140.567,145.5,155.41,150.207,140.721,135.137,135.102,123.589,115.819,95.024,92.722,88.238,95.203,95.393,95.051,NA
"12","4","Equals: Gross national product","B001RA3",33.57,33.659,33.86,33.702,33.655,33.723,34.018,33.641,34.601,34.81,35.06,35.17,35.805,36.644,37.014,37.618,38.616,39.08,38.93,39.3,39.029,39.102,38.679,38.472,37.952,38.242,38.906,39.471,40.349,40.664,40.865,41.169,41.699,42.509,43.257,43.198,43.407,45.02,45.493,46.151,46.239,46.341,46.777,46.899,47.06,46.059,45.939,46.67,47.661,47.256,47.854,47.326,46.528,46.843,46.573,46.591,47.159,48.239,49.19,50.216,51.138,52.015,52.511,52.879,53.282,53.754,54.521,54.968,55.45,55.584,56.145,56.336,56.668,57.317,57.806,58.813,59.179,59.908,60.187,61.013,61.578,62.025,62.537,62.739,63.368,63.629,63.574,63.264,62.828,63.132,63.362,63.69,64.381,65.057,65.691,66.389,66.586,66.94,67.35,68.08,68.81,69.707,70.131,70.902,71.169,71.347,71.807,72.415,72.968,74.14,74.751,75.612,76.112,77.31,78.204,78.743,79.567,80.257,81.193,82.613,83.451,84.147,85.186,86.804,86.99,88.711,88.747,89.485,89.068,89.721,89.277,90.133,90.566,90.888,91.465,91.633,91.883,92.727,94.269,95.325,96.138,96.604,97.393,98.023,99.27,99.599,100.424,100.707,102.032,102.354,102.274,103.094,103.3,104.189,105.252,106.384,106.135,106.158,105.286,102.936,101.649,101.523,102.185,103.413,104.534,105.003,NA
"13","5","Less: Consumption of fixed capital","A262RA3",21.265,21.515,21.771,22.028,22.282,22.485,22.632,22.716,22.959,23.177,23.388,23.565,23.752,23.976,24.253,24.57,24.923,25.265,25.586,25.896,26.184,26.456,26.715,26.951,27.172,27.388,27.599,27.811,28.017,28.24,28.485,28.747,29.033,29.331,29.641,29.961,30.287,30.641,31.012,31.403,31.816,32.223,32.622,33.008,33.388,33.754,34.104,34.438,34.758,35.094,35.451,35.826,36.222,36.585,36.916,37.217,37.486,37.783,38.104,38.458,38.839,39.271,39.759,40.299,40.898,41.467,42.006,42.518,42.99,43.477,43.978,44.493,45.021,45.529,46.024,46.505,46.969,47.445,47.931,48.43,48.939,49.45,49.965,50.476,50.994,51.474,51.918,52.326,52.699,53.08,53.468,53.864,54.27,54.625,54.936,55.196,55.768,56.326,56.874,57.41,57.937,58.498,59.091,59.717,60.376,61.065,61.782,62.525,63.299,64.101,64.94,65.81,66.71,67.673,68.692,69.766,70.898,72.07,73.279,74.525,75.809,77.126,78.471,79.849,81.137,82.579,83.933,85.141,86.281,87.271,88.115,88.883,89.734,90.45,91.192,91.881,92.538,93.129,93.791,94.559,95.382,96.124,96.924,97.789,98.667,99.523,100.441,101.369,102.179,103.194,104.207,105.228,106.308,107.312,108.249,109.143,109.957,110.835,111.694,112.44,112.932,113.124,113.268,113.468,113.846,114.374,115.035
"14","6","        Private","A024RA3",18.308,18.569,18.835,19.105,19.379,19.595,19.753,19.852,20.136,20.404,20.658,20.897,21.121,21.396,21.722,22.099,22.523,22.921,23.295,23.646,23.976,24.282,24.564,24.822,25.054,25.28,25.5,25.713,25.92,26.15,26.405,26.684,26.988,27.303,27.631,27.972,28.325,28.7,29.096,29.515,29.955,30.382,30.797,31.198,31.586,31.957,32.311,32.646,32.963,33.301,33.66,34.04,34.441,34.803,35.126,35.409,35.651,35.919,36.213,36.533,36.879,37.28,37.737,38.249,38.819,39.351,39.845,40.299,40.714,41.143,41.587,42.047,42.521,42.983,43.43,43.863,44.282,44.714,45.16,45.619,46.092,46.564,47.035,47.504,47.972,48.403,48.796,49.152,49.469,49.8,50.145,50.504,50.878,51.201,51.474,51.696,52.28,52.859,53.433,54.001,54.564,55.167,55.811,56.496,57.224,57.98,58.766,59.582,60.429,61.313,62.235,63.196,64.196,65.257,66.382,67.571,68.825,70.115,71.443,72.807,74.208,75.648,77.125,78.64,80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.324,111.196,112.046,112.756,113.157,113.204,113.203,113.281,113.583,114.042,114.64
"15","7","        Government","A264RA3",38.423,38.59,38.767,38.934,39.048,39.161,39.234,39.216,39.206,39.112,39.052,38.855,38.811,38.724,38.701,38.66,38.587,38.592,38.596,38.664,38.714,38.789,38.917,39.034,39.186,39.341,39.493,39.697,39.897,40.071,40.25,40.407,40.581,40.768,40.954,41.143,41.289,41.5,41.706,41.913,42.136,42.399,42.69,42.962,43.274,43.598,43.914,44.227,44.548,44.86,45.19,45.522,45.869,46.23,46.597,46.999,47.418,47.885,48.361,48.906,49.485,50.094,50.758,51.446,52.2,52.974,53.773,54.618,55.42,56.237,57.066,57.905,58.741,59.516,60.283,61.034,61.758,62.484,63.203,63.925,64.638,65.372,66.136,66.885,67.69,68.453,69.189,69.902,70.6,71.272,71.908,72.516,73.104,73.646,74.169,74.649,75.132,75.552,75.935,76.275,76.578,76.89,77.177,77.454,77.709,77.997,78.312,78.632,78.985,79.309,79.67,80.024,80.35,80.752,81.178,81.607,82.053,82.566,83.116,83.71,84.352,85.003,85.63,86.266,86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.665,105.477,106.311,107.201,108.092,109.001,109.901,110.821,111.752,112.63,113.459,114.235,114.964,115.816,116.77
"16","8","          General government","A265RA3",40.727,40.87,41.025,41.165,41.253,41.332,41.358,41.294,41.236,41.079,40.948,40.678,40.558,40.408,40.309,40.208,40.056,39.991,39.932,39.945,39.932,39.964,40.041,40.113,40.224,40.35,40.462,40.641,40.822,40.96,41.115,41.254,41.411,41.579,41.746,41.914,42.039,42.236,42.419,42.604,42.794,43.041,43.312,43.553,43.846,44.153,44.45,44.746,45.046,45.336,45.649,45.957,46.29,46.643,46.999,47.4,47.82,48.291,48.777,49.34,49.94,50.575,51.268,51.987,52.777,53.59,54.439,55.332,56.183,57.055,57.938,58.832,59.725,60.555,61.364,62.157,62.923,63.686,64.445,65.208,65.951,66.722,67.524,68.315,69.155,69.958,70.722,71.455,72.175,72.855,73.493,74.099,74.682,75.2,75.699,76.147,76.592,76.97,77.316,77.613,77.868,78.145,78.388,78.628,78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.943,105.794,106.671,107.614,108.556,109.524,110.487,111.472,112.472,113.411,114.291,115.117,115.893,116.797,117.824
"17","9","          Government enterprises","A266RA3",24.949,25.276,25.603,25.942,26.228,26.561,26.932,27.195,27.486,27.79,28.173,28.424,28.848,29.146,29.592,29.92,30.334,30.765,31.156,31.561,32.001,32.335,32.769,33.152,33.555,33.874,34.262,34.617,34.93,35.309,35.63,35.891,36.17,36.466,36.766,37.076,37.345,37.646,37.986,38.312,38.727,39.082,39.489,39.934,40.36,40.779,41.2,41.611,42.057,42.491,42.92,43.391,43.82,44.238,44.669,45.081,45.493,45.944,46.362,46.816,47.277,47.735,48.238,48.757,49.31,49.861,50.383,50.956,51.485,51.993,52.529,53.06,53.575,54.052,54.583,55.108,55.598,56.123,56.626,57.124,57.671,58.209,58.767,59.291,59.901,60.458,61.037,61.645,62.225,62.855,63.481,64.1,64.726,65.397,66.058,66.717,67.406,68.056,68.648,69.22,69.786,70.293,70.824,71.3,71.757,72.234,72.749,73.271,73.849,74.346,74.806,75.254,75.496,75.972,76.535,77.072,77.635,78.272,78.986,79.731,80.56,81.401,82.162,82.948,83.743,84.476,85.16,85.818,86.414,87.016,87.62,88.267,88.885,89.558,90.313,91.13,92.017,92.921,93.805,94.723,95.728,96.69,97.538,98.299,99.007,99.661,100.329,101.003,100.681,101.332,101.982,102.63,103.277,103.899,104.521,105.146,105.79,106.408,106.991,107.592,108.194,108.771,109.343,109.873,110.371,110.961,111.561
"18","10","Equals: Net national product","A027RA3",35.653,35.711,35.901,35.668,35.566,35.609,35.93,35.47,36.556,36.762,37.019,37.116,37.83,38.777,39.162,39.815,40.926,41.41,41.175,41.554,41.182,41.218,40.671,40.382,39.724,40.025,40.77,41.4,42.399,42.73,42.921,43.23,43.803,44.706,45.532,45.4,45.583,47.429,47.917,48.621,48.645,48.687,49.126,49.195,49.311,48.049,47.837,48.64,49.755,49.206,49.846,49.142,48.114,48.416,48.031,47.994,48.616,49.84,50.904,52.048,53.065,54.018,54.511,54.844,55.209,55.66,56.464,56.897,57.378,57.448,58.016,58.147,58.443,59.114,59.599,60.694,61.041,61.811,62.052,62.931,63.504,63.938,64.447,64.594,65.24,65.462,65.323,64.892,64.323,64.613,64.816,65.132,65.869,66.595,67.281,68.047,68.183,68.504,68.891,69.65,70.411,71.36,71.756,72.549,72.753,72.85,73.27,73.856,74.373,75.601,76.176,77.035,77.473,78.706,79.58,80.038,80.816,81.434,82.328,83.773,84.546,85.151,86.145,87.798,87.823,89.584,89.43,90.101,89.461,90.065,89.439,90.308,90.682,90.949,91.503,91.598,91.793,92.672,94.334,95.431,96.242,96.67,97.458,98.055,99.353,99.61,100.421,100.615,102.01,102.237,102.007,102.802,102.886,103.758,104.837,106,105.603,105.51,104.404,101.635,100.108,99.942,100.675,102.038,103.257,103.718,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",35.679,35.748,35.952,35.716,35.607,35.642,35.969,35.528,36.578,36.769,37.058,37.141,37.848,38.808,39.171,39.832,40.901,41.365,41.06,41.439,40.981,41.048,40.544,40.319,39.723,40.025,40.747,41.308,42.33,42.646,42.834,43.135,43.645,44.566,45.406,45.332,45.443,47.396,47.846,48.483,48.493,48.464,48.779,48.854,48.957,47.744,47.573,48.513,49.6,49.081,49.691,48.907,47.906,48.133,47.853,47.838,48.473,49.67,50.731,51.863,52.937,53.895,54.399,54.801,55.278,55.705,56.595,56.989,57.525,57.699,58.24,58.467,58.741,59.36,59.857,60.936,61.211,62.02,62.297,63.154,63.737,64.189,64.676,64.747,65.425,65.637,65.56,64.839,64.419,64.85,65.096,65.32,66.068,66.807,67.538,68.299,68.349,68.753,69.075,70.021,70.709,71.713,72.14,72.946,73.043,73.111,73.693,74.158,74.611,75.947,76.564,77.374,77.909,79.068,80.034,80.565,81.255,81.905,82.948,84.387,85.046,85.604,86.639,88.2,88.272,90.015,89.903,90.332,89.829,90.357,89.954,90.207,90.969,91.418,91.834,91.76,92.092,92.847,94.528,95.389,96.039,96.712,97.41,98.252,99.246,99.609,100.342,100.803,102.197,102.475,102.366,103.082,103.188,103.992,104.53,105.261,104.928,104.985,103.649,101.481,99.967,99.74,100.177,101.57,102.593,103.025,103.527
