"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"21","13","      Other nondurable goods","DONGRA3",31.362,31.61,31.964,32.018,32.448,32.533,32.877,33.326,33.099,32.674,32.883,33.086,33.554,34.36,34.811,35.399,36.13,36.545,37.149,37.654,38.114,37.346,36.225,35.28,34.897,35.168,35.858,36.266,36.633,37.011,37.175,37.359,37.443,37.315,37.526,38.217,38.809,39.944,40.807,41.59,41.819,42.372,42.95,43.346,43.51,42.807,43.134,44.024,44.31,44.214,44.464,44.41,44.16,44.009,44.25,44.343,44.299,44.971,45.772,46.212,46.841,47.868,48.076,48.357,48.893,48.893,49.036,49.452,49.601,49.823,50.326,50.96,51.339,52.129,52.226,52.434,52.585,53.068,53.363,53.885,54.28,54.64,55.218,55.892,56.573,56.31,56.448,56.293,56.161,56,55.993,56.231,56.927,56.869,57.158,57.963,58.429,58.915,59.64,60.252,60.977,61.896,62.826,63.538,63.983,64.758,65.023,65.657,66.051,67.218,68.184,69.474,70.043,70.607,72.141,73.036,73.63,74.611,75.796,77.182,78.647,79.088,79.474,82.69,81.763,83.772,84.693,86.055,85.5,86.199,87.185,88.326,89.272,89.133,89.588,90.669,92.081,92.529,94.543,95.693,95.56,96.559,97.656,98.271,98.981,99.785,100.116,101.118,102.759,103.03,103.496,105.568,106.102,106.656,107.175,107.291,106.531,107.639,107.766,106.297,106.224,105.292,105.657,106.294,107.148,108.337,109.285
"22","14","  Services","DSERRA3",29.717,30.082,30.321,30.696,31.022,31.217,31.57,31.73,31.947,32.268,32.573,33.086,33.652,34.063,34.525,35.143,35.596,35.894,36.134,36.271,36.216,36.57,36.75,37.119,37.466,37.931,38.114,38.65,39.101,39.36,39.839,40.39,40.871,41.03,41.474,41.873,42.542,43.183,43.492,43.719,44.164,44.439,44.616,45.001,45.052,44.748,45.244,45.92,45.836,46.139,46.1,46.136,46.306,46.61,47.049,47.836,48.464,49.083,49.786,50.294,50.542,50.968,51.632,52.221,53.164,53.647,54.369,54.806,54.996,55.307,55.753,56.354,57.018,57.56,58.051,58.643,59.351,59.865,60.66,61.212,61.528,61.756,62.234,62.876,63.15,63.937,64.429,64.252,64.296,64.864,65.025,65.41,66.326,66.751,67.493,68.276,68.56,68.963,69.732,70.198,70.745,71.209,71.727,72.051,72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.34,104.756,105.11,105.512,106.014,106.007,105.655,105.803,105.37,104.919,104.797,104.936,104.952,105.366,106.006
"23","15","    Household consumption expenditures (for services)","DHCERA3",31.127,31.516,31.76,32.148,32.486,32.684,33.038,33.224,33.447,33.773,34.075,34.586,35.201,35.633,36.144,36.744,37.26,37.574,37.878,38.019,37.961,38.349,38.56,38.953,39.344,39.839,40.02,40.571,41.023,41.301,41.821,42.414,42.94,43.111,43.581,43.955,44.675,45.352,45.691,45.904,46.339,46.641,46.897,47.273,47.303,46.968,47.433,48.124,48.022,48.358,48.252,48.207,48.32,48.591,49.009,49.795,50.397,51.042,51.719,52.176,52.405,52.792,53.435,53.979,55.009,55.487,56.23,56.689,56.796,57.011,57.452,58.069,58.754,59.304,59.776,60.373,61.019,61.482,62.239,62.76,63.076,63.213,63.615,64.199,64.432,65.113,65.472,65.224,65.227,65.788,65.874,66.195,67.005,67.326,68.002,68.729,69.033,69.446,70.188,70.644,71.154,71.576,72.051,72.362,72.707,73.363,73.893,74.274,74.939,75.422,75.819,76.351,77.141,77.7,78.656,79.447,80.275,81.201,82.119,82.611,83.313,84.266,85.291,86.337,87.589,88.632,89.36,90.073,90.495,90.82,91.013,91.356,91.903,92.318,92.503,92.782,93.185,93.619,94.298,94.888,95.792,96.431,97.137,98.222,98.95,99.696,100.422,100.931,101.577,102.19,102.538,103.345,104.026,104.516,104.726,104.97,105.41,105.379,104.901,104.929,104.746,104.474,104.257,104.315,104.32,104.713,105.328
"24","16","      Housing and utilities","DHUTRA3",34.448,34.788,35.339,35.766,35.979,36.195,36.615,36.937,37.343,37.763,38.149,38.749,39.2,39.762,40.187,40.982,41.137,41.649,42.259,42.574,42.881,43.694,44.248,44.719,44.714,45.3,45.575,45.576,45.897,46.189,46.725,47.482,47.583,47.344,48.113,48.439,49.381,49.932,50.337,50.94,51.611,51.777,51.89,52.436,52.981,53.348,53.823,54.293,53.805,54.672,54.631,54.884,55.119,54.723,54.704,54.898,54.968,55.605,56.55,57.199,57.171,57.963,58.265,58.87,59.88,59.575,60.416,61.191,60.842,61.259,61.772,62.335,62.525,63.17,63.74,64.255,64.927,65.163,65.851,66.288,66.696,66.787,67.2,68.27,67.487,68.405,68.88,69.005,69.068,70.081,70.333,70.415,70.55,71.2,71.53,72.214,72.498,72.639,73.661,74.261,75.134,75.94,76.249,76.586,76.912,77.839,78.614,78.699,79.499,79.654,79.488,80.2,80.468,81.178,81.675,82.776,82.908,83.935,84.614,84.587,85.557,86.439,87.348,87.317,87.699,88.845,89.625,91.081,91.575,91.503,91.895,91.836,91.843,92.241,92.406,92.973,93.219,93.404,93.408,94.031,94.54,95.05,95.569,97.132,98.342,99.677,100.721,101.26,101.017,102.211,102.825,102.509,102.713,102.651,102.89,102.742,103.379,103.457,103.033,104.226,104.251,104.367,104.835,105.275,105.147,105.437,106.293
"25","17","      Health care","DHLCRA3",28.843,29.207,29.385,29.703,30.233,30.397,30.979,31.816,32.134,32.74,33.437,33.994,34.519,35.108,35.598,36.141,37.14,37.806,38.166,38.419,38.763,39.137,39.272,39.568,40.587,41.216,41.025,41.985,42.388,42.812,43.209,43.619,44.082,45.069,45.54,45.679,46.495,47.223,47.309,47.609,47.879,48.557,49.055,49.496,49.575,49.202,50.39,51.431,51.934,52.859,52.988,52.488,52.158,52.515,52.773,53.331,53.71,54.304,54.431,54.628,54.966,54.97,55.205,55.448,55.897,56.326,57.178,57.922,58.212,58.272,58.674,59.263,59.961,60.686,61.522,62,62.726,63.209,63.821,64.01,64.166,63.953,63.968,64.582,65.391,66.182,66.791,66.945,66.889,67.283,67.755,68.465,69.042,69.603,69.99,69.921,70.027,69.918,69.992,70.029,70.156,70.383,70.622,70.997,71.452,71.782,72.214,72.555,72.587,73.301,73.574,74.496,74.897,75.301,76.082,76.805,77.763,78.133,78.491,78.543,78.712,79.024,79.665,80.419,80.888,81.957,82.514,83.384,84.587,85.546,86.807,88.194,89.932,91.213,91.918,92.398,92.828,93.077,93.638,94.154,94.792,95.816,97.085,97.927,99.126,99.63,100.408,100.836,101.624,101.77,101.506,102.412,103.57,103.973,104.326,105.038,106.501,107.223,107.156,107.712,108.669,109.583,109.547,110.028,109.932,110.766,111.498
"26","18","      Transportation services","DTRSRA3",30.337,30.801,31.266,31.818,31.815,31.944,32.409,32.399,32.676,33.275,33.748,34.307,34.922,35.229,35.607,35.946,36.046,36.043,36.019,35.952,36.369,36.339,36.178,35.979,35.993,36.35,36.999,37.474,38.097,38.403,38.524,39.128,40.35,41.002,41.817,41.873,41.775,42.492,42.532,42.225,43.314,43.777,43.626,43.41,42.243,40.559,40.69,40.315,40.19,39.239,39.389,38.892,38.3,38.21,38.511,39.259,40.279,40.681,41.849,43.096,44.493,45.768,46.835,48.259,49.801,51.077,51.64,52.261,52.906,53.014,53.801,53.967,54.568,55.47,56.046,56.369,57.374,58.351,59.322,60.254,60.104,60.134,60.25,60.104,60.244,60.403,60.158,59.534,57.58,57.254,56.889,57.201,58.266,59.225,61.482,61.532,61.841,62.849,63.965,65.466,67.11,68.717,70.352,72.029,72.993,73.81,75.379,77,78.916,80.154,81.499,83.133,85.499,86.54,87.858,88.222,89.022,90.122,91.146,92.318,93.606,94.738,96.612,97.681,98.952,100,100.608,100.892,100.921,100.425,98.544,96.874,97.143,96.309,96.206,96.27,96.479,96.015,97.138,97.545,98.233,99.046,99.218,99.764,99.755,100.074,100.457,99.714,99.044,99.585,99.522,100.57,101.146,101.131,100.677,100.001,98.702,96.962,94.903,91.477,88.98,87.892,87.192,86.966,87.71,88.602,89.438
"27","19","      Recreation services","DRCARA3",17.543,17.848,17.653,17.843,18.255,18.287,18.411,18.454,18.554,18.805,18.969,19.588,19.563,19.79,20.089,20.51,21.209,21.641,21.764,22.142,22.405,22.841,23.402,23.978,24.134,24.009,24.399,24.863,25.125,25.594,26.445,26.956,26.838,27.337,27.979,28.55,28.689,28.756,29.274,29.356,29.946,30.27,30.618,30.894,31.162,30.928,31.369,32.383,32.882,33.992,34.814,34.832,35.282,35.534,35.946,36.377,37.334,38.521,39.433,40.077,40.591,41.02,41.699,42.377,43.238,44.092,44.741,45.596,45.839,46.028,46.489,47.531,47.835,48.171,48.708,49.616,51.076,52.662,54.026,55.026,55.885,56.396,56.847,56.935,58.028,59.028,59.243,59.565,58.479,58.194,58.385,59.12,61.199,61.878,62.633,63.954,64.863,65.804,67.28,67.46,68.124,69.26,70.54,71.053,72.76,74.659,75.794,76.986,77.194,78.008,79.203,79.364,80.135,80.703,81.029,81.863,82.87,82.944,83.977,84.725,85.476,86.85,88.742,89.768,89.72,90.513,90.665,90.469,91.197,90.267,89.781,89.716,90.323,90.466,90.708,91.726,91.513,92.77,94.144,95.487,97.09,98.093,98.595,98.783,99.764,99.813,99.917,100.506,101.721,102.221,103.467,105.647,106.141,107.174,108.305,108.317,108.226,107.887,106.654,105.697,105.83,105.065,103.883,103.61,103.584,103.498,104.744
"28","20","      Food services and accommodations","DFSARA3",38.805,39.647,39.367,39.594,40.467,40.915,40.974,40.511,40.091,40.38,40.775,41.445,42.783,43.412,44.21,44.71,46.033,45.608,46.151,46.057,45.34,45.584,45.448,45.794,46.23,47.321,47.278,48.912,49.72,50.027,50.824,50.615,52.729,51.926,51.064,50.845,52.061,53.52,54.694,55.044,55.72,54.888,55.091,56.295,55.78,55.06,55.19,56.064,56.623,56.455,55.787,55.447,55.394,56.256,56.833,57.309,57.828,57.964,58.725,58.699,59.641,59.348,60.349,60.332,60.482,61.078,60.742,60.561,61.674,62.296,62.534,63.38,64.569,65.353,65.621,67.327,67.374,68.915,70.626,71.592,71.293,71.128,71.765,72.017,73.644,74.249,74.768,73.732,73.139,74.552,74.423,74.464,76.344,74.72,75.216,77.854,77.141,77.639,78.353,77.957,77.937,78.919,79.531,79.639,79.083,79.215,79.324,79.171,79.185,79.582,79.697,80.418,81.213,81.188,82.051,81.483,82.392,83.41,83.726,84.897,84.612,85.124,85.468,87.476,88.902,89.685,90.002,89.712,90.381,89.504,89.021,88.894,90.197,90.899,91.071,91.222,91.875,93.263,95.028,95.661,96.338,96.355,96.893,97.805,98.326,99.84,100.36,101.474,103.684,102.548,102.542,103.632,103.585,104.535,105.294,106.305,104.881,105.256,104.33,102.471,101.319,100.368,100.009,100.15,101.838,102.476,103.351
"29","21","      Financial services and insurance","DIFSRA3",22.608,22.89,23.024,23.449,23.375,23.642,24.002,24.35,24.752,24.719,24.684,24.7,25.575,25.791,26.447,26.792,27.325,27.556,27.722,28.011,27.375,27.78,28.661,29.468,30.625,30.919,31.033,31.539,32.04,32.399,32.896,33.546,33.995,34.353,34.971,35.718,35.948,36.798,36.681,36.668,36.562,37.967,38.182,37.861,38.215,37.307,38.037,38.921,38.263,37.915,37.343,37.731,38.421,39.479,41.169,44.016,45.877,46.422,47.281,46.955,46.168,46.569,47.606,47.943,50.674,51.671,52.859,53.042,53.293,53.529,53.644,54.365,54.434,54.014,53.633,53.727,53.693,53.776,53.74,54.3,55.035,55.462,56.279,56.947,56.77,57.126,57.368,57.607,60.46,61.328,60.884,61.448,62.294,61.819,62.805,64.058,66.115,67.632,68.353,69.399,69.376,68.19,68.059,67.751,67.645,68.43,69.09,69.552,70.708,71.375,71.083,71.844,72.571,72.728,74.559,74.957,75.823,77.605,79.22,80.918,81.792,83.908,85.661,88.581,92.952,93.204,93.528,93.8,92.494,92.456,92.132,93.792,92.942,92.32,92.527,91.739,90.914,91.66,92.735,93.917,95.863,96.364,96.915,99.158,98.678,99.738,100.642,100.942,101.882,102.623,103.229,105.073,106.067,107.442,108.025,108.646,108.74,108.351,108.444,107.197,105.795,104.715,103.758,102.793,102.074,102.364,101.614
"30","22","      Other services","DOTSRA3",34.12,34.408,34.665,35.125,35.598,35.668,35.905,35.601,35.671,35.763,35.708,36.212,36.811,37.013,37.524,38.243,38.476,38.671,38.491,38.187,37.64,37.468,36.8,36.978,37.052,37.322,37.624,38.106,38.562,38.465,38.907,39.894,40.239,40.481,40.946,41.808,42.648,43.036,43.357,43.086,43.168,43.106,43.567,43.813,43.337,43.007,42.792,43.544,43.242,43.041,42.801,42.736,42.958,43.57,43.964,44.901,45.523,46.585,46.868,47.856,48.177,48.297,49.38,50.349,51.176,52.306,53.222,53.111,52.783,52.524,53.151,53.679,55.757,56.506,57.103,57.678,58.716,58.497,59.306,59.752,60.146,60.753,61.278,61.5,62.018,62.487,62.534,60.895,60.006,59.734,59.631,59.623,60.757,61.724,62.735,63.067,62.554,62.851,63.738,64.363,65.115,65.368,66.233,66.442,66.849,67.187,66.888,67.38,68.537,68.739,70.599,69.476,71.413,72.519,74.052,75.799,77.66,78.727,80.739,81.022,82.342,83.481,84.486,85.787,87.637,89.465,91.338,91.925,92.285,94.387,94.371,93.886,94.326,94.619,94.048,94.197,96.133,96.451,97.161,96.996,98.154,98.729,99.396,99.552,99.922,99.526,99.881,100.671,101.819,103.157,103.767,104.922,106.098,106.714,105.766,105.589,106.346,105.649,105.058,105.946,105.924,104.555,103.974,103.65,103.334,103.132,103.78
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",7.901,7.943,8.048,8.191,8.304,8.398,8.606,8.51,8.602,8.763,8.975,9.304,9.286,9.394,9.314,9.823,9.643,9.706,9.388,9.441,9.427,9.401,9.294,9.354,9.255,9.321,9.443,9.658,9.921,9.941,9.943,9.98,9.951,9.963,10.051,10.463,10.501,10.633,10.612,10.845,11.179,11.156,10.709,11.002,11.171,11.215,11.723,12.033,12.102,12.047,12.52,13.157,13.712,14.184,14.655,15.202,15.869,16.066,16.808,17.682,18.054,18.759,19.484,20.415,20.185,20.62,20.949,21.033,22.135,23.531,23.949,24.23,24.53,24.869,25.514,25.945,27.354,28.459,29.638,30.543,30.819,32.365,33.944,35.427,36.345,38.862,41.635,42.782,43.63,44.346,45.984,47.641,50.749,53.451,55.692,57.779,57.637,57.828,59.281,59.986,61.451,62.96,64.551,65.221,65.528,66.143,66.439,67.766,70.047,70.897,71.44,69.626,65.803,65.332,65.273,66.223,68.377,70.549,73.097,75.585,76.119,76.68,77.273,78.216,80.715,81.074,84.048,86.461,86.921,88.665,90.106,91.95,93.592,95.758,99.397,101.86,101.654,103,102.778,102.413,102.788,101.869,101.356,101.905,99.699,99.807,99.391,101.103,104.068,108.42,113.574,113.778,112.512,110.942,115.149,119.786,121.963,122.584,125.723,129.239,121.783,116.293,118.919,121.393,121.755,122.788,124.125
"32","24","      Gross output of nonprofit institutions \2\","DNPERA3",25.809,26.167,26.412,26.816,27.187,27.27,27.784,28.089,28.57,29.253,29.844,30.36,30.82,31.162,31.294,31.798,32.092,32.417,31.89,32.259,32.231,32.64,32.542,32.762,33.187,33.689,33.578,34.636,35.259,35.316,35.673,35.949,36.321,36.87,36.828,37.545,38.162,39.054,39.174,39.494,39.808,40.174,39.878,40.46,40.662,40.506,41.66,42.199,42.371,42.846,43.102,43.502,43.858,44.596,44.964,45.582,45.977,46.269,46.445,46.961,47.311,47.749,48.157,48.794,48.917,49.243,49.975,50.625,51.424,52.185,52.36,52.72,53.257,53.92,54.684,55.133,56.115,56.85,57.813,58.179,58.389,58.927,59.54,60.347,61.169,62.448,63.691,63.892,64.011,64.653,65.415,66.432,67.42,68.33,69.195,69.589,69.878,70.061,70.627,70.724,71.031,71.55,72.126,72.533,72.33,72.577,72.824,73.334,73.657,74.49,74.95,75.733,75.211,75.418,76.09,76.859,78.312,79.113,80.195,81.018,81.558,81.998,82.64,83.527,84.258,85.082,86.048,87.152,88.141,89.083,90.301,91.622,93.215,94.666,95.856,96.359,96.254,96.422,96.547,96.775,97.355,97.91,98.797,99.522,99.655,99.72,99.98,100.645,101.926,102.788,103.328,104.023,105.084,105.095,105.361,106.379,107.513,107.903,108.203,109.388,108.938,108.733,108.648,109.087,108.846,109.744,110.744
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",37.094,37.739,38.034,38.576,39.111,39.099,39.746,40.538,41.336,42.409,43.2,43.616,44.576,45.063,45.48,45.54,46.467,47.002,46.54,47.186,47.154,48.035,48.043,48.373,49.426,50.316,49.857,51.586,52.347,52.423,53.139,53.623,54.423,55.501,55.254,55.931,57.098,58.641,58.918,59.132,59.153,59.925,60.147,60.774,60.871,60.481,61.865,62.389,62.603,63.627,63.341,63.101,62.949,63.665,63.696,64.107,63.972,64.257,63.682,63.598,63.805,63.812,63.761,63.916,64.374,64.512,65.452,66.486,66.79,66.787,66.706,67.069,67.713,68.532,69.26,69.646,70.118,70.444,71.102,71.018,71.156,70.94,70.858,71.175,71.879,72.359,72.696,72.401,72.166,72.766,73.095,73.793,73.818,73.958,74.259,73.998,74.467,74.659,74.907,74.783,74.67,74.836,75.055,75.372,74.994,75.119,75.351,75.585,75.25,76.079,76.513,78.176,78.772,79.213,80.142,80.858,82.077,82.397,82.957,83.182,83.722,84.118,84.778,85.647,85.734,86.734,86.959,87.58,88.77,89.41,90.545,91.671,93.245,94.434,94.735,94.545,94.486,94.257,94.507,94.938,95.589,96.625,97.97,98.754,99.64,99.692,100.172,100.497,101.231,100.974,100.05,100.902,102.695,103.201,102.239,102.137,102.95,103.271,102.71,103.199,104.825,106.152,105.3,105.166,104.756,105.613,106.515
"34","26","Gross private domestic investment","B006RA3",23.602,23.414,23.955,22.665,21.956,22.024,22.401,21.103,23.844,24.582,24.906,24.127,25.833,27.414,27.804,27.948,29.723,31.113,29.896,31.04,29.059,28.915,27.284,27.543,22.705,21.917,23.773,24.426,26.956,28.105,28.158,28.353,29.748,32.047,33.794,32.84,33.491,35.791,36.895,37.735,37.729,37.642,36.909,36.222,35.959,32.715,30.221,33.294,36.603,34.86,37.024,35.588,31.88,31.852,31.48,28.677,29.698,32.564,34.754,38.413,42.434,43.865,44.884,44.148,42.692,43.429,42.949,44.629,44.537,43.548,42.183,42.249,43.539,43.6,43.644,47.048,44.397,45.477,45.769,46.375,48.152,47.59,47.03,46.548,47.006,47.019,45.912,43.009,41.258,41.05,42.072,43.683,42.712,45.525,45.996,47.452,48.567,48.948,48.914,51.495,53.717,56.847,55.825,58.428,59.022,57.435,56.882,58.483,59.254,62.323,65.466,65.288,66.812,71.078,72.342,73.497,77.005,76.084,78.264,80.781,83.324,83.033,85.118,88.138,86.908,92.924,91.471,91.512,86.671,86.393,84.571,79.696,82.373,83.36,83.533,83.473,83.469,83.955,87.002,90.22,90.691,94.63,95.857,97.833,99.911,98.124,99.205,102.761,104.258,104.098,102.643,99.712,98.798,101.054,100.309,97.874,95.494,93.629,90.563,80.735,70.41,66.901,68.8,73,77.811,82.474,84.986
"35","27","  Fixed investment","B007RA3",23.208,23.31,23.698,23.099,23.016,22.505,22.905,22.927,23.44,24.41,24.872,25.551,26.7,27.17,27.47,28.748,29.962,30.222,30.134,29.831,29.126,28.707,28.202,26.603,24.973,24.623,25.237,25.709,26.774,27.231,27.517,28.932,29.978,31.651,32.061,32.639,32.913,35.302,36.316,37.091,37.373,37.083,37.756,37.404,36.875,33.668,34,35.351,35.61,35.845,35.849,35.718,34.636,33.425,32.494,32.441,33.15,34.43,36.488,38.625,39.837,41.475,42.36,43.12,43.453,43.999,43.645,44.469,44.533,44.427,44.177,44.471,43.59,44.37,45.314,45.308,45.249,46.134,46.312,46.776,47.242,47.307,48.13,47.337,47.926,46.818,46.312,44.993,43.452,43.387,43.532,43.614,44.065,45.798,46.494,47.942,48.221,49.3,50.174,52.403,53.099,54.376,54.916,56.419,57.707,57.488,58.247,59.461,60.964,62.947,64.403,65.479,66.758,68.196,70.823,71.431,73.582,76.146,77.595,79.967,81.449,83.356,85.295,85.777,88.286,90.505,90.824,91.097,90.552,89.137,88.203,85.988,85.225,84.887,84.739,84.054,84.066,86.215,88.992,90.584,90.404,93.189,95.166,96.779,97.968,99.704,100.975,101.352,103.67,103.186,101.88,100.499,100.254,101.176,100.875,99.653,98.082,96.94,93.924,87.437,78.38,76.316,76.447,76.198,76.826,80.219,80.383
"36","28","    Nonresidential","B008RA3",19.781,19.995,20.535,20.412,20.293,20.182,20.285,19.53,19.708,20,20.08,20.51,21.199,21.55,21.887,23.031,24.107,25.092,25.513,25.713,25.685,25.628,25.329,24.621,23.111,22.507,22.714,22.925,23.339,23.624,24.141,24.622,25.578,26.317,26.868,27.767,28.042,30.407,31.493,32.532,33.239,33.14,34.172,34.258,34.634,32.876,33.124,33.82,34.365,35.058,35.912,36.776,35.906,34.622,33.453,32.78,32.167,32.56,34.032,36.236,37.417,39.278,40.571,41.55,42.033,42.631,41.979,42.7,42.113,41.059,40.459,40.874,39.75,40.703,42.014,41.916,42.238,43.277,43.504,43.962,44.705,45.341,46.64,45.952,46.562,45.758,46.05,45.17,44.004,43.582,43.17,42.942,42.749,44.445,45.343,46.707,47.004,48.255,48.793,50.841,51.347,52.384,53.366,55.729,58.007,58.41,58.801,59.984,61.473,63.24,65.345,67.112,68.825,70.533,74.129,74.725,77.309,80.139,81.347,84.031,85.98,88.39,90.931,91.216,94.608,98.098,99.182,99.566,98.619,96.029,94.445,91.453,89.315,87.869,87.417,85.771,85.385,87.682,89.679,90.845,90.124,92.555,95.095,97.197,98.086,99.516,100.919,101.479,105.759,107.643,108.811,109.44,111.257,114.234,116.829,118.45,119.026,118.533,115.899,108.673,97.501,95.618,95.216,94.879,96.677,100.592,102.957
"37","29","      Structures","B009RA3",72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.551,133.949,132.731,129.672,113.638,107.399,103.911,95.31,90.761,90.649,91.515
"38","30","      Equipment and software","B010RA3",11.415,11.558,11.741,11.678,11.624,11.592,11.66,11.053,11.23,11.514,11.612,12.029,12.486,12.773,13.074,14.036,14.805,15.491,15.701,15.977,15.999,15.979,16.086,15.496,14.462,14.177,14.335,14.535,14.729,15.029,15.451,15.894,16.853,17.27,17.682,18.504,18.792,20.26,20.686,21.275,22.045,21.78,22.277,21.986,22.17,20.678,20.868,21.203,21.772,21.973,22.494,22.292,21.895,21.059,20.675,20.298,20.229,21.269,22.506,24.441,24.916,26.147,27.029,27.895,27.733,28.373,28.028,28.584,28.376,28.784,28.67,29.024,28.17,29.015,29.816,29.428,30.345,31.146,31.594,32.124,32.68,33.541,34.404,33.759,34.067,33.274,33.651,33.434,32.503,32.461,32.985,33.021,32.984,34.829,35.691,37.013,37.702,39.101,39.627,41.628,42.796,43.133,44.245,46.734,48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,109.783,110.948,111.756,113.069,113.906,112.151,108.89,99.775,90.745,90.786,91.716,94.895,99.408,105.067,108.085
"39","31","        Information processing equipment and software","A679RA3",1.06,1.153,1.235,1.294,1.339,1.36,1.317,1.334,1.313,1.417,1.454,1.52,1.6,1.604,1.645,1.698,1.798,1.885,1.948,2.078,2.123,2.124,2.268,2.332,2.267,2.193,2.175,2.181,2.253,2.416,2.573,2.779,2.818,2.964,3.08,3.286,3.486,3.834,4.068,4.3,4.494,4.581,4.821,5.085,5.309,5.392,5.682,5.782,6.05,6.244,6.515,6.84,7.101,6.823,6.866,6.732,7.225,7.751,8.165,8.905,9.229,9.917,10.436,11.07,11.008,11.35,11.228,11.667,11.898,12.262,12.152,12.635,12.472,12.776,13.366,13.368,13.739,14.383,14.719,14.982,15.514,16.321,16.875,17.146,17.392,17.323,17.109,17.552,17.38,17.884,18.494,19.138,19.564,20.652,21.767,22.142,22.738,23.202,24.409,24.859,25.646,26.284,27.05,28.242,29.556,31.024,31.696,33.54,35.319,36.859,38.617,39.943,42.464,44.884,48.315,50.184,53.532,55.816,57.65,61.14,64.502,69.308,72.501,73.128,78.029,82.037,83.531,86.2,86.081,82.501,80.311,79.47,79.063,79.741,81.187,79.277,81.217,82.288,86.791,90.554,90.77,92.288,93.984,95.869,97.202,99.142,101.313,102.344,106.404,107.078,109.489,110.269,114.985,115.763,118.135,122.837,125.695,127.551,125.842,121.456,119.358,122.339,126.613,133.164,135.861,140.775,142.723
