"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"28","20","    Electrical transmission, distribution, and industrial apparatus","B276RG3",31.046,31.058,31.232,31.384,31.351,31.178,31.009,30.662,30.457,30.112,29.899,29.77,29.596,29.625,29.628,29.475,29.297,28.985,28.734,28.574,28.578,28.64,28.736,28.768,28.606,28.602,28.612,28.612,28.639,28.703,28.984,29.474,29.894,30.385,30.798,31.08,31.412,31.636,31.966,32.221,32.163,32.115,32.06,32.096,32.339,32.649,32.996,33.416,33.727,33.923,34.03,33.954,33.611,33.437,33.425,33.537,33.654,33.84,34.106,34.423,34.834,35.459,36.732,38.761,41.228,43.557,45.097,46.137,46.75,47.374,48.069,48.837,49.618,50.641,51.712,52.63,53,53.552,54.211,54.9,55.776,56.679,57.651,58.79,60.277,62.401,64.523,66.493,67.987,69.156,69.882,70.809,72.046,73.395,73.505,73.61,74.509,75.24,75.423,74.851,74.716,75.492,75.953,76.315,76.638,76.626,77.094,77.416,77.878,78.3,78.736,79.11,80.264,80.999,80.963,80.917,81.339,81.787,81.993,82.752,84.423,85.432,86.193,87.365,88.641,89.587,90.525,91.304,92.577,92.42,92.23,92.726,92.983,93.298,93.417,93.456,93.728,93.761,93.888,94.203,94.124,94.586,95.241,95.76,96.174,97.338,97.889,99.571,98.498,98.519,98.458,98.671,98.449,98.603,98.642,98.46,98.52,98.717,98.67,98.246,98.11,97.901,98.865,99.135,99.476,100.264,100.25,100.01,100.431,100.701,100.484,100.581,99.688,99.212,99.093,99.07,99.086,99.125,99.253,99.135,99.429,99.639,100.111,100.868,101.966,102.841,103.12
"29","21","  Transportation equipment","B681RG3",28.466,28.526,28.51,28.524,28.248,28.458,28.607,28.535,28.565,28.403,28.404,28.231,28.203,28.057,28.136,27.984,28.055,27.984,27.969,27.846,27.748,27.731,27.748,27.645,27.611,27.707,27.697,27.562,27.467,27.566,27.625,27.804,27.8,27.914,28.106,28.435,28.494,28.719,28.919,29.232,29.23,29.46,29.95,30.229,30.594,30.867,31.201,31.903,32.535,32.885,32.753,32.571,33.167,33.413,33.697,33.272,33.088,33.525,34.032,34.353,35.181,36.186,37.429,38.768,39.797,40.925,41.238,42.084,43.094,43.391,44.17,45.154,45.624,46.412,47.796,49.63,50.649,51.187,51.987,52.717,54.255,55.587,56.421,57.996,59.785,61.257,62.977,63.786,64.545,66.415,67.146,68.162,68.821,69.327,70.034,70.133,70.514,70.495,70.593,70.887,71.179,71.293,71.409,71.548,72.12,72.945,73.754,75.231,76.17,77.985,78.402,79.897,79.817,79.213,79.249,79.105,79.158,79.92,80.951,82.221,82.206,82.936,83.413,85.031,85.29,85.587,86.408,88.177,89.774,90.19,90.82,92.179,93.191,93.441,92.83,93.066,93.969,93.928,93.863,94.339,96.308,97.255,97.301,95.918,95.417,95.89,96.688,97.09,96.948,97.977,98.832,99.018,98.996,99.374,100.569,100.067,99.119,98.742,98.941,99.427,100.548,100.6,99.305,99.434,99.66,99.793,100.463,100.083,98.187,98.477,100.469,99.71,100.149,100.676,99.165,100.953,101.906,100.741,103.945,109.063,109.359,109.969,109.002,109.839,110.053,109.319,108.922
"30","22","    Trucks, buses, and truck trailers","B279RG3",23.696,23.807,23.818,23.644,23.195,23.141,23.191,23.149,23.09,23.164,23.19,23.25,23.184,23.079,23.06,23.04,22.905,22.851,22.812,22.803,22.773,22.714,22.767,22.791,22.849,23.03,23.203,23.286,23.093,23.064,23.191,23.361,23.434,23.54,23.692,24.019,24.169,24.236,24.407,24.52,24.634,24.832,25.16,25.355,25.676,26.049,26.284,26.628,27.315,27.984,28.257,28.308,28.743,28.927,29.099,28.912,28.584,29.11,29.601,29.821,30.579,31.463,32.563,34.083,35.295,35.999,36.477,37.302,38.008,38.81,39.966,40.996,41.859,42.732,43.905,45.365,46.154,46.885,48.055,48.254,49.739,51.39,51.533,52.735,54.198,55.185,57.418,59.453,61.393,63.623,64.804,66.528,66.033,67.486,68.973,69.499,69.801,69.178,69.68,70.839,71.578,72.606,72.733,72.405,72.716,73.129,73.077,75.476,76.349,77.484,75.955,77.788,77.286,76.794,76.442,75.917,76.777,77.484,78.261,80.58,80.918,81.48,81.328,83.044,81.963,82.533,83.45,85.437,86.24,85.727,86.809,89.883,90.261,91.118,90.349,91.878,93.538,93.848,94.172,94.704,96.855,98.165,98.571,97.021,97.541,98.142,98.719,98.913,98.755,99.414,99.71,99.458,99.653,99.695,100.534,99.444,98.108,97.669,98.247,99.67,100.86,101.391,100.046,100.158,99.897,99.776,100.356,99.971,96.638,96.471,99.602,97.039,97.626,98.477,95.63,97.221,99.635,97.05,100.412,106.453,106.133,106.755,105.297,106.376,105.69,104.66,104.715
"31","23","      Light trucks (including utility vehicles)","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.303,77.271,77.452,76.087,77.68,78.813,80.197,80.761,81.681,82.245,81.928,85.086,82.811,83.202,85.121,87.169,89.513,88.629,90.624,94.489,96.346,96.354,94.001,95.318,98.679,98.699,98.105,98.336,102.062,104.092,104.114,100.605,99.512,99.571,100.214,100.345,99.978,101.189,102.17,102.326,102.17,102.229,103.373,102.011,99.838,98.458,98.957,100.638,102.418,103.054,100.661,100.703,100.095,99.889,100.525,99.491,94.87,94.716,99.204,95.352,96.145,97.256,92.506,94.643,98.126,94.601,99.639,108.654,107.737,108.074,105.469,106.231,104.522,102.2,101.554
"32","24","      Other trucks, buses, and truck trailers","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.206,74.402,73.721,73.687,74.115,74.532,74.885,78.312,78.243,78.771,78.708,79.533,79.207,79.877,80.107,81.994,81.687,81.47,81.84,84.32,83.837,85.229,85.369,86.949,87.569,88.015,88.905,89.629,90.565,91.224,91.961,92.286,94.294,95.404,95.939,96.241,96.46,96.444,95.782,94.824,95.535,95.487,95.711,95.121,95.287,96.447,97.155,98.189,98.443,98.798,99.049,99.264,99.55,99.57,100.067,100.813,99.796,99.615,100.181,100.18,100.386,100.826,101.031,101.782,102.258,101.736,101.724,102.168,102.938,104.086,104.796,106.468,107.622,109.065,110.621
"33","25","    Autos","B280RG3",50.367,50.386,50.23,50.371,49.775,50.56,50.899,50.687,50.832,50.064,49.89,49.012,48.984,48.518,48.7,47.886,48.315,48.056,48.118,47.666,47.367,47.427,47.45,46.819,46.461,46.461,46.057,45.209,45.09,45.485,45.31,45.61,45.05,45.079,45.381,46.078,45.689,46.342,46.684,47.616,46.956,47.17,48.308,48.505,48.859,48.639,49.135,51.293,52.402,52.266,50.911,49.847,51.099,51.364,51.695,49.69,49.309,49.749,50.562,50.916,52.03,53.045,54.226,54.73,54.615,56.749,56.296,57.301,58.888,57.787,57.886,58.949,58.635,59.341,61.496,64.823,66.805,66.709,66.843,68.244,70.19,70.864,72.553,75.345,77.9,79.855,81.107,79.123,77.478,79.655,78.965,78.517,77.983,77.688,77.811,77.14,77.436,77.62,77.082,76.459,76.269,75.353,75.257,75.705,76.771,78.378,80.513,81.349,82.772,86.08,88.758,90.767,90.709,89.676,90.175,90.505,89.518,90.016,91.489,91.863,90.806,91.71,92.841,94.743,95.68,95.511,95.904,98.242,100.919,101.629,101.724,102.614,103.962,103.315,102.176,101.124,101.449,100.579,99.811,99.939,102.354,102.984,102.402,100.419,97.411,97.18,98.116,98.569,98.18,100.117,101.995,102.789,102.202,103.841,106.6,106.882,106.063,105.261,104.843,103.465,105.376,103.909,101.019,100.497,100.82,100.546,100.529,98.105,95.777,96.332,97.095,98.414,99.33,99.453,98.455,101.308,99.548,98.827,102.476,109.588,110.956,111.152,107.409,106.452,108.088,106.931,103.667
"34","26","    Aircraft","B281RG3",16.933,17.022,17.09,17.189,17.158,17.106,17.151,17.115,17.203,17.217,17.36,17.419,17.487,17.604,17.9,18.471,18.662,18.872,18.678,18.515,18.305,18.244,18.201,18.344,18.547,18.687,18.74,18.753,18.764,18.817,18.959,19.153,19.412,19.608,19.752,19.852,20.032,20.148,20.288,20.418,20.572,20.772,21.029,21.445,21.749,22.119,22.418,22.726,22.98,23.219,23.282,23.427,23.573,23.51,23.69,24.102,24.239,24.369,24.698,25.131,25.983,27.061,27.815,28.3,28.6,28.816,29.347,30.188,31.409,32.525,33.456,34.18,34.468,34.856,35.715,36.92,37.037,37.71,38.567,39.477,40.613,41.808,43.117,44.414,45.67,47.067,48.291,49.401,50.441,51.502,52.734,54.179,57.037,57.617,58.114,58.72,59.254,59.461,59.751,60.074,60.402,60.722,61.067,61.478,61.862,62.162,62.627,63.281,63.54,64.275,64.374,64.582,65.292,65.232,65.401,65.313,65.141,66.495,67.199,67.786,68.69,69.151,69.783,70.803,72.414,73.095,74.664,75.512,76.742,77.957,79.02,79.064,80.776,81.576,81.862,82.101,82.916,83.391,83.434,84.295,85.051,85.688,86.655,87.001,88.047,89.255,90.407,91.399,91.695,92.307,93.346,94.012,94.095,94.141,94.341,94.237,94.25,94.457,94.278,94.521,94.942,95.351,95.39,96.342,97.804,99.127,100.77,102.299,103.619,104.679,106.182,106.437,106.042,106.226,107.167,108.272,108.822,110.484,113.445,114.284,114.71,115.409,119.569,121.503,122.786,123.604,124.916
"35","27","    Ships and boats","B282RG3",17.513,17.443,17.408,17.464,17.741,17.975,18.253,18.256,18.158,18.026,18.019,18.073,17.961,18.034,18.167,18.371,18.37,18.385,18.386,18.483,18.557,18.622,18.668,18.906,18.872,18.896,18.886,19.036,19.139,19.353,19.469,19.549,19.728,19.772,19.977,20.312,20.434,20.609,20.805,21.059,21.261,21.605,21.905,22.207,22.559,22.874,23.162,23.524,23.784,23.929,24.186,24.511,24.777,25.062,25.379,25.705,26.16,26.856,27.105,27.632,28.226,29.619,31.682,32.995,33.831,34.156,34.132,34.719,35.349,35.794,36.383,37.207,37.668,38.173,39.239,40.327,40.859,41.638,42.446,43.235,44.163,45.645,46.634,47.534,48.89,49.924,50.804,51.892,53.066,54.202,55.886,57.699,62.46,61.609,61.601,61.589,61.905,63.792,64.43,64.793,65.81,65.159,66.399,68.23,67.588,68.586,68.637,68.708,70.483,70.635,71.12,71.174,72.218,72.532,72.303,72.043,72.98,73.34,74.173,75.624,76.085,76.51,77.553,78.637,79.415,79.901,80.431,80.923,81.755,82.151,82.597,82.701,83.361,83.846,84.055,84.562,85.421,86.533,87.404,87.93,88.871,89.612,88.178,89.128,89.722,90.155,90.538,91.234,91.632,92.148,92.979,94.126,94.396,94.64,95.093,95.479,95.732,96.152,96.37,96.427,96.92,97.148,97.361,98.041,98.941,99.206,100.477,101.376,101.874,102.335,102.715,103.41,103.929,104.649,106.044,106.711,108.663,109.243,109.886,111.52,112.962,114.069,114.403,114.885,115.898,116.857,118.416
"36","28","    Railroad equipment","B283RG3",19.691,19.759,19.879,20.039,20.202,20.349,20.462,20.485,20.569,20.675,20.782,20.84,20.83,20.73,20.672,20.634,20.689,20.721,20.733,20.723,20.752,20.742,20.691,20.681,20.699,20.718,20.719,20.73,20.775,20.817,20.818,20.817,20.893,20.993,21.133,21.254,21.375,21.555,21.646,21.828,22.121,22.394,22.667,23.08,23.616,24.038,24.257,24.303,24.256,24.35,24.686,25.053,25.62,26.364,27.072,27.693,27.867,28.046,28.279,28.546,29.013,29.963,31.926,34.823,38.117,40.491,42.125,42.947,43.676,44.521,45.48,46.488,47.94,49.532,50.463,50.845,51.86,52.987,53.877,55.02,56.49,57.843,58.695,59.84,62.012,64.099,65.893,67.459,69.115,70.615,71.883,72.731,73.41,73.615,74.09,74.566,74.615,75.34,76.177,76.264,75.956,75.933,76.254,76.277,76.981,77.227,77.275,77.134,77.263,76.677,76.579,76.592,76.761,75.966,76.21,76.568,77.069,78.673,79.832,80.789,82.469,84.441,84.919,85.799,86.334,86.499,87.237,88.184,88.68,88.944,89.204,88.772,89.061,89.276,89.201,88.877,88.57,89.065,90.065,91.158,91.635,92.352,92.963,93.728,95.704,97.424,99.245,100.415,100.798,100.918,100.701,100.15,100.593,98.323,98.235,98.715,98.98,99.749,99.836,99.21,99.063,99.297,100.03,99.72,99.795,99.998,100.084,100.124,100.166,100.042,99.491,99.493,99.527,100.064,100.036,99.802,100.475,101.247,101.771,101.992,104.073,106.591,106.76,110.318,116.266,118.896,119.388
"37","29","  Other equipment","B682RG3",20.175,20.265,20.352,20.378,20.386,20.53,20.571,20.598,20.535,20.525,20.57,20.563,20.663,20.682,20.695,20.652,20.738,20.742,20.829,20.922,21.003,21.084,21.162,21.144,21.231,21.317,21.376,21.443,21.572,21.734,21.858,22.094,22.243,22.349,22.504,22.704,22.88,23.044,23.362,23.651,23.8,24.084,24.293,24.516,24.784,25.04,25.234,25.572,25.927,26.149,26.289,26.306,26.667,26.955,26.996,27.053,27.278,27.68,28.061,28.381,28.978,29.995,31.863,33.844,35.363,36.336,36.923,37.614,38.299,38.969,39.587,40.328,41.246,42.011,42.844,43.699,44.432,45.475,46.474,47.451,48.34,49.423,50.755,51.968,53.741,55.329,56.899,58.369,59.959,61.536,62.984,64.304,65.545,66.152,66.582,67.102,67.557,67.808,67.806,68.202,68.599,69.095,69.43,69.465,69.809,70.178,70.805,71.194,71.714,72.399,73.011,73.379,74.036,74.556,74.982,75.815,76.891,77.669,78.294,79.326,80.069,80.606,81.416,82.087,83.02,83.548,84.459,85.316,85.95,86.157,86.602,87.003,87.464,87.919,88.471,88.73,89.144,89.647,90.027,90.389,90.963,91.698,92.296,92.713,93.296,94.037,94.623,95.277,95.693,96.004,96.372,96.856,97.249,97.409,97.409,97.808,98.016,98.183,98.435,98.571,98.868,99.156,99.33,99.562,99.748,99.87,100.082,100.3,100.809,101.03,101.194,101.611,101.668,101.761,102.232,102.547,102.94,103.264,103.517,103.84,104.329,105.114,106.105,107.026,108.286,109.157,109.737
"38","30","    Furniture and fixtures","B667RG3",22.705,22.726,22.785,22.699,22.835,22.891,22.8,22.739,22.789,22.742,22.653,22.639,22.692,22.669,22.706,22.84,22.684,22.6,22.661,22.817,22.92,22.99,23.028,22.978,23.049,23.079,23.052,23.19,23.282,23.453,23.595,23.84,24.132,24.35,24.556,24.689,24.962,25.212,25.491,25.777,26.077,26.503,26.845,27.224,27.499,27.643,27.917,28.149,28.452,28.787,28.951,29.108,29.269,29.421,29.521,29.89,30.342,31.007,31.942,32.448,33.396,34.686,36.697,38.754,39.408,39.361,39.517,39.993,40.481,41.107,41.781,42.669,43.623,44.536,45.566,46.485,47.703,49.195,50.027,50.505,51.998,53.274,53.719,54.311,55.323,56.296,57.387,58.721,59.754,60.601,61.407,62.336,63.088,64.027,64.46,64.573,65.408,65.747,66.084,66.485,67.13,67.682,68.013,68.382,69.091,69.85,70.808,71.224,71.868,72.577,72.855,73.503,74.183,74.686,75.171,75.845,77.486,78.684,79.878,80.483,81.013,81.609,82.75,83.193,84.206,84.931,85.455,86.273,86.825,86.851,87.186,86.999,87.528,87.687,88.079,88.125,88.547,89.117,89.58,89.754,90.527,92.149,92.862,93.072,93.551,94.514,95.231,96.183,96.654,96.688,96.903,97.78,98.065,98.496,98.646,98.847,99.032,99.051,98.939,98.894,98.926,99.086,99.484,99.584,99.683,99.795,100.127,100.396,101.007,101.214,101.241,101.55,101.714,101.378,102.33,102.981,103.274,103.608,103.766,103.936,104.295,105.126,106.232,107.553,109.22,110.043,110.226
"39","31","      Household furniture","BA15RG3",24.137,24.067,24.386,24.086,24.061,24.226,24.242,24.494,24.525,24.65,24.611,24.899,24.732,24.717,24.696,25.224,25.01,24.985,25.119,25.231,25.232,25.247,25.394,25.174,25.334,25.341,25.282,25.457,25.733,26.023,26.239,26.438,26.66,26.871,26.958,27.29,27.551,27.711,28.189,28.45,28.747,29.017,29.4,29.682,29.875,30.122,30.256,30.4,30.566,30.903,31.095,31.304,31.384,31.599,31.799,32.104,32.287,32.799,33.48,34.086,34.807,35.809,37.103,38.341,39.302,39.579,39.536,39.882,40.435,40.909,41.47,42.363,43.197,43.988,44.612,44.784,45.501,46.444,47.577,48.646,49.463,50.367,51.418,52.344,54.17,55.86,57.4,58.611,59.511,60.336,61.492,62.516,64.499,65.247,65.373,65.653,65.779,66.156,66.88,67.293,67.743,68.341,68.724,69.266,69.683,70.523,70.936,71.265,72.072,72.169,72.77,73.359,74.796,75.006,75.19,74.843,77.329,78.007,78.461,79.355,79.716,80.506,81.24,82.106,82.227,83.166,83.964,84.756,85.074,85.439,85.903,86.725,87.226,87.472,87.889,87.963,88.476,89.196,89.675,90.585,91.023,91.703,92.099,92.776,93.248,94.157,94.722,95.428,95.96,96.336,96.78,97.288,97.649,98.075,98.443,98.635,98.84,99.082,98.932,99.008,99.181,99.123,99.348,99.547,99.611,99.734,100.15,100.496,100.753,100.843,100.732,101.071,101.353,101.436,101.787,102.271,102.595,103.043,103.305,103.364,103.889,104.893,105.62,106.778,108.185,108.556,108.831
"40","32","      Other furniture","BA16RG3",21.983,22.031,22.069,22.012,22.145,22.183,22.078,21.982,22.028,21.961,21.865,21.817,21.894,21.856,21.876,21.944,21.745,21.64,21.689,21.851,22.003,22.098,22.146,22.126,22.193,22.231,22.212,22.346,22.414,22.577,22.721,22.979,23.304,23.533,23.753,23.868,24.116,24.366,24.617,24.908,25.222,25.673,26.017,26.415,26.712,26.841,27.135,27.373,27.692,27.998,28.122,28.226,28.336,28.451,28.53,28.929,29.513,30.248,31.266,31.782,32.758,34.112,36.258,38.459,39.116,39.028,39.199,39.657,40.024,40.631,41.306,42.205,43.248,44.268,45.477,46.656,48.213,49.962,50.875,51.328,52.785,54.077,54.412,54.944,55.9,56.798,57.844,59.186,60.274,61.041,61.663,62.368,62.608,63.323,63.639,63.687,64.688,65.077,65.436,65.865,66.503,67.042,67.382,67.76,68.516,69.275,70.28,70.718,71.349,72.088,72.329,73.026,73.687,74.237,74.686,75.355,76.518,77.571,78.817,79.503,80.73,81.788,83.034,83.73,84.375,84.749,84.919,85.56,86.06,85.965,86.263,85.914,86.253,86.441,86.82,86.99,87.582,88.224,88.697,88.926,89.639,91.315,92.063,92.324,92.836,93.813,94.589,95.63,96.228,96.305,96.615,97.524,97.627,98.143,98.341,98.592,98.76,98.856,98.756,98.762,98.835,99.027,99.483,99.596,99.685,99.794,100.118,100.386,101.023,101.238,101.274,101.581,101.736,101.367,102.367,103.032,103.321,103.646,103.796,103.975,104.321,105.138,106.274,107.607,109.295,110.153,110.329
"41","33","    Agricultural machinery","B268RG3",16.289,16.318,16.402,16.39,16.42,16.689,16.757,16.745,16.795,16.892,16.981,17.085,17.21,17.279,17.407,17.428,17.516,17.59,17.695,17.664,17.799,17.831,17.984,18.091,18.146,18.399,18.489,18.588,18.802,18.958,19.001,19.212,19.446,19.524,19.72,19.931,19.893,19.923,20.32,20.689,20.786,21.01,21.113,21.305,21.533,21.75,21.895,22.306,22.854,22.929,22.935,22.744,23.669,24.35,23.921,23.729,24.046,24.526,24.837,25.177,25.674,26.749,28.796,30.649,31.866,32.713,33.072,33.65,34.469,35.205,35.789,36.516,37.407,38.001,38.686,39.356,40.118,40.847,41.95,42.99,43.319,44.652,46.704,47.976,50.293,51.728,53.08,53.944,55.899,57.712,59.953,61.278,62.694,63.469,64.64,66.129,66.374,67.033,66.981,67.677,68.368,68.566,69.145,68.852,68.788,68.98,68.845,69.333,70.124,71.469,72.306,72.285,72.426,72.738,73.292,73.684,74.65,74.991,74.697,76.508,77.225,77.928,78.741,79.429,80.174,80.38,81.464,82.569,83.598,84.087,84.698,85.685,87.071,87.702,88.366,88.895,89.086,89.767,90.118,90.842,91.543,92.058,92.635,93.097,93.362,94.085,94.696,95.478,96.164,96.356,96.675,97.047,97.368,97.233,97.377,97.915,98,98.113,98.493,98.876,99.114,99.421,99.474,99.725,99.923,99.938,100.064,100.076,100.6,100.923,101.038,101.66,101.907,102.134,102.478,102.675,103.254,103.599,104.517,104.969,105.978,106.865,107.76,108.993,111.07,111.968,112.476
"42","34","      Farm tractors","BA17RG3",15.576,15.728,15.866,15.781,15.672,15.795,16.001,16.159,16.27,16.353,16.357,16.325,16.553,16.76,16.843,16.746,16.893,16.965,16.956,17.089,17.195,17.268,17.386,17.426,17.382,17.379,17.597,17.807,17.886,18.098,18.244,18.28,18.589,18.655,18.793,18.844,19.169,19.237,19.567,19.866,19.902,20.313,20.444,20.73,20.982,21.1,21.128,21.539,21.807,22.027,22.319,22.1,22.594,22.931,23.193,23.122,23.106,23.468,23.645,23.898,24.404,25.459,27.802,29.58,30.898,31.616,31.795,32.617,33.482,34.273,34.827,35.155,36.261,36.76,37.244,37.987,38.806,39.818,40.967,41.762,42.145,43.122,44.687,46.791,48.522,50.267,51.52,53.102,54.153,56.755,59.061,61.929,64.409,63.927,63.613,64.432,65.84,65.898,65.836,66.088,66.507,67.818,67.415,66.341,65.912,65.737,65.585,65.723,67.678,70.18,72.958,72.127,72.249,72.509,72.394,73.803,74.768,75.092,74.182,76.752,77.64,78.028,78.655,79.641,80.637,80.348,81.842,84.014,85.544,85.565,85.91,87.414,90.461,91.911,93.447,93.383,92.123,92.62,92.831,93.688,95.219,95.385,96.03,96.787,97.092,97.594,97.583,98.233,98.825,98.901,99.112,99.531,98.745,97.984,97.655,98.863,98.678,98.866,99.191,99.731,99.78,99.82,99.707,100.063,100.189,100.06,100.028,99.704,100.103,100.041,99.922,100.186,100.117,100.301,100.275,100.264,100.831,101.377,102.471,102.968,104.156,104.73,105.39,105.954,107.87,108.821,108.939
"43","35","      Other agricultural machinery","W213RG3",17.087,17.201,17.287,17.19,17.351,17.571,17.686,17.811,17.822,17.909,17.958,17.996,18.13,18.168,18.311,18.397,18.51,18.567,18.672,18.683,18.706,18.746,18.851,18.927,19.201,19.42,19.563,19.697,19.864,20.039,20.146,20.339,20.598,20.733,20.915,21.078,20.99,21.076,21.296,21.623,21.942,22.23,22.488,22.727,22.857,22.98,23.075,23.459,24.124,24.232,24.302,24.132,25.508,26.258,25.108,24.799,25.318,25.967,26.379,26.938,27.323,28.404,30.466,32.356,33.578,34.503,34.963,35.496,36.334,37.097,37.838,38.708,40.03,40.687,41.15,41.411,41.126,41.312,42.189,43.394,44.576,46.532,49.075,50.409,53.099,54.49,55.83,56.639,58.752,60.07,62.032,62.444,63.336,64.57,66.327,68.002,67.434,68.254,68.13,69.107,70.19,69.716,70.885,70.902,70.575,70.761,70.506,71.117,71.46,72.49,72.679,72.754,72.65,72.933,73.575,73.831,74.558,74.983,75.344,76.358,77.285,78.129,78.789,79.501,80.18,80.602,81.374,81.856,82.683,83.182,83.835,84.531,85.438,86.049,86.718,86.826,86.983,87.692,88.36,89.167,89.855,90.537,91.242,91.926,91.983,92.891,93.596,94.447,95.265,95.386,95.773,96.228,96.912,96.83,96.913,97.227,97.536,97.665,98.111,98.436,98.802,99.305,99.378,99.547,99.803,99.882,100.084,100.273,100.869,101.384,101.606,102.387,102.798,103.053,103.601,103.918,104.486,104.729,105.557,105.984,106.902,107.951,108.966,110.534,112.693,113.562,114.281
"44","36","    Construction machinery","B269RG3",14.727,14.914,14.985,15.05,15.066,15.275,15.426,15.429,15.504,15.509,15.497,15.536,15.502,15.56,15.574,15.637,15.693,15.757,15.909,16.005,16.215,16.276,16.322,16.413,16.501,16.599,16.691,16.802,16.9,17.047,17.231,17.286,17.51,17.59,17.732,17.921,18.27,18.475,18.802,19.104,19.197,19.492,19.657,19.887,20.16,20.436,20.583,20.913,21.263,21.639,21.928,21.935,22.224,22.414,22.708,22.819,22.9,23.175,23.509,23.776,24.195,24.908,26.644,28.628,30.688,32.152,33.124,33.86,34.3,34.801,35.417,36.338,37.564,38.798,39.941,41.005,41.514,42.439,43.361,44.54,45.645,46.681,47.798,49.125,50.599,52.321,53.94,55.308,56.861,58.36,59.585,60.512,61.162,62.12,62.549,62.749,63.023,63.229,63.329,63.498,63.282,63.808,63.598,63.397,64.153,63.863,64.456,64.885,65.49,65.984,67.019,67.816,68.961,70.318,70.638,72.005,74.01,74.573,74.22,75.205,76.436,76.723,77.454,78.137,79.491,80.05,81.283,82.042,82.247,82.512,83.13,83.809,83.803,84.411,85.559,86.011,86.889,86.907,86.993,87.455,88.467,88.874,89.351,89.882,90.812,91.662,92.094,92.448,92.894,93.435,93.928,94.377,94.841,95.149,95.304,95.814,96.268,96.607,97.184,97.589,98.518,99.318,99.513,99.686,99.77,99.834,100.091,100.304,100.311,100.451,100.828,101.413,101.331,101.713,102.014,102.342,103.235,103.582,103.584,104.22,104.962,105.993,107.493,108.023,109.16,110.744,112.25
