"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96"
"36","28","  Merchant wholesale industries","PK42W3",103.737,103.489,103.664,103.021,102.586,101.994,101.531,101.82,101.536,101.579,101.202,100.971,99.823,99.477,99.128,98.665,98.308,97.734,97.629,96.416,96.023,96.299,95.986,95.485,95.706,95.139,95.512,96.211,96.26,96.312,96.404,97.145,97.511,97.428,97.879,98.591,98.788,99.832,100.503,99.707,100.04,100.295,99.929,99.335,100.138,100.336,100.684,100.398,100.356,99.962,99.604,99.545,99.658,99.185,98.3,98.386,98.579,96.888,96.443,96.114,96.189,96.409,97.304,97.34,97.233,97.24,97.954,98.413,98.812,99.446,98.841,98.999,100.23,101.842,102.253,100.08,99.529,99.823,99.885,100.456,100.438,101.277,101.902,103.023,103.661,104.014,104.584,105.341,106.017,105.382,106.407,106.648,106.755
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.228,110.067,110.055,109.788,109.218,109.056,108.712,108.501,108.12,107.8,107.556,107.251,106.521,106.017,105.658,105.099,104.629,104.115,103.728,102.913,102.611,102.196,101.892,101.504,101.093,101.013,100.717,100.515,100.456,100.425,100.423,100.332,100.282,100.444,100.615,100.715,100.777,100.655,100.596,100.54,100.378,100.23,100.158,99.603,99.579,99.408,99.149,98.961,98.283,97.872,97.672,97.551,97.481,97.377,97.155,96.797,96.727,96.196,96.017,95.822,95.734,95.759,95.756,95.73,95.781,95.996,95.82,95.65,95.797,95.909,95.701,95.555,95.66,95.665,95.865,95.495,95.544,95.502,95.448,95.551,95.829,96.204,96.506,96.741,97.324,97.974,98.462,98.796,98.905,99.125,100.345,100.867,100.809
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.871,100.697,100.762,100.535,100.056,100.121,99.36,99.57,99.702,99.325,99.001,98.738,98.759,98.875,98.899,98.761,98.476,98.257,98.819,98.73,99.019,99.436,99.642,99.385,99.067,99.14,98.879,99.148,99.425,99.273,99.196,99.358,99.568,100.325,99.945,99.912,99.762,99.563,99.673,99.672,100.289,99.928,100.055,99.911,100.283,99.916,100.385,100.575,100.433,99.294,99.614,100.07,99.429,99.462,100.219,100.044,100.44,98.557,98.662,99.063,98.617,98.947,98.484,98.307,98.187,98.558,97.546,97.141,97.551,97.998,97.417,96.95,97.337,97.459,98.934,96.932,97.206,96.989,97.01,97.111,96.633,97.535,97.122,96.675,96.97,96.881,97.136,96.96,97.627,98.169,98.275,97.529,97.947
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.626,97.679,97.771,97.423,97.675,97.671,98.027,97.977,98.042,98.131,98.254,98.283,98.282,98.411,98.503,98.407,98.631,98.473,98.305,98.353,98.297,98.437,98.548,98.567,98.373,98.258,98.511,98.426,98.527,98.837,98.727,98.82,98.846,99.046,99.082,99.045,99.129,99.397,99.621,99.707,99.707,100.045,99.986,100.404,100.231,100.527,100.462,100.758,100.642,100.901,100.591,101.002,100.819,100.664,100.951,100.617,100.485,100.917,100.779,100.729,101.068,100.934,100.828,100.93,100.719,101.074,101.429,101.458,101.611,101.642,101.877,101.488,101.634,101.656,101.783,102.035,102.167,102.615,102.628,102.634,102.353,102.582,103.175,102.442,102.06,102.285,101.486,102.108,102.713,103.537,103.866,104.479,104.369
"40","32","      Lumber and other construction materials wholesalers","PK42133",99.915,101.158,101.426,102.228,102.933,101.798,102.042,101.572,100.592,99.213,99.501,99.312,98.67,99.012,99.135,99.161,98.237,96.708,97.513,97.92,96.934,96.376,96.077,96.753,97.703,98.843,99.898,99.984,100.817,102.378,104.533,103.28,101.793,100.333,100.767,101.27,101.842,101.821,102.19,101.848,100.583,100.423,99.698,98.857,98.153,98.369,98.071,98.132,97.65,98.051,98.464,98.83,101.558,102.799,100.962,100.825,100.15,98.787,98.218,97.622,98.596,99.321,100.178,100.123,100.089,99.519,99.662,100.047,99.58,99.108,98.85,98.621,98.863,99.727,99.828,100.001,100.217,100.532,101.592,101.578,103.564,102.78,103.035,103.281,104.017,105.992,107.97,110.172,112.674,112.076,112.218,115.208,115.589
"41","33","      Professional and commercial equipment wholesalers","PK42143",156.351,154.622,153.34,152.246,148.616,147.345,145.784,143.665,142.292,140.656,139.002,138.018,135.011,132.143,130.542,127.769,125.961,124.898,123.347,119.936,118.95,117.135,115.969,114.355,112.827,111.516,110.422,109.158,108.301,107.356,106.324,105.492,104.926,104.026,103.774,103.288,102.929,102.203,101.644,101.108,100.68,100.098,100.23,99.028,98.841,98.349,97.726,97.178,94.268,93.146,91.932,91.878,91.284,91.13,90.417,89.091,88.603,87.875,87.122,86.603,86.205,85.624,85.393,84.804,84.742,84.373,83.793,83.271,83.059,82.567,82.219,81.985,81.632,80.627,80.411,80.442,80.135,79.946,79.581,79.265,79.373,79.349,79.202,78.868,78.835,78.766,78.782,78.605,78.535,78.002,77.987,77.547,77.248
"42","34","        Computers and software wholesalers","PK42433",217.557,213.658,209.987,206.756,198.439,195.486,191.952,187.157,183.916,180.196,176.589,174.183,168.283,162.092,158.707,153.432,149.971,147.892,144.814,138.082,136.112,132.55,130.13,127.13,124.354,122.017,119.808,117.301,115.689,113.999,112.018,110.351,109.4,107.807,107.2,106.324,105.63,104.354,103.22,102.224,101.402,100.249,100.304,98.098,97.409,96.405,95.622,94.471,89.245,87.528,85.199,84.945,83.746,83.397,82.01,79.45,78.318,76.903,75.6,74.5,73.809,72.585,72.25,71.402,71.234,70.455,69.369,68.295,67.823,66.903,66.117,65.648,64.555,63.164,62.539,62.443,61.998,61.525,60.832,60.236,60.265,59.809,59.427,58.817,58.431,58.316,58.007,57.655,57.313,56.597,56.389,55.736,55.14
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.442,98.105,98.325,98.611,98.523,98.449,98.388,98.41,98.545,98.605,98.601,98.827,98.473,98.662,98.755,98.532,98.446,98.465,98.515,98.585,98.63,98.677,98.855,98.733,98.629,98.551,98.819,99.039,99.12,99.091,99.267,99.531,99.463,99.487,99.666,99.621,99.546,99.465,99.608,99.65,99.714,99.842,100.079,100.115,100.545,100.64,100.234,100.448,100.402,100.045,100.192,100.384,100.501,100.604,100.707,100.783,101.059,101.134,101.028,101.195,101.157,101.322,101.226,100.951,101.02,101.147,101.178,101.352,101.472,101.523,101.709,101.761,102.323,101.789,102.076,102.26,102.126,102.288,102.337,102.367,102.569,103.101,103.267,103.318,103.798,103.8,104.3,104.396,104.754,104.55,104.832,104.777,104.967
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.388,105.716,106.331,106.177,106.041,106.318,106.209,106.211,106.222,106.335,106.488,106.231,105.005,104.762,104.19,104.069,103.7,102.863,101.987,100.674,99.412,98.365,97.556,96.729,95.268,95.377,94.832,94.774,95.007,95.146,95.187,95.758,95.855,97.146,98.353,99.21,100.333,100.428,101.283,101.349,100.705,100.467,100.518,100.144,99.579,99.045,98.13,97.995,97.65,97.557,97.014,96.294,96.039,95.031,95.039,94.603,94.212,93.974,94.07,93.524,93.742,93.889,94.635,95.656,96.55,97.753,98.384,98.72,99.849,100.743,101.493,101.48,101.582,102.451,102.398,102.103,101.495,101.113,100.918,101.972,102.448,104.551,106.642,109.109,112.249,117.145,119.978,123.78,124.195,127.778,136.231,139.542,140.079
"45","37","      Electrical goods wholesalers","PK42163",105.84,105.718,105.808,105.398,105.233,105.303,105.333,104.954,104.693,104.333,104.192,103.977,103.656,103.293,103.228,103.073,103.006,102.701,102.383,102.31,102.151,102.276,102.274,102.246,102.163,102.274,102.057,101.917,101.616,101.357,101.187,101.109,101.033,100.829,100.671,100.705,100.434,100.316,100.034,100.207,100.193,100.168,100.23,99.942,99.855,99.758,99.589,99.324,99.22,99.059,98.916,98.598,98.499,98.315,98.271,98.013,97.806,97.839,97.799,97.831,97.891,97.823,97.741,97.427,97.223,97.244,96.985,97.044,96.938,96.732,96.593,96.449,96.367,96.073,95.979,95.997,95.935,95.775,95.84,95.599,95.499,95.335,95.299,95.079,94.9,94.53,94.751,94.711,95.277,94.862,95.002,94.863,94.654
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",96.984,97.062,97.115,97.196,97.218,97.357,97.312,97.519,97.579,97.712,97.759,97.86,97.732,97.935,97.776,97.813,97.867,97.839,97.917,97.865,97.944,98.02,98.164,98.175,98.333,98.039,98.115,98.245,98.319,98.676,98.708,98.894,98.982,99.045,99.197,99.402,99.326,99.512,99.668,99.857,99.851,100.015,100.209,100.326,100.239,100.322,100.324,100.33,100.577,100.887,100.721,100.584,101.041,101.098,101.069,101.121,101.309,101.452,101.67,101.672,101.583,101.546,101.685,101.615,101.682,101.566,101.637,101.808,101.969,101.892,101.807,101.895,102.213,102.393,102.491,102.499,102.608,102.718,102.881,102.872,102.977,103.119,103.412,103.441,103.902,104.014,103.967,104.238,104.826,105.095,105.523,105.694,106.34
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.245,97.334,97.261,97.378,97.416,97.526,97.625,97.674,97.616,97.769,97.895,97.98,98.074,98.095,98.195,98.181,98.228,98.273,98.272,98.33,98.504,98.649,98.799,98.827,98.921,98.995,98.949,99.099,99.043,99.051,99.081,99.096,99.173,99.326,99.442,99.495,99.59,99.746,99.738,99.826,99.856,99.919,100.09,100.102,100.216,100.269,100.256,100.382,100.535,100.664,100.669,100.799,100.869,100.958,100.958,101.044,101.141,101.276,101.29,101.286,101.254,101.298,101.417,101.423,101.448,101.571,101.797,101.956,102.052,102.101,102.136,102.273,102.41,102.513,102.648,102.756,102.811,103.099,103.216,103.29,103.338,103.503,103.742,103.89,104.027,104.329,104.657,105.145,105.535,105.826,106.171,106.486,106.786
"48","40","      Miscellaneous durable goods wholesalers","PK42193",101.98,101.925,102.475,101.984,101.908,101.952,101.604,102.561,101.838,102.289,102.443,101.91,101.237,101.048,100.527,100.166,99.672,98.749,97.714,96.627,96.37,95.553,94.84,94.507,94.247,94.796,94.455,94.304,94.677,95.373,96.276,96.806,97.527,99.206,100.529,101.235,101.757,101.835,101.668,101.663,101.147,101.216,100.147,98.389,98.706,98.63,97.885,97.16,96.592,96.101,96.529,95.529,95.622,95.186,94.388,94.446,94.81,94.385,94.227,93.559,93.435,93.85,93.922,94.769,95.216,96.49,96.827,96.194,96.717,97.873,97.37,97.392,97.976,98.999,98.948,98.282,99.021,98.989,98.404,99.414,101.074,102.295,103.964,106.125,108.696,110.943,111.61,110.831,107.597,108.014,112.966,115.456,114.018
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.95,96.613,96.954,95.949,95.64,94.631,94.049,94.817,94.627,95.029,94.521,94.364,92.809,92.622,92.286,91.923,91.684,91.054,91.239,89.632,89.156,90.114,89.798,89.189,90.045,88.981,90.043,91.671,91.833,91.969,92.154,93.77,94.574,94.232,94.976,96.339,96.659,98.963,100.423,98.817,99.678,100.362,99.677,99.034,100.721,101.301,102.299,101.907,102.543,102.169,101.643,101.647,101.953,101.092,99.525,100.067,100.523,97.664,96.95,96.484,96.718,97.131,98.925,99.026,98.759,98.56,100.167,101.262,101.914,103.065,102.071,102.528,104.866,108.065,108.693,104.732,103.592,104.228,104.409,105.454,105.145,106.463,107.424,109.472,110.157,110.198,110.854,112.064,113.363,111.786,112.597,112.531,112.816
"50","42","      Paper and paper products wholesalers","PK42213",88.97,88.347,87.492,86.959,87.218,87.537,87.648,88.838,89.89,90.302,91.418,92.263,92.667,92.614,92.613,92.247,92.136,92.084,91.399,90.662,89.643,88.73,87.911,87.467,87.151,87.236,88.047,88.598,89.272,89.85,90.559,91.534,92.836,93.387,93.882,94.189,94.915,95.584,97.941,99.554,101.222,101.641,101.479,101.525,101.587,101.758,101.775,101.601,101.734,101.411,101.096,100.728,100.009,99.212,98.533,97.12,96.777,96.194,95.926,96.089,95.462,95.01,94.444,94.24,93.988,94.2,94.504,95.396,95.744,96.179,96.184,96.011,95.912,96.26,96.327,96.754,97.217,97.106,96.538,96.348,95.752,95.568,95.671,95.888,95.117,95.355,95.676,96.836,98.318,99.644,101.559,102.06,102.618
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.84,89.749,89.54,89.26,89.43,89.568,89.601,89.756,89.857,90.166,90.451,90.694,90.666,91.374,95.607,95.61,95.991,96.39,96.729,96.739,96.796,97.15,97.417,97.579,97.323,97.317,97.465,97.269,97.373,98.276,98.531,98.556,98.962,99.197,99.438,99.426,99.617,99.675,99.475,99.566,99.759,99.594,99.941,100.413,100.486,100.37,100.35,100.567,100.747,100.918,100.849,100.988,100.523,100.969,100.646,100.689,100.872,101.053,101.244,101.26,101.421,101.498,101.612,101.678,101.793,102.062,102.12,102.499,102.716,102.995,103.001,103.085,103.505,103.376,103.693,103.898,104.229,104.479,104.661,104.696,105.037,105.069,105.414,105.629,106.302,106.413,106.336,106.816,106.907,107.128,107.407,107.399,107.402
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.079,100.239,100.311,100.354,100.497,100.433,100.525,100.631,100.773,100.754,100.788,100.824,101.228,101.107,100.999,100.965,100.955,100.796,100.671,100.696,100.829,100.789,100.672,100.459,100.432,100.282,100.344,100.288,100.201,100.049,100.121,100.024,100.156,100.042,99.939,100.195,100.145,100.201,100.185,100.173,100.112,99.69,99.915,99.948,100.012,99.928,99.883,99.829,99.842,99.918,100.427,100.261,100.111,100.036,99.921,100.065,99.69,99.514,99.487,99.362,99.124,98.993,98.518,98.363,98.371,98.303,98.221,98.284,98.128,98.31,98.312,98.91,98.726,98.638,98.746,98.815,98.922,98.741,98.652,98.862,98.959,98.905,98.966,99.028,98.525,98.463,98.446,98.543,98.494,98.616,98.723,98.704,98.665
"53","45","      Grocery and related products wholesalers","PK42243",98.754,98.907,100.106,98.927,99.795,98.476,97.985,98.768,98.634,99.639,98.445,98.954,98.169,98.912,98.687,99.39,98.794,98.362,99.308,98.8,98.96,99.432,98.741,98.964,100.261,98.943,99.581,99.282,99.759,100.118,99.495,99.542,100.478,100.023,99.02,99.873,99.055,99.42,99.85,100.294,101.371,99.96,99.836,99.08,100.099,100.638,100.698,99.718,101.046,101.925,102.735,102.586,103.385,102.989,101.944,102.893,103.488,103.007,102.313,102.952,103.611,104.615,105.894,101.564,102.117,102.001,102.032,101.687,101.292,101.827,101.406,101.323,102.96,102.989,103.464,104.294,104.924,104.391,104.224,105.188,106.514,107.746,107.389,108.372,106.468,106.245,107.189,108.255,110.3,108.85,106.988,107.398,108.457
"54","46","      Farm product raw material wholesalers","PK42253",132.379,132.723,141.142,141.865,139.271,134.805,130.358,129.687,128.952,130.007,128.783,127.106,123.077,124.354,124.664,117.947,117.789,114.94,113.332,104.732,99.664,105.305,107.49,103.654,104.875,102.908,102.351,100.164,101.35,99.502,89.747,98.744,94.789,93.497,95.696,93.883,97.594,102.334,106.446,103.282,106.563,100.746,94.089,91.362,94.382,99.05,102.176,104.678,107.083,102.827,104.533,100.104,100.128,99.268,102.392,104.198,100.936,97.436,97.333,98.43,99.105,99.405,99.338,97.213,98.907,99.507,108.029,118.688,123.462,117.909,114.816,114.157,113.628,118.902,114.717,116.179,120.024,118.698,111.018,113.57,119.424,122.67,128.615,131.044,133.015,134.839,141.134,141.04,142.922,134.717,126.463,115.788,114.072
"55","47","      Chemical and allied products wholesalers","PK42263",97.321,97.227,96.756,96.389,96.293,96.045,96.315,96.75,96.687,96.417,96.506,96.459,96.224,95.612,96.042,95.632,95.523,95.347,95.171,94.792,94.442,94.344,94.494,94.263,93.881,93.407,93.107,93.034,93.39,93.766,94.117,94.27,95.008,96.022,96.534,96.973,97.403,98.173,98.893,99.197,99.471,100.103,101.57,100.83,100.94,101.002,100.921,101.256,102.456,103.18,103.237,102.355,102.064,101.576,99.643,98.589,99.541,98.293,97.636,96.514,96.559,96.49,97.74,99.108,99.112,99.251,100.203,100.879,101.245,102.27,102.531,102.112,104.489,108.364,109.64,106.577,106.519,107.031,106.13,106.53,106.286,106.707,106.777,107.978,110.886,111.008,111.088,112.729,112.911,113.971,114.589,118.32,120.63
"56","48","      Petroleum and petroleum products wholesalers","PK42273",84.208,82.053,78.031,73.731,71.016,69.802,69.04,71.829,70.563,71.023,70.062,68.921,63.207,60.414,56.262,56.271,55.498,53.819,53.942,50.084,49.886,51.79,50.142,46.051,48.612,46.103,50.879,61.575,60.743,60.706,67.039,71.759,74.214,72.944,77.743,85.745,87.234,97.016,103.359,92.408,91.545,102.416,100.728,98.138,105.191,104.805,109.802,107.052,104.249,102.286,95.646,99.395,100.064,95.751,86.719,88.373,92.188,76.771,72.996,68.81,69.197,70.228,79.242,87.67,83.462,81.383,86.889,88.447,90.457,99.045,94.406,99.044,110.92,129.021,132.474,102.893,91.407,97.068,102.954,106.73,99.197,103.108,106.174,115.219,120.407,119.604,119.984,124.198,127.242,123.348,134.255,136.656,136.423
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.137,95.89,96.502,96.384,96.614,96.301,96.541,96.802,95.797,95.548,95.538,95.654,95.915,95.84,96.008,95.905,95.788,95.938,95.965,96.024,96.192,96.761,97.174,97.07,97.119,97.418,96.705,96.692,96.842,96.752,97.817,97.267,97.641,97.47,97.447,97.66,97.543,98.156,98.207,97.674,100.499,100.338,100.446,101.146,101.354,101.622,101.213,101.715,102.623,102.243,103.194,103.174,103.224,103.346,103.447,103.556,103.518,104.025,104.287,104.353,104.13,104.154,104.153,104.248,104.294,104.388,104.52,104.398,104.786,104.733,105.659,105.499,104.767,104.571,106.159,106.234,105.86,105.725,106.23,105.815,105.278,106.572,105.952,107.374,108.453,108.755,105.218,104.672,105.304,102.529,102.954,104.422,104.737
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.805,92.607,92.922,93.304,93.401,92.773,92.708,92.712,93.413,92.892,92.873,92.528,91.804,91.422,91.087,91.075,91.626,91.602,92.031,91.902,91.935,92.112,92.223,95.6,95.513,95.053,95.228,95.303,95.333,95.722,95.514,95.88,97.986,97.947,98.083,98.083,97.477,99.506,99.226,98.565,99.323,99.565,99.564,100.305,100.959,101.568,101.934,102.169,104.851,104.752,104.745,104.163,105.021,104.52,104.236,104.259,103.95,103.114,103.522,103.214,102.827,102.532,103.305,104.524,104.973,105.249,106.076,106.748,107.299,106.995,106.784,105.25,105.843,106.709,107.774,107.433,107.775,107.763,106.948,107.324,107.748,108.405,109.305,110.075,110.334,110.672,111.351,112.258,112.542,112.163,112.702,112.582,112.808
"59","51","  Retail trade industries","PK443",99.735,99.984,99.984,99.732,99.456,99.175,99.094,99.055,99.142,99.002,98.851,98.728,98.579,98.3,97.954,97.903,97.906,97.77,97.91,97.9,97.595,97.588,97.491,97.433,97.43,97.113,97.065,98.01,98.016,98.107,98.507,98.704,99.055,98.955,98.844,99.087,99.129,99.452,100.21,99.923,99.862,100.312,100.28,99.795,100.342,100.172,100.257,100.251,100.366,100.362,100.127,100.299,100.659,100.576,99.969,99.54,99.847,99.152,98.53,97.996,97.962,97.749,98.209,98.798,98.469,98.393,98.44,98.577,98.51,98.423,98.212,97.968,98.207,98.785,99.126,98.439,97.608,97.599,97.557,97.767,97.899,97.416,96.987,96.951,97.508,97.915,98.447,98.576,99.307,99.31,98.899,98.877,99.051
"60","52","    Motor vehicle and parts dealers","PK4413",99.513,99.847,100.314,99.858,99.649,99.213,99.095,98.851,98.834,98.784,98.622,98.505,98.579,98.642,98.477,98.455,98.272,98.292,98.694,98.87,98.822,98.819,99.124,99.022,98.81,98.402,98.302,98.439,98.525,98.767,99.075,99.332,99.724,99.648,99.735,99.524,99.421,99.304,99.726,99.896,100.124,100.158,100.048,99.963,99.994,100.11,100.453,100.897,101.175,101.225,101.303,101.239,101.1,100.946,100.954,100.728,100.219,100.558,100.735,100.827,100.403,99.848,99.664,99.56,99.425,99.381,99.564,99.658,99.578,99.334,98.985,98.825,98.7,98.791,99.027,98.81,98.569,98.353,97.915,97.696,96.68,95.758,95.203,95.017,95.108,95.365,95.489,95.571,95.738,95.528,95.457,95.492,96.062
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.867,125.012,124.453,123.45,122.895,122.48,121.537,120.206,119.794,119.115,118.416,118.225,117.335,116.436,116.411,116.487,115.187,114.353,113.738,112.335,111.563,111.052,109.984,109.466,108.79,107.984,107.404,107.408,106.362,105.914,105.57,104.694,104.308,103.507,102.704,102.437,102.223,101.724,101.672,101.072,100.93,100.111,99.78,99.147,99.304,98.602,98.093,97.474,96.517,95.911,94.917,94.629,93.491,92.796,92.556,91.525,90.848,90.381,90.101,89.486,88.796,87.91,87.332,87.195,87.128,86.676,86.216,85.829,85.157,84.644,83.863,83.288,82.911,82.329,81.822,81.616,80.297,79.695,79.259,78.281,77.726,77.768,77.489,77.109,77.206,77.07,76.691,76.502,76.148,75.958,75.301,74.813,74.662
"62","54","    Building material and garden equipment and supplies dealers","PK4443",101.564,102.173,102.629,102.687,102.909,102.484,102.618,102.338,102.075,101.518,101.526,101.265,101.621,101.808,101.838,101.639,100.86,100.082,100.212,100.523,99.757,98.948,98.853,99.104,99.261,99.794,100.183,100.12,100.64,101.544,102.639,102.167,101.024,100.185,100.252,100.663,100.801,100.759,101.404,101.041,100.228,100.183,99.874,99.189,99.147,99.169,99.203,99.013,98.763,99.192,99.325,99.234,100.653,100.921,100.037,100.106,99.798,98.792,98.375,98.094,98.313,98.857,99.541,99.788,99.388,99.188,99.141,99.231,98.872,98.444,98.499,98.317,98.263,98.772,98.695,98.64,98.704,98.768,99.327,99.582,101.002,101.105,101.191,101.103,101.666,103.389,104.494,105.412,106.253,105.497,105.18,106.532,106.743
"63","55","    Food and beverage stores","PK4453",92.617,92.953,92.962,93.039,93.116,93.138,93.299,93.4,93.543,93.673,93.811,93.763,94.167,94.208,94.248,94.445,94.725,94.727,94.951,95.145,95.245,95.593,95.651,96.159,96.726,96.732,96.569,96.896,97.049,97.116,97.342,97.435,97.96,98.036,98.184,98.314,98.45,98.761,99.11,99.361,99.766,99.855,100.399,100.575,100.791,100.709,100.899,101.25,101.534,101.909,102.082,102.411,102.609,102.947,103.471,103.546,103.819,103.939,104.133,103.869,104.213,104.506,104.493,105.07,104.542,104.626,104.86,104.862,105.097,104.849,105.149,105.18,105.161,105.543,105.641,105.614,105.698,106.119,106.206,106.546,106.709,107,107.285,107.786,107.723,107.931,108.244,108.378,109.199,109.261,109.4,109.452,109.379
"64","56","    Clothing and clothing accessories stores","PK4483",105.537,105.42,105.356,105.931,106.326,106.077,105.865,104.895,105.102,104.794,104.764,104.897,104.633,103.857,103.346,103.128,103.468,103.24,103.303,104.424,103.066,102.892,103.04,102.196,101.76,101.302,100.964,101.976,102.019,101.916,101.602,101.316,101.445,101.646,101.384,101.336,100.751,100.504,100.462,100.329,99.992,99.601,99.39,99.345,99.988,100.009,99.901,99.802,100.135,100.026,100.176,99.189,98.376,98.668,98.441,97.711,97.202,97.489,97.022,96.755,96.456,96.204,96.988,96.781,96.436,95.901,95.212,95.888,95.544,95.258,95.025,94.81,94.261,93.943,93.534,93.31,93.111,93.412,93.319,93.306,93.259,93.404,92.998,92.631,92.682,92.526,93.242,93.319,93.866,93.899,93.246,92.927,92.623
"65","57","    General merchandise stores","PK4523",100.931,101.044,100.984,101.32,101.446,101.268,101.244,100.77,100.84,100.745,100.801,100.71,100.852,100.666,100.499,100.617,100.708,100.445,100.561,100.959,100.456,100.46,100.392,100.279,100.371,100.04,99.755,100.348,100.307,100.306,100.213,100.053,100.273,100.325,100.104,100.054,99.865,99.768,100.005,100.106,100.074,99.945,100.061,99.961,100.182,99.992,100.023,100.004,100.114,100.213,100.08,100.008,99.677,99.778,99.826,99.507,99.543,99.512,99.463,99.079,99.021,98.995,99.073,99.256,98.853,98.618,98.422,98.564,98.396,98.061,97.994,97.707,97.477,97.428,97.262,97.234,96.856,97.005,96.996,96.846,96.756,96.791,96.729,96.683,96.706,96.823,97.072,97.019,97.326,97.246,96.855,96.666,96.626
"66","58","      Department stores","PK45213",103.524,103.548,103.477,103.939,104.108,103.867,103.736,103.1,103.166,102.945,103.049,102.931,102.989,102.707,102.492,102.529,102.588,102.225,102.323,102.838,102.101,102.049,101.941,101.533,101.486,101.102,100.822,101.449,101.397,101.416,101.138,100.923,101.045,101.133,100.811,100.728,100.41,100.131,100.287,100.311,100.138,99.888,99.932,99.798,99.961,99.792,99.731,99.638,99.703,99.737,99.506,99.242,98.601,98.655,98.553,98.086,98.081,98.051,97.97,97.544,97.369,97.279,97.332,97.384,97.011,96.703,96.323,96.525,96.18,95.881,95.676,95.241,94.86,94.634,94.371,94.404,93.886,93.931,93.868,93.572,93.372,93.406,93.216,92.971,92.935,92.987,93.26,93.174,93.29,93.157,92.602,92.274,92.165
"67","59","      Other general merchandise stores","PK45293",96.795,97.076,97.037,97.14,97.185,97.124,97.299,97.121,97.198,97.336,97.303,97.26,97.558,97.538,97.456,97.711,97.855,97.761,97.9,98.104,97.986,98.083,98.082,98.443,98.755,98.504,98.207,98.749,98.725,98.693,98.881,98.805,99.172,99.169,99.097,99.09,99.086,99.25,99.602,99.812,99.981,100.019,100.232,100.175,100.476,100.259,100.413,100.491,100.651,100.834,100.822,100.99,101.031,101.189,101.41,101.264,101.347,101.314,101.299,100.959,101.028,101.069,101.174,101.498,101.062,100.9,100.892,100.975,100.983,100.611,100.679,100.532,100.447,100.566,100.489,100.409,100.156,100.402,100.44,100.421,100.427,100.466,100.512,100.634,100.709,100.882,101.114,101.089,101.553,101.515,101.253,101.173,101.187
"68","60","    Other retail stores","PK44X3",96.659,96.809,96.304,95.581,94.513,94.204,94.082,94.935,95.308,95.161,94.738,94.547,93.623,92.788,91.746,91.474,91.911,91.975,91.967,91.351,91.118,91.311,90.828,90.648,90.645,90.056,90.279,93.204,93.092,92.947,93.901,94.876,95.9,95.944,95.64,96.71,97.13,98.627,100.688,99.425,99.11,101.212,101.045,99.533,101.285,100.784,100.771,100.334,100.519,100.186,99.287,100.224,101.821,101.398,98.999,98.058,100.096,97.298,94.772,93.214,93.522,93.183,94.928,96.974,96.571,96.718,96.996,97.3,97.475,98.081,97.712,97.322,98.849,100.982,102.458,100.007,97.393,97.353,97.535,98.74,100,98.739,97.566,97.572,99.61,100.248,101.525,101.596,103.485,104.101,103.104,102.743,102.938
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
